Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphaeroidinellopsis subdehiscens,Sphaeroidinella dehiscens,Orbulina universa,Globorotalia margaritae margaritae,Globorotalia margaritae evoluta,Globorotalia cibaoensis,Globoquadrina altispira altispira,Globigerinoides trilobus,Globigerinoides ruber,Globigerinoides quadrilobatus,Globigerinoides immaturus,Globigerinoides extremus,Globigerinoides conglobatus,Globigerinella obesa,Globigerinella aequilateralis,Globigerina decoraperta,Globigerina nepenthes,Globoquadrina venezuelana,Globorotalia crassula,Globorotalia pseudomiocenica,Globorotalia merotumida,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis paenedehiscens,Globorotalia plesiotumida,Globorotalia menardii,Globorotalia crassaformis crassaformis,Globorotalia limbata,Globorotalia crassaformis ronda,Neogloboquadrina acostaensis,Globorotalia cf. Gr. plesiotumida,Globigerina cf. incisa,Globorotalia crassaformis oceanica,Globigerinita glutinata,Globigerina falconensis,Orbulina bilobata,Globoquadrina baroemoenensis,Globigerinoides sacculifer,Candeina nitida,Globorotalia cf. crassaformis viola,Globorotalia cf. Gr. multicamerata,Globorotalia cf. Gr. cibaoensis,Globorotalia multicamerata,Globigerina rubescens,Globorotalia miocenica,Globorotalia cf. Gr. conoidea,Globorotalia scitula,Globorotalia exilis,Globorotalia crassaformis viola,Globorotalia truncatulinoides,Globorotalia crassaformis hessi,Pulleniatina obliquiloculata,Globorotalia inflata,Neogloboquadrina continuosa,Neogloboquadrina incompta,Globorotalia ungulata,Globorotalia tumida,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,G. m. evoluta     ,              ,101, 631,A, 14,X,CC,  39.00,    138.4200,Melillo  ,Planktonic Foraminifers                      ,               ,P                 ,                                ,                         ,                 ,P                                 ,                               ,                       ,                                 ,                        ,                     ,                             ,                         ,                        ,                           ,                    ,                             ,                       ,P                    ,                         ,P                    ,                            ,                       ,                              ,                                  ,P                        ,P                    ,                                      ,                    ,                               ,                            ,                                 ,                      ,                                  ,                       ,                       ,                 ,                            ,                          ,               ,                                   ,                                  ,                               ,                          ,                     ,                      ,                             ,                    ,                   ,                               ,                             ,                               ,                            ,                    ,                           ,                         ,                     ,                   ,from Melillo; ODP 101 SR Ch1 Fig 10 p 34-35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,G. m. evoluta     ,              ,101, 631,A, 15,X,CC,  42.00,    142.0500,Melillo  ,Planktonic Foraminifers                      ,               ,P                 ,                                ,                         ,P                ,                                  ,                               ,                       ,                                 ,                        ,P                    ,                             ,                         ,                        ,                           ,                    ,                             ,                       ,                     ,                         ,                     ,                            ,                       ,                              ,                                  ,                         ,                     ,                                      ,                    ,                               ,                            ,                                 ,                      ,                                  ,                       ,                       ,                 ,                            ,                          ,               ,                                   ,                                  ,                               ,                          ,                     ,                      ,                             ,                    ,                   ,                               ,                             ,                               ,                            ,                    ,                           ,                         ,                     ,                   ,from Melillo; ODP 101 SR Ch1 Fig 10 p 34-35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,G. m. evoluta     ,              ,101, 631,A, 16,X, 3,  25.00,    151.1500,Melillo  ,Planktonic Foraminifers                      ,               ,P                 ,                                ,                         ,P                ,                                  ,                               ,                       ,                                 ,                        ,                     ,                             ,                         ,                        ,                           ,                    ,                             ,                       ,                     ,                         ,                     ,                            ,                       ,                              ,                                  ,                         ,                     ,                                      ,                    ,                               ,                            ,                                 ,                      ,                                  ,                       ,                       ,                 ,                            ,                          ,               ,                                   ,                                  ,                               ,                          ,                     ,                      ,                             ,                    ,                   ,                               ,                             ,                               ,                            ,                    ,                           ,                         ,                     ,                   ,from Melillo; ODP 101 SR Ch1 Fig 10 p 34-35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,G. m. evoluta     ,              ,101, 631,A, 17,X, 3,  25.00,    160.7500,Melillo  ,Planktonic Foraminifers                      ,               ,P                 ,                                ,P                        ,P                ,                                  ,                               ,                       ,                                 ,                        ,                     ,                             ,                         ,P                       ,P                          ,                    ,                             ,                       ,                     ,                         ,                     ,                            ,                       ,P                             ,P                                 ,                         ,                     ,                                      ,                    ,                               ,                            ,                                 ,                      ,                                  ,                       ,                       ,                 ,                            ,                          ,               ,                                   ,                                  ,                               ,                          ,                     ,                      ,                             ,                    ,                   ,                               ,                             ,                               ,                            ,                    ,                           ,                         ,                     ,                   ,from Melillo; ODP 101 SR Ch1 Fig 10 p 34-35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,G. m. evoluta     ,              ,101, 631,A, 17,X,CC,  27.00,    161.2700,Melillo  ,Planktonic Foraminifers                      ,               ,P                 ,                                ,                         ,                 ,                                  ,                               ,P                      ,                                 ,                        ,                     ,                             ,                         ,P                       ,                           ,                    ,                             ,                       ,                     ,                         ,                     ,P                           ,P                      ,                              ,                                  ,                         ,                     ,                                      ,                    ,                               ,                            ,                                 ,                      ,                                  ,                       ,                       ,                 ,                            ,                          ,               ,                                   ,                                  ,                               ,                          ,                     ,                      ,                             ,                    ,                   ,                               ,                             ,                               ,                            ,                    ,                           ,                         ,                     ,                   ,from Melillo; ODP 101 SR Ch1 Fig 10 p 34-35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,G. m. evoluta     ,              ,101, 631,A, 18,X,CC,  34.00,    168.0300,Melillo  ,Planktonic Foraminifers                      ,               ,P                 ,                                ,                         ,                 ,                                  ,                               ,P                      ,                                 ,                        ,                     ,                             ,                         ,                        ,                           ,                    ,                             ,                       ,                     ,                         ,P                    ,                            ,                       ,                              ,                                  ,                         ,                     ,                                      ,                    ,                               ,                            ,                                 ,                      ,                                  ,                       ,                       ,                 ,                            ,                          ,               ,                                   ,                                  ,                               ,                          ,                     ,                      ,                             ,                    ,                   ,                               ,                             ,                               ,                            ,                    ,                           ,                         ,                     ,                   ,from Melillo; ODP 101 SR Ch1 Fig 10 p 34-35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,G. m. evoluta     ,              ,101, 631,A, 19,X, 3,  25.00,    180.1500,Melillo  ,Planktonic Foraminifers                      ,               ,P                 ,                                ,P                        ,P                ,                                  ,                               ,                       ,P                                ,                        ,P                    ,                             ,                         ,P                       ,                           ,                    ,                             ,                       ,                     ,P                        ,                     ,                            ,                       ,                              ,                                  ,                         ,                     ,                                      ,                    ,                               ,                            ,                                 ,                      ,                                  ,                       ,                       ,                 ,                            ,                          ,               ,                                   ,                                  ,                               ,                          ,                     ,                      ,                             ,                    ,                   ,                               ,                             ,                               ,                            ,                    ,                           ,                         ,                     ,                   ,from Melillo; ODP 101 SR Ch1 Fig 10 p 34-35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,G. m. evoluta     ,              ,101, 631,A, 19,X,CC,  37.00,    186.6900,Melillo  ,Planktonic Foraminifers                      ,               ,P                 ,P                               ,                         ,                 ,                                  ,                               ,                       ,P                                ,                        ,                     ,                             ,                         ,                        ,                           ,                    ,                             ,                       ,                     ,                         ,                     ,                            ,                       ,                              ,                                  ,                         ,                     ,                                      ,                    ,                               ,                            ,                                 ,                      ,                                  ,                       ,                       ,                 ,                            ,                          ,               ,                                   ,                                  ,                               ,                          ,                     ,                      ,                             ,                    ,                   ,                               ,                             ,                               ,                            ,                    ,                           ,                         ,                     ,                   ,from Melillo; ODP 101 SR Ch1 Fig 10 p 34-35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,G. m. evoluta     ,              ,101, 631,A, 21,X,CC,  18.00,    196.2800,Melillo  ,Planktonic Foraminifers                      ,               ,P                 ,                                ,                         ,P                ,                                  ,                               ,                       ,                                 ,                        ,                     ,                             ,                         ,                        ,                           ,                    ,                             ,                       ,                     ,                         ,                     ,                            ,                       ,                              ,                                  ,                         ,                     ,                                      ,                    ,                               ,                            ,                                 ,                      ,                                  ,                       ,                       ,                 ,                            ,                          ,               ,                                   ,                                  ,                               ,                          ,                     ,                      ,                             ,                    ,                   ,                               ,                             ,                               ,                            ,                    ,                           ,                         ,                     ,                   ,from Melillo; ODP 101 SR Ch1 Fig 10 p 34-35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,G. m. evoluta     ,              ,101, 631,A, 22,X,CC,  33.00,    207.0000,Melillo  ,Planktonic Foraminifers                      ,               ,P                 ,P                               ,                         ,                 ,                                  ,                               ,                       ,P                                ,                        ,                     ,                             ,                         ,                        ,                           ,                    ,                             ,                       ,P                    ,                         ,                     ,                            ,                       ,                              ,                                  ,                         ,                     ,                                      ,                    ,                               ,                            ,                                 ,                      ,                                  ,                       ,                       ,                 ,                            ,                          ,               ,                                   ,                                  ,                               ,                          ,                     ,                      ,                             ,                    ,                   ,                               ,                             ,                               ,                            ,                    ,                           ,                         ,                     ,                   ,from Melillo; ODP 101 SR Ch1 Fig 10 p 34-35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,G. m. evoluta     ,              ,101, 631,A, 23,X,CC,  13.00,    215.4300,Melillo  ,Planktonic Foraminifers                      ,               ,P                 ,                                ,                         ,P                ,                                  ,                               ,                       ,                                 ,                        ,                     ,                             ,                         ,                        ,                           ,                    ,                             ,                       ,                     ,                         ,                     ,                            ,                       ,                              ,                                  ,                         ,                     ,                                      ,                    ,                               ,                            ,                                 ,                      ,                                  ,                       ,                       ,                 ,                            ,                          ,               ,                                   ,                                  ,                               ,                          ,                     ,                      ,                             ,                    ,                   ,                               ,                             ,                               ,                            ,                    ,                           ,                         ,                     ,                   ,from Melillo; ODP 101 SR Ch1 Fig 10 p 34-35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,G. m. evoluta     ,              ,101, 631,A, 24,X,CC,  37.00,    225.8000,Melillo  ,Planktonic Foraminifers                      ,               ,P                 ,                                ,                         ,P                ,                                  ,                               ,P                      ,                                 ,P                       ,                     ,                             ,                         ,                        ,                           ,                    ,                             ,                       ,                     ,                         ,                     ,                            ,                       ,                              ,                                  ,                         ,                     ,                                      ,                    ,                               ,                            ,                                 ,                      ,                                  ,                       ,                       ,                 ,                            ,                          ,               ,                                   ,                                  ,                               ,                          ,                     ,                      ,                             ,                    ,                   ,                               ,                             ,                               ,                            ,                    ,                           ,                         ,                     ,                   ,from Melillo; ODP 101 SR Ch1 Fig 10 p 34-35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,G. m. evoluta     ,              ,101, 631,A, 25,X,CC,  37.00,    236.0100,Melillo  ,Planktonic Foraminifers                      ,               ,P                 ,R                               ,F                        ,R                ,F                                 ,F                              ,R                      ,F                                ,F                       ,F                    ,F                            ,R                        ,R                       ,F                          ,R                   ,R                            ,R                      ,                     ,                         ,                     ,                            ,                       ,                              ,                                  ,                         ,                     ,                                      ,                    ,                               ,                            ,                                 ,                      ,                                  ,                       ,                       ,                 ,                            ,                          ,               ,                                   ,                                  ,                               ,                          ,                     ,                      ,                             ,                    ,                   ,                               ,                             ,                               ,                            ,                    ,                           ,                         ,                     ,                   ,from Melillo; ODP 101 SR Ch1 Fig 10 p 34-35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
