Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Siphonina reticulata,Pullenia spp.*,Pleurostomella spp.*,Ortomorphina jedlitskai,Oridorsalis stellatus,Gyroidinoides gr  soldanii*,Cibicides spp.,Brizalina cf. paralica,Rosalina spp.,Melonis spp.,Gyroidinoides laevigatus,Ammonia tepida,Uvigerina spp.,Uvigerina pygmaea-peregrina,Planulina ariminensis,Oridorsalis umbonatus,Oridorsalis spp.,Globocassidulina subglobosa,Epistominella exigua,Cibicidoides ungerianus,Cibicidoides pseudoungerianus,Brizalina-Bolivina gr.*,Pyramidulina stainforthi,Cibicidoides italicus,Trifarina bradyi,Lenticulina spp.*,Fissurina spp.,Dentalina filiformis,Chrysalogonium spp.,Astacolus cf. ovatus,Marginulina spp.,Bulimina spp.,Lenticulina inornata,Anomalinoides spp.,Stilostomella spp.,Hanzawaia boueana,Astrononion stelligerum,Anomalinoides alazanensis,Amphicoryna spp.,Fursenkoina squammosa,Pandaglandulina dinapolii,Nodosaria spp.,Dimorphina tuberosa,Sigmoilinita tenuis,Rectuvigerina gaudryinoides,Ortomorphina spp.*,Martinottiella spp.,Lenticulina rotulata,Gyroidinoides spp.,Alliatinella sp.,Karreriella bradyi,Bigenerina nodosaria,Spiroplectammina spp.*,Oolina spp.,Ellipsoidina ellipsoides,Eggerella bradyi,Dentalina leguminiformis,Quadrimorphina allomorphinoides,Dentalina spp.*,Nonion gr.*,Sphaeroidina bulloides,Saracenaria italica,Lagena spp.,Elphidium spp.,Discorbinella bertheloti,Cibicidoides spp.,Cassidulina spp.*,Valvulineria cf. bradyiana,Alabamina wilcoxensis,Sigmoilopsis spp.,Asterigerina planorbis,Textularia spp.,Plectofrondicularia tenuissima,Comment
  SR,                 ,                 ,                  ,              ,161, 975,B, 33,X, 2,  40.00,    304.3000,Iaccarino,Benthic Foraminifers                         ,               ,                  ,                    ,              ,1.5%                ,.3%                    ,                     ,9.5%                       ,.6%           ,                      ,.6%          ,.3%         ,3.0%                    ,              ,.3%           ,                           ,                     ,7.1%                 ,                ,65.3%                      ,                    ,.9%                    ,                             ,.6%                    ,                        ,.6%                  ,.3%             ,.9%              ,              ,                    ,3.0%               ,1.5%                ,1.5%            ,.3%          ,                    ,                  ,                  ,                 ,                       ,                         ,                ,                     ,                         ,.3%           ,.3%                ,                   ,                           ,                  ,.3%                ,.3%                 ,.6%               ,.3%             ,                  ,                    ,                      ,           ,                        ,                ,                        ,                               ,               ,           ,                      ,                   ,           ,              ,                        ,                 ,                 ,                          ,                     ,                 ,                      ,               ,                              ,total count=337 ben. forams; from 161SR Ch.15 Appendix D
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 33,X, 2,  50.00,    304.4000,Iaccarino,Benthic Foraminifers                         ,               ,                  ,1.1%                ,              ,2.3%                ,5.7%                   ,                     ,23.9%                      ,3.4%          ,                      ,             ,            ,                        ,              ,              ,                           ,                     ,20.5%                ,                ,11.4%                      ,                    ,                       ,1.1%                         ,2.3%                   ,                        ,                     ,1.1%            ,                 ,              ,                    ,9.1%               ,                    ,1.1%            ,             ,1.1%                ,                  ,1.1%              ,                 ,                       ,                         ,1.1%            ,3.4%                 ,                         ,              ,                   ,1.1%               ,6.8%                       ,1.1%              ,1.1%               ,                    ,                  ,                ,                  ,                    ,                      ,           ,                        ,                ,                        ,                               ,               ,           ,                      ,                   ,           ,              ,                        ,                 ,                 ,                          ,                     ,                 ,                      ,               ,                              ,total count=88 ben. forams; from 161SR Ch.15 Appendix D
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 33,X, 2,  62.00,    304.5200,Iaccarino,Benthic Foraminifers                         ,               ,                  ,                    ,1.3%          ,5.3%                ,2.7%                   ,                     ,44.0%                      ,2.7%          ,                      ,2.7%         ,            ,2.7%                    ,              ,              ,                           ,                     ,24.0%                ,                ,1.3%                       ,                    ,1.3%                   ,                             ,4.0%                   ,                        ,                     ,                ,                 ,              ,1.3%                ,.0%                ,                    ,                ,1.3%         ,                    ,                  ,                  ,                 ,                       ,1.3%                     ,                ,                     ,1.3%                     ,1.3%          ,1.3%               ,                   ,                           ,                  ,                   ,                    ,                  ,                ,                  ,                    ,                      ,           ,                        ,                ,                        ,                               ,               ,           ,                      ,                   ,           ,              ,                        ,                 ,                 ,                          ,                     ,                 ,                      ,               ,                              ,total count=75 ben. forams; from 161SR Ch.15 Appendix D
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 33,X, 2,  70.00,    304.6000,Iaccarino,Benthic Foraminifers                         ,               ,                  ,                    ,              ,                    ,                       ,                     ,45.2%                      ,3.2%          ,                      ,             ,            ,3.2%                    ,              ,              ,                           ,                     ,6.5%                 ,                ,                           ,                    ,                       ,                             ,16.1%                  ,                        ,                     ,                ,                 ,              ,3.2%                ,6.5%               ,                    ,                ,             ,                    ,                  ,                  ,                 ,6.5%                   ,                         ,                ,6.5%                 ,                         ,              ,                   ,                   ,                           ,                  ,                   ,                    ,                  ,                ,                  ,                    ,                      ,           ,                        ,                ,                        ,                               ,               ,           ,                      ,                   ,           ,              ,                        ,                 ,                 ,                          ,                     ,                 ,                      ,               ,                              ,3.2% indet. specimens; total count=31 ben. forams; from 161SR Ch.15 Appendix D
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 33,X, 2,  80.00,    304.7000,Iaccarino,Benthic Foraminifers                         ,               ,                  ,                    ,1.3%          ,3.9%                ,3.9%                   ,                     ,45.5%                      ,              ,                      ,1.3%         ,            ,                        ,              ,              ,                           ,                     ,19.5%                ,                ,2.6%                       ,                    ,1.3%                   ,                             ,7.8%                   ,                        ,                     ,5.2%            ,1.3%             ,              ,                    ,1.3%               ,                    ,1.3%            ,             ,                    ,                  ,                  ,                 ,                       ,2.6%                     ,1.3%            ,                     ,                         ,              ,                   ,                   ,                           ,                  ,                   ,                    ,                  ,                ,                  ,                    ,                      ,           ,                        ,                ,                        ,                               ,               ,           ,                      ,                   ,           ,              ,                        ,                 ,                 ,                          ,                     ,                 ,                      ,               ,                              ,total count=77 ben. forams; from 161SR Ch.15 Appendix D
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 33,X, 2,  85.00,    304.7500,Iaccarino,Benthic Foraminifers                         ,               ,                  ,                    ,              ,                    ,                       ,                     ,45.5%                      ,              ,                      ,13.6%        ,            ,                        ,              ,              ,                           ,                     ,27.3%                ,                ,                           ,                    ,4.5%                   ,                             ,                       ,                        ,                     ,4.5%            ,                 ,              ,                    ,                   ,                    ,                ,             ,                    ,                  ,                  ,                 ,4.5%                   ,                         ,                ,                     ,                         ,              ,                   ,                   ,                           ,                  ,                   ,                    ,                  ,                ,                  ,                    ,                      ,           ,                        ,                ,                        ,                               ,               ,           ,                      ,                   ,           ,              ,                        ,                 ,                 ,                          ,                     ,                 ,                      ,               ,                              ,total count=22 ben. forams; from 161SR Ch.15 Appendix D
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 33,X, 2,  90.00,    304.8000,Iaccarino,Benthic Foraminifers                         ,               ,                  ,                    ,              ,4.8%                ,4.8%                   ,                     ,23.8%                      ,              ,                      ,             ,4.8%        ,9.5%                    ,              ,              ,                           ,                     ,4.8%                 ,                ,                           ,                    ,                       ,                             ,19.0%                  ,                        ,                     ,4.8%            ,                 ,4.8%          ,                    ,4.8%               ,                    ,                ,             ,                    ,                  ,9.5%              ,4.8%             ,                       ,                         ,                ,                     ,                         ,              ,                   ,                   ,                           ,                  ,                   ,                    ,                  ,                ,                  ,                    ,                      ,           ,                        ,                ,                        ,                               ,               ,           ,                      ,                   ,           ,              ,                        ,                 ,                 ,                          ,                     ,                 ,                      ,               ,                              , total count=21 ben. forams; from 161SR Ch.15 Appendix D
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 33,X, 2,  98.00,    304.8800,Iaccarino,Benthic Foraminifers                         ,               ,                  ,                    ,              ,                    ,                       ,                     ,16.7%                      ,16.7%         ,                      ,             ,            ,                        ,              ,              ,                           ,                     ,                     ,                ,                           ,                    ,                       ,                             ,16.7%                  ,                        ,                     ,33.3%           ,                 ,              ,                    ,                   ,                    ,                ,             ,                    ,                  ,                  ,                 ,                       ,                         ,                ,                     ,                         ,              ,                   ,                   ,                           ,                  ,                   ,                    ,                  ,                ,                  ,                    ,                      ,           ,                        ,                ,                        ,                               ,               ,           ,                      ,                   ,           ,              ,                        ,                 ,                 ,                          ,                     ,                 ,                      ,               ,                              ,total count=6 ben. forams; from 161SR Ch.15 Appendix D
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 33,X, 2, 100.00,    304.9000,Iaccarino,Benthic Foraminifers                         ,               ,                  ,                    ,              ,                    ,                       ,                     ,100.0%                     ,              ,                      ,             ,            ,                        ,              ,              ,                           ,                     ,                     ,16.7%           ,                           ,                    ,                       ,                             ,                       ,                        ,                     ,                ,                 ,              ,                    ,                   ,                    ,                ,             ,                    ,                  ,                  ,                 ,                       ,                         ,                ,                     ,                         ,              ,                   ,                   ,                           ,                  ,                   ,                    ,                  ,                ,                  ,                    ,                      ,           ,                        ,                ,                        ,                               ,               ,           ,                      ,                   ,           ,              ,                        ,                 ,                 ,                          ,                     ,                 ,                      ,               ,                              ,total count=1 ben. forams; from 161SR Ch.15 Appendix D
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 33,X, 2, 105.00,    304.9500,Iaccarino,Benthic Foraminifers                         ,               ,                  ,                    ,              ,6.0%                ,6.0%                   ,                     ,34.0%                      ,2.0%          ,                      ,8.0%         ,            ,                        ,              ,              ,2.0%                       ,                     ,12.0%                ,                ,                           ,                    ,                       ,                             ,12.0%                  ,                        ,                     ,4.0%            ,                 ,              ,6.0%                ,4.0%               ,                    ,                ,             ,2.0%                ,4.0%              ,                  ,                 ,                       ,                         ,                ,                     ,                         ,              ,                   ,                   ,                           ,                  ,                   ,                    ,                  ,                ,                  ,                    ,                      ,           ,                        ,                ,                        ,                               ,               ,           ,                      ,                   ,           ,              ,                        ,                 ,                 ,                          ,                     ,                 ,                      ,               ,                              ,total count=50 ben. forams; from 161SR Ch.15 Appendix D
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 33,X, 2, 114.00,    305.0400,Iaccarino,Benthic Foraminifers                         ,               ,                  ,                    ,              ,3.6%                ,10.7%                  ,                     ,28.6%                      ,              ,                      ,3.6%         ,3.6%        ,                        ,              ,              ,                           ,                     ,25.0%                ,                ,                           ,                    ,                       ,3.6%                         ,7.1%                   ,                        ,                     ,3.6%            ,                 ,              ,                    ,                   ,3.6%                ,3.6%            ,3.6%         ,                    ,                  ,                  ,                 ,                       ,                         ,                ,                     ,                         ,              ,                   ,                   ,                           ,                  ,                   ,                    ,                  ,                ,                  ,                    ,                      ,           ,                        ,                ,                        ,                               ,               ,           ,                      ,                   ,           ,              ,                        ,                 ,                 ,                          ,                     ,                 ,                      ,               ,                              ,total count=28 ben. forams; from 161SR Ch.15 Appendix D
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 33,X, 2, 116.00,    305.0600,Iaccarino,Benthic Foraminifers                         ,               ,                  ,                    ,              ,                    ,                       ,                     ,22.2%                      ,              ,                      ,             ,            ,                        ,              ,              ,                           ,                     ,29.6%                ,18.5%           ,                           ,                    ,3.7%                   ,                             ,11.1%                  ,                        ,                     ,7.4%            ,                 ,              ,                    ,7.4%               ,                    ,                ,             ,                    ,                  ,                  ,                 ,                       ,                         ,                ,                     ,                         ,              ,                   ,                   ,                           ,                  ,                   ,                    ,                  ,                ,                  ,                    ,                      ,           ,                        ,                ,                        ,                               ,               ,           ,                      ,                   ,           ,              ,                        ,                 ,                 ,                          ,                     ,                 ,                      ,               ,                              ,total count=27 ben. forams; from 161SR Ch.15 Appendix D
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 33,X, 2, 120.00,    305.1000,Iaccarino,Benthic Foraminifers                         ,               ,                  ,                    ,              ,                    ,                       ,                     ,25.7%                      ,2.9%          ,                      ,             ,2.9%        ,5.7%                    ,              ,              ,                           ,                     ,14.3%                ,                ,                           ,                    ,                       ,                             ,17.1%                  ,                        ,                     ,11.4%           ,2.9%             ,2.9%          ,2.9%                ,5.7%               ,5.7%                ,                ,             ,                    ,                  ,                  ,                 ,                       ,                         ,                ,                     ,                         ,              ,                   ,                   ,                           ,                  ,                   ,                    ,                  ,                ,                  ,                    ,                      ,           ,                        ,                ,                        ,                               ,               ,           ,                      ,                   ,           ,              ,                        ,                 ,                 ,                          ,                     ,                 ,                      ,               ,                              ,total count=35 ben. forams; from 161SR Ch.15 Appendix D
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 33,X, 2, 129.00,    305.1900,Iaccarino,Benthic Foraminifers                         ,               ,                  ,                    ,              ,                    ,                       ,                     ,52.9%                      ,              ,                      ,             ,5.9%        ,                        ,              ,              ,2.9%                       ,                     ,                     ,14.7%           ,                           ,2.9%                ,5.9%                   ,                             ,2.9%                   ,2.9%                    ,5.9%                 ,                ,                 ,              ,                    ,                   ,                    ,                ,             ,                    ,                  ,                  ,                 ,                       ,                         ,                ,                     ,                         ,              ,                   ,                   ,                           ,                  ,                   ,                    ,                  ,                ,                  ,                    ,                      ,           ,                        ,                ,                        ,                               ,               ,           ,                      ,                   ,           ,              ,                        ,                 ,                 ,                          ,                     ,                 ,                      ,               ,                              ,2.9% indet. specimens; total count=34 ben. forams; from 161SR Ch.15 Appendix D
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 33,X, 2, 130.00,    305.2000,Iaccarino,Benthic Foraminifers                         ,               ,                  ,3.5%                ,.9%           ,                    ,                       ,2.7%                 ,19.5%                      ,1.8%          ,                      ,31.9%        ,.9%         ,                        ,8.9%          ,1.8%          ,.9%                        ,2.7%                 ,.9%                  ,.9%             ,7.1%                       ,1.8%                ,1.8%                   ,9.7%                         ,.9%                    ,                        ,                     ,                ,                 ,              ,                    ,                   ,                    ,                ,             ,                    ,                  ,                  ,                 ,                       ,                         ,                ,                     ,                         ,              ,                   ,                   ,                           ,                  ,                   ,                    ,                  ,                ,                  ,                    ,                      ,           ,                        ,                ,                        ,                               ,               ,           ,                      ,                   ,           ,              ,                        ,                 ,                 ,                          ,                     ,                 ,                      ,               ,                              ,1.8% indet. specimens; total count=113 ben. forams; from 161SR Ch.15 Appendix D
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 33,X, 2, 132.00,    305.2200,Iaccarino,Benthic Foraminifers                         ,               ,                  ,                    ,              ,                    ,                       ,                     ,                           ,              ,91.0%                 ,3.8%         ,1.3%        ,1.3%                    ,2.4%          ,              ,                           ,                     ,                     ,                ,                           ,                    ,                       ,                             ,                       ,                        ,                     ,                ,                 ,              ,                    ,                   ,                    ,                ,             ,                    ,                  ,                  ,                 ,                       ,                         ,                ,                     ,                         ,              ,                   ,                   ,                           ,                  ,                   ,                    ,                  ,                ,                  ,                    ,                      ,           ,                        ,                ,                        ,                               ,               ,           ,                      ,                   ,           ,              ,                        ,                 ,                 ,                          ,                     ,                 ,                      ,               ,                              ,total count=78 ben. forams; from 161SR Ch.15 Appendix D
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 33,X, 3,  33.00,    305.7300,Iaccarino,Benthic Foraminifers                         ,               ,                  ,                    ,              ,                    ,                       ,33.3%                ,33.3%                      ,16.7%         ,16.7%                 ,             ,            ,                        ,              ,              ,                           ,                     ,                     ,                ,                           ,                    ,                       ,                             ,                       ,                        ,                     ,                ,                 ,              ,                    ,                   ,                    ,                ,             ,                    ,                  ,                  ,                 ,                       ,                         ,                ,                     ,                         ,              ,                   ,                   ,                           ,                  ,                   ,                    ,                  ,                ,                  ,                    ,                      ,           ,                        ,                ,                        ,                               ,               ,           ,                      ,                   ,           ,              ,                        ,                 ,                 ,                          ,                     ,                 ,                      ,               ,                              ,total count=6 ben. forams; from 161SR Ch.15 Appendix D
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 33,X, 3,  35.00,    305.7500,Iaccarino,Benthic Foraminifers                         ,               ,                  ,                    ,33.3%         ,33.3%               ,33.3%                  ,                     ,                           ,              ,                      ,             ,            ,                        ,              ,              ,                           ,                     ,                     ,                ,                           ,                    ,                       ,                             ,                       ,                        ,                     ,                ,                 ,              ,                    ,                   ,                    ,                ,             ,                    ,                  ,                  ,                 ,                       ,                         ,                ,                     ,                         ,              ,                   ,                   ,                           ,                  ,                   ,                    ,                  ,                ,                  ,                    ,                      ,           ,                        ,                ,                        ,                               ,               ,           ,                      ,                   ,           ,              ,                        ,                 ,                 ,                          ,                     ,                 ,                      ,               ,                              ,total count=3 ben. forams; from 161SR Ch.15 Appendix D
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 33,X, 3, 125.00,    306.6500,Iaccarino,Benthic Foraminifers                         ,               ,                  ,100.0%              ,              ,                    ,                       ,                     ,                           ,              ,                      ,             ,            ,                        ,              ,              ,                           ,                     ,                     ,                ,                           ,                    ,                       ,                             ,                       ,                        ,                     ,                ,                 ,              ,                    ,                   ,                    ,                ,             ,                    ,                  ,                  ,                 ,                       ,                         ,                ,                     ,                         ,              ,                   ,                   ,                           ,                  ,                   ,                    ,                  ,                ,                  ,                    ,                      ,           ,                        ,                ,                        ,                               ,               ,           ,                      ,                   ,           ,              ,                        ,                 ,                 ,                          ,                     ,                 ,                      ,               ,                              ,total count=1 ben. forams; from 161SR Ch.15 Appendix D
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
