Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Umbilicosphaera sp. (big opening)	Umbilicosphaera sibogae	Umbilicosphaera dilatata	Thorosphaera flabellata	Sphenolithus moriformis	Sphenolithus abies	Reticulofenestra pseudoumbilicus	Reticulofenestra minutula	Reticulofenestra minuta	Pemma sp.	Helicosphaera carteri	Discoaster spp. (6 rays)	Dictyococcites productus	Coccolithus pelagicus	Calcidiscus premacintyrei	Calcidiscus pataecus	Calcidiscus leptoporus	Braarudosphaera bigelowii	Oolithotus antillarum	Hayaster perplexus	Calcidiscus tropicus	Cyclicargolithus floridanus	Coccolithus miopelagicus	Thoracosphaera heimii	Helicosphaera euphratis	Discolithina sp.	Discoaster variabilis	Discoaster brouweri	Coronocyclus nitescens	Helicosphaera aff. obliqua	Discoaster formosus	Dictyococcites antarcticus	Rhabdosphaera procera	Gephyrocapsa spp. (small)	Cryptococcolithus takayamae	Oolithotus fragilis	Helicosphaera orientalis	Scapholithus fossilis	Discoaster deflandrei	Thoracosphaera fossata	Syracosphaera histrica	Cricosphaera quadrilaminata	Umbilicosphaera spp.	Thoracosphaera saxea	Discoaster surculus	Florisphaera profunda	Rhabdosphaera clavigera	Discoaster spp. (5 rays)	Umbilicosphaera lexus	Syracosphaera pulchra	Syracosphaera binodata	Scyphosphaera pulcherrima	Scyphosphaera apsteinii	Rhabdosphaera longistylis	Helicosphaera wallichii	Helicosphaera aff. inversa	Gephyrocapsa muellerae	Gephyrocapsa margerelii	Discosphaera tubifera	Discolithina japonica	Discolithina indooceanica	Discolithina discopora	Discoaster pentaradiatus	Discoaster adamanteus	Ceratolithus cristatus	Ceratolithus acutus	Discoaster blackstockae	Umbilicosphaera sp. aff. U. sibogae	Discoaster bergenii	Discoaster quinqueramus	Cyclococcolithus cricotus	Amaurolithus primus	Discoaster neorectus	Amaurolithus delicatus	Helicosphaera sellii	Discoaster challengeri	Discoaster triradiatus	Discoaster intercalaris	Discoaster asymmetricus	Amaurolithus amplificus	Discoaster prepentaradiatus	Cyclolithella annula	Triquetrorhabdulus rugosus	Discoaster neohamatus	Discoaster pansus	Ceratolithus rugosus	Amaurolithus tricorniculatus	Sphenolithus sp.	Discolithina multipora	Amaurolithus bizarrus	Discoaster loeblichii	Oolithotus sp.	Discoaster sp. cf. D. surculus	Discoaster tamalis	Pseudoemiliania lacunosa	Coccolithus minimus	Cyclolithella sp.	Discolithina rimosa	Discoaster quadramus	Syracosphaera nodosa	Gephyrocapsa oceanica s.l.	Discolithina scutellum	Umbellosphaera irregularis	Rhabdosphaera stylifera	Holodiscolithus macroporus	Helicosphaera hyalina	Gephyrocapsa caribbeanica	Emiliania huxleyi	Umbilicosphaera hulburtiana	Syracosphaera lamina	Thoracosphaera sp.	Umbellosphaera tenuis	Ceratolithus telesmus	Comment

  SR	Pleistocene      	                 	CN14a             	              	133	 817	A	  4	H	 6	  37.00	     32.5700	Gartner  	Nannofossils                                 	               	                  	                                 	F                      	                        	C                      	                       	                  	                                	                         	                       	         	F                    	                        	C                       	                     	                         	                    	F                     	                         	F                    	R                 	                    	                           	                        	VR                   	                       	                	                     	                   	                      	                          	                   	                          	                     	F                        	                           	                   	                        	F                    	                     	                      	F                     	VR                         	                    	VR                  	                   	C                    	F                      	                        	                     	F                    	                      	                         	VR                     	VR                       	                       	                          	                      	                       	R                    	                     	                         	                      	                        	                     	                      	                   	                       	                                   	                   	                       	                         	                   	                    	                      	                    	                      	                      	                       	                       	                       	                           	R                   	                          	                     	                 	                    	                            	                	                      	                     	                     	              	                              	                  	F                       	R                  	VR               	                   	                    	                    	A                         	                      	VR                        	                       	VR                        	R                    	C                        	                 	F                          	R                   	                  	                     	                     	from ODP 133 SR Chapter 1 Figure 9 p 15 & Table 2 backpocket

  SR	Pleistocene      	                 	CN14a             	              	133	 817	A	  4	H	CC	  14.00	     34.6600	Gartner  	Nannofossils                                 	               	                  	                                 	C                      	                        	C                      	                       	                  	                                	                         	                       	         	F                    	                        	C                       	                     	                         	                    	F                     	                         	F                    	R                 	                    	                           	                        	R                    	                       	                	                     	                   	                      	                          	                   	                          	                     	C                        	                           	                   	                        	F                    	                     	                      	F                     	VR                         	                    	VR                  	                   	C                    	F                      	                        	                     	R                    	                      	                         	                       	                         	                       	                          	                      	C                      	                     	                     	                         	                      	                        	                     	                      	                   	                       	                                   	                   	                       	                         	                   	                    	                      	                    	                      	                      	                       	                       	                       	                           	VR                  	                          	                     	                 	                    	                            	                	                      	                     	                     	              	                              	                  	C                       	VR                 	                 	                   	                    	                    	C                         	R                     	                          	                       	R                         	F                    	R                        	                 	VR                         	R                   	                  	                     	                     	from ODP 133 SR Chapter 1 Figure 9 p 15 & Table 2 backpocket

  SR	Pleistocene      	                 	CN14a             	              	133	 817	A	  5	H	 1	  36.00	     34.5600	Gartner  	Nannofossils                                 	               	                  	                                 	F                      	                        	F                      	                       	                  	                                	                         	                       	         	F                    	                        	C                       	                     	                         	                    	F                     	                         	F                    	VR                	                    	                           	                        	VR                   	                       	                	                     	                   	                      	                          	                   	                          	                     	A                        	                           	                   	                        	F                    	                     	                      	F                     	                           	                    	VR                  	                   	C                    	R                      	                        	                     	R                    	                      	                         	                       	                         	                       	                          	                      	C                      	                     	                     	                         	                      	                        	                     	                      	                   	                       	                                   	                   	                       	                         	                   	                    	                      	                    	                      	                      	                       	                       	                       	                           	VR                  	                          	                     	                 	                    	                            	                	                      	                     	                     	              	                              	                  	C                       	VR                 	                 	                   	                    	                    	C                         	VR                    	                          	                       	VR                        	R                    	R                        	                 	VR                         	R                   	                  	                     	                     	from ODP 133 SR Chapter 1 Figure 9 p 15 & Table 2 backpocket

  SR	Pleistocene      	                 	CN14a             	              	133	 817	A	  5	H	 2	  36.00	     36.0600	Gartner  	Nannofossils                                 	               	                  	                                 	C                      	                        	C                      	                       	                  	                                	                         	                       	         	F                    	                        	C                       	                     	                         	                    	F                     	                         	F                    	VR                	                    	                           	                        	                     	                       	                	                     	                   	                      	                          	                   	                          	                     	A                        	                           	                   	                        	F                    	                     	                      	F                     	VR                         	                    	                    	                   	C                    	R                      	                        	                     	R                    	                      	                         	                       	                         	                       	                          	                      	F                      	R                    	                     	                         	                      	                        	                     	                      	                   	                       	                                   	                   	                       	                         	                   	                    	                      	                    	                      	                      	                       	                       	                       	                           	VR                  	                          	                     	                 	                    	                            	                	                      	                     	                     	              	                              	                  	F                       	VR                 	                 	                   	                    	R                   	C                         	R                     	VR                        	                       	                          	R                    	F                        	                 	R                          	                    	                  	                     	                     	from ODP 133 SR Chapter 1 Figure 9 p 15 & Table 2 backpocket

  SR	Pleistocene      	                 	CN14a             	              	133	 817	A	  5	H	 3	  36.00	     37.5600	Gartner  	Nannofossils                                 	               	                  	                                 	F                      	                        	F                      	                       	                  	                                	                         	                       	         	F                    	                        	C                       	                     	                         	                    	F                     	                         	F                    	VR                	                    	                           	                        	                     	                       	                	                     	                   	                      	                          	                   	                          	                     	A                        	                           	                   	                        	R                    	                     	                      	R                     	VR                         	                    	VR                  	                   	                     	F                      	                        	                     	F                    	                      	                         	                       	                         	                       	                          	                      	F                      	                     	                     	                         	                      	                        	                     	                      	                   	                       	                                   	                   	                       	                         	                   	                    	                      	                    	                      	                      	                       	                       	                       	                           	                    	                          	                     	                 	                    	                            	                	                      	                     	                     	              	                              	                  	F                       	R                  	                 	                   	                    	                    	C                         	R                     	VR                        	                       	                          	VR                   	F                        	                 	R                          	VR                  	                  	VR                   	                     	from ODP 133 SR Chapter 1 Figure 9 p 15 & Table 2 backpocket

  SR	Pleistocene      	                 	CN14a             	              	133	 817	A	  5	H	 4	  36.00	     39.0600	Gartner  	Nannofossils                                 	               	                  	                                 	F                      	                        	C                      	                       	                  	                                	                         	                       	         	F                    	                        	C                       	                     	                         	                    	F                     	                         	F                    	F                 	                    	                           	                        	                     	                       	                	                     	                   	                      	                          	                   	                          	                     	C                        	                           	                   	                        	F                    	                     	                      	F                     	                           	                    	                    	                   	C                    	F                      	                        	                     	F                    	                      	                         	                       	VR                       	                       	                          	                      	F                      	VR                   	                     	                         	                      	                        	                     	                      	                   	                       	                                   	                   	                       	VR                       	                   	                    	                      	                    	                      	                      	                       	                       	                       	                           	VR                  	                          	                     	                 	                    	                            	                	                      	                     	                     	              	                              	                  	C                       	R                  	                 	                   	                    	                    	C                         	                      	                          	                       	VR                        	R                    	                         	                 	R                          	R                   	                  	                     	                     	from ODP 133 SR Chapter 1 Figure 9 p 15 & Table 2 backpocket

  SR	Pleistocene      	                 	CN14a             	              	133	 817	A	  5	H	 5	  36.00	     40.5600	Gartner  	Nannofossils                                 	               	                  	                                 	F                      	                        	F                      	                       	                  	                                	                         	                       	         	F                    	                        	C                       	                     	                         	                    	F                     	                         	F                    	                  	                    	                           	                        	VR                   	                       	                	                     	                   	                      	                          	                   	                          	                     	A                        	                           	F                  	                        	F                    	                     	                      	F                     	VR                         	                    	                    	                   	C                    	F                      	                        	                     	                     	                      	                         	                       	VR                       	                       	                          	                      	C                      	R                    	                     	                         	                      	                        	                     	                      	                   	                       	                                   	                   	                       	                         	                   	                    	                      	                    	                      	                      	                       	                       	                       	                           	                    	                          	                     	                 	                    	                            	                	                      	                     	                     	              	                              	                  	C                       	R                  	                 	                   	                    	                    	C                         	R                     	                          	                       	R                         	                     	R                        	                 	R                          	F                   	                  	                     	                     	from ODP 133 SR Chapter 1 Figure 9 p 15 & Table 2 backpocket

  SR	Pleistocene      	                 	CN14a             	              	133	 817	A	  5	H	 6	  36.00	     42.0600	Gartner  	Nannofossils                                 	               	                  	                                 	C                      	                        	F                      	                       	                  	                                	                         	                       	         	F                    	                        	A                       	                     	                         	                    	F                     	                         	F                    	R                 	                    	                           	                        	                     	                       	                	                     	                   	                      	                          	                   	                          	                     	A                        	                           	F                  	                        	F                    	                     	                      	R                     	VR                         	                    	                    	                   	C                    	F                      	                        	                     	F                    	                      	                         	                       	VR                       	                       	                          	                      	C                      	VR                   	                     	                         	                      	                        	                     	                      	                   	                       	                                   	                   	                       	VR                       	                   	                    	                      	                    	                      	                      	                       	                       	                       	                           	VR                  	                          	                     	                 	                    	                            	                	                      	                     	                     	              	                              	                  	C                       	                   	VR               	                   	                    	                    	C                         	VR                    	                          	                       	VR                        	VR                   	R                        	                 	R                          	                    	                  	                     	                     	from ODP 133 SR Chapter 1 Figure 9 p 15 & Table 2 backpocket

  SR	Pleistocene      	                 	CN14a             	              	133	 817	A	  5	H	CC	  14.00	     43.7100	Gartner  	Nannofossils                                 	               	                  	                                 	F                      	                        	                       	                       	C                 	                                	                         	                       	         	                     	                        	A                       	R                    	                         	                    	VR                    	                         	VR                   	                  	                    	                           	                        	                     	                       	                	                     	                   	                      	                          	                   	                          	                     	                         	                           	                   	                        	                     	                     	                      	                      	                           	                    	                    	                   	R                    	                       	                        	                     	                     	R                     	                         	                       	                         	                       	                          	                      	                       	                     	                     	                         	                      	                        	                     	                      	                   	                       	                                   	                   	                       	VR                       	                   	                    	                      	                    	                      	                      	                       	                       	                       	                           	                    	                          	                     	                 	                    	                            	                	                      	                     	                     	              	                              	                  	                        	                   	                 	                   	                    	                    	                          	                      	                          	                       	                          	                     	                         	                 	                           	                    	                  	                     	                     	from ODP 133 SR Chapter 1 Figure 9 p 15 & Table 2 backpocket

  SR	Pleistocene      	                 	CN14a             	              	133	 817	A	  6	H	 1	  36.00	     44.0600	Gartner  	Nannofossils                                 	               	                  	                                 	F                      	                        	F                      	                       	                  	                                	                         	                       	         	F                    	                        	A                       	                     	                         	                    	F                     	                         	F                    	                  	R                   	                           	                        	VR                   	                       	                	                     	                   	                      	                          	                   	                          	                     	F                        	                           	F                  	                        	F                    	                     	                      	R                     	VR                         	                    	VR                  	                   	C                    	F                      	                        	                     	F                    	                      	                         	                       	                         	                       	                          	                      	F                      	                     	                     	                         	                      	                        	                     	                      	                   	                       	                                   	                   	                       	                         	                   	                    	                      	                    	                      	                      	                       	                       	                       	                           	                    	                          	                     	                 	                    	                            	                	                      	                     	                     	              	                              	                  	A                       	                   	                 	                   	                    	VR                  	R                         	F                     	                          	                       	                          	                     	                         	                 	R                          	                    	                  	                     	                     	from ODP 133 SR Chapter 1 Figure 9 p 15 & Table 2 backpocket

  SR	Pleistocene      	                 	CN13a             	CN13b         	133	 817	A	  6	H	 2	  36.00	     45.5600	Gartner  	Nannofossils                                 	               	                  	                                 	F                      	                        	F                      	                       	                  	                                	                         	                       	         	F                    	                        	A                       	                     	                         	                    	F                     	                         	                     	VR                	                    	                           	                        	VR                   	                       	                	                     	                   	                      	                          	                   	                          	                     	A                        	                           	F                  	                        	R                    	                     	                      	R                     	                           	                    	VR                  	                   	F                    	R                      	                        	                     	F                    	                      	                         	                       	                         	                       	                          	                      	                       	                     	                     	                         	                      	                        	                     	                      	                   	                       	                                   	                   	                       	                         	                   	                    	                      	                    	                      	                      	                       	                       	                       	                           	VR                  	                          	                     	                 	                    	                            	                	                      	                     	                     	              	                              	                  	C                       	                   	                 	                   	                    	                    	VR                        	                      	                          	                       	                          	                     	                         	                 	                           	                    	                  	                     	                     	from ODP 133 SR Chapter 1 Figure 9 p 15 & Table 2 backpocket

  SR	Pleistocene      	                 	CN13a             	CN13b         	133	 817	A	  6	H	 3	  36.00	     47.0600	Gartner  	Nannofossils                                 	               	                  	                                 	C                      	                        	                       	                       	                  	                                	                         	                       	         	F                    	                        	A                       	                     	                         	                    	F                     	                         	R                    	                  	                    	                           	                        	                     	                       	                	                     	                   	                      	                          	                   	                          	                     	A                        	                           	R                  	                        	F                    	                     	                      	F                     	R                          	                    	                    	                   	                     	F                      	                        	                     	VR                   	                      	                         	                       	                         	                       	                          	                      	                       	R                    	                     	                         	                      	                        	                     	                      	                   	                       	                                   	                   	                       	                         	                   	                    	                      	                    	                      	                      	                       	                       	                       	                           	                    	                          	                     	                 	                    	                            	                	                      	                     	                     	              	                              	                  	C                       	R                  	                 	                   	                    	                    	R                         	R                     	VR                        	                       	VR                        	                     	VR                       	                 	                           	VR                  	                  	                     	                     	from ODP 133 SR Chapter 1 Figure 9 p 15 & Table 2 backpocket

  SR	Pleistocene      	                 	CN13a             	CN13b         	133	 817	A	  6	H	 5	  36.00	     50.0600	Gartner  	Nannofossils                                 	               	                  	                                 	C                      	                        	F                      	                       	                  	                                	                         	                       	         	F                    	                        	A                       	                     	                         	                    	F                     	                         	F                    	                  	                    	                           	                        	                     	                       	                	                     	                   	                      	                          	                   	                          	                     	A                        	                           	F                  	                        	F                    	                     	                      	F                     	                           	                    	                    	                   	F                    	F                      	                        	                     	F                    	                      	                         	                       	                         	                       	                          	                      	                       	R                    	                     	                         	                      	                        	                     	                      	                   	                       	                                   	                   	                       	VR                       	                   	                    	                      	                    	                      	                      	                       	                       	                       	                           	                    	                          	                     	                 	                    	                            	                	                      	                     	                     	              	                              	                  	C                       	VR                 	                 	                   	                    	                    	F                         	F                     	                          	                       	                          	VR                   	R                        	                 	                           	                    	                  	                     	                     	from ODP 133 SR Chapter 1 Figure 9 p 15 & Table 2 backpocket

  SR	Pleistocene      	                 	CN13a             	CN13b         	133	 817	A	  6	H	 6	  36.00	     51.5600	Gartner  	Nannofossils                                 	               	                  	                                 	C                      	                        	F                      	                       	                  	                                	                         	                       	         	                     	                        	A                       	                     	                         	                    	F                     	                         	F                    	                  	                    	                           	                        	VR                   	                       	                	                     	                   	                      	                          	                   	F                         	                     	A                        	                           	F                  	                        	F                    	                     	                      	F                     	VR                         	                    	VR                  	                   	C                    	F                      	                        	                     	F                    	                      	                         	                       	                         	                       	                          	                      	VR                     	VR                   	                     	                         	                      	                        	                     	                      	                   	                       	                                   	                   	                       	                         	                   	                    	                      	                    	                      	                      	                       	                       	                       	                           	                    	                          	                     	                 	                    	                            	                	                      	                     	                     	              	                              	                  	C                       	                   	                 	                   	                    	VR                  	F                         	R                     	                          	                       	                          	                     	                         	                 	                           	                    	                  	                     	                     	from ODP 133 SR Chapter 1 Figure 9 p 15 & Table 2 backpocket

  SR	Pleistocene      	                 	CN13a             	CN13b         	133	 817	A	  6	H	 7	  36.00	     53.0600	Gartner  	Nannofossils                                 	               	                  	                                 	F                      	                        	F                      	                       	                  	                                	                         	                       	         	F                    	                        	A                       	                     	                         	                    	F                     	                         	F                    	VR                	                    	                           	                        	R                    	                       	                	                     	                   	                      	                          	                   	                          	                     	A                        	                           	F                  	                        	                     	                     	                      	F                     	R                          	                    	F                   	                   	F                    	                       	                        	                     	F                    	                      	                         	                       	                         	                       	                          	                      	                       	VR                   	                     	                         	                      	                        	                     	                      	                   	                       	                                   	                   	                       	                         	                   	                    	                      	                    	                      	                      	                       	                       	                       	                           	                    	                          	                     	                 	                    	                            	                	                      	                     	                     	              	                              	                  	F                       	R                  	                 	                   	                    	                    	R                         	R                     	                          	                       	                          	                     	F                        	                 	                           	VR                  	                  	                     	                     	from ODP 133 SR Chapter 1 Figure 9 p 15 & Table 2 backpocket

  SR	Pleistocene      	                 	CN13a             	CN13b         	133	 817	A	  6	H	CC	  14.00	     53.7100	Gartner  	Nannofossils                                 	               	                  	                                 	C                      	                        	F                      	                       	                  	                                	                         	                       	         	C                    	                        	A                       	                     	                         	                    	C                     	                         	F                    	                  	                    	                           	                        	R                    	                       	                	                     	                   	                      	                          	                   	R                         	                     	A                        	                           	                   	                        	R                    	                     	                      	R                     	                           	                    	                    	                   	                     	F                      	                        	                     	F                    	                      	                         	                       	                         	                       	                          	                      	VR                     	                     	                     	                         	                      	                        	                     	                      	                   	                       	                                   	                   	                       	                         	                   	                    	                      	                    	                      	                      	                       	                       	                       	                           	                    	                          	                     	                 	                    	                            	                	                      	                     	                     	              	                              	                  	F                       	R                  	                 	                   	                    	                    	F                         	F                     	                          	                       	                          	                     	F                        	                 	VR                         	                    	                  	                     	                     	from ODP 133 SR Chapter 1 Figure 9 p 15 & Table 2 backpocket
