Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thalassiosira vulnifica,Thalassiosira kolbei,Nitzschia weaveri,Coscinodiscus insignis,Hemidiscus karstenii,Actinocyclus ingens var. planus,Simonseniella barboi,Thalassiosira elliptipora,Comment
  SR,                 ,                 ,                  ,              ,114, 701,C,  4,H, 6,  24.00,     33.0400,Fenner   ,Diatoms                                      ,               ,                  ,2.1%                   ,                    ,                 ,                      ,                    ,20.0%                          ,                    ,.3%                      ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  4,H, 6,  35.00,     33.1500,Fenner   ,Diatoms                                      ,               ,                  ,2.0%                   ,                    ,                 ,                      ,                    ,26.2%                          ,                    ,                         ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  4,H,CC,  25.00,     35.2200,Fenner   ,Diatoms                                      ,               ,                  ,.8%                    ,                    ,                 ,                      ,                    ,8.6%                           ,                    ,3.4%                     ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  5,H, 4,  60.00,     39.9000,Fenner   ,Diatoms                                      ,               ,                  ,1.7%                   ,                    ,                 ,                      ,                    ,12.5%                          ,                    ,                         ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  5,H, 4,  85.00,     40.1500,Fenner   ,Diatoms                                      ,               ,                  ,.8%                    ,                    ,                 ,                      ,                    ,18.1%                          ,                    ,                         ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  5,H, 4, 110.00,     40.4000,Fenner   ,Diatoms                                      ,               ,                  ,1.0%                   ,                    ,                 ,                      ,                    ,15.7%                          ,                    ,                         ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  5,H, 4, 139.00,     40.6900,Fenner   ,Diatoms                                      ,               ,                  ,.3%                    ,                    ,                 ,                      ,                    ,9.2%                           ,.3%                 ,                         ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  5,H, 5,   9.00,     40.8900,Fenner   ,Diatoms                                      ,               ,                  ,1.4%                   ,                    ,                 ,                      ,                    ,19.8%                          ,                    ,                         ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  5,H, 5,  35.00,     41.1500,Fenner   ,Diatoms                                      ,               ,                  ,.3%                    ,                    ,                 ,                      ,                    ,26.1%                          ,                    ,                         ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  5,H, 5,  60.00,     41.4000,Fenner   ,Diatoms                                      ,               ,                  ,2.8%                   ,                    ,                 ,                      ,                    ,20.5%                          ,                    ,                         ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  5,H, 5,  85.00,     41.6500,Fenner   ,Diatoms                                      ,               ,                  ,.4%                    ,.4%                 ,                 ,                      ,                    ,12.2%                          ,                    ,                         ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  5,H, 5, 110.00,     41.9000,Fenner   ,Diatoms                                      ,               ,                  ,.8%                    ,                    ,                 ,                      ,                    ,26.6%                          ,                    ,                         ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  5,H, 5, 135.00,     42.1500,Fenner   ,Diatoms                                      ,               ,                  ,2.6%                   ,                    ,                 ,                      ,                    ,30.4%                          ,                    ,                         ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  5,H, 6,   9.00,     42.3900,Fenner   ,Diatoms                                      ,               ,                  ,.9%                    ,                    ,                 ,                      ,                    ,30.5%                          ,                    ,                         ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  5,H, 6,  35.00,     42.6500,Fenner   ,Diatoms                                      ,               ,                  ,2.1%                   ,                    ,                 ,                      ,                    ,21.2%                          ,                    ,                         ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  5,H, 6,  60.00,     42.9000,Fenner   ,Diatoms                                      ,               ,                  ,1.0%                   ,                    ,                 ,                      ,                    ,21.7%                          ,                    ,                         ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  5,H, 6,  85.00,     43.1500,Fenner   ,Diatoms                                      ,               ,                  ,.9%                    ,                    ,                 ,                      ,                    ,14.6%                          ,                    ,                         ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  5,H, 6, 110.00,     43.4000,Fenner   ,Diatoms                                      ,               ,                  ,3.8%                   ,                    ,                 ,                      ,                    ,21.9%                          ,                    ,                         ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  5,H, 6, 135.00,     43.6500,Fenner   ,Diatoms                                      ,               ,                  ,.6%                    ,                    ,                 ,                      ,                    ,26.0%                          ,                    ,                         ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  5,H,CC,   6.00,     44.7400,Fenner   ,Diatoms                                      ,               ,                  ,1.0%                   ,                    ,                 ,                      ,.5%                 ,20.2%                          ,                    ,.4%                      ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  6,H, 1,  85.00,     45.1500,Fenner   ,Diatoms                                      ,               ,                  ,2.2%                   ,.3%                 ,                 ,                      ,                    ,22.9%                          ,.6%                 ,                         ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  6,H, 1, 110.00,     45.4000,Fenner   ,Diatoms                                      ,               ,                  ,3.1%                   ,                    ,                 ,                      ,                    ,22.4%                          ,                    ,                         ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  6,H, 1, 135.00,     45.6500,Fenner   ,Diatoms                                      ,               ,                  ,1.6%                   ,                    ,                 ,                      ,                    ,27.7%                          ,.4%                 ,                         ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  6,H, 2,  10.00,     45.9000,Fenner   ,Diatoms                                      ,               ,                  ,1.5%                   ,                    ,                 ,                      ,                    ,27.0%                          ,.8%                 ,                         ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  6,H, 2,  35.00,     46.1500,Fenner   ,Diatoms                                      ,               ,                  ,2.0%                   ,                    ,                 ,                      ,.4%                 ,32.2%                          ,.2%                 ,                         ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  6,H, 2,  60.00,     46.4000,Fenner   ,Diatoms                                      ,               ,                  ,                       ,.3%                 ,                 ,                      ,                    ,48.6%                          ,.3%                 ,                         ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  6,H, 2,  85.00,     46.6500,Fenner   ,Diatoms                                      ,               ,                  ,.6%                    ,.3%                 ,                 ,                      ,                    ,45.6%                          ,                    ,                         ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  6,H, 2, 110.00,     46.9000,Fenner   ,Diatoms                                      ,               ,                  ,1.0%                   ,.2%                 ,                 ,                      ,.2%                 ,26.0%                          ,                    ,                         ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  6,H, 2, 135.00,     47.1500,Fenner   ,Diatoms                                      ,               ,                  ,1.0%                   ,.2%                 ,                 ,                      ,                    ,29.3%                          ,.2%                 ,                         ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  6,H, 3,  10.00,     47.4000,Fenner   ,Diatoms                                      ,               ,                  ,1.7%                   ,.2%                 ,                 ,                      ,                    ,26.1%                          ,.2%                 ,                         ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  6,H, 3,  60.00,     47.9000,Fenner   ,Diatoms                                      ,               ,                  ,.7%                    ,.2%                 ,                 ,                      ,                    ,37.4%                          ,.2%                 ,                         ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  6,H, 3,  85.00,     48.1500,Fenner   ,Diatoms                                      ,               ,                  ,.9%                    ,.3%                 ,                 ,                      ,                    ,46.4%                          ,                    ,                         ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  6,H, 3, 110.00,     48.4000,Fenner   ,Diatoms                                      ,               ,                  ,1.8%                   ,                    ,                 ,                      ,                    ,26.5%                          ,.3%                 ,                         ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  6,H, 3, 135.00,     48.6500,Fenner   ,Diatoms                                      ,               ,                  ,3.8%                   ,.4%                 ,                 ,                      ,                    ,20.8%                          ,.9%                 ,                         ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  6,H, 4,  60.00,     49.4000,Fenner   ,Diatoms                                      ,               ,                  ,.9%                    ,.4%                 ,                 ,                      ,                    ,29.5%                          ,.1%                 ,                         ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  6,H, 4,  85.00,     49.6500,Fenner   ,Diatoms                                      ,               ,                  ,1.5%                   ,.7%                 ,                 ,                      ,                    ,31.2%                          ,                    ,                         ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  6,H, 4, 110.00,     49.9000,Fenner   ,Diatoms                                      ,               ,                  ,1.0%                   ,1.6%                ,                 ,                      ,                    ,27.8%                          ,.8%                 ,                         ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  6,H, 4, 135.00,     50.1500,Fenner   ,Diatoms                                      ,               ,                  ,.4%                    ,.9%                 ,.2%              ,.2%                   ,                    ,37.9%                          ,.7%                 ,                         ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  6,H, 5,  10.00,     50.4000,Fenner   ,Diatoms                                      ,               ,                  ,.9%                    ,1.1%                ,                 ,                      ,                    ,27.4%                          ,.5%                 ,                         ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  6,H, 5,  35.00,     50.6500,Fenner   ,Diatoms                                      ,               ,                  ,1.7%                   ,3.3%                ,                 ,                      ,                    ,30.0%                          ,.9%                 ,                         ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  6,H, 5,  60.00,     50.9000,Fenner   ,Diatoms                                      ,               ,                  ,1.6%                   ,2.1%                ,                 ,                      ,                    ,42.6%                          ,1.6%                ,                         ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  6,H, 5,  85.00,     51.1500,Fenner   ,Diatoms                                      ,               ,                  ,3.1%                   ,.9%                 ,                 ,.2%                   ,                    ,21.1%                          ,.4%                 ,                         ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  6,H, 5, 110.00,     51.4000,Fenner   ,Diatoms                                      ,               ,                  ,2.8%                   ,1.6%                ,                 ,                      ,                    ,12.0%                          ,1.6%                ,                         ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  6,H, 5, 135.00,     51.6500,Fenner   ,Diatoms                                      ,               ,                  ,1.2%                   ,2.9%                ,                 ,.2%                   ,                    ,16.0%                          ,.6%                 ,                         ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  6,H, 6,  10.00,     51.9000,Fenner   ,Diatoms                                      ,               ,                  ,2.9%                   ,2.1%                ,                 ,                      ,                    ,21.8%                          ,1.7%                ,                         ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  6,H, 6,  35.00,     52.1500,Fenner   ,Diatoms                                      ,               ,                  ,1.9%                   ,2.1%                ,                 ,                      ,                    ,22.9%                          ,1.6%                ,                         ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  6,H, 6,  85.00,     52.6500,Fenner   ,Diatoms                                      ,               ,                  ,1.2%                   ,5.7%                ,                 ,                      ,                    ,39.0%                          ,.3%                 ,                         ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  6,H,CC,  13.00,     53.8600,Fenner   ,Diatoms                                      ,               ,                  ,1.0%                   ,                    ,                 ,                      ,                    ,16.9%                          ,1.0%                ,                         ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  7,H, 2,   8.00,     55.3800,Fenner   ,Diatoms                                      ,               ,                  ,2.2%                   ,2.7%                ,                 ,                      ,                    ,3.8%                           ,.3%                 ,                         ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  7,H, 4,   8.00,     58.3800,Fenner   ,Diatoms                                      ,               ,                  ,3.6%                   ,.9%                 ,                 ,                      ,                    ,6.8%                           ,                    ,                         ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  7,H, 4, 100.00,     59.3000,Fenner   ,Diatoms                                      ,               ,                  ,.7%                    ,2.2%                ,                 ,.2%                   ,                    ,1.4%                           ,.2%                 ,                         ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  7,H,CC,   9.00,     60.3500,Fenner   ,Diatoms                                      ,               ,                  ,                       ,.5%                 ,                 ,.5%                   ,                    ,14.9%                          ,                    ,                         ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  8,H, 2,  10.00,     64.9000,Fenner   ,Diatoms                                      ,               ,                  ,7.1%                   ,.5%                 ,                 ,                      ,.9%                 ,                               ,                    ,                         ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  8,H, 3, 100.00,     67.3000,Fenner   ,Diatoms                                      ,               ,                  ,.5%                    ,.5%                 ,                 ,.2%                   ,                    ,                               ,                    ,                         ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  8,H, 4,  10.00,     67.9000,Fenner   ,Diatoms                                      ,               ,                  ,11.0%                  ,                    ,                 ,1.0%                  ,                    ,                               ,                    ,                         ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  8,H,CC,  18.00,     73.3100,Fenner   ,Diatoms                                      ,               ,                  ,2.7%                   ,.7%                 ,7.3%             ,7.6%                  ,                    ,                               ,                    ,                         ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  9,H, 1, 120.00,     74.0000,Fenner   ,Diatoms                                      ,               ,                  ,1.8%                   ,.5%                 ,.5%              ,3.8%                  ,                    ,                               ,                    ,                         ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  9,H, 2,  80.00,     75.1000,Fenner   ,Diatoms                                      ,               ,                  ,1.4%                   ,.9%                 ,3.2%             ,3.7%                  ,                    ,                               ,                    ,                         ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  9,H, 4,  80.00,     78.1000,Fenner   ,Diatoms                                      ,               ,                  ,.9%                    ,                    ,4.9%             ,                      ,                    ,                               ,                    ,                         ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  9,H, 4, 100.00,     78.3000,Fenner   ,Diatoms                                      ,               ,                  ,.7%                    ,                    ,3.1%             ,1.4%                  ,.4%                 ,                               ,                    ,                         ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  9,H,CC,  20.00,     80.2900,Fenner   ,Diatoms                                      ,               ,                  ,1.1%                   ,.5%                 ,1.1%             ,2.7%                  ,                    ,                               ,                    ,                         ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
