Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Rigaudella aemula	Peridictyocysta mirabilis	Oligosphaeridium sp. A	Meiourogonyaulax maculata	Meiourogonyaulax diaphanis	Leptodinium eumorphum	Egmontodinium torynum	Belodinium nereidis	Batioladinium spp.	Amphorula sp. A	Acanthaulax granulata	Wanaea spp.	Scriniodinium attadalense	Perisseiasphaeridium inusitatum	Gonyaulacysta jurassica	Fromea cylindrica	Wallodinium luna	Tubotuberella spp.	Meiourogonyaulax sp. A	Hystrichodinium group B	Dingodinium jurassicum	Ellipsoidictyum cinctum	Bourkidinium spp.	Tetrachacysta sp. A	Scriniodinium ceratophorum	Papuadinium apiculatum	Meiourogonyaulax stoveri	Prolixosphaeridium spp.	Meiourogonyaulax cf. maculatum	Sentusidinium sp. A	Pareodinia spp.	Scriniodinium crystallinum	Tanyosphaeridium spp.	Nannoceratopsis pellucida	Systematophora areolata	Leptodinium mirabile	Amphorula? sp. B	Hystrichodinium group A	Wallodinium spp.	Canninginopsis tabulata	Dissimulidinium lobispinosum	Scriniodinium playfordii	Tetrachacysta sp. B	Stiphrosphaeridium anthophorum	Pareodinia robusta	Liesbergia sp. A	Oligosphaeridium diluculum	Batioladinium reticulatum	Balcattia sp. A	Apteodinium granulatum	Dapsilidinium warrenii	Cassiculosphaeridia magna	Circulodinium deflandrei	Comment

  SR	Berriasian       	                 	4aiv              	              	122	 763	C	 19	R	 5	 107.00	    777.6700	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	+                        	                      	                         	+                         	                     	                     	                   	                  	               	                     	           	+                        	                               	                       	+                	                	                  	                      	                       	+                     	                       	                 	                   	                          	                      	                        	                       	                              	                   	               	                          	                     	                         	                       	                    	                	                       	                	                       	+                           	                        	                   	                              	                  	+               	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4aiv              	              	122	 763	C	 20	R	 2	  40.00	    782.0000	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	+                	                         	                      	                         	                          	+                    	                     	                   	+                 	               	                     	           	                         	                               	                       	+                	                	                  	                      	                       	                      	                       	                 	                   	                          	                      	                        	                       	                              	                   	               	                          	                     	                         	                       	                    	                	                       	                	                       	+                           	                        	                   	                              	                  	+               	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4aiv              	              	122	 763	C	 20	R	 3	  40.00	    783.5000	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	+                	                         	                      	                         	                          	                     	                     	                   	+                 	               	                     	           	                         	                               	                       	                 	                	                  	                      	+                      	                      	                       	                 	                   	                          	                      	                        	                       	                              	                   	               	                          	                     	                         	                       	                    	                	                       	                	                       	+                           	                        	                   	                              	                  	+               	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4aiv              	              	122	 763	C	 20	R	 4	  40.00	    785.0000	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	+                	+                        	                      	                         	+                         	                     	                     	                   	                  	               	                     	           	                         	                               	                       	                 	                	                  	                      	                       	                      	                       	                 	+                  	                          	                      	                        	                       	                              	                   	               	                          	                     	                         	                       	                    	                	                       	                	                       	+                           	                        	                   	                              	                  	                	                          	                         	+              	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4aiv              	              	122	 763	C	 20	R	 5	  40.00	    786.5000	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	+                        	                      	                         	                          	                     	                     	+                  	                  	               	                     	           	                         	                               	                       	                 	                	                  	                      	                       	                      	                       	                 	                   	                          	                      	                        	                       	                              	                   	               	                          	                     	                         	                       	                    	                	                       	                	                       	+                           	                        	                   	                              	                  	                	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4aiv              	              	122	 763	C	 21	R	 1	  47.00	    790.0700	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	+                	+                        	+                     	                         	                          	                     	                     	                   	+                 	               	                     	           	                         	                               	                       	                 	                	                  	                      	                       	                      	                       	                 	+                  	                          	                      	                        	                       	                              	                   	               	                          	+                    	                         	                       	                    	                	                       	                	                       	+                           	                        	                   	                              	                  	+               	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4aiv              	              	122	 763	C	 21	R	 2	  47.00	    791.5700	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	                         	                      	                         	                          	                     	                     	                   	                  	               	                     	+r         	                         	                               	                       	+                	                	                  	                      	                       	                      	                       	                 	                   	                          	                      	                        	                       	                              	                   	               	                          	                     	                         	                       	                    	                	                       	                	                       	+                           	                        	                   	                              	                  	+               	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4aiv              	              	122	 763	C	 21	R	 3	  47.00	    793.0700	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	+                        	                      	+                        	                          	+                    	                     	                   	+                 	               	                     	           	+                        	                               	                       	+                	                	                  	                      	                       	                      	                       	                 	                   	                          	                      	                        	                       	                              	                   	               	                          	+                    	+                        	                       	                    	                	                       	                	                       	+                           	                        	                   	                              	                  	+               	                          	+                        	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4bi               	              	122	 763	C	 21	R	 4	  47.00	    794.5700	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	+                        	                      	                         	                          	                     	                     	                   	+                 	               	                     	           	                         	                               	                       	                 	                	                  	                      	                       	                      	                       	                 	+                  	                          	                      	                        	                       	                              	                   	               	                          	                     	                         	                       	                    	                	                       	                	                       	+                           	                        	                   	                              	                  	+               	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4bi               	              	122	 763	C	 21	R	 5	  47.00	    796.0700	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	+                	+                        	                      	                         	                          	+                    	                     	                   	+                 	               	                     	           	                         	                               	                       	+                	                	                  	+                     	                       	                      	                       	                 	                   	                          	                      	                        	                       	                              	                   	               	                          	+                    	                         	                       	                    	                	+                      	                	                       	+                           	                        	                   	                              	                  	                	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4bi               	              	122	 763	C	 21	R	 6	  47.00	    797.5700	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	                         	                      	                         	                          	                     	                     	                   	                  	               	                     	           	                         	                               	                       	                 	                	                  	                      	                       	                      	                       	                 	                   	                          	                      	                        	                       	                              	                   	               	                          	                     	                         	                       	                    	                	+                      	+               	                       	                            	                        	                   	                              	                  	                	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4bi               	              	122	 763	C	 22	R	 1	  46.00	    799.5600	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	                         	                      	                         	                          	+                    	+                    	+                  	+                 	               	                     	           	                         	                               	                       	                 	                	                  	                      	                       	+                     	                       	                 	                   	                          	                      	                        	                       	                              	+                  	               	                          	+                    	                         	                       	                    	                	+                      	                	                       	                            	                        	+                  	                              	                  	                	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4bi               	              	122	 763	C	 22	R	 2	  45.00	    801.0500	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	+                	                         	                      	                         	                          	+                    	                     	                   	                  	               	                     	           	                         	                               	                       	                 	                	                  	                      	                       	                      	                       	                 	                   	                          	                      	                        	+                      	                              	+                  	               	                          	+                    	                         	                       	+r                  	                	+                      	                	                       	                            	                        	+                  	                              	                  	+               	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4bi               	              	122	 763	C	 22	R	 3	  45.00	    802.5500	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	                         	                      	                         	                          	                     	                     	                   	                  	               	                     	           	                         	                               	                       	+                	                	                  	                      	                       	                      	                       	                 	                   	                          	                      	                        	                       	                              	                   	               	                          	+                    	                         	                       	                    	                	                       	                	                       	                            	                        	                   	                              	                  	+               	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4bi               	              	122	 763	C	 22	R	 4	  46.00	    804.0600	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	                         	                      	                         	                          	                     	                     	                   	+                 	               	                     	           	                         	                               	                       	                 	                	                  	                      	                       	                      	                       	                 	                   	                          	                      	                        	                       	                              	                   	               	                          	                     	                         	                       	                    	                	                       	                	                       	+                           	                        	                   	                              	                  	+               	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4bi               	              	122	 763	C	 22	R	 5	  47.00	    805.5700	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	+                	                         	                      	                         	                          	                     	                     	                   	                  	+              	                     	           	+                        	                               	                       	+                	                	                  	                      	                       	+                     	                       	                 	                   	                          	                      	                        	                       	                              	                   	               	                          	                     	                         	                       	                    	                	+                      	                	                       	+                           	                        	                   	                              	                  	                	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4bi               	              	122	 763	C	 22	R	 6	  48.00	    807.0800	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	+                        	                      	+                        	+                         	+                    	+                    	                   	                  	               	                     	           	                         	                               	                       	                 	                	                  	                      	                       	                      	                       	                 	                   	                          	                      	                        	                       	                              	+                  	+              	                          	+                    	                         	                       	                    	                	+                      	                	                       	+                           	                        	                   	                              	                  	+               	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4bi               	              	122	 763	C	 22	R	 7	  47.00	    808.5700	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	                         	+                     	                         	                          	                     	                     	                   	                  	               	                     	+r         	                         	                               	                       	                 	                	                  	                      	                       	                      	                       	                 	                   	                          	                      	                        	                       	                              	+                  	               	                          	+                    	                         	                       	                    	                	+                      	                	                       	+                           	                        	+                  	                              	                  	+               	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4bi               	              	122	 763	C	 23	R	 1	  68.00	    809.2800	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	+                        	                      	+                        	                          	                     	                     	                   	                  	               	                     	+r         	                         	                               	                       	                 	                	                  	                      	                       	                      	                       	                 	                   	                          	                      	                        	                       	                              	+                  	               	                          	                     	                         	                       	                    	                	+                      	                	                       	                            	                        	                   	                              	                  	+               	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4bi               	              	122	 763	C	 23	R	 1	 106.00	    809.6600	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	+                        	                      	+                        	                          	                     	                     	                   	                  	               	                     	           	                         	                               	                       	                 	                	                  	                      	                       	                      	                       	                 	                   	                          	                      	                        	                       	                              	+                  	               	                          	+                    	                         	                       	                    	                	+                      	                	                       	                            	                        	                   	                              	                  	+               	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4bi               	              	122	 763	C	 23	R	 3	  65.00	    812.2500	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	+                	+                        	                      	+                        	                          	                     	                     	                   	                  	               	                     	           	                         	                               	                       	                 	                	                  	                      	                       	                      	                       	                 	                   	                          	                      	                        	                       	                              	+                  	               	                          	                     	                         	                       	                    	                	+                      	                	                       	                            	                        	                   	                              	                  	+               	+                         	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4bi               	              	122	 763	C	 23	R	 4	 103.00	    814.1300	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	                         	+                     	+                        	                          	+                    	                     	                   	                  	               	                     	           	+                        	                               	                       	                 	+               	                  	                      	                       	                      	                       	                 	                   	                          	                      	                        	                       	                              	+                  	               	                          	                     	                         	                       	                    	                	+                      	                	                       	+                           	                        	                   	                              	                  	                	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4bi               	              	122	 763	C	 24	R	 1	  48.00	    818.5800	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	+                        	                      	+                        	                          	                     	                     	                   	                  	               	+                    	           	+                        	                               	                       	+                	                	                  	                      	                       	+                     	                       	                 	                   	                          	                      	                        	                       	                              	                   	               	                          	+                    	                         	                       	                    	                	+                      	                	                       	                            	                        	                   	                              	                  	+               	+                         	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4bi               	              	122	 763	C	 24	R	 2	  48.00	    820.0800	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	+                        	                      	+                        	                          	+                    	                     	                   	+                 	+              	+                    	           	                         	                               	                       	                 	                	                  	+                     	                       	+                     	                       	+                	                   	                          	                      	+                       	                       	                              	                   	               	                          	                     	                         	                       	                    	                	+                      	                	                       	+                           	                        	                   	                              	                  	                	+                         	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4bi               	              	122	 763	C	 24	R	 3	  46.00	    821.5600	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	+                        	                      	+                        	                          	+                    	                     	                   	                  	               	                     	           	                         	                               	                       	+                	                	                  	                      	                       	                      	                       	                 	                   	                          	                      	                        	                       	                              	+                  	               	                          	                     	                         	                       	                    	                	+                      	                	                       	+                           	                        	                   	                              	                  	+               	+                         	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4bi               	              	122	 763	C	 24	R	 4	  46.00	    823.0600	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	+                        	+                     	+                        	                          	                     	                     	                   	                  	               	                     	           	                         	                               	                       	+                	                	                  	+                     	                       	+                     	                       	+                	+                  	                          	                      	                        	                       	                              	                   	               	                          	+                    	                         	                       	                    	                	+                      	                	                       	+                           	                        	                   	+                             	                  	                	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4bi               	              	122	 763	C	 24	R	 5	  46.00	    824.5600	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	+                        	+                     	+                        	                          	                     	                     	                   	+                 	+              	+                    	           	+                        	                               	                       	                 	                	                  	                      	                       	                      	                       	+                	                   	                          	                      	                        	                       	                              	+                  	               	                          	                     	                         	+                      	                    	                	+                      	                	+                      	+                           	                        	                   	                              	                  	+               	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4bi               	              	122	 763	C	 24	R	 6	  46.00	    826.0600	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	+                	+                        	+                     	+                        	                          	+                    	                     	                   	+                 	+              	+                    	           	                         	                               	                       	+                	                	                  	                      	                       	                      	                       	+                	                   	                          	                      	                        	                       	                              	+                  	               	                          	+                    	                         	                       	                    	                	+                      	                	                       	+                           	                        	+                  	                              	                  	+               	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4bi               	              	122	 763	C	 24	R	 7	  46.00	    827.5600	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	+                        	                      	+                        	                          	+                    	                     	                   	+                 	               	                     	           	                         	                               	                       	                 	                	                  	                      	+                      	                      	                       	+                	                   	                          	                      	                        	                       	                              	+                  	               	+r                        	                     	                         	                       	                    	                	+                      	                	                       	                            	                        	+                  	                              	                  	+               	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4bi               	              	122	 763	C	 25	R	 1	  48.00	    828.0800	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	+                        	                      	+                        	                          	+                    	                     	                   	+                 	               	                     	           	                         	                               	                       	+                	                	                  	                      	                       	                      	                       	                 	                   	                          	                      	                        	                       	                              	+                  	               	                          	+                    	                         	                       	                    	                	+                      	                	                       	+                           	                        	+                  	                              	                  	+               	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4bi               	              	122	 763	C	 25	R	 2	  48.00	    829.5800	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	+                        	                      	+                        	                          	+                    	                     	                   	                  	               	+                    	           	                         	                               	                       	                 	                	                  	                      	                       	                      	                       	+                	                   	                          	                      	                        	                       	                              	+                  	               	                          	                     	                         	                       	                    	                	+                      	                	                       	+                           	                        	+                  	                              	                  	+               	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513
