Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Orbulina universa,Orbulina suturalis,Neogloboquadrina praehumerosa,Neogloboquadrina incompta (sinsitral),Neogloboquadrina incompta (dextral),Neogloboquadrina acostaensis (sinistral),Neogloboquadrina acostaensis (dextral),Globorotaloides spp.,Globorotalia scitula (sinistral),Globorotalia scitula (dextral),Globorotalia menardii group,Globoquadrina spp.,Globigerinoides trilobus s.l.,Globigerinoides obliquus obliquus,Globigerinoides bulloideus,Globigerinita uvula,Globigerinita glutinata,Globigerinids sp.,Globigerinella pseudobesa,Globigerinella praecalida,Globigerina quinqueloba,Globigerina nepenthes,Globigerina multiloba,Globigerina foliata,Globigerina falconensis,Globigerina decoraperta,Globigerina cf. woodi,Globigerina bulloides,Beella praedigitata,Neogloboquadrina pachyderma,Hastigerina siphonifera,Globigerinoides obliquus extremus,Globigerinella obesa,Globigerina apertura,Orbulina bilobata,Globigerinoides ruber,Globigerinoides trilobus,Sphaeroidinellopsis seminulina,Globigerinoides quadrilobatus,Turborotalita sp.,Globigerinoides conglobatus,Globigerinoides sacculifer,Globorotalia margaritae,Comment
  SR,                 ,                 ,                  ,              ,161, 974,B, 22,X, 3, 115.00,    198.2500,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,C                ,F                 ,R                            ,R                                    ,C                                  ,                                        ,C12.8%                                ,R                   ,                                ,R.9%                          ,                           ,R                 ,                             ,C                                ,R                         ,                   ,C                      ,F                ,F                        ,                         ,R                      ,C5.8%                ,                     ,R                  ,C                      ,C                      ,R                    ,C                    ,R                  ,R                          ,R                      ,R                                ,R                   ,F                   ,                 ,                     ,                        ,R.4%                          ,                             ,                 ,                           ,                          ,                       ,from 161SR.Ch. 15. Table 2 and Appendix A.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 974,B, 22,X, 3, 130.00,    198.4000,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,F                ,F                 ,R                            ,R                                    ,C                                  ,R.5%                                    ,A15.7%                                ,R                   ,                                ,R.5%                          ,                           ,R                 ,                             ,F                                ,R                         ,R                  ,C                      ,F                ,F                        ,                         ,R                      ,C14.1%               ,                     ,                   ,F                      ,A                      ,                     ,F                    ,                   ,                           ,R                      ,                                 ,                    ,F                   ,                 ,                     ,R                       ,                              ,                             ,                 ,                           ,                          ,                       ,from 161SR.Ch. 15. Table 2 and Appendix A.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 974,B, 22,X, 4,  14.00,    198.7400,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,F                ,F                 ,R                            ,C                                    ,R                                  ,C14.3%                                  ,R.9%                                  ,                    ,                                ,R.6%                          ,                           ,                  ,R                            ,C                                ,                          ,                   ,C                      ,F                ,F                        ,R                        ,R                      ,C9.9%                ,                     ,R                  ,R                      ,C                      ,                     ,C                    ,F                  ,R                          ,                       ,C                                ,                    ,R                   ,                 ,                     ,                        ,                              ,                             ,                 ,                           ,                          ,                       ,from 161SR.Ch. 15. Table 2 and Appendix A.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 974,B, 22,X, 4,  34.00,    198.9400,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,R                ,R                 ,R                            ,F                                    ,                                   ,A17.3%                                  ,F1.2%                                 ,R                   ,                                ,R.6%                          ,                           ,                  ,                             ,C                                ,                          ,R                  ,C                      ,R                ,F                        ,                         ,R                      ,C7.9%                ,                     ,R                  ,F                      ,A                      ,                     ,C                    ,F                  ,R                          ,                       ,                                 ,R                   ,                    ,R                ,                     ,R                       ,                              ,                             ,                 ,                           ,                          ,                       ,from 161SR.Ch. 15. Table 2 and Appendix A.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 974,B, 22,X, 4,  52.00,    199.1200,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,F                ,F                 ,R                            ,C                                    ,R                                  ,C10.4%                                  ,R.3%                                  ,R                   ,                                ,R.8%                          ,                           ,R                 ,                             ,C                                ,R                         ,R                  ,A                      ,F                ,F                        ,                         ,C                      ,C6.5%                ,                     ,F                  ,F                      ,A                      ,                     ,C                    ,F                  ,                           ,                       ,R                                ,                    ,R                   ,R                ,R                    ,                        ,                              ,                             ,                 ,                           ,                          ,                       ,from 161SR.Ch. 15. Table 2 and Appendix A.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 974,B, 22,X, 4,  70.00,    199.3000,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,C                ,F                 ,                             ,F                                    ,                                   ,C10.3%                                  ,F4.7%                                 ,R                   ,                                ,                              ,                           ,                  ,                             ,C                                ,R                         ,                   ,A                      ,F                ,F                        ,                         ,C                      ,F4.0%                ,                     ,R                  ,F                      ,C                      ,R                    ,C                    ,F                  ,                           ,R                      ,F                                ,R                   ,F                   ,                 ,                     ,                        ,                              ,                             ,                 ,                           ,                          ,                       ,from 161SR.Ch. 15. Table 2 and Appendix A.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 974,B, 22,X, 5, 143.00,    201.5300,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,                 ,R                 ,                             ,F                                    ,F                                  ,F2.0%                                   ,F1.4%                                 ,R                   ,F1.1%                           ,                              ,                           ,                  ,                             ,R                                ,                          ,                   ,A                      ,F                ,                         ,                         ,A                      ,                     ,R                    ,                   ,R                      ,F                      ,                     ,F                    ,R                  ,                           ,                       ,                                 ,                    ,                    ,                 ,                     ,                        ,                              ,                             ,                 ,                           ,                          ,                       ,from 161SR.Ch. 15. Table 2 and Appendix A.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 974,B, 22,X, 6,  16.00,    201.7600,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,                 ,                  ,                             ,F                                    ,F                                  ,F2.2%                                   ,R.9%                                  ,                    ,R.2%                            ,                              ,R                          ,                  ,                             ,R                                ,R                         ,                   ,A                      ,                 ,R                        ,                         ,A                      ,R.2%                 ,                     ,                   ,F                      ,R                      ,                     ,R                    ,R                  ,                           ,                       ,                                 ,                    ,                    ,                 ,                     ,                        ,                              ,                             ,                 ,                           ,                          ,                       ,from 161SR.Ch. 15. Table 2 and Appendix A.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 974,B, 22,X, 6,  50.00,    202.1000,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,                 ,R                 ,R                            ,F                                    ,F                                  ,C6.8%                                   ,F4.4%                                 ,R                   ,R.5%                            ,F1.6%                         ,F                          ,                  ,R                            ,R                                ,R                         ,R                  ,C                      ,F                ,F                        ,R                        ,A                      ,R.7%                 ,                     ,F                  ,F                      ,F                      ,                     ,F                    ,F                  ,R                          ,                       ,                                 ,                    ,                    ,                 ,                     ,                        ,                              ,                             ,                 ,                           ,                          ,                       ,from 161SR.Ch. 15. Table 2 and Appendix A.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 974,B, 22,X, 6,  66.00,    202.2600,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,R                ,R                 ,R                            ,F                                    ,F                                  ,C7.2%                                   ,F3.7%                                 ,F                   ,R.7%                            ,F1.3%                         ,F                          ,R                 ,R                            ,F                                ,R                         ,R                  ,A                      ,F                ,F                        ,R                        ,A                      ,R.4%                 ,R                    ,R                  ,F                      ,F                      ,R                    ,F                    ,F                  ,                           ,                       ,                                 ,                    ,                    ,                 ,                     ,                        ,                              ,                             ,                 ,                           ,                          ,                       ,from 161SR.Ch. 15. Table 2 and Appendix A.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
