Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Tenuitella munda	Tenuitella gemma	Tenuitella clemenciae	Tenuitella angustiumbilicata	Subbotina praeturritilina	Subbotina angiporoides angiporoides	Subbotina angiporoides	Paragloborotalia siakensis	Paragloborotalia pseudocontinuosa	Paragloborotalia opima opima	Paragloborotalia opima nana	Globorotaloides variabilis	Globorotaloides suteri	Globorotaloides sp. 1	Globoquadrina tripartita	Globoquadrina tapuriensis	Globoquadrina sellii	Globoquadrina rohri	Globoquadrina praedehiscens	Globigerinoides praeprimordius	Globigerina venezuelana	Globigerina sp. aff. G. ampliapertura	Globigerina prasaepis	Globigerina praebulloides	Globigerina officinalis	Globigerina euapertura	Globigerina ampliapertura	Dentoglobigerina sp. aff. D. larmeui	Dentoglobigerina larmeui	Dentoglobigerina globularis	Dentoglobigerina galavisi	Dentoglobigerina baroemoenensis	Chiloguembelinid (unspecified taxon or taxa)	Catapsydrax unicavus	Catapsydrax martini	Catapsydrax dissimilis dissimilis	Cassigerinella chipolensis	Turborotalia pseudoampliapertura/increbescens	Turborotalia pseudoampliapertura	Turborotalia increbescens	Subbotina utilisindex	Subbotina gortanii	Paragloborotalia sp.	Globorotalia obesa	Globigerinita juvenilis	Globigerina ouachitaensis	Globigerina ciperoensis	Dentoglobigerina galavisi/baroemoenensis	Catapsydrax sp.	Tenuitella clemenciae/munda	Globigerina ciperoensis/anguliofficinalis	Catapsydrax dissimilis ciperoensis	Subbotina brazieri	Globigerina sp. 1	Globigerina anguliofficinalis	Protentella sp. 1	Protentella navazuelensis	Paragloborotalia semivera	Globigerinella? sp.	Globigerina praebulloides occlusa	Dentoglobigerina globularis/altispira globosa	Globigerina anguliofficinalis/angulisuturalis	Dentoglobigerina altispira globosa	Globorotaloides permicus	Globigerina angulisuturalis	Cassigerinella martinezpicoi	Protentella sp.	Subbotina praeturritilina/gortanii	Globigerinita juvenilis/uvula	Globigerinita uvula	Cassigerinella globulosa	Globigerina sp. 2	Globigerina fariasi	Globigerina woodi	Globorotaloides sp. 2	Globoquadrina binaiensis	Protentella sp. aff. P. prolixa	Globorotalia pseudokugleri (ancestral form)	Globorotalia pseudokugleri	Globigerinoides primordius	Globigerina ciperoensis ottnangiensis	Globorotalia obesa/praesiphonifera	Globoquadrina praedehiscens/dehiscens	Protentella clavaticamerata	Globoquadrina dehiscens	Globorotalia pseudokugleri/kugleri	Globorotaloides sp. aff. G. stainforthi	Globorotalia kugleri	Globorotaloides stainforthi	Globigerinita glutinata	Streptochilus sp.	Globigerinoides trilobus	Globigerinoides immaturus	Globigerinoides bollii	Comment
  SR	Oligocene        	                 	P21a              	              	115	 709	B	 25	X	 3	  80.00	    229.6000	Premoli Silva	Planktonic Foraminifers                      	               	                  	+               	+               	+                    	+                           	+                        	                                   	+                     	+                         	+                                	+                           	+                          	+                         	+                     	+                    	+                       	+                        	+                   	+                  	+                          	+                             	+                      	                                     	+                    	                         	+                      	                      	                         	+                                   	                        	+                          	+                        	+                              	+                                           	+                   	+                  	+                                	+                         	                                             	                                	                         	                     	                  	                    	+                 	+                      	+                        	+                      	                                        	+              	+                          	                                         	                                  	+                 	                 	+                            	                 	                         	                         	                   	                                 	                                             	                                             	                                  	+                       	+                          	                            	               	                                  	                             	                   	                        	                 	                   	                 	                     	                        	                               	                                           	                          	                          	                                     	                                  	                                     	                           	                       	                                  	                                       	                    	                           	                       	                 	                        	                         	                      	from 115 SR. Chapter 19. Table 5. pages 294-297.

  SR	Oligocene        	                 	P21a              	              	115	 709	B	 25	X	 4	  80.00	    231.1000	Premoli Silva	Planktonic Foraminifers                      	               	                  	+               	+               	+                    	+                           	+                        	                                   	+                     	+                         	+                                	+                           	+                          	+                         	+                     	+                    	+                       	+                        	+                   	+                  	                           	cf                            	+                      	cf/VR                                	+                    	+                        	+                      	+                     	                         	+                                   	                        	+                          	+                        	+                              	+                                           	+                   	+                  	                                 	+                         	                                             	                                	                         	                     	                  	                    	                  	+                      	+                        	+                      	                                        	               	                           	                                         	+                                 	C                 	                 	+                            	                 	                         	                         	                   	                                 	+                                            	                                             	                                  	+                       	+                          	                            	+              	+                                 	                             	                   	                        	                 	                   	                 	                     	                        	                               	                                           	                          	                          	                                     	                                  	                                     	                           	                       	                                  	                                       	                    	                           	                       	                 	                        	                         	                      	from 115 SR. Chapter 19. Table 5. pages 294-297.

  SR	Oligocene        	                 	P21a              	              	115	 709	B	 25	X	 5	  80.00	    232.6000	Premoli Silva	Planktonic Foraminifers                      	               	                  	+               	+               	+                    	+                           	+                        	                                   	                      	+                         	R                                	+                           	+                          	+                         	+                     	                     	+                       	+                        	+                   	+                  	                           	cf                            	+                      	                                     	                     	                         	+                      	                      	                         	+                                   	cf                      	+                          	+                        	+                              	+                                           	+                   	+                  	+                                	+                         	                                             	                                	                         	+                    	                  	                    	R                 	                       	+                        	+                      	                                        	               	                           	                                         	+                                 	+                 	                 	                             	                 	                         	                         	                   	                                 	                                             	                                             	                                  	+                       	+                          	                            	               	+                                 	                             	                   	                        	                 	                   	                 	                     	                        	                               	                                           	                          	                          	                                     	                                  	                                     	                           	                       	                                  	                                       	                    	                           	                       	                 	                        	                         	                      	from 115 SR. Chapter 19. Table 5. pages 294-297.

  SR	Oligocene        	                 	P21a              	              	115	 709	B	 25	X	 6	  80.00	    234.1000	Premoli Silva	Planktonic Foraminifers                      	               	                  	+               	+               	+                    	+                           	+                        	+                                  	                      	+                         	+                                	+                           	+                          	+                         	+                     	+                    	+                       	+                        	+                   	+                  	+                          	                              	+                      	                                     	                     	                         	+                      	+                     	                         	+                                   	+                       	+                          	+                        	+                              	+                                           	+                   	+                  	+                                	+                         	                                             	                                	                         	                     	+                 	+                   	+                 	                       	+                        	+                      	+                                       	+              	                           	+                                        	+                                 	+                 	R                	+                            	+                	                         	+                        	                   	                                 	+                                            	                                             	                                  	                        	R                          	                            	+              	                                  	                             	                   	                        	                 	                   	                 	                     	                        	                               	                                           	                          	                          	                                     	                                  	                                     	                           	                       	                                  	                                       	                    	                           	                       	                 	                        	                         	                      	from 115 SR. Chapter 19. Table 5. pages 294-297.

  SR	Oligocene        	                 	P21a              	              	115	 709	B	 26	X	 1	  80.00	    236.3000	Premoli Silva	Planktonic Foraminifers                      	               	                  	+               	+               	+                    	+                           	+                        	                                   	                      	+                         	+                                	+                           	+                          	+                         	+                     	+                    	+                       	+                        	+                   	+                  	                           	                              	+                      	R                                    	+                    	+                        	+                      	+                     	                         	+                                   	                        	+                          	                         	+                              	+                                           	+                   	+                  	+                                	+                         	                                             	                                	                         	+                    	+                 	                    	                  	F                      	+                        	+                      	                                        	+              	                           	                                         	+                                 	+                 	R                	+                            	                 	                         	                         	                   	+                                	+                                            	                                             	+                                 	+                       	+                          	+                           	               	                                  	                             	                   	                        	                 	                   	                 	                     	                        	                               	                                           	                          	                          	                                     	                                  	                                     	                           	                       	                                  	                                       	                    	                           	                       	                 	                        	                         	                      	from 115 SR. Chapter 19. Table 5. pages 294-297.

  SR	Oligocene        	                 	P21a              	              	115	 709	B	 26	X	 2	  80.00	    237.8000	Premoli Silva	Planktonic Foraminifers                      	               	                  	+               	+               	+                    	+                           	+                        	+                                  	+                     	+                         	+                                	+                           	+                          	+                         	+                     	                     	+                       	+                        	+                   	+                  	                           	                              	+                      	R                                    	                     	                         	+                      	+                     	                         	+                                   	                        	+                          	                         	+                              	+                                           	+                   	+                  	+                                	+                         	                                             	                                	                         	+                    	+                 	                    	+                 	F                      	+                        	+                      	+                                       	               	+                          	                                         	+                                 	+                 	                 	+                            	+                	                         	                         	                   	                                 	+                                            	+                                            	+                                 	                        	                           	                            	               	                                  	                             	                   	                        	                 	                   	                 	                     	                        	                               	                                           	                          	                          	                                     	                                  	                                     	                           	                       	                                  	                                       	                    	                           	                       	                 	                        	                         	                      	from 115 SR. Chapter 19. Table 5. pages 294-297.

  SR	Oligocene        	                 	P21a              	              	115	 709	B	 26	X	 3	  80.00	    239.3000	Premoli Silva	Planktonic Foraminifers                      	               	                  	+               	+               	+                    	+                           	+                        	+                                  	+                     	                          	+                                	+                           	+                          	+                         	+                     	+                    	+                       	+                        	+                   	+                  	+                          	                              	+                      	R                                    	+                    	+                        	R                      	+                     	                         	+                                   	                        	+                          	+                        	+                              	+                                           	+                   	+                  	+                                	+                         	                                             	                                	                         	+                    	+                 	+                   	+                 	                       	+                        	+                      	+                                       	+              	                           	                                         	                                  	+                 	R                	+                            	+                	                         	                         	                   	+                                	+                                            	                                             	                                  	                        	                           	                            	               	                                  	                             	                   	                        	                 	                   	                 	                     	                        	                               	                                           	                          	                          	                                     	                                  	                                     	                           	                       	                                  	                                       	                    	                           	                       	                 	                        	                         	                      	from 115 SR. Chapter 19. Table 5. pages 294-297.

  SR	Oligocene        	                 	P21a              	              	115	 709	B	 26	X	 4	  80.00	    240.8000	Premoli Silva	Planktonic Foraminifers                      	               	                  	+               	A               	A                    	+                           	+                        	+                                  	+                     	+                         	+                                	+                           	+                          	+                         	+                     	+                    	+                       	+                        	+                   	+                  	+                          	                              	+                      	F                                    	                     	                         	+                      	+                     	                         	+                                   	                        	+                          	+                        	+                              	F                                           	+                   	+                  	+                                	+                         	                                             	                                	                         	R                    	+                 	+                   	                  	F                      	+                        	+                      	                                        	+              	                           	+                                        	+                                 	+                 	R                	                             	VR               	VR                       	cf                       	VR                 	                                 	                                             	                                             	                                  	                        	                           	                            	               	                                  	                             	                   	                        	                 	                   	                 	                     	                        	                               	                                           	                          	                          	                                     	                                  	                                     	                           	                       	                                  	                                       	                    	                           	                       	                 	                        	                         	                      	from 115 SR. Chapter 19. Table 5. pages 294-297.

  SR	Oligocene        	                 	P20               	              	115	 709	B	 27	X	 1	  80.00	    245.9000	Premoli Silva	Planktonic Foraminifers                      	               	                  	+               	+               	+                    	+                           	+                        	+                                  	+                     	                          	+                                	+                           	+                          	+                         	+                     	+                    	+                       	+                        	                    	+                  	+                          	+                             	+                      	+                                    	+                    	                         	+                      	+                     	cf                       	+                                   	+                       	cf                         	+                        	+                              	+                                           	+                   	+                  	+                                	                          	                                             	+                               	+                        	                     	+                 	+                   	                  	cf                     	                         	                       	+                                       	+              	                           	                                         	+                                 	                  	R                	                             	                 	                         	                         	                   	                                 	                                             	                                             	                                  	                        	                           	                            	               	                                  	                             	                   	                        	                 	                   	                 	                     	                        	                               	                                           	                          	                          	                                     	                                  	                                     	                           	                       	                                  	                                       	                    	                           	                       	                 	                        	                         	                      	from 115 SR. Chapter 19. Table 5. pages 294-297.

  SR	Oligocene        	                 	P20               	              	115	 709	B	 27	X	 2	  80.00	    247.4000	Premoli Silva	Planktonic Foraminifers                      	               	                  	+               	+               	+                    	+                           	C                        	+                                  	+                     	                          	+                                	+                           	+                          	+                         	+                     	+                    	+                       	+                        	+                   	+                  	+                          	                              	+                      	+                                    	+                    	                         	+                      	+                     	+                        	+                                   	                        	+                          	+                        	+                              	+                                           	+                   	+                  	+                                	+                         	                                             	A                               	+                        	                     	C                 	                    	                  	                       	                         	                       	                                        	+              	+                          	                                         	+                                 	+                 	R                	+                            	                 	                         	                         	                   	                                 	                                             	                                             	                                  	                        	                           	                            	               	                                  	                             	                   	                        	                 	                   	                 	                     	                        	                               	                                           	                          	                          	                                     	                                  	                                     	                           	                       	                                  	                                       	                    	                           	                       	                 	                        	                         	                      	from 115 SR. Chapter 19. Table 5. pages 294-297.

  SR	Oligocene        	                 	P20               	              	115	 709	B	 27	X	 3	  80.00	    248.9000	Premoli Silva	Planktonic Foraminifers                      	               	                  	+               	+               	                     	+                           	+                        	+                                  	+                     	                          	+                                	+                           	+                          	                          	+                     	+                    	+                       	+                        	+                   	+                  	+                          	                              	                       	+                                    	+                    	                         	+                      	+                     	VR                       	+                                   	cf                      	+                          	+                        	+                              	+                                           	+                   	+                  	                                 	                          	                                             	A                               	+                        	                     	                  	+                   	                  	                       	+                        	                       	                                        	+              	                           	                                         	+                                 	                  	                 	                             	                 	                         	                         	                   	                                 	                                             	                                             	                                  	                        	                           	                            	               	                                  	                             	                   	                        	                 	                   	                 	                     	                        	                               	                                           	                          	                          	                                     	                                  	                                     	                           	                       	                                  	                                       	                    	                           	                       	                 	                        	                         	                      	from 115 SR. Chapter 19. Table 5. pages 294-297.

  SR	Oligocene        	                 	P20               	              	115	 709	B	 27	X	 4	  80.00	    250.4000	Premoli Silva	Planktonic Foraminifers                      	               	                  	+               	+               	+                    	+                           	+                        	                                   	                      	+                         	+                                	+                           	+                          	+                         	+                     	+                    	+                       	                         	+                   	                   	+                          	                              	+                      	+                                    	+                    	                         	+                      	+                     	cf                       	+                                   	                        	+                          	+                        	+                              	A                                           	+                   	+                  	+                                	+                         	+                                            	+                               	+                        	                     	+                 	+                   	                  	                       	                         	                       	                                        	+              	+                          	cf                                       	                                  	                  	                 	                             	                 	                         	                         	                   	                                 	                                             	                                             	                                  	                        	                           	                            	               	                                  	                             	                   	                        	                 	                   	                 	                     	                        	                               	                                           	                          	                          	                                     	                                  	                                     	                           	                       	                                  	                                       	                    	                           	                       	                 	                        	                         	                      	from 115 SR. Chapter 19. Table 5. pages 294-297.

  SR	Oligocene        	                 	P20               	              	115	 709	B	 27	X	 5	  80.00	    251.9000	Premoli Silva	Planktonic Foraminifers                      	               	                  	R               	+               	+                    	+                           	+                        	+                                  	+                     	                          	+                                	+                           	+                          	+                         	A                     	+                    	+                       	+                        	+                   	+                  	                           	                              	+                      	+                                    	+                    	                         	+                      	+                     	VR                       	+                                   	                        	+                          	                         	                               	A                                           	+                   	+                  	+                                	+                         	+                                            	+                               	F                        	+                    	+                 	+                   	cf                	cf                     	+                        	cf                     	+                                       	+              	                           	                                         	                                  	                  	                 	                             	                 	                         	                         	                   	                                 	                                             	                                             	                                  	                        	                           	                            	               	                                  	                             	                   	                        	                 	                   	                 	                     	                        	                               	                                           	                          	                          	                                     	                                  	                                     	                           	                       	                                  	                                       	                    	                           	                       	                 	                        	                         	                      	from 115 SR. Chapter 19. Table 5. pages 294-297.

  SR	Oligocene        	                 	P20               	              	115	 709	B	 27	X	 6	  74.00	    253.3400	Premoli Silva	Planktonic Foraminifers                      	               	                  	+               	A               	+                    	+                           	+                        	+                                  	+                     	+                         	+                                	+                           	+                          	+                         	A                     	+                    	+                       	+                        	+                   	+                  	+                          	+                             	+                      	+                                    	+                    	R                        	+                      	+                     	VR                       	+                                   	+                       	+                          	+                        	+                              	A                                           	+                   	+                  	R                                	+                         	                                             	                                	                         	                     	                  	                    	                  	                       	                         	                       	                                        	               	                           	                                         	                                  	                  	                 	                             	                 	                         	                         	                   	                                 	                                             	                                             	                                  	                        	                           	                            	               	                                  	                             	                   	                        	                 	                   	                 	                     	                        	                               	                                           	                          	                          	                                     	                                  	                                     	                           	                       	                                  	                                       	                    	                           	                       	                 	                        	                         	                      	from 115 SR. Chapter 19. Table 5. pages 294-297.

