Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),MAJ Lith. Prefix,MAJ Lith. Principal name,MAJ Lith. Suffix,MAJ Lith. prefix+name+suffix [read only],TEPHRA type,Sediment structures,MAJ lith color (simple),MAJ Lith. color,MAJ Lith. abundance [%],MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank [read only],MAJ Lith. max. grain size,MAJ Lith. max. grain size rank [read only],MAJ lithology comment,MIN Lith. Prefix,MIN Lith. Principal name,MIN Lith. Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN lith color (simple),MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,MIN lithology comment,Lith. abundance sum [%],Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Grading,Amount of ash in lithology,Amount of ash in lithology rank [read only],Sedimentary structure comment,Bioturbation intensity,Bioturbation intensity rank [read only],Diagenetic structure,Macrofossil,General interval comment,Ship File Links,Shore File Links,File Data
355-U1456B-4H-3-A,34,67,22.94,23.27,,,nannofossil ooze,,nannofossil ooze,,burrows,white,GLEY 1 7/10Y (light greenish grey),90,clay,1,clay,1,,,nannofossil ooze,with silt,nannofossil ooze,nannofossil ooze with silt,nannofossil ooze with silt,white,GLEY 1 6/10Y (greenish gray),10,silt,2,silt,2,,100,erosive,sharp,,thickly bedded,,,,,slight,2,,,,,,
355-U1456B-4H-3-A,67,81,23.27,23.41,,,nannofossil ooze,,nannofossil ooze,,,white,GLEY 1 7/10Y (light greenish grey),90,clay,1,clay,1,,foraminifer rich,nannofossil ooze,,foraminifer rich nannofossil ooze,foraminifer rich nannofossil ooze,nannofossil ooze,white,GLEY 1 7/10Y (light greenish grey),10,silt,2,silt,2,,100,erosive,scoured,,medium bedded,,,,,,,,,,,,
355-U1456B-4H-3-A,81,99,23.41,23.59,,,nannofossil ooze,,nannofossil ooze,,,white,GLEY 1 7/10Y (light greenish grey),,clay,1,clay,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355-U1456B-4H-3-A,99,112,23.59,23.72,,,nannofossil ooze,,nannofossil ooze,,,white,GLEY 1 7/10Y (light greenish grey),70,clay,1,clay,1,,foraminifer rich,nannofossil ooze,,foraminifer rich nannofossil ooze,foraminifer rich nannofossil ooze,nannofossil ooze,white,GLEY 1 7/10Y (light greenish grey),30,very fine sand,3,very fine sand,3,,100,gradational,gradational,,,,,,,,,,,,,,
355-U1456B-4H-3-A,112,115,23.72,23.75,,nannofossil rich,clay,,nannofossil rich clay,,,green,GLEY 1 4/10Y (dark greenish gray),,clay,1,clay,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355-U1456B-4H-4-A,0,16,24.1,24.26,,nannofossil rich,clay,,nannofossil rich clay,,burrows,green,GLEY 1 4/10Y (dark greenish gray),,clay,1,clay,1,,,,,,,,,,,,,,,,,gradational,gradational,,medium bedded,,,,,slight,2,,,,,,
355-U1456B-4H-4-A,16,42,24.26,24.52,,nannofossil rich,clay,,nannofossil rich clay,,normal grading,green,GLEY 1 4/10Y (dark greenish gray),90,clay,1,clay,1,,foraminifer rich,sand,,foraminifer rich sand,foraminifer rich sand,sand,green,GLEY 1 3/10Y (very dark greenish gray),10,fine sand,4,fine sand,4,,100,erosive,scoured,,medium bedded,normally graded,,,,,,,,,,,
355-U1456B-4H-4-A,42,60,24.52,24.7,,nannofossil rich,clay,,nannofossil rich clay,,normal grading,green,GLEY 1 4/10Y (dark greenish gray),80,clay,1,clay,1,,foraminifer rich,sand,,foraminifer rich sand,foraminifer rich sand,sand,gray,GLEY 1 3/10Y (very dark greenish gray),20,fine sand,4,fine sand,4,,100,erosive,scoured,,medium bedded,normally graded,,,,,,,,,,,
355-U1456B-4H-4-A,60,115,24.7,25.25,,,nannofossil ooze,,nannofossil ooze,,,white,GLEY 1 7/10Y (light greenish grey),50,clay,1,clay,1,,foraminifer rich,nannofossil ooze,,foraminifer rich nannofossil ooze,foraminifer rich nannofossil ooze,nannofossil ooze,white,GLEY 1 7/10Y (light greenish grey),50,silt,2,very fine sand,3,,100,,,,,,,,,,,,,,,,
355-U1456B-4H-5-A,0,16,25.6,25.76,,nannofossil rich,clay,,nannofossil rich clay,,burrows,green,GLEY 1 3/10Y (very dark greenish gray),,clay,1,clay,1,,,,,,,,,,,,,,,,,planar,sharp,,thinly bedded,,,,,slight,2,,,,,,
355-U1456B-4H-5-A,16,47,25.76,26.07,,nannofossil rich,clay,,nannofossil rich clay,,burrows,green,GLEY 1 5/10Y (greenish gray),,clay,1,clay,1,,,,,,,,,,,,,,,,,gradational,gradational,,thickly bedded,normally graded,,,,slight,2,,,,,,
355-U1456B-4H-5-A,47,71,26.07,26.31,,nannofossil rich,clay,,nannofossil rich clay,,,green,GLEY 1 5/10Y (greenish gray),80,clay,1,clay,1,,nannofossil rich,silt,,nannofossil rich silt,nannofossil rich silt,silt,green,GLEY 1 4/10Y (dark greenish gray),20,silt,2,very fine sand,3,,100,erosive,scoured,,medium bedded,normally graded,,,,,,,,,,,
355-U1456B-4H-5-A,71,85,26.31,26.45,,nannofossil rich,clay,,nannofossil rich clay,,,green,GLEY 1 4/10Y (dark greenish gray),,clay,1,clay,1,,,,,,,,,,,,,,,,,gradational,gradational,,medium bedded,,,,,,,,,,,,
355-U1456B-4H-5-A,85,107,26.45,26.67,,nannofossil rich,clay,,nannofossil rich clay,,,green,GLEY 1 5/10Y (greenish gray),70,clay,1,clay,1,,nannofossil rich,silt,,nannofossil rich silt,nannofossil rich silt,silt,green,GLEY 1 4/10Y (dark greenish gray),30,silt,2,very fine sand,3,,100,erosive,scoured,,medium bedded,normally graded,,,,,,,,,,,
355-U1456B-4H-5-A,107,115,26.67,26.75,,nannofossil rich,clay,,nannofossil rich clay,,,green,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355-U1456B-4H-6-A,0,12,27.1,27.22,,,clay,,clay,,,gray,GLEY 1 4/5GY (dark greenish gray),95,clay,1,clay,1,,,silt,,silt,silt,silt,gray,GLEY 1 3/5GY (very dark greenish gray),5,silt,2,silt,2,,100,erosive,scoured,,thinly bedded,,,,,,,,,,,,
355-U1456B-4H-6-A,12,25,27.22,27.35,,,clay,,clay,,normal grading,gray,GLEY 1 4/5GY (dark greenish gray),80,clay,1,clay,1,,,silt,,silt,silt,silt,gray,GLEY 1 3/5GY (very dark greenish gray),20,silt,2,very fine sand,3,,100,erosive,scoured,,thinly bedded,normally graded,,,,,,,,,,,
355-U1456B-4H-6-A,25,35,27.35,27.45,,nannofossil rich,clay,,nannofossil rich clay,,normal grading,green,GLEY 1 4/10Y (dark greenish gray),80,clay,1,clay,1,,,silt,,silt,silt,silt,gray,GLEY 1 4/10GY (dark greenish gray),20,silt,2,very fine sand,3,,100,erosive,scoured,,thinly bedded,normally graded,,,,,,,,,,,
355-U1456B-4H-6-A,35,61,27.45,27.71,,nannofossil rich,clay,,nannofossil rich clay,,burrows,green,GLEY 1 4/10Y (dark greenish gray),90,clay,1,clay,1,,,silt,,silt,silt,silt,gray,GLEY 1 4/10GY (dark greenish gray),10,silt,2,very fine sand,3,,100,erosive,scoured,,thickly bedded,normally graded,,,,slight,2,,,,,,
355-U1456B-4H-6-A,61,79,27.71,27.89,,nannofossil rich,clay,,nannofossil rich clay,,,green,GLEY 1 4/10Y (dark greenish gray),90,clay,1,clay,1,,foraminifer rich,sand,,foraminifer rich sand,foraminifer rich sand,sand,gray,GLEY 1 4/10GY (dark greenish gray),10,fine sand,4,fine sand,4,,100,erosive,scoured,,medium bedded,,,,,,,,,,,,
355-U1456B-4H-6-A,79,102,27.89,28.12,,,nannofossil ooze,,nannofossil ooze,,,white,GLEY 1 7/10Y (light greenish grey),,clay,1,clay,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355-U1456B-4H-6-A,102,114,28.12,28.24,,,nannofossil ooze,,nannofossil ooze,,,white,GLEY 1 7/10Y (light greenish grey),70,clay,1,clay,1,,,clay,,clay,clay,clay,gray,GLEY 1 4/10GY (dark greenish gray),30,clay,1,clay,1,,100,,,,,,,,,,,,,,,,
355-U1456B-4H-7-A,0,27,28.6,28.87,,,nannofossil ooze,,nannofossil ooze,,,white,GLEY 1 7/10Y (light greenish grey),,clay,1,clay,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355-U1456B-4H-CC-A,0,16,28.87,29.03,,,nannofossil ooze,,nannofossil ooze,,,white,GLEY 1 7/10Y (light greenish grey),,clay,1,clay,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
