Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Turborotalita humilis,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis paenedehiscens,Pulleniatina primalis (sin.),Orbulina universa,Neogloboquadrina pachyderma (sin.),Neogloboquadrina pachyderma (dex.),Neogloboquadrina humerosa,Neogloboquadrina acostaensis,Globorotaloides hexagona,Globorotalia scitula,Globorotalia plesiotumida,Globorotalia merotumida,Globorotalia menardii (sin.),Globorotalia menardii (dex.),Globorotalia margaritae,Globorotalia juanai,Globorotalia cibaoensis,Globoquadrina venezuelana,Globoquadrina dehiscens,Globoquadrina baroemoenensis,Globigerinoides sacculifer (without sack),Globigerinoides sacculifer,Globigerinoides obliquus,Globigerinoides extremus,Globigerinita uvula,Globigerinita glutinata,Globigerinella obesa,Globigerinella aequilateralis,Globigerina woodi,Globigerina nepenthes,Globigerina bulloides,Globigerina apertura,Dentoglobigerina altispira,Globorotalia theyeri,Neogloboquadrina dutertrei,Globorotalia limbata (sin.),Globorotalia limbata (dex.),Globigerina falconensis (?),Globorotalia tumida,Candeina nitida,Beella praedigitata,Sphaeroidinella dehiscens,Pulleniatina primalis (dex.),Globorotalia miocenica,Globigerinoides ruber (white),Globorotalia anfracta,Globorotalia puncticulata,Globorotalia inflata,Globorotalia ungulata,Globorotalia tosaensis,Globoquadrina conglomerata,Globigerinella calida,Tenuitellid taxa,Globigerina rubescens,Globigerina quinqueloba,Globorotalia truncatulinoides,Globorotalia crassula,Pulleniatina obliquiloculata,Globigerinoides tenellus,Globigerinoides fistulosus,Globorotalia crassaformis,Globigerinoides ruber (pink),Turborotalita quinqueloba,P-D intergrade,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina pachyderma (dextral),Globorotalia truncatulinoides (sin.),Globorotalia truncatulinoides (dex.),Globorotalia menardii,Globorotalia hirsuta,Globorotalia flexuosa,Globoquadrina hexagona,Globigerinoides sacculifera (with sack),Globigerinoides conglobatus,Globigerina falconensis,Globigerina digitata,Globigerina calida,Comment
  SR,                 ,                 ,                  ,              ,138, 847,B,  1,H, 2, 121.00,      2.7100,Farrell  ,Planktonic Foraminifers                      ,               ,                  ,                     ,                              ,                                  ,                            ,.8%              ,                                  ,                                  ,                         ,                            ,                        ,.3%                 ,                         ,                       ,                            ,                            ,                       ,                   ,                       ,                         ,                       ,                            ,.6%                                      ,                          ,                        ,                        ,                   ,2.5%                   ,                    ,.6%                          ,                 ,                     ,5.3%                 ,                    ,                          ,.0%                 ,49.3%                     ,                           ,                           ,                           ,1.9%               ,               ,                   ,.0%                      ,                            ,                      ,2.5%                         ,.0%                  ,                         ,.0%                 ,                     ,                      ,.0%                       ,                     ,                ,.0%                  ,                       ,                             ,                     ,.0%                         ,.0%                     ,                          ,.0%                      ,.0%                         ,.3%                      ,11.4%         ,.6%                                    ,7.5%                                 ,.0%                                 ,.0%                                 ,11.4%                ,.0%                 ,.0%                  ,1.1%                  ,1.4%                                   ,.0%                        ,.6%                    ,.0%                 ,1.7%              ,from ODP Leg 138 SR Chapter 34 Appendix pp 712-714
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,138, 847,B,  1,H, 2, 135.00,      2.8500,Farrell  ,Planktonic Foraminifers                      ,               ,                  ,                     ,                              ,                                  ,                            ,.7%              ,                                  ,                                  ,                         ,                            ,                        ,.2%                 ,                         ,                       ,                            ,                            ,                       ,                   ,                       ,                         ,                       ,                            ,.5%                                      ,                          ,                        ,                        ,                   ,4.7%                   ,                    ,1.4%                         ,                 ,                     ,7.1%                 ,                    ,                          ,.0%                 ,47.0%                     ,                           ,                           ,                           ,1.7%               ,               ,                   ,.2%                      ,                            ,                      ,7.3%                         ,.0%                  ,                         ,.0%                 ,                     ,                      ,.2%                       ,                     ,                ,.7%                  ,                       ,                             ,                     ,.7%                         ,.0%                     ,                          ,.0%                      ,.0%                         ,.0%                      ,13.0%         ,.2%                                    ,5.4%                                 ,.0%                                 ,.0%                                 ,4.7%                 ,.0%                 ,.0%                  ,1.0%                  ,1.2%                                   ,.2%                        ,.2%                    ,.0%                 ,1.0%              ,from ODP Leg 138 SR Chapter 34 Appendix pp 712-714
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,138, 847,B,  1,H, 3,   0.00,      3.0000,Farrell  ,Planktonic Foraminifers                      ,               ,                  ,                     ,                              ,                                  ,                            ,.3%              ,                                  ,                                  ,                         ,                            ,                        ,.8%                 ,                         ,                       ,                            ,                            ,                       ,                   ,                       ,                         ,                       ,                            ,.3%                                      ,                          ,                        ,                        ,                   ,2.1%                   ,                    ,.5%                          ,                 ,                     ,10.2%                ,                    ,                          ,.5%                 ,52.2%                     ,                           ,                           ,                           ,.3%                ,               ,                   ,.0%                      ,                            ,                      ,2.9%                         ,.0%                  ,                         ,.0%                 ,                     ,                      ,.3%                       ,                     ,                ,.8%                  ,                       ,                             ,                     ,.3%                         ,.0%                     ,                          ,.0%                      ,.0%                         ,.0%                      ,9.1%          ,.5%                                    ,5.7%                                 ,.0%                                 ,.0%                                 ,7.8%                 ,.0%                 ,.0%                  ,1.8%                  ,1.0%                                   ,.0%                        ,.0%                    ,.3%                 ,1.3%              ,from ODP Leg 138 SR Chapter 34 Appendix pp 712-714
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,138, 847,B,  1,H, 3,  15.00,      3.1500,Farrell  ,Planktonic Foraminifers                      ,               ,                  ,                     ,                              ,                                  ,                            ,1.0%             ,                                  ,                                  ,                         ,                            ,                        ,.5%                 ,                         ,                       ,                            ,                            ,                       ,                   ,                       ,                         ,                       ,                            ,.0%                                      ,                          ,                        ,                        ,                   ,1.5%                   ,                    ,.5%                          ,                 ,                     ,7.4%                 ,                    ,                          ,.0%                 ,58.3%                     ,                           ,                           ,                           ,1.5%               ,               ,                   ,.0%                      ,                            ,                      ,4.9%                         ,.0%                  ,                         ,.0%                 ,                     ,                      ,.0%                       ,                     ,                ,.0%                  ,                       ,                             ,                     ,.0%                         ,.0%                     ,                          ,.5%                      ,.0%                         ,.0%                      ,6.4%          ,1.0%                                   ,4.4%                                 ,.0%                                 ,.0%                                 ,9.3%                 ,.0%                 ,.0%                  ,1.0%                  ,.0%                                    ,.0%                        ,1.0%                   ,.0%                 ,.5%               ,from ODP Leg 138 SR Chapter 34 Appendix pp 712-714
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,138, 847,B,  1,H, 3,  28.00,      3.2800,Farrell  ,Planktonic Foraminifers                      ,               ,                  ,                     ,                              ,                                  ,                            ,.7%              ,                                  ,                                  ,                         ,                            ,                        ,.0%                 ,                         ,                       ,                            ,                            ,                       ,                   ,                       ,                         ,                       ,                            ,.7%                                      ,                          ,                        ,                        ,                   ,2.3%                   ,                    ,.7%                          ,                 ,                     ,7.8%                 ,                    ,                          ,1.9%                ,50.8%                     ,                           ,                           ,                           ,1.6%               ,               ,                   ,.0%                      ,                            ,                      ,4.2%                         ,.0%                  ,                         ,.0%                 ,                     ,                      ,.0%                       ,                     ,                ,.0%                  ,                       ,                             ,                     ,.3%                         ,.0%                     ,                          ,.0%                      ,.0%                         ,.0%                      ,10.0%         ,.3%                                    ,2.9%                                 ,.0%                                 ,.0%                                 ,11.0%                ,.0%                 ,.0%                  ,1.6%                  ,.3%                                    ,.0%                        ,.3%                    ,1.0%                ,1.0%              ,from ODP Leg 138 SR Chapter 34 Appendix pp 712-714
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,138, 847,B,  1,H, 3,  45.00,      3.4500,Farrell  ,Planktonic Foraminifers                      ,               ,                  ,                     ,                              ,                                  ,                            ,.8%              ,                                  ,                                  ,                         ,                            ,                        ,.0%                 ,                         ,                       ,                            ,                            ,                       ,                   ,                       ,                         ,                       ,                            ,2.2%                                     ,                          ,                        ,                        ,                   ,1.9%                   ,                    ,.6%                          ,                 ,                     ,6.7%                 ,                    ,                          ,.6%                 ,51.5%                     ,                           ,                           ,                           ,.0%                ,               ,                   ,.3%                      ,                            ,                      ,5.0%                         ,.0%                  ,                         ,.0%                 ,                     ,                      ,.3%                       ,                     ,                ,1.1%                 ,                       ,                             ,                     ,.0%                         ,.0%                     ,                          ,.0%                      ,.0%                         ,.0%                      ,11.1%         ,.3%                                    ,3.9%                                 ,.0%                                 ,.0%                                 ,11.1%                ,.0%                 ,.0%                  ,.3%                   ,.8%                                    ,.0%                        ,.8%                    ,.3%                 ,.3%               ,from ODP Leg 138 SR Chapter 34 Appendix pp 712-714
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N22               ,              ,138, 847,B,  1,H, 4,  74.00,      5.2400,Chaisson ,Planktonic Foraminifers                      ,               ,                  ,.0%                  ,                              ,                                  ,                            ,.3%              ,.0%                               ,3.3%                              ,                         ,                            ,.3%                     ,.6%                 ,                         ,                       ,.9%                         ,.0%                         ,                       ,                   ,                       ,                         ,                       ,                            ,.0%                                      ,.3%                       ,                        ,                        ,                   ,5.4%                   ,3.0%                ,.6%                          ,                 ,                     ,1.8%                 ,                    ,                          ,.0%                 ,79.0%                     ,                           ,                           ,                           ,.6%                ,               ,.0%                ,.0%                      ,                            ,                      ,1.2%                         ,.0%                  ,                         ,.0%                 ,.6%                  ,                      ,.0%                       ,.0%                  ,.9%             ,1.2%                 ,.0%                    ,.0%                          ,                     ,.0%                         ,.0%                     ,                          ,                         ,                            ,                         ,              ,                                       ,                                     ,                                    ,                                    ,                     ,                    ,                     ,                      ,                                       ,                           ,                       ,                    ,                  ,from ODP Leg 138 SR Ch 25 Appendix B pp 595-597
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N22               ,              ,138, 847,B,  2,H, 4,  74.00,     11.7400,Chaisson ,Planktonic Foraminifers                      ,               ,                  ,.0%                  ,                              ,                                  ,                            ,.3%              ,.3%                               ,5.7%                              ,                         ,                            ,.6%                     ,.3%                 ,                         ,                       ,1.5%                        ,.0%                         ,                       ,                   ,                       ,                         ,                       ,                            ,.9%                                      ,.6%                       ,                        ,                        ,                   ,3.3%                   ,2.1%                ,1.5%                         ,                 ,                     ,1.5%                 ,                    ,                          ,2.4%                ,71.0%                     ,                           ,                           ,                           ,.0%                ,               ,.6%                ,.0%                      ,                            ,                      ,2.1%                         ,.0%                  ,                         ,.0%                 ,.3%                  ,                      ,.0%                       ,.0%                  ,1.5%            ,2.7%                 ,.3%                    ,.0%                          ,                     ,.3%                         ,.0%                     ,                          ,.3%                      ,.3%                         ,                         ,              ,                                       ,                                     ,                                    ,                                    ,                     ,                    ,                     ,                      ,                                       ,                           ,                       ,                    ,                  ,from ODP Leg 138 SR Ch 25 Appendix B pp 595-597
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N22               ,              ,138, 847,B,  3,H, 4,  75.00,     21.2500,Chaisson ,Planktonic Foraminifers                      ,               ,                  ,.0%                  ,                              ,                                  ,                            ,1.7%             ,.3%                               ,.3%                               ,                         ,                            ,5.3%                    ,.3%                 ,                         ,                       ,2.0%                        ,.0%                         ,                       ,                   ,                       ,1.3%                     ,                       ,                            ,4.6%                                     ,1.3%                      ,                        ,                        ,                   ,21.0%                  ,1.0%                ,2.0%                         ,.7%              ,                     ,1.0%                 ,                    ,                          ,4.0%                ,35.0%                     ,                           ,                           ,                           ,1.3%               ,               ,.0%                ,.0%                      ,1.3%                        ,                      ,6.6%                         ,.0%                  ,                         ,.0%                 ,1.0%                 ,.0%                   ,.0%                       ,1.0%                 ,.7%             ,3.6%                 ,.3%                    ,.3%                          ,                     ,2.0%                        ,.7%                     ,                          ,                         ,                            ,                         ,              ,                                       ,                                     ,                                    ,                                    ,                     ,                    ,                     ,                      ,                                       ,                           ,                       ,                    ,                  ,from ODP Leg 138 SR Ch 25 Appendix B pp 595-597
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N22               ,              ,138, 847,B,  4,H, 4,  75.00,     30.7500,Chaisson ,Planktonic Foraminifers                      ,               ,                  ,.0%                  ,                              ,                                  ,                            ,.6%              ,.6%                               ,3.7%                              ,                         ,                            ,.6%                     ,.0%                 ,                         ,                       ,1.2%                        ,.0%                         ,                       ,                   ,                       ,.0%                      ,                       ,                            ,.9%                                      ,.6%                       ,                        ,                        ,                   ,5.8%                   ,1.2%                ,.0%                          ,.3%              ,                     ,.0%                  ,                    ,                          ,3.7%                ,69.0%                     ,                           ,                           ,                           ,.3%                ,               ,.0%                ,.0%                      ,.0%                         ,                      ,4.0%                         ,.0%                  ,                         ,.0%                 ,.6%                  ,.3%                   ,.0%                       ,.0%                  ,.3%             ,5.2%                 ,.0%                    ,.3%                          ,                     ,.3%                         ,.0%                     ,                          ,                         ,                            ,                         ,              ,                                       ,                                     ,                                    ,                                    ,                     ,                    ,                     ,                      ,                                       ,                           ,                       ,                    ,                  ,from ODP Leg 138 SR Ch 25 Appendix B pp 595-597
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N22               ,              ,138, 847,B,  5,H, 4,  75.00,     40.2500,Chaisson ,Planktonic Foraminifers                      ,               ,                  ,.0%                  ,                              ,                                  ,.6%                         ,1.9%             ,.0%                               ,.9%                               ,                         ,                            ,.3%                     ,.9%                 ,                         ,                       ,1.3%                        ,.0%                         ,                       ,                   ,                       ,.0%                      ,                       ,                            ,4.4%                                     ,.6%                       ,                        ,                        ,                   ,27.0%                  ,3.2%                ,.0%                          ,.9%              ,                     ,.9%                  ,                    ,                          ,.0%                 ,30.0%                     ,                           ,                           ,                           ,9.5%               ,               ,.0%                ,.0%                      ,.0%                         ,                      ,12.0%                        ,.0%                  ,                         ,.0%                 ,.9%                  ,.0%                   ,.3%                       ,.0%                  ,.3%             ,3.8%                 ,.0%                    ,                             ,                     ,.3%                         ,.3%                     ,                          ,                         ,                            ,                         ,              ,                                       ,                                     ,                                    ,                                    ,                     ,                    ,                     ,                      ,                                       ,                           ,                       ,                    ,                  ,from ODP Leg 138 SR Ch 25 Appendix B pp 595-597
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N22               ,              ,138, 847,B,  6,H, 4,  74.00,     49.7400,Chaisson ,Planktonic Foraminifers                      ,               ,                  ,.0%                  ,                              ,                                  ,.7%                         ,2.6%             ,.0%                               ,.0%                               ,                         ,                            ,1.0%                    ,2.3%                ,                         ,                       ,1.6%                        ,.0%                         ,                       ,                   ,                       ,.0%                      ,                       ,                            ,.3%                                      ,.0%                       ,                        ,                        ,                   ,29.0%                  ,4.2%                ,.3%                          ,1.0%             ,                     ,.7%                  ,.7%                 ,                          ,.0%                 ,44.0%                     ,                           ,                           ,                           ,.0%                ,               ,.0%                ,.3%                      ,.0%                         ,                      ,6.5%                         ,.0%                  ,.3%                      ,.0%                 ,.0%                  ,.7%                   ,.0%                       ,1.0%                 ,.7%             ,.0%                  ,.0%                    ,                             ,                     ,.0%                         ,.0%                     ,2.3%                      ,                         ,                            ,                         ,              ,                                       ,                                     ,                                    ,                                    ,                     ,                    ,                     ,                      ,                                       ,                           ,                       ,                    ,                  ,from ODP Leg 138 SR Ch 25 Appendix B pp 595-597
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N22               ,              ,138, 847,B,  7,H, 4,  49.00,     58.9900,Chaisson ,Planktonic Foraminifers                      ,               ,                  ,.0%                  ,                              ,                                  ,1.6%                        ,.7%              ,.0%                               ,.0%                               ,                         ,                            ,.7%                     ,1.3%                ,                         ,                       ,.0%                         ,.0%                         ,                       ,                   ,                       ,.0%                      ,                       ,                            ,1.3%                                     ,.7%                       ,                        ,                        ,                   ,35.0%                  ,1.3%                ,.3%                          ,2.6%             ,                     ,1.3%                 ,2.3%                ,                          ,.0%                 ,32.0%                     ,                           ,                           ,                           ,1.0%               ,               ,.0%                ,1.0%                     ,.3%                         ,                      ,11.0%                        ,.0%                  ,.0%                      ,.0%                 ,.7%                  ,2.6%                  ,.0%                       ,.0%                  ,.3%             ,2.0%                 ,.0%                    ,                             ,                     ,.3%                         ,.3%                     ,.3%                       ,                         ,                            ,                         ,              ,                                       ,                                     ,                                    ,                                    ,                     ,                    ,                     ,                      ,                                       ,                           ,                       ,                    ,                  ,from ODP Leg 138 SR Ch 25 Appendix B pp 595-597
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N22               ,              ,138, 847,B,  8,H, 4,  50.00,     68.5000,Chaisson ,Planktonic Foraminifers                      ,               ,                  ,.0%                  ,                              ,                                  ,.7%                         ,1.7%             ,.3%                               ,.0%                               ,                         ,                            ,1.0%                    ,4.3%                ,                         ,                       ,.3%                         ,.7%                         ,                       ,                   ,                       ,.0%                      ,                       ,.3%                         ,2.3%                                     ,1.0%                      ,.3%                     ,                        ,                   ,37.0%                  ,1.0%                ,.0%                          ,4.6%             ,                     ,1.3%                 ,2.6%                ,                          ,.3%                 ,22.0%                     ,                           ,                           ,                           ,4.6%               ,               ,.3%                ,.3%                      ,2.0%                        ,                      ,6.3%                         ,.0%                  ,.0%                      ,.0%                 ,.0%                  ,.0%                   ,.0%                       ,.3%                  ,.7%             ,2.6%                 ,.0%                    ,.0%                          ,.3%                  ,                            ,                        ,                          ,                         ,                            ,                         ,              ,                                       ,                                     ,                                    ,                                    ,                     ,                    ,                     ,                      ,                                       ,                           ,                       ,                    ,                  ,from ODP Leg 138 SR Ch 25 Appendix B pp 595-597
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N21               ,              ,138, 847,B,  9,H, 4,  50.00,     78.0000,Chaisson ,Planktonic Foraminifers                      ,               ,                  ,.0%                  ,                              ,                                  ,2.9%                        ,1.3%             ,.0%                               ,.3%                               ,                         ,                            ,2.2%                    ,.6%                 ,                         ,                       ,.0%                         ,.3%                         ,                       ,                   ,                       ,.0%                      ,                       ,.0%                         ,3.2%                                     ,.0%                       ,1.9%                    ,                        ,                   ,37.0%                  ,.0%                 ,.6%                          ,2.9%             ,                     ,.0%                  ,1.9%                ,                          ,.3%                 ,34.0%                     ,.0%                        ,.3%                        ,                           ,2.5%               ,               ,.0%                ,1.0%                     ,.0%                         ,                      ,3.5%                         ,.0%                  ,.0%                      ,.0%                 ,.3%                  ,.0%                   ,.0%                       ,.0%                  ,1.3%            ,1.0%                 ,1.0%                   ,                             ,                     ,                            ,                        ,                          ,                         ,                            ,                         ,              ,                                       ,                                     ,                                    ,                                    ,                     ,                    ,                     ,                      ,                                       ,                           ,                       ,                    ,                  ,from ODP Leg 138 SR Ch 25 Appendix B pp 595-597
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N21               ,              ,138, 847,B, 10,H, 4,  75.00,     87.7500,Chaisson ,Planktonic Foraminifers                      ,               ,                  ,.0%                  ,                              ,                                  ,.0%                         ,1.0%             ,.0%                               ,.0%                               ,                         ,                            ,1.7%                    ,.7%                 ,                         ,                       ,.0%                         ,2.0%                        ,                       ,                   ,                       ,.0%                      ,                       ,.0%                         ,3.6%                                     ,.3%                       ,1.3%                    ,1.0%                    ,                   ,20.0%                  ,.0%                 ,.3%                          ,6.6%             ,                     ,.7%                  ,4.3%                ,                          ,                    ,42.0%                     ,.0%                        ,.0%                        ,                           ,2.0%               ,               ,.0%                ,.0%                      ,2.3%                        ,                      ,5.9%                         ,.0%                  ,.0%                      ,.0%                 ,1.0%                 ,1.3%                  ,2.3%                      ,.3%                  ,                ,                     ,                       ,                             ,                     ,                            ,                        ,                          ,                         ,                            ,                         ,              ,                                       ,                                     ,                                    ,                                    ,                     ,                    ,                     ,                      ,                                       ,                           ,                       ,                    ,                  ,from ODP Leg 138 SR Ch 25 Appendix B pp 595-597
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N21               ,              ,138, 847,B, 11,H, 4,  75.00,     97.2500,Chaisson ,Planktonic Foraminifers                      ,               ,                  ,.0%                  ,.6%                           ,                                  ,.9%                         ,.3%              ,.0%                               ,.0%                               ,                         ,.6%                         ,1.9%                    ,.6%                 ,.3%                      ,                       ,.0%                         ,3.4%                        ,                       ,                   ,                       ,2.2%                     ,                       ,.0%                         ,1.2%                                     ,.6%                       ,1.2%                    ,.0%                     ,                   ,21.0%                  ,.6%                 ,.6%                          ,1.2%             ,                     ,.0%                  ,.3%                 ,1.9%                      ,                    ,38.0%                     ,.0%                        ,.0%                        ,                           ,.6%                ,               ,.0%                ,.3%                      ,.3%                         ,                      ,3.7%                         ,1.6%                 ,16.0%                    ,.6%                 ,                     ,                      ,                          ,                     ,                ,                     ,                       ,                             ,                     ,                            ,                        ,                          ,                         ,                            ,                         ,              ,                                       ,                                     ,                                    ,                                    ,                     ,                    ,                     ,                      ,                                       ,                           ,                       ,                    ,                  ,from ODP Leg 138 SR Ch 25 Appendix B pp 595-597
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N21               ,              ,138, 847,B, 12,H, 4,  75.00,    106.7500,Chaisson ,Planktonic Foraminifers                      ,               ,                  ,.0%                  ,1.7%                          ,                                  ,.3%                         ,.7%              ,.0%                               ,.0%                               ,                         ,7.3%                        ,1.3%                    ,1.3%                ,.3%                      ,                       ,.0%                         ,6.6%                        ,                       ,                   ,                       ,.7%                      ,                       ,1.0%                        ,2.3%                                     ,.7%                       ,1.7%                    ,.0%                     ,                   ,33.0%                  ,1.3%                ,.7%                          ,.3%              ,                     ,.3%                  ,.0%                 ,.7%                       ,                    ,30.0%                     ,.0%                        ,.7%                        ,                           ,.7%                ,               ,.0%                ,.0%                      ,4.3%                        ,                      ,.0%                          ,2.3%                 ,                         ,                    ,                     ,                      ,                          ,                     ,                ,                     ,                       ,                             ,                     ,                            ,                        ,                          ,                         ,                            ,                         ,              ,                                       ,                                     ,                                    ,                                    ,                     ,                    ,                     ,                      ,                                       ,                           ,                       ,                    ,                  ,from ODP Leg 138 SR Ch 25 Appendix B pp 595-597
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N19-N20           ,              ,138, 847,B, 13,H, 4,  74.00,    116.2400,Chaisson ,Planktonic Foraminifers                      ,               ,                  ,.0%                  ,2.6%                          ,1.0%                              ,.6%                         ,.0%              ,.0%                               ,.0%                               ,                         ,12.0%                       ,.6%                     ,.0%                 ,.3%                      ,                       ,.3%                         ,1.9%                        ,                       ,                   ,                       ,1.6%                     ,                       ,.3%                         ,1.6%                                     ,1.9%                      ,4.2%                    ,.3%                     ,                   ,30.0%                  ,1.3%                ,.3%                          ,3.6%             ,.3%                  ,.3%                  ,.6%                 ,.6%                       ,                    ,28.0%                     ,.0%                        ,.0%                        ,                           ,4.2%               ,               ,.0%                ,.0%                      ,.0%                         ,                      ,.3%                          ,                     ,                         ,                    ,                     ,                      ,                          ,                     ,                ,                     ,                       ,                             ,                     ,                            ,                        ,                          ,                         ,                            ,                         ,              ,                                       ,                                     ,                                    ,                                    ,                     ,                    ,                     ,                      ,                                       ,                           ,                       ,                    ,                  ,from ODP Leg 138 SR Ch 25 Appendix B pp 595-597
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N19-N20           ,              ,138, 847,B, 14,H, 4,  75.00,    125.7500,Chaisson ,Planktonic Foraminifers                      ,               ,                  ,.0%                  ,.3%                           ,.7%                               ,4.0%                        ,.3%              ,1.3%                              ,.0%                               ,                         ,32.0%                       ,.7%                     ,.7%                 ,.7%                      ,                       ,.0%                         ,.0%                         ,                       ,                   ,                       ,.7%                      ,                       ,.0%                         ,1.3%                                     ,.3%                       ,1.0%                    ,.0%                     ,.3%                ,17.0%                  ,.7%                 ,.0%                          ,6.0%             ,.3%                  ,.7%                  ,1.7%                ,.3%                       ,                    ,26.0%                     ,.0%                        ,.0%                        ,                           ,2.7%               ,               ,.0%                ,.0%                      ,.0%                         ,1.0%                  ,                             ,                     ,                         ,                    ,                     ,                      ,                          ,                     ,                ,                     ,                       ,                             ,                     ,                            ,                        ,                          ,                         ,                            ,                         ,              ,                                       ,                                     ,                                    ,                                    ,                     ,                    ,                     ,                      ,                                       ,                           ,                       ,                    ,                  ,from ODP Leg 138 SR Ch 25 Appendix B pp 595-597
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
