Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Turborotalia increbescens,Turborotalia cunialensis,Turborotalia cocoaensis,Turborotalia ampliapertura,Tenuitellinata angustiumbilicata,Tenuitella gemma,Subbotina (?) eocaena,Subbotina linaperta,Subbotina angiporoides,Pseudohastigerina spp.,Hantkenina alabamensis,Globigerina yeguaensis,Globigerina pseudovenezuelana,Globigerina ouachitaensis,Globigerina gortanii,Globigerina euapertura,Chiloguembelina cubensis,Chiloguembelina cf. C. martini,Catapsydrax unicavus,Catapsydrax dissimilis,Cassigerinella chipolensis,Paragloborotalia nana,Globoquadrina venezuelana,Turborotalia pomeroli,Turborotalia cerroazulensis,Globigerina tapuriensis,Globorotaloides suteri,Globigerina tripartita,Paragloborotalia opima,Globigerina sellii,Globigerina praebulloides,Globigerina ciperoensis,Globigerina angulisuturalis,Globigerinoides primordius,Globigerinita glutinata,Globigerinella obesa,Paragloborotalia semivera-mayeri group,Paragloborotalia pseudokugleri,Globoquadrina tripartita,Globoquadrina sellii,Globigerina officinalis,Globigerina fariasi,Globigerina ciperoensis ciperoensis,Orbulina universa,Orbulina suturalis,Orbulina bilobata,Globorotalia mayeri,Globorotalia fohsi lobata,Globorotalia fohsi fohsi,Globorotalia acrostoma,Globoquadrina dehiscens,Globoquadrina baroemoenensis,Globoquadrina altispira altispira,Globigerinoides trilobus,Globigerinoides subquadratus,Globigerinoides quadrilobatus,Globigerinoides obliquus,Globigerina decoraperta,Sphaeroidinellopsis subdehiscens,Sphaeroidinellopsis disjuncta,Globorotalia menardii,Globorotalia fohsi robusta,Globorotalia cf. praemenardii,Globigerinoides sacculifer,Praeorbulina glomerosa,Neogloboquadrina continuosa,Globorotalia praemenardii,Globoquadrina altispira globosa,Globigerina falconensis,Sphaeroidinellopsis seminulina,Globorotalia scitula,Globigerinella aequilateralis,Globigerina druryi,Neogloboquadrina pseudopima,Neogloboquadrina acostaensis,Globorotalia plesiotumida,Globorotalia lenguaensis,Globorotalia juanai,Globorotalia cf. Gr. conoidea,Globigerinoides siegliei,Globigerinoides extremus,Globigerinoides bulloideus,Globigerina nepenthes,Globigerina bulloides,Candeina nitida,Globorotalia merotumida,Globorotalia limbata,Globorotalia cibaoensis,Globorotalia cf. Gr. multicamerata,Neogloboquadrina humerosa,Globorotalia multicamerata,Globigerinoides bollii,Sphaeroidinellopsis paenedehiscens,Globigerinoides conglobatus,Neogloboquadrina blowi,Globorotalia margaritae,Pulleniatina primalis,Globorotalia cf. Gr. margaritae,Globigerinoides ruber,Globigerina apertura,Globigerina quinqueloba,Globorotalia miocenica,Globorotalia exilis,Globorotalia cf. Gr. plesiotumida,Globigerina cf. nepenthes,Neogloboquadrina pseudopachyderma,Neogloboquadrina dutertrei,Globorotalia crassula,Globorotalia crassaformis crassaformis,Globigerinoides trilobus fistulosus,Globigerina umbilicata,Sphaeroidinella dehiscens,Globorotalia truncatulinoides,Globorotalia crassaformis hessi,Globorotalia cf. Gr. miocenica,Globorotalia tosaensis tenuitheca,Pulleniatina obliquiloculata,Globorotalia ungulata,Globorotalia inflata,Globorotalia hirsuta,Globigerina rubescens,Globorotalia tumida,Globorotalia flexuosa,Globorotalia crassaformis viola,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N. humerosa       ,              ,101, 628,A, 11,H, 3,  25.00,     92.3500,Melillo  ,Planktonic Foraminifers                      ,               ,P                 ,                         ,                        ,                       ,                          ,                                ,                ,                     ,                   ,                      ,                      ,                      ,                      ,                             ,                         ,                    ,                      ,                        ,                              ,                    ,                      ,                          ,                     ,                         ,                     ,                           ,                       ,                      ,                      ,                      ,                  ,R                        ,                       ,                           ,                          ,                       ,F                   ,                                      ,                              ,                        ,                    ,                       ,                   ,                                   ,C                ,                  ,F                ,                   ,                         ,                        ,                      ,R                      ,                            ,F                                ,F                       ,                            ,                             ,F                       ,                       ,R                               ,                             ,                     ,                          ,                             ,F                         ,                      ,                           ,                         ,                               ,R                      ,                              ,R                   ,R                            ,                  ,                           ,F                           ,R                        ,                        ,                   ,T                            ,R                       ,R                       ,                          ,R                    ,R                    ,R              ,                       ,                    ,R                      ,R                                 ,R                        ,R                         ,R                     ,                                  ,                           ,                      ,                       ,                     ,                               ,                     ,                    ,                       ,                      ,                   ,                                 ,                         ,                                 ,                          ,                     ,                                      ,                                   ,                      ,                         ,                             ,                               ,                              ,                                 ,                            ,                     ,                    ,                    ,                     ,                   ,                     ,                               ,from Melillo; ODP 101 SR Ch 1 Fig 6 p 20-23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N. humerosa       ,              ,101, 628,A, 11,H,CC,   2.00,     98.4800,Melillo  ,Planktonic Foraminifers                      ,               ,M                 ,                         ,                        ,                       ,                          ,                                ,                ,                     ,                   ,                      ,                      ,                      ,                      ,                             ,                         ,                    ,                      ,                        ,                              ,                    ,                      ,                          ,                     ,                         ,                     ,                           ,                       ,                      ,                      ,                      ,                  ,                         ,                       ,                           ,                          ,R                      ,                    ,                                      ,                              ,                        ,                    ,                       ,                   ,                                   ,C                ,                  ,R                ,                   ,                         ,                        ,                      ,R                      ,                            ,F                                ,F                       ,                            ,F                            ,F                       ,R                      ,                                ,                             ,                     ,                          ,                             ,                          ,                      ,                           ,                         ,                               ,                       ,                              ,                    ,                             ,                  ,                           ,C                           ,R                        ,                        ,                   ,R                            ,                        ,R                       ,                          ,R                    ,                     ,               ,                       ,                    ,                       ,                                  ,                         ,                          ,                      ,                                  ,                           ,                      ,                       ,                     ,                               ,                     ,                    ,                       ,                      ,                   ,                                 ,                         ,                                 ,                          ,                     ,                                      ,                                   ,                      ,                         ,                             ,                               ,                              ,                                 ,                            ,                     ,                    ,                    ,                     ,                   ,                     ,                               ,from Melillo; ODP 101 SR Ch 1 Fig 6 p 20-23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N. humerosa       ,              ,101, 628,A, 12,H, 3,  25.00,    101.7500,Melillo  ,Planktonic Foraminifers                      ,               ,M                 ,                         ,                        ,                       ,                          ,                                ,                ,                     ,                   ,                      ,                      ,                      ,                      ,                             ,                         ,                    ,                      ,                        ,                              ,                    ,                      ,                          ,                     ,                         ,                     ,                           ,                       ,                      ,                      ,                      ,                  ,                         ,                       ,                           ,                          ,R                      ,F                   ,                                      ,                              ,                        ,                    ,                       ,                   ,                                   ,C                ,                  ,R                ,                   ,                         ,                        ,                      ,R                      ,R                           ,R                                ,R                       ,                            ,                             ,F                       ,                       ,                                ,R                            ,R                    ,                          ,                             ,F                         ,                      ,R                          ,                         ,                               ,                       ,R                             ,R                   ,F                            ,                  ,                           ,R                           ,R                        ,                        ,                   ,R                            ,T                       ,F                       ,F                         ,R                    ,                     ,R              ,R                      ,R                   ,R                      ,F                                 ,                         ,                          ,                      ,                                  ,                           ,                      ,                       ,                     ,                               ,                     ,                    ,                       ,                      ,                   ,                                 ,                         ,                                 ,                          ,                     ,                                      ,                                   ,                      ,                         ,                             ,                               ,                              ,                                 ,                            ,                     ,                    ,                    ,                     ,                   ,                     ,                               ,from Melillo; ODP 101 SR Ch 1 Fig 6 p 20-23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N. humerosa       ,              ,101, 628,A, 12,H,CC,  25.00,    108.3700,Melillo  ,Planktonic Foraminifers                      ,               ,M                 ,                         ,                        ,                       ,                          ,                                ,                ,                     ,                   ,                      ,                      ,                      ,                      ,                             ,                         ,                    ,                      ,                        ,                              ,                    ,                      ,                          ,                     ,                         ,                     ,                           ,                       ,                      ,                      ,                      ,                  ,                         ,                       ,                           ,                          ,R                      ,F                   ,                                      ,                              ,                        ,                    ,                       ,                   ,                                   ,C                ,                  ,R                ,                   ,                         ,                        ,                      ,                       ,R                           ,                                 ,R                       ,                            ,R                            ,F                       ,R                      ,                                ,                             ,                     ,                          ,                             ,C                         ,                      ,                           ,                         ,                               ,                       ,                              ,                    ,                             ,                  ,                           ,F                           ,F                        ,                        ,                   ,                             ,                        ,F                       ,R                         ,R                    ,R                    ,F              ,                       ,                    ,                       ,                                  ,                         ,                          ,                      ,                                  ,                           ,                      ,                       ,                     ,                               ,                     ,                    ,                       ,                      ,                   ,                                 ,                         ,                                 ,                          ,                     ,                                      ,                                   ,                      ,                         ,                             ,                               ,                              ,                                 ,                            ,                     ,                    ,                    ,                     ,                   ,                     ,                               ,from Melillo; ODP 101 SR Ch 1 Fig 6 p 20-23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N. humerosa       ,              ,101, 628,A, 13,H, 3,  25.00,    111.1500,Melillo  ,Planktonic Foraminifers                      ,               ,M                 ,                         ,                        ,                       ,                          ,                                ,                ,                     ,                   ,                      ,                      ,                      ,                      ,                             ,                         ,                    ,                      ,                        ,                              ,                    ,                      ,                          ,                     ,R                        ,                     ,                           ,                       ,                      ,                      ,                      ,                  ,R                        ,                       ,                           ,                          ,R                      ,F                   ,                                      ,                              ,                        ,                    ,                       ,                   ,                                   ,C                ,                  ,F                ,                   ,                         ,                        ,                      ,                       ,R                           ,F                                ,F                       ,                            ,R                            ,F                       ,R                      ,R                               ,R                            ,                     ,                          ,                             ,C                         ,                      ,                           ,                         ,F                              ,                       ,                              ,T                   ,F                            ,                  ,R                          ,R                           ,R                        ,T                       ,R                  ,T                            ,R                       ,F                       ,R                         ,R                    ,R                    ,F              ,                       ,                    ,                       ,                                  ,                         ,                          ,                      ,                                  ,                           ,                      ,                       ,                     ,                               ,                     ,                    ,                       ,                      ,                   ,                                 ,                         ,                                 ,                          ,                     ,                                      ,                                   ,                      ,                         ,                             ,                               ,                              ,                                 ,                            ,                     ,                    ,                    ,                     ,                   ,                     ,                               ,from Melillo; ODP 101 SR Ch 1 Fig 6 p 20-23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,P. mayeri         ,              ,101, 628,A, 13,H,CC,  20.00,    117.4600,Melillo  ,Planktonic Foraminifers                      ,               ,P                 ,                         ,                        ,                       ,                          ,                                ,                ,                     ,                   ,                      ,                      ,                      ,                      ,                             ,                         ,                    ,                      ,                        ,                              ,                    ,                      ,                          ,                     ,R                        ,                     ,                           ,                       ,                      ,                      ,                      ,                  ,                         ,                       ,                           ,                          ,R                      ,R                   ,                                      ,                              ,                        ,                    ,                       ,                   ,                                   ,F                ,                  ,R                ,F                  ,cf                       ,                        ,                      ,F                      ,F                           ,F                                ,F                       ,                            ,F                            ,F                       ,R                      ,                                ,                             ,                     ,                          ,                             ,F                         ,                      ,                           ,F                        ,R                              ,                       ,                              ,                    ,                             ,                  ,                           ,                            ,                         ,                        ,                   ,                             ,                        ,                        ,                          ,                     ,                     ,               ,                       ,                    ,                       ,                                  ,                         ,                          ,                      ,                                  ,                           ,                      ,                       ,                     ,                               ,                     ,                    ,                       ,                      ,                   ,                                 ,                         ,                                 ,                          ,                     ,                                      ,                                   ,                      ,                         ,                             ,                               ,                              ,                                 ,                            ,                     ,                    ,                    ,                     ,                   ,                     ,                               ,from Melillo; ODP 101 SR Ch 1 Fig 6 p 20-23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,M9b               ,              ,101, 628,A, 14,H, 3,  25.00,    120.6500,Melillo  ,Planktonic Foraminifers                      ,               ,M                 ,                         ,                        ,                       ,                          ,                                ,                ,                     ,                   ,                      ,                      ,                      ,                      ,                             ,                         ,                    ,                      ,                        ,                              ,                    ,                      ,                          ,                     ,R                        ,                     ,                           ,                       ,                      ,                      ,                      ,                  ,R                        ,                       ,                           ,                          ,R                      ,F                   ,                                      ,                              ,                        ,                    ,                       ,                   ,                                   ,F                ,R                 ,R                ,F                  ,R                        ,                        ,                      ,F                      ,F                           ,F                                ,F                       ,F                           ,R                            ,F                       ,                       ,                                ,R                            ,R                    ,T                         ,                             ,F                         ,                      ,                           ,                         ,R                              ,R                      ,R                             ,R                   ,R                            ,R                 ,                           ,                            ,                         ,                        ,                   ,                             ,                        ,                        ,                          ,                     ,                     ,               ,                       ,                    ,                       ,                                  ,                         ,                          ,                      ,                                  ,                           ,                      ,                       ,                     ,                               ,                     ,                    ,                       ,                      ,                   ,                                 ,                         ,                                 ,                          ,                     ,                                      ,                                   ,                      ,                         ,                             ,                               ,                              ,                                 ,                            ,                     ,                    ,                    ,                     ,                   ,                     ,                               ,from Melillo; ODP 101 SR Ch 1 Fig 6 p 20-23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,M9b               ,              ,101, 628,A, 14,H,CC,  19.00,    126.8600,Melillo  ,Planktonic Foraminifers                      ,               ,P                 ,                         ,                        ,                       ,                          ,                                ,                ,                     ,                   ,                      ,                      ,                      ,                      ,                             ,                         ,                    ,                      ,                        ,                              ,                    ,                      ,                          ,                     ,R                        ,                     ,                           ,                       ,                      ,                      ,                      ,                  ,R                        ,                       ,                           ,                          ,R                      ,                    ,                                      ,                              ,                        ,                    ,                       ,                   ,                                   ,C                ,F                 ,R                ,F                  ,R                        ,                        ,                      ,F                      ,                            ,F                                ,F                       ,                            ,R                            ,F                       ,R                      ,                                ,                             ,                     ,F                         ,T                            ,R                         ,r                     ,R                          ,R                        ,T                              ,R                      ,                              ,                    ,                             ,                  ,                           ,                            ,                         ,                        ,                   ,                             ,                        ,                        ,                          ,                     ,                     ,               ,                       ,                    ,                       ,                                  ,                         ,                          ,                      ,                                  ,                           ,                      ,                       ,                     ,                               ,                     ,                    ,                       ,                      ,                   ,                                 ,                         ,                                 ,                          ,                     ,                                      ,                                   ,                      ,                         ,                             ,                               ,                              ,                                 ,                            ,                     ,                    ,                    ,                     ,                   ,                     ,                               ,from Melillo; ODP 101 SR Ch 1 Fig 6 p 20-23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,M9b               ,              ,101, 628,A, 15,H, 3,  25.00,    130.2500,Melillo  ,Planktonic Foraminifers                      ,               ,M                 ,                         ,                        ,                       ,                          ,                                ,                ,                     ,                   ,                      ,                      ,                      ,                      ,                             ,                         ,                    ,                      ,                        ,                              ,                    ,                      ,                          ,                     ,R                        ,                     ,                           ,                       ,                      ,                      ,                      ,                  ,                         ,                       ,                           ,                          ,R                      ,F                   ,                                      ,                              ,                        ,                    ,                       ,                   ,                                   ,C                ,F                 ,F                ,F                  ,R                        ,r                       ,R                     ,F                      ,F                           ,F                                ,F                       ,F                           ,F                            ,R                       ,                       ,R                               ,R                            ,R                    ,F                         ,R                            ,R                         ,                      ,                           ,                         ,                               ,                       ,                              ,                    ,                             ,                  ,                           ,                            ,                         ,                        ,                   ,                             ,                        ,                        ,                          ,                     ,                     ,               ,                       ,                    ,                       ,                                  ,                         ,                          ,                      ,                                  ,                           ,                      ,                       ,                     ,                               ,                     ,                    ,                       ,                      ,                   ,                                 ,                         ,                                 ,                          ,                     ,                                      ,                                   ,                      ,                         ,                             ,                               ,                              ,                                 ,                            ,                     ,                    ,                    ,                     ,                   ,                     ,                               ,from Melillo; ODP 101 SR Ch 1 Fig 6 p 20-23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,M9b               ,              ,101, 628,A, 15,H,CC,   7.00,    132.1000,Melillo  ,Planktonic Foraminifers                      ,               ,M                 ,                         ,                        ,                       ,                          ,                                ,                ,                     ,                   ,                      ,                      ,                      ,                      ,                             ,                         ,                    ,                      ,                        ,                              ,                    ,                      ,                          ,                     ,R                        ,                     ,                           ,                       ,                      ,                      ,                      ,                  ,                         ,                       ,                           ,                          ,                       ,                    ,                                      ,                              ,                        ,                    ,                       ,                   ,                                   ,A                ,F                 ,F                ,F                  ,C                        ,T                       ,T                     ,F                      ,R                           ,F                                ,F                       ,R                           ,F                            ,R                       ,R                      ,                                ,                             ,                     ,                          ,                             ,                          ,                      ,                           ,                         ,                               ,                       ,                              ,                    ,                             ,                  ,                           ,                            ,                         ,                        ,                   ,                             ,                        ,                        ,                          ,                     ,                     ,               ,                       ,                    ,                       ,                                  ,                         ,                          ,                      ,                                  ,                           ,                      ,                       ,                     ,                               ,                     ,                    ,                       ,                      ,                   ,                                 ,                         ,                                 ,                          ,                     ,                                      ,                                   ,                      ,                         ,                             ,                               ,                              ,                                 ,                            ,                     ,                    ,                    ,                     ,                   ,                     ,                               ,from Melillo; ODP 101 SR Ch 1 Fig 6 p 20-23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,P22               ,              ,101, 628,A, 16,H, 1, 100.00,    137.6000,Leckie   ,Planktonic Foraminifers                      ,               ,MG                ,                         ,                        ,                       ,                          ,F/C                             ,                ,                     ,                   ,                      ,                      ,                      ,R                     ,                             ,F/C                      ,                    ,R                     ,R                       ,                              ,R                   ,                      ,F/C                       ,F/C                  ,R                        ,                     ,                           ,R                      ,R                     ,R                     ,                      ,R                 ,F/C                      ,F/C                    ,R                          ,F/C                       ,R                      ,F/C                 ,R                                     ,                              ,                        ,                    ,                       ,                   ,                                   ,                 ,                  ,                 ,                   ,                         ,                        ,                      ,                       ,                            ,                                 ,                        ,                            ,                             ,                        ,                       ,                                ,                             ,                     ,                          ,                             ,                          ,                      ,                           ,                         ,                               ,                       ,                              ,                    ,                             ,                  ,                           ,                            ,                         ,                        ,                   ,                             ,                        ,                        ,                          ,                     ,                     ,               ,                       ,                    ,                       ,                                  ,                         ,                          ,                      ,                                  ,                           ,                      ,                       ,                     ,                               ,                     ,                    ,                       ,                      ,                   ,                                 ,                         ,                                 ,                          ,                     ,                                      ,                                   ,                      ,                         ,                             ,                               ,                              ,                                 ,                            ,                     ,                    ,                    ,                     ,                   ,                     ,                               ,from 130SR.Chapter 9.Figure 5.page 117. Data in figure from Leg 101 Hole 628A (Little Bahama Bank).
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,G. ciperoensis    ,              ,101, 628,A, 16,H, 3,  25.00,    139.8500,Melillo  ,Planktonic Foraminifers                      ,               ,G                 ,                         ,                        ,                       ,                          ,                                ,                ,                     ,                   ,                      ,                      ,                      ,                      ,                             ,                         ,                    ,                      ,R                       ,                              ,                    ,R                     ,                          ,                     ,R                        ,                     ,                           ,                       ,                      ,                      ,                      ,                  ,A                        ,                       ,F                          ,F                         ,                       ,                    ,                                      ,                              ,R                       ,R                   ,R                      ,T                  ,F                                  ,                 ,                  ,                 ,                   ,                         ,                        ,                      ,                       ,                            ,                                 ,                        ,                            ,                             ,                        ,                       ,                                ,                             ,                     ,                          ,                             ,                          ,                      ,                           ,                         ,                               ,                       ,                              ,                    ,                             ,                  ,                           ,                            ,                         ,                        ,                   ,                             ,                        ,                        ,                          ,                     ,                     ,               ,                       ,                    ,                       ,                                  ,                         ,                          ,                      ,                                  ,                           ,                      ,                       ,                     ,                               ,                     ,                    ,                       ,                      ,                   ,                                 ,                         ,                                 ,                          ,                     ,                                      ,                                   ,                      ,                         ,                             ,                               ,                              ,                                 ,                            ,                     ,                    ,                    ,                     ,                   ,                     ,                               ,from Melillo; ODP 101 SR Ch 1 Fig 6 p 20-23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,P22               ,              ,101, 628,A, 16,H, 3, 100.00,    140.6000,Leckie   ,Planktonic Foraminifers                      ,               ,MG                ,                         ,                        ,                       ,                          ,F/C                             ,                ,                     ,                   ,                      ,                      ,                      ,F/C                   ,R                            ,F/C                      ,R                   ,R                     ,R                       ,                              ,R                   ,                      ,F/C                       ,F/C                  ,F/C                      ,                     ,                           ,                       ,                      ,R                     ,                      ,F/C               ,F/C                      ,F/C                    ,F/C                        ,F/C                       ,R                      ,F/C                 ,F/C                                   ,                              ,                        ,                    ,                       ,                   ,                                   ,                 ,                  ,                 ,                   ,                         ,                        ,                      ,                       ,                            ,                                 ,                        ,                            ,                             ,                        ,                       ,                                ,                             ,                     ,                          ,                             ,                          ,                      ,                           ,                         ,                               ,                       ,                              ,                    ,                             ,                  ,                           ,                            ,                         ,                        ,                   ,                             ,                        ,                        ,                          ,                     ,                     ,               ,                       ,                    ,                       ,                                  ,                         ,                          ,                      ,                                  ,                           ,                      ,                       ,                     ,                               ,                     ,                    ,                       ,                      ,                   ,                                 ,                         ,                                 ,                          ,                     ,                                      ,                                   ,                      ,                         ,                             ,                               ,                              ,                                 ,                            ,                     ,                    ,                    ,                     ,                   ,                     ,                               ,from 130SR.Chapter 9.Figure 5.page 117. Data in figure from Leg 101 Hole 628A (Little Bahama Bank).
