Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Toweius gammation,Sphenolithus pseudoradians,Sphenolithus primus,Neococcolithes dubius,Helicosphaera seminulum,Ericsonia formosa,Discoaster salisburgensis,Coronocyclus prionion,Coccolithus pelagicus,Campylosphaera dela,Blackites cf. spinosus (base),Sphenolithus moriformis,Discoaster wemmelensis,Discoaster lodoensis,Discoaster barbadiensis,Chiasmolithus titus,Chiasmolithus grandis,Clausicoccus fenestratus,Chiasmolithus solitus,Sphenolithus radians,Cruciplacolithus vanheckae,Chiasmolithus modestus,Cyclicargolithus floridanus,Zygrhablithus bijugatus,Sphenolithus spiniger,Sphenolithus furcatolithoides,Helicosphaera bramlettei,Cribrocentrum coenurum,Calcidiscus protoannulus,Sphenolithus orphanknollensis,Reticulofenestra callida,Discoaster deflandrei,Cruciplacolithus cruciformis,Reticulofenestra umbilica,Helicosphaera lophota,Discoaster saipanensis,Lanternithus minutus,Helicosphaera salebrosa,Dictyococcites scrippsae,Dictyococcites bisectus,Discoaster tanii nodifer,Helicosphaera dinesenii,Rhabdosphaera tenuis,Cribrocentrum reticulatum,Discoaster tanii tanii,Helicosphaera wilcoxonii,Sphenolithus predistentus,Sphenolithus obtusus,Reticulofenestra hillae,Helicosphaera compacta,Sphenolithus intercalaris,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,CP13c             ,              ,160, 966,F, 29,R, 2,  20.00,    328.8000,Staerker ,Nannofossils                                 ,               ,                  ,                 ,                          ,                   ,                     ,                       ,C                ,                         ,                     ,C                    ,R                  ,                             ,C                      ,R                     ,                    ,F                      ,F                  ,                     ,F                       ,                     ,                    ,                          ,                      ,C                          ,                       ,F                    ,F                            ,                        ,                      ,F                       ,F                            ,R                       ,R                    ,R                           ,                         ,                     ,                      ,                    ,                       ,                        ,                       ,                        ,                       ,                    ,                         ,                      ,                        ,                         ,                    ,                       ,                      ,                         ,from Leg 160SR Ch 31 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,CP13c             ,              ,160, 966,F, 29,R, 2, 134.00,    329.9400,Staerker ,Nannofossils                                 ,               ,                  ,                 ,R                         ,                   ,                     ,                       ,F                ,                         ,                     ,F                    ,R                  ,R                            ,C                      ,                      ,                    ,F                      ,F                  ,                     ,F                       ,                     ,                    ,                          ,                      ,C                          ,C                      ,F                    ,C                            ,F                       ,R                     ,R                       ,                             ,                        ,                     ,                            ,                         ,                     ,                      ,                    ,                       ,                        ,                       ,                        ,                       ,                    ,                         ,                      ,                        ,                         ,                    ,                       ,                      ,                         ,from Leg 160SR Ch 31 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,CP12              ,              ,160, 966,F, 29,R, 3,  33.00,    330.4300,Staerker ,Nannofossils                                 ,               ,                  ,F                ,F                         ,                   ,F                    ,                       ,F                ,                         ,                     ,C                    ,                   ,F                            ,F                      ,                      ,F                   ,F                      ,F                  ,                     ,R                       ,                     ,                    ,                          ,                      ,F                          ,                       ,                     ,                             ,                        ,                      ,                        ,                             ,                        ,                     ,                            ,                         ,                     ,                      ,                    ,                       ,                        ,                       ,                        ,                       ,                    ,                         ,                      ,                        ,                         ,                    ,                       ,                      ,                         ,from Leg 160SR Ch 31 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,CP12              ,              ,160, 966,F, 29,R, 3,  78.00,    330.8800,Staerker ,Nannofossils                                 ,               ,                  ,F                ,C                         ,R                  ,F                    ,                       ,F                ,                         ,                     ,C                    ,F                  ,F                            ,F                      ,                      ,                    ,F                      ,F                  ,                     ,                        ,                     ,                    ,                          ,R                     ,                           ,                       ,                     ,                             ,                        ,                      ,                        ,                             ,                        ,                     ,                            ,                         ,                     ,                      ,                    ,                       ,                        ,                       ,                        ,                       ,                    ,                         ,                      ,                        ,                         ,                    ,                       ,                      ,                         ,from Leg 160SR Ch 31 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,CP12              ,              ,160, 966,F, 30,R, 1,  21.00,    337.0100,Staerker ,Nannofossils                                 ,               ,                  ,F                ,R                         ,F                  ,F                    ,                       ,F                ,                         ,                     ,C                    ,                   ,                             ,R                      ,                      ,                    ,F                      ,                   ,                     ,                        ,R                    ,F                   ,                          ,                      ,                           ,                       ,                     ,                             ,                        ,                      ,                        ,                             ,                        ,                     ,                            ,                         ,                     ,                      ,                    ,                       ,                        ,                       ,                        ,                       ,                    ,                         ,                      ,                        ,                         ,                    ,                       ,                      ,                         ,from Leg 160SR Ch 31 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,CP12              ,              ,160, 966,F, 30,R, 1, 138.00,    338.1800,Staerker ,Nannofossils                                 ,               ,                  ,F                ,F                         ,F                  ,                     ,                       ,F                ,                         ,                     ,C                    ,C                  ,F                            ,F                      ,                      ,                    ,                       ,F                  ,                     ,                        ,R                    ,R                   ,R                         ,                      ,                           ,                       ,                     ,                             ,                        ,                      ,                        ,                             ,                        ,                     ,                            ,                         ,                     ,                      ,                    ,                       ,                        ,                       ,                        ,                       ,                    ,                         ,                      ,                        ,                         ,                    ,                       ,                      ,                         ,from Leg 160SR Ch 31 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,CP12              ,              ,160, 966,F, 30,R, 2,  28.00,    338.5800,Staerker ,Nannofossils                                 ,               ,                  ,F                ,F                         ,F                  ,                     ,                       ,F                ,                         ,                     ,C                    ,F                  ,C                            ,F                      ,                      ,                    ,R                      ,R                  ,                     ,                        ,                     ,F                   ,                          ,                      ,                           ,                       ,                     ,                             ,                        ,                      ,                        ,                             ,                        ,                     ,                            ,                         ,                     ,                      ,                    ,                       ,                        ,                       ,                        ,                       ,                    ,                         ,                      ,                        ,                         ,                    ,                       ,                      ,                         ,from Leg 160SR Ch 31 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,CP12              ,              ,160, 966,F, 30,R, 2, 108.00,    339.3800,Staerker ,Nannofossils                                 ,               ,                  ,F                ,F                         ,F                  ,                     ,F                      ,F                ,                         ,R                    ,C                    ,F                  ,C                            ,F                      ,                      ,R                   ,F                      ,                   ,                     ,                        ,R                    ,F                   ,                          ,                      ,                           ,                       ,                     ,                             ,                        ,                      ,                        ,                             ,                        ,                     ,                            ,                         ,                     ,                      ,                    ,                       ,                        ,                       ,                        ,                       ,                    ,                         ,                      ,                        ,                         ,                    ,                       ,                      ,                         ,from Leg 160SR Ch 31 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,CP12              ,              ,160, 966,F, 30,R, 3,  23.00,    340.0000,Staerker ,Nannofossils                                 ,               ,                  ,C                ,F                         ,C                  ,R                    ,                       ,F                ,                         ,R                    ,C                    ,C                  ,C                            ,F                      ,                      ,                    ,                       ,F                  ,                     ,                        ,                     ,F                   ,                          ,                      ,                           ,                       ,                     ,                             ,                        ,                      ,                        ,                             ,                        ,                     ,                            ,                         ,                     ,                      ,                    ,                       ,                        ,                       ,                        ,                       ,                    ,                         ,                      ,                        ,                         ,                    ,                       ,                      ,                         ,from Leg 160SR Ch 31 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,CP12              ,              ,160, 966,F, 30,R, 3, 105.00,    340.8200,Staerker ,Nannofossils                                 ,               ,                  ,F                ,F                         ,F                  ,F                    ,                       ,F                ,                         ,R                    ,C                    ,C                  ,C                            ,F                      ,                      ,R                   ,R                      ,F                  ,                     ,R                       ,R                    ,                    ,                          ,                      ,                           ,                       ,                     ,                             ,                        ,                      ,                        ,                             ,                        ,                     ,                            ,                         ,                     ,                      ,                    ,                       ,                        ,                       ,                        ,                       ,                    ,                         ,                      ,                        ,                         ,                    ,                       ,                      ,                         ,from Leg 160SR Ch 31 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,CP12              ,              ,160, 966,F, 31,R, 1,  38.00,    346.7800,Staerker ,Nannofossils                                 ,               ,                  ,C                ,F                         ,C                  ,F                    ,F                      ,F                ,                         ,R                    ,A                    ,A                  ,A                            ,F                      ,R                     ,R                   ,R                      ,F                  ,F                    ,                        ,                     ,                    ,                          ,                      ,                           ,                       ,                     ,                             ,                        ,                      ,                        ,                             ,                        ,                     ,                            ,                         ,                     ,                      ,                    ,                       ,                        ,                       ,                        ,                       ,                    ,                         ,                      ,                        ,                         ,                    ,                       ,                      ,                         ,from Leg 160SR Ch 31 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,CP12              ,              ,160, 966,F, 31,R, 1, 116.00,    347.5600,Staerker ,Nannofossils                                 ,               ,                  ,C                ,F                         ,C                  ,F                    ,F                      ,F                ,R                        ,R                    ,A                    ,C                  ,C                            ,                       ,                      ,                    ,                       ,                   ,                     ,                        ,                     ,                    ,                          ,                      ,                           ,                       ,                     ,                             ,                        ,                      ,                        ,                             ,                        ,                     ,                            ,                         ,                     ,                      ,                    ,                       ,                        ,                       ,                        ,                       ,                    ,                         ,                      ,                        ,                         ,                    ,                       ,                      ,                         ,from Leg 160SR Ch 31 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,CP12              ,              ,160, 966,F, 31,R, 2,  24.00,    348.1400,Staerker ,Nannofossils                                 ,               ,                  ,C                ,F                         ,C                  ,F                    ,F                      ,F                ,R                        ,F                    ,C                    ,F                  ,C                            ,                       ,                      ,                    ,                       ,                   ,                     ,                        ,                     ,                    ,                          ,                      ,                           ,                       ,                     ,                             ,                        ,                      ,                        ,                             ,                        ,                     ,                            ,                         ,                     ,                      ,                    ,                       ,                        ,                       ,                        ,                       ,                    ,                         ,                      ,                        ,                         ,                    ,                       ,                      ,                         ,from Leg 160SR Ch 31 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
