genus name,pbdb_taxon_id,pbdb_taxon_name,pbdb_taxon_rank
Thalassionema,82176,Thalassionema,genus
Svalbardella,415390,Svalbardella,genus
Amphymenium,15,Amphymenium,genus
Rhizammina,2414,Rhizammina,genus
Chrysophyta,69586,Chrysophyta,unranked clade
Grammatophora,339276,Grammatophora,genus
Certonia,,,
Bekomiforma,87075,Bekomiforma,genus
Odontella,387067,Odontella,genus
Hexacontium,152,Hexacontium,genus
Spongodiscus,315,Spongodiscus,genus
Umbilicosphaera,255407,Umbilicosphaera,genus
Delphineis,82157,Delphineis,genus
Corridinium,,,
Liguliflores,,,
Trisaccites,264511,Trisaccites,genus
Pseudammopochium,,,
Phaseliforma,242,Phaseliforma,genus
Bathysiphon,948,Bathysiphon,genus
Prunopyle,264,Prunopyle,genus
Prediscosphaera,87817,Prediscosphaera,genus
Solenosphaera,299,Solenosphaera,genus
Nonion,1955,Nonion,genus
Sigmoilina,2523,Sigmoilina,genus
Fasciculitaus,,,
Oolithotus,432538,Oolithotus,genus
Cladococcus,84470,Cladococcus,genus
Forams,,,
Pseudononion,2278,Pseudononion,genus
Montfortstella,,,
Striatococcolithus,,,
Parsonsidites,252765,Parsonsidites,genus
Micrhystridium,170208,Micrhystridium,genus
Isthmia,,,
Dicladia,82158,Dicladia,genus
Artocyrtis,,,
Phacorhabdotus,24433,Phacorhabdotus,genus
Cystammina,1237,Cystammina,genus
Proxifrons,2227,Proxifrons,genus
Foliactiniscus,,,
Suhmicythere,,,
Buliminella,1033,Buliminella,genus
Tritaxia,2717,Tritaxia,genus
Fursenkoina,1460,Fursenkoina,genus
Nephrolithus,87887,Nephrolithus,genus
Aphelandra,,,
Bursera,369956,Bursera,genus
Pyrgo,2334,Pyrgo,genus
Tournefortia,,,
Spinidinium,277897,Spinidinium,genus
Systamatophora,,,
Liquidambar,54637,Liquidambar,genus
Nannocorbis,,,
Pyrgodiscus,71268,Pyrgodiscus,genus
Lithocircus,85785,Lithocircus,genus
Bythocythere,23958,Bythocythere,genus
Septamesocena,,,
Amphirhopalum,84844,Amphirhopalum,genus
Baggatellla,,,
Plectopyramis,608,Plectopyramis,genus
Trigonastrum,84849,Trigonastrum,genus
Echinomma,119,Echinomma,genus
Ommatocampe,208,Ommatocampe,genus
Bathycythere,23933,Bathycythere,genus
Stylatractus,346,Stylatractus,genus
Hermesonella,,,
Abathomphalus,758,Abathomphalus,genus
Rhoipites,252775,Rhoipites,genus
Schimperiella,,,
Retitricolporites,250649,Retitricolporites,genus
Diphyes,326008,Diphyes,genus
Hexacromyum,153,Hexacromyum,genus
Eoconuloides,1358,Eoconuloides,genus
Pulleniatina,2325,Pulleniatina,genus
Alfaroa,,,
Stereisporites,252484,Stereisporites,genus
Bombacacidites,276601,Bombacacidites,genus
Solanaceae,55747,Solanaceae,family
Carpocanistrum,455,Carpocanistrum,genus
Biscutum,87829,Biscutum,genus
Pyxidicula,71269,Pyxidicula,genus
Endictis,,,
Lirella,,,
Nothofagidites,251909,Nothofagidites,genus
Tricolocapsa,690,Tricolocapsa,genus
Bachmannocena,434213,Bachmannocena,genus
Aratrocypris,23894,Aratrocypris,genus
Ammomassilina,240354,Ammomassilina,genus
Larix,83628,Larix,genus
Scampanella,87695,Scampanella,genus
Astrosphaerin,,,
Chiropteridium,406558,Chiropteridium,genus
Saracenaria,2471,Saracenaria,genus
Schizocolpus,277351,Schizocolpus,genus
Melitasphaeridium,,,
Clistophaera,,,
Rhabdonema,433617,Rhabdonema,genus
Reophax,2400,Reophax,genus
Piperodinium,,,
Trilites,276585,Trilites,genus
Rectobolivina,2371,Rectobolivina,genus
Mortoniodendron,,,
Rhabdolithina,,,
Senegalinium,322148,Senegalinium,genus
Pyrulina,2336,Pyrulina,genus
Discopirina,,,
Liliacidites,251329,Liliacidites,genus
Celtis,53532,Celtis,genus
Monoceratina,24291,Monoceratina,genus
Rhamnus,54702,Rhamnus,genus
Pyrocyclus,,,
Hannaites,131820,Hannaites,genus
Aiora,336715,Aiora,genus
Rhopalodia,433415,Rhopalodia,genus
Cribroperidinium,276900,Cribroperidinium,genus
Bathropyramis,431,Bathropyramis,genus
Sethophormis,85897,Sethophormis,genus
Rectobulimina,2372,Rectobulimina,genus
Rocella,432670,Rocella,genus
Leptodinium,277222,Leptodinium,genus
Martinottiella,1817,Martinottiella,genus
Skeletonema,71273,Skeletonema,genus
Zygosphaera,,,
Neoflabellina,1914,Neoflabellina,genus
Trema,319876,Trema,genus
Aulacodiscus,9512,Aulacodiscus,genus
Pseudoaulophacus,266,Pseudoaulophacus,genus
Calciopilleus,,,
Botryometra,85927,Botryometra,genus
Globigerinopsis,1507,Globigerinopsis,genus
Cymatosira,82156,Cymatosira,genus
Chenopodiaceae,55413,Chenopodiaceae,family
Libocedrus,317395,Libocedrus,genus
Bolivinoides,999,Bolivinoides,genus
Placozygus,87872,Placozygus,genus
Oleaceae,54728,Oleaceae,family
Membranilarnacia,276922,Membranilarnacia,genus
Phthanoperidinium,,,
Xiphatractus,393,Xiphatractus,genus
Robulus,153334,Robulus,genus
Cryptoprora,,,
Globanomalina,1495,Globanomalina,genus
Semihololithus,87775,Semihololithus,genus
Sethoconus,,,
Eoeponides,,,
Cintactiniscus,,,
Glyphodiscus,,,
Cylindralithus,87799,Cylindralithus,genus
Ophthalmidium,1989,Ophthalmidium,genus
Hastigerinoides,1589,Hastigerinoides,genus
Craniopsis,,,
Pseudorocella,413527,Pseudorocella,genus
Calocycletta,447,Calocycletta,genus
Acrobotrys,409,Acrobotrys,genus
Theocorys,678,Theocorys,genus
Gyrosigma,,,
Phormostichoartus,605,Phormostichoartus,genus
Entogonia,,,
Litharachnium,86161,Litharachnium,genus
Elatomma,432660,Elatomma,genus
Cyclampterium,486,Cyclampterium,genus
Batiacasphaera,276895,Batiacasphaera,genus
Massilina,1819,Massilina,genus
Otosphaera,432803,Otosphaera,genus
Porospathis,,,
Yosidaia,,,
Stomatosphaera,,,
Panartus,,,
Beaupreaeidites,,,
Taxus,206223,Taxus,genus
Cycladophora,485,Cycladophora,genus
Stauralastrum,330,Stauralastrum,genus
Nonionellina,1958,Nonionellina,genus
Buntonia,23955,Buntonia,genus
Alnus,54588,Alnus,genus
Epithemia,433414,Epithemia,genus
Micrantholithus,87757,Micrantholithus,genus
Pterocyrtidium,,,
Labiatae,55758,Labiatae,family
Acanthocythereis,23847,Acanthocythereis,genus
Dicliptera,189810,Dicliptera,order
Myllocercion,580,Myllocercion,genus
Cricolithus,87714,Cricolithus,genus
Dictyospyris,502,Dictyospyris,genus
Cromyechinus,,,
Globigerinella,1501,Globigerinella,genus
Pseudotriceratium,433615,Pseudotriceratium,genus
Diatoma,387116,Diatoma,genus
Lapideacassis,87752,Lapideacassis,genus
Marsipella,1814,Marsipella,genus
Stylotracta,,,
