verbatim_name,taxon_group,genus name,_simplified_name,species name,subspecies name,_merge_approved
Lithostylidium biconcavum (q),phytoliths,Lithostylidium,Lithostylidium biconcavum,biconcavum,,left_only
Lithocampe sp.,radiolarians,Lithocampe,Lithocampe sp.,sp.,,left_only
Lithocampe subligata,radiolarians,Lithocampe,Lithocampe subligata,subligata,,left_only
Asterolampra affinis,diatoms,Asterolampra,Asterolampra affinis,affinis,,left_only
Lithocyclia crux (q),radiolarians,Lithocyclia,Lithocyclia crux,crux,,both
Uvigerina striata (q),benthic_foraminfera,Uvigerina,Uvigerina striata,striata,,left_only
Corbisema navicula constricta,silicoflagellates,Corbisema,Corbisema navicula constricta,navicula,constricta,left_only
Stilostomella verneuili,benthic_foraminfera,Stilostomella,Stilostomella verneuili,verneuili,,left_only
Globigerina eggeri (q),planktic_foraminfera,Globigerina,Globigerina eggeri,eggeri,,left_only
Globoquadrina winkleri,planktic_foraminfera,Globoquadrina,Globoquadrina winkleri,winkleri,,left_only
Cephalotaxus (q),pollen,Cephalotaxus,Cephalotaxus,,,left_only
Corythomelissa horrida,radiolarians,Corythomelissa,Corythomelissa horrida,horrida,,left_only
Globigerinita martini martini,planktic_foraminfera,Globigerinita,Globigerinita martini martini,martini,martini,left_only
Neogloboquadrina continuosa,planktic_foraminfera,Neogloboquadrina,Neogloboquadrina continuosa,continuosa,,both
Corbisema exilis,silicoflagellates,Corbisema,Corbisema exilis,exilis,,left_only
Discodiscus tetraporus,diatoms,Discodiscus,Discodiscus tetraporus,tetraporus,,left_only
Cassidulinoides sp. (q),benthic_foraminfera,Cassidulinoides,Cassidulinoides sp.,sp.,,both
Pontosphaera discopora,nannofossils,Pontosphaera,Pontosphaera discopora,discopora,,both
Rouxia isopolica,diatoms,Rouxia,Rouxia isopolica,isopolica,,both
Reophax scotti,benthic_foraminfera,Reophax,Reophax scotti,scotti,,left_only
Gephyrocapsa kamptneri,nannofossils,Gephyrocapsa,Gephyrocapsa kamptneri,kamptneri,,left_only
Globanomalina praepumilio,planktic_foraminfera,Globanomalina,Globanomalina praepumilio,praepumilio,,left_only
Pyrgupyxis gracilis (q),diatoms,Pyrgupyxis,Pyrgupyxis gracilis,gracilis,,left_only
Actinocyclus ellipticus moronensis,diatoms,Actinocyclus,Actinocyclus ellipticus moronensis,ellipticus,moronensis,left_only
Bekoma sp.,radiolarians,Bekoma,Bekoma sp.,sp.,,left_only
Dictyocha messanensis stapedia aspinosa,silicoflagellates,Dictyocha,Dictyocha messanensis stapedia aspinosa,messanensis,,left_only
Trifarina earlandi,benthic_foraminfera,Trifarina,Trifarina earlandi,earlandi,,left_only
Neosciadiocapsa jenkinsi,radiolarians,Neosciadiocapsa,Neosciadiocapsa jenkinsi,jenkinsi,,left_only
Globigerina euapertura,planktic_foraminfera,Globigerina,Globigerina euapertura,euapertura,,both
Pleurostomella alternans,benthic_foraminfera,Pleurostomella,Pleurostomella alternans,alternans,,both
Globigerapsis semiinvoluta,planktic_foraminfera,Globigerapsis,Globigerapsis semiinvoluta,semiinvoluta,,left_only
Planktoniella sol,diatoms,Planktoniella,Planktoniella sol,sol,,both
Dictyocha torta,silicoflagellates,Dictyocha,Dictyocha torta,torta,,left_only
Astrophacus inca,radiolarians,Astrophacus,Astrophacus inca,inca,,left_only
Podosira stelliger,diatoms,Podosira,Podosira stelliger,stelliger,,left_only
Melosira praegranulata,diatoms,Melosira,Melosira praegranulata,praegranulata,,left_only
Globorotaloides stainforthi,planktic_foraminfera,Globorotaloides,Globorotaloides stainforthi,stainforthi,,left_only
Rucinolithus magnus,nannofossils,Rucinolithus,Rucinolithus magnus,magnus,,both
Gyroidinoides soldanii,benthic_foraminfera,Gyroidinoides,Gyroidinoides soldanii,soldanii,,both
Pleurostomella sapperi,benthic_foraminfera,Pleurostomella,Pleurostomella sapperi,sapperi,,left_only
Ericsonia crassa (q),nannofossils,Ericsonia,Ericsonia crassa,crassa,,left_only
Bolivinopsis sp.,benthic_foraminfera,Bolivinopsis,Bolivinopsis sp.,sp.,,left_only
Stylatractus santaennae,radiolarians,Stylatractus,Stylatractus santaennae,santaennae,,left_only
Diploneis budayana,diatoms,Diploneis,Diploneis budayana,budayana,,left_only
Sphaeroidinellopsis kochi,planktic_foraminfera,Sphaeroidinellopsis,Sphaeroidinellopsis kochi,kochi,,both
Globorotalia truncatulinoides (q),planktic_foraminfera,Globorotalia,Globorotalia truncatulinoides,truncatulinoides,,both
Neochiastozygus perfectus,nannofossils,Neochiastozygus,Neochiastozygus perfectus,perfectus,,both
Turborotalia siakensis,planktic_foraminfera,Turborotalia,Turborotalia siakensis,siakensis,,left_only
Dentalina legumen,benthic_foraminfera,Dentalina,Dentalina legumen,legumen,,left_only
Discoaster okadai,nannofossils,Discoaster,Discoaster okadai,okadai,,left_only
Dictyocha pumila,silicoflagellates,Dictyocha,Dictyocha pumila,pumila,,left_only
Cyclolithella annula,nannofossils,Cyclolithella,Cyclolithella annula,annula,,left_only
Braarudosphaera bigelowii (q),nannofossils,Braarudosphaera,Braarudosphaera bigelowii,bigelowii,,both
Frondicularia zeuria,benthic_foraminfera,Frondicularia,Frondicularia zeuria,zeuria,,left_only
Globigerinoides sacculifer,planktic_foraminfera,Globigerinoides,Globigerinoides sacculifer,sacculifer,,both
Stilostomella basicarinata,benthic_foraminfera,Stilostomella,Stilostomella basicarinata,basicarinata,,left_only
Acarinina rugosoaculeata,planktic_foraminfera,Acarinina,Acarinina rugosoaculeata,rugosoaculeata,,left_only
Rhaphoneis amphiceros elongata (q),diatoms,Rhaphoneis,Rhaphoneis amphiceros elongata,amphiceros,elongata,left_only
Lagena nebulosa,benthic_foraminfera,Lagena,Lagena nebulosa,nebulosa,,both
Rzehakina sp.,benthic_foraminfera,Rzehakina,Rzehakina sp.,sp.,,left_only
Acrobotrys tritubus,radiolarians,Acrobotrys,Acrobotrys tritubus,tritubus,,both
Microhabdulinus ambiguus,nannofossils,Microhabdulinus,Microhabdulinus ambiguus,ambiguus,,left_only
Globorotalia acrostoma,planktic_foraminfera,Globorotalia,Globorotalia acrostoma,acrostoma,,both
Aragonia semi-reticulata,benthic_foraminfera,Aragonia,Aragonia semi-reticulata,semi-reticulata,,left_only
Planularia carribeana,benthic_foraminfera,Planularia,Planularia carribeana,carribeana,,left_only
Bulimina exilis,benthic_foraminfera,Bulimina,Bulimina exilis,exilis,,left_only
Biantholithus sparsus,nannofossils,Biantholithus,Biantholithus sparsus,sparsus,,both
Globorotalia fohsi typica,planktic_foraminfera,Globorotalia,Globorotalia fohsi typica,fohsi,typica,left_only
Prunobrachium kennetti,radiolarians,Prunobrachium,Prunobrachium kennetti,kennetti,,left_only
Coscinodiscus radiatus,diatoms,Coscinodiscus,Coscinodiscus radiatus,radiatus,,both
Reophax nodulosa (q),benthic_foraminfera,Reophax,Reophax nodulosa,nodulosa,,left_only
Globigerina decepta,planktic_foraminfera,Globigerina,Globigerina decepta,decepta,,left_only
Neogloboquadrina dutertrei,planktic_foraminfera,Neogloboquadrina,Neogloboquadrina dutertrei,dutertrei,,both
Pulleniatina spectabilis spectabilis,planktic_foraminfera,Pulleniatina,Pulleniatina spectabilis spectabilis,spectabilis,spectabilis,left_only
Druppatractus coronata laevis,radiolarians,Druppatractus,Druppatractus coronata laevis,coronata,laevis,left_only
Microsciadiocapsa sp. (q),radiolarians,Microsciadiocapsa,Microsciadiocapsa sp.,sp.,,left_only
Nodosaria tosta,benthic_foraminfera,Nodosaria,Nodosaria tosta,tosta,,left_only
Sanguisorba sp.,pollen,Sanguisorba,Sanguisorba sp.,sp.,,left_only
Stephanodiscus robustus,diatoms,Stephanodiscus,Stephanodiscus robustus,robustus,,left_only
Spirocyrtis sp.,radiolarians,Spirocyrtis,Spirocyrtis sp.,sp.,,both
Globorotalia subbotinae,planktic_foraminfera,Globorotalia,Globorotalia subbotinae,subbotinae,,left_only
Typha sp.,pollen,Typha,Typha sp.,sp.,,left_only
Turborotalia peripheroacuta,planktic_foraminfera,Turborotalia,Turborotalia peripheroacuta,peripheroacuta,,left_only
Neogloboquadrina pachyderma incompta,planktic_foraminfera,Neogloboquadrina,Neogloboquadrina pachyderma incompta,pachyderma,incompta,left_only
Bolivina antegressa angulata,benthic_foraminfera,Bolivina,Bolivina antegressa angulata,antegressa,angulata,left_only
Poygonum sp.,pollen,Poygonum,Poygonum sp.,sp.,,left_only
Globorotalia menardii tumida (sin),planktic_foraminfera,Globorotalia,Globorotalia menardii tumida,menardii,tumida,left_only
Watznaueria barnesae,nannofossils,Watznaueria,Watznaueria barnesae,barnesae,,left_only
Lamptonium fabaeforme fabaeforme,radiolarians,Lamptonium,Lamptonium fabaeforme fabaeforme,fabaeforme,fabaeforme,both
Siphonodosaria modesta,benthic_foraminfera,Siphonodosaria,Siphonodosaria modesta,modesta,,left_only
Melosira sulcata sulcata,diatoms,Melosira,Melosira sulcata sulcata,sulcata,sulcata,left_only
Distephanus boliviensis major (q),silicoflagellates,Distephanus,Distephanus boliviensis major,boliviensis,major,left_only
Pseudonodosaria cylindracea,benthic_foraminfera,Pseudonodosaria,Pseudonodosaria cylindracea,cylindracea,,left_only
Tsugaepollenites sp.,pollen,Tsugaepollenites,Tsugaepollenites sp.,sp.,,left_only
Thalospyris scaphipes,radiolarians,Thalospyris,Thalospyris scaphipes,scaphipes,,left_only
Turborotalia pseudocontinuosa,planktic_foraminfera,Turborotalia,Turborotalia pseudocontinuosa,pseudocontinuosa,,left_only
Distephanus speculum hemisphaericus,silicoflagellates,Distephanus,Distephanus speculum hemisphaericus,speculum,hemisphaericus,left_only
Hystrichosphaeridium sp.,dinoflagellates,Hystrichosphaeridium,Hystrichosphaeridium sp.,sp.,,left_only
Zygolithus xenotus,nannofossils,Zygolithus,Zygolithus xenotus,xenotus,,left_only
Polylepidina antillea,benthic_foraminfera,Polylepidina,Polylepidina antillea,antillea,,left_only
Lapideacassis multispinata,nannofossils,Lapideacassis,Lapideacassis multispinata,multispinata,,left_only
Globigerinatheka mexicana,planktic_foraminfera,Globigerinatheka,Globigerinatheka mexicana,mexicana,,both
Globorotaloides hexagonus (q),planktic_foraminfera,Globorotaloides,Globorotaloides hexagonus,hexagonus,,both
Cibicides pseduoungarianus (q),benthic_foraminfera,Cibicides,Cibicides pseduoungarianus,pseduoungarianus,,left_only
Cibicides blanpiedi (q),benthic_foraminfera,Cibicides,Cibicides blanpiedi,blanpiedi,,left_only
Hantkenina mexicana mexicana,planktic_foraminfera,Hantkenina,Hantkenina mexicana mexicana,mexicana,mexicana,left_only
Morozovella pasionensis (q),planktic_foraminfera,Morozovella,Morozovella pasionensis,pasionensis,,both
Parhabdolithus embergeri,nannofossils,Parhabdolithus,Parhabdolithus embergeri,embergeri,,left_only
Dictyocha fallacea,silicoflagellates,Dictyocha,Dictyocha fallacea,fallacea,,left_only
Cymatopleura solea,diatoms,Cymatopleura,Cymatopleura solea,solea,,left_only
Dictyocha hexacantha,silicoflagellates,Dictyocha,Dictyocha hexacantha,hexacantha,,left_only
Coccolithus stavensis,nannofossils,Coccolithus,Coccolithus stavensis,stavensis,,left_only
Globigerinoides rubriformis,planktic_foraminfera,Globigerinoides,Globigerinoides rubriformis,rubriformis,,left_only
Distephanus lemmermannii,silicoflagellates,Distephanus,Distephanus lemmermannii,lemmermannii,,left_only
Coccolithus pataceus,nannofossils,Coccolithus,Coccolithus pataceus,pataceus,,left_only
Globorotalia humilis,planktic_foraminfera,Globorotalia,Globorotalia humilis,humilis,,left_only
Globigerina triplex,planktic_foraminfera,Globigerina,Globigerina triplex,triplex,,left_only
Globobulimina ovula,benthic_foraminfera,Globobulimina,Globobulimina ovula,ovula,,left_only
Toweius craticulus,nannofossils,Toweius,Toweius craticulus,craticulus,,left_only
Morozovella caucasica,planktic_foraminfera,Morozovella,Morozovella caucasica,caucasica,,both
Stephanopyxis minuta,diatoms,Stephanopyxis,Stephanopyxis minuta,minuta,,left_only
Cantharospyris ateuchus,radiolarians,Cantharospyris,Cantharospyris ateuchus,ateuchus,,left_only
Spiroplectammina cubensis,benthic_foraminfera,Spiroplectammina,Spiroplectammina cubensis,cubensis,,both
Palaeoperidinium sp.,dinoflagellates,Palaeoperidinium,Palaeoperidinium sp.,sp.,,left_only
Eiffellithus octoradiatus,nannofossils,Eiffellithus,Eiffellithus octoradiatus,octoradiatus,,left_only
Astronion impressum,benthic_foraminfera,Astronion,Astronion impressum,impressum,,left_only
Liostephania sp.,diatoms,Liostephania,Liostephania sp.,sp.,,left_only
Brizalina thalmanni (q),benthic_foraminfera,Brizalina,Brizalina thalmanni,thalmanni,,left_only
Actinocyclus curvatulus (q),diatoms,Actinocyclus,Actinocyclus curvatulus,curvatulus,,both
Cymbella sinuata,diatoms,Cymbella,Cymbella sinuata,sinuata,,left_only
Amphora robusta,diatoms,Amphora,Amphora robusta,robusta,,left_only
Heliodiscus echiniscus (q),radiolarians,Heliodiscus,Heliodiscus echiniscus,echiniscus,,left_only
Globorotalia scitula,planktic_foraminfera,Globorotalia,Globorotalia scitula,scitula,,both
Lagena sequenziana,benthic_foraminfera,Lagena,Lagena sequenziana,sequenziana,,left_only
Nodosarella sp.,benthic_foraminfera,Nodosarella,Nodosarella sp.,sp.,,both
Striatricolporites sp.,pollen,Striatricolporites,Striatricolporites sp.,sp.,,left_only
Discolithina desueta (q),nannofossils,Discolithina,Discolithina desueta,desueta,,left_only
Sethochytris triconiscus (q),radiolarians,Sethochytris,Sethochytris triconiscus,triconiscus,,both
Globigerinoides trilobuus (q),planktic_foraminfera,Globigerinoides,Globigerinoides trilobuus,trilobuus,,left_only
Globigerinoides mitra,planktic_foraminfera,Globigerinoides,Globigerinoides mitra,mitra,,both
Fragilaria construens,diatoms,Fragilaria,Fragilaria construens,construens,,left_only
Rhopalosyringium sp.,radiolarians,Rhopalosyringium,Rhopalosyringium sp.,sp.,,left_only
Corbisema triacantha,silicoflagellates,Corbisema,Corbisema triacantha,triacantha,,left_only
Discoaster phyllodus (q),nannofossils,Discoaster,Discoaster phyllodus,phyllodus,,left_only
Broinsonia enormis,nannofossils,Broinsonia,Broinsonia enormis,enormis,,both
Loxostomum trinitatensis,benthic_foraminfera,Loxostomum,Loxostomum trinitatensis,trinitatensis,,left_only
Theocorythium trachelium dianae,radiolarians,Theocorythium,Theocorythium trachelium dianae,trachelium,dianae,left_only
Amphipyndax stocki (q),radiolarians,Amphipyndax,Amphipyndax stocki,stocki,,both
Rhizosolenia hebetata hiemalis (asymmetric),diatoms,Rhizosolenia,Rhizosolenia hebetata hiemalis,hebetata,hiemalis,left_only
Cibicidoides sp.,benthic_foraminfera,Cibicidoides,Cibicidoides sp.,sp.,,both
Psilatricolporites operculatus,pollen,Psilatricolporites,Psilatricolporites operculatus,operculatus,,left_only
Cibicides mexicanus,benthic_foraminfera,Cibicides,Cibicides mexicanus,mexicanus,,left_only
Pterocodon campana (q),radiolarians,Pterocodon,Pterocodon campana,campana,,left_only
Corbisema inermis inermis (spines) (q),silicoflagellates,Corbisema,Corbisema inermis inermis,inermis,inermis,left_only
Coccolithus apomnemoneumus,nannofossils,Coccolithus,Coccolithus apomnemoneumus,apomnemoneumus,,left_only
Discolithina pygmaea,nannofossils,Discolithina,Discolithina pygmaea,pygmaea,,left_only
Stichocorys seriata,radiolarians,Stichocorys,Stichocorys seriata,seriata,,both
Dentastoma guraboensis,benthic_foraminfera,Dentastoma,Dentastoma guraboensis,guraboensis,,left_only
Crenalithus sp.,nannofossils,Crenalithus,Crenalithus sp.,sp.,,left_only
Lithocircus ovalis,radiolarians,Lithocircus,Lithocircus ovalis,ovalis,,left_only
Stephanopyxis eocaenica,diatoms,Stephanopyxis,Stephanopyxis eocaenica,eocaenica,,left_only
Tetralithus murus,nannofossils,Tetralithus,Tetralithus murus,murus,,left_only
Pterotheca aculeifera (q),diatoms,Pterotheca,Pterotheca aculeifera,aculeifera,,left_only
Acarinina uncinata,planktic_foraminfera,Acarinina,Acarinina uncinata,uncinata,,left_only
Sphaeroidinella excavata,planktic_foraminfera,Sphaeroidinella,Sphaeroidinella excavata,excavata,,both
Fasciculithus magnus (q),nannofossils,Fasciculithus,Fasciculithus magnus,magnus,,both
Coscinodiscus grossheimii,diatoms,Coscinodiscus,Coscinodiscus grossheimii,grossheimii,,left_only
Loxoconcha japonica,ostracods,Loxoconcha,Loxoconcha japonica,japonica,,left_only
Wetzeliella articulata,dinoflagellates,Wetzeliella,Wetzeliella articulata,articulata,,left_only
Collosphaera polygona,radiolarians,Collosphaera,Collosphaera polygona,polygona,,left_only
Pseudovalvulineria beccariformis,benthic_foraminfera,Pseudovalvulineria,Pseudovalvulineria beccariformis,beccariformis,,left_only
Rhus,pollen,Rhus,Rhus,,,left_only
Cribrosphaera linea,nannofossils,Cribrosphaera,Cribrosphaera linea,linea,,left_only
Amphisphaera spinulosa,radiolarians,Amphisphaera,Amphisphaera spinulosa,spinulosa,,left_only
Stylodictya tenuispina,radiolarians,Stylodictya,Stylodictya tenuispina,tenuispina,,both
Horologinella sp.,dinoflagellates,Horologinella,Horologinella sp.,sp.,,left_only
Gomphonema ventricosum,diatoms,Gomphonema,Gomphonema ventricosum,ventricosum,,left_only
Triceraspyris sp.,radiolarians,Triceraspyris,Triceraspyris sp.,sp.,,left_only
Bogorovia veniamini,diatoms,Bogorovia,Bogorovia veniamini,veniamini,,both
Diploneis interrupta,diatoms,Diploneis,Diploneis interrupta,interrupta,,left_only
Ceratolithus armatus (q),nannofossils,Ceratolithus,Ceratolithus armatus,armatus,,both
Miliolinella subrotunda,benthic_foraminfera,Miliolinella,Miliolinella subrotunda,subrotunda,,both
Planorotalites pseudoscitulus,planktic_foraminfera,Planorotalites,Planorotalites pseudoscitulus,pseudoscitulus,,left_only
Bulimina barbata,benthic_foraminfera,Bulimina,Bulimina barbata,barbata,,both
Bolivina pacifica,benthic_foraminfera,Bolivina,Bolivina pacifica,pacifica,,both
Turborotalia oceanica,planktic_foraminfera,Turborotalia,Turborotalia oceanica,oceanica,,left_only
Cinctactiniscus intermedius,dinoflagellates,Cinctactiniscus,Cinctactiniscus intermedius,intermedius,,left_only
Craspedodiscus ellipticus,diatoms,Craspedodiscus,Craspedodiscus ellipticus,ellipticus,,left_only
Islandiella norcrossi,benthic_foraminfera,Islandiella,Islandiella norcrossi,norcrossi,,both
Pterocarya sp.,pollen,Pterocarya,Pterocarya sp.,sp.,,left_only
Cyrtocapsella elongata,radiolarians,Cyrtocapsella,Cyrtocapsella elongata,elongata,,left_only
Cibicides pseudoungerianus,benthic_foraminfera,Cibicides,Cibicides pseudoungerianus,pseudoungerianus,,left_only
Discoaster signus,nannofossils,Discoaster,Discoaster signus,signus,,both
Ramulina navarroana,benthic_foraminfera,Ramulina,Ramulina navarroana,navarroana,,left_only
Coscinodiscus spiralis,diatoms,Coscinodiscus,Coscinodiscus spiralis,spiralis,,left_only
Mesocena diodon diodon,silicoflagellates,Mesocena,Mesocena diodon diodon,diodon,diodon,both
Myrtaceidites mesonesus (q),pollen,Myrtaceidites,Myrtaceidites mesonesus,mesonesus,,left_only
Melosira praeislandica,diatoms,Melosira,Melosira praeislandica,praeislandica,,left_only
Sphenolithus umbrellus,nannofossils,Sphenolithus,Sphenolithus umbrellus,umbrellus,,left_only
Acarinina soldadoensis angulosa,planktic_foraminfera,Acarinina,Acarinina soldadoensis angulosa,soldadoensis,angulosa,left_only
Cyclammina sp.,benthic_foraminfera,Cyclammina,Cyclammina sp.,sp.,,both
Globorotalia tosaensis (q),planktic_foraminfera,Globorotalia,Globorotalia tosaensis,tosaensis,,both
Cestodiscus gemmifer,diatoms,Cestodiscus,Cestodiscus gemmifer,gemmifer,,left_only
Planulina ornata,benthic_foraminfera,Planulina,Planulina ornata,ornata,,both
Pyrgo murrhina (q),benthic_foraminfera,Pyrgo,Pyrgo murrhina,murrhina,,both
Cytheropteron inaquivalve (q),ostracods,Cytheropteron,Cytheropteron inaquivalve,inaquivalve,,left_only
Discoaster bifax,nannofossils,Discoaster,Discoaster bifax,bifax,,both
Chiloguembelina gradata,planktic_foraminfera,Chiloguembelina,Chiloguembelina gradata,gradata,,left_only
Sethocapsa lagena,radiolarians,Sethocapsa,Sethocapsa lagena,lagena,,left_only
Globigerinita taroubaensis,planktic_foraminfera,Globigerinita,Globigerinita taroubaensis,taroubaensis,,left_only
Melosira sol,diatoms,Melosira,Melosira sol,sol,,left_only
Globigerinita iota,planktic_foraminfera,Globigerinita,Globigerinita iota,iota,,both
Martinitiella variabilis,benthic_foraminfera,Martinitiella,Martinitiella variabilis,variabilis,,left_only
Nitzschia fossilis (q),diatoms,Nitzschia,Nitzschia fossilis,fossilis,,both
Hayaster perplexus,nannofossils,Hayaster,Hayaster perplexus,perplexus,,both
Globigerina primitiva (q),planktic_foraminfera,Globigerina,Globigerina primitiva,primitiva,,left_only
Cyclococcolithus rotula,nannofossils,Cyclococcolithus,Cyclococcolithus rotula,rotula,,left_only
Globorotalia planoconica,planktic_foraminfera,Globorotalia,Globorotalia planoconica,planoconica,,left_only
Spongobrachium ellipticum (q),radiolarians,Spongobrachium,Spongobrachium ellipticum,ellipticum,,left_only
Discoaster delicatus,nannofossils,Discoaster,Discoaster delicatus,delicatus,,both
Globorotalia fohsi,planktic_foraminfera,Globorotalia,Globorotalia fohsi,fohsi,,left_only
Pterocanium satelles (q),radiolarians,Pterocanium,Pterocanium satelles,satelles,,left_only
Globigerinita boweni,planktic_foraminfera,Globigerinita,Globigerinita boweni,boweni,,both
Acrobotrys sp.,radiolarians,Acrobotrys,Acrobotrys sp.,sp.,,left_only
Coscinodiscus nitidus,diatoms,Coscinodiscus,Coscinodiscus nitidus,nitidus,,left_only
Thurammina papillata,benthic_foraminfera,Thurammina,Thurammina papillata,papillata,,left_only
Triquetrorhabdulus striatus,nannofossils,Triquetrorhabdulus,Triquetrorhabdulus striatus,striatus,,both
Lychnocanoma babylonis-turgidulum,radiolarians,Lychnocanoma,Lychnocanoma babylonis-turgidulum,babylonis-turgidulum,,left_only
Catapsydrax unicavus unicavus,planktic_foraminfera,Catapsydrax,Catapsydrax unicavus unicavus,unicavus,unicavus,left_only
Dictyococcites scrippsae,nannofossils,Dictyococcites,Dictyococcites scrippsae,scrippsae,,both
Globoquadrina altispira,planktic_foraminfera,Globoquadrina,Globoquadrina altispira,altispira,,left_only
Delphineis simonsenii,diatoms,Delphineis,Delphineis simonsenii,simonsenii,,both
Rectuvigerina vesca,benthic_foraminfera,Rectuvigerina,Rectuvigerina vesca,vesca,,left_only
Thalassiosira primalabiata,diatoms,Thalassiosira,Thalassiosira primalabiata,primalabiata,,left_only
Rehacythereis sp.(q),ostracods,Rehacythereis,Rehacythereis sp.,sp.,,left_only
Discoaster lodoensis,nannofossils,Discoaster,Discoaster lodoensis,lodoensis,,both
Theocampe armadillo,radiolarians,Theocampe,Theocampe armadillo,armadillo,,left_only
Thalassiosira excentrica jousei,diatoms,Thalassiosira,Thalassiosira excentrica jousei,excentrica,jousei,left_only
Orbulina suturalis,planktic_foraminfera,Orbulina,Orbulina suturalis,suturalis,,both
Spirocyrtis subscalaris,radiolarians,Spirocyrtis,Spirocyrtis subscalaris,subscalaris,,left_only
Globorotalia fohsi peripheroronda,planktic_foraminfera,Globorotalia,Globorotalia fohsi peripheroronda,fohsi,peripheroronda,left_only
Pulleniatina obliquiloculata,planktic_foraminfera,Pulleniatina,Pulleniatina obliquiloculata,obliquiloculata,,both
Globorotalia mediterranea,planktic_foraminfera,Globorotalia,Globorotalia mediterranea,mediterranea,,left_only
Nitzschia ritscherii,diatoms,Nitzschia,Nitzschia ritscherii,ritscherii,,left_only
Dimerogramma furcigerum,diatoms,Dimerogramma,Dimerogramma furcigerum,furcigerum,,left_only
Gongylothorax verbeeki,radiolarians,Gongylothorax,Gongylothorax verbeeki,verbeeki,,left_only
Globorotaloides hexagonus hexagonus,planktic_foraminfera,Globorotaloides,Globorotaloides hexagonus hexagonus,hexagonus,hexagonus,left_only
Mesocena oamaruensis,silicoflagellates,Mesocena,Mesocena oamaruensis,oamaruensis,,left_only
Lithomelissa challengerae,radiolarians,Lithomelissa,Lithomelissa challengerae,challengerae,,left_only
Globigerinatheka kugleri,planktic_foraminfera,Globigerinatheka,Globigerinatheka kugleri,kugleri,,both
Zygrhablithus sp. (q),nannofossils,Zygrhablithus,Zygrhablithus sp.,sp.,,left_only
Zygodiscus sigmoides,nannofossils,Zygodiscus,Zygodiscus sigmoides,sigmoides,,left_only
Sphaerozoum crassus,radiolarians,Sphaerozoum,Sphaerozoum crassus,crassus,,left_only
Globorotalia collactea (q),planktic_foraminfera,Globorotalia,Globorotalia collactea,collactea,,left_only
Stephanodiscus astraea minutula,diatoms,Stephanodiscus,Stephanodiscus astraea minutula,astraea,minutula,left_only
Textularia flintii (q),benthic_foraminfera,Textularia,Textularia flintii,flintii,,left_only
Pelliciera sp. (q),pollen,Pelliciera,Pelliciera sp.,sp.,,left_only
Thalassionema claviformis,diatoms,Thalassionema,Thalassionema claviformis,claviformis,,left_only
Ammonia viennensis-compacta,benthic_foraminfera,Ammonia,Ammonia viennensis-compacta,viennensis-compacta,,left_only
Dictyocha messanensis messanensis speculum,silicoflagellates,Dictyocha,Dictyocha messanensis messanensis speculum,messanensis,,left_only
Dictyomitra multicostata (q),radiolarians,Dictyomitra,Dictyomitra multicostata,multicostata,,left_only
Turborotalia semivera,planktic_foraminfera,Turborotalia,Turborotalia semivera,semivera,,left_only
Globanomalina micra (q),planktic_foraminfera,Globanomalina,Globanomalina micra,micra,,left_only
Lepidocyclina tournoveri,benthic_foraminfera,Lepidocyclina,Lepidocyclina tournoveri,tournoveri,,left_only
Pleurostomella clavata,benthic_foraminfera,Pleurostomella,Pleurostomella clavata,clavata,,left_only
Macrocyris sp.,ostracods,Macrocyris,Macrocyris sp.,sp.,,left_only
Globorotalia cultrata,planktic_foraminfera,Globorotalia,Globorotalia cultrata,cultrata,,left_only
Nonionella basiloba,benthic_foraminfera,Nonionella,Nonionella basiloba,basiloba,,left_only
Hantkenina mexicana (q),planktic_foraminfera,Hantkenina,Hantkenina mexicana,mexicana,,both
Rutilaria sp.,diatoms,Rutilaria,Rutilaria sp.,sp.,,left_only
Discoaster calcaris (q),nannofossils,Discoaster,Discoaster calcaris,calcaris,,both
Echinomma antarctica,radiolarians,Echinomma,Echinomma antarctica,antarctica,,left_only
Brightwellia elaborata,diatoms,Brightwellia,Brightwellia elaborata,elaborata,,left_only
Globigerinoides trilobus fistulosus (q),planktic_foraminfera,Globigerinoides,Globigerinoides trilobus fistulosus,trilobus,fistulosus,left_only
Hermanites sp. (q),ostracods,Hermanites,Hermanites sp.,sp.,,left_only
Pterocodon ampla,radiolarians,Pterocodon,Pterocodon ampla,ampla,,both
Lenticulina limbosa,benthic_foraminfera,Lenticulina,Lenticulina limbosa,limbosa,,left_only
Globorotalia tumida tumida,planktic_foraminfera,Globorotalia,Globorotalia tumida tumida,tumida,tumida,left_only
Chiloguembelina criniata,planktic_foraminfera,Chiloguembelina,Chiloguembelina criniata,criniata,,left_only
Bulimina bradburyi (q),benthic_foraminfera,Bulimina,Bulimina bradburyi,bradburyi,,left_only
Globorotalia pachyderma,planktic_foraminfera,Globorotalia,Globorotalia pachyderma,pachyderma,,left_only
Denticula punctata hustedtii,diatoms,Denticula,Denticula punctata hustedtii,punctata,hustedtii,left_only
Fissurina globosa spinulosa,benthic_foraminfera,Fissurina,Fissurina globosa spinulosa,globosa,spinulosa,left_only
Keteeleria sp.,pollen,Keteeleria,Keteeleria sp.,sp.,,left_only
Corbisema inermis inermis (paired spines),silicoflagellates,Corbisema,Corbisema inermis inermis,inermis,inermis,left_only
Dictyocha navicula,silicoflagellates,Dictyocha,Dictyocha navicula,navicula,,left_only
