Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Pullenia spp.	Nuttallides umbonifera	Miliolids species	Eponides tumidulus	Epistominella exigua	Eggerella bradyi	Oridorsalis umbonatus	Gyroidinoides lamarckianus	Gyroidinoides laevigatus ex. gr.	Dentalina/Nodosaria spp.	Textularia taxa	Ammonia beccarii	Uvigerinid taxa	Pullenia bulloides	Melonis pompilioides	Laticarinina pauperata	Lagena taxa	Globocassidulina subglobosa	Pyrgo spp.	Planulina wuellerstorfi	Hoeglundina elegans	Reussella spinulosa	Nonionella spp.	Hyalina balthica	Gyroidinoides spp.	Cibicidoides bradyi	Buliminid taxa	Buliminella spp.	Bolivinid taxa	Melonis nicobarense	Cibicidoides spp.	Pleurostomella spp.	Lenticulina spp.	Rosalina globularis	Hanzawaia boueana	Fursenkoina spp.	Florilus boueanus	Cassidulina spp.	Stainforthia spp.	Gyroidinoides altiformis	Cibicidoides kullenbergi	Karreriella sp.	Anomalinoides spp.	Gyroidinoides umbonatus ex. gr.	Gyroidinoides neosoldanii	Sphaeroidina bulloides	Heterolepa spp.	Bolivinita quadrilatera	Comment
  SR	                 	                 	                  	              	116	 719	A	 28	X	 6	 121.00	    259.9100	Iaccarino	Benthic Foraminifers                         	               	                  	2            	11                    	                 	                  	1                   	3               	12                   	                          	                                	2                       	               	                	               	2                 	3                   	3                     	7          	                           	3         	5                      	                   	                   	               	                	1                 	                   	              	                	              	5                  	10               	                   	                	                   	                 	                	                 	                	                 	                        	                        	               	                  	                               	                         	                      	               	                       	from ODP Leg 116 SR Chapter 18 Table 4 p 223

  SR	                 	                 	                  	              	116	 719	A	 28	X	 6	 127.00	    259.9700	Iaccarino	Benthic Foraminifers                         	               	                  	3            	77                    	                 	                  	2                   	6               	11                   	                          	3                               	                        	               	                	               	10                	7                   	3                     	14         	3                          	1         	6                      	                   	                   	               	                	5                 	1                  	              	                	              	6                  	1                	                   	1               	                   	                 	                	                 	                	1                	                        	11                      	5              	2                 	                               	                         	                      	               	                       	from ODP Leg 116 SR Chapter 18 Table 4 p 223

  SR	                 	                 	                  	              	116	 719	A	 28	X	 6	 133.00	    260.0300	Iaccarino	Benthic Foraminifers                         	               	                  	             	13                    	                 	                  	2                   	                	1                    	                          	                                	                        	               	                	               	1                 	                    	                      	           	                           	          	                       	                   	                   	               	                	                  	                   	              	                	              	                   	                 	                   	                	                   	                 	                	                 	                	                 	                        	                        	               	                  	                               	                         	                      	               	                       	from ODP Leg 116 SR Chapter 18 Table 4 p 223

  SR	                 	                 	                  	              	116	 719	A	 29	X	 2	  99.00	    263.1900	Iaccarino	Benthic Foraminifers                         	               	                  	             	22                    	2                	                  	                    	3               	9                    	                          	                                	2                       	2              	                	               	4                 	8                   	3                     	18         	4                          	2         	4                      	                   	                   	               	                	5                 	2                  	              	                	              	1                  	18               	1                  	2               	                   	                 	                	                 	1               	                 	                        	                        	               	                  	                               	                         	                      	               	                       	from ODP Leg 116 SR Chapter 18 Table 4 p 223

  SR	                 	                 	                  	              	116	 719	A	 29	X	CC	  39.00	    264.9100	Iaccarino	Benthic Foraminifers                         	               	                  	             	                      	                 	                  	                    	                	                     	                          	                                	                        	               	                	               	                  	                    	                      	           	                           	          	1                      	                   	                   	               	                	                  	                   	              	                	              	                   	                 	                   	                	                   	                 	                	                 	                	                 	                        	                        	               	                  	                               	                         	                      	               	                       	from ODP Leg 116 SR Chapter 18 Table 4 p 223

  SR	                 	                 	                  	              	116	 719	A	 30	X	 4	  80.00	    275.5000	Iaccarino	Benthic Foraminifers                         	               	                  	             	2                     	                 	4                 	13                  	                	                     	                          	1                               	                        	               	                	               	                  	1                   	                      	           	2                          	          	                       	                   	                   	               	                	1                 	                   	              	                	              	4                  	                 	                   	                	                   	                 	                	                 	                	                 	                        	                        	               	                  	                               	                         	                      	               	                       	from ODP Leg 116 SR Chapter 18 Table 4 p 223

  SR	                 	                 	                  	              	116	 719	A	 31	X	 1	 140.00	    281.1000	Iaccarino	Benthic Foraminifers                         	               	                  	9            	28                    	                 	36                	                    	7               	                     	                          	1                               	                        	2              	                	               	                  	                    	2                     	9          	10                         	          	1                      	                   	                   	               	                	1                 	1                  	              	                	              	8                  	                 	1                  	                	                   	                 	                	                 	                	2                	1                       	3                       	               	                  	                               	                         	                      	               	                       	from ODP Leg 116 SR Chapter 18 Table 4 p 223

  SR	                 	                 	                  	              	116	 719	A	 31	X	 3	 123.00	    283.9300	Iaccarino	Benthic Foraminifers                         	               	                  	             	                      	2                	                  	2                   	                	1                    	1                         	                                	                        	               	                	1              	1                 	                    	                      	           	                           	          	2                      	                   	                   	               	9               	                  	                   	4             	                	11            	                   	                 	                   	                	1                  	2                	1               	3                	12              	                 	                        	                        	               	                  	                               	                         	                      	               	                       	from ODP Leg 116 SR Chapter 18 Table 4 p 223

  SR	                 	                 	                  	              	116	 719	A	 32	X	 3	  66.00	    292.8600	Iaccarino	Benthic Foraminifers                         	               	                  	             	21                    	                 	                  	                    	                	                     	                          	                                	1                       	               	                	               	                  	1                   	2                     	4          	5                          	          	5                      	                   	                   	               	                	                  	                   	              	                	              	2                  	                 	                   	                	                   	                 	                	                 	                	                 	                        	                        	               	                  	                               	                         	                      	               	                       	from ODP Leg 116 SR Chapter 18 Table 4 p 223

  SR	                 	                 	                  	              	116	 719	A	 34	X	 3	  41.00	    311.6100	Iaccarino	Benthic Foraminifers                         	               	                  	1            	20                    	                 	12                	                    	7               	10                   	                          	                                	2                       	               	                	               	4                 	10                  	1                     	6          	2                          	          	                       	                   	                   	               	                	                  	                   	              	                	              	                   	4                	2                  	1               	                   	                 	                	                 	                	                 	                        	                        	               	                  	                               	                         	                      	               	                       	from ODP Leg 116 SR Chapter 18 Table 4 p 223

  SR	                 	                 	                  	              	116	 719	A	 34	X	 4	   3.00	    312.7300	Iaccarino	Benthic Foraminifers                         	               	                  	             	65                    	                 	                  	                    	                	8                    	1                         	                                	                        	               	                	               	1                 	4                   	6                     	           	                           	          	5                      	                   	                   	               	                	1                 	2                  	              	                	              	3                  	                 	                   	                	                   	                 	                	                 	                	                 	                        	                        	               	                  	                               	                         	                      	               	                       	from ODP Leg 116 SR Chapter 18 Table 4 p 223

  SR	                 	                 	                  	              	116	 719	A	 34	X	 7	  24.00	    317.4400	Iaccarino	Benthic Foraminifers                         	               	                  	1            	2                     	                 	7                 	                    	1               	1                    	                          	                                	2                       	               	                	               	2                 	                    	                      	1          	                           	          	2                      	                   	                   	               	                	1                 	                   	              	                	              	                   	1                	                   	                	                   	                 	                	                 	                	                 	                        	                        	               	                  	                               	                         	                      	               	                       	from ODP Leg 116 SR Chapter 18 Table 4 p 223

