taxon_group,verbatim_name,name,genus modifier,genus name,species modifier,species name,subspecies modifier,subspecies name,non-taxa descriptor
Pollen and Spores,Lygistepollenites florinii,,,Lygistepollenites,,florinii,,,
Pollen and Spores,Lygodiidites balmei (q),? Lygodiidites balmei,?,Lygodiidites,,balmei,,,
Pollen and Spores,Lygodiidites sp.,,,Lygodiidites,,sp.,,,
Pollen and Spores,Lygodium balmei (q),? Lygodium balmei,?,Lygodium,,balmei,,,
Pollen and Spores,Lythraceae,,,Lythraceae,,,,,
Pollen and Spores,Magnolia sp.,,,Magnolia,,sp.,,,
Pollen and Spores,Magnolia sp. (q),? Magnolia sp.,?,Magnolia,,sp.,,,
Pollen and Spores,Malpighiaceae,,,Malpighiaceae,,,,,
Pollen and Spores,Malvaceae,,,Malvaceae,,,,,
Pollen and Spores,Malvacipollis sp. (q),? Malvacipollis sp.,?,Malvacipollis,,sp.,,,
Pollen and Spores,Marginipollis concinnus,,,Marginipollis,,concinnus,,,
Pollen and Spores,Margocolporites vanwijhei,,,Margocolporites,,vanwijhei,,,
Pollen and Spores,Meliaceae,,,Meliaceae,,,,,
Pollen and Spores,Meyeripollis sp.,,,Meyeripollis,,sp.,,,
Pollen and Spores,Microcachryidites antarcticus,,,Microcachryidites,,antarcticus,,,
Pollen and Spores,Microcachryidites parvusi,,,Microcachryidites,,parvusi,,,
Pollen and Spores,Microfoveolatosporites fromensis (q),? Microfoveolatosporites fromensis,?,Microfoveolatosporites,,fromensis,,,
Pollen and Spores,Mimosaceae (polyad),,,Mimosaceae,,,,,polyad
Pollen and Spores,Mimosaceae (tetral),,,Mimosaceae,,,,,tetral
Pollen and Spores,Monoporites sp.,,,Monoporites,,sp.,,,
Pollen and Spores,Monosulcites sp.,,,Monosulcites,,sp.,,,
Pollen and Spores,Monosulcites waitakiensis,,,Monosulcites,,waitakiensis,,,
Pollen and Spores,Moraceae,,,Moraceae,,,,,
Pollen and Spores,Mortoniodendron sp.,,,Mortoniodendron,,sp.,,,
Pollen and Spores,Myrica sp.,,,Myrica,,sp.,,,
Pollen and Spores,Myrtaceae,,,Myrtaceae,,,,,
Pollen and Spores,Myrtaceidites mesonesus (q),? Myrtaceidites mesonesus,?,Myrtaceidites,,mesonesus,,,
Pollen and Spores,Myrtaceidites parvus,,,Myrtaceidites,,parvus,,,
Pollen and Spores,Myrtaceidites sp.,,,Myrtaceidites,,sp.,,,
Pollen and Spores,Neoraistrickia sp.,,,Neoraistrickia,,sp.,,,
Pollen and Spores,Nothofagidites asperus,,,Nothofagidites,,asperus,,,
Pollen and Spores,Nothofagidites brachispinulosa,,,Nothofagidites,,brachispinulosa,,,
Pollen and Spores,Nothofagidites brassi,,,Nothofagidites,,brassi,,,
Pollen and Spores,Nothofagidites cincta,,,Nothofagidites,,cincta,,,
Pollen and Spores,Nothofagidites cincta (q),? Nothofagidites cincta,?,Nothofagidites,,cincta,,,
Pollen and Spores,Nothofagidites cranwellae,,,Nothofagidites,,cranwellae,,,
Pollen and Spores,Nothofagidites deminuta,,,Nothofagidites,,deminuta,,,
Pollen and Spores,Nothofagidites flemingii,,,Nothofagidites,,flemingii,,,
Pollen and Spores,Nothofagidites fusca,,,Nothofagidites,,fusca,,,
Pollen and Spores,Nothofagidites hetera (q),? Nothofagidites hetera,?,Nothofagidites,,hetera,,,
Pollen and Spores,Nothofagidites matauraensis,,,Nothofagidites,,matauraensis,,,
Pollen and Spores,Nothofagidites menziesii,,,Nothofagidites,,menziesii,,,
Pollen and Spores,Nothofagidites sp.,,,Nothofagidites,,sp.,,,
Pollen and Spores,Nothofagidites spinosus,,,Nothofagidites,,spinosus,,,
Pollen and Spores,Nothofagidites vansteeni (q),? Nothofagidites vansteeni,?,Nothofagidites,,vansteeni,,,
Pollen and Spores,Nuphar,,,Nuphar,,,,,
Pollen and Spores,Nympheaceae,,,Nympheaceae,,,,,
Pollen and Spores,Olea sp.,,,Olea,,sp.,,,
Pollen and Spores,Oleaceae,,,Oleaceae,,,,,
Pollen and Spores,Onagraceae,,,Onagraceae,,,,,
Pollen and Spores,Ophioglossaceae,,,Ophioglossaceae,,,,,
Pollen and Spores,Osmundacidites sp.,,,Osmundacidites,,sp.,,,
Pollen and Spores,Osmundacidites wellmanii,,,Osmundacidites,,wellmanii,,,
Pollen and Spores,Ostrya sp.,,,Ostrya,,sp.,,,
Pollen and Spores,Palmae,,,Palmae,,,,,
Pollen and Spores,Parsonsidites conspicuus (q),? Parsonsidites conspicuus,?,Parsonsidites,,conspicuus,,,
Pollen and Spores,Parsonsidites psilatus,,,Parsonsidites,,psilatus,,,
Pollen and Spores,Parthenocissus sp.,,,Parthenocissus,,sp.,,,
Pollen and Spores,Pediastrum sp.,,,Pediastrum,,sp.,,,
Pollen and Spores,Pelliciera sp. (q),? Pelliciera sp.,?,Pelliciera,,sp.,,,
Pollen and Spores,Perfotricolpites digitatus,,,Perfotricolpites,,digitatus,,,
