Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Preservation,Group Abundance,Calcidiscus leptoporus,Calcidiscus macintyrei,Catinaster coalitus,Coccolithus miopelagicus,Coccolithus pelagicus,Coronocyclus nitescens,Cyclicargolithus floridanus,Discoaster adamanteus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster brouweri,Discoaster calcaris,Discoaster calculosus,Discoaster deflandrei,Discoaster druggii,Discoaster exilis,Discoaster hamatus,Discoaster kugleri,Discoaster loeblichii,Discoaster moorei,Discoaster neohamatus,Discoaster pentaradiatus,Discoaster petaliformis,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster spp.,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster variabilis,Florisphaera profunda,Helicosphaera carteri,Helicosphaera sellii,Minylitha convallis,Nicklithus amplificus,Pontosphaera spp.,Reticulofenestra pseudoumbilicus,Reticulofenestra sp. (5-7 microns),Reticulofenestra spp. small,Rhabdosphaera spp.,Scyphosphaera spp.,Sphenolithus abies,Sphenolithus conicus,Sphenolithus dissimilis,Sphenolithus heteromorphus,Sphenolithus moriformis,Syracosphaera spp.,Triquetrorhabdulus rugosus,Umbilicosphaera sibogae,Comments,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
349-U1433B-64R-CC-PAL-NANNO,0,10,794.23,794.33,,P [P33],R [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Almost barren, only 1 Sphenolithus sp. present",,,349,U1433,B,64,R,CC,P
349-U1433B-65R-1-A 116/117-NANNO,0,1,796.66,796.67,,P [P33],R [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A89],,,,,,,,,,,,,,,,,,,,,,,,"One piece light yellow claystone between overlying red clay and underlying basalts, nannofossils strongly overgrown",,,349,U1433,B,65,R,1,A
349-U1433B-65R-2-A 1/2-NANNO,0,1,796.68,796.69,,P [P33],R [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A89],,,,,,,,,,,,,,,,,R [A89],R [A89],,R [A89],,,,From yellow vein on the top of basalt,,,349,U1433,B,65,R,2,A
349-U1433B-65R-2-A 45/51-NANNO,0,6,797.12,797.18,,P [P33],R [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A89],,,,,,,,,,,,,,R [A89],,,,From green clay between basalt and carbonate. 1  Helicosphaera obliqua present,,,349,U1433,B,65,R,2,A
349-U1433B-65R-2-A 57/60-NANNO,0,3,797.24,797.27,,P [P33],R [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"White clay in the vein of basalt, calcite crystal abundant",,,349,U1433,B,65,R,2,A
349-U1433B-65R-2-W 49/51-NANNO,0,2,797.16,797.18,,M [P33],R [A12],,,,,,,,,,,R [A89],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A89],,R [A89],,,,"sample is from green ""clasts"" within the white calcareous pebble found between the pillow basalt samples; 1 Discoaster berggrenii = contaminated?",,,349,U1433,B,65,R,2,W
349-U1433B-65R-4-PAL-NANNO,0,7,799.62,799.69,,,B [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1433,B,65,R,4,P
349-U1433B-68R-2-A 8/10-NANNO,0,2,821.16,821.18,,,B [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"sample is from a white ""inclusion"" at the bottom of a basalt sample; full of white birefringent fibrous mineral",,,349,U1433,B,68,R,2,A
349-U1433B-68R-3-W 133/134-NANNO,0,1,823.83,823.84,,P [P33],R [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A89],,,R [A89],,,,"F. tympaniformis?; polycyclolith (see Bown, 1998)",,,349,U1433,B,68,R,3,W
349-U1433B-69R-1-W 120/121-NANNO,0,1,825.8,825.81,,,B [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sphenolith-looking particle,,,349,U1433,B,69,R,1,W
349-U1433B-69R-3-W 78/82-NANNO,0,4,827.97,828.01,,,B [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"fishbone-looking particle, mineral?",,,349,U1433,B,69,R,3,W
349-U1433B-70R-1-W 80/90-NANNO,0,10,830.2,830.3,,P [P33],R [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A89],,,,,,"From a carbonate layer interbedded with basalt, nannofossil strongly overgrown",,,349,U1433,B,70,R,1,W
349-U1433B-71R-1-W 0/2-NANNO,0,2,834.2,834.22,,P [P33],R [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A89],,,,,,,349,U1433,B,71,R,1,W
