Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Preservation,Group Abundance,Emiliania huxleyi,Gephyrocapsa omega,Gephyrocapsa sp. (<4 microns),Gephyrocapsa sp. (4-5.5 microns),Gephyrocapsa sp. (>5.5 microns),Pseudoemiliania lacunosa,Reticulofenestra bisecta (>10 microns),Reticulofenestra bisecta (5-10 microns),Reticulofenestra pseudoumbilicus,Reticulofenestra asanoi,Reticulofenestra sp. (5-7 microns),Reticulofenestra spp. small,Calcidiscus leptoporus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Catinaster coalitus,Catinaster calyculus,Coccolithus eopelagicus,Coccolithus formosus,Coccolithus miopelagicus,Coccolithus pelagicus,Coronocyclus nitescens,Cyclicargolithus floridanus,Cyclicargolithus abisectus,Clausicoccus subdistichus,Discoaster adamanteus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster brouweri,Discoaster calcaris,Discoaster calculosus,Discoaster deflandrei,Discoaster druggii,Discoaster exilis,Discoaster hamatus,Discoaster kugleri,Discoaster loeblichii,Discoaster moorei,Discoaster neohamatus,Discoaster pentaradiatus,Discoaster petaliformis,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster spp.,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster variabilis,Amaurolithus delicatus,Amaurolithus tricorniculatus,Amaurolithus primus,Ceratolithus cristatus,Ceratolithus acutus,Florisphaera profunda,Helicosphaera carteri,Helicosphaera euphratis,Helicosphaera burkei,Helicosphaera sellii,Minylitha convallis,Nicklithus amplificus,Pontosphaera millepuncta,Pontosphaera multipora,Pontosphaera spp.,Rhabdosphaera spp.,Scyphosphaera spp.,Sphenolithus abies,Sphenolithus conicus,Sphenolithus dissimilis,Sphenolithus heteromorphus,Sphenolithus moriformis,Sphenolithus belemnos,Sphenolithus disbelemnos,Sphenolithus pseudoheteromorphus,Sphenolithus predistentus,Sphenolithus distentus,Sphenolithus ciperoensis,Sphenolithus spp.,Syracosphaera spp.,Triquetrorhabdulus rugosus,Umbilicosphaera rotula,Umbilicosphaera sibogae,Comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
367-U1499A-48X-4-W 79/79-NANNO,0,0,448.99,448.99,,M,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,A,48,X,4,W
367-U1499A-48X-5-W 46/46-NANNO,0,0,450.16,450.16,,G,C,,,,,,,,,,,,F,F,,,,,,,,F,,R,,,,,,C,,F,,,,,,,,,,,F,,,,F,,,,F,,,,,,,F,R,,,,,,,F,F,,A,,,,C,,,,,,,,,,F,,Forams sand,,,,367,U1499,A,48,X,5,W
367-U1499A-48X-CC-PAL-NANNO,0,5,453.61,453.66,,M,F,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,F,,F,,,,,,,,,,,,,,F,,,,,C,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,F,,,,,,,,,367,U1499,A,48,X,CC,PAL
367-U1499A-49X-5-W 43/43-NANNO,0,0,459.83,459.83,,M,A,,,,,,,,,R,,F,C,F,F,,,,,,,C,,,,,,F,,C,,C,,,,,,,,,,,F,,,R,F,,,,C,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Selected nannos syndepositional layer,,,,367,U1499,A,49,X,5,W
367-U1499A-49X-CC-PAL-NANNO,0,5,463.38,463.43,,M,C,,,,,,,,,R,,,C,R,,,,,,,,F,,,,,,,,C,,F,,,,,,,,,,,,,,C,,,,,C,,,,,,,F,,,,,,,,,,,C,,,,,,,,,,,C,,,,R,,,,,367,U1499,A,49,X,CC,PAL
367-U1499A-50X-CC-PAL-NANNO,0,5,469.32,469.37,,P,F,,,,,,,,,,,,C,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,R,,,,,,,,,R,,F,,,,,,,,,,,R,,,,R,,,,,367,U1499,A,50,X,CC,PAL
367-U1499A-54X-CC-PAL-NANNO,0,6,501.94,502.0,,M,A,,,,,,,,,C,,F,C,F,,,,,,,,F,F,,,,,,,C,,F,,,F,,,,,,,,,,,C,F,,,,C,,,,,,,C,,,,,,,,C,,,C,,,,C,,,,,,,C,,,,,,,,,367,U1499,A,54,X,CC,PAL
367-U1499A-56X-CC-PAL-NANNO,0,5,521.68,521.73,,M,A,,,,,,,,,R,,,C,F,R,,,,,,,F,,,,,,,,F,,F,,,,,,,,,,,C,,,F,C,,,,,,,,,,,C,,,,,,,,,,,F,,,,F,,,,,,,C,,,,,,,,,367,U1499,A,56,X,CC,PAL
367-U1499A-57X-CC-PAL-NANNO,0,5,532.1,532.15,,P,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,367,U1499,A,57,X,CC,PAL
367-U1499A-58X-CC-PAL-NANNO,0,5,540.78,540.83,,M,F,,,,,,,,,,,F,F,R,R,,,,,,,F,,,,,,,,,,C,,,,,,,,,,,F,,,F,,,,,F,,,,,,,R,,,,,,,,R,,,F,,,,,,,,,,,F,,,,,,,,,367,U1499,A,58,X,CC,PAL
367-U1499A-59X-CC-PAL-NANNO,0,5,550.5,550.55,,P,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,367,U1499,A,59,X,CC,PAL
367-U1499A-61X-CC-PAL-NANNO,0,5,570.05,570.1,,M,C,,,,,,,,,R,,F,C,F,F,,,,,,,R,,,,,,,F,R,,F,,,,,,,,,,,,,R,R,,,,,F,,,,,,,F,,,,,,,,R,,,F,,,,,,,,,,,F,,,,R,,,,,367,U1499,A,61,X,CC,PAL
367-U1499A-62X-CC-PAL-NANNO,0,5,579.58,579.63,,M,F,,,,,,,,,,,,C,F,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,F,,,,C,,,,,,,F,,,,,,,,,367,U1499,A,62,X,CC,PAL
367-U1499A-64X-1-W 50/50-NANNO,0,0,599.4,599.4,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,A,64,X,1,W
367-U1499A-64X-CC-PAL-NANNO,0,5,600.71,600.76,,M,C,,,,,,,,,C,,F,C,C,F,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,F,,F,,,,,,,R,,F,,,,C,,,,,,,C,,,F,F,Discoaster overgrowth,,,,367,U1499,A,64,X,CC,PAL
367-U1499A-65X-CC-PAL-NANNO,0,5,608.94,608.99,,M,C,,,,,,,,,C,,F,F,F,,,R,,,,,F,,,,,,,,,,F,,,,,,,,,,,C,,,,C,,,,C,,,,,,,F,R,,,,,,R,F,,,C,,,R,C,,,,,,,,,,F,,SAND,,,,367,U1499,A,65,X,CC,PAL
367-U1499A-66X-2-W 124/124-NANNO,0,0,621.04,621.04,,M,C,,,,,,,,,,,C,F,F,,,,,,,,,,,,,,F,,,,C,,,,,,,,,,,C,,,F,C,F,,,,,,,,,,,,,,,,,,,,,F,,,,F,,,,,,,,,,,,,,,,367,U1499,A,66,X,2,W
367-U1499A-66X-4-W 64/64-NANNO,0,0,623.44,623.44,,M,C,,,,,,,,,,,C,,R,,,,,,,,C,,,,,,F,,,,C,,,,,,,,,,,C,,,C,C,F,,,C,,,,,,,,,,,,,,,,,,F,,,,R,,,,,,,,,,,,,,,,367,U1499,A,66,X,4,W
367-U1499A-66X-CC-PAL-NANNO,0,0,628.09,628.09,,M,F,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,367,U1499,A,66,X,CC,PAL
367-U1499A-67X-3-W 58/58-NANNO,0,0,631.58,631.58,,G,A,,,,,,,,,C,,C,,F,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,C,,,C,C,,,,,,,,,,,C,R,,,,,R,R,,F,,C,,,,C,,,,,,,,,,C,,ABUNDANT R. PSEUDO,,,,367,U1499,A,67,X,3,W
367-U1499A-67X-5-W 50/50-NANNO,0,0,634.0,634.0,,G,A,,,,,,,,,C,,C,,F,,,,,,,,F,,,,,,,,,,F,,,,,,,,,,,C,,,C,C,,,,C,,,,,,,C,R,,,,,R,,F,F,R,C,,,,C,,,,,,,F,,,F,,ABUNDANT R. PSEUDO,,,,367,U1499,A,67,X,5,W
367-U1499A-69X-1-W 19/19-NANNO,0,0,647.59,647.59,,M,C,,,,,,,,,F,,C,F,R,,,,,,,,F,,,,,,,,,,C,,,,,,,,,,,F,,,F,C,,,,F,,,,,,,F,,,,,,,,F,,,F,,,,,,,,,,,,,,R,,OVERGROWTHED,,,,367,U1499,A,69,X,1,W
367-U1499A-69X-CC-PAL-NANNO,0,5,648.51,648.56,,P,R,,,,,,,,,F,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,R,,,,,"This core catcher has three small layers. From bottom to top, it's greenish sand, grey silts and white dark mud. Only the grey silts layer has few nannofossils. The other two are barren.",,,,367,U1499,A,69,X,CC,PAL
367-U1499A-71X-CC-PAL-NANNO,0,5,651.39,651.44,,M,R,,,,,,,,,F,,F,F,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,F,,,,F,,,,,,,R,,,,,,,,,,,R,,,,,,,,,,,F,,,,,,,,,367,U1499,A,71,X,CC,PAL
