Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Preservation,Group abundance,Emiliania huxleyi,Gephyrocapsa sp. (<4 microns),Gephyrocapsa sp. (closed >4 microns),Gephyrocapsa sp. (4-5.5 microns),Gephyrocapsa sp. (>5.5 microns),Pseudoemiliania lacunosa,Pseudoemiliania ovata,Reticulofenestra sp. (>7 microns),Reticulofenestra sp. (5-7 microns),Reticulofenestra sp. (3-5 microns),Reticulofenestra sp. (<3 microns),Cyclicargolithus floridanus,Cyclicargolithus abisectus,Reticulofenestra bisecta,Coccolithus pelagicus,Coccolithus miopelagicus,Calcidiscus leptoporus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Calcidiscus tropicus,Calcidiscus tropicus +grill,Umbilicosphaera sp.,Umbilicosphaera rotula,Umbilicosphaera jafari,Coronocyclus nitescens,Hayaster perplexus,Oolithotus sp.,Tetralithoides quadrilaminata,Clausicoccus fenestratus,Hughesius tasmaniae,Hughesius gizoensis,Helicosphaera carteri,Helicosphaera sellii,Helicosphaera intermedia,Helicosphaera euphratis,Helicosphaera ampliaperta,Helicosphaera obliqua,Helicosphaera recta,Pontosphaera sp.,Scyphosphaera apsteinii,Scyphosphaera pulcherrima,Scyphosphaera globulata,Rhabdosphaera clavigera,Syracosphaera pulchra,Braarudosphaera bigelowii,Discosphaera tubifera,Umbellosphaera tenuis,Holodiscolithus macroporus,Calciosolenia sp.,Coronosphaera mediterranea,Ilselithina fusa,Discoaster brouweri,Discoaster asymmetricus,Discoaster tamalis,Discoaster triradiatus,Discoaster calcaris,Discoaster altus,Discoaster sp. cf. D. brouweri,Discoaster surculus,Discoaster variabilis,Discoaster exilis,Discoaster deflandrei,Discoaster bollii,Discoaster musicus,Discoaster petaliformis,Discoaster kugleri,Discoaster sp. cf. D. variabilis,Discoaster pentaradiatus,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster berggrenii,Discoaster berggrenii ssp. extensus,Discoaster bergenii,Discoaster bellus,Discoaster hamatus,Catinaster coalitus,Catinaster calyculus,Sphenolithus abies,Sphenolithus heteromorphus,Sphenolithus pseudoheteromorphus,Sphenolithus belemnos,Sphenolithus conicus,Sphenolithus ciperoensis,Sphenolithus calyculus,Sphenolithus delphix,Sphenolithus capricornutus,Ceratolithus cristatus,Ceratolithus armatus,Amaurolithus delicatus,Amaurolithus tricorniculatus,Amaurolithus primus,Nicklithus amplificus,Orthorhabdus rugosus,Orthorhabdus striatus,Orthorhabdus serratus,Orthorhabdus rioi,Triquetrorhabdulus carinatus,Triquetrorhabdulus milowii,Triquetrorhabdulus challengeri,Minylitha convallis,Florisphaera profunda,Thoracosphaera heimii,Scrippsiella sp.,Thoracosphaera sp.,Ascidian spicules,Reworked species,Nannofossil comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
359-U1466A-16H-CC-PAL,0,5,138.56,138.61,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",P,R,,,,,,,,,R,R,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,16,H,CC,PAL
359-U1466A-17H-CC-PAL,0,5,138.77,138.82,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",P,R,,,,,,,,R,R,R,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,17,H,CC,PAL
359-U1466A-18X-CC,0,5,139.47,139.52,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",P,R,,,,,,,,,,P,P,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,18,X,CC,
359-U1466A-19F-2-W,123,123,148.33,148.33,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",P,R,,,,,,,,,,F,R,,,,R,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,19,F,2,W
359-U1466A-19F-CC-PAL,0,5,149.98,150.03,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",P,R,,,,,,,,,P,R,R,,,,,,P,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,19,F,CC,PAL
359-U1466A-20F-1-W,80,80,151.1,151.1,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BARREN,,,,359,U1466,A,20,F,1,W
359-U1466A-20F-3-W,80,80,154.1,154.1,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BARREN,,,,359,U1466,A,20,F,3,W
359-U1466A-20F-CC-PAL,0,5,154.9,154.95,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",P,R,,,,,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,20,F,CC,PAL
359-U1466A-21H-1-W,66,66,155.66,155.66,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BARREN,,,,359,U1466,A,21,H,1,W
359-U1466A-21H-2-W,76,76,156.78,156.78,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BARREN,,,,359,U1466,A,21,H,2,W
359-U1466A-21H-4-W,85,85,159.13,159.13,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BARREN,,,,359,U1466,A,21,H,4,W
359-U1466A-21H-5-W,59,59,160.37,160.37,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BARREN,,,,359,U1466,A,21,H,5,W
359-U1466A-21H-6-W,49,49,161.76,161.76,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BARREN,,,,359,U1466,A,21,H,6,W
359-U1466A-21H-CC-PAL,0,5,162.34,162.39,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",P,R,,,,,,,,,R,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,21,H,CC,PAL
359-U1466A-22H-2-W,73,73,164.23,164.23,,,P,R,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,22,H,2,W
359-U1466A-22H-4-W,38,38,166.88,166.88,,,P,R,,,,,,,,,,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,22,H,4,W
359-U1466A-22H-CC-PAL,0,5,171.78,171.83,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",P,R,,,,,,,,A,P,A,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,22,H,CC,PAL
359-U1466A-23H-CC-PAL,0,5,172.17,172.22,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",P,R,,,,,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,23,H,CC,PAL
359-U1466A-24X-CC-PAL,0,5,175.17,175.22,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",P,R,,,,,,,,,R,R,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,24,X,CC,PAL
359-U1466A-25H-CC-PAL,0,5,183.38,183.43,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",P,R,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,25,H,CC,PAL
359-U1466A-26F-1-W,20,20,183.7,183.7,,,P,R,,,,,,,,,,P,R,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,26,F,1,W
359-U1466A-26F-CC-PAL,0,5,187.88,187.93,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",P,R,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,26,F,CC,PAL
359-U1466A-27F-2-W,84,84,190.53,190.53,,,P,R,,,,,,,,,,R,R,,,,R,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,27,F,2,W
359-U1466A-27F-CC-PAL,0,5,192.6,192.65,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",P,R,,,,,,,,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,27,F,CC,PAL
359-U1466A-28F-CC-PAL,0,5,197.07,197.12,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",P,R,,,,,,,,,,R,R,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,28,F,CC,PAL
359-U1466A-29F-1-W,144,145,199.04,199.05,,,P,R,,,,,,,,,,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDITIONAL SAMPLE CHECKED FOR ASSEMBLAGE CONSISTENCY AND PRESENCE OF MARKERS BUT NOT LOGGED IN DETAIL,,,,359,U1466,A,29,F,1,W
359-U1466A-29F-3-W,112,113,201.72,201.73,,,P,R,,,,,,,,,,R,R,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,29,F,3,W
359-U1466A-29F-CC-PAL,0,5,202.09,202.14,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",P,R,,,,,,,,,,R,R,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,29,F,CC,PAL
359-U1466A-30F-1-W,134,135,203.64,203.65,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",P,R,,,,,,,,,,R,R,,,,,,R,,,,,,R,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,359,U1466,A,30,F,1,W
359-U1466A-30F-3,122,123,206.52,206.53,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",P,R,,,,,,,,,,R,R,,,,,,P,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,359,U1466,A,30,F,3,
359-U1466A-30F-CC-PAL,0,5,206.81,206.86,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",P,F,,,,,,,,,R,R,F,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,30,F,CC,PAL
359-U1466A-31F-1-W,110,111,208.1,208.11,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",P,R,,,,,,,,,R,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,359,U1466,A,31,F,1,W
359-U1466A-31F-3-W,80,81,210.8,210.81,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,359,U1466,A,31,F,3,W
359-U1466A-31F-CC-PAL,0,5,211.59,211.64,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",P,R,,,,,,,,,R,R,R,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,31,F,CC,PAL
359-U1466A-32F-1-W,119,119,212.89,212.89,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",P,R,,,,,,,,,R,R,R,P,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,359,U1466,A,32,F,1,W
359-U1466A-32F-3-W,28,28,214.98,214.98,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",P,R,,,,,,,,,,R,R,P,,,,,,,,,,,,,,,,,,,,P,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,359,U1466,A,32,F,3,W
359-U1466A-32F-CC-PAL,0,5,216.08,216.13,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",P,F,,,,,,,,,R,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,32,F,CC,PAL
359-U1466A-33F-1-W,98,98,217.38,217.38,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",P,R,,,,,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,359,U1466,A,33,F,1,W
359-U1466A-33F-3,52,52,219.92,219.92,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",P,R,,,,,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,359,U1466,A,33,F,3,
359-U1466A-33F-CC-PAL,0,5,220.73,220.78,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",M,C,,,,,,,,,C,C,,,,,R,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,33,F,CC,PAL
359-U1466A-34F-1-W,125,125,222.35,222.35,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",P,R,,,,,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,359,U1466,A,34,F,1,W
359-U1466A-34F-3-W,35,35,224.27,224.27,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",P,R,,,,,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,359,U1466,A,34,F,3,W
359-U1466A-34F-CC-PAL,0,5,225.49,225.54,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",M,C,,,,,,,,,F,C,,,,,,,,,,,,,,A,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,R,P,,,P,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unidentifiable 6 rays Discoster,,,,359,U1466,A,34,F,CC,PAL
359-U1466A-35F-1-W,47,47,226.27,226.27,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",P,R,,,,,,,,,,R,R,,,,,,,,,,,,P,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,359,U1466,A,35,F,1,W
359-U1466A-35F-2-W,7,7,227.37,227.37,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",P,R,,,,,,,,,,R,R,,,,,,,,,,,,P,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,359,U1466,A,35,F,2,W
359-U1466A-35F-CC-PAL,0,5,228.95,229.0,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",P,F,,,,,,,,,F,C,,,,,,,R,,,,,,,F,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,35,F,CC,PAL
359-U1466A-37X-1-W,82,82,231.42,231.42,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",P,F,,,,,,,,,,F,F,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,359,U1466,A,37,X,1,W
359-U1466A-37X-CC-PAL,0,5,232.07,232.12,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",P,F,,,,,,,,,R,F,F,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,37,X,CC,PAL
359-U1466A-38X-2-W,67,67,240.77,240.77,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",P,R,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,38,X,2,W
359-U1466A-38X-CC-PAL,0,5,241.8,241.85,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",P,R,,,,,,,,,R,F,R,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,38,X,CC,PAL
359-U1466A-40F-2-W,83,83,260.43,260.43,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",M,F,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,359,U1466,A,40,F,2,W
359-U1466A-40F-CC-PAL,0,5,262.48,262.53,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",M,F,,,,,,,,,,C,C,,,,,,R,,,R,,,P,C,,,,,,P,,,,,,,,,R,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,40,F,CC,PAL
359-U1466A-41F-1-W,116,116,263.96,263.96,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",P,R,,,,,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,359,U1466,A,41,F,1,W
359-U1466A-41F-3-W,31,31,266.11,266.11,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",P,R,,,,,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,41,F,3,W
359-U1466A-41F-CC-PAL,0,5,267.47,267.52,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",P,F,,,,,,,,,,R,C,F,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,41,F,CC,PAL
359-U1466A-42F-2-W,23,23,269.23,269.23,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",P,R,,,,,,,,,,R,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,359,U1466,A,42,F,2,W
359-U1466A-42F-3-W,66,66,271.16,271.16,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",M,R,,,,,,,,R,R,R,R,R,,,R,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,359,U1466,A,42,F,3,W
359-U1466A-42F-4-W,48,48,271.98,271.98,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",P,R,,,,,,,,R,R,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,359,U1466,A,42,F,4,W
359-U1466A-42F-CC-PAL,0,5,272.16,272.21,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",P,C,,,,,,,,R,C,C,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,42,F,CC,PAL
359-U1466A-43F-CC-PAL,0,5,276.86,276.91,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",P,C,,,,,,,,,F,C,F,P,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,43,F,CC,PAL
359-U1466A-44X-1-W,65,65,277.55,277.55,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",P,R,,,,,,,,,R,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,359,U1466,A,44,X,1,W
359-U1466A-44X-CC-PAL,0,5,280.36,280.41,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",P,R,,,,,,,,,,R,R,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,44,X,CC,PAL
359-U1466A-45X-1-W,12,12,286.82,286.82,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",P,R,,,,,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,45,X,1,W
359-U1466A-45X-CC-PAL,0,5,287.29,287.34,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",P,R,,,,,,,,R,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,45,X,CC,PAL
