Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group Abundance,Algirosphaera robusta,Amaurolithus amplificus,Amaurolithus bizarrus,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus spp.,Amaurolithus tricorniculatus,Blackites sp.,Braarudosphaera bigelowii,Calcidiscus carlae,Calcidiscus leptoporus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Calciosolenia murrayi,Catinaster calyculus,Catinaster coalitus,Catinaster mexicanus,Ceratolithus acutus,Ceratolithus armatus,Ceratolithus atlanticus,Ceratolithus cristatus,Ceratolithus rugosus,Ceratolithus spp.,Clausicoccus obrutus,Coccolithus miopelagicus,Coccolithus pelagicus,Coccolithus pliopelagicus,Coronocyclus nitescens,Cyclicargolithus abisectus,Cyclicargolithus floridanus,Dictyococcites productus,Dictyococcites spp.,Discoaster adamanteus,Discoaster asymmetricus,Discoaster aulakos,Discoaster bellus,Discoaster bergenii,Discoaster berggrenii,Discoaster bollii,Discoaster braarudii,Discoaster brouweri,Discoaster calcaris,Discoaster challengeri,Discoaster decorus,Discoaster deflandrei,Discoaster druggii,Discoaster exilis (small),Discoaster hamatus,Discoaster kugleri,Discoaster loeblichii,Discoaster musicus,Discoaster neohamatus,Discoaster neorectus,Discoaster pansus,Discoaster pentaradiatus,Discoaster petaliformis,Discoaster pseudovariabilis,Discoaster quinqueramus,Discoaster sanmiguelensis,Discoaster signus,Discoaster spp.,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster tristellifer,Discoaster variabilis,Discosphaera tubifera,Emiliania huxleyi,Florisphaera profunda,Gephyrocapsa caribbeanica,Gephyrocapsa lumina,Gephyrocapsa margerelii,Gephyrocapsa margerelii/muellerae,Gephyrocapsa muellerae,Gephyrocapsa oceanica ss,Gephyrocapsa omega,Gephyrocapsa parallela,Gephyrocapsa spp. (>4 microns),Gephyrocapsa spp. (large >5.5 microns),Gephyrocapsa spp. small (<4 microns),Hayaster perplexus,Helicosphaera ampliaperta,Helicosphaera carteri,Helicosphaera elongata,Helicosphaera euphratis,Helicosphaera hyalina,Helicosphaera inversa,Helicosphaera scissura,Helicosphaera sellii,Helicosphaera spp.,Helicosphaera wallichii,Minylitha convallis,Nicklithus amplificus,Oolithotus fragilis,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera spp.,Pseudoemiliania lacunosa,Reticulofenestra asanoi,Reticulofenestra gelida,Reticulofenestra haqii,Reticulofenestra minuta,Reticulofenestra minutula,Reticulofenestra pseudoumbilica,Reticulofenestra rotaria,"Reticulofenestra ""small""",Reticulofenestra spp.,Rhabdosphaera clavigera,Scyphosphaera spp.,Sphenolithus abies,Sphenolithus belemnos,Sphenolithus compactus,Sphenolithus grandis,Sphenolithus heteromorphus,Sphenolithus moriformis,Sphenolithus neoabies,Sphenolithus quadrispinatus,Sphenolithus spp.,Sphenolithus verensis,Syracosphaera pulchra,Syracosphaera spp.,Triquetrorhabdulus carinatus,Triquetrorhabdulus extensus,Triquetrorhabdulus rugosus,Triquetrorhabdulus sp.,Umbellosphaera irregularis,Umbellosphaera tenuis,Umbilicosphaera foliosa,Umbilicosphaera sibogae,Comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data,Zone name,Zone name (short)
346-U1427A-40H-CC-PAL,0,5,299.21,299.26,M,F,,,,,,,,,,,R,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,R,,,F,,F,,,,,C,,,R,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,40,H,CC,PAL,,,
346-U1427A-41H-CC-PAL,0,5,304.23,304.28,M,C,,,,,,,,,R,,F,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,A,F,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,41,H,CC,PAL,,,
346-U1427A-42H-CC-PAL,0,5,308.87,308.92,M,C,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,C,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,42,H,CC,PAL,,,
346-U1427A-43H-CC-PAL,0,5,313.08,313.13,G,D,,,,,,,,,,,R,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,F,,,F,F,D,,,R,,,,,,,,,,,,,,,R,,,,,,,,D,R,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,43,H,CC,PAL,,,
346-U1427A-44H-CC-PAL,0,5,317.91,317.96,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,44,H,CC,PAL,,,
346-U1427A-45H-CC-PAL,0,5,323.02,323.07,M,R,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,F,,,,,F,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,45,H,CC,PAL,,,
346-U1427A-46H-CC-PAL,0,5,327.95,328,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,46,H,CC,PAL,,,
346-U1427A-47H-CC-PAL,0,5,332.58,332.63,M,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,R,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,47,H,CC,PAL,,,
346-U1427A-48H-CC-PAL,0,5,337.48,337.53,M,F,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,48,H,CC,PAL,,,
346-U1427A-49H-CC-PAL,0,5,342.14,342.19,G,C,,,,,,,,,R,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,49,H,CC,PAL,,,
346-U1427A-50H-CC-PAL,0,5,346.82,346.87,M,C,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,F,,F,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,50,H,CC,PAL,,,
346-U1427A-51H-1-W 75/75-NANNO,0,0,346.95,346.95,M,A,,,,,,,,,R,,F,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,F,,,F,,,,,,,,,,,,,,,,R,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,51,H,1,W,75/75-NANNO,,
346-U1427A-51H-2-W 75/75-NANNO,0,0,347.88,347.88,G,C,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,R,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,51,H,2,W,75/75-NANNO,,
346-U1427A-51H-3-W 75/75-NANNO,0,0,349.08,349.08,M,C,,,,,,,,,,,F,,,,,,,,,,,,,,,R,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,D,,,R,,,,,,,,,,,,,,,,,,,,,,,C,R,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,51,H,3,W,75/75-NANNO,,
346-U1427A-51H-4-W 75/75-NANNO,0,0,350.5,350.5,M,A,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,F,,,,,,,C,F,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,51,H,4,W,75/75-NANNO,,
346-U1427A-51H-5-W 75/75-NANNO,0,0,351.52,351.52,M,A,,,,,,,,,,,C,,,,,,,,,,,,,,,R,,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,D,,,,,,,,,,,,,,,,,,,F,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,51,H,5,W,75/75-NANNO,,
346-U1427A-51H-CC-PAL,0,5,351.68,351.73,M,F,,,,,,,,,,,R,,,,,,,,,,,,,,,F,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,F,,,,,C,,,,,,,,,,,,,,,,,,F,R,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,51,H,CC,PAL,,,
346-U1427A-52H-CC-PAL,0,5,356.03,356.08,M,C,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,R,,A,,,,,,,,,,R,,,,,,,,,R,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,52,H,CC,PAL,,,
346-U1427A-53H-CC-PAL,0,5,361.02,361.07,G,C,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,A,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,53,H,CC,PAL,,,
346-U1427A-54H-CC-PAL,0,5,365.7,365.75,G,C,,,,,,,,,R,,R,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,54,H,CC,PAL,,,
346-U1427A-55H-CC-PAL,0,5,370.2,370.25,M,C,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,R,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,55,H,CC,PAL,,,
346-U1427A-56H-CC-PAL,0,5,374.88,374.93,M,F,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,56,H,CC,PAL,,,
346-U1427A-57H-CC-PAL,0,6,379.82,379.88,P,F,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,57,H,CC,PAL,,,
346-U1427A-58H-CC-PAL,0,5,384.71,384.76,M,C,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,58,H,CC,PAL,,,
346-U1427A-59H-CC-PAL,0,5,386.7,386.75,M,C,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,59,H,CC,PAL,,,
346-U1427A-60H-CC-PAL,0,2,393.59,393.61,P,C,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,R,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,60,H,CC,PAL,,,
346-U1427A-61H-CC-PAL,0,3,398.17,398.2,M,C,,,,,,,,,R,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,R,,R,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,61,H,CC,PAL,,,
346-U1427A-62H-CC-PAL,0,3,402.78,402.81,M,C,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,R,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,62,H,CC,PAL,,,
346-U1427A-63H-CC-PAL,0,5,407.84,407.89,M,F,,,,,,,,,R,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,C,,,,,,,,,,,,,,,,,R,,R,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,63,H,CC,PAL,,,
346-U1427A-64H-CC-PAL,0,5,412.63,412.68,M,F,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,R,,,,,,,C,F,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,64,H,CC,PAL,,,
346-U1427A-65H-CC-PAL,0,5,417.01,417.06,M,A,,,,,,,,,R,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,F,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,65,H,CC,PAL,,,
346-U1427A-66H-CC-PAL,0,5,421.22,421.27,M,F,,,,,,,,,R,,R,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,F,,,,,,,C,R,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,66,H,CC,PAL,,,
346-U1427A-67H-CC-PAL,0,5,426.62,426.67,G,C,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,C,F,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,67,H,CC,PAL,,,
346-U1427A-68H-2-W 25/25-NANNO,0,0,426.5,426.5,M,F,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,C,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,68,H,2,W,25/25-NANNO,,
346-U1427A-68H-3-W 75/75-NANNO,0,0,427.58,427.58,M,F,,,,,,,,,,,R,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,R,F,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,68,H,3,W,75/75-NANNO,,
346-U1427A-68H-4-W 75/75-NANNO,0,0,428.79,428.79,M,R,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,68,H,4,W,75/75-NANNO,,
346-U1427A-68H-5-W 45/45-NANNO,0,0,429.76,429.76,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,R,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,68,H,5,W,45/45-NANNO,,
346-U1427A-68H-CC-PAL,0,5,431.08,431.13,M,R,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,C,R,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,68,H,CC,PAL,,,
346-U1427A-69H-CC-PAL,0,5,435.75,435.8,M,C,,,,,,,,,,,F,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,R,,,,,,,,,,,,,,,,,,,,,,,C,F,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,69,H,CC,PAL,,,
346-U1427A-70H-CC-PAL,0,5,440.21,440.26,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,70,H,CC,PAL,,,
346-U1427A-71H-CC-PAL,0,5,445.47,445.52,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,71,H,CC,PAL,,,
346-U1427A-72H-CC-PAL,0,5,449.89,449.94,M,C,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,72,H,CC,PAL,,,
346-U1427A-73H-CC-PAL,0,5,454.27,454.32,M,F,,,,,,,,,F,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,73,H,CC,PAL,,,
346-U1427A-74H-CC-PAL,0,5,459.4,459.45,M,C,,,,,,,,,,,R,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,R,,,,,,,,A,F,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,74,H,CC,PAL,,,
346-U1427A-75H-CC-PAL,0,5,464.24,464.29,M,C,,,,,,,,,,,F,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,R,,R,,,,,,,A,F,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,75,H,CC,PAL,,,
346-U1427A-76H-CC-PAL,0,6,469.13,469.19,P,F,,,,,,,,,,,F,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,F,F,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,76,H,CC,PAL,,,
346-U1427A-77H-CC-PAL,0,5,473.58,473.63,P,R,,,,,,,,,,,R,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,Big sized C. leptoporus,,,,346,U1427,A,77,H,CC,PAL,,,
346-U1427A-78H-CC-PAL,0,5,477.42,477.47,M,F,,,,,,,,,R,F,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,R,,,,,,,R,F,,,,,,,,,,,,,,,,,,,,,,,Big sized C. leptoporus,,,,346,U1427,A,78,H,CC,PAL,,,
346-U1427A-79H-1-W 75/75-NANNO,0,0,478.25,478.25,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,79,H,1,W,75/75-NANNO,,
346-U1427A-79H-CC-PAL,0,5,481.73,481.78,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,79,H,CC,PAL,,,
346-U1427A-80H-1-W 23/23-NANNO,0,0,482.03,482.03,P,R,,,,,,,,,R,,,,,,,,,,,,,,,,,R,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,R,R,R,,,,,,,,,,,,,,,,,,R,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,80,H,1,W,23/23-NANNO,,
346-U1427A-80H-2-W 80/80-NANNO,0,0,483.09,483.09,P,R,,,,,,,,,R,,,,,,,,,,,,,,,,,F,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,R,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,80,H,2,W,80/80-NANNO,,
346-U1427A-80H-3-W 80/80-NANNO,0,0,484.59,484.59,M,R,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,R,,,,,,,,,,R,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,80,H,3,W,80/80-NANNO,,
346-U1427A-80H-4-W 45/45-NANNO,0,0,485.69,485.69,M,R,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,80,H,4,W,45/45-NANNO,,
346-U1427A-80H-CC-PAL,0,5,487.04,487.09,M,F,,,,,,,,,,,R,,,,,,,,,,,,,,,R,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,F,R,,,R,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,80,H,CC,PAL,,,
346-U1427A-81H-CC-PAL,0,5,490.38,490.43,P,F,,,,,,,,,,,R,,,,,,,,,,,,,,,R,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,R,,,,,,,,,,,,,,,,,,,,R,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,81,H,CC,PAL,,,
346-U1427A-82X-CC-PAL,0,5,491.89,491.94,M,A,,,,,,,,,,,R,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,C,,,,F,A,,,,,,,,,,,,,,,R,,,F,,,,,,,,C,F,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,82,X,CC,PAL,,,
346-U1427A-83X-CC-PAL,0,5,500.37,500.42,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,F,R,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,83,X,CC,PAL,,,
346-U1427A-84X-CC-PAL,0,5,511.75,511.8,M,C,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,F,,,F,,C,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,84,X,CC,PAL,,,
346-U1427A-85X-CC-PAL,0,5,528.06,528.11,G,C,,,,,,,,,,,R,R,,,,,,,,,,,,,,F,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,F,F,,,,,,,,,R,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,85,X,CC,PAL,,,
346-U1427A-86X-CC-PAL,0,5,535.14,535.19,G,A,,,,,,,,,,,R,,,,,,,,,,,,,,,F,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,F,C,,,,,,,,,R,R,,,,,,,,F,,,,,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,86,X,CC,PAL,,,
346-U1427A-87X-CC-PAL,0,5,547.87,547.92,M,C,,,,,,,,,,,F,,,,,,,,,,,,,,,R,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,C,,,R,,,,,,,,,,,,,,,,R,,,,,,,R,C,,,,,,,,,,,,,,,,,,,,,,,Big sized C.leptoporus,,,,346,U1427,A,87,X,CC,PAL,,,
