Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Percentage of benthic forams in total foram assemblage [%],"Reworking comment (1= <1%, 2= light 1-10%, 3= >10%)","PALEO WATER DEPTH (IS=inner shelf, MS=middle shelf, OS=outer shelf)",Temperature Range,Aspect comment (etching),Comment (general),Large Benthic Forams [%],Acervulina mabahethi,Agglutinated spp. (indeterminate),Ammodiscus sp.,Ammonia spp.,Amphicoryna scalaris,Amphicoryna separans,Amphicoryna spp.,Amphistegina hauerina,Amphistegina lessonii,Amphistegina lobifera,Amphistegina papillosa,Amphistegina radiata,Amphistegina spp.,Anomalinella rostrata,Anomalinoides globulosus,Anomalinoides spp.,Articulina alticostata,Articulina pacifica,Assilina ammonoides,Astacolus spp.,Asterorotalia concinna,Astrononion spp.,Astrororalia milletti,Bolivina pusilla,Bolivina robusta,Bolivina sp.,Bolivina striatula,Bolivinella elegans,Bolivinita quadrilatera,Borelis spp.,Brizalina semilineata,Brizalina spp.,Bulimina aculeata,Bulimina barbata,Bulimina marginata,Bulimina sp.,Bulimina striata,Buliminella spp.,Buliminoides spp.,Cancris auriculus,Cancris spp.,Cassidulina carinata,Cassidulina sp.,Cassidulinoides spp.,Cerebrina lacunata,Challengeria spp.,Chilostomella oolina,Chilostomella sp.,Chrysalidinella dimorpha ,Cibicides mediocris,Cibicides praecinctus,Cibicides spp.,Cibicides tenuimargo,Cibicides wuellerstorfi,Cibicidoides bradyi,Cibicidoides globulosus,Cibicidoides mundula,Cibicidoides renzi,Cibicidoides sp.,Cibicidoides subhaidingerii,Clavulina subangularis,Cornuspira spp.,Cristellaria bradyi,Cycloclypeus? sp.,Cymbaloporetta sp. 1,Cymbaloporetta spp.,Discorbia spp.,Discorbinella sp. 1,Discorbinella spp.,Discorbis spp.,Eggerella bradyi,Ehrenbergina pacifica,Ehrenbergina spp.,Elhpidium craticulatum,Elongobula crispum,Elongobula parallela,Elphidium advenum limbatum,Elphidium excavatum,Elphidium hispidulum,Elphidium macellum,Elphidium spp.,Epistominella exigua,Epistominella spp.,Euloxostomum pseudobeyrichi,Eusphaeroidina inflata,Favocassidulina favus,Fissurina formosa,Fissurina marginata,Fissurina sp.,Frondricularia spp.,Gaudryina convexa,Gavelinopsis praegeri,Glabratella spp.,Glandulina spp.,Globobulimina affinis,Globocassidulina spp.,Globocassidulina subglobosa,Globogyroidina boninensis,Guttulina communis,Guttulina spp.,Guttulina yabei,Gyroidina neosoldanii,Gyroidinoides spp.,Hauerina spp.,Heterolepa bradyi,Heterostegina depressa,Hoeglundina elegans,Homotrema rubra,Hyalinea spp.,Inaequilina spp.,Karreriella bradyi,Laevidentalina communis,Laevidentalina inflexa,Laevidentalina spp.,Lagena sp.,Laticarinina pauperata,Lenticulina rotulata,Lenticulina sp. ,Lobatula Lobatula,Marginopora spp.,Marginulina obesa,Martinotiella spp.,Martinottiella communis,Martinottiella hosoyaensis,Melonis barleeanus,Melonis pompilioides,Melonis spp.,Migros flintii,Miliolina spp.,Miliolinella oceanica,Miliolinella sp. 1,Miliolinella subrotunda,Monalysidium spp.,Monalysidium spp. ,Mucronina compressa,Neoeponides margaritifer,Neoeponides procerus,Neoeponides spp.,Neorotalia spp.,Nephrolepidina ferrori,Nephrolepidina Spp.,Neugeborina longiscata,Nodosaria spp.,Nonionella sp.,Nonionoides grateloupi,Nonionoides spp.,Numullites spp.,Nuttallides umbonifera,Obesopleurostomella brevis,Olgia spp.,Oolina globosa,Oolina spp.,Operculina ammonoides,Operculina complanata,Operculina spp.,Operculinella venosa,Ophthalmidium circularis ,Oridorsalis spp.,Oridorsalis umbonatus,Osangulariella bradyi,Parafissurina sp.,Parasorites spp.,Patellina spp.,Patellinella spp.,Peneroplis spp.,Pileolina spp.,Planispirinella spp.,Planogypsina sp. 1,Planorbulina spp.,Planorbulinella larvata,Planospirina spp.,Planularia gemmata,Planularia spp.,Planulina spp.,Pleurostomella acuminata,Pleurostomella acuta,Pleurostomella sp. A,Pleurostomella spp.,Procerolagena spp.,Pseudoclavulina juncea,Pseudonodosaria sp.,Pseudonodosaria spp.,Pseudorotalia angusta,Pseudorotalia annectens,Pseudorotalia globosa,Pseudorotalia indopacifica,Pseudorotalia inermis,Pseudorotalia schroetiana,Pseudorotalia spp.,Pullenia bulloides,Pullenia quinqueloba,Pullenia simplex,Pullenia sp.,Pyramidulina glanduliniformis,Pyrgo denticulata,Pyrgo lucernula,Pyrgo murrhina,Pyrgo spp.,Quinqueloculina exmouthensis,Quinqueloculina lamarckiana,Quinqueloculina neocostata,Quinqueloculina patagonica,Quinqueloculina philippinensis,Quinqueloculina spp.,Quinqueloculina subpolygona,Rectobolivina bifrons,Recurvoides sp.,Reophax spp.,Reusella spp.,Rhabdammina? sp.,Rhizammina sp.,"Rhizammina sp. (Kaiho, 1992)",Rosalina spp.,Rotalinoides gaimardii,Rotalinoides spp.,Rotliammina sp.,Rudigaudryina minor,Sagrinella jugosa,Sagrinella spp.,Sahulia barkeri,Saraceneria spp.,Semicassis craticulata,Septotextularia rugosa,Sigmoidella elegantissima,Sigmoidella spp.,Sigmoilopsis schlumbergeri,Siphogeneria raphana,Siphogenerina dimorpha,Siphogenerina indica,Siphonaperta spp.,Siphoniferoides siphonifera,Siphonina tubulosa,Siphouvigerina hispida,Siphouvigerina interrupta,Siphouvigerina porrecta,Siphouvigerina proboscidae,Sorites spp.,Sphaerogypsina globulus,Sphaeroidina bulloides,Spiroloculina sp. N/A,Spiroloculina spp.,Spirotextularia fistulosa,Spirotextularia spp.,Spirotextularia tubulosa,Sprioloculina corrugata,Stilostomella abyssorum,Stilostomella gracillima,Stilostomella lepidula,Stilostomella sp.,Textularia agglutinans,Textularia catenata,Textularia lateralis,Textularia spp.,Textularia sp. 1,Textulariella barrettii,Tosaia hanzawai,Tretomphaloides spp.,Tribliolepidina spp.,Trifarina spp.,Triloculina spp.,Tritaxis fusca,Unidentified benthic forams,Uvigerina graciliformis,Uvigerina hispidocostata,Uvigerina peregrina,Uvigerina senticosa,Uvigerina spp.,Vaginulinopsis bradyi,Vertebralina spp.,Wiesnerella spp.,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data,Zone name,Zone name (short)
356-U1462C-85R-CC-PAL-FORAM-150-2000,0,5,447.72,447.77,P [P39],F [A10],29,,,,,Heavily encrusted.,0,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,A [A109],,,,,R [A109],,,,,P [A109],,,,,,,,,,,,,,,,R [A109],,,,,,,D [A109],,,,,,,,,,R [A109],,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,A [A109],,,,,,,,,A [A109],,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30845931,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30845931,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30845931, ",356,U1462,C,85,R,CC,PAL,FORAM-150-2000,,
356-U1462C-89R-CC-PAL-FORAM-150-2000,0,10,467.41,467.51,P [P39],,31,,,,,"Heavy encrustation and fragmentation. Glauconite present, ostracods present.",,,,,,P [A109],,,,,,,,,,,,,,,,,,,,P [A109],A [A109],,P [A109],,,,,,,,,,,,,P [A109],,,,,,,,,,,A [A109],,,,,,,D [A109],,,,,,,,,,P [A109],,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,P [A109],P [A109],,,,,,,,,,,,,,,,,,P [A109],,,R [A109],,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,P [A109],,,,,,,,,,,,,,P [A109],,,,,,,,,R [A109],,,P [A109],,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30850911,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30850911,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30850911, ",356,U1462,C,89,R,CC,PAL,FORAM-150-2000,,
356-U1462C-93R-CC-PAL-FORAM-150-2000,0,5,487.46,487.51,P [P39],,25,,,,,Heavy encrustation and fragmentation.,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A109],,,,,R [A109],,,,,,,,,,P [A109],,,,,,,,,,,F [A109],,,,,,,D [A109],,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A109],,,P [A109],,,,,,,,,,,,,,,R [A109],,,P [A109],,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A109],,,,,,R [A109],,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,P [A109],,,R [A109],,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30853491,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30853491,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30853491, ",356,U1462,C,93,R,CC,PAL,FORAM-150-2000,,
356-U1462C-97R-CC-PAL-FORAM-150-2000,0,5,506.82,506.87,M [P39],,37,,,,,"One single LBF, increased diversity.",,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,R [A109],,,,,,,,,,,,,,P [A109],P [A109],,,,,,,,,,,A [A109],,,,,R [A109],,A [A109],,,,P [A109],,,,,,,,,,,,,,P [A109],,,,P [A109],,,,,,,,,,,,,,,,P [A109],,,,,,,,P [A109],,,,,,,,,,R [A109],,,R [A109],,,,,,,,,R [A109],,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],R [A109],,,,,,,,,,,,,,,R [A109],,,A [A109],,,,,,,,,,,,R [A109],,,,,,,,,,,,,,P [A109],,,,,,P [A109],,,R [A109],,,R [A109],,R [A109],,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30858491,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30858491,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30858491, ",356,U1462,C,97,R,CC,PAL,FORAM-150-2000,,
356-U1462C-101R-CC-PAL-FORAM-150-2000,0,5,527.45,527.5,M [P39],,28,,,,,Low abundance of Rotalinoides and Meoeponides.,,,,,,,,,,,,,,,,,,,,,,,,,,R [A109],P [A109],,,,,A [A109],,,,,,,,,,,,,,,,,,,,,F [A109],,,,,P [A109],,A [A109],,,,P [A109],,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],P [A109],,P [A109],,,,,,R [A109],,,,,,,,,,R [A109],,,R [A109],,,,,,,,,P [A109],P [A109],,,,,,,,R [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A109],,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,R [A109],,,,,,,,,F [A109],,,R [A109],,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30866631,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30866631,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30866631, ",356,U1462,C,101,R,CC,PAL,FORAM-150-2000,,
356-U1462C-105R-CC-PAL-FORAM-150-2000,0,5,546.56,546.61,P [P39],F [A10],25,,OS/UB,,,High fragmentation.,0,,,,,,,,,,,,,,,,,,,,,,,,,,A [A109],,,,,R [A109],P [A109],,,,,,,,,,,,,,,,,,,,F [A109],,,,,,,D [A109],,,,,,,,,,R [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,A [A109],,,,,,,,,R [A109],,,,,,,,,,,F [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,P [A109],,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30878641,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30878641,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30878641, ",356,U1462,C,105,R,CC,PAL,FORAM-150-2000,,
356-U1462C-109R-CC-PAL-FORAM-150-2000,0,5,565.6,565.65,M [P39],C [A10],34,,OS/UB,,,Shallow water/sandy ostracods present. Influx of more shallower water foraminiferal species but in low abundance.,10,F [A109],,,,,,,,,,,,,,,,,,,,,,,,F [A109],A [A109],,,,,P [A109],,,,,,,,,,,,,,,,,,,,,R [A109],,,,,,,A [A109],,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A109],,,,,,,,,P [A109],,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],P [A109],,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A109],,,,,,,,,,,,R [A109],,,,,,,,,A [A109],P [A109],,,,,R [A109],,,,,,R [A109],,P [A109],,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30883321,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30883321,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30883321, ",356,U1462,C,109,R,CC,PAL,FORAM-150-2000,,
356-U1462C-113R-CC-PAL-FORAM-150-2000,0,5,584.7,584.75,M [P39],C [A10],34,,OS/UB,,,Shallow water/sandy ostracods present. Influx of more shallower water foraminiferal species but in low abundance.,0,,,,,,,,,,,,,,,,,,,,,,,,,A [A109],D [A109],,,,,P [A109],,,,,,,,,,,,,,,,,,,,,F [A109],,,,,,,A [A109],,,,,,,,P [A109],,R [A109],,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,R [A109],,,,,,,,,,P [A109],,,,,,P [A109],,,A [A109],,,,,,,,,F [A109],,,,,,,,,,,,,,,,R [A109],,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,A [A109],,,,,,,,,F [A109],,,,,,,,,,P [A109],P [A109],,,,,R [A109],,,,,,P [A109],,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30886861,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30886861,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30886861, ",356,U1462,C,113,R,CC,PAL,FORAM-150-2000,,
356-U1462C-117R-CC-PAL-FORAM-150-2000,0,6,605.66,605.72,P [P39],F [A10],24,,OS/UB,,,High fragmentation. Shallow water taxa gone. Ostracods present.,0,,,,,,,,,,,,,,,,,,,,,,,,,A [A109],D [A109],,,,,,,,,,,,,,,,,,,,,,,,,,R [A109],,,,,,,A [A109],,,,,,,,,,R [A109],,,,,,,,R [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A109],,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,R [A109],,,,,,,,,,,,,,,,,,,,,,,,R [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A109],,,P [A109],,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30890161,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30890161,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30890161, ",356,U1462,C,117,R,CC,PAL,FORAM-150-2000,,
356-U1462C-121R-CC-PAL-FORAM-150-2000,0,5,625.02,625.07,P [P39],,43,,,,,Heavy abrasion and fragmentation. Very poor preservation. Ostracods present.,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,R [A109],F [A109],,,,,,,,,,,,,,,,,,,,,,,,,,A [A109],,,,,P [A109],,D [A109],,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,R [A109],P [A109],,,,,,,,,,,,,,,,,,R [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,P [A109],,,,,,R [A109],,,P [A109],,,R [A109],,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30896141,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30896141,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30896141, ",356,U1462,C,121,R,CC,PAL,FORAM-150-2000,,
356-U1462C-125R-CC-PAL-FORAM-150-2000,0,5,641.78,641.83,P [P39],,39,,,,,Heavy abrasion and fragmentation. Pyrite present.,,,,,,,,,,,,,,,,,,,,,,,,,,R [A109],F [A109],,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,F [A109],,A [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A109],,,R [A109],,,,,,,,,,,,,,,P [A109],,,A [A109],,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,R [A109],,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,R [A109],,,,,,,,,R [A109],,,,,,,,,,,,,,,,,,,,P [A109],,,,,,R [A109],,,,,,A [A109],,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30901881,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30901881,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30901881, ",356,U1462,C,125,R,CC,PAL,FORAM-150-2000,,
356-U1462C-128R-5-W 68/69-FORAM,0,1,659.75,659.76,P [P39],,,,,,,Tests abraded through scrach sampling technique.,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A109],,,,,,,,,,,,,,,,,,,,,,,,,,R [A109],,,,,P [A109],,A [A109],P [A109],,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,P [A109],,,F [A109],,,,,,,,,,,,,,P [A109],,,,A [A109],,,,,,,,,,,,,,,,,,D [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A109],,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,356,U1462,C,128,R,5,W,68/69-FORAM,,
356-U1462C-129R-CC-PAL-FORAM-150-2000,0,5,664.41,664.46,P [P39],,28,,,,,Heavy abrasion and fragmentation.,,,,,,,,,,,,,,,,,,,,,,,,,,A [A109],P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,R [A109],,,,,,,A [A109],,,,,,,,,,P [A109],,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,P [A109],,,,,,P [A109],,,,,,,,,,,,,A [A109],,,,,,,,,,,,,,,,,,A [A109],,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,P [A109],,,,,,,,,,,,A [A109],,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30906861,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30906861,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30906861, ",356,U1462,C,129,R,CC,PAL,FORAM-150-2000,,
356-U1462C-133R-CC-PAL-FORAM-150-2000,0,5,684.24,684.29,M [P39],A [A10],25,,,,,Ostracods present.,0,,,,,,,P [A109],,,,,,,,,,,,,,,,,,A [A109],D [A109],,,,,,,,,,,,,,,,,,,,,,,,,,F [A109],,,,,,,D [A109],,,,,,,,,,R [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],F [A109],,,,,,,,,,,,,,,,,P [A109],R [A109],,,A [A109],,,,,,,,,F [A109],,,,,,,,P [A109],R [A109],,,,,,,R [A109],,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,R [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A109],,,,,F [A109],,,,F [A109],,,,,,,,,,A [A109],,,,,,F [A109],,,,,,A [A109],,P [A109],,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30926101,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30926101,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30926101, ",356,U1462,C,133,R,CC,PAL,FORAM-150-2000,,
356-U1462C-135R-CC-PAL-FORAM-150-2000,0,7,703.74,703.81,P [P39],C [A10],26,,,,,Ostracods present.,0,,,,,,,,,,,,,,,,,,,,,,,,,A [A109],D [A109],,,,,F [A109],,,,,,,,,,,,,,,,,,,,,R [A109],,,,,,,D [A109],,,,,,,,,,R [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,F [A109],P [A109],,,,,,,,,,,,,,,,,,P [A109],,,F [A109],,,,,,,,,A [A109],,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,P [A109],,,,,,,,,,,,,,,,,P [A109],,,,F [A109],,,,,,,,,P [A109],,,,,,,,,,P [A109],,,,,,R [A109],,,R [A109],,,A [A109],,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30927941,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30927941,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30927941, ",356,U1462,C,135,R,CC,PAL,FORAM-150-2000,,
356-U1462C-137R-CC-PAL-FORAM-150-2000,0,5,723.74,723.79,P [P39],F [A10],35,,,,,Ostracods present. Highly fragmented with abundant quartz.,0,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],A [A109],,,,,,,,,,,,,,,,,,,,,,,,,,R [A109],,,,,,,A [A109],,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,P [A109],,,R [A109],,,,,,,,,F [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30930681,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30930681,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30930681, ",356,U1462,C,137,R,CC,PAL,FORAM-150-2000,,
356-U1462C-139R-CC-PAL-FORAM-150-2000,0,10,742.66,742.76,M [P39],C [A10],25,,,,,Ostracods are mixed shallow and lower neritic,0,,,,,,,,,,,,,,,,,,,,,,,,,F [A109],A [A109],,,,,A [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,D [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A109],,,,,,,,,,,,,,,,,P [A109],,,,F [A109],,,,,,,,,F [A109],,,,,,,,,F [A109],,,,,,,F [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,R [A109],,,,,,,,,,,,,,,,,P [A109],,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,R [A109],,,,,P [A109],,,,P [A109],,,,,,,,,,F [A109],,,,,,,,,,,,D [A109],,R [A109],,,,,,,356,U1462,C,139,R,CC,PAL,FORAM-150-2000,,
356-U1462C-141R-CC-PAL-FORAM-150-2000,0,5,759.59,759.64,P [P39],F [A10],12,,,,,Ostracods present. Highly dolomitized.,0,,,,,,,,,,,,,,,,,,,,,,,,,,D [A109],,,,,A [A109],,,,,,,,,,,,,,,,,,,,,R [A109],,,,,,,A [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A109],,,,,,,,,,,,,,,,R [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30936321,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30936321,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30936321, ",356,U1462,C,141,R,CC,PAL,FORAM-150-2000,,
356-U1462C-143R-CC-PAL-FORAM-150-2000,0,5,778.07,778.12,P [P39],F [A10],25,,,,,Dolomitized and very fragmented,10,,,,,,,,,,,,,,,,,,,,,,,,,,A [A109],,,,,F [A109],,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,D [A109],,,,,,,R [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A109],,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,P [A109],,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30936751,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30936751,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30936751, ",356,U1462,C,143,R,CC,PAL,FORAM-150-2000,,
