Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Preservation,Group Abundance,Comments,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus tricorniculatus,Blackites gladius,Blackites inflatus,Calcidiscus leptoporus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Calcidiscus tropicus,Calcispheres,Campylosphaera dela,Catinaster calyculus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus rugosus,Ceratolithus atlanticus,Chiasmolithus altus,Chiasmolithus danicus,Chiasmolithus gigas,Chiasmolithus grandis,Chiasmolithus oamaruensis,Chiasmolithus solitus,Chiphragmolithus acanthodes,Chiphragmolithus barbatus,Chiphragmolithus calathus,Clausicoccus fenestratus,Clausicoccus subdistichus,Coccolithus crassus,Coccolithus formosus,Coccolithus miopelagicus,Coccolithus pelagicus,Coronocyclus nitescens,Cruciplacolithus frequens,Cruciplacolithus intermedius,Cruciplacolithus primus,Cruciplacolithus tenuis,Cyclicargolithus abisectus (>11 microns),Cyclicargolithus floridanus,Dictyococcites bisectus,Dictyococcites bisectus (>10 microns),Discoaster asymmetricus,Discoaster backmanii,Discoaster barbadiensis,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster brouweri,Discoaster deflandrei,Discoaster delicatus,Discoaster diastypus,Discoaster druggii,Discoaster exilis,Discoaster falcatus/nobilis,Discoaster hamatus,Discoaster kuepperi,Discoaster kugleri,Discoaster lodoensis,Discoaster loeblichii,Discoaster mohleri,Discoaster multiradiatus,Discoaster neohamatus,Discoaster pentaradiatus,Discoaster quinqueramus,Discoaster saipanensis,Discoaster signus,Discoaster sublodoensis,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster variabilis group,Ellipsolithus macellus,Emiliania huxleyi,Ericsonia cf. E. robusta,Ericsonia robusta,Fasciculithus alanii,Fasciculithus clinatus,Fasciculithus involutus,Fasciculithus lilianae,Fasciculithus pileatus,Fasciculithus richardii,Fasciculithus schaubi,Fasciculithus spp.,Fasciculithus tympaniformis,Fasciculithus ullii,Gephyrocapsa (<4 microns),Gephyrocapsa (>4 microns),Gephyrocapsa (>5.5 microns),Gephyrocapsa caribbeanica,Girgisia gammation,Helicosphaera ampliaperta,Helicosphaera carteri,Helicosphaera euphratis,Helicosphaera intermedia,Helicosphaera recta,Helicosphaera sellii,Helicosphaera stalis,Helicosphaera walbersdorfensis,Heliolithus cantabriae,Heliolithus kleinpellii,Heliolithus riedelii,Hughesius tasmaniae,Isthmolithus recurvus,Minylitha convallis,Nannotetrina  alata gr.,Nannotetrina cristata,Nannotetrina fulgens,Nannotetrina spp.,Neococcolithes dubius,Nicklithus amplificus,Orthorhabdus serratus,Prinsius bisulcus,Prinsius dimorphosus,Prinsius martinii,Prinsius tenuiculus,Pseudoemiliania lacunosa,Pseudoemiliania ovata,Pseudotriquetrorhabdulus inversus,Reticulofenestra asanoi,Reticulofenestra dictyoda (3–10 microns),Reticulofenestra pseudoumbilicus,Reticulofenestra pseudoumbilicus (>7 microns),Reticulofenestra pseudoumbilicus (5–7 microns),Reticulofenestra reticulata,Reticulofenestra umbilicus (>14 microns),Rhomboaster spp.,Sphenolithus akropodus,Sphenolithus anarrhopus,Sphenolithus belemnos,Sphenolithus capricornutus,Sphenolithus ciperoensis,Sphenolithus cuniculus,Sphenolithus delphix,Sphenolithus disbelemnos,Sphenolithus distentus,Sphenolithus furcatolithoides morph A,Sphenolithus furcatolithoides morph B,Sphenolithus heteromorphus,Sphenolithus moriformis gr.,Sphenolithus obtusus,Sphenolithus perpendicularis,Sphenolithus predistentus,Sphenolithus radians,Sphenolithus spiniger,Sphenolithus spp.,Sphenolithus strigosus,Toweius callosus,Toweius magnicrassus,Toweius pertusus,Tribrachiatus bramlettei,Tribrachiatus contortus,Tribrachiatus orthostylus,Triquetrorhabdulus carinatus,Triquetrorhabdulus longus,Triquetrorhabdulus rugosus,Zygrhablithus bijugatus,Reticulofenestra erbae,Reticulofenestra isabellae,Chiasmolithus bidens ,Toweius eminens,Toweius tovae,Discoaster salisburgensis,Lithoptychius vertebratoides,Zeugrhabdotus sigmoides,Neochiastozygus junctus,CREATACEOUS,Arkhangelskiella cymbiformis,Ceratolithoides kamptneri,Corollithion kennedyi,Cribrocorona gallica,Eiffellithus eximius,Eiffellithus turriseiffelii,Hayesites irregularis,Helenea chiastia,Lithastrinus grillii,Lithastrinus septenarius,Lithraphidites acutus,Lithraphidites quadratus,Micula murus,Nephrolithus frequens,Quadrum gartneri,Reinhardtites anthophorus,Reinhardtites levis,Tranolithus orionatus,Ship File Links,Shore File Links,File Data
371-U1508C-29R-CC-PAL-NANNO,0,10,636.08,636.18,NP15b,P,A,,,,,,,,,,,1,,,,,,,,,3,1,,R,,,,,4,,R,1,C,,,,,,,2,,,,,F,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,1,,,,,,,,,,,,,,,1,2,,,,,,,,,,,1,1,,F,,,,,3,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371-U1508C-30R-CC-PAL-NANNO,0,10,646.38,646.48,NP15b,P,A,,,,,,,,,,,1,1,,,,,,,,3,1,,F,,,,,2,,R,1,C,,,,,,,VR,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,R,,,,,,,,,,,,,,,,-,,,,,,,,,,,1,,,F,,,,,R,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371-U1508C-31R-2-W 60/60-NANNO,0,0,648.93,648.93,NP15b,P,A,B C. gigas B S. furcatolithoides A,,,,,,,,,,VR,,,,,,,,,2,R,,R,,,,,1,,R,2,C,,,,,,,VR,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,R,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,F,,,,VR,R,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371-U1508C-31R-CC-PAL-NANNO,0,10,655.06,655.16,NP15a,P,A,,,,,,,,,,,1,,,,,,,,,,VR,,R,,,,,,,R,1,C,,,,,,,2,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VR,R/F,,1,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,R,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371-U1508C-32R-CC-PAL-NANNO,0,10,663.46,663.56,NP15a,P,A,,,,,,,,,,,1,,,,,,,,,,VR,,R,1,,,,,,R,1,C,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,F,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,F,,,,VR,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371-U1508C-33R-CC-PAL-NANNO,0,10,666.51,666.61,NP15a,P,A,B N. fulgens,,,,,,,,,,VR,,,,,,,,,,VR,,R,2,,,,,,R,,C,,,,,,,,,,,,VR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,R/F,,,F,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,F,,,,VR,-,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371-U1508C-34R-2-W 55/55-NANNO,0,0,668.02,668.02,NP14b,P,A,,,,,,1cf,,,,,R,,,,,,,,,,,,R,,,,,3,,R,,C,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,R,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,F,,,,3,1,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371-U1508C-34R-CC-PAL-NANNO,0,10,669.74,669.84,NP14b,P,A,,,,,,4,,,,,VR,,,,,,,,,,VR,,R,,,,,,,R,1,C,,,,,,,,,,,,VR,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,R,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,F,,,,R,F,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371-U1508C-35R-CC-PAL-NANNO,0,10,680.41,680.51,NP14b,P,A,,,,,,,,,,,,,,,,,,,,,3,,3,,,1cf,,1,,4,,C,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,R,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,R,4,,,,4,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371-U1508C-36R-CC-PAL-NANNO,0,10,685.82,685.92,NP14b,P,C,B Nannotetrina spp.,,,,,,,,,,VR,,,,,,,,,,,,R,,,2,,,,4,,C,,,,,,,3,,,,,4,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,1,,,4,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,3,2,,,,3,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371-U1508C-37R-2-W 82/82-NANNO,0,0,687.84,687.84,NP14a?,P,F,TD. lodoensis,,,,,,,,,,VR,,,,,,,,,,,,R,,,1,,,,R,,F,,,,,,,,,,,,,,,,,,,,,,,,,,1cf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371-U1508C-37R-CC-PAL-NANNO,0,10,691.13,691.23,NP14a,P,A,,,,,,1cf,,,,,VR,,,,,,,,,,,,3,,,3,,1,,R,,F,,,,,,,,,,,,2,,,,,,,,,,,,R,,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,4,,,,,R,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371-U1508C-38R-CC-PAL-NANNO,0,10,701.82,701.92,NP14a,M/P,A,,,,,,,,,,,VR,,,,,,,,,,1,,R,,,,,1,,R,,C,,,,,,,,,,,,F,,,,,,,,,,,,F,,F,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,F,,,,,R/F,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
