Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum type,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Zone comment,Upper boundary age min [Ma],Upper boundary age av. [Ma],Upper boundary age max [Ma],Lower boundary age min [Ma],Lower boundary age av. [Ma],Lower boundary age max [Ma],Preservation,Group abundance,Percentage of planktic forams in total foram assemblage [%],?Acarinina spp.,?Morozovella spp.,Beella digitata,Candeina nitida,Cassigerinella chipolensis,Cassigerinella martinezpicoi,Catapsydrax dissimilis,Catapsydrax unicavus,Chiloguembelina cubensis ,Clavatorella bermudezi ,Dentoglobigerina altispira,Dentoglobigerina globosa,Dentoglobigerina sp.,Globigerina angulisuturalis,Globigerina bulloides,Globigerina ciperoensis,Globigerina druryi ,Globigerina euapertura,Globigerina falconensis,Globigerina gortanii ,Globigerina ouachitaensis ,Globigerina praebulloides,Globigerina pseudovenezuelana ,Globigerina quinqueloba,Globigerina rubescens (pink),Globigerina rubescens (white),Globigerina tapuriensis ,Globigerina tripartita,Globigerinatella insueta ,Globigerinella calida,Globigerinella obesa,Globigerinella siphonifera (aequilateralis),Globigerinita glutinata,Globigerinita uvula,Globigerinoides altiaperturus,Globigerinoides conglobatus ,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides obliquus,Globigerinoides primordius ,Globigerinoides ruber (pink),Globigerinoides ruber (white) ,Globigerinoides sacculifer,Globigerinoides sicanus,Globigerinoides subquadratus,Globigerinoides tenellus,Globigerinoides trilobus ,Globoquadrina baroemoenensis,Globoquadrina binaiensis,Globoquadrina dehiscens,Globoquadrina praedehiscens,Globoquadrina venezuelana,Globorotalia archeomenardii ,Globorotalia birnageae,Globorotalia cibaoensis ,Globorotalia continuousa,Globorotalia crassaformis,Globorotalia crassula ,Globorotalia decoraperta ,Globorotalia exilis ,Globorotalia fimbriata,Globorotalia flexuosa ,Globorotalia fohsi fohsi,Globorotalia hirsuta,Globorotalia inflata,Globorotalia juanai ,Globorotalia lenguaensis,Globorotalia limbata ,Globorotalia margaritae ,Globorotalia menardii ,Globorotalia merotumida,Globorotalia miotumida,Globorotalia miozea ,Globorotalia miozea/conoidea,Globorotalia multicamerata,Globorotalia peripheroacuta ,Globorotalia peripheroronda,Globorotalia pertenuis,Globorotalia plesiotumida ,Globorotalia praefohsi,Globorotalia praemenardii,Globorotalia praescitula,Globorotalia pseudomiocenica ,Globorotalia scitula,Globorotalia sp. ,Globorotalia tosaensis ,Globorotalia truncatulinoides ,Globorotalia tumida ,Globorotalia ungulata,Globorotaloides hexagona,Globorotaloides suteri,Globorotaloides variabilis,Globoturborotalita apertura,Globoturborotalita decoraperta ,Globoturborotalita nepenthes ,Globoturborotalita obliquus,Globoturborotalita woodi,Glogoturborotalita sp. ,Hantkenina alabamensis,Neogloboquadrina acostaensis,Neogloboquadrina continuosa,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina incompta,Neogloboquadrina pachyderma,Neogloboquadrina pachyderma (dextral) ,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina sp. ,Orbulina sp. ,Orbulina suturalis ,Orbulina universa ,Paragloborotalia kugleri,Paragloborotalia mayeri ,Paragloborotalia nana,Paragloborotalia opima,Paragloborotalia semivera,Paragloborotalia sp.,Praeorbulina circularis,Praeorbulina glomerosa,Praeorbulina sicana,Praeorbulina sp. ,Pseudohastigerina cf. naguewichiensis,Pseudohastigerina micra ,Pulleniatina obliquiloculata,Pulleniatina primalis,Pulleniatina sp.,Pulleniatina spectabilis ,Sphaeroidinella dehiscens ,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis sp.,Subbotina angiporoides ,Subbotina eocaena s.l.,Subbotina linaperta s.l. ,Subbotinal yeguaensis s.l.,Tenuitella gemma ,Tenuitella spp. N/A,Tenuitellinata angustiumbilicata,Turborotalia ampliapertura,Turborotalia cerroazulensis ,Turborotalia cocoaensis ,Turborotalia cunialensis,Turborotalia increbescens,Turborotalia pomeroli ,Turborotalita humilis,Comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
368-U1501C-35F-CC-PAL(16-21),0,5,240.08,240.13,,,,,,,,,,,,,,G [P32],C [A87],10,,,,,,,F [A88],,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],,P [A88],,,,P [A88],,,,,,F [A88],,,,,R [A88],,A [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A88],F [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,35,F,CC,P
368-U1501C-36F-CC-PAL(25-30),0,5,245.23,245.28,,,,,,,,,,,,,,M [P32],R [A87],10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A88],,,,,,,,,,F [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,36,F,CC,P
368-U1501C-37F-CC-PAL(25-30),0,5,249.3,249.35,,,,,,,,,,,,,,M [P32],A [A87],60,,,,,,,F [A88],,,,,,,,,,,,,,,R [A88],,,,,,,,,,,P [A88],,P [A88],,,,P [A88],,,,,,F [A88],,,,,,,A [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A88],A [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,37,F,CC,P
368-U1501C-38F-CC-PAL(23-28),0,5,253.47,253.52,,,,,,,,,,,,,,M [P32],A [A87],70,,,,,,,,,,,,,,,,,,,,,,F [A88],,,,,,,,,,,R [A88],,,,,,P [A88],,,,,,F [A88],,P [A88],,,R [A88],,A [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],F [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,38,F,CC,P
368-U1501C-39F-CC-PAL(25-30),0,5,256.81,256.86,,,,,,,,,,,,,,G [P32],A [A87],90,,,,,,,F [A88],,,,,,,,,,,,,,,F [A88],,,,,,,,,,,R [A88],,,,,,,,,,,,F [A88],,P [A88],,,R [A88],,D [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A88],A [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,39,F,CC,P
368-U1501C-40X-CC-PAL(15-20),0,5,265.3,265.35,Globigerina ciperoensis,T,,22.96,M1a [G12],"M1a - 'Paragloborotalia kugleri Lowest-occurrence Subzone (Gradstein et al., 2012)",,,22.44,,,22.96,,G [P32],A [A87],90,,,,,,,F [A88],,,,,,,,,,,,,,,F [A88],,,,,,,,,,,R [A88],,,,,,P [A88],,,,,,F [A88],,,,,R [A88],,R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,40,X,CC,P
368-U1501C-41X-CC-PAL(39-44),0,5,273.86,273.91,,,,,,,,,,,,,,G [P32],A [A87],90,,,,,,,F [A88],,,,,,,,,P [A88],,,,,,F [A88],,,,,,,,,,,R [A88],,,,,,P [A88],,,,,,F [A88],,,,,R [A88],,R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],,,,,,,,,,,P [A88],R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,41,X,CC,P
368-U1501C-42X-CC-PAL(26-31),0,5,283.41,283.46,,,,,,,,,,,,,,G [P32],A [A87],90,,,,,,,R [A88],,,,,,,,,P [A88],,,,,,F [A88],,,,,,,,,,,R [A88],,,,,,P [A88],,,,,,F [A88],,,,,R [A88],,R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A88],,,,,,,,,,,P [A88],R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,42,X,CC,P
368-U1501C-43X-CC-PAL(39-44),0,5,293.1,293.15,Paragloborotalia opima,T,,26.93,O6 [G12],"O6 - Globigerina ciperoensis Partial-range Zone (Gradstein et al., 2012)",,,25.21,,,26.93,,G [P32],A [A87],90,,,,,,,R [A88],,,,,,,,,R [A88],,,,,,F [A88],,,,,,,,,,,R [A88],,,,,,P [A88],,,,,,,,,,,R [A88],,R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A88],,,,,,,,,,,P [A88],R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,43,X,CC,P
368-U1501C-44X-CC-PAL(53-58),0,5,302.51,302.56,,,,,,,,,,,,,,G [P32],A [A87],90,,,,,,,P [A88],,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],,,,,,P [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,44,X,CC,P
368-U1501C-45X-CC-PAL(40-45),0,5,312.15,312.2,,,,,,,,,,,,,,P [P32],P [A87],10,,,,,,,P [A88],,,,,,,,,P [A88],,,,,,D [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,45,X,CC,P
368-U1501C-46X-CC-PAL(45-50),0,5,321.76,321.81,,,,,,,,,,,,,,P [P32],B [A87],5,,,,,,,,,,,,,,,,,,,,P [A88],,P [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,46,X,CC,P
368-U1501C-47X-CC-PAL(42-47),0,5,331.13,331.18,,,,,,,,,,,,,,P [P32],B [A87],5,,,,,,,P [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A88],,,,,,,,,,,368,U1501,C,47,X,CC,P
368-U1501C-48X-CC-PAL(43-48),0,5,340.41,340.46,Turborotalia cerroazulensis pomeroli,T,,37.75,E14 [G12],"E14 - Globigerinatheka semiinvoluta Highest-occurrence Zone (Gradstein et al., 2012)",,,36.18,,,38.25,,,B [A87],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A88],,,,,,,,,,,368,U1501,C,48,X,CC,P
368-U1501C-49X-CC-PAL(39-44),0,5,350.44,350.49,,,,,,,,,,,,,,,B [A87],1,P [A88],P [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],,,,,,,,,,,368,U1501,C,49,X,CC,P
368-U1501C-50X-CC-PAL(40-45),0,5,359.63,359.68,,,,,,,,,,,,,,,B [A87],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,50,X,CC,P
368-U1501C-51X-CC-PAL(34-39),0,5,369.93,369.98,,,,,,,,,,,,,,,B [A87],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,51,X,CC,P
368-U1501C-52X-CC-PAL(45-50),0,5,379.59,379.64,,,,,,,,,,,,,,,B [A87],1,,,,,,,,,,,,,,,,P [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,52,X,CC,P
368-U1501C-53X-CC-PAL(28-33),0,5,385.28,385.33,,,,,,,,,,,,,,,B [A87],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,53,X,CC,P
368-U1501C-54X-CC-PAL(37-42),0,5,398.74,398.79,,,,,,,,,,,,,,M [P32],B [A87],5,,,,,,,P [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,54,X,CC,P
368-U1501C-55X-CC-PAL(36-41),0,5,408.25,408.3,,,,,,,,,,,,,,,B [A87],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,55,X,CC,P
368-U1501C-56X-CC-PAL(28-33),0,5,417.8,417.85,,,,,,,,,,,,,,,B [A87],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,56,X,CC,P
368-U1501C-57X-CC-PAL(46-51),0,5,427.57,427.62,,,,,,,,,,,,,,,B [A87],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,57,X,CC,P
368-U1501C-58X-CC-PAL(35-40),0,5,437.07,437.12,,,,,,,,,,,,,,,B [A87],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,58,X,CC,P
368-U1501C-59X-CC-PAL(32-37),0,5,446.65,446.7,,,,,,,,,,,,,,,B [A87],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,59,X,CC,P
368-U1501C-60X-CC-PAL(25-30),0,5,447.92,447.97,,,,,,,,,,,,,,,B [A87],1,,,,,,,,,,,,,,,,P [A88],,,,,,R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,60,X,CC,P
368-U1501C-61X-CC-PAL(35-40),0,5,452.97,453.02,,,,,,,,,,,,,,,B [A87],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,61,X,CC,P
368-U1501C-62X-CC-PAL(8-13),0,5,457.78,457.83,,,,,,,,,,,,,,,B [A87],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,62,X,CC,P
