Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum name generic,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Zone comment,Upper boundary age av. [Ma],Lower boundary age av. [Ma],Group abundance,Preservation,Fragmentation,Percentage of planktic forams in total foram assemblage [%],Fragmentation rank [auto-pop],Terrestrial organic matter,Pyrite,"Reworking comment (1= <1%, 2=light 1-10%, 3= >10%)",Aspect comment (etching),Comment (general),Acarinina alticonica,Acarinina bullbrooki,Acarinina collactea,Acarinina primitiva,Beella digitata,Candeina nitida,Cassigerinella chipolensis,Cassigerinella martinezpicoi,Catapsydrax dissimilis,Chiloguembelina cubensis,Clavatorella bermudezi,Cribrohantkenina inflata,Dentoglobigerina altispira,Dentoglobigerina baroemoenensis,Dentoglobigerina globularis,Dentoglobigerina juxtabinaiensis,Dentoglobigerina sp.,Dentoglobigerina tripartita,Dentoglobigerina venezuelana,Fohsella birnageae,Fohsella fohsi,Fohsella peripheroacuta,Fohsella peripheroronda,Fohsella praefohsi,Fohsella robusta,Globigeriantella insueta,Globigerina angulisuturalis,Globigerina bulloides,Globigerina ciperoensis,Globigerina euapertura,Globigerina falconensis,Globigerina rubescens,Globigerina woodi,Globigerinatella sp.,Globigerinatheka barri,Globigerinatheka index,Globigerinella aequilateralis,Globigerinella calida,Globigerinella praesiphonifera,Globigerinella radians,Globigerinella siphonifera,Globigerinita glutinata,Globigerinita uvula,Globigerinoides altiapertura,Globigerinoides bollii,Globigerinoides bulloideus,Globigerinoides conglobatus,Globigerinoides diminutus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides immaturus,Globigerinoides obliquus,Globigerinoides primordius,Globigerinoides pyramidalis,Globigerinoides quadrilobatus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides ruber s.s.,"Globigerinoides ruber s.l. Wang, 2000",Globigerinoides sacculifer,Globigerinoides sacculifer (without sac),Globigerinoides seigliei,Globigerinoides subquadratus,Globigerinoides trilobus,Globoquadrina binaiensis,Globoquadrina dehiscens,Globorotalia archeomenardii,Globorotalia challengeri,Globorotalia cibaoensis,Globorotalia crassaformis,Globorotalia crassula,Globorotalia exilis,Globorotalia flexuosa,Globorotalia hirsuta,Globorotalia humerosa,Globorotalia incognita,Globorotalia inflata,Globorotalia juanai,Globorotalia lenguaensis,Globorotalia limbata,Globorotalia margaritae,Globorotalia menardii,Globorotalia merotumida,Globorotalia miozea,Globorotalia multicamerata,Globorotalia pertenuis,Globorotalia plesiotumida,Globorotalia praemenardii,Globorotalia praescitula,Globorotalia pseudomiocenica,Globorotalia puncticulata,Globorotalia scitula,Globorotalia theyeri,Globorotalia tosaensis,Globorotalia truncatulinoides,Globorotalia tumida,Globorotalia ungulata,Globorotalia zealandica,Globorotaloides hexagona,Globorotaloides quadrocameratus,Globoturborotalita apertura,Globoturborotalita decoraperta,Globoturborotalita nepenthes,Globoturborotalita rubescens,Globoturborotalita tenella,Globoturborotalita woodi,Neogloboquadrina acostaensis,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina nympha,Orbulina bilobata,Orbulina suturalis,Orbulina universa,Paragloborotalia kugleri,Paragloborotalia mayeri,Paragloborotalia sp.,Planorotalites palmerae,Planorotalites spp.,Praeorbulina circularis,Praeorbulina curva,Praeorbulina glomerosa,Praeorbulina sicana,Pulleniatina (D),Pulleniatina (S),Pulleniatina finalis,Pulleniatina obliquiloculata,Pulleniatina primalis,Pulleniatina spectabilis,Sphaeroidinella dehiscens,Sphaeroidinella excavata,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis subdehiscens,Subbotina eocaena,Subbotina gortanii,Tenuitella gemma,Tenuitella munda,Tenuitellinata juvenilis,Turborotalita humilis,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
356-U1462C-121R-CC-PAL-FORAM-150-2000,0,5,625.02,625.07,,,,,,,,,,R [A101],P [P39],S [F02],30,3,,,,,Ostracod (R),,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,P [A109],,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1462,C,121,R,CC,P
356-U1462C-125R-CC-PAL-FORAM-150-2000,0,5,641.78,641.83,,,,,,,,,,F [A101],P [P39],S [F02],40,3,,present [A79],,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,P [A109],,,,,,,,,,,,P [A109],,,P [A109],,,,,,P [A109],,,,,,,,,,,P [A109],P [A109],,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,P [A109],,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1462,C,125,R,CC,P
356-U1462C-129R-CC-PAL-FORAM-150-2000,0,5,664.41,664.46,,,,,,,,,,R [A101],P [P39],S [F02],50,3,,,,,Ostracod (P),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,P [A109],,,P [A109],,,,,,,,,P [A109],,,P [A109],,,,,,,,,P [A109],,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1462,C,129,R,CC,P
356-U1462C-133R-CC-PAL-FORAM-150-2000,0,5,684.24,684.29,,,T Pulleniatina primalis (sin),,,,T Pulleniatina primalis (sin),,,F [A101],M [P39],S [F02],70,3,,,,,Ostracod (P),,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,P [A109],,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,P [A109],P [A109],,,,,,,,,P [A109],,,,,P [A109],,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,P [A109],,,,,,,,,,,356,U1462,C,133,R,CC,P
356-U1462C-135R-CC-PAL-FORAM-150-2000,0,7,703.74,703.81,,,,,,,,,,F [A101],M [P39],S [F02],70,3,,,,,Ostracod (R),,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,P [A109],,,P [A109],,,,,,,,,,,,,,,,P [A109],,P [A109],,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,356,U1462,C,135,R,CC,P
356-U1462C-137R-CC-PAL-FORAM-150-2000,0,5,723.74,723.79,,,,,,,,,,F [A101],P [P39],,40,,,,,,Ostracod (P),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,P [A109],P [A109],P [A109],,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1462,C,137,R,CC,P
356-U1462C-139R-CC-PAL-FORAM-150-2000,0,10,742.66,742.76,,,,,,,,,,F [A101],M [P39],,70,,,,,,Ostracod (C),,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,P [A109],,,,,,,,,P [A109],,,P [A109],,,,,,,,,,,,,,,,,P [A109],,,,P [A109],,P [A109],,,,,,,,,,,,,,P [A109],,,,,,P [A109],,,,,,P [A109],,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,356,U1462,C,139,R,CC,P
356-U1462C-141R-CC-PAL-FORAM-150-2000,0,5,759.59,759.64,,,,,,,,,,R [A101],P [P39],,60,,,,,,Ostracod (P); sponge spicules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,P [A109],,,P [A109],,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1462,C,141,R,CC,P
356-U1462C-143R-CC-PAL-FORAM-150-2000,0,5,778.07,778.12,,,,,,,,,,F [A101],P [P39],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,P [A109],,,,,,,,,,,,,,P [A109],,,,,,,P [A109],,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1462,C,143,R,CC,P
356-U1462C-145R-CC-PAL-FORAM-150 2000,0,5,786.62,786.67,,,,,,,,,,F [A101],P [P39],,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,P [A109],,,P [A109],,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1462,C,145,R,CC,P
356-U1462C-149R-CC-PAL-FORAM-150-2000,0,5,809.1,809.15,,,,,,,,,,F [A101],P [P39],S [F02],50,3,,,,,Ostracod (P),,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,P [A109],,,,,,P [A109],,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1462,C,149,R,CC,P
356-U1462C-153R-CC-PAL-FORAM-150-2000,0,5,827.6,827.65,,,,,,,,,,R [A101],P [P39],S [F02],60,3,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,P [A109],,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,P [A109],P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1462,C,153,R,CC,P
356-U1462C-157R-CC-PAL-FORAM-150-2000,0,5,844.64,844.69,,,,,,,,,,B [A101],,,,,,,,,100% sugary grains,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1462,C,157,R,CC,P
356-U1462C-161R-CC-PAL-FORAM-150-2000,0,5,862.4,862.45,,,,,,,,,,B [A101],,,,,,,,,80% non-rounded quartz grains,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1462,C,161,R,CC,P
356-U1462C-165R-CC-PAL-FORAM-150 2000,0,5,882.88,882.93,,,,,,,,,,B [A101],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1462,C,165,R,CC,P
356-U1462C-169R-CC-PAL-FORAM-150 2000,0,3,901.67,901.7,,,,,,,,,,B [A101],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1462,C,169,R,CC,P
356-U1462C-173R-CC-PAL-FORAM-150-2000,0,5,921.36,921.41,,,,,,,,,,VR [101],P [P39],,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,P [A109],,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1462,C,173,R,CC,P
356-U1462C-177R-CC-PAL-FORAM-150-2000,0,5,942.35,942.4,,,,,,,,,,B [A101],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1462,C,177,R,CC,P
