leg,site,hole,core,section,top interval depth (cm),bottom interval depth (cm),top of core depth(m),top of layer depth (m),bottom of layer depth (m), describer,lithology,color,structures,deformations due to drilling,unusual occurrences,minerals,paleontology,other observations,hardness or induration,z-coding
16,155,,6,1,65.0,110.0,479.00,479.65,480.10,, NANNO CLAYSTONE," 5GY3/2-GREYISH OLIVE GREEN,10YR3/2-DK TO DUSKY YELLOWISH BROWN", 10YR3/2 PYRITIC CLAYSTON E MOTTLING,, P YRITIC CLAYSTONE MOTTLING, PYR,,, INDURATED, 33231000.1210
16,155,,6,1,110.0,150.0,479.00,480.10,480.50,, NANNO MARL," 5GY5/2-DUSKY YELLOW GREEN,5GY6/2-GREYISH TO DUSKY YELLOW GREEN",,,,,,, SEMI-INDURATED, 12211210
16,155,,6,2,0.0,10.0,479.00,480.50,480.60,, PYRITIC CLAYSTONE," 10Y2/2-DUSKY YELLO WISH BROWN,5Y4/1-OLIVE GREY", MOTTLED IN 5Y4/1,,, PYR ITE,,, INDURATED, 33231000.3551
16,155,,6,2,10.0,125.0,479.00,480.60,481.75,, NANNO CLAYSTONE," 5Y4/1-OLIVE GREY,5GY 5/1-GREENISH GREY,5GY5/2-DUSKY YELLOW GREEN,5GY6/2-G REYISH TO DUSKY YELLOW GREEN,N4-MED.DK.GREY"," 10-25 CM 5Y4/1 WITH 5GY5/1 MOTTLES,25-90 CM 5GY5/2 WITH 5G Y6/2 MOTTLES,90-100 CM WAXY N4,100-125 CM 5GY5/1 OBS CURELY MOTTLED",,,,,, INDURATED, 33231000.1210
16,155,,6,2,125.0,138.0,479.00,481.75,481.88,, NANNO CHALK," 5GY7/2-GREYISH YELL OW GREEN,5GY6/2-DK TO DUSKY YELLOW GREEN", MOTTLES 5 GY6/2,,,,,, SEMI-INDURATED, 11121210
16,155,,6,2,138.0,150.0,479.00,481.88,482.00,, NANNO CLAYSTONE, 5GY4/2-DUSKY YELLOW TO GREYISH OLIVE GREEN,,,,,,, INDURATED, 33231000.1210
16,155,,6,3,0.0,50.0,479.00,482.00,482.50,, CLAYSTONE," 5GY4/1-DK.GREENI SH GREY,5GY4/1-DUSKY YELLOW GREEN"," MOTTLED WITH 5GY 4/1,GRADATIONAL LOWER CONTACT",,,, ?NANNOS,, INDURATED, 33231000
16,155,,6,3,50.0,85.0,479.00,482.50,482.85,, NANNO MARL," 5GY6/2-GREYISH TO DUSKY YELLOW GREEN,5GY5/1-MED.GREENISH GREY"," SUBHORIZONTAL SHARP LOWER CONTACT,MOTTLING IS 5GY5/1",,,,,, SEMI-INDURATED, 12211210
16,155,,6,3,85.0,90.0,479.00,482.85,482.90,, PYRITIC CLAYSTONE, N4-MED.DK.GREY, SUBHORIZONTA L SHARP LOWER CONTACT,,, PYR,,, INDURATED, 33231000.3551
16,155,,6,3,90.0,102.0,479.00,482.90,483.02,, NANNO MARL," 5GY6/2-GREYISH TO -DUSKY YELLOW GREEN,5GY5/1-MED.GREENISH GREY"," SUBHORIZONTAL SHARP LOWER CONTACT,MOTTLING IS 5GY5/1",,,,,, SEMI-INDURATED, 12211210
16,155,,6,3,102.0,107.0,479.00,483.02,483.07,, PYRITIC CLAYSTONE, N4-MED.DK.GREY, SUBHORIZONTA L SHARP LOWER CONTACT,,, PYR,,, INDURATED, 33231000.3551
16,155,,6,3,107.0,120.0,479.00,483.07,483.20,, NANNO MARL," 5GY6/2-GREYISH TO DUSKY YE LLOW GREEN,5GY5/1-MED.GREENISH GREY"," HORIZONTAL BASAL CON TACT,MOTTLING IS 5GY5/1",,,,,, SEMI-INDURATED, 12211210
16,155,,6,3,120.0,133.0,479.00,483.20,483.33,, CLAYSTONE, 5Y5/1-MED.OLIVE GREY, HORIZONTAL LOWE R CONTACT,,,, ? NANNOS,, INDURATED, 33231000
16,155,,6,3,133.0,150.0,479.00,483.33,483.50,, NANNO MARL, 5GY6/1-GREENISH GREY,,,,,,, SEMI-INDURATED, 12211210
16,155,,6,4,5.0,65.0,479.00,483.55,484.15,, NANNO MARL," 5GY5/2-DUSKY YELLOW GREEN,5Y4/1-OLIVE GREY", MOTTLED IN 5Y4/1, MOD.DEFO RMED 53-59 CM,,,,, SEMI-INDURATED, 12211210
16,155,,6,4,65.0,105.0,479.00,484.15,484.55,, CLAYSTONE," 5GY6/2-GREYISH TO DUSKY YELLOW,5Y4/1-OLIVE GREY"," BANDED WITH 5Y4/1 L AMINA,0.4 MM THICK BARITE STRINGERS AT 75-105 CM",, B ARITE STRINGERS, BARITE,,, INDURATED, 33231000
16,155,,6,4,105.0,150.0,479.00,484.55,485.00,, NANNO CHALK," 5G7/1-LT.GREENISH T O GREENISH GREY,5Y4/1-OLIVE GREY", FEW 5Y4/1 LAMINA, MOD.DEFORMATION 145-149 CM,,,,, SEMI-INDURATED, 11121210
16,155,,7,1,30.0,150.0,488.00,488.30,489.50,, NANNO CHALK," 5G7/1-LT.GREENISH T O GREENISH GREY,5Y4/1-OLIVE GREY"," NO REA MOTTLING,F EW 5Y4/1 LAMINA", MODERATELY DEFORMED 35-120 CM,,,,, SEMI-INDURATED, 11121210
16,155,,7,2,0.0,150.0,488.00,489.50,491.00,, NANNO CHALK," N8-V.LT.GREY,N7-LT. GREY,5Y4/1-OLIVE GREY,5Y6/1-LT.OLIVE GREY"," 0-72 CM N8 TO N7 WITH A FEW 5Y4 /1 LAYERS,72-150 CM MASSIVE 5Y6/1", MOD.DEFO RMED 0-15/35-45 CM, 72-150 CM NUMERO US SILT-SIZED DOLO.RHOMBS, DOLO.RHOMBS,,, WELL-INDURATED, 11121210
