path,type,expedition,site,taxon_group
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/160/963/HOLE_A/Age_Model_Shipboard.csv,age,160,963,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/160/964/HOLE_A/Age_Model_Shipboard.csv,age,160,964,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/160/968/HOLE_A/Age_Model_Shipboard.csv,age,160,968,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/160/966/HOLE_A/Age_Model_Shipboard.csv,age,160,966,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/160/967/HOLE_A/Age_Model_Shipboard.csv,age,160,967,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/160/969/HOLE_A/Age_Model_Shipboard.csv,age,160,969,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/160/973/HOLE_A/Age_Model_Shipboard.csv,age,160,973,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/145/887/HOLE_C/Age_Model_Post_Moratorium.csv,age,145,887,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/145/887/HOLE_A/Age_Model_Post_Moratorium.csv,age,145,887,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/145/881/HOLE_B/Age_Model_Post_Moratorium.csv,age,145,881,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/145/881/HOLE_C/Age_Model_Post_Moratorium.csv,age,145,881,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/145/884/HOLE_B/Age_Model_Post_Moratorium.csv,age,145,884,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/145/884/HOLE_C/Age_Model_Post_Moratorium.csv,age,145,884,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/145/883/HOLE_B/Age_Model_Post_Moratorium.csv,age,145,883,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/145/882/HOLE_B/Age_Model_Post_Moratorium.csv,age,145,882,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/145/882/HOLE_A/Age_Model_Post_Moratorium.csv,age,145,882,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/116/719/HOLE_A/Age_Model_Initial_Report.csv,age,116,719,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/116/719/HOLE_A/Age_Model_Post_Moratorium.csv,age,116,719,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/116/717/HOLE_C/Age_Model_Initial_Report.csv,age,116,717,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/116/717/HOLE_C/Age_Model_Post_Moratorium.csv,age,116,717,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/116/718/HOLE_E/Age_Model_Initial_Report.csv,age,116,718,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/116/718/HOLE_C/Age_Model_Post_Moratorium.csv,age,116,718,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/111/677/HOLE_B/Age_Model_Post_Moratorium.csv,age,111,677,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/111/677/HOLE_A/Age_Model_Initial_Report.csv,age,111,677,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/111/677/HOLE_A/Age_Model_Post_Moratorium.csv,age,111,677,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/127/797/HOLE_B/Age_Model_Initial_Report.csv,age,127,797,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/127/797/HOLE_B/Age_Model_Post_Moratorium.csv,age,127,797,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/127/796/HOLE_B/Age_Model_Initial_Report.csv,age,127,796,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/127/794/HOLE_B/Age_Model_Initial_Report.csv,age,127,794,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/127/794/HOLE_A/Age_Model_Post_Moratorium.csv,age,127,794,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/127/795/HOLE_B/Age_Model_Initial_Report.csv,age,127,795,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/127/795/HOLE_A/Age_Model_Initial_Report.csv,age,127,795,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/127/795/HOLE_A/Age_Model_Post_Moratorium.csv,age,127,795,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/120/747/HOLE_B/Age_Model_Post_Moratorium.csv,age,120,747,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/120/747/HOLE_C/Age_Model_Initial_Report.csv,age,120,747,
