Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Reticulofenestra umbilica	Reticulofenestra dictyoda	Coccolithus formosus	Chiasmolithus solitus	Chiasmolithus grandis	Zygrhablithus bijugatus	Discoaster saipanensis	Dictyococcites bisectus	Cribrocentrum reticulatum	Coccolithus eopelagicus	Chiasmolithus oamaruensis	Chiasmolithus expansus	Sphenolithus moriformis	Discoaster nodifer	Discoaster barbadiensis	Isthmolithus recurvus	Dictyococcites scrippsae	Chiasmolithus altus	Discoaster tanii ornatus	Coccolithus pelagicus	Clausicoccus subdistichus	Cyclicargolithus floridanus	Cyclicargolithus abisectus	Dictyococcites antarcticus	Braarudosphaera bigelowii	Helicosphaera euphratis	Sphenolithus capricornutus	Micrantholithus entaster	Discoaster tanii	Discoaster deflandrei	Coccolithus miopelagicus	Rhabdosphaera procera	Calcidiscus leptoporus	Helicosphaera carteri	Sphenolithus belemnos	Sphenolithus heteromorphus	Scyphosphaera spp.	Reticulofenestra pseudoumbilicus	Discoaster variabilis	Calcidiscus premacintyrei	Triquetrorhabdulus rugosus	Sphenolithus abies	Discoaster exilis	Coronocyclus nitescens	Reticulofenestra minuta	Helicosphaera rhomba	Calcidiscus macintyrei	Reticulofenestra gelida	Reticulofenestra haqii	Minylitha convallis	Discoaster pentaradiatus	Discoaster neohamatus	Discoaster brouweri	Sphenolithus neoabies	Amaurolithus ninae	Discoaster surculus	Discoaster quinqueramus	Amaurolithus tricorniculatus	Rhabdosphaera clavigera	Discoaster triradiatus	Pseudoemiliania lacunosa	Dictyococcites productus	Small Gephyrocapsa spp.	Pontosphaera japonica	Umbilicosphaera sibogae	Syracosphaera pulchra	Scapholithus fossilis	Rhabdosphaera stylifera	Helicosphaera kamptneri	Gephyrocapsa aperta	Reticulofenestra minutula	Oolithotus fragilis	Gephyrocapsa caribbeanica	Comment

  IR	                 	                 	                  	NN6           	182	1134	A	 15	X	CC	  16.00	    130.9400	Shafik   	Nannofossils                                 	C              	M                 	                         	                         	                    	                     	                     	                       	                      	                       	                         	                       	                         	                      	                       	                  	                       	                     	                        	                   	                        	F                    	                         	A                          	                          	C                         	F                        	                       	                          	                        	                	                     	                        	                     	F                     	F                    	                     	                          	F                 	C                               	C                    	C                        	F                         	                  	F                	                      	C                      	                    	C                     	C                      	                      	                   	                        	                     	                   	                     	                  	                   	                       	                            	                       	                      	                        	                        	                       	                     	                       	                     	                     	                       	                       	                   	                         	                   	                         	       

  IR	                 	Middle Miocene   	NN6               	NN6           	182	1134	A	 16	X	CC	  30.00	    137.7100	Shafik   	Nannofossils                                 	C              	M                 	                         	                         	                    	                     	                     	                       	                      	                       	                         	                       	                         	                      	                       	                  	                       	                     	                        	                   	                        	C                    	                         	A                          	                          	C                         	C                        	                       	                          	                        	                	R                    	                        	                     	F                     	F                    	                     	                          	                  	C                               	F                    	F                        	                          	                  	F                	                      	C                      	R                   	F                     	                       	                      	                   	                        	                     	                   	                     	                  	                   	                       	                            	                       	                      	                        	                        	                       	                     	                       	                     	                     	                       	                       	                   	                         	                   	                         	       

  IR	Early Miocene    	Middle Miocene   	NN4               	NN5           	182	1134	A	 17	X	CC	  31.00	    144.1700	Shafik   	Nannofossils                                 	C              	M                 	                         	                         	                    	                     	                     	                       	                      	                       	                         	                       	                         	                      	C                      	                  	                       	                     	                        	                   	                        	                     	                         	A                          	                          	C                         	C                        	                       	                          	                        	                	                     	                        	                     	F                     	C                    	                     	C                         	                  	F                               	C                    	F                        	R                         	F                 	F                	R                     	                       	                    	                      	                       	                      	                   	                        	                     	                   	                     	                  	                   	                       	                            	                       	                      	                        	                        	                       	                     	                       	                     	                     	                       	                       	                   	                         	                   	                         	       

  IR	Early Miocene    	Middle Miocene   	NN4               	NN5           	182	1134	A	 18	X	CC	   0.00	    147.1000	Shafik   	Nannofossils                                 	C              	M                 	                         	                         	                    	                     	                     	                       	                      	                       	                         	                       	                         	                      	F                      	                  	                       	                     	                        	                   	                        	                     	                         	A                          	                          	                          	                         	                       	                          	                        	                	F                    	                        	                     	F                     	F                    	                     	F                         	F                 	F                               	F                    	F                        	                          	                  	                 	                      	                       	                    	                      	                       	                      	                   	                        	                     	                   	                     	                  	                   	                       	                            	                       	                      	                        	                        	                       	                     	                       	                     	                     	                       	                       	                   	                         	                   	                         	       

  IR	                 	Early Miocene    	NN3               	NN3           	182	1134	A	 19	X	CC	  29.00	    162.8400	Shafik   	Nannofossils                                 	F              	M                 	                         	                         	                    	                     	                     	                       	                      	                       	                         	                       	                         	                      	F                      	                  	                       	                     	                        	                   	                        	                     	                         	C                          	                          	                          	                         	F                      	                          	                        	                	                     	                        	                     	                      	                     	F                    	                          	                  	                                	                     	                         	                          	                  	                 	                      	                       	                    	                      	                       	                      	                   	                        	                     	                   	                     	                  	                   	                       	                            	                       	                      	                        	                        	                       	                     	                       	                     	                     	                       	                       	                   	                         	                   	                         	       
