Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),,Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zeugrhabdotus embergeri,Watznaueria barnesae,Tranolithus orionatus,Reinhardtites levis,Quadrum gartneri,Prediscosphaera cretacea,Prediscosphaera columnata,Micula staurophora,Manivitella pemmatoidea,Loxolithus armilla,Eiffellithus turriseiffelii,Eiffellithus eximius,Cylindralithus nudus,Cretarhabdus crenulatus,Cretarhabdus conicus,Assipetra terebrodentarius,Aspidolithus parcus parcus,Arkhangelskiella cymbiformis,Uniplanarius gothicus,Tranolithus gabalus,Lucianorhabdus quadrifidus,Aspidolithus parcus ssp. Expansus,Aspidolithus parcus constrictus,Ceratolithoides aculeus,Prediscosphaera spinosa,Lucianorhabdus arcuatus,Calculites obscurus,Dictyococcites bisectus,Cyclicargolithus floridanus,Sphenolithus heteromorphus,Discoaster exilis,Discoaster deflandrei,Coccolithus miopelagicus,Calcidiscus premacintyrei,Reticulofenestra pseudoumbilicus,Discoaster variabilis,Discoaster hamatus,Discoaster brouweri,Catinaster coalitus,Discoaster pentaradiatus,Minylitha convallis,Discoaster triradiatus,Discoaster challengeri,Discoaster berggrenii,Calcidiscus macintyrei,Discoaster loeblichii,Discoaster bergenii,Discoaster surculus,Calcidiscus tropicus,Amaurolithus spp.,Amaurolithus primus,Amaurolithus amplificus,Discoaster quinqueramus,Ceratolithus cristatus,Gephyrocapsa margerelii,Discoaster asymmetricus,Discoaster tamalis,Pseudoemiliania lacunosa,Discoaster prepentaradiatus,Gephyrocapsa caribbeanica,Reticulofenestra asanoi,Gephyrocapsa oceanica,Helicosphaera sellii,Helicosphaera carteri,Gephyrocapsa parallela,Gephyrocapsa aperta,Emiliania huxleyi,Coccolithus pelagicus (with bar),Coccolithus pelagicus,Ceratolithus acutus,Calcidiscus leptoporus,Calcidiscus carlae,Syracosphaera spp.,Pontosphaera spp.,Comment
  IR,                 ,                 ,CN9c              ,CN9c          ,,198,1208,A, 25,X,CC,   8.00,    224.5900,nannos   ,Nannofossils                                 ,A              ,M                 ,                       ,                    ,                     ,                   ,                ,                        ,                         ,                  ,                       ,                  ,                           ,                    ,                    ,                       ,                    ,                          ,                          ,                            ,                     ,                   ,                          ,                                 ,                               ,                       ,                       ,                       ,                   ,                       ,                           ,                          ,                 ,                     ,                        ,                         ,C                               ,                     ,                  ,                   ,                   ,C                       ,                   ,                      ,                      ,                     ,                      ,                     ,                   ,F                  ,                    ,R                ,R                  ,R                      ,                       ,                      ,                       ,                       ,                  ,                        ,                           ,                         ,                       ,                     ,                    ,                     ,                      ,                   ,                 ,                                ,                     ,                   ,                      ,                  ,                  ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN9b              ,CN9b          ,,198,1208,A, 26,X,CC,  12.00,    235.5200,nannos   ,Nannofossils                                 ,A              ,M                 ,                       ,                    ,                     ,                   ,                ,                        ,                         ,                  ,                       ,                  ,                           ,                    ,                    ,                       ,                    ,                          ,                          ,                            ,                     ,                   ,                          ,                                 ,                               ,                       ,                       ,                       ,                   ,                       ,                           ,                          ,                 ,                     ,                        ,                         ,C                               ,C                    ,                  ,                   ,                   ,C                       ,                   ,R                     ,                      ,                     ,                      ,                     ,                   ,R                  ,R                   ,R                ,R                  ,                       ,                       ,                      ,                       ,                       ,                  ,                        ,                           ,                         ,                       ,                     ,                    ,                     ,                      ,                   ,                 ,                                ,                     ,                   ,                      ,                  ,                  ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN9a              ,CN9a          ,,198,1208,A, 27,X,CC,   8.00,    246.1400,nannos   ,Nannofossils                                 ,A              ,P                 ,                       ,                    ,                     ,                   ,                ,                        ,                         ,                  ,                       ,                  ,                           ,                    ,                    ,                       ,                    ,                          ,                          ,                            ,                     ,                   ,                          ,                                 ,                               ,                       ,                       ,                       ,                   ,                       ,                           ,                          ,                 ,                     ,                        ,                         ,C                               ,C                    ,                  ,C                  ,                   ,R                       ,                   ,R                     ,F                     ,F                    ,R                     ,R                    ,R                  ,                   ,                    ,                 ,                   ,                       ,                       ,                      ,                       ,                       ,                  ,                        ,                           ,                         ,                       ,                     ,                    ,                     ,                      ,                   ,                 ,                                ,                     ,                   ,                      ,                  ,                  ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN9a              ,CN9a          ,,198,1208,A, 28,X,CC,  23.00,    256.7100,nannos   ,Nannofossils                                 ,A              ,M                 ,                       ,                    ,                     ,                   ,                ,                        ,                         ,                  ,                       ,                  ,                           ,                    ,                    ,                       ,                    ,                          ,                          ,                            ,                     ,                   ,                          ,                                 ,                               ,                       ,                       ,                       ,                   ,                       ,                           ,                          ,                 ,                     ,                        ,                         ,C                               ,C                    ,                  ,C                  ,                   ,R                       ,F                  ,R                     ,F                     ,R                    ,R                     ,                     ,                   ,                   ,                    ,                 ,                   ,                       ,                       ,                      ,                       ,                       ,                  ,                        ,                           ,                         ,                       ,                     ,                    ,                     ,                      ,                   ,                 ,                                ,                     ,                   ,                      ,                  ,                  ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN8b              ,CN8b          ,,198,1208,A, 29,X,CC,  24.00,    265.9400,nannos   ,Nannofossils                                 ,A              ,P                 ,                       ,                    ,                     ,                   ,                ,                        ,                         ,                  ,                       ,                  ,                           ,                    ,                    ,                       ,                    ,                          ,                          ,                            ,                     ,                   ,                          ,                                 ,                               ,                       ,                       ,                       ,                   ,                       ,                           ,                          ,R                ,                     ,                        ,                         ,C                               ,C                    ,                  ,F                  ,                   ,R                       ,                   ,                      ,                      ,                     ,                      ,                     ,                   ,                   ,                    ,                 ,                   ,                       ,                       ,                      ,                       ,                       ,                  ,                        ,                           ,                         ,                       ,                     ,                    ,                     ,                      ,                   ,                 ,                                ,                     ,                   ,                      ,                  ,                  ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN7               ,CN7           ,,198,1208,A, 30,X,CC,  24.00,    274.2000,nannos   ,Nannofossils                                 ,               ,                  ,                       ,                    ,                     ,                   ,                ,                        ,                         ,                  ,                       ,                  ,                           ,                    ,                    ,                       ,                    ,                          ,                          ,                            ,                     ,                   ,                          ,                                 ,                               ,                       ,                       ,                       ,                   ,                       ,                           ,                          ,                 ,                     ,                        ,                         ,A                               ,R                    ,R                 ,R                  ,R                  ,                        ,                   ,                      ,                      ,                     ,                      ,                     ,                   ,                   ,                    ,                 ,                   ,                       ,                       ,                      ,                       ,                       ,                  ,                        ,                           ,                         ,                       ,                     ,                    ,                     ,                      ,                   ,                 ,                                ,                     ,                   ,                      ,                  ,                  ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN5b              ,CN5a          ,,198,1208,A, 31,X,CC,  27.00,    285.0600,nannos   ,Nannofossils                                 ,A              ,P                 ,                       ,                    ,                     ,                   ,                ,                        ,                         ,                  ,                       ,                  ,                           ,                    ,                    ,                       ,                    ,                          ,                          ,                            ,                     ,                   ,                          ,                                 ,                               ,                       ,                       ,                       ,                   ,                       ,                           ,                          ,                 ,F                    ,F                       ,R                        ,A                               ,R                    ,                  ,                   ,                   ,                        ,                   ,                      ,                      ,                     ,                      ,                     ,                   ,                   ,                    ,                 ,                   ,                       ,                       ,                      ,                       ,                       ,                  ,                        ,                           ,                         ,                       ,                     ,                    ,                     ,                      ,                   ,                 ,                                ,                     ,                   ,                      ,                  ,                  ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN5b              ,CN5a          ,,198,1208,A, 32,X,CC,  25.00,    295.4100,nannos   ,Nannofossils                                 ,A              ,M                 ,                       ,                    ,                     ,                   ,                ,                        ,                         ,                  ,                       ,                  ,                           ,                    ,                    ,                       ,                    ,                          ,                          ,                            ,                     ,                   ,                          ,                                 ,                               ,                       ,                       ,                       ,                   ,                       ,F                          ,                          ,                 ,F                    ,F                       ,F                        ,A                               ,                     ,                  ,                   ,                   ,                        ,                   ,                      ,                      ,                     ,                      ,                     ,                   ,                   ,                    ,                 ,                   ,                       ,                       ,                      ,                       ,                       ,                  ,                        ,                           ,                         ,                       ,                     ,                    ,                     ,                      ,                   ,                 ,                                ,                     ,                   ,                      ,                  ,                  ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN5a              ,CN5a          ,,198,1208,A, 33,X,CC,  22.00,    304.1600,nannos   ,Nannofossils                                 ,A              ,M                 ,                       ,                    ,                     ,                   ,                ,                        ,                         ,                  ,                       ,                  ,                           ,                    ,                    ,                       ,                    ,                          ,                          ,                            ,                     ,                   ,                          ,                                 ,                               ,                       ,                       ,                       ,                   ,                       ,A                          ,                          ,C                ,C                    ,F                       ,C                        ,F                               ,                     ,                  ,                   ,                   ,                        ,                   ,                      ,                      ,                     ,                      ,                     ,                   ,                   ,                    ,                 ,                   ,                       ,                       ,                      ,                       ,                       ,                  ,                        ,                           ,                         ,                       ,                     ,                    ,                     ,                      ,                   ,                 ,                                ,                     ,                   ,                      ,                  ,                  ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN4               ,CN3           ,,198,1208,A, 34,X,CC,  21.00,    314.1700,nannos   ,Nannofossils                                 ,A              ,M                 ,                       ,                    ,                     ,                   ,                ,                        ,                         ,                  ,                       ,                  ,                           ,                    ,                    ,                       ,                    ,                          ,                          ,                            ,                     ,                   ,                          ,                                 ,                               ,                       ,                       ,                       ,                   ,                       ,A                          ,F                         ,F                ,A                    ,F                       ,F                        ,                                ,                     ,                  ,                   ,                   ,                        ,                   ,                      ,                      ,                     ,                      ,                     ,                   ,                   ,                    ,                 ,                   ,                       ,                       ,                      ,                       ,                       ,                  ,                        ,                           ,                         ,                       ,                     ,                    ,                     ,                      ,                   ,                 ,                                ,                     ,                   ,                      ,                  ,                  ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CP16a             ,CP16a         ,,198,1208,A, 35,X,CC,  13.00,    321.7500,nannos   ,Nannofossils                                 ,A              ,P                 ,                       ,                    ,                     ,                   ,                ,                        ,                         ,                  ,                       ,                  ,                           ,                    ,                    ,                       ,                    ,                          ,                          ,                            ,                     ,                   ,                          ,                                 ,                               ,                       ,                       ,                       ,                   ,C                      ,A                          ,                          ,                 ,                     ,                        ,                         ,                                ,                     ,                  ,                   ,                   ,                        ,                   ,                      ,                      ,                     ,                      ,                     ,                   ,                   ,                    ,                 ,                   ,                       ,                       ,                      ,                       ,                       ,                  ,                        ,                           ,                         ,                       ,                     ,                    ,                     ,                      ,                   ,                 ,                                ,                     ,                   ,                      ,                  ,                  ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CC22(Perch-Nielsen),CC22(Perch-Nielsen),198,1208,A, 36,X,CC,  30.00,    327.7000,nannos   ,Nannofossils                                 ,A              ,M                 ,                       ,D                   ,F                    ,                   ,                ,                        ,                         ,F                 ,F                      ,                  ,C                          ,C                   ,                    ,                       ,                    ,F                         ,F                         ,                            ,F                    ,                   ,+                         ,+                                ,F                              ,C                      ,                       ,                       ,R                  ,                       ,                           ,                          ,                 ,                     ,                        ,                         ,                                ,                     ,                  ,                   ,                   ,                        ,                   ,                      ,                      ,                     ,                      ,                     ,                   ,                   ,                    ,                 ,                   ,                       ,                       ,                      ,                       ,                       ,                  ,                        ,                           ,                         ,                       ,                     ,                    ,                     ,                      ,                   ,                 ,                                ,                     ,                   ,                      ,                  ,                  ,                 ,Taken from absolute of core-catcher,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CC20(Perch-Nielsen),CC20(Perch-Nielsen),198,1208,A, 37,X,CC,  14.00,    340.6200,nannos   ,Nannofossils                                 ,A              ,M                 ,F                      ,D                   ,F                    ,F                  ,F               ,C                       ,C                        ,F                 ,F                      ,F                 ,F                          ,C                   ,F                   ,C                      ,C                   ,                          ,F                         ,F                           ,F                    ,                   ,+                         ,                                 ,F                              ,C                      ,F                      ,+                      ,                   ,                       ,                           ,                          ,                 ,                     ,                        ,                         ,                                ,                     ,                  ,                   ,                   ,                        ,                   ,                      ,                      ,                     ,                      ,                     ,                   ,                   ,                    ,                 ,                   ,                       ,                       ,                      ,                       ,                       ,                  ,                        ,                           ,                         ,                       ,                     ,                    ,                     ,                      ,                   ,                 ,                                ,                     ,                   ,                      ,                  ,                  ,                 ,       ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CC20(Perch-Nielsen),CC20(Perch-Nielsen),198,1208,A, 38,X,CC,  13.00,    352.4400,nannos   ,Nannofossils                                 ,A              ,M                 ,F                      ,D                   ,F                    ,F                  ,F               ,C                       ,C                        ,F                 ,F                      ,F                 ,F                          ,C                   ,F                   ,C                      ,C                   ,                          ,F                         ,F                           ,F                    ,                   ,+                         ,                                 ,F                              ,C                      ,                       ,                       ,                   ,                       ,                           ,                          ,                 ,                     ,                        ,                         ,                                ,                     ,                  ,                   ,                   ,                        ,                   ,                      ,                      ,                     ,                      ,                     ,                   ,                   ,                    ,                 ,                   ,                       ,                       ,                      ,                       ,                       ,                  ,                        ,                           ,                         ,                       ,                     ,                    ,                     ,                      ,                   ,                 ,                                ,                     ,                   ,                      ,                  ,                  ,                 ,       ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CC20(Perch-Nielsen),CC20(Perch-Nielsen),198,1208,A, 39,X,CC,   8.00,    360.6200,nannos   ,Nannofossils                                 ,A              ,M                 ,F                      ,D                   ,F                    ,F                  ,F               ,C                       ,C                        ,F                 ,F                      ,F                 ,F                          ,C                   ,F                   ,C                      ,C                   ,                          ,F                         ,F                           ,F                    ,F                  ,+                         ,                                 ,F                              ,C                      ,                       ,                       ,                   ,                       ,                           ,                          ,                 ,                     ,                        ,                         ,                                ,                     ,                  ,                   ,                   ,                        ,                   ,                      ,                      ,                     ,                      ,                     ,                   ,                   ,                    ,                 ,                   ,                       ,                       ,                      ,                       ,                       ,                  ,                        ,                           ,                         ,                       ,                     ,                    ,                     ,                      ,                   ,                 ,                                ,                     ,                   ,                      ,                  ,                  ,                 ,       ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CC19              ,CC18          ,,198,1208,A, 40,X,CC,  19.00,    371.5300,nannos   ,Nannofossils                                 ,A              ,M                 ,F                      ,D                   ,F                    ,F                  ,F               ,C                       ,C                        ,F                 ,F                      ,F                 ,F                          ,C                   ,C                   ,C                      ,C                   ,                          ,F                         ,F                           ,F                    ,F                  ,+                         ,+                                ,F                              ,                       ,                       ,                       ,                   ,                       ,                           ,                          ,                 ,                     ,                        ,                         ,                                ,                     ,                  ,                   ,                   ,                        ,                   ,                      ,                      ,                     ,                      ,                     ,                   ,                   ,                    ,                 ,                   ,                       ,                       ,                      ,                       ,                       ,                  ,                        ,                           ,                         ,                       ,                     ,                    ,                     ,                      ,                   ,                 ,                                ,                     ,                   ,                      ,                  ,                  ,                 ,5-rayed Lithastrenus here
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CC18              ,CC18          ,,198,1208,A, 41,X,CC,  12.00,    376.1400,nannos   ,Nannofossils                                 ,A              ,M                 ,F                      ,D                   ,F                    ,F                  ,F               ,C                       ,C                        ,F                 ,F                      ,F                 ,F                          ,C                   ,C                   ,C                      ,C                   ,F                         ,F                         ,R                           ,                     ,                   ,                          ,                                 ,                               ,                       ,                       ,                       ,                   ,                       ,                           ,                          ,                 ,                     ,                        ,                         ,                                ,                     ,                  ,                   ,                   ,                        ,                   ,                      ,                      ,                     ,                      ,                     ,                   ,                   ,                    ,                 ,                   ,                       ,                       ,                      ,                       ,                       ,                  ,                        ,                           ,                         ,                       ,                     ,                    ,                     ,                      ,                   ,                 ,                                ,                     ,                   ,                      ,                  ,                  ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
