Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Triquetrorhabdulus carinatus,Sphenolithus moriformis,Sphenolithus dissimilis,Reticulofenestra gartneri,Reticulofenestra daviesii,Discoaster deflandrei,Dictyococcites bisectus,Cyclicargolithus floridanus,Cyclicargolithus abisectus,Coronocyclus nitescens,Coccolithus pelagicus,Sphenolithus conicus,Helicosphaera euphratis,Pyrocyclus orangensis,Triquetrorhabdulus milowii,Sphenolithus belemnos,Helicosphaera intermedia,Discoaster druggii,Sphenolithus heteromorphus,Reticulofenestra spp. small,Helicosphaera granulata,Helicosphaera ampliaperta,Discoaster variabilis,Discoaster adamanteus,Cyclolithella rotula,Discoaster exilis,Calcidiscus macintyrei,Dictyococcites perplexus,Reticulofenestra pseudoumbilica,Sphenolithus abies/neoabies,Triquetrorhabdulus rugosus,Discoaster bollii,Discoaster kugleri,Discoaster challengeri,Coccolithus miopelagicus,Calcidiscus leptoporus,Helicosphaera kamptneri,Catinaster coalitus,Discoaster prepentaradiatus,Discoaster neohamatus,Discoaster hamatus,Discoaster bellus,Catinaster calyculus,Discoaster neorectus,Discoaster loeblichii,Discoaster calcaris,Discoaster brouweri,Discoaster quinqueramus,Discoaster berggrenii,Reticulofenestra doronicoides,Discoaster pentaradiatus,Amaurolithus primus,Discoaster surculus,Amaurolithus delicatus,Ceratolithus acutus,Amaurolithus amplificus,Ceratolithus rugosus,Amaurolithus tricorniculatus,Rhabdosphaera clavigera,Discoaster asymmetricus,Discoaster tamalis,Pseudoemiliania lacunosa,Pontosphaera japonica,Helicosphaera sellii,Syracosphaera pulchra,Syracosphaera histrica,Rhabdosphaera stylifera,Ceratolithus cristatus,Discoaster triradiatus,Oolithotus antillarum,Pontosphaera syracusana,Gephyrocapsa caribbeanica,Gephyrocapsa oceanica,Umbilicosphaera sibogae,Ceratolithus telesmus,Umbilicosphaera mirabilis,Thoracosphaera sp.,Emiliania huxleyi,Comment
  SR,Late Pliocene    ,                 ,CN12a             ,CN12d         ,108, 659,A,  8,H,CC,  12.00,     73.3400,Manivit  ,Nannofossils                                 ,A              ,M                 ,                            ,                       ,                       ,                         ,                         ,                     ,                       ,                           ,                          ,                      ,C                    ,                    ,                       ,                     ,                          ,                     ,                        ,                  ,                          ,A                          ,                       ,                         ,                     ,                     ,                    ,                 ,F                     ,                        ,                               ,                           ,                          ,                 ,                  ,                      ,                        ,R                     ,R                      ,                   ,                           ,                     ,                  ,                 ,                    ,                    ,                     ,                   ,C                  ,                       ,                     ,C                            ,R                       ,                   ,R                  ,                      ,                   ,                       ,                    ,                            ,                       ,                       ,                  ,F                       ,                     ,R                   ,R                    ,                      ,                       ,                      ,                      ,                     ,                       ,                         ,                     ,                       ,                     ,                         ,                  ,                 ,from ODP Leg 108 SR Chapter 4 Table 5 p 44-47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12a             ,CN12d         ,108, 659,A,  9,H, 6,   5.00,     81.8500,Manivit  ,Nannofossils                                 ,A              ,M                 ,                            ,                       ,                       ,                         ,                         ,                     ,                       ,                           ,                          ,                      ,C                    ,                    ,                       ,                     ,                          ,                     ,                        ,                  ,                          ,A                          ,                       ,                         ,                     ,                     ,                    ,                 ,C                     ,                        ,                               ,                           ,                          ,                 ,                  ,                      ,                        ,R                     ,R                      ,                   ,                           ,                     ,                  ,                 ,                    ,                    ,                     ,                   ,C                  ,                       ,                     ,A                            ,R                       ,                   ,R                  ,                      ,                   ,                       ,R                   ,                            ,                       ,R                      ,                  ,F                       ,                     ,R                   ,                     ,                      ,                       ,                      ,                      ,                     ,                       ,                         ,                     ,                       ,                     ,                         ,                  ,                 ,from ODP Leg 108 SR Chapter 4 Table 5 p 44-47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12a             ,CN12d         ,108, 659,A,  9,H,CC,  10.00,     82.5700,Manivit  ,Nannofossils                                 ,A              ,M                 ,                            ,                       ,                       ,                         ,                         ,                     ,                       ,                           ,                          ,                      ,C                    ,                    ,                       ,                     ,                          ,                     ,                        ,                  ,                          ,A                          ,                       ,                         ,R                    ,                     ,                    ,                 ,C                     ,                        ,                               ,                           ,                          ,                 ,                  ,                      ,                        ,R                     ,R                      ,                   ,                           ,                     ,                  ,                 ,                    ,                    ,                     ,                   ,C                  ,                       ,                     ,A                            ,R                       ,                   ,R                  ,                      ,                   ,                       ,                    ,                            ,R                      ,                       ,                  ,F                       ,                     ,R                   ,                     ,R                     ,                       ,                      ,                      ,                     ,                       ,                         ,                     ,                       ,                     ,                         ,                  ,                 ,from ODP Leg 108 SR Chapter 4 Table 5 p 44-47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12a             ,CN12d         ,108, 659,A, 10,H, 1,   5.00,     83.8500,Manivit  ,Nannofossils                                 ,A              ,M                 ,                            ,                       ,                       ,                         ,                         ,                     ,                       ,                           ,                          ,                      ,C                    ,                    ,                       ,                     ,                          ,                     ,                        ,                  ,                          ,A                          ,                       ,                         ,                     ,                     ,                    ,                 ,C                     ,                        ,                               ,                           ,                          ,                 ,                  ,                      ,                        ,F                     ,R                      ,                   ,                           ,                     ,                  ,                 ,                    ,                    ,                     ,                   ,C                  ,                       ,                     ,C                            ,R                       ,                   ,R                  ,                      ,                   ,                       ,R                   ,                            ,                       ,R                      ,R                 ,R                       ,                     ,R                   ,                     ,                      ,                       ,                      ,                      ,                     ,                       ,                         ,                     ,                       ,                     ,                         ,                  ,                 ,from ODP Leg 108 SR Chapter 4 Table 5 p 44-47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12a             ,CN12c         ,108, 659,A, 10,H, 3,   5.00,     86.8500,Manivit  ,Nannofossils                                 ,A              ,M                 ,                            ,                       ,                       ,                         ,                         ,                     ,                       ,                           ,                          ,                      ,F                    ,                    ,                       ,                     ,                          ,                     ,                        ,                  ,                          ,A                          ,                       ,                         ,                     ,                     ,                    ,                 ,F                     ,                        ,                               ,                           ,                          ,                 ,                  ,                      ,                        ,R                     ,R                      ,                   ,                           ,                     ,                  ,                 ,                    ,                    ,                     ,                   ,F                  ,                       ,                     ,C                            ,R                       ,                   ,R                  ,                      ,                   ,                       ,                    ,                            ,                       ,R                      ,R                 ,F                       ,R                    ,R                   ,R                    ,                      ,                       ,                      ,                      ,                     ,                       ,                         ,                     ,                       ,                     ,                         ,                  ,                 ,from ODP Leg 108 SR Chapter 4 Table 5 p 44-47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN11              ,CN12a         ,108, 659,A, 10,H, 5,   5.00,     89.8500,Manivit  ,Nannofossils                                 ,A              ,M                 ,                            ,                       ,                       ,                         ,                         ,                     ,                       ,                           ,                          ,                      ,C                    ,                    ,                       ,                     ,                          ,                     ,                        ,                  ,                          ,A                          ,                       ,                         ,R                    ,                     ,                    ,                 ,C                     ,                        ,                               ,                           ,                          ,                 ,                  ,                      ,                        ,R                     ,R                      ,                   ,                           ,                     ,                  ,                 ,                    ,                    ,                     ,                   ,F                  ,                       ,                     ,C                            ,F                       ,                   ,R                  ,                      ,                   ,                       ,                    ,                            ,                       ,R                      ,R                 ,R                       ,                     ,                    ,                     ,                      ,                       ,                      ,                      ,                     ,                       ,                         ,                     ,                       ,                     ,                         ,                  ,                 ,from ODP Leg 108 SR Chapter 4 Table 5 p 44-47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN11              ,CN12a         ,108, 659,A, 10,H,CC,  11.00,     92.3600,Manivit  ,Nannofossils                                 ,A              ,M                 ,                            ,                       ,                       ,                         ,                         ,                     ,                       ,                           ,                          ,                      ,C                    ,                    ,                       ,                     ,                          ,                     ,                        ,                  ,                          ,A                          ,                       ,                         ,R                    ,                     ,                    ,                 ,C                     ,                        ,                               ,                           ,                          ,                 ,                  ,                      ,                        ,R                     ,R                      ,                   ,                           ,                     ,                  ,                 ,                    ,                    ,                     ,                   ,F                  ,                       ,                     ,C                            ,F                       ,                   ,R                  ,                      ,                   ,                       ,R                   ,                            ,R                      ,                       ,R                 ,R                       ,                     ,R                   ,                     ,                      ,                       ,                      ,                      ,                     ,                       ,                         ,                     ,                       ,                     ,                         ,                  ,                 ,from ODP Leg 108 SR Chapter 4 Table 5 p 44-47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN11              ,CN12a         ,108, 659,A, 11,H,CC,   7.00,    101.1300,Manivit  ,Nannofossils                                 ,A              ,M                 ,                            ,                       ,                       ,                         ,                         ,                     ,                       ,                           ,                          ,                      ,F                    ,                    ,                       ,                     ,                          ,                     ,                        ,                  ,                          ,A                          ,                       ,                         ,                     ,                     ,                    ,                 ,F                     ,                        ,                               ,                           ,                          ,                 ,                  ,                      ,                        ,F                     ,R                      ,                   ,                           ,                     ,                  ,                 ,                    ,                    ,                     ,                   ,F                  ,                       ,                     ,C                            ,C                       ,                   ,R                  ,                      ,                   ,                       ,                    ,                            ,R                      ,R                      ,R                 ,R                       ,R                    ,                    ,                     ,                      ,                       ,                      ,                      ,                     ,                       ,                         ,                     ,                       ,                     ,                         ,                  ,                 ,from ODP Leg 108 SR Chapter 4 Table 5 p 44-47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN11              ,CN12a         ,108, 659,A, 12,H, 1, 134.00,    104.1400,Manivit  ,Nannofossils                                 ,A              ,M                 ,                            ,                       ,                       ,                         ,                         ,                     ,                       ,                           ,                          ,                      ,F                    ,                    ,                       ,                     ,                          ,                     ,                        ,                  ,                          ,A                          ,                       ,                         ,                     ,                     ,                    ,                 ,F                     ,                        ,                               ,                           ,                          ,                 ,                  ,                      ,                        ,R                     ,F                      ,                   ,                           ,                     ,                  ,                 ,                    ,                    ,                     ,                   ,F                  ,                       ,                     ,F                            ,F                       ,                   ,R                  ,                      ,                   ,                       ,R                   ,                            ,                       ,R                      ,R                 ,                        ,                     ,                    ,                     ,                      ,                       ,                      ,                      ,                     ,                       ,                         ,                     ,                       ,                     ,                         ,                  ,                 ,from ODP Leg 108 SR Chapter 4 Table 5 p 44-47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,CN11              ,CN12a         ,108, 659,A, 12,H,CC,  13.00,    104.3500,Manivit  ,Nannofossils                                 ,A              ,M                 ,                            ,                       ,                       ,                         ,                         ,                     ,                       ,                           ,                          ,                      ,C                    ,                    ,                       ,                     ,                          ,                     ,                        ,                  ,                          ,A                          ,                       ,                         ,R                    ,                     ,                    ,                 ,C                     ,                        ,R                              ,F                          ,                          ,                 ,                  ,                      ,                        ,R                     ,R                      ,                   ,                           ,                     ,                  ,                 ,                    ,                    ,                     ,                   ,F                  ,                       ,                     ,C                            ,F                       ,                   ,R                  ,                      ,                   ,                       ,                    ,                            ,R                      ,F                      ,R                 ,                        ,                     ,                    ,                     ,                      ,                       ,                      ,                      ,                     ,                       ,                         ,                     ,                       ,                     ,                         ,                  ,                 ,from ODP Leg 108 SR Chapter 4 Table 5 p 44-47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,CN11              ,CN12a         ,108, 659,A, 13,H, 1,  15.00,    112.4500,Manivit  ,Nannofossils                                 ,A              ,M                 ,                            ,                       ,                       ,                         ,                         ,                     ,                       ,                           ,                          ,                      ,F                    ,                    ,                       ,                     ,                          ,                     ,                        ,                  ,                          ,A                          ,                       ,                         ,                     ,                     ,                    ,                 ,F                     ,                        ,R                              ,F                          ,                          ,                 ,                  ,                      ,                        ,R                     ,F                      ,                   ,                           ,                     ,                  ,                 ,                    ,                    ,                     ,                   ,F                  ,                       ,                     ,A                            ,F                       ,                   ,R                  ,                      ,                   ,                       ,R                   ,                            ,                       ,F                      ,R                 ,                        ,                     ,                    ,                     ,                      ,                       ,                      ,                      ,                     ,                       ,                         ,                     ,                       ,                     ,                         ,                  ,                 ,from ODP Leg 108 SR Chapter 4 Table 5 p 44-47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,CN11              ,              ,108, 659,A, 13,H, 2,  75.00,    114.5500,Manivit  ,Nannofossils                                 ,A              ,M                 ,                            ,                       ,                       ,                         ,                         ,                     ,                       ,                           ,                          ,                      ,R                    ,                    ,                       ,                     ,                          ,                     ,                        ,                  ,                          ,A                          ,                       ,                         ,R                    ,                     ,R                   ,                 ,C                     ,                        ,F                              ,R                          ,                          ,                 ,                  ,                      ,                        ,R                     ,R                      ,                   ,                           ,                     ,                  ,                 ,                    ,                    ,                     ,                   ,F                  ,                       ,                     ,C                            ,F                       ,                   ,R                  ,                      ,                   ,                       ,                    ,R                           ,                       ,R                      ,                  ,                        ,                     ,                    ,                     ,                      ,                       ,                      ,                      ,                     ,                       ,                         ,                     ,                       ,                     ,                         ,                  ,                 ,from ODP Leg 108 SR Chapter 4 Table 5 p 44-47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,CN10c             ,CN11          ,108, 659,A, 13,H, 3,  75.00,    116.0500,Manivit  ,Nannofossils                                 ,A              ,M                 ,                            ,                       ,                       ,                         ,                         ,                     ,                       ,                           ,                          ,                      ,F                    ,                    ,                       ,                     ,                          ,                     ,                        ,                  ,                          ,A                          ,                       ,                         ,                     ,                     ,                    ,                 ,F                     ,                        ,F                              ,R                          ,                          ,                 ,                  ,                      ,                        ,F                     ,R                      ,                   ,                           ,                     ,                  ,                 ,                    ,                    ,                     ,                   ,C                  ,                       ,                     ,C                            ,R                       ,                   ,R                  ,                      ,                   ,                       ,                    ,R                           ,                       ,R                      ,                  ,                        ,                     ,                    ,                     ,                      ,                       ,                      ,                      ,                     ,                       ,                         ,                     ,                       ,                     ,                         ,                  ,                 ,from ODP Leg 108 SR Chapter 4 Table 5 p 44-47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,CN10c             ,CN11          ,108, 659,A, 13,H, 6,  75.00,    120.5500,Manivit  ,Nannofossils                                 ,A              ,M                 ,                            ,                       ,                       ,C                        ,                         ,                     ,                       ,                           ,                          ,                      ,R                    ,                    ,                       ,R                    ,                          ,                     ,                        ,                  ,                          ,A                          ,                       ,                         ,R                    ,                     ,                    ,                 ,F                     ,                        ,F                              ,F                          ,                          ,                 ,                  ,                      ,                        ,R                     ,F                      ,                   ,                           ,                     ,                  ,                 ,                    ,                    ,                     ,                   ,F                  ,                       ,                     ,C                            ,R                       ,                   ,R                  ,                      ,                   ,                       ,                    ,                            ,R                      ,                       ,                  ,                        ,                     ,                    ,                     ,                      ,                       ,                      ,                      ,                     ,                       ,                         ,                     ,                       ,                     ,                         ,                  ,                 ,from ODP Leg 108 SR Chapter 4 Table 5 p 44-47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,CN10c             ,CN11          ,108, 659,A, 13,H,CC,  14.00,    121.7000,Manivit  ,Nannofossils                                 ,A              ,M                 ,                            ,                       ,                       ,C                        ,                         ,                     ,                       ,                           ,                          ,                      ,F                    ,                    ,                       ,                     ,                          ,                     ,                        ,                  ,                          ,A                          ,                       ,                         ,R                    ,                     ,R                   ,                 ,F                     ,                        ,F                              ,F                          ,                          ,                 ,                  ,                      ,                        ,R                     ,R                      ,                   ,                           ,                     ,                  ,                 ,                    ,                    ,                     ,                   ,F                  ,                       ,                     ,A                            ,F                       ,                   ,R                  ,                      ,                   ,                       ,R                   ,R                           ,                       ,R                      ,                  ,                        ,                     ,                    ,                     ,                      ,                       ,                      ,                      ,                     ,                       ,                         ,                     ,                       ,                     ,                         ,                  ,                 ,from ODP Leg 108 SR Chapter 4 Table 5 p 44-47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,CN10c             ,CN11          ,108, 659,A, 14,H, 3,   5.00,    124.8500,Manivit  ,Nannofossils                                 ,A              ,M                 ,                            ,                       ,                       ,C                        ,                         ,                     ,                       ,                           ,                          ,                      ,F                    ,                    ,                       ,R                    ,                          ,                     ,                        ,                  ,                          ,A                          ,                       ,                         ,                     ,                     ,                    ,                 ,F                     ,                        ,F                              ,F                          ,                          ,                 ,                  ,                      ,                        ,F                     ,R                      ,                   ,                           ,                     ,                  ,                 ,                    ,                    ,                     ,                   ,F                  ,                       ,                     ,A                            ,F                       ,                   ,R                  ,R                     ,                   ,                       ,                    ,                            ,                       ,R                      ,                  ,                        ,                     ,                    ,                     ,                      ,                       ,                      ,                      ,                     ,                       ,                         ,                     ,                       ,                     ,                         ,                  ,                 ,from ODP Leg 108 SR Chapter 4 Table 5 p 44-47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,CN10c             ,CN11          ,108, 659,A, 14,H, 4,   5.00,    126.3500,Manivit  ,Nannofossils                                 ,A              ,M                 ,                            ,                       ,                       ,C                        ,                         ,                     ,                       ,                           ,                          ,                      ,R                    ,                    ,                       ,                     ,                          ,                     ,                        ,                  ,                          ,A                          ,                       ,                         ,                     ,                     ,                    ,                 ,C                     ,                        ,F                              ,F                          ,                          ,                 ,                  ,                      ,                        ,R                     ,R                      ,                   ,                           ,                     ,                  ,                 ,                    ,                    ,                     ,                   ,F                  ,                       ,                     ,A                            ,F                       ,                   ,F                  ,                      ,                   ,                       ,R                   ,R                           ,                       ,                       ,                  ,                        ,                     ,                    ,                     ,                      ,                       ,                      ,                      ,                     ,                       ,                         ,                     ,                       ,                     ,                         ,                  ,                 ,from ODP Leg 108 SR Chapter 4 Table 5 p 44-47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,CN10c             ,CN11          ,108, 659,A, 14,H, 5,   5.00,    127.8500,Manivit  ,Nannofossils                                 ,A              ,M                 ,                            ,                       ,                       ,C                        ,                         ,                     ,                       ,                           ,                          ,                      ,R                    ,                    ,                       ,                     ,                          ,                     ,                        ,                  ,                          ,A                          ,                       ,                         ,R                    ,                     ,                    ,                 ,C                     ,                        ,C                              ,F                          ,                          ,                 ,                  ,R                     ,                        ,F                     ,F                      ,                   ,                           ,                     ,                  ,                 ,                    ,                    ,                     ,                   ,F                  ,                       ,                     ,C                            ,F                       ,                   ,R                  ,R                     ,                   ,                       ,                    ,                            ,R                      ,                       ,                  ,                        ,                     ,                    ,                     ,                      ,                       ,                      ,                      ,                     ,                       ,                         ,                     ,                       ,                     ,                         ,                  ,                 ,from ODP Leg 108 SR Chapter 4 Table 5 p 44-47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,CN10c             ,              ,108, 659,A, 14,H,CC,  23.00,    130.0300,Manivit  ,Nannofossils                                 ,A              ,M                 ,                            ,                       ,                       ,C                        ,                         ,                     ,                       ,                           ,                          ,                      ,R                    ,                    ,                       ,                     ,                          ,                     ,                        ,                  ,                          ,C                          ,                       ,                         ,R                    ,                     ,R                   ,                 ,F                     ,                        ,C                              ,F                          ,                          ,                 ,                  ,                      ,                        ,F                     ,R                      ,                   ,                           ,                     ,                  ,                 ,                    ,                    ,                     ,                   ,C                  ,                       ,                     ,A                            ,F                       ,R                  ,R                  ,R                     ,                   ,                       ,                    ,                            ,                       ,                       ,                  ,                        ,                     ,                    ,                     ,                      ,                       ,                      ,                      ,                     ,                       ,                         ,                     ,                       ,                     ,                         ,                  ,                 ,from ODP Leg 108 SR Chapter 4 Table 5 p 44-47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,CN10a             ,CN10c         ,108, 659,A, 15,H, 4, 110.00,    136.9000,Manivit  ,Nannofossils                                 ,A              ,M                 ,                            ,                       ,                       ,A                        ,                         ,                     ,                       ,                           ,                          ,                      ,F                    ,                    ,                       ,                     ,                          ,                     ,                        ,                  ,                          ,A                          ,                       ,                         ,                     ,                     ,                    ,                 ,C                     ,                        ,F                              ,F                          ,                          ,                 ,                  ,                      ,                        ,R                     ,R                      ,                   ,                           ,                     ,                  ,                 ,                    ,                    ,                     ,                   ,F                  ,                       ,                     ,A                            ,F                       ,                   ,R                  ,                      ,                   ,                       ,R                   ,                            ,                       ,                       ,                  ,                        ,                     ,                    ,                     ,                      ,                       ,                      ,                      ,                     ,                       ,                         ,                     ,                       ,                     ,                         ,                  ,                 ,from ODP Leg 108 SR Chapter 4 Table 5 p 44-47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,CN10a             ,CN10c         ,108, 659,A, 15,H,CC,   9.00,    138.5300,Manivit  ,Nannofossils                                 ,A              ,M                 ,                            ,                       ,                       ,A                        ,                         ,                     ,                       ,                           ,                          ,                      ,F                    ,                    ,                       ,                     ,                          ,                     ,                        ,                  ,                          ,A                          ,                       ,                         ,R                    ,                     ,R                   ,                 ,C                     ,                        ,F                              ,F                          ,                          ,                 ,                  ,                      ,                        ,R                     ,F                      ,                   ,                           ,                     ,                  ,                 ,                    ,                    ,                     ,                   ,C                  ,                       ,                     ,C                            ,C                       ,R                  ,F                  ,R                     ,                   ,                       ,R                   ,R                           ,R                      ,                       ,                  ,                        ,                     ,                    ,                     ,                      ,                       ,                      ,                      ,                     ,                       ,                         ,                     ,                       ,                     ,                         ,                  ,                 ,from ODP Leg 108 SR Chapter 4 Table 5 p 44-47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,CN10a             ,CN10c         ,108, 659,A, 16,H, 2,  80.00,    143.1000,Manivit  ,Nannofossils                                 ,A              ,M                 ,                            ,                       ,                       ,A                        ,                         ,                     ,                       ,                           ,                          ,                      ,F                    ,                    ,                       ,R                    ,                          ,                     ,                        ,                  ,                          ,A                          ,                       ,                         ,                     ,                     ,                    ,                 ,F                     ,                        ,C                              ,F                          ,                          ,                 ,                  ,R                     ,                        ,F                     ,F                      ,                   ,                           ,                     ,                  ,                 ,                    ,                    ,                     ,                   ,F                  ,                       ,                     ,A                            ,F                       ,R                  ,F                  ,R                     ,                   ,                       ,R                   ,                            ,                       ,                       ,                  ,                        ,                     ,                    ,                     ,                      ,                       ,                      ,                      ,                     ,                       ,                         ,                     ,                       ,                     ,                         ,                  ,                 ,from ODP Leg 108 SR Chapter 4 Table 5 p 44-47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,CN10a             ,CN10c         ,108, 659,A, 16,H, 4,  80.00,    146.1000,Manivit  ,Nannofossils                                 ,A              ,M                 ,                            ,                       ,                       ,A                        ,                         ,                     ,                       ,                           ,                          ,                      ,F                    ,                    ,                       ,                     ,                          ,                     ,                        ,                  ,                          ,A                          ,                       ,                         ,R                    ,                     ,                    ,                 ,C                     ,                        ,C                              ,F                          ,                          ,                 ,                  ,                      ,                        ,F                     ,R                      ,                   ,                           ,                     ,                  ,                 ,                    ,                    ,                     ,                   ,F                  ,                       ,                     ,C                            ,C                       ,                   ,F                  ,                      ,                   ,                       ,R                   ,R                           ,                       ,                       ,                  ,                        ,                     ,                    ,                     ,                      ,                       ,                      ,                      ,                     ,                       ,                         ,                     ,                       ,                     ,                         ,                  ,                 ,from ODP Leg 108 SR Chapter 4 Table 5 p 44-47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,CN10a             ,CN10c         ,108, 659,A, 16,H, 5,  80.00,    147.6000,Manivit  ,Nannofossils                                 ,A              ,M                 ,                            ,                       ,                       ,C                        ,                         ,                     ,                       ,                           ,                          ,                      ,R                    ,                    ,                       ,                     ,                          ,                     ,                        ,                  ,                          ,C                          ,                       ,                         ,                     ,                     ,                    ,                 ,C                     ,                        ,C                              ,C                          ,R                         ,                 ,                  ,                      ,                        ,F                     ,F                      ,                   ,                           ,                     ,                  ,                 ,                    ,                    ,                     ,                   ,F                  ,                       ,                     ,A                            ,F                       ,                   ,F                  ,R                     ,R                  ,R                      ,                    ,                            ,                       ,                       ,                  ,                        ,                     ,                    ,                     ,                      ,                       ,                      ,                      ,                     ,                       ,                         ,                     ,                       ,                     ,                         ,                  ,                 ,from ODP Leg 108 SR Chapter 4 Table 5 p 44-47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
