Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Triquetrorhabdulus milowii	Triquetrorhabdulus carinatus	Sphenolithus moriformis	Sphenolithus dissimilis	Sphenolithus delphix	Sphenolithus compactus	Ericsonia obruta	Discoaster variabilis	Discoaster deflandrei	Cyclicargolithus floridanus	Coccolithus pelagicus	Coccolithus miopelagicus	Calcidiscus macintyrei	Calcidiscus leptoporus	Sphenolithus conicus	Helicosphaera intermedia	Hayaster perplexus	Coronocyclus nitescens	Coccolithus streckerii	Reticulofenestra minuta	Reticulofenestra haqii	Helicosphaera granulata	Pontosphaera spp.	Discoaster exilis	Reticulofenestra minutula	Discoaster adamanteus	Cyclolithella annula	Reticulofenestra pseudoumbilica	Reticulofenestra gelida	Triquetrorhabdulus rugosus	Calcidiscus premacintyrei	Coccolithus eopelagicus	Tetralithoides symeonidesii	Discoaster spp.	Discoaster druggii	Sphenolithus abies	Discoaster moorei	Dictyococcites productus	Sphenolithus belemnos	Sphenolithus heteromorphus	Discoaster formosus	Solidopons petrae	Scyphosphaera spp.	Helicosphaera carteri	Discoaster brouweri	Discoaster kugleri	Discoaster calcaris	Discoaster braarudii	Discoaster neohamatus	Discoaster triradiatus	Discoaster challengeri	Catinaster coalitus	Discoaster surculus	Discoaster pseudovariabilis	Discoaster hamatus	Discoaster bellus	Catinaster calyculus	Discoaster prepentaradiatus	Discoaster pentaradiatus	Discoaster neorectus	Discoaster loeblichii	Discoaster berggrenii	Discoaster quinqueramus	Helicosphaera wallichii	Discoaster asymmetricus	Sphenolithus grandis	Amaurolithus primus	Discoaster pansus	Discoaster blackstockae	Amaurolithus delicatus	Amaurolithus amplificus	Discoaster intercalaris	Reticulofenestra asanoi	Ceratolithus acutus	Umbilicosphaera sibogae	Syracosphaera pulchra	Helicosphaera neogranulata	Ceratolithus rugosus	Amaurolithus tricorniculatus	Scapholithus fossilis	Helicosphaera sellii	Oolithotus fragilis	Discoaster tristellifer	Pseudoemiliania lacunosa	Discoaster quadramus	Catinaster altus	Gephyrocapsa sp. (small)	Gephyrocapsa aperta	Discoaster decorus	Discoaster tamalis	Comment

  SR	                 	                 	NN11              	              	130	 805	B	 18	H	CC	  10.00	    168.1700	Takayama 	Nannofossils                                 	               	                  	                          	                            	                       	                       	                    	                      	                	T                    	                     	                           	1                    	                        	T                     	12                    	                    	                        	                  	                      	                      	87                     	11                    	T                      	T                	                 	8                        	                     	T                   	5                              	7                      	T                         	T                        	                       	                           	               	                  	68                	                 	                        	                     	                          	                   	                 	T                 	T                    	T                  	                  	                   	                    	T                    	                      	                      	                   	T                  	                           	                  	?                	                    	                           	                        	                    	                     	?                    	T                      	                       	                       	                    	                   	                 	                       	                      	                       	                       	                       	                   	                       	                     	                          	                    	                            	                     	                    	                   	                       	                        	                    	                	                        	                   	                  	                  	Miscellaneous taxa = 1.from 130SR.Chapter 11.Table 16.pages 208-213.

  SR	                 	                 	NN11              	              	130	 805	B	 19	H	 3	  23.00	    171.4300	Takayama 	Nannofossils                                 	               	                  	                          	                            	                       	                       	                    	                      	                	                     	                     	                           	T                    	                        	1                     	16                    	                    	                        	T                 	                      	                      	68                     	13                    	T                      	T                	                 	17                       	                     	T                   	6                              	11                     	T                         	T                        	                       	                           	               	                  	64                	                 	3                       	                     	                          	                   	                 	                  	T                    	?                  	                  	                   	                    	?                    	?                     	                      	                   	                   	                           	                  	?                	                    	                           	                        	                    	                     	T                    	1                      	                       	T                      	                    	                   	                 	                       	                      	                       	                       	                       	                   	                       	                     	                          	                    	                            	                     	                    	                   	                       	                        	                    	                	                        	                   	                  	                  	from 130SR.Chapter 11.Table 16.pages 208-213.

  SR	                 	                 	NN11              	              	130	 805	B	 19	H	CC	   8.00	    176.5700	Takayama 	Nannofossils                                 	               	                  	                          	                            	                       	                       	                    	                      	                	T                    	                     	                           	4                    	                        	T                     	10                    	                    	                        	T                 	                      	                      	33                     	18                    	T                      	                 	                 	15                       	1                    	T                   	27                             	13                     	2                         	T                        	                       	T                          	1              	                  	73                	                 	2                       	                     	                          	                   	                 	T                 	T                    	1                  	                  	                   	                    	?                    	                      	                      	                   	?                  	                           	                  	                 	                    	                           	?                       	?                   	                     	T                    	T                      	                       	?                      	                    	                   	                 	                       	                      	                       	                       	                       	                   	                       	                     	                          	                    	                            	                     	                    	                   	                       	                        	                    	                	                        	                   	                  	                  	from 130SR.Chapter 11.Table 16.pages 208-213.

  SR	                 	                 	NN11              	              	130	 805	B	 20	H	 4	  23.00	    182.4300	Takayama 	Nannofossils                                 	               	                  	                          	                            	                       	                       	                    	                      	                	T                    	                     	                           	1                    	1                       	2                     	13                    	                    	                        	T                 	                      	?                     	29                     	38                    	1                      	                 	                 	36                       	                     	5                   	15                             	1                      	2                         	3                        	                       	                           	               	                  	51                	                 	                        	                     	                          	                   	                 	2                 	T                    	?                  	                  	                   	                    	T                    	                      	                      	                   	T                  	                           	                  	?                	                    	                           	                        	                    	                     	T                    	T                      	                       	                       	                    	                   	                 	                       	                      	                       	                       	                       	                   	                       	                     	                          	                    	                            	                     	                    	                   	                       	                        	                    	                	                        	                   	                  	                  	from 130SR.Chapter 11.Table 16.pages 208-213.

  SR	                 	                 	NN11              	              	130	 805	B	 20	H	CC	  19.00	    187.4700	Takayama 	Nannofossils                                 	               	                  	                          	                            	?                      	                       	                    	                      	                	1                    	                     	                           	18                   	                        	4                     	10                    	                    	                        	                  	                      	                      	11                     	35                    	1                      	                 	                 	50                       	                     	?                   	2                              	2                      	2                         	T                        	                       	T                          	3              	                  	52                	                 	1                       	                     	                          	                   	                 	1                 	T                    	3                  	                  	                   	                    	?                    	?                     	                      	                   	1                  	                           	                  	                 	                    	                           	                        	                    	                     	2                    	1                      	                       	                       	                    	                   	                 	                       	                      	                       	                       	                       	                   	                       	                     	                          	                    	                            	                     	                    	                   	                       	                        	                    	                	                        	                   	                  	                  	from 130SR.Chapter 11.Table 16.pages 208-213.

  SR	                 	                 	NN11              	              	130	 805	B	 21	H	 4	  23.00	    191.9300	Takayama 	Nannofossils                                 	               	                  	                          	                            	                       	                       	                    	                      	                	T                    	                     	                           	T                    	T                       	3                     	22                    	                    	                        	T                 	                      	                      	24                     	46                    	1                      	                 	                 	32                       	                     	1                   	5                              	4                      	1                         	T                        	                       	1                          	               	                  	51                	                 	6                       	                     	                          	                   	                 	T                 	T                    	2                  	                  	                   	                    	T                    	?                     	                      	                   	T                  	                           	                  	?                	                    	                           	                        	?                   	T                    	T                    	T                      	                       	                       	1                   	                   	                 	                       	                      	                       	                       	                       	                   	                       	                     	                          	                    	                            	                     	                    	                   	                       	                        	                    	                	                        	                   	                  	                  	from 130SR.Chapter 11.Table 16.pages 208-213.

  SR	                 	                 	NN11              	              	130	 805	B	 21	H	CC	  16.00	    196.7600	Takayama 	Nannofossils                                 	               	                  	                          	                            	                       	                       	                    	                      	                	1                    	                     	                           	3                    	                        	T                     	10                    	                    	                        	T                 	                      	T                     	45                     	49                    	T                      	                 	                 	43                       	                     	2                   	                               	                       	T                         	2                        	                       	                           	1              	                  	35                	                 	6                       	                     	                          	                   	                 	T                 	1                    	1                  	                  	?                  	                    	T                    	                      	                      	                   	T                  	                           	                  	                 	                    	                           	                        	                    	?                    	T                    	1                      	?                      	                       	                    	                   	                 	                       	                      	                       	                       	                       	                   	                       	                     	                          	                    	                            	                     	                    	                   	                       	                        	                    	                	                        	                   	                  	                  	from 130SR.Chapter 11.Table 16.pages 208-213.

  SR	                 	                 	NN11              	              	130	 805	B	 22	H	 4	  23.00	    201.4300	Takayama 	Nannofossils                                 	               	                  	                          	                            	                       	                       	                    	                      	                	T                    	                     	                           	T                    	                        	T                     	8                     	                    	                        	1                 	                      	                      	51                     	67                    	T                      	                 	                 	25                       	                     	T                   	                               	                       	T                         	2                        	                       	                           	               	                  	45                	                 	                        	                     	                          	                   	                 	T                 	T                    	?                  	                  	                   	                    	T                    	                      	                      	                   	T                  	                           	                  	                 	                    	                           	                        	                    	                     	1                    	T                      	                       	                       	                    	                   	                 	                       	                      	                       	                       	                       	                   	                       	                     	                          	                    	                            	                     	                    	                   	                       	                        	                    	                	                        	                   	                  	                  	from 130SR.Chapter 11.Table 16.pages 208-213.

  SR	                 	                 	NN11              	              	130	 805	B	 22	H	CC	  16.00	    206.4600	Takayama 	Nannofossils                                 	               	                  	                          	                            	                       	                       	                    	                      	                	T                    	                     	                           	1                    	1                       	1                     	7                     	                    	                        	T                 	                      	                      	62                     	50                    	T                      	                 	                 	25                       	                     	?                   	                               	                       	T                         	1                        	                       	                           	2              	                  	50                	                 	                        	                     	                          	                   	                 	                  	T                    	T                  	                  	                   	                    	?                    	                      	                      	                   	?                  	                           	                  	                 	?                   	                           	?                       	                    	?                    	T                    	                       	                       	?                      	                    	                   	                 	                       	                      	                       	                       	                       	                   	                       	                     	                          	                    	                            	                     	                    	                   	                       	                        	                    	                	                        	                   	                  	                  	from 130SR.Chapter 11.Table 16.pages 208-213.

  SR	                 	                 	NN11              	              	130	 805	B	 23	H	 4	  23.00	    210.9300	Takayama 	Nannofossils                                 	               	                  	                          	                            	                       	                       	                    	                      	                	                     	                     	                           	2                    	?                       	T                     	12                    	                    	                        	T                 	?                     	                      	11                     	78                    	?                      	                 	?                	16                       	                     	T                   	                               	1                      	T                         	2                        	                       	                           	               	                  	77                	                 	                        	                     	                          	                   	                 	T                 	1                    	T                  	                  	                   	                    	?                    	                      	T                     	                   	T                  	                           	                  	                 	                    	                           	                        	                    	                     	T                    	?                      	?                      	                       	                    	                   	                 	                       	                      	                       	                       	                       	                   	                       	                     	                          	                    	                            	                     	                    	                   	                       	                        	                    	                	                        	                   	                  	                  	from 130SR.Chapter 11.Table 16.pages 208-213.

  SR	                 	                 	NN11              	              	130	 805	B	 23	H	CC	  12.00	    215.9600	Takayama 	Nannofossils                                 	               	                  	                          	                            	                       	                       	                    	                      	                	1                    	                     	                           	2                    	T                       	T                     	15                    	                    	                        	                  	T                     	                      	92                     	29                    	1                      	                 	                 	7                        	                     	1                   	                               	T                      	T                         	T                        	                       	                           	               	                  	52                	                 	                        	                     	                          	                   	                 	T                 	T                    	                   	                  	                   	                    	T                    	                      	                      	                   	                   	                           	                  	?                	                    	                           	                        	?                   	                     	?                    	T                      	                       	                       	                    	                   	                 	                       	                      	                       	                       	                       	                   	                       	                     	                          	                    	                            	                     	                    	                   	                       	                        	                    	                	                        	                   	                  	                  	from 130SR.Chapter 11.Table 16.pages 208-213.

  SR	                 	                 	NN10              	              	130	 805	B	 24	H	 4	  23.00	    220.4300	Takayama 	Nannofossils                                 	               	                  	                          	                            	?                      	                       	                    	                      	                	T                    	                     	                           	2                    	1                       	2                     	20                    	                    	                        	T                 	                      	?                     	79                     	39                    	1                      	                 	                 	10                       	                     	T                   	                               	                       	1                         	1                        	                       	T                          	2              	                  	40                	                 	                        	                     	                          	                   	                 	                  	T                    	1                  	                  	                   	                    	T                    	?                     	                      	                   	T                  	                           	                  	                 	?                   	                           	                        	?                   	                     	?                    	                       	                       	                       	                    	                   	                 	                       	                      	                       	                       	                       	                   	                       	                     	                          	                    	                            	                     	                    	                   	                       	                        	                    	                	                        	                   	                  	                  	Miscellaneous taxa = 1.from 130SR.Chapter 11.Table 16.pages 208-213.

  SR	                 	                 	NN10              	              	130	 805	B	 24	H	CC	  21.00	    225.5000	Takayama 	Nannofossils                                 	               	                  	                          	                            	10                     	                       	                    	                      	                	T                    	                     	                           	11                   	T                       	3                     	31                    	                    	                        	T                 	                      	                      	37                     	39                    	1                      	T                	                 	8                        	                     	1                   	                               	1                      	2                         	7                        	                       	T                          	3              	                  	37                	                 	2                       	                     	                          	                   	                 	T                 	3                    	1                  	                  	?                  	                    	2                    	?                     	?                     	                   	                   	                           	                  	1                	                    	                           	?                       	                    	?                    	                     	                       	                       	                       	                    	                   	                 	                       	                      	                       	                       	                       	                   	                       	                     	                          	                    	                            	                     	                    	                   	                       	                        	                    	                	                        	                   	                  	                  	from 130SR.Chapter 11.Table 16.pages 208-213.

  SR	                 	                 	NN10              	              	130	 805	B	 25	H	 4	  23.00	    229.9300	Takayama 	Nannofossils                                 	               	                  	                          	                            	8                      	                       	                    	3                     	?               	T                    	                     	                           	14                   	?                       	4                     	26                    	                    	                        	T                 	                      	                      	31                     	2                     	3                      	                 	                 	1                        	                     	5                   	                               	                       	1                         	T                        	                       	T                          	1              	                  	96                	                 	                        	                     	                          	                   	                 	T                 	2                    	1                  	                  	                   	                    	1                    	                      	                      	                   	                   	                           	1                 	?                	                    	?                          	                        	?                   	                     	                     	                       	                       	                       	                    	                   	                 	                       	                      	                       	                       	                       	                   	                       	                     	                          	                    	                            	                     	                    	                   	                       	                        	                    	                	                        	                   	                  	                  	from 130SR.Chapter 11.Table 16.pages 208-213.

  SR	                 	                 	NN10              	              	130	 805	B	 25	H	CC	  16.00	    234.9800	Takayama 	Nannofossils                                 	               	                  	                          	                            	9                      	                       	                    	3                     	2               	T                    	                     	                           	3                    	1                       	T                     	30                    	                    	                        	T                 	T                     	?                     	28                     	                      	2                      	                 	                 	1                        	                     	2                   	                               	                       	T                         	3                        	                       	                           	2              	                  	111               	                 	1                       	                     	                          	                   	                 	T                 	1                    	T                  	                  	                   	                    	T                    	                      	                      	                   	                   	                           	                  	?                	                    	?                          	                        	T                   	                     	                     	                       	                       	                       	                    	                   	                 	                       	                      	                       	                       	                       	                   	                       	                     	                          	                    	                            	                     	                    	                   	                       	                        	                    	                	                        	                   	                  	                  	Miscellaneous taxa = 1.from 130SR.Chapter 11.Table 16.pages 208-213.

  SR	                 	                 	NN10              	              	130	 805	B	 26	H	 4	  23.00	    239.4300	Takayama 	Nannofossils                                 	               	                  	                          	4                           	6                      	                       	                    	7                     	                	3                    	                     	                           	15                   	                        	3                     	32                    	                    	                        	T                 	                      	                      	5                      	                      	1                      	                 	                 	                         	                     	4                   	                               	                       	                          	4                        	                       	                           	T              	                  	114               	                 	                        	                     	                          	                   	                 	T                 	2                    	T                  	                  	                   	                    	?                    	                      	                      	                   	                   	                           	                  	?                	                    	                           	                        	                    	                     	                     	                       	                       	                       	                    	                   	                 	                       	                      	                       	                       	                       	                   	                       	                     	                          	                    	                            	                     	                    	                   	                       	                        	                    	                	                        	                   	                  	                  	from 130SR.Chapter 11.Table 16.pages 208-213.

  SR	                 	                 	NN10              	              	130	 805	B	 26	H	CC	  22.00	    244.6600	Takayama 	Nannofossils                                 	               	                  	                          	                            	9                      	                       	                    	7                     	                	T                    	                     	                           	10                   	4                       	4                     	12                    	                    	                        	2                 	?                     	?                     	                       	                      	3                      	1                	                 	                         	                     	4                   	                               	                       	7                         	5                        	                       	                           	5              	                  	96                	                 	                        	                     	                          	                   	                 	1                 	1                    	12                 	                  	?                  	1                   	3                    	                      	                      	                   	                   	                           	                  	12               	                    	                           	                        	1                   	                     	                     	                       	                       	                       	                    	                   	                 	                       	                      	                       	                       	                       	                   	                       	                     	                          	                    	                            	                     	                    	                   	                       	                        	                    	                	                        	                   	                  	                  	from 130SR.Chapter 11.Table 16.pages 208-213.

  SR	                 	                 	NN10              	              	130	 805	B	 27	H	 4	  23.00	    247.5200	Takayama 	Nannofossils                                 	               	                  	                          	                            	1                      	                       	                    	4                     	                	1                    	                     	                           	4                    	1                       	5                     	31                    	                    	                        	2                 	                      	T                     	2                      	1                     	1                      	1                	                 	3                        	                     	3                   	3                              	6                      	1                         	1                        	                       	                           	               	                  	125               	                 	                        	                     	                          	                   	                 	T                 	T                    	1                  	                  	                   	                    	T                    	                      	                      	                   	                   	                           	                  	1                	                    	                           	?                       	T                   	                     	                     	                       	                       	                       	                    	                   	                 	                       	                      	                       	                       	                       	                   	                       	                     	                          	                    	                            	                     	                    	                   	                       	                        	                    	                	                        	                   	                  	                  	Miscellaneous taxa = 2.from 130SR.Chapter 11.Table 16.pages 208-213.

  SR	                 	                 	NN10              	              	130	 805	B	 27	H	CC	  20.00	    254.3500	Takayama 	Nannofossils                                 	               	                  	                          	                            	8                      	                       	                    	6                     	                	T                    	                     	                           	14                   	                        	1                     	15                    	                    	                        	                  	                      	                      	                       	1                     	4                      	T                	?                	                         	                     	1                   	16                             	85                     	1                         	T                        	                       	                           	2              	                  	40                	                 	1                       	                     	                          	                   	                 	T                 	1                    	                   	                  	?                  	                    	2                    	?                     	                      	                   	                   	                           	                  	                 	                    	T                          	                        	                    	                     	                     	                       	                       	                       	                    	                   	                 	                       	                      	                       	                       	                       	                   	                       	                     	                          	                    	                            	                     	                    	                   	                       	                        	                    	                	                        	                   	                  	                  	Miscellaneous taxa = 2.from 130SR.Chapter 11.Table 16.pages 208-213.

  SR	                 	                 	NN10              	              	130	 805	B	 28	H	 4	  23.00	    258.4300	Takayama 	Nannofossils                                 	               	                  	                          	                            	1                      	                       	                    	2                     	                	T                    	                     	                           	30                   	                        	2                     	15                    	                    	                        	                  	                      	?                     	                       	4                     	T                      	                 	                 	                         	                     	?                   	8                              	104                    	2                         	T                        	                       	                           	               	                  	30                	                 	                        	                     	                          	                   	                 	T                 	                     	                   	                  	?                  	                    	T                    	                      	                      	                   	                   	                           	                  	                 	                    	?                          	                        	                    	                     	                     	                       	                       	                       	                    	                   	                 	                       	                      	                       	                       	                       	                   	                       	                     	                          	                    	                            	                     	                    	                   	                       	                        	                    	                	                        	                   	                  	                  	Miscellaneous taxa = 2.from 130SR.Chapter 11.Table 16.pages 208-213.
