Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Cytherella sp.,Robsoniella cf. falklandensis,Cytherella bensoni,Arculicythere tumida,Krithe sp. sp.,Cytherelloidea cf. carnavonensis,Cytherella cf. atypica,Genus X sp.,Paramunsayella? exmouthensis,Hystricocythere sp.,Apateloschizocythere geniculata,Cytherella cf. jonesi,Karsteneis aspericava,Eucytherura ? aff. pyramidatus,Henryhowella? reticulata,Cytherella spp.,Actinocythereis orientalis orientalis,Bairdioidea (inspecified taxon or taxa),Cytheropteron spp.,Bythoceratina sp.,Bradleya ossa,Bythocythere sp.,Bradleya gr. johnsoni,Abyssocypris sp.,Krithe spp.,Actinocythereis orientalis,Poseidonamicus? sp.,Argillocea? sp.,Macrocypris? sp.,Henryhowella sp.,Rockallia sp.,Comment
  SR,                 ,                 ,                  ,              ,122, 762,C, 55,X, 2, 140.00,    671.4000,Damotte  ,Ostracodes                                   ,               ,                  ,              ,                             ,                  ,                    ,+             ,                                ,+                     ,           ,                            ,                   ,                               ,                     ,                     ,                              ,                        ,               ,                                     ,                                       ,                  ,                 ,             ,                ,                     ,                ,           ,                          ,                   ,               ,                ,                ,             ,from ODP Leg 122 SR Chapter 48 Table 2 p 822
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,C, 56,X, 6,  37.00,    685.8700,Damotte  ,Ostracodes                                   ,               ,                  ,              ,                             ,                  ,                    ,              ,                                ,+                     ,           ,+                           ,+                  ,                               ,                     ,                     ,                              ,                        ,               ,                                     ,                                       ,                  ,                 ,             ,                ,                     ,                ,           ,                          ,                   ,               ,                ,                ,             ,from ODP Leg 122 SR Chapter 48 Table 2 p 822
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,C, 57,X, 3,  45.00,    690.9500,Damotte  ,Ostracodes                                   ,               ,                  ,              ,                             ,                  ,                    ,              ,+                               ,                      ,           ,+                           ,                   ,                               ,                     ,                     ,                              ,                        ,               ,                                     ,                                       ,                  ,                 ,             ,                ,                     ,                ,           ,                          ,                   ,               ,                ,                ,             ,from ODP Leg 122 SR Chapter 48 Table 2 p 822
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,C, 58,X, 5, 120.00,    704.2000,Damotte  ,Ostracodes                                   ,               ,                  ,              ,                             ,                  ,                    ,              ,                                ,+                     ,           ,                            ,                   ,                               ,                     ,                     ,                              ,                        ,               ,                                     ,                                       ,                  ,                 ,             ,                ,                     ,                ,           ,                          ,                   ,               ,                ,                ,             ,from ODP Leg 122 SR Chapter 48 Table 2 p 822
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,C, 59,X, 4,  56.00,    711.5600,Damotte  ,Ostracodes                                   ,               ,                  ,              ,                             ,                  ,                    ,              ,                                ,                      ,+          ,                            ,                   ,                               ,                     ,                     ,                              ,                        ,               ,                                     ,                                       ,                  ,                 ,             ,                ,                     ,                ,           ,                          ,                   ,               ,                ,                ,             ,from ODP Leg 122 SR Chapter 48 Table 2 p 822
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,C, 64,X, 1, 135.00,    755.3500,Damotte  ,Ostracodes                                   ,               ,                  ,              ,                             ,                  ,                    ,+             ,                                ,                      ,           ,                            ,                   ,                               ,                     ,                     ,                              ,                        ,               ,                                     ,                                       ,                  ,                 ,             ,                ,                     ,                ,           ,                          ,                   ,               ,                ,                ,             ,from ODP Leg 122 SR Chapter 48 Table 2 p 822
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,C, 66,X, 1,  50.00,    765.5000,Damotte  ,Ostracodes                                   ,               ,                  ,              ,                             ,                  ,                    ,              ,+                               ,+                     ,           ,                            ,                   ,                               ,                     ,                     ,                              ,                        ,               ,                                     ,                                       ,                  ,                 ,             ,                ,                     ,                ,           ,                          ,                   ,               ,                ,                ,             ,from ODP Leg 122 SR Chapter 48 Table 2 p 822
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,C, 68,X, 1,  64.00,    775.6400,Damotte  ,Ostracodes                                   ,               ,                  ,              ,                             ,                  ,                    ,+             ,                                ,                      ,           ,                            ,                   ,                               ,                     ,                     ,                              ,                        ,               ,                                     ,                                       ,                  ,                 ,             ,                ,                     ,                ,           ,                          ,                   ,               ,                ,                ,             ,from ODP Leg 122 SR Chapter 48 Table 2 p 822
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,C, 71,X, 1,  62.00,    790.6200,Damotte  ,Ostracodes                                   ,               ,                  ,+             ,                             ,                  ,                    ,              ,                                ,                      ,           ,                            ,                   ,                               ,                     ,                     ,                              ,                        ,               ,                                     ,                                       ,                  ,                 ,             ,                ,                     ,                ,           ,                          ,                   ,               ,                ,                ,             ,from ODP Leg 122 SR Chapter 48 Table 2 p 822
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,C, 74,X, 1,  74.00,    805.2400,Damotte  ,Ostracodes                                   ,               ,                  ,              ,                             ,                  ,                    ,+             ,                                ,                      ,           ,                            ,                   ,                               ,                     ,                     ,                              ,                        ,               ,                                     ,                                       ,                  ,                 ,             ,                ,                     ,                ,           ,                          ,                   ,               ,                ,                ,             ,from ODP Leg 122 SR Chapter 48 Table 2 p 822
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,C, 77,X, 4,  17.00,    824.1700,Damotte  ,Ostracodes                                   ,               ,                  ,              ,+                            ,+                 ,+                   ,              ,                                ,                      ,           ,                            ,                   ,                               ,                     ,                     ,                              ,                        ,               ,                                     ,                                       ,                  ,                 ,             ,                ,                     ,                ,           ,                          ,                   ,               ,                ,                ,             ,from ODP Leg 122 SR Chapter 48 Table 2 p 822
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,C, 78,X, 1,  47.00,    829.4700,Damotte  ,Ostracodes                                   ,               ,                  ,+             ,                             ,                  ,                    ,              ,                                ,                      ,           ,                            ,                   ,                               ,                     ,                     ,                              ,                        ,               ,                                     ,                                       ,                  ,                 ,             ,                ,                     ,                ,           ,                          ,                   ,               ,                ,                ,             ,from ODP Leg 122 SR Chapter 48 Table 2 p 822
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
