Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Oligosphaeridium spp.,Leptodinium eumorphum,Fromea cylindrica,Egmontodinium torynum,Cribroperidinium spp.,Batioladinium reticulatum,Apteodinium granulatum,Systematophora areolata,Tubotuberella vlamingii,Impagidinium spp.,Phoberocysta neocomica,Stelladinium spp.,Muderongia testudinaria,Muderongia australis,Dingodinium cerviculum,Muderongia tetracantha,Kaiwaradinium scrutillinum,Belodinium dysculum,Circulodinium deflandrei,Cassiculosphaeridia magna,Herendeenia postprojecta,Epitricysta vinckensis,Ovoidinium cinctum,Carpodinium granulatum,Odontochitina operculata,Muderongia macwhaei,Batioladinium micropodum,Circulodinium colliveri,Atlantodinium sp. A,Yalkalpodinium scutum,Comment
  SR,Valanginian      ,Hauterivian      ,3a-c              ,              ,122, 763,B, 48,X, 2,  47.00,    624.4700,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,F                    ,                     ,                 ,                     ,                     ,                         ,                      ,C                      ,                       ,R                ,                      ,                 ,                       ,                    ,                      ,                      ,                          ,                   ,                        ,                         ,                        ,                      ,                  ,                      ,                        ,                   ,                        ,                       ,                   ,                     ,from ODP Leg 122 SR Chapter 31 Figure 4 p 515 and Fig 2 p 513
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Valanginian      ,Hauterivian      ,3a-c              ,              ,122, 763,B, 48,X, 3,  44.00,    625.9400,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,F                    ,                     ,                 ,                     ,                     ,                         ,                      ,C                      ,                       ,                 ,                      ,                 ,                       ,                    ,                      ,                      ,                          ,                   ,                        ,                         ,                        ,                      ,                  ,                      ,                        ,                   ,                        ,                       ,                   ,                     ,from ODP Leg 122 SR Chapter 31 Figure 4 p 515 and Fig 2 p 513
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Valanginian      ,Hauterivian      ,3a-c              ,              ,122, 763,B, 48,X, 4,  50.00,    627.5000,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                     ,F                    ,                 ,                     ,                     ,                         ,                      ,F                      ,F                      ,                 ,                      ,                 ,                       ,                    ,                      ,                      ,                          ,                   ,                        ,                         ,                        ,                      ,                  ,                      ,                        ,                   ,                        ,                       ,                   ,                     ,from ODP Leg 122 SR Chapter 31 Figure 4 p 515 and Fig 2 p 513
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 763,B, 48,X, 5,  48.00,    628.9800,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                     ,C                    ,                 ,F                    ,                     ,                         ,                      ,R                      ,C                      ,                 ,                      ,                 ,                       ,                    ,                      ,                      ,                          ,                   ,                        ,                         ,                        ,                      ,                  ,                      ,                        ,                   ,                        ,                       ,                   ,                     ,from ODP Leg 122 SR Chapter 31 Figure 4 p 515 and Fig 2 p 513
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Berriasian       ,Valanginian      ,4ai-ii            ,              ,122, 763,B, 49,X, 1,  48.00,    627.9800,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                     ,+                    ,                 ,+                    ,+                    ,                         ,                      ,                       ,+                      ,                 ,                      ,                 ,                       ,                    ,                      ,                      ,                          ,                   ,                        ,                         ,                        ,                      ,                  ,                      ,                        ,                   ,                        ,                       ,                   ,                     ,from ODP Leg 122 SR Chapter 31 Figure 4 p 515 and Fig 2 p 513
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Berriasian       ,Valanginian      ,4ai-ii            ,              ,122, 763,B, 49,X, 2, 102.00,    630.0200,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                     ,+                    ,                 ,+                    ,+                    ,                         ,                      ,                       ,+                      ,                 ,                      ,                 ,                       ,                    ,                      ,                      ,                          ,                   ,                        ,                         ,                        ,                      ,                  ,                      ,                        ,                   ,                        ,                       ,                   ,                     ,from ODP Leg 122 SR Chapter 31 Figure 4 p 515 and Fig 2 p 513
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Berriasian       ,Valanginian      ,4ai-ii            ,              ,122, 763,B, 49,X, 4,  46.00,    632.4600,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                     ,+                    ,                 ,+                    ,+                    ,                         ,                      ,                       ,+                      ,                 ,                      ,                 ,                       ,                    ,                      ,                      ,                          ,                   ,                        ,                         ,                        ,                      ,                  ,                      ,                        ,                   ,                        ,                       ,                   ,                     ,from ODP Leg 122 SR Chapter 31 Figure 4 p 515 and Fig 2 p 513
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Berriasian       ,                 ,4aiii             ,              ,122, 763,B, 50,X, 1,  48.00,    632.9800,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,R                    ,C                    ,                 ,R                    ,R                    ,F                        ,                      ,R                      ,                       ,                 ,                      ,                 ,                       ,                    ,                      ,                      ,                          ,                   ,                        ,                         ,                        ,                      ,                  ,                      ,                        ,                   ,                        ,                       ,                   ,                     ,from ODP Leg 122 SR Chapter 31 Figure 4 p 515 and Fig 2 p 513
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Berriasian       ,                 ,4aiii             ,              ,122, 763,B, 50,X, 2,  48.00,    634.4800,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,R                    ,                     ,                 ,C                    ,R                    ,                         ,F                     ,C                      ,                       ,                 ,                      ,                 ,                       ,                    ,                      ,                      ,                          ,                   ,                        ,                         ,                        ,                      ,                  ,                      ,                        ,                   ,                        ,                       ,                   ,                     ,from ODP Leg 122 SR Chapter 31 Figure 4 p 515 and Fig 2 p 513
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Berriasian       ,                 ,4aiii             ,              ,122, 763,B, 50,X, 3,  48.00,    635.9800,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                     ,                     ,R                ,F                    ,F                    ,                         ,F                     ,F                      ,                       ,                 ,                      ,                 ,                       ,                    ,                      ,                      ,                          ,                   ,                        ,                         ,                        ,                      ,                  ,                      ,                        ,                   ,                        ,                       ,                   ,                     ,from ODP Leg 122 SR Chapter 31 Figure 4 p 515 and Fig 2 p 513
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Berriasian       ,                 ,4aiii             ,              ,122, 763,B, 50,X, 4,  48.00,    637.4800,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                     ,F                    ,                 ,C                    ,F                    ,R                        ,                      ,R                      ,                       ,                 ,                      ,                 ,                       ,                    ,                      ,                      ,                          ,                   ,                        ,                         ,                        ,                      ,                  ,                      ,                        ,                   ,                        ,                       ,                   ,                     ,from ODP Leg 122 SR Chapter 31 Figure 4 p 515 and Fig 2 p 513
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Berriasian       ,                 ,4aiii             ,              ,122, 763,B, 50,X, 5,  48.00,    638.9800,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                     ,C                    ,                 ,                     ,                     ,                         ,                      ,                       ,                       ,                 ,                      ,                 ,                       ,                    ,                      ,                      ,                          ,                   ,                        ,                         ,                        ,                      ,                  ,                      ,                        ,                   ,                        ,                       ,                   ,                     ,from ODP Leg 122 SR Chapter 31 Figure 4 p 515 and Fig 2 p 513
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Berriasian       ,                 ,4aiii             ,              ,122, 763,B, 51,X, 1,  34.00,    637.8400,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                     ,                     ,R                ,R                    ,R                    ,                         ,                      ,                       ,                       ,                 ,                      ,                 ,                       ,                    ,                      ,                      ,                          ,                   ,                        ,                         ,                        ,                      ,                  ,                      ,                        ,                   ,                        ,                       ,                   ,                     ,from ODP Leg 122 SR Chapter 31 Figure 4 p 515 and Fig 2 p 513
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Berriasian       ,                 ,4aiii             ,              ,122, 763,B, 51,X, 2,  48.00,    639.4800,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                     ,R                    ,                 ,F                    ,R                    ,                         ,R                     ,                       ,                       ,                 ,                      ,                 ,                       ,                    ,                      ,                      ,                          ,                   ,                        ,                         ,                        ,                      ,                  ,                      ,                        ,                   ,                        ,                       ,                   ,                     ,from ODP Leg 122 SR Chapter 31 Figure 4 p 515 and Fig 2 p 513
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Berriasian       ,                 ,4aiii             ,              ,122, 763,B, 51,X, 3,  48.00,    640.9800,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                     ,F                    ,R                ,R                    ,R                    ,                         ,                      ,                       ,                       ,                 ,                      ,                 ,                       ,                    ,                      ,                      ,                          ,                   ,                        ,                         ,                        ,                      ,                  ,                      ,                        ,                   ,                        ,                       ,                   ,                     ,from ODP Leg 122 SR Chapter 31 Figure 4 p 515 and Fig 2 p 513
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Berriasian       ,                 ,4aiii             ,              ,122, 763,B, 51,X, 4,  48.00,    642.4800,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,R                    ,R                    ,                 ,F                    ,R                    ,                         ,R                     ,                       ,                       ,                 ,                      ,                 ,                       ,                    ,                      ,                      ,                          ,                   ,                        ,                         ,                        ,                      ,                  ,                      ,                        ,                   ,                        ,                       ,                   ,                     ,from ODP Leg 122 SR Chapter 31 Figure 4 p 515 and Fig 2 p 513
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Berriasian       ,                 ,4aiii             ,              ,122, 763,B, 51,X, 5,  48.00,    643.9800,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,F                    ,F                    ,                 ,F                    ,                     ,R                        ,                      ,                       ,                       ,                 ,                      ,                 ,                       ,                    ,                      ,                      ,                          ,                   ,                        ,                         ,                        ,                      ,                  ,                      ,                        ,                   ,                        ,                       ,                   ,                     ,from ODP Leg 122 SR Chapter 31 Figure 4 p 515 and Fig 2 p 513
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Berriasian       ,                 ,4aiii             ,              ,122, 763,B, 51,X,CC,  48.00,    645.3800,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,F                    ,F                    ,                 ,F                    ,                     ,                         ,                      ,                       ,                       ,                 ,                      ,                 ,                       ,                    ,                      ,                      ,                          ,                   ,                        ,                         ,                        ,                      ,                  ,                      ,                        ,                   ,                        ,                       ,                   ,                     ,from ODP Leg 122 SR Chapter 31 Figure 4 p 515 and Fig 2 p 513
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Berriasian       ,                 ,4aiii             ,              ,122, 763,B, 53,X, 1,  49.00,    647.9900,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,R                    ,F                    ,F                ,F                    ,R                    ,R                        ,R                     ,                       ,                       ,                 ,                      ,                 ,                       ,                    ,                      ,                      ,                          ,                   ,                        ,                         ,                        ,                      ,                  ,                      ,                        ,                   ,                        ,                       ,                   ,                     ,from ODP Leg 122 SR Chapter 31 Figure 4 p 515 and Fig 2 p 513
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Berriasian       ,                 ,4aiii             ,              ,122, 763,B, 54,X, 1,  75.00,    649.2500,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,R                    ,R                    ,R                ,F                    ,R                    ,R                        ,R                     ,                       ,                       ,                 ,                      ,                 ,                       ,                    ,                      ,                      ,                          ,                   ,                        ,                         ,                        ,                      ,                  ,                      ,                        ,                   ,                        ,                       ,                   ,                     ,from ODP Leg 122 SR Chapter 31 Figure 4 p 515 and Fig 2 p 513
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
