Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Truncorotalia crassaformis	Menardella miocenica	Hirsutella hirsuta	Globoturborotalita woodi	Globigerinoides extremus	Globigerina falconensis	Sphaeroidinellopsis paenedehiscens	Sphaeroidinella dehiscens	Globigerinoides obliquus	Dentoglobigerina altispira	Globoquadrina venezuelana	Globoconella puncticulata	Neogloboquadrina pachyderma	Globoturborotalita rubescens	Globoconella inflata	Globoturborotalita apertura	Globigerina bulloides	Truncorotalia crassaformis hessi	Globigerina quinqueloba	Pulleniatina obliquiloculata	Truncorotalia crassula	Truncorotalia truncatulinoides (dex.)	Sphaeroidinellopsis seminulina	Truncorotalia truncatulinoides (sin.)	Globorotalia tumida	Menardella menardii (sinistral)	Globorotalia tumida flexuosa	Truncorotalia tosaensis	Comment	 
  IR	                 	                 	                  	              	172	1063	A	33	X	2	70	296	Chaisson 	Planktonic Foraminifers                      	T              	P                 	+                         	                    	                  	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	                    	                           	                     	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	       	
																																														
  IR	                 	                 	                  	              	172	1063	A	33	X	3	70	297.5	Chaisson 	Planktonic Foraminifers                      	T              	P                 	                          	                    	                  	                        	                        	                       	                                  	+                        	                        	                          	                         	                         	+                          	                            	                    	                           	                     	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	       	
																																														
  IR	                 	Late Pliocene    	                  	N21           	172	1063	A	33	X	CC	34	303.37	Chaisson 	Planktonic Foraminifers                      	F              	M                 	F                         	                    	R                 	R                       	                        	F                      	                                  	R                        	                        	                          	                         	                         	R                          	R                           	F                   	                           	F                    	                                	                       	                            	R                     	                                     	                              	                                     	                   	                               	                            	                       	pyrite burrows > 2.0 Ma< 2.09 Ma	
																																														
  IR	                 	                 	                  	              	172	1063	A	34	X	1	69	304.19	Chaisson 	Planktonic Foraminifers                      	T              	P                 	+                         	                    	                  	                        	                        	+                      	                                  	                         	                        	                          	                         	                         	                           	                            	                    	                           	                     	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	       	
																																														
  IR	                 	Late Pliocene    	                  	              	172	1063	A	34	X	2	70	305.7	Chaisson 	Planktonic Foraminifers                      	T              	P                 	+                         	                    	+                 	+                       	                        	                       	                                  	                         	+                       	                          	                         	                         	                           	                            	+                   	                           	+                    	                                	                       	+                           	                      	                                     	                              	                                     	                   	                               	                            	                       	2 inflata	
																																														
  IR	                 	Late Pliocene    	                  	              	172	1063	A	34	X	3	73	307.23	Chaisson 	Planktonic Foraminifers                      	T              	P                 	+                         	                    	                  	                        	                        	                       	                                  	+                        	                        	                          	                         	                         	                           	                            	                    	                           	                     	                                	                       	+                           	                      	                                     	                              	                                     	                   	                               	                            	                       	no inflata	
																																														
  IR	                 	                 	                  	              	172	1063	A	34	X	4	74	308.74	Chaisson 	Planktonic Foraminifers                      	T              	P                 	+                         	                    	                  	                        	                        	+                      	                                  	                         	+                       	                          	                         	                         	+                          	                            	                    	                           	                     	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	       	
																																														
  IR	                 	Late Pliocene    	                  	N21           	172	1063	A	34	X	CC	61	313.11	Chaisson 	Planktonic Foraminifers                      	R              	P                 	F                         	                    	                  	                        	1	F                      	                                  	R                        	                        	                          	                         	                         	                           	R                           	                    	                           	R                    	                                	                       	R                           	                      	                                     	                              	                                     	                   	                               	                            	                       	pyrite burrows	
																																														
  IR	                 	                 	                  	              	172	1063	A	35	X	1	79	313.89	Chaisson 	Planktonic Foraminifers                      	T              	P                 	+                         	                    	                  	                        	                        	                       	                                  	+                        	                        	                          	                         	                         	+                          	                            	                    	                           	+                    	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	       	
																																														
  IR	                 	                 	                  	              	172	1063	A	35	X	3	70	316.8	Chaisson 	Planktonic Foraminifers                      	R              	P                 	F                         	                    	                  	R                       	                        	F                      	                                  	                         	                        	                          	                         	                         	R                          	R                           	                    	                           	+                    	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	no miocenica no obliquiloculata	
																																														
  IR	                 	Late Pliocene    	                  	N21           	172	1063	A	35	X	4	69	318.29	Chaisson 	Planktonic Foraminifers                      	R              	P                 	                          	                    	                  	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	                    	                           	2	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	       	
																																														
  IR	                 	                 	                  	              	172	1063	A	35	X	5	69	319.79	Chaisson 	Planktonic Foraminifers                      	T              	P                 	                          	                    	+                 	+                       	                        	                       	                                  	                         	                        	                          	+                        	                         	+                          	+                           	                    	                           	                     	                                	+                      	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	small transparent globorotaliids no miocenica	
																																														
  IR	                 	                 	                  	              	172	1063	A	35	X	6	70	321.3	Chaisson 	Planktonic Foraminifers                      	T              	P                 	                          	                    	                  	                        	                        	+                      	                                  	                         	                        	                          	                         	                         	+                          	                            	                    	                           	                     	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	no miocenica no Pulleniatina	
																																														
  IR	                 	Late Pliocene    	                  	N21           	172	1063	A	35	X	CC	9	322.64	Chaisson 	Planktonic Foraminifers                      	R              	P                 	F                         	                    	R                 	                        	                        	R                      	                                  	R                        	                        	                          	                         	                         	                           	                            	1	                           	R                    	R                               	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	pyritized mud chunks	
																																														
  IR	                 	                 	                  	              	172	1063	A	36	X	1	70	323.3	Chaisson 	Planktonic Foraminifers                      	T              	P                 	+                         	                    	                  	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	                    	                           	                     	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	no miocenica found	
																																														
  IR	                 	                 	                  	              	172	1063	A	36	X	2	70	324.8	Chaisson 	Planktonic Foraminifers                      	T              	P                 	                          	                    	                  	+                       	                        	                       	                                  	                         	                        	                          	                         	                         	+                          	                            	                    	                           	                     	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	       	
																																														
  IR	                 	                 	                  	              	172	1063	A	36	X	4	67	327.77	Chaisson 	Planktonic Foraminifers                      	R              	P                 	+                         	                    	+                 	+                       	                        	                       	                                  	                         	                        	                          	                         	                         	                           	+                           	                    	                           	+                    	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	       	
																																														
  IR	                 	Middle Pliocene  	                  	N21           	172	1063	A	36	X	5	70	329.3	Chaisson 	Planktonic Foraminifers                      	T              	P                 	+                         	                    	                  	+                       	                        	                       	                                  	                         	                        	                          	                         	+                        	                           	                            	                    	                           	                     	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	       	
																																														
  IR	                 	Middle Pliocene  	                  	N21           	172	1063	A	36	X	6	72	330.82	Chaisson 	Planktonic Foraminifers                      	T              	P                 	+                         	                    	                  	                        	                        	+                      	                                  	                         	                        	                          	                         	+                        	                           	                            	                    	                           	+                    	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	       	
																																														
  IR	Middle Pliocene  	Late Pliocene    	N20               	N21           	172	1063	A	36	X	CC	31	331.44	Chaisson 	Planktonic Foraminifers                      	R              	P                 	+                         	+                   	                  	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	+                   	                           	                     	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	       	
																																														
  IR	Middle Pliocene  	Late Pliocene    	N20               	N21           	172	1063	A	37	X	CC	0	341.45	Chaisson 	Planktonic Foraminifers                      	R              	P                 	+                         	+                   	                  	                        	                        	+                      	                                  	                         	                        	                          	                         	                         	                           	+                           	+                   	                           	+                    	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	       	
																																														
  IR	                 	                 	                  	              	172	1063	A	38	X	CC	28	349.2	Chaisson 	Planktonic Foraminifers                      	R              	P                 	+                         	                    	                  	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	                    	                           	                     	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	1 ostracode	
																																														
  IR	                 	                 	                  	              	172	1063	A	40	X	CC	20	369.32	Chaisson 	Planktonic Foraminifers                      	R              	P                 	+                         	                    	                  	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	                    	                           	                     	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	       	
																																														
  IR	                 	Middle Pliocene  	N20               	N21           	172	1063	A	41	X	1	70	371	Chaisson 	Planktonic Foraminifers                      	T              	P                 	                          	                    	                  	                        	                        	                       	                                  	                         	                        	                          	                         	+                        	                           	                            	                    	                           	                     	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	       	
																																														
  IR	                 	Middle Pliocene  	N20               	N21           	172	1063	A	41	X	2	82	372.62	Chaisson 	Planktonic Foraminifers                      	T              	P                 	+                         	                    	                  	+                       	                        	+                      	                                  	                         	                        	                          	                         	+                        	+                          	                            	                    	                           	                     	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	       	
																																														
  IR	                 	                 	                  	              	172	1063	A	41	X	3	70	374	Chaisson 	Planktonic Foraminifers                      	T              	P                 	                          	                    	                  	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	                    	+                          	                     	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	       	
																																														
  IR	                 	Middle Pliocene  	N20               	N21           	172	1063	A	41	X	CC	30	375.56	Chaisson 	Planktonic Foraminifers                      	F              	P                 	+                         	                    	                  	+                       	+                       	                       	                                  	                         	+                       	                          	                         	+                        	                           	                            	+                   	+                          	                     	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	ostracodes no altispira <3.12 Ma	
																																														
  IR	                 	                 	                  	              	172	1063	A	42	X	1	70	380.6	Chaisson 	Planktonic Foraminifers                      	T              	P                 	+                         	                    	                  	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	                    	                           	                     	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	       	
																																														
  IR	                 	Middle Pliocene  	                  	N20           	172	1063	A	42	X	2	70	382.1	Chaisson 	Planktonic Foraminifers                      	T              	P                 	+                         	                    	                  	                        	                        	                       	                                  	                         	                        	+                         	                         	                         	                           	                            	                    	                           	                     	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	       	
																																														
  IR	                 	Middle Pliocene  	N20               	N21           	172	1063	A	42	X	4	70	385.1	Chaisson 	Planktonic Foraminifers                      	T              	P                 	+                         	                    	                  	+                       	                        	                       	                                  	                         	                        	                          	                         	+                        	                           	                            	                    	                           	                     	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	       	
																																														
  IR	                 	                 	                  	              	172	1063	A	42	X	CC	23	387.1	Chaisson 	Planktonic Foraminifers                      	F              	P                 	+                         	                    	+                 	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	                    	                           	                     	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	ostracodes	
																																														
  IR	                 	                 	                  	              	172	1063	A	43	X	1	71	390.21	Chaisson 	Planktonic Foraminifers                      	T              	P                 	+                         	                    	                  	                        	+                       	+                      	                                  	                         	                        	                          	                         	                         	                           	+                           	                    	                           	                     	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	       	
																																														
  IR	                 	                 	                  	              	172	1063	A	43	X	2	70	391.7	Chaisson 	Planktonic Foraminifers                      	T              	P                 	                          	                    	                  	                        	                        	+                      	                                  	                         	                        	                          	                         	                         	                           	                            	                    	                           	                     	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	       	
																																														
  IR	                 	                 	                  	              	172	1063	A	43	X	3	70	393.2	Chaisson 	Planktonic Foraminifers                      	T              	P                 	+                         	                    	                  	                        	                        	                       	                                  	                         	+                       	                          	                         	                         	                           	+                           	+                   	                           	                     	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	no altispira	
																																														
  IR	Middle Pliocene  	Late Pliocene    	                  	              	172	1063	A	43	X	4	70	394.7	Chaisson 	Planktonic Foraminifers                      	T              	P                 	+                         	                    	                  	                        	                        	                       	                                  	+                        	+                       	                          	                         	                         	+                          	                            	                    	                           	                     	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	no altispira	
																																														
  IR	                 	Middle Pliocene  	                  	N20           	172	1063	A	43	X	5	70	396.2	Chaisson 	Planktonic Foraminifers                      	T              	P                 	+                         	                    	                  	+                       	                        	                       	                                  	                         	                        	+                         	+                        	+                        	                           	                            	                    	                           	                     	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	       	
																																														
  IR	                 	Middle Pliocene  	                  	N20           	172	1063	A	43	X	CC	0	398.78	Chaisson 	Planktonic Foraminifers                      	R              	P                 	                          	                    	                  	                        	                        	                       	                                  	                         	                        	R                         	                         	                         	                           	                            	                    	                           	                     	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	plastic and pyrite	
																																														
  IR	                 	Middle Pliocene  	                  	N20           	172	1063	A	44	X	CC	11	408.53	Chaisson 	Planktonic Foraminifers                      	T              	P                 	+                         	                    	+                 	+                       	                        	                       	+                                 	+                        	+                       	+                         	                         	                         	                           	                            	                    	                           	                     	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	       	
																																														
  IR	                 	Middle Pliocene  	                  	N20           	172	1063	A	45	X	CC	31	418.29	Chaisson 	Planktonic Foraminifers                      	T              	P                 	+                         	+                   	+                 	+                       	+                       	+                      	                                  	                         	                        	                          	                         	                         	                           	                            	                    	                           	                     	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	Bottom of hole in N20; >3.11 Ma	
