Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Globoturborotalita brazieri,Globoturborotalia sp. cf. G. labiacrassata,Globorotaloides suteri,Globigerina sp.,Catapsydrax unicavus,Catapsydrax dissimilis,Paragloborotalia semivera,Paragloborotalita incognita,Globoturborotalita sp.,Globorotalia praescitula,Globorotalia zealandica,Globoturborotalita woodi,Globorotalia miozea,Neogloboquadrina continuosa,Globorotalia scitula,Paragloborotalia siakensis,Globigerinita uvula,Globigerina bulloides,Neogloboquadrina sp.,Globoturorotalita sp. indet.,Neogloboquadrina pachyderma,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,NK5               ,              ,120, 751,A,  8,H, 6,  32.00,     69.5200,Berggren ,Planktonic Foraminifers                      ,R              ,G                 ,                           ,                                          ,                      ,               ,                    ,                      ,                         ,                           ,                      ,                        ,                       ,R                       ,                   ,                           ,                    ,                          ,                   ,R                    ,R                   ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,NK5               ,              ,120, 751,A,  8,H,CC,  18.00,     70.0100,Berggren ,Planktonic Foraminifers                      ,R              ,G                 ,                           ,                                          ,                      ,               ,                    ,                      ,                         ,                           ,                      ,                        ,                       ,R                       ,                   ,                           ,                    ,                          ,                   ,                     ,R                   ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,NK5               ,              ,120, 751,A,  9,H, 2,  32.00,     73.0200,Berggren ,Planktonic Foraminifers                      ,F              ,G                 ,                           ,                                          ,                      ,               ,                    ,                      ,                         ,                           ,                      ,                        ,                       ,A                       ,                   ,                           ,                    ,                          ,                   ,R                    ,R                   ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,NK5               ,              ,120, 751,A,  9,H, 3,  32.00,     74.5200,Berggren ,Planktonic Foraminifers                      ,F              ,G                 ,                           ,                                          ,                      ,               ,                    ,                      ,                         ,                           ,                      ,                        ,                       ,R                       ,                   ,                           ,                    ,                          ,                   ,R                    ,                    ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,NK5               ,              ,120, 751,A,  9,H, 4,  32.00,     76.0200,Berggren ,Planktonic Foraminifers                      ,R              ,G                 ,                           ,                                          ,                      ,               ,                    ,                      ,                         ,                           ,                      ,                        ,                       ,A                       ,                   ,                           ,                    ,                          ,                   ,R                    ,                    ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
