Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),,Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zeugrhabdotus embergeri,Watznaueria barnesae,Tetrapodorhabdus decorus,Rhagodiscus asper,Nannoconus steinmannii,Nannoconus bucheri,Microstaurus chiastius,Micrantholithus obtusus,Manivitella pemmatoidea,Lithraphidites carniolensis carniolensis,Diazomatolithus lehmanii,Cyclagelosphaera deflandrei,Cretarhabdus angustiforatus,Braarudosphaera regularis,Biscutum constans,Watznaueria britannica,Tegumentum stradneri,Rhagodiscus angustus,Nannoconus truitti,Micrantholithus hoschulzii,Hayesites bulbus,Eprolithus floralis,Radiolithus planus,Braarudosphaera batilliformis,Rucinolithus irregularis,Flabellites oblongus,Chiastozygus platyrhethus,Assipetra infracretacea,Watznaueria supracretacea,Vekshinella stradnerii,Stoverius achylosus,Parhabdolithus embergeri,Nannoconus truitti ssp rectangularis,Haqius circumradiatus,Nannoconus abundans,Braarudosphaera hockwoldensis,Gephyrorhabdus coronadventis,Braarudosphaera africana,Radiolithus orbiculatus,Prediscosphaera columnata,Parhabdolithus infinitus,Hayesites albiensis,Axopodorhabdus dietzmannii,Prediscosphaera spinosa,Watznaueria biporta,Vagalapilla matalosa,Tranolithus gabalus,Rotelapillus laffittei,Placozygus sigmoides,Parhabdolithus achylostaurion,Lithraphidites pseudoquadratus,Glaukolithus compactus,Discorhabdus ignotus,Cribrosphaerella ehrenbergii,Cretarhabdus conicus,Quadrum eneabrachium,Cretarhabdus loriei,Glaukolithus diplogrammus,Quadrum trifidum,Eiffellithus eximius,Aspidolithus parcus constrictus,Zeugrhabdotus pseudanthophorus,Zeugrhabdotus obliqueclausus,Stradneria crenulata,Retemediaformis sp. 1,Retecapsa angustiforata,Prediscosphaera intercisa,Prediscosphaera cretacea,Placozygus fibuliformis,Neocrepidolithus cohenii,Micula decussata,Microrhabdulus decoratus,Microrhabdulus attenuatus,Lithraphidites praequadratus,Gartnerago obliquum,Chiastozygus litterarius,Ceratolithoides aculeus,Braarudosphaera bigelowii,Arkhangelskiella specillata,Arkhangelskiella cymbiformis,Reinhardtites levis,Prediscosphaera grandis,Eiffellithus turriseiffelii,Tranolithus phacelosus,Micula prinsii,Micula murus,Lithraphidites quadratus,Ceratolithoides kamptneri,Aspidolithus parcus parcus,Cylindralithus gallicus,Lithraphidites kennethii,Tranolithus minimus,Microrhabdulus undosus,Rhagodiscus splendens,Prediscosphaera stoveri,Cribrocorona gallica,Ahmuellerella regularis,Thoracosphaera spp.,Microrhabdulus belgicus,Eiffellithus parallelus,Rotelapillus crenulatus,Markalius inversus,Lithraphidites grossopectinatus,Eiffellithus gorkae,Toweius petalosus,Octolithus multiplus,Ericsonia subpertusa,Cyclagelosphaera reinhardtii,Cruciplacolithus primus (small),Cruciplacolithus edwardsii,Biscutum parvulum,Goniolithus fluckigeri,Cyclagelosphaera margerelii,Neochiastozygus primitivus,Ericsonia robusta,Cruciplacolithus primus (large),Thoracosphaera operculata,Prinsius petalosus,Lanternithus duocavus,Cruciplacolithus primus,Cruciplacolithus tenuis,Chiasmolithus danicus,Prinsius dimorphosus,Neocrepidolithus cruciatus,Neochiastozygus modestus,Neochiastozygus imbriei,Micrantholithus pinguis,Hornibrookina teuriensis,Ericsonia cava,Neocrepidolithus neocrassus,Ellipsolithus macellus,Sphenolithus primus,Ellipsolithus bollii,Chiasmolithus edwardsii,Heliolithus kleinpellii,Discoaster mohleri,Discoaster bramlettei,Zygrhablithus bijugatus,Tribrachiatus orthostylus,Discoaster salisburgensis,Sphenolithus conspicuus,Discoaster robustus,Sphenolithus orphanknollensis,Lophodolithus nascens,Discoaster lodoensis,Discoaster anartios,Sphenolithus radians,Sphenolithus moriformis,Ellipsolithus lajollaensis,Discoaster barbadiensis,Chiphragmalithus barbatus,Chiasmolithus consuetus,Campylosphaera dela,Toweius crassus,Discoaster kuepperi,Chiasmolithus expansus,Discoaster cruciformis,Toweius gammation,Discoaster sublodoensis,Chiasmolithus grandis,Toweius callosus,Rhabdosphaera tenuis,Reticulofenestra dictyoda,Pseudotriquetrorhabdulus inversus,Markalius apertus,Lophodolithus mochlophorus,Ericsonia formosa,Discoaster gemmifer,Coronocyclus prionion,Sphenolithus spiniger,Neococcolithes dubius,Rhabdosphaera inflata,Pemma papillatum,Coccolithus pelagicus,Coccolithus eopelagicus,Chiasmolithus solitus,Sphenolithus furcatolithoides,Neococcolithes minutus,Chiasmolithus gigas,Pedinocyclus larvalis,Braarudosphaera discula,Discoaster nodifer,Ericsonia obruta,Sphenolithus elongatus,Helicosphaera lophota,Discoaster wemmelensis,Discoaster tanii,Discoaster saipanensis,Sphenolithus stellatus,Discoaster strictus,Cruciplacolithus vanheckae,Cribrocentrum reticulatum,Discoaster praebifax,Sphenolithus obtusus,Reticulofenestra umbilica,Discoaster bifax,Cyclicargolithus floridanus,Chiasmolithus nitidus,Pseudoemiliania lacunosa,Gephyrocapsa oceanica,Gephyrocapsa caribbeanica,Calcidiscus macintyrei,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Paleocene  ,                  ,              ,,171,1049,A, 16,X,CC,  45.00,    124.1200,Self-Trail,Nannofossils                                 ,A              ,G                 ,                       ,                    ,                        ,                 ,                      ,                  ,                      ,                       ,                       ,                                        ,                        ,                           ,                           ,                         ,                 ,                      ,                    ,                    ,                  ,                          ,                ,                   ,                  ,                             ,                        ,                    ,                         ,                       ,                         ,                      ,                   ,                        ,                                    ,                     ,                   ,                             ,                            ,                        ,                       ,                         ,                        ,                   ,                          ,                       ,                   ,                    ,                   ,                      ,                    ,                             ,                              ,                      ,                    ,                            ,                    ,                    ,                   ,                         ,                ,                    ,                               ,                              ,                            ,                    ,                     ,                       ,                         ,                        ,                       ,                        ,                ,                        ,                         ,                            ,                   ,                        ,                       ,C                        ,                           ,                            ,                   ,                       ,                           ,                      ,              ,            ,                        ,                         ,                          ,                       ,                        ,                   ,                      ,                     ,                       ,                    ,                       ,                   ,                       ,                       ,                       ,R                 ,                               ,                   ,                 ,                    ,                    ,                            ,                               ,                          ,                 ,                      ,                           ,R                         ,                 ,                               ,A                        ,F                 ,R                    ,F                      ,                       ,                     ,                    ,                          ,                        ,                       ,                       ,                        ,              ,                           ,                      ,                   ,                    ,                       ,                       ,                  ,                     ,                       ,                         ,                         ,                       ,                   ,                             ,                     ,                    ,                   ,                    ,                       ,                          ,                       ,                         ,                       ,                   ,               ,                   ,                      ,                      ,                 ,                       ,                     ,                ,                    ,                         ,                                 ,                 ,                          ,                 ,                   ,                     ,                     ,                     ,                     ,                ,                     ,                       ,                     ,                             ,                      ,                   ,                     ,                       ,                  ,                ,                      ,                     ,                      ,                ,                      ,                      ,                   ,                          ,                         ,                    ,                    ,                         ,                ,                           ,                     ,                        ,                     ,                         ,                      ,CP 1a; No Cr. tenuis; Cr. primus small
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Paleocene  ,                  ,CP1b          ,,171,1049,A, 17,X, 2,   3.00,    125.3400,Self-Trail,Nannofossils                                 ,A              ,M                 ,                       ,                    ,                        ,                 ,                      ,                  ,                      ,                       ,                       ,                                        ,                        ,                           ,                           ,                         ,                 ,                      ,                    ,                    ,                  ,                          ,                ,                   ,                  ,                             ,                        ,                    ,                         ,                       ,                         ,                      ,                   ,                        ,                                    ,                     ,                   ,                             ,                            ,                        ,                       ,                         ,                        ,                   ,                          ,                       ,                   ,                    ,                   ,                      ,F                   ,                             ,                              ,                      ,                    ,                            ,                    ,                    ,                   ,                         ,                ,                    ,                               ,                              ,                            ,                    ,                     ,                       ,                         ,                        ,                       ,                        ,                ,                        ,                         ,                            ,                   ,                        ,                       ,C                        ,                           ,                            ,                   ,                       ,                           ,                      ,              ,            ,                        ,                         ,                          ,                       ,                        ,                   ,                      ,                     ,                       ,                    ,                       ,C                  ,                       ,                       ,                       ,                  ,                               ,                   ,C                ,                    ,R                   ,                            ,C                              ,R                         ,                 ,                      ,                           ,C                         ,R                ,R                              ,                         ,                  ,                     ,                       ,                       ,                     ,                    ,                          ,                        ,                       ,                       ,                        ,              ,                           ,                      ,                   ,                    ,                       ,                       ,                  ,                     ,                       ,                         ,                         ,                       ,                   ,                             ,                     ,                    ,                   ,                    ,                       ,                          ,                       ,                         ,                       ,                   ,               ,                   ,                      ,                      ,                 ,                       ,                     ,                ,                    ,                         ,                                 ,                 ,                          ,                 ,                   ,                     ,                     ,                     ,                     ,                ,                     ,                       ,                     ,                             ,                      ,                   ,                     ,                       ,                  ,                ,                      ,                     ,                      ,                ,                      ,                      ,                   ,                          ,                         ,                    ,                    ,                         ,                ,                           ,                     ,                        ,                     ,                         ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Paleocene  ,                  ,              ,,171,1049,A, 17,X, 2,  22.00,    125.5300,Self-Trail,Nannofossils                                 ,C              ,M                 ,                       ,                    ,                        ,                 ,                      ,                  ,                      ,                       ,                       ,                                        ,                        ,                           ,                           ,                         ,                 ,                      ,                    ,                    ,                  ,                          ,                ,                   ,                  ,                             ,                        ,                    ,                         ,                       ,                         ,                      ,                   ,                        ,                                    ,                     ,                   ,                             ,                            ,                        ,                       ,                         ,                        ,                   ,                          ,                       ,                   ,                    ,                   ,                      ,F                   ,                             ,                              ,                      ,                    ,                            ,                    ,                    ,                   ,                         ,                ,                    ,                               ,                              ,                            ,                    ,                     ,                       ,                         ,                        ,                       ,                        ,                ,                        ,                         ,                            ,                   ,                        ,                       ,F                        ,                           ,                            ,                   ,                       ,                           ,                      ,              ,            ,                        ,                         ,                          ,                       ,                        ,                   ,                      ,                     ,                       ,                    ,                       ,C                  ,                       ,                       ,                       ,R                 ,                               ,                   ,F                ,                    ,                    ,                            ,C                              ,                          ,                 ,                      ,R                          ,                          ,                 ,                               ,                         ,                  ,                     ,                       ,                       ,                     ,                    ,                          ,                        ,                       ,                       ,                        ,              ,                           ,                      ,                   ,                    ,                       ,                       ,                  ,                     ,                       ,                         ,                         ,                       ,                   ,                             ,                     ,                    ,                   ,                    ,                       ,                          ,                       ,                         ,                       ,                   ,               ,                   ,                      ,                      ,                 ,                       ,                     ,                ,                    ,                         ,                                 ,                 ,                          ,                 ,                   ,                     ,                     ,                     ,                     ,                ,                     ,                       ,                     ,                             ,                      ,                   ,                     ,                       ,                  ,                ,                      ,                     ,                      ,                ,                      ,                      ,                   ,                          ,                         ,                    ,                    ,                         ,                ,                           ,                     ,                        ,                     ,                         ,                      ,Zone CP1a
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Paleocene  ,                  ,              ,,171,1049,A, 17,X, 2,  40.00,    125.7100,Self-Trail,Nannofossils                                 ,A              ,M                 ,                       ,                    ,                        ,                 ,                      ,                  ,                      ,                       ,                       ,                                        ,                        ,                           ,                           ,                         ,                 ,                      ,                    ,                    ,                  ,                          ,                ,                   ,                  ,                             ,                        ,                    ,                         ,                       ,                         ,                      ,                   ,                        ,                                    ,                     ,                   ,                             ,                            ,                        ,                       ,                         ,                        ,                   ,                          ,                       ,                   ,                    ,                   ,                      ,F                   ,                             ,                              ,                      ,                    ,                            ,                    ,                    ,                   ,                         ,                ,                    ,                               ,                              ,                            ,                    ,                     ,                       ,                         ,                        ,                       ,                        ,                ,                        ,                         ,                            ,                   ,                        ,                       ,F                        ,                           ,                            ,                   ,                       ,                           ,                      ,              ,            ,                        ,                         ,                          ,                       ,                        ,                   ,                      ,                     ,                       ,                    ,                       ,                   ,                       ,                       ,                       ,                  ,                               ,                   ,C                ,                    ,                    ,                            ,F                              ,                          ,C                ,R                     ,                           ,                          ,                 ,                               ,                         ,                  ,                     ,                       ,                       ,                     ,                    ,                          ,                        ,                       ,                       ,                        ,              ,                           ,                      ,                   ,                    ,                       ,                       ,                  ,                     ,                       ,                         ,                         ,                       ,                   ,                             ,                     ,                    ,                   ,                    ,                       ,                          ,                       ,                         ,                       ,                   ,               ,                   ,                      ,                      ,                 ,                       ,                     ,                ,                    ,                         ,                                 ,                 ,                          ,                 ,                   ,                     ,                     ,                     ,                     ,                ,                     ,                       ,                     ,                             ,                      ,                   ,                     ,                       ,                  ,                ,                      ,                     ,                      ,                ,                      ,                      ,                   ,                          ,                         ,                    ,                    ,                         ,                ,                           ,                     ,                        ,                     ,                         ,                      ,CP 1a
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Paleocene  ,                  ,              ,,171,1049,A, 17,X, 2,  50.00,    125.8100,Self-Trail,Nannofossils                                 ,A              ,G                 ,                       ,                    ,                        ,                 ,                      ,                  ,                      ,                       ,                       ,                                        ,                        ,                           ,                           ,                         ,                 ,                      ,                    ,                    ,                  ,                          ,                ,                   ,                  ,                             ,                        ,                    ,                         ,                       ,                         ,                      ,                   ,                        ,                                    ,                     ,                   ,                             ,                            ,                        ,                       ,                         ,                        ,                   ,                          ,                       ,                   ,                    ,                   ,                      ,F                   ,                             ,                              ,                      ,                    ,                            ,                    ,                    ,                   ,                         ,                ,                    ,                               ,                              ,                            ,                    ,                     ,                       ,                         ,                        ,                       ,                        ,                ,                        ,                         ,                            ,                   ,                        ,                       ,C                        ,                           ,                            ,                   ,                       ,                           ,                      ,              ,            ,                        ,                         ,                          ,                       ,                        ,                   ,                      ,                     ,                       ,                    ,                       ,C                  ,                       ,                       ,                       ,R                 ,                               ,                   ,A                ,R                   ,R                   ,R                           ,C                              ,R                         ,C                ,                      ,                           ,                          ,                 ,                               ,                         ,                  ,                     ,                       ,                       ,                     ,                    ,                          ,                        ,                       ,                       ,                        ,              ,                           ,                      ,                   ,                    ,                       ,                       ,                  ,                     ,                       ,                         ,                         ,                       ,                   ,                             ,                     ,                    ,                   ,                    ,                       ,                          ,                       ,                         ,                       ,                   ,               ,                   ,                      ,                      ,                 ,                       ,                     ,                ,                    ,                         ,                                 ,                 ,                          ,                 ,                   ,                     ,                     ,                     ,                     ,                ,                     ,                       ,                     ,                             ,                      ,                   ,                     ,                       ,                  ,                ,                      ,                     ,                      ,                ,                      ,                      ,                   ,                          ,                         ,                    ,                    ,                         ,                ,                           ,                     ,                        ,                     ,                         ,                      ,CP1a
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Maestrichtian    ,                  ,CC25          ,,171,1049,A, 17,X, 2,  56.00,    125.8700,Self-Trail,Nannofossils                                 ,C              ,M                 ,                       ,F                   ,R                       ,                 ,                      ,                  ,                      ,                       ,                       ,F                                       ,                        ,                           ,                           ,                         ,                 ,                      ,                    ,                    ,                  ,                          ,                ,                   ,                  ,                             ,                        ,                    ,                         ,                       ,R                        ,F                     ,                   ,                        ,                                    ,R                    ,                   ,                             ,                            ,                        ,                       ,                         ,                        ,                   ,                          ,                       ,R                  ,                    ,R                  ,                      ,R                   ,                             ,                              ,                      ,                    ,F                           ,                    ,                    ,                   ,                         ,                ,                    ,                               ,R                             ,                            ,F                   ,R                    ,                       ,                         ,F                       ,R                      ,                        ,F               ,R                       ,                         ,                            ,                   ,R                       ,                       ,F                        ,                           ,R                           ,                   ,R                      ,                           ,                      ,              ,R           ,R                       ,                         ,                          ,                       ,                        ,                   ,R                     ,                     ,R                      ,                    ,R                      ,C                  ,R                      ,                       ,R                      ,F                 ,R                              ,R                  ,                 ,                    ,                    ,                            ,                               ,                          ,                 ,                      ,                           ,                          ,                 ,                               ,                         ,                  ,                     ,                       ,                       ,                     ,                    ,                          ,                        ,                       ,                       ,                        ,              ,                           ,                      ,                   ,                    ,                       ,                       ,                  ,                     ,                       ,                         ,                         ,                       ,                   ,                             ,                     ,                    ,                   ,                    ,                       ,                          ,                       ,                         ,                       ,                   ,               ,                   ,                      ,                      ,                 ,                       ,                     ,                ,                    ,                         ,                                 ,                 ,                          ,                 ,                   ,                     ,                     ,                     ,                     ,                ,                     ,                       ,                     ,                             ,                      ,                   ,                     ,                       ,                  ,                ,                      ,                     ,                      ,                ,                      ,                      ,                   ,                          ,                         ,                    ,                    ,                         ,                ,                           ,                     ,                        ,                     ,                         ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Maestrichtian    ,                  ,CC26          ,,171,1049,A, 17,X, 2,  64.00,    125.9500,Self-Trail,Nannofossils                                 ,F              ,P                 ,                       ,+                   ,                        ,                 ,                      ,                  ,                      ,                       ,                       ,                                        ,                        ,                           ,                           ,                         ,                 ,                      ,                    ,+                   ,                  ,                          ,                ,                   ,                  ,                             ,                        ,                    ,                         ,                       ,+                        ,+                     ,                   ,                        ,                                    ,                     ,                   ,                             ,                            ,                        ,                       ,                         ,                        ,                   ,                          ,+                      ,                   ,                    ,                   ,                      ,                    ,                             ,                              ,                      ,                    ,+                           ,                    ,                    ,                   ,                         ,                ,                    ,                               ,                              ,                            ,+                   ,+                    ,                       ,                         ,+                       ,                       ,                        ,+               ,                        ,+                        ,                            ,                   ,                        ,                       ,                         ,                           ,                            ,                   ,                       ,+                          ,                      ,+             ,            ,+                       ,                         ,                          ,                       ,                        ,+                  ,                      ,                     ,                       ,                    ,                       ,+                  ,+                      ,+                      ,                       ,                  ,                               ,                   ,                 ,                    ,                    ,                            ,                               ,                          ,                 ,                      ,                           ,                          ,                 ,                               ,                         ,                  ,                     ,                       ,                       ,                     ,                    ,                          ,                        ,                       ,                       ,                        ,              ,                           ,                      ,                   ,                    ,                       ,                       ,                  ,                     ,                       ,                         ,                         ,                       ,                   ,                             ,                     ,                    ,                   ,                    ,                       ,                          ,                       ,                         ,                       ,                   ,               ,                   ,                      ,                      ,                 ,                       ,                     ,                ,                    ,                         ,                                 ,                 ,                          ,                 ,                   ,                     ,                     ,                     ,                     ,                ,                     ,                       ,                     ,                             ,                      ,                   ,                     ,                       ,                  ,                ,                      ,                     ,                      ,                ,                      ,                      ,                   ,                          ,                         ,                    ,                    ,                         ,                ,                           ,                     ,                        ,                     ,                         ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Maestrichtian    ,                  ,CP3           ,,171,1049,A, 17,X, 2,  76.00,    126.0700,Self-Trail,Nannofossils                                 ,A              ,M                 ,                       ,+                   ,                        ,                 ,                      ,                  ,                      ,                       ,                       ,                                        ,                        ,                           ,                           ,                         ,                 ,                      ,                    ,+                   ,                  ,                          ,                ,                   ,                  ,                             ,                        ,                    ,                         ,                       ,                         ,                      ,                   ,                        ,                                    ,                     ,                   ,                             ,                            ,                        ,                       ,                         ,                        ,                   ,                          ,                       ,                   ,                    ,                   ,                      ,                    ,                             ,                              ,                      ,                    ,                            ,                    ,                    ,                   ,                         ,                ,                    ,                               ,                              ,                            ,                    ,+                    ,                       ,+                        ,                        ,                       ,                        ,+               ,+                       ,+                        ,+                           ,+                  ,                        ,+                      ,                         ,                           ,+                           ,                   ,                       ,                           ,                      ,+             ,            ,                        ,+                        ,                          ,                       ,                        ,+                  ,                      ,+                    ,+                      ,+                   ,+                      ,                   ,                       ,                       ,                       ,                  ,                               ,                   ,                 ,                    ,                    ,                            ,                               ,                          ,                 ,                      ,                           ,                          ,                 ,                               ,                         ,                  ,                     ,                       ,                       ,                     ,                    ,                          ,                        ,                       ,                       ,                        ,              ,                           ,                      ,                   ,                    ,                       ,                       ,                  ,                     ,                       ,                         ,                         ,                       ,                   ,                             ,                     ,                    ,                   ,                    ,                       ,                          ,                       ,                         ,                       ,                   ,               ,                   ,                      ,                      ,                 ,                       ,                     ,                ,                    ,                         ,                                 ,                 ,                          ,                 ,                   ,                     ,                     ,                     ,                     ,                ,                     ,                       ,                     ,                             ,                      ,                   ,                     ,                       ,                  ,                ,                      ,                     ,                      ,                ,                      ,                      ,                   ,                          ,                         ,                    ,                    ,                         ,                ,                           ,                     ,                        ,                     ,                         ,                      ,CC 26b
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Maestrichtian    ,                  ,CC26          ,,171,1049,A, 17,X, 2,  85.00,    126.1600,Self-Trail,Nannofossils                                 ,A              ,G                 ,                       ,+                   ,+                       ,                 ,                      ,                  ,                      ,                       ,                       ,                                        ,                        ,                           ,                           ,                         ,                 ,                      ,                    ,                    ,                  ,                          ,                ,                   ,                  ,                             ,                        ,                    ,                         ,                       ,                         ,+                     ,                   ,                        ,                                    ,                     ,                   ,                             ,                            ,                        ,                       ,                         ,                        ,                   ,                          ,                       ,                   ,                    ,                   ,                      ,                    ,                             ,                              ,                      ,                    ,+                           ,                    ,                    ,                   ,                         ,                ,                    ,                               ,                              ,                            ,+                   ,+                    ,                       ,+                        ,                        ,                       ,                        ,                ,                        ,+                        ,                            ,                   ,                        ,                       ,                         ,                           ,                            ,                   ,                       ,+                          ,                      ,+             ,+           ,+                       ,+                        ,                          ,                       ,                        ,+                  ,+                     ,                     ,                       ,                    ,                       ,                   ,                       ,                       ,                       ,                  ,                               ,                   ,                 ,                    ,                    ,                            ,                               ,                          ,                 ,                      ,                           ,                          ,                 ,                               ,                         ,                  ,                     ,                       ,                       ,                     ,                    ,                          ,                        ,                       ,                       ,                        ,              ,                           ,                      ,                   ,                    ,                       ,                       ,                  ,                     ,                       ,                         ,                         ,                       ,                   ,                             ,                     ,                    ,                   ,                    ,                       ,                          ,                       ,                         ,                       ,                   ,               ,                   ,                      ,                      ,                 ,                       ,                     ,                ,                    ,                         ,                                 ,                 ,                          ,                 ,                   ,                     ,                     ,                     ,                     ,                ,                     ,                       ,                     ,                             ,                      ,                   ,                     ,                       ,                  ,                ,                      ,                     ,                      ,                ,                      ,                      ,                   ,                          ,                         ,                    ,                    ,                         ,                ,                           ,                     ,                        ,                     ,                         ,                      ,CC 26b
