Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphenolithus moriformis	Sphenolithus distentus	Sphenolithus ciperoensis	Reticulofenestra bisecta	Discoaster deflandrei	Cyclicargolithus floridanus	Sphenolithus predistentus	Pyrocyclus orangensis	Helicosphaera intermedia	Helicosphaera euphratis	Coccolithus pelagicus	Bicolumnus ovatus	Helicosphaera sp. cf. H. orientalis	Discoaster sp.	Coronocyclus nitescens	Helicosphaera recta	Zygrhablithus bijugatus	Sphenolithus umbrellus	Sphenolithus conicus	Sphenolithus capricornutus	Clausicoccus fenestratus	Helicosphaera perch-nielseniae	Chiasmolithus altus	Triquetrorhabdulus carinatus	Reticulofenestra spp. (small)	Discoaster adamanteus	Sphenolithus dissimilis	Pontosphaera sp.	Lithocyclia angusta	Discoaster calculosus	Discoaster variabilis	Diartus hughesi	Orbulina universa	Globorotalia truncatulinoides (sin.)	Globorotalia truncatulinoides (dex.)	Globorotalia inflata (4 chambered)	Globorotalia inflata (3 chambered)	Globorotalia crassaformis	Globorotalia cf. tosaensis (dex.)	Globigerinoides trilobus	Globigerinoides conglobatus	Theocorythium trachelium dianae	Pulleniatina obliquiloculata	Neogloboquadrina pachyderma (dex.)	Neogloboquadrina dutertrei	Globorotalia tumida	Globigerinoides ruber (white)	Globigerinoides gomitulus	Globigerinita glutinata	Globigerinella aequilateralis (symmetrical)	Globigerinella aequilateralis (asymmetrical)	Globigerina bulloides	Axoprunum angelinum	Lamprocyclas maritalis maritalis	Globorotalia scitula	Globorotalia menardii	Globigerinoides sacculifer	Globigerina quinqueloba	Eucyrtidium calvertense	Globigerinita humilis          	Anthocyrtidium angulare	Comment
  SR	Late Oligocene   	                 	CP19b             	CN1a          	126	 787	B	 19	R	 6	 108.00	    174.3800	Firth    	Nannofossils                                 	C              	P                 	R                      	                      	                        	R                       	F                    	F                          	                         	R                    	                        	                       	R                    	                 	                                   	              	                      	                   	                       	                      	                    	                          	                        	                              	                   	                            	                             	                     	                       	                	                   	                     	                     	               	                 	                                    	                                    	                                  	                                  	                         	                                 	                        	                           	                               	                            	                                  	                          	                   	                             	                         	                       	                                           	                                            	                     	                   	                                	                    	                     	                          	                       	                       	                               	                       	from ODP Leg 126 Chapter 16 Table 5 p 248-249

  SR	Late Oligocene   	                 	CP19b             	CN1a          	126	 787	B	 19	R	CC	   0.00	    175.2000	Firth    	Nannofossils                                 	F              	P                 	                       	                      	                        	F                       	F                    	F                          	                         	                     	                        	                       	F                    	                 	                                   	              	                      	                   	                       	                      	                    	                          	                        	                              	                   	                            	                             	                     	                       	                	                   	                     	                     	               	                 	                                    	                                    	                                  	                                  	                         	                                 	                        	                           	                               	                            	                                  	                          	                   	                             	                         	                       	                                           	                                            	                     	                   	                                	                    	                     	                          	                       	                       	                               	                       	from ODP Leg 126 Chapter 16 Table 5 p 248-249

  SR	Late Oligocene   	                 	CP19b             	CN1a          	126	 787	B	 20	R	 3	  40.00	    178.9000	Firth    	Nannofossils                                 	C              	P                 	C                      	                      	                        	C                       	C                    	C                          	                         	R                    	                        	                       	F                    	                 	                                   	              	                      	                   	                       	                      	                    	                          	                        	                              	                   	                            	                             	                     	                       	                	                   	                     	                     	               	                 	                                    	                                    	                                  	                                  	                         	                                 	                        	                           	                               	                            	                                  	                          	                   	                             	                         	                       	                                           	                                            	                     	                   	                                	                    	                     	                          	                       	                       	                               	                       	from ODP Leg 126 Chapter 16 Table 5 p 248-249

  SR	Late Oligocene   	                 	CP19b             	CN1a          	126	 787	B	 20	R	CC	   3.00	    181.1200	Firth    	Nannofossils                                 	R              	M                 	                       	                      	                        	R                       	R                    	R                          	                         	                     	                        	                       	R                    	                 	                                   	R             	                      	                   	                       	                      	                    	                          	                        	                              	                   	                            	                             	                     	                       	                	                   	                     	                     	               	                 	                                    	                                    	                                  	                                  	                         	                                 	                        	                           	                               	                            	                                  	                          	                   	                             	                         	                       	                                           	                                            	                     	                   	                                	                    	                     	                          	                       	                       	                               	                       	from ODP Leg 126 Chapter 16 Table 5 p 248-249

  SR	Late Oligocene   	                 	CP19b             	CN1a          	126	 787	B	 21	R	 4	  11.00	    189.7100	Firth    	Nannofossils                                 	C              	P                 	F                      	                      	                        	F                       	C                    	C                          	                         	R                    	                        	                       	R                    	                 	                                   	              	                      	                   	                       	                      	                    	                          	                        	                              	                   	                            	                             	R                    	                       	                	                   	                     	                     	               	                 	                                    	                                    	                                  	                                  	                         	                                 	                        	                           	                               	                            	                                  	                          	                   	                             	                         	                       	                                           	                                            	                     	                   	                                	                    	                     	                          	                       	                       	                               	                       	from ODP Leg 126 Chapter 16 Table 5 p 248-249

  SR	Late Oligocene   	                 	CP19b             	CN1a          	126	 787	B	 21	R	CC	  10.00	    194.9000	Firth    	Nannofossils                                 	F              	M                 	R                      	                      	                        	F                       	                     	F                          	                         	                     	R                       	                       	F                    	                 	                                   	              	                      	                   	                       	                      	                    	                          	                        	                              	                   	                            	R                            	                     	                       	                	                   	                     	                     	               	                 	                                    	                                    	                                  	                                  	                         	                                 	                        	                           	                               	                            	                                  	                          	                   	                             	                         	                       	                                           	                                            	                     	                   	                                	                    	                     	                          	                       	                       	                               	                       	from ODP Leg 126 Chapter 16 Table 5 p 248-249

  SR	Late Oligocene   	                 	CP19b             	CN1a          	126	 787	B	 22	R	 1	  15.00	    194.9500	Firth    	Nannofossils                                 	C              	M                 	F                      	                      	                        	F                       	F                    	F                          	                         	                     	                        	                       	F                    	                 	                                   	              	                      	                   	                       	                      	                    	                          	                        	                              	                   	                            	                             	                     	                       	                	                   	                     	                     	               	                 	                                    	                                    	                                  	                                  	                         	                                 	                        	                           	                               	                            	                                  	                          	                   	                             	                         	                       	                                           	                                            	                     	                   	                                	                    	                     	                          	                       	                       	                               	                       	from ODP Leg 126 Chapter 16 Table 5 p 248-249

  SR	Late Oligocene   	                 	CP19b             	CN1a          	126	 787	B	 22	R	CC	   9.00	    195.7500	Firth    	Nannofossils                                 	F              	M                 	                       	                      	                        	F                       	R                    	F                          	                         	                     	                        	                       	                     	                 	                                   	              	                      	                   	                       	                      	                    	                          	                        	                              	                   	                            	R                            	                     	                       	                	                   	                     	                     	               	                 	                                    	                                    	                                  	                                  	                         	                                 	                        	                           	                               	                            	                                  	                          	                   	                             	                         	                       	                                           	                                            	                     	                   	                                	                    	                     	                          	                       	                       	                               	                       	from ODP Leg 126 Chapter 16 Table 5 p 248-249

  SR	Late Oligocene   	                 	CP19b             	CN1a          	126	 787	B	 23	R	 1	  19.00	    204.5900	Firth    	Nannofossils                                 	F              	M                 	R                      	                      	                        	R                       	R                    	F                          	                         	                     	                        	                       	R                    	                 	                                   	              	                      	                   	                       	                      	                    	                          	                        	                              	                   	                            	                             	                     	                       	                	                   	                     	                     	               	                 	                                    	                                    	                                  	                                  	                         	                                 	                        	                           	                               	                            	                                  	                          	                   	                             	                         	                       	                                           	                                            	                     	                   	                                	                    	                     	                          	                       	                       	                               	                       	from ODP Leg 126 Chapter 16 Table 5 p 248-249

  SR	Late Oligocene   	                 	CP19b             	CN1a          	126	 787	B	 23	R	CC	  15.00	    212.0400	Firth    	Nannofossils                                 	F              	M                 	R                      	                      	                        	                        	F                    	F                          	                         	                     	                        	                       	F                    	                 	                                   	              	                      	                   	                       	                      	                    	                          	                        	                              	R                  	                            	                             	                     	                       	                	                   	                     	                     	               	                 	                                    	                                    	                                  	                                  	                         	                                 	                        	                           	                               	                            	                                  	                          	                   	                             	                         	                       	                                           	                                            	                     	                   	                                	                    	                     	                          	                       	                       	                               	                       	from ODP Leg 126 Chapter 16 Table 5 p 248-249

  SR	Late Oligocene   	                 	CP19b             	CN1a          	126	 787	B	 24	R	 2	  23.00	    215.8300	Firth    	Nannofossils                                 	A              	P                 	F                      	                      	                        	F                       	F                    	C                          	                         	R                    	                        	                       	F                    	                 	                                   	              	                      	                   	                       	                      	                    	                          	                        	                              	                   	                            	                             	                     	                       	                	                   	                     	                     	               	                 	                                    	                                    	                                  	                                  	                         	                                 	                        	                           	                               	                            	                                  	                          	                   	                             	                         	                       	                                           	                                            	                     	                   	                                	                    	                     	                          	                       	                       	                               	                       	from ODP Leg 126 Chapter 16 Table 5 p 248-249

  SR	Late Oligocene   	                 	CP19b             	CN1a          	126	 787	B	 24	R	 4	  79.00	    219.3900	Firth    	Nannofossils                                 	A              	G                 	                       	                      	                        	F                       	F                    	C                          	                         	                     	                        	                       	C                    	                 	                                   	              	                      	                   	                       	                      	                    	                          	                        	                              	                   	                            	                             	                     	                       	                	                   	                     	                     	               	                 	                                    	                                    	                                  	                                  	                         	                                 	                        	                           	                               	                            	                                  	                          	                   	                             	                         	                       	                                           	                                            	                     	                   	                                	                    	                     	                          	                       	                       	                               	                       	from ODP Leg 126 Chapter 16 Table 5 p 248-249

  SR	Late Oligocene   	                 	CP19b             	CN1a          	126	 787	B	 24	R	 6	   9.00	    221.6900	Firth    	Nannofossils                                 	A              	M                 	F                      	                      	                        	C                       	C                    	C                          	                         	                     	                        	                       	C                    	                 	                                   	              	                      	                   	                       	                      	                    	                          	                        	                              	                   	                            	                             	                     	                       	                	                   	                     	                     	               	                 	                                    	                                    	                                  	                                  	                         	                                 	                        	                           	                               	                            	                                  	                          	                   	                             	                         	                       	                                           	                                            	                     	                   	                                	                    	                     	                          	                       	                       	                               	                       	from ODP Leg 126 Chapter 16 Table 5 p 248-249

  SR	Late Oligocene   	                 	CP19b             	CN1a          	126	 787	B	 24	R	 7	  33.00	    223.4300	Firth    	Nannofossils                                 	C              	M                 	                       	                      	                        	F                       	F                    	F                          	                         	                     	                        	                       	F                    	                 	                                   	              	                      	                   	                       	                      	                    	                          	                        	                              	                   	                            	                             	                     	                       	                	                   	                     	                     	               	                 	                                    	                                    	                                  	                                  	                         	                                 	                        	                           	                               	                            	                                  	                          	                   	                             	                         	                       	                                           	                                            	                     	                   	                                	                    	                     	                          	                       	                       	                               	                       	from ODP Leg 126 Chapter 16 Table 5 p 248-249

  SR	Late Oligocene   	                 	CP19b             	CN1a          	126	 787	B	 24	R	CC	   0.00	    223.8000	Firth    	Nannofossils                                 	A              	M                 	R                      	                      	R                       	C                       	C                    	C                          	                         	R                    	                        	                       	C                    	                 	                                   	              	                      	                   	                       	                      	                    	                          	                        	                              	                   	                            	                             	                     	R                      	                	                   	                     	                     	               	                 	                                    	                                    	                                  	                                  	                         	                                 	                        	                           	                               	                            	                                  	                          	                   	                             	                         	                       	                                           	                                            	                     	                   	                                	                    	                     	                          	                       	                       	                               	                       	from ODP Leg 126 Chapter 16 Table 5 p 248-249

  SR	Late Oligocene   	                 	CP19b             	CN1a          	126	 787	B	 25	R	 2	 145.00	    226.6500	Firth    	Nannofossils                                 	A              	G                 	F                      	                      	                        	                        	C                    	C                          	                         	F                    	R                       	                       	C                    	                 	                                   	              	                      	                   	                       	                      	                    	                          	F                       	                              	                   	                            	                             	                     	                       	                	                   	                     	                     	               	                 	                                    	                                    	                                  	                                  	                         	                                 	                        	                           	                               	                            	                                  	                          	                   	                             	                         	                       	                                           	                                            	                     	                   	                                	                    	                     	                          	                       	                       	                               	                       	from ODP Leg 126 Chapter 16 Table 5 p 248-249

  SR	Late Oligocene   	                 	CP19b             	CN1a          	126	 787	B	 25	R	 3	  53.00	    227.2300	Firth    	Nannofossils                                 	A              	G                 	C                      	                      	R                       	C                       	C                    	C                          	                         	R                    	R                       	R                      	C                    	                 	                                   	              	                      	                   	                       	                      	                    	                          	R                       	                              	                   	                            	                             	                     	                       	                	                   	                     	                     	               	                 	                                    	                                    	                                  	                                  	                         	                                 	                        	                           	                               	                            	                                  	                          	                   	                             	                         	                       	                                           	                                            	                     	                   	                                	                    	                     	                          	                       	                       	                               	                       	from ODP Leg 126 Chapter 16 Table 5 p 248-249

  SR	Late Oligocene   	                 	CP19b             	CN1a          	126	 787	B	 25	R	 6	  17.00	    231.3700	Firth    	Nannofossils                                 	F              	P                 	R                      	                      	                        	C                       	F                    	C                          	                         	                     	                        	                       	F                    	                 	                                   	              	                      	                   	                       	                      	                    	                          	                        	                              	                   	                            	                             	                     	                       	                	                   	                     	                     	               	                 	                                    	                                    	                                  	                                  	                         	                                 	                        	                           	                               	                            	                                  	                          	                   	                             	                         	                       	                                           	                                            	                     	                   	                                	                    	                     	                          	                       	                       	                               	                       	from ODP Leg 126 Chapter 16 Table 5 p 248-249

  SR	Late Oligocene   	                 	CP19b             	CN1a          	126	 787	B	 25	R	CC	  13.00	    231.8400	Firth    	Nannofossils                                 	A              	G                 	F                      	                      	                        	C                       	F                    	C                          	                         	R                    	                        	                       	F                    	                 	                                   	              	                      	                   	                       	                      	                    	                          	                        	                              	                   	                            	                             	                     	                       	                	                   	                     	                     	               	                 	                                    	                                    	                                  	                                  	                         	                                 	                        	                           	                               	                            	                                  	                          	                   	                             	                         	                       	                                           	                                            	                     	                   	                                	                    	                     	                          	                       	                       	                               	                       	from ODP Leg 126 Chapter 16 Table 5 p 248-249

  SR	Late Oligocene   	                 	CP19b             	CN1a          	126	 787	B	 26	R	 1	  74.00	    234.1400	Firth    	Nannofossils                                 	C              	P                 	R                      	                      	                        	F                       	F                    	C                          	                         	F                    	                        	                       	F                    	                 	                                   	              	                      	                   	                       	                      	                    	                          	R                       	                              	                   	                            	                             	                     	                       	                	                   	                     	                     	               	                 	                                    	                                    	                                  	                                  	                         	                                 	                        	                           	                               	                            	                                  	                          	                   	                             	                         	                       	                                           	                                            	                     	                   	                                	                    	                     	                          	                       	                       	                               	                       	from ODP Leg 126 Chapter 16 Table 5 p 248-249

  SR	Late Oligocene   	                 	CP19b             	CN1a          	126	 787	B	 26	R	 3	  42.00	    236.8200	Firth    	Nannofossils                                 	C              	P                 	F                      	                      	                        	F                       	F                    	C                          	                         	                     	                        	                       	F                    	                 	                                   	              	                      	                   	                       	                      	                    	                          	                        	                              	                   	                            	                             	                     	                       	                	                   	                     	                     	               	                 	                                    	                                    	                                  	                                  	                         	                                 	                        	                           	                               	                            	                                  	                          	                   	                             	                         	                       	                                           	                                            	                     	                   	                                	                    	                     	                          	                       	                       	                               	                       	from ODP Leg 126 Chapter 16 Table 5 p 248-249

  SR	Late Oligocene   	                 	CP19b             	CN1a          	126	 787	B	 26	R	 6	  16.00	    241.0600	Firth    	Nannofossils                                 	F              	P                 	F                      	                      	R                       	R                       	F                    	F                          	                         	R                    	                        	                       	R                    	                 	                                   	              	R                     	                   	                       	                      	                    	                          	                        	                              	                   	                            	                             	                     	                       	                	                   	                     	                     	               	                 	                                    	                                    	                                  	                                  	                         	                                 	                        	                           	                               	                            	                                  	                          	                   	                             	                         	                       	                                           	                                            	                     	                   	                                	                    	                     	                          	                       	                       	                               	                       	from ODP Leg 126 Chapter 16 Table 5 p 248-249

  SR	Late Oligocene   	                 	CP19b             	CN1a          	126	 787	B	 27	R	 1	  61.00	    243.6100	Firth    	Nannofossils                                 	F              	P                 	                       	                      	                        	F                       	F                    	F                          	                         	                     	                        	                       	F                    	                 	                                   	              	                      	                   	                       	                      	                    	                          	                        	                              	                   	                            	                             	                     	                       	                	                   	                     	                     	               	                 	                                    	                                    	                                  	                                  	                         	                                 	                        	                           	                               	                            	                                  	                          	                   	                             	                         	                       	                                           	                                            	                     	                   	                                	                    	                     	                          	                       	                       	                               	                       	from ODP Leg 126 Chapter 16 Table 5 p 248-249

  SR	Late Oligocene   	                 	CP19b             	CN1a          	126	 787	B	 27	R	 2	  55.00	    245.0500	Firth    	Nannofossils                                 	F              	P                 	                       	                      	                        	F                       	F                    	F                          	                         	R                    	                        	                       	F                    	                 	                                   	              	                      	                   	                       	                      	                    	                          	                        	                              	                   	                            	                             	                     	                       	                	                   	                     	                     	               	                 	                                    	                                    	                                  	                                  	                         	                                 	                        	                           	                               	                            	                                  	                          	                   	                             	                         	                       	                                           	                                            	                     	                   	                                	                    	                     	                          	                       	                       	                               	                       	from ODP Leg 126 Chapter 16 Table 5 p 248-249

  SR	Late Oligocene   	                 	CP19b             	CN1a          	126	 787	B	 27	R	 3	   8.00	    246.0800	Firth    	Nannofossils                                 	C              	P                 	                       	                      	                        	C                       	F                    	C                          	                         	R                    	                        	                       	F                    	                 	                                   	              	                      	                   	                       	                      	                    	                          	                        	                              	                   	                            	                             	                     	                       	                	                   	                     	                     	               	                 	                                    	                                    	                                  	                                  	                         	                                 	                        	                           	                               	                            	                                  	                          	                   	                             	                         	                       	                                           	                                            	                     	                   	                                	                    	                     	                          	                       	                       	                               	                       	from ODP Leg 126 Chapter 16 Table 5 p 248-249

  SR	Late Oligocene   	                 	CP19b             	CN1a          	126	 787	B	 27	R	 4	 129.00	    248.0600	Firth    	Nannofossils                                 	A              	G                 	                       	R                     	F                       	C                       	F                    	A                          	                         	R                    	                        	R                      	C                    	                 	                                   	              	                      	                   	                       	                      	                    	                          	F                       	                              	                   	                            	                             	                     	                       	R               	                   	                     	                     	               	                 	                                    	                                    	                                  	                                  	                         	                                 	                        	                           	                               	                            	                                  	                          	                   	                             	                         	                       	                                           	                                            	                     	                   	                                	                    	                     	                          	                       	                       	                               	                       	from ODP Leg 126 Chapter 16 Table 5 p 248-249

  SR	Late Oligocene   	                 	CP19a             	              	126	 787	B	 27	R	CC	  18.00	    248.3000	Firth    	Nannofossils                                 	A              	G                 	F                      	R                     	R                       	C                       	F                    	C                          	                         	R                    	R                       	R                      	C                    	                 	                                   	              	R                     	                   	                       	                      	                    	                          	                        	                              	                   	                            	A                            	                     	R                      	R               	                   	                     	                     	               	                 	                                    	                                    	                                  	                                  	                         	                                 	                        	                           	                               	                            	                                  	                          	                   	                             	                         	                       	                                           	                                            	                     	                   	                                	                    	                     	                          	                       	                       	                               	                       	from ODP Leg 126 Chapter 16 Table 5 p 248-249

  SR	Late Oligocene   	                 	CP19a             	              	126	 787	B	 28	R	 2	 117.00	    255.3700	Firth    	Nannofossils                                 	C              	M                 	F                      	                      	                        	C                       	C                    	C                          	                         	F                    	                        	                       	F                    	                 	                                   	              	                      	                   	                       	                      	                    	                          	R                       	                              	                   	                            	                             	                     	                       	                	                   	                     	                     	               	                 	                                    	                                    	                                  	                                  	                         	                                 	                        	                           	                               	                            	                                  	                          	                   	                             	                         	                       	                                           	                                            	                     	                   	                                	                    	                     	                          	                       	                       	                               	                       	from ODP Leg 126 Chapter 16 Table 5 p 248-249

  SR	Late Oligocene   	                 	CP19a             	              	126	 787	B	 28	R	 6	  20.00	    260.2500	Firth    	Nannofossils                                 	C              	P                 	F                      	                      	                        	C                       	C                    	C                          	                         	F                    	                        	                       	C                    	                 	                                   	              	                      	                   	                       	                      	                    	                          	                        	                              	                   	                            	                             	F                    	                       	                	                   	                     	                     	               	                 	                                    	                                    	                                  	                                  	                         	                                 	                        	                           	                               	                            	                                  	                          	                   	                             	                         	                       	                                           	                                            	                     	                   	                                	                    	                     	                          	                       	                       	                               	                       	from ODP Leg 126 Chapter 16 Table 5 p 248-249

  SR	Late Oligocene   	                 	CP19a             	              	126	 787	B	 28	R	CC	   0.00	    260.6600	Firth    	Nannofossils                                 	C              	M                 	F                      	                      	                        	F                       	C                    	C                          	                         	                     	                        	                       	R                    	                 	                                   	              	                      	                   	                       	                      	                    	                          	                        	                              	                   	                            	                             	                     	                       	                	                   	                     	                     	               	                 	                                    	                                    	                                  	                                  	                         	                                 	                        	                           	                               	                            	                                  	                          	                   	                             	                         	                       	                                           	                                            	                     	                   	                                	                    	                     	                          	                       	                       	                               	                       	from ODP Leg 126 Chapter 16 Table 5 p 248-249

  SR	Late Oligocene   	                 	CP19a             	              	126	 787	B	 29	R	 2	  31.00	    264.2100	Firth    	Nannofossils                                 	A              	P                 	F                      	R                     	                        	C                       	C                    	A                          	F                        	R                    	                        	                       	F                    	                 	                                   	              	                      	                   	                       	                      	                    	                          	R                       	                              	                   	                            	                             	                     	                       	                	                   	                     	                     	               	                 	                                    	                                    	                                  	                                  	                         	                                 	                        	                           	                               	                            	                                  	                          	                   	                             	                         	                       	                                           	                                            	                     	                   	                                	                    	                     	                          	                       	                       	                               	                       	from ODP Leg 126 Chapter 16 Table 5 p 248-249

  SR	Late Oligocene   	                 	CP19a             	              	126	 787	B	 29	R	CC	  20.00	    269.9600	Firth    	Nannofossils                                 	A              	M                 	F                      	R                     	                        	F                       	F                    	C                          	R                        	R                    	                        	                       	C                    	                 	                                   	              	R                     	                   	                       	                      	                    	                          	                        	                              	R                  	                            	C                            	                     	                       	                	                   	                     	                     	               	                 	                                    	                                    	                                  	                                  	                         	                                 	                        	                           	                               	                            	                                  	                          	                   	                             	                         	                       	                                           	                                            	                     	                   	                                	                    	                     	                          	                       	                       	                               	                       	from ODP Leg 126 Chapter 16 Table 5 p 248-249

  SR	Late Oligocene   	                 	CP19a             	              	126	 787	B	 30	R	 1	 107.00	    273.0700	Firth    	Nannofossils                                 	A              	M                 	F                      	R                     	                        	F                       	C                    	C                          	F                        	F                    	                        	                       	C                    	R                	                                   	              	                      	                   	                       	                      	                    	                          	R                       	                              	                   	R                           	                             	                     	                       	                	                   	                     	                     	               	                 	                                    	                                    	                                  	                                  	                         	                                 	                        	                           	                               	                            	                                  	                          	                   	                             	                         	                       	                                           	                                            	                     	                   	                                	                    	                     	                          	                       	                       	                               	                       	from ODP Leg 126 Chapter 16 Table 5 p 248-249

  SR	Late Oligocene   	                 	CP19a             	              	126	 787	B	 30	R	 2	 113.00	    274.6300	Firth    	Nannofossils                                 	A              	P                 	F                      	                      	                        	F                       	F                    	C                          	F                        	R                    	                        	R                      	F                    	                 	                                   	              	                      	                   	                       	                      	                    	                          	R                       	                              	R                  	                            	                             	                     	                       	                	                   	                     	                     	               	                 	                                    	                                    	                                  	                                  	                         	                                 	                        	                           	                               	                            	                                  	                          	                   	                             	                         	                       	                                           	                                            	                     	                   	                                	                    	                     	                          	                       	                       	                               	                       	from ODP Leg 126 Chapter 16 Table 5 p 248-249

  SR	Late Oligocene   	                 	CP19a             	              	126	 787	B	 30	R	 3	  22.00	    275.2200	Firth    	Nannofossils                                 	C              	P                 	F                      	F                     	                        	F                       	F                    	C                          	F                        	R                    	R                       	                       	F                    	R                	                                   	              	                      	                   	                       	                      	                    	                          	F                       	R                             	                   	                            	                             	                     	                       	                	                   	                     	                     	               	                 	                                    	                                    	                                  	                                  	                         	                                 	                        	                           	                               	                            	                                  	                          	                   	                             	                         	                       	                                           	                                            	                     	                   	                                	                    	                     	                          	                       	                       	                               	                       	from ODP Leg 126 Chapter 16 Table 5 p 248-249

  SR	Late Oligocene   	                 	CP19a             	              	126	 787	B	 30	R	 4	  93.00	    277.4300	Firth    	Nannofossils                                 	R              	P                 	                       	                      	                        	R                       	                     	R                          	                         	                     	                        	                       	R                    	                 	                                   	              	                      	                   	                       	                      	                    	                          	                        	                              	                   	                            	                             	                     	                       	                	                   	                     	                     	               	                 	                                    	                                    	                                  	                                  	                         	                                 	                        	                           	                               	                            	                                  	                          	                   	                             	                         	                       	                                           	                                            	                     	                   	                                	                    	                     	                          	                       	                       	                               	                       	from ODP Leg 126 Chapter 16 Table 5 p 248-249

  SR	Late Oligocene   	                 	CP19a             	              	126	 787	B	 30	R	 5	 122.00	    279.2200	Firth    	Nannofossils                                 	A              	M                 	F                      	F                     	                        	F                       	F                    	A                          	F                        	F                    	                        	R                      	F                    	                 	                                   	              	                      	                   	                       	                      	                    	                          	F                       	                              	                   	                            	                             	                     	                       	                	                   	                     	                     	               	                 	                                    	                                    	                                  	                                  	                         	                                 	                        	                           	                               	                            	                                  	                          	                   	                             	                         	                       	                                           	                                            	                     	                   	                                	                    	                     	                          	                       	                       	                               	                       	from ODP Leg 126 Chapter 16 Table 5 p 248-249

  SR	Late Oligocene   	                 	CP19a             	              	126	 787	B	 30	R	CC	  22.00	    279.6400	Firth    	Nannofossils                                 	A              	G                 	C                      	R                     	                        	C                       	F                    	C                          	F                        	                     	                        	                       	C                    	                 	                                   	              	                      	                   	R                      	R                     	R                   	R                         	                        	                              	                   	                            	                             	                     	                       	                	                   	                     	                     	               	                 	                                    	                                    	                                  	                                  	                         	                                 	                        	                           	                               	                            	                                  	                          	                   	                             	                         	                       	                                           	                                            	                     	                   	                                	                    	                     	                          	                       	                       	                               	                       	from ODP Leg 126 Chapter 16 Table 5 p 248-249

  SR	Late Oligocene   	                 	CP19a             	              	126	 787	B	 31	R	CC	   0.00	    283.5100	Firth    	Nannofossils                                 	R              	P                 	                       	R                     	                        	R                       	                     	F                          	                         	                     	                        	                       	                     	                 	                                   	              	                      	                   	                       	                      	                    	                          	                        	                              	                   	                            	                             	                     	                       	                	                   	                     	                     	               	                 	                                    	                                    	                                  	                                  	                         	                                 	                        	                           	                               	                            	                                  	                          	                   	                             	                         	                       	                                           	                                            	                     	                   	                                	                    	                     	                          	                       	                       	                               	                       	from ODP Leg 126 Chapter 16 Table 5 p 248-249

  SR	Late Oligocene   	                 	CP19a             	              	126	 787	B	 32	R	 2	  28.00	    293.0800	Firth    	Nannofossils                                 	C              	P                 	F                      	                      	                        	F                       	F                    	C                          	R                        	                     	R                       	R                      	F                    	                 	                                   	              	                      	R                  	                       	                      	                    	                          	                        	                              	                   	                            	                             	                     	                       	                	                   	                     	                     	               	                 	                                    	                                    	                                  	                                  	                         	                                 	                        	                           	                               	                            	                                  	                          	                   	                             	                         	                       	                                           	                                            	                     	                   	                                	                    	                     	                          	                       	                       	                               	                       	from ODP Leg 126 Chapter 16 Table 5 p 248-249

  SR	Late Oligocene   	                 	CP19a             	              	126	 787	B	 32	R	CC	   0.00	    293.8700	Firth    	Nannofossils                                 	C              	P                 	R                      	R                     	F                       	F                       	                     	C                          	                         	                     	                        	                       	F                    	                 	                                   	R             	R                     	                   	                       	                      	                    	                          	                        	                              	                   	                            	                             	                     	                       	                	                   	                     	                     	               	                 	                                    	                                    	                                  	                                  	                         	                                 	                        	                           	                               	                            	                                  	                          	                   	                             	                         	                       	                                           	                                            	                     	                   	                                	                    	                     	                          	                       	                       	                               	                       	from ODP Leg 126 Chapter 16 Table 5 p 248-249

  SR	Late Oligocene   	                 	CP19a             	              	126	 787	B	 33	R	CC	  21.00	    303.4500	Firth    	Nannofossils                                 	F              	P                 	R                      	R                     	                        	R                       	                     	F                          	                         	                     	                        	                       	                     	                 	                                   	R             	                      	                   	                       	                      	                    	                          	                        	                              	                   	                            	                             	                     	                       	                	                   	                     	                     	               	                 	                                    	                                    	                                  	                                  	                         	                                 	                        	                           	                               	                            	                                  	                          	                   	                             	                         	                       	                                           	                                            	                     	                   	                                	                    	                     	                          	                       	                       	                               	                       	from ODP Leg 126 Chapter 16 Table 5 p 248-249

  SR	Late Oligocene   	                 	CP19a             	              	126	 787	B	 34	R	 1	  80.00	    311.3000	Firth    	Nannofossils                                 	C              	P                 	F                      	R                     	                        	F                       	F                    	C                          	                         	R                    	R                       	R                      	F                    	                 	R                                  	              	                      	                   	                       	                      	                    	                          	                        	                              	                   	                            	                             	                     	                       	                	                   	                     	                     	               	                 	                                    	                                    	                                  	                                  	                         	                                 	                        	                           	                               	                            	                                  	                          	                   	                             	                         	                       	                                           	                                            	                     	                   	                                	                    	                     	                          	                       	                       	                               	                       	from ODP Leg 126 Chapter 16 Table 5 p 248-249

