Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,LITH 1 prefix+name [read only],LITH 1 prefix+name+suffix [read only],LITH 1 abundance [%],LITH 1 color,LITH 1 lithification,LITH 1 ave. grain size class,LITH 1 ave. grain size rank [read only],LITH 1 max. grain size class,LITH 1 max. grain size rank [read only],LITH 1 grain sorting,LITH 1 Ash abundance name,LITH 1 Ash abundance rank (read only),LITH 1 comment,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix,LITH 2 prefix+name [read only],LITH 2 prefix+name+suffix [read only],LITH 2 abundance [%],Total LITH abundance [%],LITH 2 Ash abundance name,LITH 2 Ash abundance rank (read only),General interval comment,Bottom contact geometry,Bottom contact attitude,LITH 1 Layer or bedding thickness,LITH 1 Sedimentary structure,LITH 1 Bioturbation intensity,LITH 1 Bioturbation intensity rank [read only],LITH 1 Deformational structure,LITH 1 Deformational structure attitude,LITH 1 Diagenetic structure,LITH 1 Diagenetic constituent,LITH 1 Diagenetic constituent composition,LITH 1 Macrofossil,LITH 1 Macrofossil abundance name,LITH 2 Macrofossil,LITH 1 Clast abundance,LITH 1 Number of clasts (>2mm),LITH 1 Clast 1 igneous [%],LITH 1 Clast 1 igneous -  grain size,LITH 1 Clast 1 igneous -  roundness,LITH 1 Clast 1 igneous -  lithology,LITH 1 Clast 2 sediment [%],LITH 1 Clast 2 sediment - grain size,LITH 1 Clast 2 sediment - roundness,LITH 1 Clast 3 -other LITH [%],LITH 1 Clast 3 metamorphic - grain size,LITH 1 Clast 3 metamorphic - roundness,Total clasts calculated LITH 1 [%],LITH 1 Matrix 1 igneous - pumiceous [%],LITH 1 Matrix 2 igneous - scoriaceous [%],LITH 1 Matrix 3 igneous - massive [%],LITH 1 Matrix 4 igneous - vesicular [%],LITH 1 Matrix 5 volcaniclastic [%],LITH 1 Matrix 6 sediment [%],LITH 1 Matrix 7 -other LITH [%],LITH 1 Matrix biogenic carbonate [%],LITH 1 Matrix detritical carbonate [%],LITH 1 Matrix carbonate [%],Total matrix calculated LITH 1 [%],LITH 1 Matrix sorting,LITH 1 Matrix alteration intensity,LITH 1 Matrix alteration rank,LITH 1 Matrix comments,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
349-U1431A-2H-15-A,20,39,16.6,16.79,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,100,2.5Y 5/1 (gray),slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,,,,,,,,,,,100,,,,,,thick bed [B01],,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,2,H,15,A,
349-U1431A-2H-16-A,0,16,16.9,17.06,,silty clay [MMK88],,silty clay ,silty clay ,100,2.5Y 4/1 (dark gray),slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,,,,,,,,,,,100,,,,erosive,curved,thick bed [B01],graded bedding,slight [DB86],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,2,H,16,A,
349-U1431A-2H-16-A,16,24,17.06,17.14,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,100,2.5Y 5/1 (gray),slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,,,,,,,,,,,100,,,,gradational,,thick bed [B01],,slight [DB86],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,2,H,16,A,
349-U1431A-2H-16-A,24,33,17.14,17.23,,silty clay [MMK88],,silty clay ,silty clay ,100,2.5Y 4/1 (dark gray),slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,,,,,,,,,,,100,,,,erosive,horizontal,thick bed [B01],graded bedding,slight [DB86],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,2,H,16,A,
349-U1431A-2H-16-A,33,40,17.23,17.3,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,100,2.5Y 5/1 (gray),slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,,,,,,,,,,,100,,,,,,thick bed [B01],,none [DB86],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,2,H,16,A,
349-U1431A-2H-17-A,0,13,17.4,17.53,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,100,2.5Y 5/1 (gray),slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,,,,,,,,,,,100,,,,gradational,,thick bed [B01],,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,2,H,17,A,
349-U1431A-2H-17-A,13,23,17.53,17.63,,silty clay [MMK88],,silty clay ,silty clay ,100,2.5Y 4/1 (dark gray),slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,,,,,,,,,,,100,,,,erosive,inclined,thick bed [B01],graded bedding,slight [DB86],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,2,H,17,A,
349-U1431A-2H-17-A,23,39,17.63,17.79,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,100,2.5Y 5/1 (gray),slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,,,,,,,,,,,100,,,,,,thick bed [B01],,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,2,H,17,A,
349-U1431A-2H-18-A,0,23,17.9,18.13,,silty clay [MMK88],,silty clay ,silty clay ,100,2.5Y 4/1 (dark gray),slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,,,,,,,,,,,100,,,,erosive,,thick bed [B01],,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,2,H,18,A,
349-U1431A-2H-18-A,23,39,18.13,18.29,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,100,2.5Y 5/1 (gray),slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,,,,,,,,,,,100,,,,,,thick bed [B01],lamination,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,2,H,18,A,
349-U1431A-2H-19-A,0,6,18.4,18.46,silty [Leg339],clay [Leg339],,silty clay ,silty clay ,100,2.5Y 4/1 (dark gray),slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,,,,,,,,,,,100,,,,erosive,,thick bed [B01],,slight [DB86],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,2,H,19,A,
349-U1431A-2H-19-A,6,18,18.46,18.58,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,100,2.5Y 5/1 (gray),slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,,,,,,,,,,,100,,,,gradational,,thick bed [B01],,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,2,H,19,A,
349-U1431A-2H-19-A,18,26,18.58,18.66,silty [Leg339],clay [Leg339],,silty clay ,silty clay ,100,2.5Y 4/1 (dark gray),slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,,,,,,,,,,,100,,,,erosive,,thick bed [B01],lamination,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,2,H,19,A,
349-U1431A-2H-19-A,26,61,18.66,19.01,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,100,2.5Y 5/1 (gray),slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,,,,,,,,,,,100,,,,,,thick bed [B01],,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,2,H,19,A,
349-U1431A-2H-2-A,0,8,9.9,9.98,,silty clay [MMK88],,silty clay ,silty clay ,,2.5Y 4/1 (dark gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,,,thick bed [B01],,slight [DB86],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,2,H,2,A,
349-U1431A-2H-2-A,8,39,9.98,10.29,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,,2.5Y 5/1 (gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,,,thick bed [B01],graded bedding,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,2,H,2,A,
349-U1431A-2H-3-A,0,33,10.4,10.73,,clayey silt [MMK88],,clayey silt ,clayey silt ,,2.5Y 4/1 (dark gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,,,thick bed [B01],graded bedding,slight [DB86],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,2,H,3,A,
349-U1431A-2H-3-A,33,39,10.73,10.79,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,,2.5Y 5/1 (gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,,,thick bed [B01],,none [DB86],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,2,H,3,A,
349-U1431A-2H-4-A,0,16,10.9,11.06,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,,2.5Y 4/1 (dark gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,erosive,horizontal,medium bed [B01],graded bedding,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,2,H,4,A,
349-U1431A-2H-4-A,16,30,11.06,11.2,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,,2.5Y 4/1 (dark gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,erosive,curved,medium bed [B01],graded bedding,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,2,H,4,A,
349-U1431A-2H-4-A,30,35,11.2,11.25,,clay [Leg339],,clay ,clay ,,2.5Y 5/1 (gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,planar,horizontal,medium bed [B01],,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,2,H,4,A,
349-U1431A-2H-4-A,35,39,11.25,11.29,,ash(tuff) [MMK88m],with clay [Leg339],ash(tuff) ,ash(tuff) with clay ,,2.5Y 3/2 (very dark grayish brown),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],P [A92],1,,,,,,,,,,,,,,medium bed [B01],,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,2,H,4,A,
349-U1431A-2H-5-A,0,12,11.4,11.52,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,,2.5Y 4/1 (dark gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,planar,curved,medium bed [B01],graded bedding,slight [DB86],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,2,H,5,A,
349-U1431A-2H-5-A,12,39,11.52,11.79,,clayey silt [MMK88],,clayey silt ,clayey silt ,,2.5Y 5/1 (gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,,,,,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,2,H,5,A,
349-U1431A-2H-6-A,0,1,11.9,11.91,,clayey silt [MMK88],,clayey silt ,clayey silt ,,2.5Y 4/1 (dark gray),very slightly consolidated [B84],silt [W22_1],2,clay [W22_1],1,moderate [BP01],,,,,,,,,,,,,,planar,curved,,,slight [DB86],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,2,H,6,A,
349-U1431A-2H-6-A,1,14,11.91,12.04,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,,2.5Y 4/1 (dark gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,erosive,curved,medium bed [B01],graded bedding,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,2,H,6,A,
349-U1431A-2H-6-A,14,39,12.04,12.29,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,,2.5Y 4/1 (dark gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,,,medium bed [B01],graded bedding,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,2,H,6,A,
349-U1431A-2H-7-A,0,9,12.4,12.49,,silty clay [MMK88],,silty clay ,silty clay ,,2.5Y 4/1 (dark gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,erosive,curved,medium bed [B01],graded bedding,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,2,H,7,A,
349-U1431A-2H-7-A,9,29,12.49,12.69,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,,2.5Y 5/1 (gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,gradational,,thick bed [B01],graded bedding,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,2,H,7,A,
349-U1431A-2H-7-A,29,32,12.69,12.72,,silty clay [MMK88],,silty clay ,silty clay ,,2.5Y 4/1 (dark gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,erosive,curved,medium bed [B01],graded bedding,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,2,H,7,A,
349-U1431A-2H-7-A,32,39,12.72,12.79,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,,2.5Y 5/1 (gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,,,,graded bedding,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,2,H,7,A,
349-U1431A-2H-8-A,0,5,12.9,12.95,,silty clay [MMK88],,silty clay ,silty clay ,,2.5Y 4/1 (dark gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,erosive,curved,medium bed [B01],graded bedding,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,2,H,8,A,
349-U1431A-2H-8-A,5,20,12.95,13.1,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,,2.5Y 5/1 (gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,gradational,,thick bed [B01],graded bedding,slight [DB86],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,2,H,8,A,
349-U1431A-2H-8-A,20,23,13.1,13.13,,silty clay [MMK88],,silty clay ,silty clay ,,2.5Y 4/1 (dark gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,erosive,horizontal,medium bed [B01],graded bedding,slight [DB86],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,2,H,8,A,
349-U1431A-2H-8-A,23,33,13.13,13.23,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,,2.5Y 5/1 (gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,gradational,,medium bed [B01],graded bedding,slight [DB86],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,2,H,8,A,
349-U1431A-2H-8-A,33,36,13.23,13.26,,silty clay [MMK88],,silty clay ,silty clay ,,2.5Y 4/1 (dark gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,erosive,curved,medium bed [B01],graded bedding,slight [DB86],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,2,H,8,A,
349-U1431A-2H-8-A,36,39,13.26,13.29,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,,2.5Y 5/1 (gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,,,,graded bedding,slight [DB86],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,2,H,8,A,
349-U1431A-2H-9-A,0,2,13.4,13.42,,silty clay [MMK88],,silty clay ,silty clay ,,2.5Y 4/1 (dark gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,bioturbated,,,graded bedding,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,2,H,9,A,
349-U1431A-2H-9-A,2,8,13.42,13.48,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,,2.5Y 5/1 (gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,gradational,,medium bed [B01],graded bedding,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,2,H,9,A,
349-U1431A-2H-9-A,8,11,13.48,13.51,,silty clay [MMK88],,silty clay ,silty clay ,,2.5Y 4/1 (dark gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,erosive,curved,medium bed [B01],graded bedding,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,2,H,9,A,
349-U1431A-2H-9-A,11,22,13.51,13.62,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,,2.5Y 5/1 (gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,gradational,,medium bed [B01],graded bedding,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,2,H,9,A,
349-U1431A-2H-9-A,22,30,13.62,13.7,,silty clay [MMK88],,silty clay ,silty clay ,,2.5Y 4/1 (dark gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,erosive,curved,medium bed [B01],graded bedding,none [DB86],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,2,H,9,A,
349-U1431A-2H-9-A,30,34,13.7,13.74,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,,2.5Y 5/1 (gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,gradational,,medium bed [B01],graded bedding,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,2,H,9,A,
349-U1431A-2H-9-A,34,39,13.74,13.79,,silty clay [MMK88],,silty clay ,silty clay ,,2.5Y 4/1 (dark gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,,,,graded bedding,none [DB86],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,2,H,9,A,
349-U1431A-2H-CC-A,0,11,19.01,19.12,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,100,2.5Y 5/1 (gray),slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,,,,,,,,,,,100,,,,,,thick bed [B01],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,2,H,CC,A,
349-U1431A-3H-1-A,0,15,18.9,19.05,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,,2.5Y 5/1 (gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,gradational,,thick bed [B01],graded bedding,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,3,H,1,A,
349-U1431A-3H-1-A,15,35,19.05,19.25,,silty clay [MMK88],,silty clay ,silty clay ,,2.5Y 4/1 (dark gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,erosive,horizontal,thick bed [B01],graded bedding,slight [DB86],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,3,H,1,A,
349-U1431A-3H-1-A,35,39,19.25,19.29,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,,2.5Y 5/1 (gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,,,,graded bedding,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,3,H,1,A,
349-U1431A-3H-2-A,0,4,19.4,19.44,,silty clay [MMK88],,silty clay ,silty clay ,,2.5Y 4/1 (dark gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,erosive,horizontal,medium bed [B01],graded bedding,slight [DB86],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,3,H,2,A,
349-U1431A-3H-2-A,4,17,19.44,19.57,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,,2.5Y 5/1 (gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,gradational,,,graded bedding,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,3,H,2,A,
349-U1431A-3H-2-A,17,25,19.57,19.65,,silty clay [MMK88],,silty clay ,silty clay ,,2.5Y 4/1 (dark gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,gradational,,,graded bedding,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,3,H,2,A,
349-U1431A-3H-2-A,25,27,19.65,19.67,foraminifer rich,sand [Leg339],,foraminifer rich sand ,foraminifer rich sand ,,2.5Y 4/1 (dark gray),very slightly consolidated [B84],medium sand [W22_2],5,,,moderate [BP01],,,,,,,,,,,,,,erosive,inclined,,graded bedding,slight [DB86],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,3,H,2,A,
349-U1431A-3H-2-A,27,30,19.67,19.7,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,,2.5Y 5/1 (gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,gradational,,,graded bedding,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,3,H,2,A,
349-U1431A-3H-2-A,30,33,19.7,19.73,,silty clay [MMK88],,silty clay ,silty clay ,,2.5Y 4/1 (dark gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,gradational,,,graded bedding,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,3,H,2,A,
349-U1431A-3H-2-A,33,34,19.73,19.74,foraminifer rich,sand [Leg339],,foraminifer rich sand ,foraminifer rich sand ,,2.5Y 4/1 (dark gray),very slightly consolidated [B84],medium sand [W22_2],5,,,moderate [BP01],,,,,,,,,,,,,,erosive,horizontal,,graded bedding,slight [DB86],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,3,H,2,A,
349-U1431A-3H-2-A,34,39,19.74,19.79,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,,2.5Y 5/1 (gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,,,,graded bedding,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,3,H,2,A,
349-U1431A-3H-3-A,0,14,19.9,20.04,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,,2.5Y 5/1 (gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,gradational,horizontal,,,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,3,H,3,A,
349-U1431A-3H-3-A,14,20,20.04,20.1,,silty clay [MMK88],,silty clay ,silty clay ,,2.5Y 4/1 (dark gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,erosive,horizontal,,graded bedding,slight [DB86],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,3,H,3,A,
349-U1431A-3H-3-A,20,36,20.1,20.26,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,,2.5Y 5/1 (gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,gradational,,,,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,3,H,3,A,
349-U1431A-3H-3-A,36,40,20.26,20.3,,silty clay [MMK88],,silty clay ,silty clay ,,2.5Y 4/1 (dark gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,,,,graded bedding,slight [DB86],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,3,H,3,A,
349-U1431A-3H-4-A,0,17,20.4,20.57,,silty clay [MMK88],,silty clay ,silty clay ,,2.5Y 5/1 (gray),slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,gradational,horizontal,medium bed [B01],,slight [DB86],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,3,H,4,A,
349-U1431A-3H-4-A,17,20,20.57,20.6,,clay [Leg339],with glauconite,clay ,clay with glauconite,,2.5Y 3/1 (very dark gray),slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,gradational,horizontal,thin bed [B01],,slight [DB86],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,3,H,4,A,
349-U1431A-3H-4-A,20,50,20.6,20.9,,silty clay [MMK88],,silty clay ,silty clay ,,2.5Y 5/1 (gray),slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,gradational,horizontal,medium bed [B01],,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,3,H,4,A,
