Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lith. Prefix,MAJ Lith. Principal name,MAJ Lith. Suffix,MAJ Lith. prefix+name+suffix [read only],TEPHRA type,Amount of ash in lithology,Amount of ash in lithology rank [read only],Sediment structures,MAJ Lith. color,Bioturbation intensity,Bioturbation intensity rank [read only],Clast abundance,Number of clasts (>2mm),Clast 1 igneous -  grain size,Clast 1 igneous -  roundness,Clast 2 sediment - grain size,Clast 2 sediment - roundness,Clast 3 metamorphic - grain size,Clast 3 metamorphic - roundness,Lith. accessory shell fragment,Lith. accessory cement,Lith. accessory nodule/concretion,Lith. accessory sulfide,Lithological accessories comment,Macrofossil,MAJ Lith. prefix + name,MAJ Lith. name+suffix,MAJ Lith. abundance [%],MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank [read only],MAJ Lith. max. grain size,MAJ Lith. max. grain size rank [read only],Diagenetic constituent,Diagenetic constituent composition,Deformational structures,structure,General interval comment,MIN Lith. Prefix,MIN Lith. Principal name,MIN Lith. Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
346-U1426A-2H-7-A,0.0,21.0,11.5,11.71,,silty clay ,,silty clay ,,,,,5Y 3/1 (very dark gray),,,,,,,,,,,,,,,,,silty clay ,silty clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1426,A,2,H,7,A
346-U1426A-2H-7-A,21.0,50.0,11.71,12.0,,clay ,,clay ,,,,,10Y 4/1 (dark greenish gray),,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1426,A,2,H,7,A
346-U1426A-2H-CC-A,0.0,16.0,12.0,12.16,,silty clay ,,silty clay ,,,,,5Y 3/1 (very dark gray),,,,,,,,,,,,,,,,,silty clay ,silty clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1426,A,2,H,CC,A
346-U1426A-3H-1-A,0.0,150.0,12.0,13.5,diatom rich,nannofossil ooze ,,diatom rich nannofossil ooze ,,,,mottling ,5Y 5/2 (olive gray),slight ,1.0,,,,,,,,,,,,,,,diatom rich  nannofossil ooze ,nannofossil ooze ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1426,A,3,H,1,A
346-U1426A-3H-2-A,0.0,52.0,13.5,14.02,diatom rich,nannofossil ooze ,,diatom rich nannofossil ooze ,,,,,5Y 5/2 (olive gray),,,,,,,,,,,,,,,,,diatom rich  nannofossil ooze ,nannofossil ooze ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1426,A,3,H,2,A
346-U1426A-3H-2-A,17.0,21.0,13.67,13.71,,,,,,,,,,,1.0,present ,1,cobble ,,,,,,,,,,Pumice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1426,A,3,H,2,A
346-U1426A-3H-2-A,52.0,150.0,14.02,15.0,diatom rich,clay ,,diatom rich clay ,,,,color banding,5Y 5/2 (olive gray),slight ,1.0,,,,,,,,,,,,,,,diatom rich  clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1426,A,3,H,2,A
346-U1426A-3H-3-A,0.0,47.0,15.0,15.47,,clay ,,clay ,,,,,10Y 5/1 (greenish gray),heavy ,3.0,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1426,A,3,H,3,A
346-U1426A-3H-3-A,47.0,52.0,15.47,15.52,,silty clay ,,silty clay ,,,,color banding,5Y 3/1 (very dark gray),,,,,,,,,,,,,,,,,silty clay ,silty clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1426,A,3,H,3,A
346-U1426A-3H-3-A,52.0,53.0,15.52,15.53,,tephra ,,tephra ,vitric,,,lens or pod ,N 3 (very dark gray),,,,,,,,,,,,,,,,,tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1426,A,3,H,3,A
