Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Texture Rank [read only],MAJ Lith. prefix+name [read only],Lithification,Lithification rank [read only],MAJ Lith. color,MAJ Lith. ave. grain size ,Grain size rank [read only],Skeletal components MAJOR,Skeletal components MAJOR comment,Skeletal components INTERMEDIATE,Skeletal components INTERMEDIATE comment,Skeletal components MINOR,Skeletal components MINOR comment,Non-skeletal components,Non-skeletal components comment,Sedimentary structure,Diagenetic structure,Diagenetic structure comment,Layer or bedding thickness,Bioturbation intensity,Bioturbation intensity rank [read only],Bioturbation type,Bottom contact or boundary definition,Bottom contact or boundary attitude,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
359-U1465A-8H-6-A,0,57,55.84,56.41,,grainstone,4,,unlithified,1,10YR 6/2 (light brownish gray),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,Halimeda,"otoliths and bivalve common. Gastropod fragments, Echinoid spines and pteropods present.",aggregate,lithic clats,,,,,,,,,,Moderately-sorted. Lithic clasts present.,,,,359,U1465,A,8,H,6,A,
359-U1465A-8H-CC-A,0,13,56.41,56.54,,grainstone,4,,unlithified,1,10YR 6/2 (light brownish gray),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,Halimeda,"otoliths and bivalve common. Gastropod fragments, Echinoid spines and pteropods present.",,,,,,,,,,,,Moderately to Poorly-sorted. Lithic clasts present.,,,,359,U1465,A,8,H,CC,A,
359-U1465A-9H-1-A,0,58,59.5,60.08,,rudstone,6,,unlithified,1,10YR 6/2 (light brownish gray),coarse sand,6,foraminifera (planktic),,foraminifera (benthic),,bryozoa,"Halimeda, echinoid spines, and gastropod and bivalve common. fragments.",,,,,,,,,,gradational,horizontal,Poorly-sorted. Medium- to coarse-grained.,,,,359,U1465,A,9,H,1,A,
359-U1465A-9H-1-A,58,101,60.08,60.51,,grainstone,4,,unlithified,1,10YR 6/2 (light brownish gray),medium sand,5,foraminifera (planktic),,Halimeda,,foraminifera (benthic),,,,,,,,,,,,,"Lithified. Medium- to coarse-grained, Poorly-sorted. Grains re-crystallized. Borings present. Corals re-crystallized in black mineral (Mn or chert). Sample sent for thin section.",,,,359,U1465,A,9,H,1,A,
359-U1465A-9H-2-A,0,77,60.51,61.28,,grainstone,4,,unlithified,1,10YR 6/2 (light brownish gray),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,Halimeda,,,,,,,,,,,,,Bivalve abundant. Red algae nodules and encrusting bivalves. Vermetid present. Moldic porosity. No reaction with HCl,,,,359,U1465,A,9,H,2,A,
359-U1465A-9H-3-A,0,75,61.28,62.03,,grainstone,4,,unlithified,1,10YR 6/2 (light brownish gray),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,Halimeda,Bivavle fragments present. Rare coral fragments.,,,,,,,,,,,,Moderately-sorted. Pyrite filled foraminifera present.,,,,359,U1465,A,9,H,3,A,
359-U1465A-9H-4-A,0,88,62.03,62.91,,grainstone,4,,unlithified,1,10YR 6/2 (light brownish gray),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,Bivalve,Rare bryozoan fragments.,,lithic clasts,,,,,,,,,,Moderately-sorted. Pyrite filled foraminifera present.,,,,359,U1465,A,9,H,4,A,
359-U1465A-9H-5-A,0,128,62.91,64.19,,grainstone,4,,unlithified,1,10YR 6/2 (light brownish gray),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,echinoderm,echinoid fragments and spines abundant. Halimeda fragments common. Otoliths and bryozoan fragments present.,,lithic clasts,,,,,,,,,,Moderately-sorted. Lithic clasts present .,,,,359,U1465,A,9,H,5,A,
359-U1465A-9H-6-A,0,102,64.24,65.26,,grainstone,4,,unlithified,1,10YR 7/2 (light gray),medium sand,5,foraminifera (planktic),,echinoderm,Spines and fragments,foraminifera (benthic),halimeda fragments and bivalve fragments common. Bryozoan fragments present.,,,,,,,,,,,,Moderately to poorly sorted. Lithic clasts present .,,,,359,U1465,A,9,H,6,A,
359-U1465A-9H-CC-A,0,16,65.26,65.42,,grainstone,4,,unlithified,1,10YR 7/2 (light gray),medium sand,5,foraminifera (planktic),,coral (solitary),,bivalve,Calcareous red algae and sepulid present.,,,,,,,,,,,,Poorly sorted. Medium- to coarse-grained.,,,,359,U1465,A,9,H,CC,A,
359-U1465A-10H-CC-A,0,2,69,69.02,,floatstone,5,,lithified,5,10yr 7/1 (light gray),gravel,9,red algae,,bivalve,,Halimeda,,,,,mold,"Moldic porosity, after aragonite.",,,,,,,"Lithified. Medium- to coarse-grained, poorly sorted. Grains re-crystallized. Borings present. Corals re-crystallized in black mineral (Mn or chert). Sample sent for thin section.",,,,359,U1465,A,10,H,CC,A,
359-U1465A-11X-CC-A,0,37,69.1,69.47,,floatstone,5,,lithified,5,10YR 7/1 (light gray),gravel,9,,,,,,,,,,mold,Moldic porosity,,,,,,,Bivalve abundant. Red algae nodules and encrusting bivalves. Vermetid present. Moldic porosity. No reaction with HCl,,,,359,U1465,A,11,X,CC,A,
