Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix + name,MAJ Lith. prefix+name+suffix,MAJ Lith. name+suffix,MAJ Lith. abundance [%],MAJ Lith. color,MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank,MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. abundance [%],MIN Lith. color,MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,"Layer, boundary, lamination, grading",Layer or bedding thickness,Clasts abundance,Diagenetic constituent,Diagenetic structure,Bioturbation intensity,Bioturbation intensity rank,Macrofossil abundance name,Deformational structures,General interval comment,MAJ Lith. Prefix abundance Plot [%],MAJ Lith. Principal name abundance Plot [%],File Data,Extra Sample ID Data
"339-U1385A-6H-2-A, 127-150",339,U1385,A,6,6-2,H,2,A,127,150,42.27,42.5,,nannofossil ooze [Leg339],with mud [Leg339],nannofossil ooze ,nannofossil ooze  with mud ,nannofossil ooze   with mud ,100,10YR 6/1 (gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,,,,,,,slight_339 [DB91],3,,,Gray bioturbated clay with some reddish intervals. Slightly bioturbated.,100,100,,
"339-U1385A-6H-3-A, 0-150",339,U1385,A,6,6-3,H,3,A,0,150,42.5,44,,nannofossil ooze [Leg339],with mud [Leg339],nannofossil ooze ,nannofossil ooze  with mud ,nannofossil ooze   with mud ,100,5Y 6/1 (gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,,,,,,,slight_339 [DB91],3,,,Gray clay with color banding. Bioturbated but primary lamination is visible. Some pyrited burrows.,100,100,,
"339-U1385A-6H-4-A, 0-150",339,U1385,A,6,6-4,H,4,A,0,150,44,45.5,,nannofossil ooze [Leg339],with mud [Leg339],nannofossil ooze ,nannofossil ooze  with mud ,nannofossil ooze   with mud ,70,5Y 5/1 (gray),clay [W22_1],1,medium sand [W22_2],5,muddy [Leg339],nannofossil ooze [Leg339],,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,30,5Y 6/1 (gray),clay [W22_1],1,medium sand [W22_2],5,100,,layering,very thick bed [B01],,,,slight_339 [DB91],3,,,Interbedding of 1) relatively dark gray mud and 2) relatively light gray mud. Slightly bioturbated and occasionally pyrite-filled burrows. Burrows are more visible at each boundary. Zoophycus are commonly observed. ,70,70,,
"339-U1385A-6H-5-A, 0-150",339,U1385,A,6,6-5,H,5,A,0,150,45.5,47,,nannofossil ooze [Leg339],with clay [Leg339],nannofossil ooze ,nannofossil ooze  with clay ,nannofossil ooze   with clay ,70,5Y 5/1 (gray),clay [W22_1],1,medium sand [W22_2],5,muddy [Leg339],nannofossil ooze [Leg339],,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,30,5Y 6/1 (gray),clay [W22_1],1,medium sand [W22_2],5,100,,layering,very thick bed [B01],,,,slight_339 [DB91],3,,,Interbedding of 1) relatively dark gray mud and 2) relatively light gray mud. Slightly bioturbated and occasionally pyrite-filled burrows. Burrows are more visible at each boundary. Zoophycus are commonly observed. ,70,70,,
"339-U1385A-6H-6-A, 0-150",339,U1385,A,6,6-6,H,6,A,0,150,47,48.5,,nannofossil ooze [Leg339],with clay [Leg339],nannofossil ooze ,nannofossil ooze  with clay ,nannofossil ooze   with clay ,70,5Y 5/1 (gray),clay [W22_1],1,medium sand [W22_2],5,muddy [Leg339],nannofossil ooze [Leg339],,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,30,5Y 6/1 (gray),clay [W22_1],1,medium sand [W22_2],5,100,,layering,very thick bed [B01],,,,slight_339 [DB91],3,,,Interbedding of 1) relatively dark gray mud and 2) relatively light gray mud. Slightly bioturbated and occasionally pyrite-filled burrows. Burrows are more visible at each boundary. Zoophycus are commonly observed. ,70,70,,
"339-U1385A-6H-7-A, 0-21",339,U1385,A,6,6-7,H,7,A,0,21,48.5,48.71,,nannofossil ooze [Leg339],with clay [Leg339],nannofossil ooze ,nannofossil ooze  with clay ,nannofossil ooze   with clay ,70,5Y 5/1 (gray),clay [W22_1],1,medium sand [W22_2],5,muddy [Leg339],nannofossil ooze [Leg339],,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,30,5Y 6/1 (gray),clay [W22_1],1,medium sand [W22_2],5,100,sharp contact,layering,very thick bed [B01],,,,slight_339 [DB91],3,,,Interbedding of 1) relatively dark gray mud and 2) relatively light gray mud. Slightly bioturbated and occasionally pyrite-filled burrows. Burrows are more visible at each boundary. Zoophycus are commonly observed.  Sharp contact at the bottom.,70,70,,
"339-U1385A-6H-7-A, 21-63",339,U1385,A,6,6-7,H,7,A,21,63,48.71,49.13,,nannofossil ooze [Leg339],with clay [Leg339],nannofossil ooze ,nannofossil ooze  with clay ,nannofossil ooze   with clay ,100,5Y 6/1 (gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,,,,,,,moderate_339 [DB91],4,,,Lighter gray interval with moderate bioturbation. Foraminifers are visible.,100,100,,
"339-U1385A-6H-CC-A, 0-35",339,U1385,A,6,6-CC,H,CC,A,0,35,49.13,49.48,,nannofossil ooze [Leg339],with clay [Leg339],nannofossil ooze ,nannofossil ooze  with clay ,nannofossil ooze   with clay ,100,5Y 6/1 (gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,,,,,,,moderate_339 [DB91],4,,,Lighter gray interval with moderate bioturbation. Foraminifers are visible.,100,100,,
"339-U1385A-7H-1-A, 0-30",339,U1385,A,7,7-1,H,1,A,0,30,49,49.3,,nannofossil ooze [Leg339],with clay [Leg339],nannofossil ooze ,nannofossil ooze  with clay ,nannofossil ooze   with clay ,100,10YR 6/1 (gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,bioturbated boundary or contact,,,,,,slight_339 [DB91],3,,,Slight red tint; pyritized burrows and foraminifers sparse through this interval.,100,100,,
"339-U1385A-7H-1-A, 30-95",339,U1385,A,7,7-1,H,1,A,30,95,49.3,49.95,muddy [Leg339],nannofossil ooze [Leg339],,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,100,10YR 5/1 (gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,bioturbated boundary or contact,,,,,,slight_339 [DB91],3,,,Slightly lighter color at 48-62 cm.,100,100,,
"339-U1385A-7H-1-A, 95-150",339,U1385,A,7,7-1,H,1,A,95,150,49.95,50.5,muddy [Leg339],nannofossil ooze [Leg339],,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,100,10YR 5/1 (gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,bioturbated boundary or contact,color banding,thin bed [B01],,,,moderate_339 [DB91],4,,,"Faint color banding at scale of 5-10 cm.
",100,100,,
"339-U1385A-7H-2-A, 0-18",339,U1385,A,7,7-2,H,2,A,0,18,50.5,50.68,,nannofossil ooze [Leg339],with clay [Leg339],nannofossil ooze ,nannofossil ooze  with clay ,nannofossil ooze   with clay ,100,10Y 6/1 (greenish gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,bioturbated boundary or contact,color banding,thin bed [B01],,,,moderate_339 [DB91],4,,,"Faint color banding at scale of 5-10 cm.
",100,100,,
"339-U1385A-7H-2-A, 18-76",339,U1385,A,7,7-2,H,2,A,18,76,50.68,51.26,,nannofossil ooze [Leg339],with clay [Leg339],nannofossil ooze ,nannofossil ooze  with clay ,nannofossil ooze   with clay ,100,10YR 5/1 (gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,bioturbated boundary or contact,,,,,,slight_339 [DB91],3,,,Heavily color-mottled by bioturbation.  Burrow filled with sand and foraminifers at 37 cm.,100,100,,
"339-U1385A-7H-2-A, 76-108",339,U1385,A,7,7-2,H,2,A,76,108,51.26,51.58,,nannofossil ooze [Leg339],with clay [Leg339],nannofossil ooze ,nannofossil ooze  with clay ,nannofossil ooze   with clay ,100,10YR 6/1 (gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,bioturbated boundary or contact,,,,,,slight_339 [DB91],3,,,Zoophycos at 95-100 cm.,100,100,,
"339-U1385A-7H-2-A, 108-123",339,U1385,A,7,7-2,H,2,A,108,123,51.58,51.73,,nannofossil ooze [Leg339],with clay [Leg339],nannofossil ooze ,nannofossil ooze  with clay ,nannofossil ooze   with clay ,100,10YR 5/1 (gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,bioturbated boundary or contact,,,,,,slight_339 [DB91],3,,,Color grades toward gray downcore.,100,100,,
"339-U1385A-7H-2-A, 123-150",339,U1385,A,7,7-2,H,2,A,123,150,51.73,52,,nannofossil ooze [Leg339],with clay [Leg339],nannofossil ooze ,nannofossil ooze  with clay ,nannofossil ooze   with clay ,100,10YR 5/1 (gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,bioturbated boundary or contact,,,,,,moderate_339 [DB91],4,,,Complex vertical burrow at 140-150 cm.,100,100,,
"339-U1385A-7H-3-A, 0-21",339,U1385,A,7,7-3,H,3,A,0,21,52,52.21,,nannofossil ooze [Leg339],with clay [Leg339],nannofossil ooze ,nannofossil ooze  with clay ,nannofossil ooze   with clay ,100,10YR 6/1 (gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,bioturbated boundary or contact,,,,,,moderate_339 [DB91],4,,,,100,100,,
"339-U1385A-7H-3-A, 21-31",339,U1385,A,7,7-3,H,3,A,21,31,52.21,52.31,,nannofossil ooze [Leg339],with clay [Leg339],nannofossil ooze ,nannofossil ooze  with clay ,nannofossil ooze   with clay ,100,5YR 5/1 (gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,bioturbated boundary or contact,,,,,,slight_339 [DB91],3,,,,100,100,,
"339-U1385A-7H-3-A, 31-113",339,U1385,A,7,7-3,H,3,A,31,113,52.31,53.13,,nannofossil ooze [Leg339],with clay [Leg339],nannofossil ooze ,nannofossil ooze  with clay ,nannofossil ooze   with clay ,100,10YR 6/1 (gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,bioturbated boundary or contact,,,,,,moderate_339 [DB91],4,,,,100,100,,
"339-U1385A-7H-3-A, 113-150",339,U1385,A,7,7-3,H,3,A,113,150,53.13,53.5,,nannofossil ooze [Leg339],with clay [Leg339],nannofossil ooze ,nannofossil ooze  with clay ,nannofossil ooze   with clay ,100,5Y 6/1 (gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,bioturbated boundary or contact,,,,,,moderate_339 [DB91],4,,,,100,100,,
"339-U1385A-7H-4-A, 0-27",339,U1385,A,7,7-4,H,4,A,0,27,53.5,53.77,,nannofossil ooze [Leg339],with clay [Leg339],nannofossil ooze ,nannofossil ooze  with clay ,nannofossil ooze   with clay ,100,5Y 6/1 (gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,bioturbated boundary or contact,,,,,,moderate_339 [DB91],4,,,,100,100,,
"339-U1385A-7H-4-A, 27-36",339,U1385,A,7,7-4,H,4,A,27,36,53.77,53.86,,nannofossil ooze [Leg339],with clay [Leg339],nannofossil ooze ,nannofossil ooze  with clay ,nannofossil ooze   with clay ,100,5Y 5/1 (gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,bioturbated boundary or contact,,,,,,slight_339 [DB91],3,,,,100,100,,
"339-U1385A-7H-4-A, 36-97",339,U1385,A,7,7-4,H,4,A,36,97,53.86,54.47,,nannofossil ooze [Leg339],with clay [Leg339],nannofossil ooze ,nannofossil ooze  with clay ,nannofossil ooze   with clay ,100,5Y 6/1 (gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,bioturbated boundary or contact,,,,,,moderate_339 [DB91],4,,,,100,100,,
"339-U1385A-7H-4-A, 97-138",339,U1385,A,7,7-4,H,4,A,97,138,54.47,54.88,,nannofossil ooze [Leg339],with clay [Leg339],nannofossil ooze ,nannofossil ooze  with clay ,nannofossil ooze   with clay ,100,5Y 6/1 (gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,bioturbated boundary or contact,,,,,,slight_339 [DB91],3,,,Very slightly darker than overlying and underlying beds.,100,100,,
"339-U1385A-7H-4-A, 138-150",339,U1385,A,7,7-4,H,4,A,138,150,54.88,55,,nannofossil ooze [Leg339],with clay [Leg339],nannofossil ooze ,nannofossil ooze  with clay ,nannofossil ooze   with clay ,100,5Y 6/1 (gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,bioturbated boundary or contact,,,,,,slight_339 [DB91],3,,,,100,100,,
"339-U1385A-7H-5-A, 0-75",339,U1385,A,7,7-5,H,5,A,0,75,55,55.75,,nannofossil ooze [Leg339],with mud [Leg339],nannofossil ooze ,nannofossil ooze  with mud ,nannofossil ooze   with mud ,100,5Y 5/1 (gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,bioturbated boundary or contact,,,,,,slight_339 [DB91],3,,,,100,100,,
"339-U1385A-7H-5-A, 75-97",339,U1385,A,7,7-5,H,5,A,75,97,55.75,55.97,muddy [Leg339],nannofossil ooze [Leg339],,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,100,5Y 4/1 (dark gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,bioturbated boundary or contact,,,,,,slight_339 [DB91],3,,,Pyritic grains scattered through this interval.,100,100,,
"339-U1385A-7H-5-A, 97-150",339,U1385,A,7,7-5,H,5,A,97,150,55.97,56.5,,nannofossil ooze [Leg339],with clay [Leg339],nannofossil ooze ,nannofossil ooze  with clay ,nannofossil ooze   with clay ,100,5Y 5/1 (gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,contact not recovered,,,,,,slight_339 [DB91],3,,,Pyritic grains and burrow fills scattered through this interval.,100,100,,
"339-U1385A-7H-6-A, 0-122",339,U1385,A,7,7-6,H,6,A,0,122,56.5,57.72,,nannofossil ooze [Leg339],with clay [Leg339],nannofossil ooze ,nannofossil ooze  with clay ,nannofossil ooze   with clay ,100,5Y 5/1 (gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,contact not recovered,,,,,,slight_339 [DB91],3,,,Pyritic grains and burrow fills scattered through this interval.,100,100,,
"339-U1385A-7H-7-A, 0-54",339,U1385,A,7,7-7,H,7,A,0,54,57.72,58.26,,nannofossil ooze [Leg339],with clay [Leg339],nannofossil ooze ,nannofossil ooze  with clay ,nannofossil ooze   with clay ,100,5Y 5/1 (gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,contact not recovered,,,,,,slight_339 [DB91],3,,,Pyritic grains and burrow fills scattered through this interval.,100,100,,
"339-U1385A-7H-CC-A, 0-51",339,U1385,A,7,7-CC,H,CC,A,0,51,58.26,58.77,,nannofossil ooze [Leg339],with clay [Leg339],nannofossil ooze ,nannofossil ooze  with clay ,nannofossil ooze   with clay ,100,5Y 5/1 (gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,contact not recovered,,,,,,slight_339 [DB91],3,,,Pyritic grains and burrow fills scattered through this interval.,100,100,,
"339-U1385A-8H-1-A, 0-150",339,U1385,A,8,8-1,H,1,A,0,150,58.5,60,,nannofossil ooze [Leg339],with clay [Leg339],nannofossil ooze ,nannofossil ooze  with clay ,nannofossil ooze   with clay ,100,5Y 6/1 (gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,,,,,,,slight_339 [DB91],3,,,Pyritic grains and burrow fills scattered through this interval. Slightly bioturbated and slight color change within gray. Foraminifers are visible.,100,100,,
"339-U1385A-8H-2-A, 0-150",339,U1385,A,8,8-2,H,2,A,0,150,60,61.5,,nannofossil ooze [Leg339],with clay [Leg339],nannofossil ooze ,nannofossil ooze  with clay ,nannofossil ooze   with clay ,100,5Y 6/1 (gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,,,,,,,slight_339 [DB91],3,,,Pyritic grains and burrow fills scattered through this interval. Slightly bioturbated and slight color change within gray. Foraminifers are visible.,100,100,,
"339-U1385A-8H-3-A, 0-11",339,U1385,A,8,8-3,H,3,A,0,11,61.5,61.61,,nannofossil ooze [Leg339],with clay [Leg339],nannofossil ooze ,nannofossil ooze  with clay ,nannofossil ooze   with clay ,100,5Y 6/1 (gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,gradational contact,,,,,,sparse_339 [DB91],2,,,Pyritic grains and burrow fills scattered through this interval. Slightly bioturbated and slight color change within gray. Foraminifers are visible.,100,100,,
"339-U1385A-8H-3-A, 11-31",339,U1385,A,8,8-3,H,3,A,11,31,61.61,61.81,muddy [Leg339],nannofossil ooze [Leg339],,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,100,5Y 4/1 (dark gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,gradational contact,,,,,,slight_339 [DB91],3,,,Pyritic grains and burrow fills scattered through this interval. Slightly bioturbated and slight color change within gray. Foraminifers are visible.,100,100,,
"339-U1385A-8H-3-A, 31-151",339,U1385,A,8,8-3,H,3,A,31,151,61.81,63.01,,calcareous ooze [Leg339],with mud [Leg339],calcareous ooze ,calcareous ooze  with mud ,calcareous ooze   with mud ,100,10YR 6/1 (gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,,,,,,,sparse_339 [DB91],2,,,Pyritic grains and burrow fills scattered through this interval. Slightly bioturbated and slight color change within gray. Foraminifers are visible.,100,100,,
"339-U1385A-8H-4-A, 0-151",339,U1385,A,8,8-4,H,4,A,0,151,63.01,64.52,muddy [Leg339],calcareous ooze [Leg339],,muddy   calcareous ooze ,muddy  calcareous ooze ,calcareous ooze ,100,5Y 5/1 (gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,,,,,,,slight_339 [DB91],3,,,Pyritic grains and burrow fills scattered through this interval. Slightly bioturbated and slight color change within gray. Foraminifers are visible.,100,100,,
"339-U1385A-8H-5-A, 0-108",339,U1385,A,8,8-5,H,5,A,0,108,64.52,65.6,muddy [Leg339],calcareous ooze [Leg339],,muddy   calcareous ooze ,muddy  calcareous ooze ,calcareous ooze ,100,5Y 5/1 (gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,,,,,,,slight_339 [DB91],3,,,Pyritic grains and burrow fills scattered through this interval. Slightly bioturbated and slight color change within gray. Foraminifers are visible. Slight increase in reddish clay downward.,100,100,,
"339-U1385A-8H-5-A, 108-151",339,U1385,A,8,8-5,H,5,A,108,151,65.6,66.03,muddy [Leg339],calcareous ooze [Leg339],,muddy   calcareous ooze ,muddy  calcareous ooze ,calcareous ooze ,100,10YR 5/1 (gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,,,,,,,moderate_339 [DB91],4,,,Pyritic grains and burrow fills scattered through this interval. Moderately bioturbated and slight color change within gray. Foraminifers are visible. Some burrows are filled with forams. Reddish gray clay mottling.,100,100,,
"339-U1385A-8H-6-A, 0-35",339,U1385,A,8,8-6,H,6,A,0,35,66.03,66.38,muddy [Leg339],calcareous ooze [Leg339],,muddy   calcareous ooze ,muddy  calcareous ooze ,calcareous ooze ,100,10YR 5/1 (gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,gradational contact,,,,,,moderate_339 [DB91],4,,,Pyritic grains and burrow fills scattered through this interval. Moderately bioturbated and slight color change within gray. Foraminifers are visible. Reddish gray clay mottling.,100,100,,
"339-U1385A-8H-6-A, 35-113",339,U1385,A,8,8-6,H,6,A,35,113,66.38,67.16,silty-muddy [Leg339],calcareous ooze [Leg339],,silty-muddy   calcareous ooze ,silty-muddy  calcareous ooze ,calcareous ooze ,100,5Y 5/1 (gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,gradational contact,,,,,,moderate_339 [DB91],4,,,Massive light gray mud. Moderately bioturbated and slight color change within gray. Foraminifers are visible. ,100,100,,
"339-U1385A-8H-6-A, 113-150",339,U1385,A,8,8-6,H,6,A,113,150,67.16,67.53,,nannofossil ooze [Leg339],,nannofossil ooze ,nannofossil ooze ,nannofossil ooze ,100,5Y 6/1 (gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,,,,,,,moderate_339 [DB91],4,,,Gray clay with burrows (mostly zoophycus and planolites). Moderately bioturbated and slight color change within gray. Foraminifers are visible. Mottling.,100,100,,
"339-U1385A-8H-7-A, 0-4",339,U1385,A,8,8-7,H,7,A,0,4,67.53,67.57,,nannofossil ooze [Leg339],,nannofossil ooze ,nannofossil ooze ,nannofossil ooze ,100,5Y 6/1 (gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,gradational contact,,,,,,moderate_339 [DB91],4,,,Gray clay with burrows (mostly zoophycus and planolites). Moderately bioturbated and slight color change within gray. Foraminifers are visible. Mottling.,100,100,,
"339-U1385A-8H-7-A, 4-71",339,U1385,A,8,8-7,H,7,A,4,71,67.57,68.24,muddy [Leg339],nannofossil ooze [Leg339],,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,100,10YR 4/1 (dark gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,,,,,,,moderate_339 [DB91],4,present [A48],,Brown clay with burrows (mostly zoophycus). Moderately bioturbated. Foraminifers and shell fragments are visible. Some burrows are filled with forams.,100,100,,
"339-U1385A-8H-CC-A, 0-40",339,U1385,A,8,8-CC,H,CC,A,0,40,68.24,68.64,muddy [Leg339],nannofossil ooze [Leg339],,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,100,10YR 4/1 (dark gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,,,,,,,moderate_339 [DB91],4,present [A48],,Brown clay with burrows (mostly zoophycus). Moderately bioturbated. Foraminifers and shell fragments are visible. Some burrows are filled with forams.,100,100,,
"339-U1385A-9H-1-A, 0-29",339,U1385,A,9,9-1,H,1,A,0,29,68,68.29,,calcareous ooze [Leg339],with clay [Leg339],calcareous ooze ,calcareous ooze  with clay ,calcareous ooze   with clay ,100,5Y 4/1 (dark gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,gradational contact,,,,,,slight_339 [DB91],3,,,Gray clay with slight bioturbation. Foraminifers are visible.,100,100,,
"339-U1385A-9H-1-A, 29-150",339,U1385,A,9,9-1,H,1,A,29,150,68.29,69.5,,calcareous ooze [Leg339],with clay [Leg339],calcareous ooze ,calcareous ooze  with clay ,calcareous ooze   with clay ,100,10YR 5/1 (gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,,,,,,,moderate_339 [DB91],4,,,Slight reddish gray clay with gray mottling (5Y 5/1). Foraminifers are visible. Pyritized burrows.,100,100,,
"339-U1385A-9H-2-A, 0-150",339,U1385,A,9,9-2,H,2,A,0,150,69.5,71,,calcareous ooze [Leg339],with clay [Leg339],calcareous ooze ,calcareous ooze  with clay ,calcareous ooze   with clay ,90,10YR 5/1 (gray),clay [W22_1],1,medium sand [W22_2],5,,calcareous ooze [Leg339],with mud [Leg339],calcareous ooze ,calcareous ooze  with mud ,calcareous ooze   with mud ,10,5Y 5/1 (gray),clay [W22_1],1,medium sand [W22_2],5,100,,layering,thin bed [B01],,,,slight_339 [DB91],3,,,Slight reddish gray clay interbedded with 0.5-2 cm gray band (occasionally 10 cm) and gray mottling (5Y 5/1). Pyritized and fram filled-burrows are present. Foraminifers are visible. Pyritized burrows.,90,90,,
"339-U1385A-9H-3-A, 0-150",339,U1385,A,9,9-3,H,3,A,0,150,71,72.5,,calcareous ooze [Leg339],with clay [Leg339],calcareous ooze ,calcareous ooze  with clay ,calcareous ooze   with clay ,90,10YR 5/1 (gray),clay [W22_1],1,medium sand [W22_2],5,,calcareous ooze [Leg339],with mud [Leg339],calcareous ooze ,calcareous ooze  with mud ,calcareous ooze   with mud ,10,5Y 5/1 (gray),clay [W22_1],1,medium sand [W22_2],5,100,,layering,thin bed [B01],,,,slight_339 [DB91],3,,,Slight reddish gray clay interbedded with 0.5-2 cm gray band (occasionally 10 cm) and gray mottling (5Y 5/1). Pyritized and fram filled-burrows are present. Foraminifers are visible. Pyritized burrows.,90,90,,
"339-U1385A-9H-4-A, 0-120",339,U1385,A,9,9-4,H,4,A,0,120,72.5,73.7,,calcareous ooze [Leg339],with clay [Leg339],calcareous ooze ,calcareous ooze  with clay ,calcareous ooze   with clay ,90,10YR 5/1 (gray),clay [W22_1],1,medium sand [W22_2],5,,calcareous ooze [Leg339],with mud [Leg339],calcareous ooze ,calcareous ooze  with mud ,calcareous ooze   with mud ,10,5Y 5/1 (gray),clay [W22_1],1,medium sand [W22_2],5,100,sharp contact,layering,thin bed [B01],,,,slight_339 [DB91],3,,,Slight reddish gray clay interbedded with 0.5-2 cm gray band (occasionally 10 cm) and gray mottling (5Y 5/1). Pyritized and fram filled-burrows are present. Foraminifers are visible. Pyritized burrows.,90,90,,
"339-U1385A-9H-4-A, 120-134",339,U1385,A,9,9-4,H,4,A,120,134,73.7,73.84,,calcareous ooze [Leg339],with clay [Leg339],calcareous ooze ,calcareous ooze  with clay ,calcareous ooze   with clay ,100,5Y 5/1 (gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,gradational contact,,,,,,slight_339 [DB91],3,,,Gray bioturbated mud with distinct zoophycus. Foraminifers are visible.,100,100,,
"339-U1385A-9H-4-A, 134-151",339,U1385,A,9,9-4,H,4,A,134,151,73.84,74.01,,nannofossil ooze [Leg339],,nannofossil ooze ,nannofossil ooze ,nannofossil ooze ,100,10YR 5/1 (gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,,,,,,,moderate_339 [DB91],4,,,Slightly reddish gray clay. Gray mottling (5Y 5/1). Foraminifers are present.,100,100,,
"339-U1385A-9H-5-A, 0-93",339,U1385,A,9,9-5,H,5,A,0,93,74.01,74.94,,nannofossil ooze [Leg339],,nannofossil ooze ,nannofossil ooze ,nannofossil ooze ,100,10YR 5/1 (gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,gradational contact,,,,,,moderate_339 [DB91],4,,,Slightly reddish gray clay. Gray mottling (5Y 5/1). Decreasing (slightly reddish) gray of 10YR 5/1 and increasing gray of 5Y 5/1. Foraminifers are present.,100,100,,
"339-U1385A-9H-5-A, 93-150",339,U1385,A,9,9-5,H,5,A,93,150,74.94,75.51,,nannofossil ooze [Leg339],with mud [Leg339],nannofossil ooze ,nannofossil ooze  with mud ,nannofossil ooze   with mud ,100,5Y 5/1 (gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,,,,,,,moderate_339 [DB91],4,,,Gray clay with (slightly darker) mottling of 5Y 4/1. Foraminifers are visible. Pyritized burrows and foram-filled burrows present. ,100,100,,
