Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lith. Prefix,MAJ Lith. Principal name,MAJ Lith. Suffix,MAJ Lith. prefix+name+suffix [read only],TEPHRA type,Amount of ash in lithology,Amount of ash in lithology rank [read only],Sediment structures,MAJ Lith. color,Bioturbation intensity,Bioturbation intensity rank [read only],Clast abundance,Number of clasts (>2mm),Clast 1 igneous -  grain size,Clast 1 igneous -  roundness,Clast 2 sediment - grain size,Clast 2 sediment - roundness,Clast 3 metamorphic - grain size,Clast 3 metamorphic - roundness,Lith. accessory shell fragment,Lith. accessory cement,Lith. accessory nodule/concretion,Lith. accessory sulfide,Lithological accessories comment,Macrofossil,MAJ Lith. prefix + name,MAJ Lith. name+suffix,MAJ Lith. abundance [%],MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank [read only],MAJ Lith. max. grain size,MAJ Lith. max. grain size rank [read only],Diagenetic constituent,Diagenetic constituent composition,Deformational structures,structure,General interval comment,MIN Lith. Prefix,MIN Lith. Principal name,MIN Lith. Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data
346-U1425B-2H-1-A,113,123,9.93,10.03,,clay ,,clay ,,,,,5G 5/1 (greenish gray),,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1425B-2H-1-A,123,150,10.03,10.3,,clay ,,clay ,,,,,5Y 4/1 (dark gray),,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1425B-2H-2-A,0,10,10.3,10.4,,clay ,,clay ,,,,,5Y 4/1 (dark gray),,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1425B-2H-2-A,10,18,10.4,10.48,,clay ,,clay ,,,,,2.5Y 3/1 (very dark gray),,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1425B-2H-2-A,18,32,10.48,10.62,,clay ,,clay ,,,,,5G 5/1 (greenish gray),,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1425B-2H-2-A,32,57.5,10.62,10.875,,clay [Leg210],,clay ,,,,layering,5Y 4/2 (olive gray),,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1425B-2H-2-A,57.5,58.5,10.875,10.885,,tephra [FS84],,tephra ,vitric,,,,N 5 (gray),,,,,,,,,,,,,,,,,tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1425B-2H-2-A,58.5,60,10.885,10.9,,clay [Leg210],,clay ,,,,layering,5Y 4/2 (olive gray),,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1425B-2H-2-A,60,80,10.9,11.1,,clay ,,clay ,,,,,5G 5/1 (greenish gray),,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1425B-2H-2-A,80,86,11.1,11.16,,silty clay [MMK88],,silty clay ,,,,,2.5Y 3/2 (very dark grayish brown),,,,,,,,,,,,,,,,,silty clay ,silty clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1425B-2H-2-A,86,99,11.16,11.29,,clay [Leg210],,clay ,,,,,5BG 5/1 (greenish gray),,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1425B-2H-2-A,99,107,11.29,11.37,,silty clay [MMK88],,silty clay ,,,,,2.5Y 3/2 (very dark grayish brown),,,,,,,,,,,,,,,,,silty clay ,silty clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1425B-2H-2-A,107,150,11.37,11.8,,clay [Leg210],,clay ,,,,,5Y 4/1 (dark gray),,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1425B-2H-3-A,0,33,11.8,12.13,,clay ,,clay ,,,,,5Y 5/2 (olive gray),,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1425B-2H-3-A,25,33,12.05,12.13,,,,,,,,mottling [BJ80],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1425B-2H-3-A,33,34.5,12.13,12.145,,silty clay [MMK88],,silty clay ,,,,,2.5Y 3/1 (very dark gray),,,,,,,,,,,,,,,,,silty clay ,silty clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1425B-2H-3-A,34.5,35,12.145,12.15,,tephra [FS84],,tephra ,pumice,,,,N 6 (gray),,,,,,,,,,,,,,,,,tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1425B-2H-3-A,35,39,12.15,12.19,,silty clay [MMK88],,silty clay ,,,,,2.5Y 3/1 (very dark gray),,,,,,,,,,,,,,,,,silty clay ,silty clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1425B-2H-3-A,39,150,12.19,13.3,,clay [Leg210],,clay ,,,,color banding,5G 5/1 (greenish gray),,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1425B-2H-4-A,0,25,13.3,13.55,,silty clay [MMK88],,silty clay ,,,,,2.5Y 3/1 (very dark gray),,,,,,,,,,,,,,,,,silty clay ,silty clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1425B-2H-4-A,25,47,13.55,13.77,,clay [Leg210],,clay ,,,,,5G 5/1 (greenish gray),,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1425B-2H-4-A,47,50.5,13.77,13.805,,tephra [FS84],,tephra ,vitric,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1425B-2H-4-A,50.5,58,13.805,13.88,,clay [Leg210],,clay ,,,,,5G 5/1 (greenish gray),,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1425B-2H-4-A,58,62,13.88,13.92,,silty clay [MMK88],,silty clay ,,,,,2.5Y 3/1 (very dark gray),,,,,,,,,,,,,,,,,silty clay ,silty clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1425B-2H-4-A,62,75,13.92,14.05,,clay [Leg210],,clay ,,,,color banding,5G 3/1 (very dark greenish gray),,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1425B-2H-4-A,75,80,14.05,14.1,,silty clay [MMK88],,silty clay ,,,,,2.5Y 3/1 (very dark gray),,,,,,,,,,,,,,,,,silty clay ,silty clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1425B-2H-4-A,80,90,14.1,14.2,,clay [Leg210],,clay ,,,,mottling [BJ80],5G 5/1 (greenish gray),slight [DB86],1,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1425B-2H-4-A,90,90.5,14.2,14.205,,tephra [FS84],,tephra ,vitric,,,,N 8 (white),,,,,,,,,,,,,,,,,tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1425B-2H-4-A,90.5,95,14.205,14.25,,clay [Leg210],,clay ,,,,mottling [BJ80],5G 5/1 (greenish gray),slight [DB86],1,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1425B-2H-4-A,95,98,14.25,14.28,,silty clay [MMK88],with foraminifers [Leg339],silty clay  with foraminifers [Leg339],,,,,2.5Y 3/1 (very dark gray),,,,,,,,,,,,,,,,,silty clay ,silty clay   with foraminifers [Leg339],,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1425B-2H-4-A,98,121,14.28,14.51,,clay [Leg210],,clay ,,,,,5Y 5/2 (olive gray),,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1425B-2H-4-A,121,129,14.51,14.59,,silty clay [MMK88],with foraminifers [Leg339],silty clay  with foraminifers [Leg339],,,,lamination,2.5Y 3/1 (very dark gray),,,,,,,,,,,,,,,,,silty clay ,silty clay   with foraminifers [Leg339],,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1425B-2H-4-A,129,150,14.59,14.8,,clay [Leg210],,clay ,,,,,5Y 5/2 (olive gray),,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1425B-2H-5-A,0,50,14.8,15.3,,clay [Leg210],,clay ,,,,,5G 5/1 (greenish gray),slight [DB86],1,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1425B-2H-5-A,50,65,15.3,15.45,,clay [Leg210],with foraminifers [Leg339],clay  with foraminifers [Leg339],,,,lamination,2.5Y 3/1 (very dark gray),,,,,,,,,,,,,,,,,clay ,clay   with foraminifers [Leg339],,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1425B-2H-5-A,65,66,15.45,15.46,,tephra [FS84],,tephra ,vitric,,,,N 5 (gray),,,,,,,,,,,,,,,,,tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1425B-2H-5-A,66,85,15.46,15.65,,clay [Leg210],with foraminifers [Leg339],clay  with foraminifers [Leg339],,,,lamination,2.5Y 3/1 (very dark gray),,,,,,,,,,,,,,,,,clay ,clay   with foraminifers [Leg339],,,,,,,,,,,,,,,,,,,,,,,,,,,,
