Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology prefix,Lithology principal name,Lithology suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (Munsell),Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary geometry+definition [read only],Bottom contact or boundary attitude,Layer or bedding thickness,Lithology lithification,Lithology max. grain size class,Lithology max. grain size rank [read only],Grading,Sorting,Upper boundary ave. grain size class,Lowerr boundary ave. grain size class,General interval comment,Sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],Primary trace fossils,Secondary trace fossils,Minor trace fossils,Lithological asseccories,Diagenetic structure,Macrofossil,Macrofossil abundance name,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,DOMINANT clast roundness,Clast comments,Matrix comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
362-U1480F-6H-1-A,16.5,22.0,133.065,133.12,IIA,,silt,with clay,silt,silt with clay,silt with clay,,GLEY 1 4/N (dark gray),planar,sharp,planar sharp,sub-horizontal,,unlithified,silt,2.0,non-graded,moderate,,,,structureless,absent,1.0,,,,,,,,,,,,,,,,362,U1480,F,6,H,1,A
362-U1480F-6H-1-A,22.0,53.5,133.12,133.435,IIA,,alternating sand/mud layers,,alternating sand/mud layers,alternating sand/mud layers,alternating sand/mud layers,,GLEY 1 5/N (gray),planar,sharp,planar sharp,horizontal,thin bed,unlithified,silt,2.0,normal grading,moderate,clay,silt,Each bed is normally graded from silt to clay. The boundary details apply for all bed boundaries.,planar lamination,absent,1.0,,,,,,,,,,,,,,,,362,U1480,F,6,H,1,A
362-U1480F-6H-1-A,53.5,74.0,133.435,133.64,IIA,,silt,with clay,silt,silt with clay,silt with clay,,GLEY 1 4/N (dark gray),planar,sharp,planar sharp,sub-horizontal,,unlithified,fine sand,4.0,normal grading,moderate,silt,fine sand,,structureless,absent,1.0,,,,,,,,,,,,,,,,362,U1480,F,6,H,1,A
362-U1480F-6H-1-A,74.0,150.0,133.64,134.4,IIA,,alternating sand/mud layers,,alternating sand/mud layers,alternating sand/mud layers,alternating sand/mud layers,,GLEY 1 5/N (gray),,,,,,unlithified,fine sand,4.0,,,,,severe coring disturbance. Remnant of pyritized burrows at 116 and 144 cm.,,,,,,,,,,,,,,,,,,,362,U1480,F,6,H,1,A
362-U1480F-6H-2-A,0.0,110.0,134.4,135.5,IIA,,alternating sand/mud layers,,alternating sand/mud layers,alternating sand/mud layers,alternating sand/mud layers,,GLEY 1 5/N (gray),,,,,,unlithified,fine sand,4.0,,,,,"severe coring disturbance. Remnant of pyritized burrows at 19, 22 and 28 cm.",,,,,,,,,,,,,,,,,,,362,U1480,F,6,H,2,A
362-U1480F-6H-2-A,110.0,119.0,135.5,135.59,IIA,,fine sand,with clay,fine sand,fine sand with clay,fine sand with clay,,GLEY 1 4/N (dark gray),,,,,,unlithified,fine sand,4.0,non-graded,poor,,,Possible coring disturbance,structureless,absent,1.0,,,,,,,,,,,,,,,,362,U1480,F,6,H,2,A
362-U1480F-6H-3-A,0.0,60.0,135.9,136.5,IIA,,alternating sand/mud layers,,alternating sand/mud layers,alternating sand/mud layers,alternating sand/mud layers,,GLEY 1 5/N (gray),planar,sharp,planar sharp,horizontal,very thin bed,unlithified,silt,2.0,normal grading,moderate,clay,silt,"Alternation of normally graded, very thin beds to lamina. Description of the basal boundary applies for all beds. Basal bed (52-60 cm) is thicker than average and grades from fine sands to clays",planar lamination,sparse,2.0,Nereites,,,,,,,,,,,,,,,362,U1480,F,6,H,3,A
362-U1480F-6H-3-A,60.0,150.0,136.5,137.4,IIA,,fine sand,with clay,fine sand,fine sand with clay,fine sand with clay,,GLEY 1 4/N (dark gray),,,,,,unlithified,fine sand,4.0,non-graded,well,,,severe coring disturbance,,,,,,,,,,,,,,,,,,,362,U1480,F,6,H,3,A
362-U1480F-6H-4-A,0.0,119.0,137.4,138.59,IIA,,fine sand,with clay,fine sand,fine sand with clay,fine sand with clay,,GLEY 1 4/N (dark gray),,,,,,unlithified,fine sand,4.0,non-graded,well,,,severe coring disturbance,,,,,,,,,,,,,,,,,,,362,U1480,F,6,H,4,A
362-U1480F-6H-5-A,0.0,133.0,138.59,139.92,IIA,,fine sand,with clay,fine sand,fine sand with clay,fine sand with clay,,GLEY 1 4/N (dark gray),,,,,,unlithified,fine sand,4.0,non-graded,well,,,severe coring disturbance,,,,,,,,,,,,,,,,,,,362,U1480,F,6,H,5,A
