Label ID,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lith. Prefix,MAJ Lith. Principal name,MAJ Lith. Suffix,MAJ Lith. prefix+name+suffix,MAJ Lith. color,"Layer, boundary, lamination, grading",Diagenetic constituent,Diagenetic constituent composition,Bioturbation intensity,Bioturbation intensity rank,Deformational structures,General interval comment,MIN Lith. Prefix,MIN Lith. Principal name,MIN Lith. Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Bottom contact definition,Layer or bedding thickness,Clasts abundance,Clast 1 igneous [%],Clast 1 igneous -  grain size,Clast 2 sediment [%],Clast 2 sediment grain size,Clast 3 -other lithology [%],Clast 3 -other lithology grain size,Diagenetic structure,Macrofossil,Macrofossil abundance name,MAJ Lith. prefix + name,MAJ Lith. name+suffix,MAJ Lith abundance (%),MAJ Lith. Ave. grain size,MAJ Lith. ave. grain size rank,MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,File Data
342-U1408C-1H-6-A,342,U1408,C,1,1-6,H,6,A,25,118,7.75,8.68,sandy [Leg339],clay [Leg339],with foraminifers [Leg339],sandy  clay  with foraminifers ,5YR 5/3 (reddish brown),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sandy   clay ,clay   with foraminifers ,,,,,,
342-U1408C-1H-CC-A,342,U1408,C,1,CC,H,CC,A,0,9,,,sandy [Leg339],clay [Leg339],with foraminifers [Leg339],sandy  clay  with foraminifers ,5YR 5/3 (reddish brown),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1408C-3H-1-A,342,U1408,C,3,3-1,H,1,A,0,150,11.8,13.3,silty [Leg339],clay [Leg339],,silty  clay ,10YR 6/3 (pale brown),,,,,slight_339 [DB91],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,
342-U1408C-3H-2-A,342,U1408,C,3,3-2,H,2,A,0,150,13.3,14.8,silty [Leg339],clay [Leg339],,silty  clay ,5Y 7/2 (light gray),,,,,slight_339 [DB91],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,
342-U1408C-3H-3-A,342,U1408,C,3,3-3,H,3,A,0,150,14.8,16.3,silty [Leg339],clay [Leg339],,silty  clay ,5Y 7/2 (light gray),,,,,moderate_339 [DB91],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,
342-U1408C-3H-4-A,342,U1408,C,3,3-4,H,4,A,0,150,16.3,17.8,silty [Leg339],clay [Leg339],with nannofossils [Leg339],silty  clay  with nannofossils ,5Y 7/2 (light gray),,,,,moderate_339 [DB91],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay   with nannofossils ,,,,,,
342-U1408C-3H-5-A,342,U1408,C,3,3-5,H,5,A,0,150,17.8,19.3,silty [Leg339],clay [Leg339],with nannofossils [Leg339],silty  clay  with nannofossils ,5Y 7/2 (light gray),,,,,moderate_339 [DB91],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay   with nannofossils ,,,,,,
342-U1408C-3H-6-A,342,U1408,C,3,3-6,H,6,A,0,150,19.3,20.8,silty [Leg339],clay [Leg339],with nannofossils [Leg339],silty  clay  with nannofossils ,5Y 7/2 (light gray),,,,,moderate_339 [DB91],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay   with nannofossils ,,,,,,
342-U1408C-3H-7-A,342,U1408,C,3,3-7,H,7,A,0,73,20.8,21.53,silty [Leg339],clay [Leg339],with nannofossils [Leg339],silty  clay  with nannofossils ,5Y 7/2 (light gray),,,,,moderate_339 [DB91],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay   with nannofossils ,,,,,,
342-U1408C-3H-CC-A,342,U1408,C,3,3-CC,H,CC,A,0,22,21.53,21.75,silty [Leg339],clay [Leg339],with nannofossils [Leg339],silty  clay  with nannofossils ,5Y 7/2 (light gray),,,,,moderate_339 [DB91],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay   with nannofossils ,,,,,,
342-U1408C-4H-1-A,342,U1408,C,4,4-1,H,1,A,0,150,21.3,22.8,nannofossil [Leg339],clay [Leg339],,nannofossil  clay ,5Y 7/2 (light gray),,,,,moderate_339 [DB91],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   clay ,clay ,,,,,,
342-U1408C-4H-2-A,342,U1408,C,4,4-2,H,2,A,0,150,22.8,24.3,nannofossil [Leg339],clay [Leg339],,nannofossil  clay ,5GY 5/1 (greenish gray),,,,,moderate_339 [DB91],,Change in color from 5Y 7/2 (light gray) into 5GY 5/1 (greenish gray) at 57 cm of this Section.,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   clay ,clay ,,,,,,
342-U1408C-4H-3-A,342,U1408,C,4,4-3,H,3,A,0,150,24.3,25.8,nannofossil [Leg339],clay [Leg339],,nannofossil  clay ,5GY 5/1 (greenish gray),,,,,moderate_339 [DB91],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   clay ,clay ,,,,,,
342-U1408C-4H-4-A,342,U1408,C,4,4-4,H,4,A,0,150,25.8,27.3,nannofossil [Leg339],clay [Leg339],,nannofossil  clay ,5GY 5/1 (greenish gray),,,,,moderate_339 [DB91],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   clay ,clay ,,,,,,
342-U1408C-4H-5-A,342,U1408,C,4,4-5,H,5,A,0,150,27.3,28.8,nannofossil [Leg339],clay [Leg339],,nannofossil  clay,5GY 5/1 (greenish gray),,,,,moderate_339 [DB91],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   clay,clay,,,,,,
342-U1408C-4H-6-A,342,U1408,C,4,4-6,H,6,A,0,150,28.8,30.3,nannofossil [Leg339],clay [Leg339],,nannofossil  clay,5GY 5/1 (greenish gray),,,,,moderate_339 [DB91],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   clay,clay,,,,,,
342-U1408C-4H-7-A,342,U1408,C,4,4-7,H,7,A,0,59,30.3,30.89,nannofossil [Leg339],clay [Leg339],,nannofossil  clay,5GY 5/1 (greenish gray),,,,,moderate_339 [DB91],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   clay,clay,,,,,,
342-U1408C-4H-CC-A,342,U1408,C,4,4-CC,H,CC,A,0,20,30.89,31.09,nannofossil [Leg339],clay [Leg339],,nannofossil  clay,5GY 5/1 (greenish gray),,,,,moderate_339 [DB91],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   clay,clay,,,,,,
