Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (Munsell),Layer or bedding thickness,Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Sorting,Grading,Sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],Lithological asseccories,Diagenetic structure,Macrofossil,Macrofossil abundance name,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,DOMINANT clast roundness,Clast comments,"Matrix, fines (<2 mm) DOMINANT",Matrix sorting,Matrix comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
352-U1440A-3H-6-A,0.0,59.0,20.11,20.7,IB,,,,foraminifer-bearing,mud,with diatoms,foraminifer-bearing mud,foraminifer-bearing mud with diatoms,mud with diatoms,,2.5Y 4/1 (dark gray),,unconsolidated,silt,2.0,silt,2.0,silicic biogenic and terrigenous matter increased.,moderate,non-graded,mottled layer,moderate,2.0,scattered pumice,,,,"volcanic, felsic",,sub-rounded,,,,,,,,352,U1440,A,3,H,6,A,,,
352-U1440A-3H-6-A,59.0,63.0,20.7,20.74,IB,irregular,gradational,sub-horizontal,,lapilli-ash,,lapilli-ash,lapilli-ash,lapilli-ash,,GLEY 1 4/10Y (dark greenish gray),,unconsolidated,silt,2.0,pebble,9.0,fine pumice lapilli in a silty matrix,poor,non-graded,,none,0.0,,,,,,,,,,,,,,,352,U1440,A,3,H,6,A,,,
352-U1440A-3H-6-A,63.0,140.0,20.74,21.51,IB,,,,foraminifer-bearing,mud,with diatoms,foraminifer-bearing mud,foraminifer-bearing mud with diatoms,mud with diatoms,,2.5Y 4/1 (dark gray),,unconsolidated,silt,2.0,silt,2.0,silicic biogenic and terrigenous matter increased.,moderate,non-graded,mottled layer,moderate,2.0,scattered pumice,,,,"volcanic, felsic",,sub-rounded,,,,,,,,352,U1440,A,3,H,6,A,,,
352-U1440A-3H-6-A,140.0,147.0,21.51,21.58,IB,irregular,sharp,sub-horizontal,,ash,,ash,ash,ash,,10YR 7/2 (light gray),,unconsolidated,fine sand,4.0,medium sand,5.0,,well,normally graded,,,,,,,,,,,,,,,,,,352,U1440,A,3,H,6,A,,,
352-U1440A-3H-6-A,147.0,150.0,21.58,21.61,IB,,,,foraminifer-bearing,mud,with diatoms,foraminifer-bearing mud,foraminifer-bearing mud with diatoms,mud with diatoms,,2.5Y 4/1 (dark gray),,unconsolidated,silt,2.0,silt,2.0,silicic biogenic and terrigenous matter increased.,moderate,non-graded,mottled layer,moderate,2.0,scattered pumice,,,,"volcanic, felsic",,sub-rounded,,,,,,,,352,U1440,A,3,H,6,A,,,
352-U1440A-3H-7-A,0.0,60.0,21.61,22.21,IC,,,,,mud,with diatoms,mud,mud with diatoms,mud with diatoms,,2.5Y 5/2 (grayish brown),,unconsolidated,silt,2.0,silt,2.0,silicic biogenic and terrigenous matter increased.,moderate,non-graded,mottled layer,moderate,2.0,scattered pumice,,,,"volcanic, felsic",,sub-rounded,,,,,,,,352,U1440,A,3,H,7,A,,,
352-U1440A-3H-CC-A,0.0,22.0,22.21,22.43,IC,,,,,mud,with diatoms,mud,mud with diatoms,mud with diatoms,,2.5Y 5/2 (grayish brown),,unconsolidated,silt,2.0,silt,2.0,silicic biogenic and terrigenous matter increased.,moderate,non-graded,mottled layer,moderate,2.0,,,,,,,,,,,,,,,352,U1440,A,3,H,CC,A,,,
352-U1440A-4H-1-A,0.0,2.5,22.7,22.725,IC,irregular,sharp,inclined,,ash,,ash,ash,ash,,2.5Y 4/1 (dark gray),thin bed,unconsolidated,fine sand,4.0,medium sand,5.0,,well,normally graded,,none,0.0,,,,,,,,,,,,,,,352,U1440,A,4,H,1,A,,,
352-U1440A-4H-1-A,2.5,17.0,22.725,22.87,IC,,,,,mud,with diatoms,mud,mud with diatoms,mud with diatoms,,2.5Y 5/2 (grayish brown),,unconsolidated,silt,2.0,silt,2.0,silicic biogenic and terrigenous matter increased.,moderate,non-graded,mottled layer,moderate,2.0,,,,,,,,,,,,,,,352,U1440,A,4,H,1,A,,,
352-U1440A-4H-1-A,17.0,29.0,22.87,22.99,IC,planar,sharp,horizontal,tuffaceous,fine sand,with silt,tuffaceous fine sand,tuffaceous fine sand with silt,fine sand with silt,,2.5Y 5/2 (grayish brown),thin bed,unconsolidated,silt,2.0,fine sand,4.0,turniditic volcaniclastic sand,moderate,normally graded,planar lamination,none,0.0,,,,,,,,,,,,,,,352,U1440,A,4,H,1,A,,,
352-U1440A-4H-1-A,29.0,97.0,22.99,23.67,IC,,,,,mud,with diatoms,mud,mud with diatoms,mud with diatoms,,2.5Y 4/2 (dark grayish brown),,unconsolidated,silt,2.0,silt,2.0,silicic biogenic and terrigenous matter increased.,moderate,non-graded,mottled layer,moderate,2.0,scattered pumice,,,,,,,,,,,,,,352,U1440,A,4,H,1,A,,,
352-U1440A-4H-1-A,97.0,98.0,23.67,23.68,IC,irregular,scoured,sub-horizontal,,ash,,ash,ash,ash,,2.5Y 5/2 (grayish brown),thin bed,unconsolidated,silt,2.0,fine sand,4.0,silicic biogenic and terrigenous matter increased.,moderate,normally graded,,none,0.0,,,,,,,,,,,,,,,352,U1440,A,4,H,1,A,,,
352-U1440A-4H-1-A,98.0,150.0,23.68,24.2,IC,,,,,mud,with diatoms,mud,mud with diatoms,mud with diatoms,,2.5Y 4/2 (dark grayish brown),,unconsolidated,silt,2.0,silt,2.0,silicic biogenic and terrigenous matter increased.,moderate,non-graded,mottled layer,moderate,2.0,scattered pumice,,,,,,,,,,,,,,352,U1440,A,4,H,1,A,,,
352-U1440A-4H-2-A,0.0,150.0,24.2,25.7,IC,,,,,mud,with diatoms,mud,mud with diatoms,mud with diatoms,,10YR 5/3 (brown),,unconsolidated,silt,2.0,silt,2.0,silicic biogenic and terrigenous matter increased.,moderate,non-graded,mottled layer,moderate,2.0,,,,,,,,,,,,,,,352,U1440,A,4,H,2,A,,,
352-U1440A-4H-3-A,0.0,6.0,25.7,25.76,IC,,,,,mud,with diatoms,mud,mud with diatoms,mud with diatoms,,2.5Y 5/2 (grayish brown),,unconsolidated,silt,2.0,silt,2.0,silicic biogenic and terrigenous matter increased.,moderate,non-graded,mottled layer,moderate,2.0,,,,,,,,,,,,,,,352,U1440,A,4,H,3,A,,,
352-U1440A-4H-3-A,6.0,9.0,25.76,25.79,IC,planar,sharp,sub-horizontal,,ash,,ash,ash,ash,,10YR 6/1 (gray),thin bed,unconsolidated,fine sand,4.0,fine sand,4.0,,well,normally graded,planar lamination,none,0.0,,,,,,,,,,,,,,,352,U1440,A,4,H,3,A,,,
352-U1440A-4H-3-A,9.0,74.0,25.79,26.44,IC,,,,,mud,with diatoms,mud,mud with diatoms,mud with diatoms,,2.5Y 5/2 (grayish brown),,unconsolidated,silt,2.0,silt,2.0,silicic biogenic and terrigenous matter increased.,moderate,non-graded,mottled layer,moderate,2.0,,,,,,,,,,,,,,,352,U1440,A,4,H,3,A,,,
