Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (simple),Lithology color (Munsell),Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Sorting,Grading,Sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],Lithological asseccories,Diagenetic structure,Macrofossil,Macrofossil abundance name,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,Clasts (>2 mm) 3ND ORDER,Lithic clasts (>2 mm) DOMINANT,DOMINANT lithic roundness,Lithic clasts (>2 mm) 2ND ORDER,2ND lithic roundness,Lithic clasts (>2 mm) 3RD ORDER,3RD lithic roundness,Vitric clasts (>2 mm) DOMINANT,DOMINANT vitric roundness,Vitric clasts (>2 mm) 2ND ORDER,2ND vitric roundness,Vitric clasts (>2 mm) 3RD ORDER,3RD vitric roundness,Crystals (>2 mm) DOMINANT,DOMINANT crystal roundness,Crystals (>2 mm) 2ND ORDER,2ND crystal roundness,Crystals (>2 mm) 3RD ORDER,3RD crystal roundness,Clast comments,"Matrix, fines (<2 mm) DOMINANT","Matrix, fines (<2 mm) 2ND ORDER","Matrix, fines (<2 mm) 3ND ORDER",Matrix sorting,Matrix comments,File Data,Shore File Links,Extra Sample ID Data
351-U1438A-3H-2-A,351,U1438,A,3,3-2,H,2,A,0,12,18.5,18.62,,,,,,mud [2014],,mud,mud,mud,,,10R 4/2 (weak red),unconsolidated [2014],silt [W22_1],2,silt [W22_1],2,,,wavy,horizontal,,poor [2014],,,none,0,,,,,,,,,,,,,,,,,,,,,,,,,,,crystal matrix [2014],vitric matrix [2014],,,,,,
351-U1438A-3H-2-A,351,U1438,A,3,3-2,H,2,A,12,32,18.62,18.82,,,,,,mud [2014],,mud,mud,mud,,,10R 4/2 (weak red),unconsolidated [2014],silt [W22_1],2,silt [W22_1],2,,,wavy,horizontal,,poor [2014],,,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,crystal matrix [2014],vitric matrix [2014],,,,,,
351-U1438A-3H-2-A,351,U1438,A,3,3-2,H,2,A,32,80,18.82,19.3,,,,,,mud [2014],,mud,mud,mud,,,10R 4/2 (weak red),unconsolidated [2014],silt [W22_1],2,silt [W22_1],2,,,gradational,horizontal,,poor [2014],,,none,0,,,,,,,,,,,,,,,,,,,,,,,,,,,crystal matrix [2014],vitric matrix [2014],,,,,,
351-U1438A-3H-2-A,351,U1438,A,3,3-2,H,2,A,80,123,19.3,19.73,,,,,,mud [2014],,mud,mud,mud,,,10YR 5/4 (yellowish brown),unconsolidated [2014],silt [W22_1],2,silt [W22_1],2,,,wavy,horizontal,,poor [2014],,,none,0,,,,,,,,,,,,,,,,,,,,,,,,,,,crystal matrix [2014],vitric matrix [2014],,,,,,
351-U1438A-3H-2-A,351,U1438,A,3,3-2,H,2,A,123,128,19.73,19.78,,,,,,mud [2014],,mud,mud,mud,,,10YR 5/4 (yellowish brown),unconsolidated [2014],silt [W22_1],2,silt [W22_1],2,,,wavy,horizontal,,poor [2014],,,none,0,,,,,,,,,,,,,,,,,,,,,,,,,,,crystal matrix [2014],vitric matrix [2014],,,,,,
351-U1438A-3H-2-A,351,U1438,A,3,3-2,H,2,A,128,150,19.78,20,,,,,,mud [2014],with ash [2014],mud,mud with ash,mud with ash,,,10YR 5/4 (yellowish brown),unconsolidated [2014],silt [W22_1],2,fine sand [W22_2],4,,,sharp,horizontal,,poor [2014],,,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,crystal matrix [2014],vitric matrix [2014],,,,,,
351-U1438A-3H-3-A,351,U1438,A,3,3-3,H,3,A,0,62,20,20.62,,,,,,mud [2014],with ash [2014],mud,mud with ash,mud with ash,,,10YR 5/4 (yellowish brown),unconsolidated [2014],silt [W22_1],2,fine sand [W22_2],4,,,gradational,horizontal,,poor [2014],,,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,crystal matrix [2014],vitric matrix [2014],,,,,,
351-U1438A-3H-3-A,351,U1438,A,3,3-3,H,3,A,58,60,20.58,20.6,,,,,,,,,,,,,brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438A-3H-3-A,351,U1438,A,3,3-3,H,3,A,62,135,20.62,21.35,,,,,,mud [2014],with ash [2014],mud,mud with ash,mud with ash,,,10YR 4/2 (dark grayish brown),unconsolidated [2014],silt [W22_1],2,fine sand [W22_2],4,,,gradational,horizontal,,poor [2014],,,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,crystal matrix [2014],vitric matrix [2014],,,,,,
351-U1438A-3H-3-A,351,U1438,A,3,3-3,H,3,A,135,150,21.35,21.5,,,,,,mud [2014],with ash [2014],mud,mud with ash,mud with ash,,,10YR 5/4 (yellowish brown),unconsolidated [2014],silt [W22_1],2,fine sand [W22_2],4,,,gradational,horizontal,,poor [2014],,,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,crystal matrix [2014],vitric matrix [2014],,,,,,
351-U1438A-3H-4-A,351,U1438,A,3,3-4,H,4,A,0,38,21.5,21.88,,,,,,mud [2014],with ash [2014],mud,mud with ash,mud with ash,,,10YR 5/4 (yellowish brown),unconsolidated [2014],silt [W22_1],2,fine sand [W22_2],4,,,gradational,horizontal,,poor [2014],,,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,crystal matrix [2014],vitric matrix [2014],,,,,,
351-U1438A-3H-4-A,351,U1438,A,3,3-4,H,4,A,23,25,21.73,21.75,,,,,,,,,,,,,brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438A-3H-4-A,351,U1438,A,3,3-4,H,4,A,26,27,21.76,21.77,,,,,,,,,,,,,brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438A-3H-4-A,351,U1438,A,3,3-4,H,4,A,32,35,21.82,21.85,,,,,,,,,,,,,brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438A-3H-4-A,351,U1438,A,3,3-4,H,4,A,38,132,21.88,22.82,,,,,,mud [2014],with ash [2014],mud,mud with ash,mud with ash,,,10YR 4/2 (dark grayish brown),unconsolidated [2014],silt [W22_1],2,fine sand [W22_2],4,,,gradational,horizontal,,poor [2014],,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,crystal matrix [2014],vitric matrix [2014],,,,,,
351-U1438A-3H-4-A,351,U1438,A,3,3-4,H,4,A,132,150,22.82,23,,,,,,mud [2014],with ash [2014],mud,mud with ash,mud with ash,,,10YR 5/4 (yellowish brown),unconsolidated [2014],silt [W22_1],2,fine sand [W22_2],4,,,gradational,horizontal,,poor [2014],,,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,crystal matrix [2014],vitric matrix [2014],,,,,,
351-U1438A-3H-5-A,351,U1438,A,3,3-5,H,5,A,0,55,23,23.55,,,,,,mud [2014],,mud,mud,mud,,,10YR 5/4 (yellowish brown),unconsolidated [2014],silt [W22_1],2,silt [W22_1],2,,,gradational,horizontal,,poor [2014],,,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,crystal matrix [2014],vitric matrix [2014],,,,,,
351-U1438A-3H-5-A,351,U1438,A,3,3-5,H,5,A,55,75,23.55,23.75,,,,,,mud [2014],,mud,mud,mud,,,10YR 4/2 (dark grayish brown),unconsolidated [2014],silt [W22_1],2,silt [W22_1],2,,,gradational,horizontal,,poor [2014],,,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,crystal matrix [2014],vitric matrix [2014],,,,,,
351-U1438A-3H-5-A,351,U1438,A,3,3-5,H,5,A,75,95,23.75,23.95,,,,,,mud [2014],,mud,mud,mud,,,10YR 5/4 (yellowish brown),unconsolidated [2014],silt [W22_1],2,silt [W22_1],2,,,gradational,horizontal,,poor [2014],,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,crystal matrix [2014],vitric matrix [2014],,,,,,
351-U1438A-3H-5-A,351,U1438,A,3,3-5,H,5,A,79,81,23.79,23.81,,,,,,mud [2014],,mud,mud,mud,,,10YR 2/2 (very dark brown),unconsolidated [2014],silt [W22_1],2,silt [W22_1],2,,,gradational,horizontal,,poor [2014],,,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,crystal matrix [2014],vitric matrix [2014],,,,,,
351-U1438A-3H-5-A,351,U1438,A,3,3-5,H,5,A,95,150,23.95,24.5,,,,,,mud [2014],,mud,mud,mud,,,10YR 4/2 (dark grayish brown),unconsolidated [2014],silt [W22_1],2,silt [W22_1],2,,,gradational,horizontal,,poor [2014],,,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,crystal matrix [2014],vitric matrix [2014],,,,,,
351-U1438A-3H-6-A,351,U1438,A,3,3-6,H,6,A,0,3,24.5,24.53,,,,,,mud [2014],,mud,mud,mud,,,5YR 5/2 (reddish gray),unconsolidated [2014],silt [W22_1],2,silt [W22_1],2,,planar,gradational,horizontal,,poor [2014],,,none,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438A-3H-6-A,351,U1438,A,3,3-6,H,6,A,3,20,24.53,24.7,,,,,,mud [2014],,mud,mud,mud,,,10YR 5/4 (yellowish brown),unconsolidated [2014],silt [W22_1],2,silt [W22_1],2,,planar,gradational,horizontal,,poor [2014],,,none,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438A-3H-6-A,351,U1438,A,3,3-6,H,6,A,20,53,24.7,25.03,,,,,,mud [2014],,mud,mud,mud,,,5Y 5/2 (olive gray),unconsolidated [2014],silt [W22_1],2,silt [W22_1],2,,planar,sharp,horizontal,,poor [2014],,,none,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438A-3H-6-A,351,U1438,A,3,3-6,H,6,A,53,55,25.03,25.05,,,,,,ash [2014],,ash,ash,ash,,,5Y 5/2 (olive gray),unconsolidated [2014],silt [W22_1],2,silt [W22_1],2,,planar,sharp,horizontal,,poor [2014],,,none,0,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],,,,,,,
351-U1438A-3H-6-A,351,U1438,A,3,3-6,H,6,A,55,72,25.05,25.22,,,,,,mud [2014],,mud,mud,mud,,,5Y 5/2 (olive gray),unconsolidated [2014],silt [W22_1],2,silt [W22_1],2,,planar,wavy,horizontal,,poor [2014],,,none,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438A-3H-6-A,351,U1438,A,3,3-6,H,6,A,72,102,25.22,25.52,,,,,,mud [2014],,mud,mud,mud,,,10YR 6/2 (light brownish gray),unconsolidated [2014],silt [W22_1],2,silt [W22_1],2,,planar,wavy,horizontal,,poor [2014],,,none,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438A-3H-6-A,351,U1438,A,3,3-6,H,6,A,102,105,25.52,25.55,,,,,,mud [2014],,mud,mud,mud,,,10YR 6/2 (light brownish gray),unconsolidated [2014],silt [W22_1],2,silt [W22_1],2,,planar,wavy,horizontal,,poor [2014],,,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438A-3H-6-A,351,U1438,A,3,3-6,H,6,A,105,111,25.55,25.61,,,,,,mud [2014],,mud,mud,mud,,,10YR 6/2 (light brownish gray),unconsolidated [2014],silt [W22_1],2,silt [W22_1],2,,planar,wavy,horizontal,,poor [2014],,,none,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438A-3H-6-A,351,U1438,A,3,3-6,H,6,A,111,144,25.61,25.94,,,,,,mud [2014],,mud,mud,mud,,,5Y 5/2 (olive gray),unconsolidated [2014],silt [W22_1],2,silt [W22_1],2,,planar,wavy,horizontal,,poor [2014],,,none,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438A-3H-7-A,351,U1438,A,3,3-7,H,7,A,0,8,25.94,26.02,,,,,,mud [2014],,mud,mud,mud,,,5Y 5/2 (olive gray),unconsolidated [2014],silt [W22_1],2,silt [W22_1],2,,,wavy,,,poor [2014],,,none,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438A-3H-7-A,351,U1438,A,3,3-7,H,7,A,8,20,26.02,26.14,,,,,,mud [2014],,mud,mud,mud,,,10YR 5/4 (yellowish brown),unconsolidated [2014],silt [W22_1],2,silt [W22_1],2,,,gradational,,,poor [2014],,,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438A-3H-7-A,351,U1438,A,3,3-7,H,7,A,20,60,26.14,26.54,,,,,,mud [2014],,mud,mud,mud,,,5YR 6/2 (pinkish gray),unconsolidated [2014],silt [W22_1],2,silt [W22_1],2,,,sharp,,,poor [2014],,,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
