Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Texture Rank [read only],MAJ Lith. prefix+name [read only],Lithification,Lithification rank [read only],MAJ Lith. color,MAJ Lith. ave. grain size ,Grain size rank [read only],Skeletal components MAJOR,Skeletal components MAJOR comment,Skeletal components INTERMEDIATE,Skeletal components INTERMEDIATE comment,Skeletal components MINOR,Skeletal components MINOR comment,Non-skeletal components,Non-skeletal components comment,Sedimentary structure,Diagenetic structure,Diagenetic structure comment,Layer or bedding thickness,Bioturbation intensity,Bioturbation intensity rank [read only],Bioturbation type,Bottom contact or boundary definition,Bottom contact or boundary attitude,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Suffix,Lithology Suffix,Minor Lithology Name,Extra Sample ID Data
359-U1467B-17H-3-A,9,82,141.49,142.22,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,2.5y 6/2 (light brownish gray),medium sand,5,foraminifera (planktic),,,,,,aggregate,cemented grains,,,,,complete,6,,gradational,horizontal,"Partially lithified planktic foraminifera-rich WACKESTONE. Very fine- to medium-grains, poorly-sorted. Larger grains are cemented grains.",,,,359,U1467,B,17,H,3,A,,,,,
359-U1467B-17H-3-A,82,150,142.22,142.9,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5y 6/2 (light brownish gray),very fine sand,3,foraminifera (planktic),,,,,,,,,,,,complete,6,,,,"Unlithified planktic foraminifera-rich WACKESTONE. Very fine- to fine-grains, well-sorted.",,,,359,U1467,B,17,H,3,A,,,,,
359-U1467B-17H-4-A,0,35,142.9,143.25,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,5y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,,,,,,,,,,,complete,6,,gradational,horizontal,Partially lithified planktic foraminifera-rich WACKESTONE.,,,,359,U1467,B,17,H,4,A,,,,,
359-U1467B-17H-4-A,35,50,143.25,143.4,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,5y 7/1 (light gray),very fine sand,3,foraminifera (planktic),,,,,,,,,,,,complete,6,,gradational,horizontal,Partially lithified to unlithified (transition) planktic foraminifera-rich WACKESTONE.,,,,359,U1467,B,17,H,4,A,,,,,
359-U1467B-17H-4-A,50,112,143.4,144.02,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,5y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,,,echinoderm,spines,,,,,,,complete,6,,gradational,horizontal,Unlithified planktic foraminifera-rich WACKESTONE.,,,,359,U1467,B,17,H,4,A,,,,,
359-U1467B-17H-4-A,112,130,144.02,144.2,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,5y 7/1 (light gray),very fine sand,3,foraminifera (planktic),,,,,,,,,,,,complete,6,,gradational,horizontal,Partially lithified planktic foraminifera-rich WACKESTONE.,,,,359,U1467,B,17,H,4,A,,,,,
359-U1467B-17H-4-A,130,140,144.2,144.3,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,5y 7/1 (light gray),very fine sand,3,foraminifera (planktic),,,,,,,,,,,,complete,6,,,,Unlithified planktic foraminifera-rich WACKESTONE.,,,,359,U1467,B,17,H,4,A,,,,,
359-U1467B-17H-5-A,0,8,144.4,144.48,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,5y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,,,,,,,,,,,complete,6,,,,Unlithified planktic foraminifera-rich WACKESTONE.,,,,359,U1467,B,17,H,5,A,,,,,
359-U1467B-17H-5-A,8,66,144.48,145.06,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,lithified,5,5y 7/1 (light gray),very fine sand,3,foraminifera (planktic),,,,,,,,,,,,complete,6,,gradational,horizontal,Lithified planktic foraminifera-rich WACKESTONE.,,,,359,U1467,B,17,H,5,A,,,,,
359-U1467B-17H-5-A,66,87,145.06,145.27,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,5y 7/1 (light gray),very fine sand,3,foraminifera (planktic),,,,echinoderm,spines,aggregate,indurated sediment,,,,,complete,6,,gradational,horizontal,Partially lithified planktic foraminifera-rich WACKESTONE.,,,,359,U1467,B,17,H,5,A,,,,,
359-U1467B-17H-5-A,87,150,145.27,145.9,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,5y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,,,,,,,,,,,complete,6,,,,Unlithified planktic foraminifera-rich WACKESTONE.,,,,359,U1467,B,17,H,5,A,,,,,
359-U1467B-17H-6-A,0,30,145.9,146.2,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,2.5y 6/2 (light brownish gray),medium sand,5,foraminifera (planktic),,,,,,aggregate,indurated sediment,,,,,complete,6,,gradational,horizontal,"Partially lithified planktic foraminifera-rich WACKESTONE. Very fine- to medium-grains, poorly-sorted. Larger grains are cemented grains.",,,,359,U1467,B,17,H,6,A,,,,,
359-U1467B-17H-6-A,30,68,146.2,146.58,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 6/2 (light brownish gray),very fine sand,3,foraminifera (planktic),,,,,,aggregate,indurated sediment,,,,,complete,6,,gradational,horizontal,"Unlithified planktic foraminifera-rich WACKESTONE. Very fine- to fine-grains, well-sorted. Slight indurations and mottling.",,,,359,U1467,B,17,H,6,A,,,,,
359-U1467B-17H-6-A,68,106,146.58,146.96,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,,,,,,,,,,,complete,6,,gradational,horizontal,"Unlithified planktic foraminifera-rich WACKESTONE. Very fine- to fine-grains, well-sorted. Mottling.",,,,359,U1467,B,17,H,6,A,,,,,
359-U1467B-17H-6-A,106,141,146.96,147.31,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,2.5y 7/2 (light gray),medium sand,5,foraminifera (planktic),,,,,,aggregate,indurated sediment,,,,,complete,6,,,,"Partially lithified planktic foraminifera-rich WACKESTONE. Very fine- to medium-grains, poorly-sorted. Larger grains are cemented grains.",,,,359,U1467,B,17,H,6,A,,,,,
359-U1467B-17H-CC-A,0,23,147.31,147.54,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,2.5y 7/2 (light gray),medium sand,5,foraminifera (planktic),,,,,,aggregate,indurated sediment,,,,,complete,6,,gradational,horizontal,"Partially lithified planktic foraminifera-rich WACKESTONE. Very fine- to medium-grains, poorly-sorted. Larger grains are cemented grains.",,,,359,U1467,B,17,H,CC,A,,,,,
359-U1467B-18H-1-A,0,27,147.9,148.17,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,,Aggregates,foraminifera (benthic),,,,,,,,complete,6,,,,"Partly lithified planktic foraminifera-rich WACKESTONE. Very fine-grained, Well-sorted. Planktic foraminifera (A) highly bioturbated,",,,,359,U1467,B,18,H,1,A,,,,,
359-U1467B-18H-1-A,27,150,148.17,149.4,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,,Aggregates,foraminifera (benthic),,,,,,,,complete,6,,gradational,horizontal,"Unlithified planktic foraminifera-rich WACKESTONE. Very fine-grained, Well-sorted. Planktic foraminifera (A), highly bioturbated,",,,,359,U1467,B,18,H,1,A,,,,,
359-U1467B-18H-2-A,0,150,149.4,150.9,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,2.5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,,Aggregates,foraminifera (benthic),,,,,,,,complete,6,,,,"Partly lithified planktic foraminifera-rich WACKESTONE. Very fine-grained, Well-sorted. Planktic foraminifera (A). Highly bioturbated,",,,,359,U1467,B,18,H,2,A,,,,,
359-U1467B-18H-3-A,0,51,150.9,151.41,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,,Aggregates,foraminifera (benthic),,,,,,,,complete,6,,,,"Unlithified planktic foraminifera-rich WACKESTONE. Very fine-grained, Well-sorted. Planktic foraminifera (A), highly bioturbated,",,,,359,U1467,B,18,H,3,A,,,,,
359-U1467B-18H-3-A,51,105,151.41,151.95,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,,Aggregates,foraminifera (benthic),,,,,,,,complete,6,,,,"Partly lithified planktic foraminifera-rich WACKESTONE. Very fine-grained, Well-sorted. Planktic foraminifera (A), highly bioturbated,",,,,359,U1467,B,18,H,3,A,,,,,
359-U1467B-18H-3-A,105,150,151.95,152.4,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,,Aggregates,foraminifera (benthic),,,,,,,,complete,6,,,,"Unlithified planktic foraminifera-rich WACKESTONE. Very fine-grained, Well-sorted. Planktic foraminifera (A), highly bioturbated,",,,,359,U1467,B,18,H,3,A,,,,,
359-U1467B-18H-4-A,0,69,152.4,153.09,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,,Aggregates,foraminifera (benthic),,,,,,,,complete,6,,,,"Unlithified planktic foraminifera-rich WACKESTONE. Very fine-grained, Well-sorted. Planktic foraminifera (A), highly bioturbated,",,,,359,U1467,B,18,H,4,A,,,,,
359-U1467B-18H-4-A,69,140,153.09,153.8,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,,Aggregates,foraminifera (benthic),,,,,,,,complete,6,,,,"Partly lithified planktic foraminifera-rich WACKESTONE. Very fine-grained, Well-sorted. Planktic foraminifera (A). Highly bioturbated,",,,,359,U1467,B,18,H,4,A,,,,,
359-U1467B-18H-5-A,0,82,153.9,154.72,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,,Aggregates,foraminifera (benthic),,,,,,,,complete,6,,,,"Unlithified planktic foraminifera-rich WACKESTONE. Very fine-grained, Well-sorted. Planktic foraminifera (A) Spines (R), highly bioturbated,",,,,359,U1467,B,18,H,5,A,,,,,
359-U1467B-18H-5-A,82,106,154.72,154.96,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,,Aggregates,foraminifera (benthic),,,,,,,,complete,6,,,,"Partly lithified planktic foraminifera-rich WACKESTONE. Very fine-grained, Well-sorted. Planktic foraminifera (A). Highly bioturbated,",,,,359,U1467,B,18,H,5,A,,,,,
359-U1467B-18H-5-A,106,150,154.96,155.4,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,,Aggregates,foraminifera (benthic),,,,,,,,complete,6,,,,"Unlithified planktic foraminifera-rich WACKESTONE. Very fine-grained, Well-sorted. Planktic foraminifera (A) Spines (R), highly bioturbated, indurated but NOT partly lithified",,,,359,U1467,B,18,H,5,A,,,,,
359-U1467B-18H-6-A,0,13,155.4,155.53,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,,,,,,,,,,,complete,6,,,,"Unlithified planktic foraminifera-rich WACKESTONE. Very fine-grained, Well-sorted. Planktic foraminifera (A). Highly bioturbated,",,,,359,U1467,B,18,H,6,A,,,,,
359-U1467B-18H-6-A,13,62,155.53,156.02,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,,,,,,,,,,,complete,6,,,,"Partly lithified planktic foraminifera-rich WACKESTONE. Very fine-grained, Well-sorted. Planktic foraminifera (A). Highly bioturbated,",,,,359,U1467,B,18,H,6,A,,,,,
359-U1467B-18H-6-A,62,101,156.02,156.41,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,,,,,,,,,,,complete,6,,,,"Unlithified planktic foraminifera-rich WACKESTONE. Very fine-grained, Well-sorted. Planktic foraminifera (A). Highly bioturbated,",,,,359,U1467,B,18,H,6,A,,,,,
359-U1467B-18H-7-A,0,54,156.41,156.95,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,,,,,,,,,,,complete,6,,,,"Unlithified planktic foraminifera-rich WACKESTONE. Very fine-grained, Well-sorted. Planktic foraminifera (A). Highly bioturbated,",,,,359,U1467,B,18,H,7,A,,,,,
359-U1467B-18H-CC-A,0,21,156.95,157.16,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,,,,,,,,,,,complete,6,,,,"Unlithified planktic foraminifera-rich WACKESTONE. Very fine-grained, Well-sorted. Planktic foraminifera (A). Highly bioturbated,",,,,359,U1467,B,18,H,CC,A,,,,,
359-U1467B-19H-1-A,0,18,157.4,157.58,,rudstone,6,rudstone,,,,,,,,,,,,,,,,,,,,,,,Cave-in,,,,359,U1467,B,19,H,1,A,,,,,
359-U1467B-19H-1-A,18,150,157.58,158.9,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,,Aggregates,echinoderm,spine,,,,,,,complete,6,,gradational,horizontal,"Partly lithified planktic foraminifera-rich WACKESTONE. Very fine-grained, Well-sorted. Planktic foraminifera (A), Aggregates (F), Echinoderm spines (P). Highly bioturbated,",,,,359,U1467,B,19,H,1,A,,,,,
359-U1467B-19H-2-A,0,150,158.9,160.4,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,2.5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,,Aggregates,echinoderm,spine,,,,,,,complete,6,,,,"Partly lithified planktic foraminifera-rich WACKESTONE. Very fine-grained, Well-sorted. Planktic foraminifera (A), Aggregates (F),",,,,359,U1467,B,19,H,2,A,,,,,
359-U1467B-19H-3-A,0,54,160.4,160.94,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,,Aggregates,echinoderm,spine,,,,,,,complete,6,,,,"Unlithified planktic foraminifera-rich WACKESTONE. Very fine-grained, Well-sorted. Planktic foraminifera (A), Aggregates (A). Highly bioturbated.",,,,359,U1467,B,19,H,3,A,,,,,
359-U1467B-19H-3-A,54,103,160.94,161.43,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,2.5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,,Aggregates,echinoderm,spine,,,,,,,complete,6,,,,"Partly lithified planktic foraminifera-rich WACKESTONE. Very fine-grained, Well-sorted. Planktic foraminifera (A), Aggregates (F),",,,,359,U1467,B,19,H,3,A,,,,,
359-U1467B-19H-3-A,103,118,161.43,161.58,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,,Aggregates,echinoderm,spine,,,,,,,complete,6,,,,"Unlithified planktic foraminifera-rich WACKESTONE. Very fine-grained, Well-sorted. Planktic foraminifera (A), Aggregates (A). Highly bioturbated. Mottling",,,,359,U1467,B,19,H,3,A,,,,,
359-U1467B-19H-3-A,118,150,161.58,161.9,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,2.5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,,Aggregates,echinoderm,spine,,,,,,,complete,6,,,,"Partly lithified planktic foraminifera-rich WACKESTONE. Very fine-grained, Well-sorted. Planktic foraminifera (A), Aggregates (F),",,,,359,U1467,B,19,H,3,A,,,,,
359-U1467B-19H-4-A,0,42,161.9,162.32,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,,Aggregates,echinoderm,spine,,,,,,,complete,6,,,,"Unlithified planktic foraminifera-rich WACKESTONE. Very fine-grained, Well-sorted. Planktic foraminifera (A), Aggregates (A). Highly bioturbated. Mottling",,,,359,U1467,B,19,H,4,A,,,,,
359-U1467B-19H-4-A,42,140,162.32,163.3,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,2.5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,,Aggregates,echinoderm,spine,,,,,,,complete,6,,gradational,horizontal,"Partly lithified planktic foraminifera-rich WACKESTONE. Very fine-grained, Well-sorted. Planktic foraminifera (A), Aggregates (F),",,,,359,U1467,B,19,H,4,A,,,,,
359-U1467B-19H-5-A,0,69,163.4,164.09,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,,,,,,,,,,,complete,6,,,,"Unlithified planktic foraminifera-rich WACKESTONE. Very fine-grained, Well-sorted. Planktic foraminifera (A), highly bioturbated.",,,,359,U1467,B,19,H,5,A,,,,,
359-U1467B-19H-5-A,69,122,164.09,164.62,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,,Aggregates,,,,,,,,,complete,6,,,,"Partly lithified planktic foraminifera-rich WACKESTONE. Very fine-grained, Well-sorted. Planktic foraminifera (A), Aggregates (F),",,,,359,U1467,B,19,H,5,A,,,,,
359-U1467B-19H-5-A,122,150,164.62,164.9,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,,,,,,,,,,,complete,6,,,,"Unlithified planktic foraminifera-rich WACKESTONE. Very fine-grained, Well-sorted. Planktic foraminifera (A), highly bioturbated.",,,,359,U1467,B,19,H,5,A,,,,,
359-U1467B-19H-6-A,0,73,164.9,165.63,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,,,,,,,,,,,complete,6,,,,"Partly lithified planktic foraminifera-rich WACKESTONE. Very fine-grained, Well-sorted. Planktic foraminifera (A),",,,,359,U1467,B,19,H,6,A,,,,,
359-U1467B-19H-6-A,73,111,165.63,166.01,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,,,,,,,,,,,complete,6,,,,"Unlithified planktic foraminifera-rich WACKESTONE. Very fine-grained, Well-sorted. Planktic foraminifera (A), highly bioturbated. Indurated clasts up to 2mm",,,,359,U1467,B,19,H,6,A,,,,,
359-U1467B-19H-7-A,0,31,166.01,166.32,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,,,,,,,,,,,complete,6,,,,"Partly lithified planktic foraminifera-rich WACKESTONE. Very fine-grained, Well-sorted. Planktic foraminifera (A),",,,,359,U1467,B,19,H,7,A,,,,,
359-U1467B-19H-7-A,31,66,166.32,166.67,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,,,,,,,,,,,complete,6,,,,"Unlithified planktic foraminifera-rich WACKESTONE. Very fine-grained, Well-sorted. Planktic foraminifera (A), highly bioturbated. Indurated clasts up to 2mm",,,,359,U1467,B,19,H,7,A,,,,,
359-U1467B-19H-CC-A,0,20,166.67,166.87,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,,,,,,,,,,,complete,6,,gradational,horizontal,"Unlithified planktic foraminifera-rich WACKESTONE. Very fine-grained, Well-sorted. Planktic foraminifera (A), highly bioturbated. Indurated clasts up to 2mm",,,,359,U1467,B,19,H,CC,A,,,,,
359-U1467B-20H-1-A,0,100,166.9,167.9,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,2.5Y 6/2 (light brownish gray),very fine sand,3,foraminifera (planktic),,,,,,,,,,,,complete,6,,gradational,horizontal,"Partly lithified planktic foraminifera-rich WACKESTONE. Very fine-grained, Well-sorted. Planktic foraminifera (A),",,,,359,U1467,B,20,H,1,A,,,,,
359-U1467B-20H-1-A,100,150,167.9,168.4,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 6/2 (light brownish gray),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,,,,,,,,,complete,6,,,,"Unlithified planktic foraminifera-rich WACKESTONE. Very fine-grained, Well-sorted. Planktic foraminifera (A), Benthic (R), highly bioturbated. Indurated clasts up to 2mm",,,,359,U1467,B,20,H,1,A,,,,,
359-U1467B-20H-2-A,0,57,168.4,168.97,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,,Aggregates,,,,,,,,,complete,6,,gradational,horizontal,"Unlithified planktic foraminifera-rich WACKESTONE. Very fine-grained, Well-sorted. Planktic foraminifera (A), Aggregates (A). Highly bioturbated.",,,,359,U1467,B,20,H,2,A,,,,,
359-U1467B-20H-2-A,57,102,168.97,169.42,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,2.5Y 6/2 (light brownish gray),very fine sand,3,foraminifera (planktic),,,,,,,,,,,,complete,6,,gradational,horizontal,"Partly lithified planktic foraminifera-rich WACKESTONE. Very fine-grained, Well-sorted. Planktic foraminifera (A),",,,,359,U1467,B,20,H,2,A,,,,,
359-U1467B-20H-2-A,102,150,169.42,169.9,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,,Aggregates,,,,,,,,,complete,6,,,,"Unlithified planktic foraminifera-rich WACKESTONE. Very fine-grained, Well-sorted. Planktic foraminifera (A), Aggregates (A). Highly bioturbated.",,,,359,U1467,B,20,H,2,A,,,,,
359-U1467B-20H-3-A,0,50,169.9,170.4,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,,Aggregates,,,,,,,,,complete,6,,gradational,horizontal,"Unlithified planktic foraminifera-rich WACKESTONE. Very fine-grained, Well-sorted. Planktic foraminifera (A), Aggregates (A). Highly bioturbated.",,,,359,U1467,B,20,H,3,A,,,,,
359-U1467B-20H-3-A,50,66,170.4,170.56,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,lithified,5,2.5Y 6/2 (light brownish gray),very fine sand,3,foraminifera (planktic),,,Aggregates,,,,,,,,,complete,6,,,,"Lithified planktic foraminifera-rich WACKESTONE. Very fine-grained, Well-sorted. Planktic foraminifera (A), Aggregates (A). Highly bioturbated.",,,,359,U1467,B,20,H,3,A,,,,,
359-U1467B-20H-3-A,66,84,170.56,170.74,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,2.5Y 6/2 (light brownish gray),very fine sand,3,foraminifera (planktic),,,,,,,,,,,,complete,6,,gradational,horizontal,"Partly lithified planktic foraminifera-rich WACKESTONE. Very fine-grained, Well-sorted. Planktic foraminifera (A),",,,,359,U1467,B,20,H,3,A,,,,,
359-U1467B-20H-3-A,84,150,170.74,171.4,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,,,,,,,,,,,complete,6,,gradational,horizontal,"Unlithified planktic foraminifera-rich WACKESTONE. Very fine-grained, Well-sorted. Planktic foraminifera (A), Aggregates (A). Highly bioturbated.",,,,359,U1467,B,20,H,3,A,,,,,
359-U1467B-20H-4-A,0,83,171.4,172.23,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,,,,,,,,,,,complete,6,,,,"Partly lithified planktic foraminifera-rich WACKESTONE. Very fine-grained, Well-sorted. Planktic foraminifera (A),",,,,359,U1467,B,20,H,4,A,,,,,
359-U1467B-20H-4-A,83,140,172.23,172.8,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,,,,,,,,,,,complete,6,,,,"Unlithified planktic foraminifera-rich WACKESTONE. Very fine-grained, Well-sorted. Planktic foraminifera (A), Aggregates (A). Highly bioturbated.",,,,359,U1467,B,20,H,4,A,,,,,
359-U1467B-20H-5-A,0,60,172.9,173.5,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,,,,,,,,,,,complete,6,,,,"Unlithified planktic foraminifera-rich WACKESTONE. Very fine-grained, Well-sorted. Planktic foraminifera (A), Aggregates (A). Highly bioturbated.",,,,359,U1467,B,20,H,5,A,,,,,
359-U1467B-20H-5-A,60,100,173.5,173.9,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,,,,,,,,,,,complete,6,,,,"Partly lithified planktic foraminifera-rich WACKESTONE. Very fine-grained, Well-sorted. Planktic foraminifera (A),",,,,359,U1467,B,20,H,5,A,,,,,
359-U1467B-20H-5-A,100,110,173.9,174.0,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,,,,,,,,,,,complete,6,,,,"Unlithified planktic foraminifera-rich WACKESTONE. Very fine-grained, Well-sorted. Planktic foraminifera (A), Aggregates (A). Highly bioturbated.",,,,359,U1467,B,20,H,5,A,,,,,
359-U1467B-20H-5-A,110,150,174.0,174.4,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,,,,,,,,,,,complete,6,,,,"Partly lithified planktic foraminifera-rich WACKESTONE. Very fine-grained, Well-sorted. Planktic foraminifera (A),",,,,359,U1467,B,20,H,5,A,,,,,
359-U1467B-20H-6-A,0,19,174.4,174.59,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,,,,,,,,,,,complete,6,,,,"Partly lithified planktic foraminifera-rich WACKESTONE. Very fine-grained, Well-sorted. Planktic foraminifera (A),",,,,359,U1467,B,20,H,6,A,,,,,
