Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Principal Name,Lithology classification,Lithology Prefix,Lithology Suffix,Lithology name,Lithology [%],Lithification [name],Color,Lithology comments,File Data,Unnamed: 23,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
320-U1334C-6H-2-A,320,U1334,C,6,6-2,H,2,A,0,150,49.0,50.5,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,70,soft,10YR 8/2,,,,,,
320-U1334C-6H-3-A,320,U1334,C,6,6-3,H,3,A,0,150,50.5,52.0,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey nannofossil,with radiolarians,Clayey nannofossil ooze with radiolarians,30,soft,10YR 6/3,,,,,,
320-U1334C-6H-3-A,320,U1334,C,6,6-3,H,3,A,0,150,50.5,52.0,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,70,soft,10YR 8/2,,,,,,
320-U1334C-6H-4-A,320,U1334,C,6,6-4,H,4,A,0,150,52.0,53.5,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey nannofossil,with radiolarians,Clayey nannofossil ooze with radiolarians,30,soft,10YR 6/3,,,,,,
320-U1334C-6H-4-A,320,U1334,C,6,6-4,H,4,A,0,150,52.0,53.5,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,70,soft,10YR 8/2,,,,,,
320-U1334C-6H-5-A,320,U1334,C,6,6-5,H,5,A,0,150,53.5,55.0,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey nannofossil,with radiolarians,Clayey nannofossil ooze with radiolarians,30,soft,10YR 6/3,,,,,,
320-U1334C-6H-5-A,320,U1334,C,6,6-5,H,5,A,0,150,53.5,55.0,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,70,soft,10YR 8/2,,,,,,
320-U1334C-6H-6-A,320,U1334,C,6,6-6,H,6,A,0,150,55.0,56.5,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey nannofossil,with radiolarians,Clayey nannofossil ooze with radiolarians,30,soft,10YR 6/3,,,,,,
320-U1334C-6H-6-A,320,U1334,C,6,6-6,H,6,A,0,150,55.0,56.5,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,70,soft,10YR 8/2,,,,,,
320-U1334C-6H-7-A,320,U1334,C,6,6-7,H,7,A,0,60,56.5,57.1,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey nannofossil,with radiolarians,Clayey nannofossil ooze with radiolarians,30,soft,10YR 6/3,,,,,,
320-U1334C-6H-7-A,320,U1334,C,6,6-7,H,7,A,0,60,56.5,57.1,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,70,soft,10YR 8/2,,,,,,
320-U1334C-6H-CC-A,320,U1334,C,6,6-CC,H,CC,A,0,17,57.1,57.27,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey nannofossil,with radiolarians,Clayey nannofossil ooze with radiolarians,30,soft,10YR 6/3,,,,,,
320-U1334C-6H-CC-A,320,U1334,C,6,6-CC,H,CC,A,0,17,57.1,57.27,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,70,soft,10YR 8/2,,,,,,
320-U1334C-7H-1-A,320,U1334,C,7,7-1,H,1,A,0,150,57.0,58.5,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey nannofossil,with radiolarians,Clayey nannofossil ooze with radiolarians,100,soft,10YR 5/3,,,,,,
320-U1334C-7H-2-A,320,U1334,C,7,7-2,H,2,A,0,61,58.5,59.11,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey nannofossil,with radiolarians,Clayey nannofossil ooze with radiolarians,100,soft,10YR 5/3,,,,,,
320-U1334C-7H-2-A,320,U1334,C,7,7-2,H,2,A,61,150,59.11,60.0,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,30,soft,10YR 8/3,,,,,,
320-U1334C-7H-2-A,320,U1334,C,7,7-2,H,2,A,61,150,59.11,60.0,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,70,soft,10YR 8/1,Black streaks are common in very pale brown nannofossil ooze,,,,,
320-U1334C-7H-3-A,320,U1334,C,7,7-3,H,3,A,0,150,60.0,61.5,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,30,soft,10YR 8/3,,,,,,
320-U1334C-7H-3-A,320,U1334,C,7,7-3,H,3,A,0,150,60.0,61.5,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,70,soft,10YR 8/1,Black streaks are common in very pale brown nannofossil ooze,,,,,
320-U1334C-7H-4-A,320,U1334,C,7,7-4,H,4,A,0,150,61.5,63.0,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,30,soft,10YR 8/3,,,,,,
320-U1334C-7H-4-A,320,U1334,C,7,7-4,H,4,A,0,150,61.5,63.0,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,70,soft,10YR 8/1,Black streaks are common in very pale brown nannofossil ooze,,,,,
320-U1334C-7H-5-A,320,U1334,C,7,7-5,H,5,A,0,150,63.0,64.5,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,30,soft,10YR 8/3,,,,,,
320-U1334C-7H-5-A,320,U1334,C,7,7-5,H,5,A,0,150,63.0,64.5,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,70,soft,10YR 8/1,Black streaks are common in very pale brown nannofossil ooze,,,,,
