Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology prefix,Lithology principal name,Lithology suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (simple),Lithology color (Munsell),Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Grading,TEPHRA type,Amount of ash in lithology,Amount of ash in lithology rank [read only],Sedimentary structure,Sedimentary structure comment,Diagenetic structure,Macrofossil,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
353-U1447C-13H-2-A,0,147,105.33,106.8,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,C,13,H,2,A,
353-U1447C-13H-3-A,0,149,106.8,108.29,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,C,13,H,3,A,
353-U1447C-13H-4-A,0,154,108.29,109.83,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,C,13,H,4,A,
353-U1447C-13H-5-A,0,149,109.83,111.32,,nannofossil rich,clay,,nannofossil rich clay,nannofossil rich clay,clay,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,C,13,H,5,A,
353-U1447C-13H-6-A,0,147,111.32,112.79,,nannofossil rich,clay,,nannofossil rich clay,nannofossil rich clay,clay,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,C,13,H,6,A,
353-U1447C-13H-7-A,0,110,112.79,113.89,,nannofossil rich,clay,,nannofossil rich clay,nannofossil rich clay,clay,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,C,13,H,7,A,
353-U1447C-13H-CC-A,0,26,113.89,114.15,,nannofossil rich,clay,,nannofossil rich clay,nannofossil rich clay,clay,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,C,13,H,CC,A,
353-U1447C-14H-1-A,0,150,113.4,114.9,,nannofossil rich,clay,,nannofossil rich clay,nannofossil rich clay,clay,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,C,14,H,1,A,
353-U1447C-14H-2-A,0,102,114.9,115.92,,nannofossil rich,clay,,nannofossil rich clay,nannofossil rich clay,clay,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,C,14,H,2,A,
353-U1447C-14H-3-A,0,75,115.92,116.67,,nannofossil rich,clay,,nannofossil rich clay,nannofossil rich clay,clay,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,C,14,H,3,A,
353-U1447C-14H-4-A,0,132,116.67,117.99,,nannofossil rich,clay,,nannofossil rich clay,nannofossil rich clay,clay,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,C,14,H,4,A,
353-U1447C-14H-5-A,0,118,117.99,119.17,,nannofossil rich,clay,,nannofossil rich clay,nannofossil rich clay,clay,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,C,14,H,5,A,
353-U1447C-14H-6-A,0,90,119.17,120.07,,nannofossil rich,clay,,nannofossil rich clay,nannofossil rich clay,clay,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,C,14,H,6,A,
353-U1447C-14H-7-A,0,150,120.07,121.57,,nannofossil rich,clay,,nannofossil rich clay,nannofossil rich clay,clay,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,C,14,H,7,A,
353-U1447C-14H-8-A,0,90,121.57,122.47,,nannofossil rich,clay,,nannofossil rich clay,nannofossil rich clay,clay,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,C,14,H,8,A,
353-U1447C-14H-CC-A,0,74,122.47,123.21,,nannofossil rich,clay,,nannofossil rich clay,nannofossil rich clay,clay,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,C,14,H,CC,A,
353-U1447C-15H-1-A,0,142,122.9,124.32,,nannofossil rich,clay,,nannofossil rich clay,nannofossil rich clay,clay,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,C,15,H,1,A,
353-U1447C-15H-2-A,0,142,124.32,125.74,,nannofossil rich,clay,,nannofossil rich clay,nannofossil rich clay,clay,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,C,15,H,2,A,
353-U1447C-15H-3-A,0,146,125.74,127.2,,nannofossil rich,clay,,nannofossil rich clay,nannofossil rich clay,clay,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,C,15,H,3,A,
353-U1447C-15H-4-A,0,149,127.2,128.69,,nannofossil rich,clay,,nannofossil rich clay,nannofossil rich clay,clay,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,C,15,H,4,A,
353-U1447C-15H-5-A,0,149,128.69,130.18,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,C,15,H,5,A,
353-U1447C-15H-6-A,0,150,130.18,131.68,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,C,15,H,6,A,
353-U1447C-15H-7-A,0,147,131.68,133.15,,nannofossil rich,clay,,nannofossil rich clay,nannofossil rich clay,clay,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,Black pyrite blebs from 100-133 cm,,,,353,U1447,C,15,H,7,A,
353-U1447C-15H-CC-A,0,30,133.15,133.45,,nannofossil rich,clay,,nannofossil rich clay,nannofossil rich clay,clay,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,C,15,H,CC,A,
353-U1447C-16H-1-A,0,93,132.4,133.33,,nannofossil rich,clay,,nannofossil rich clay,nannofossil rich clay,clay,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,C,16,H,1,A,
353-U1447C-16H-2-A,0,84,133.33,134.17,,nannofossil rich,clay,,nannofossil rich clay,nannofossil rich clay,clay,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,Core is highly severely due to drilling,,,,353,U1447,C,16,H,2,A,
353-U1447C-16H-3-A,0,149,134.17,135.66,,nannofossil rich,clay,,nannofossil rich clay,nannofossil rich clay,clay,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,Core is highly severely due to drilling,,,,353,U1447,C,16,H,3,A,
353-U1447C-16H-4-A,0,139,135.66,137.05,,nannofossil rich,clay,,nannofossil rich clay,nannofossil rich clay,clay,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,Core is highly severely due to drilling,,,,353,U1447,C,16,H,4,A,
353-U1447C-16H-5-A,0,50,137.05,137.55,,nannofossil rich,clay,,nannofossil rich clay,nannofossil rich clay,clay,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,Core is highly severely due to drilling,,,,353,U1447,C,16,H,5,A,
353-U1447C-17H-1-A,0,121,141.9,143.11,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,Light gray sandy blebs between 11 and 19 cm.,,,,353,U1447,C,17,H,1,A,
353-U1447C-17H-2-A,0,54,143.11,143.65,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,light gray,GLEY 1 5/10Y (greenish gray),bioturbated,,,,,,,,mottling,,,,,,,,353,U1447,C,17,H,2,A,
353-U1447C-17H-2-A,54,56,143.65,143.67,,foraminifer rich,sand,,foraminifer rich sand,foraminifer rich sand,sand,,light gray,2.5Y 7/2 (light gray),erosive,,,very thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1447,C,17,H,2,A,
353-U1447C-17H-2-A,56,59,143.67,143.7,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,light gray,GLEY 1 5/10Y (greenish gray),bioturbated,,,,,,,,mottling,,,,,,,,353,U1447,C,17,H,2,A,
353-U1447C-17H-2-A,59,63,143.7,143.74,,foraminifer rich,sand,,foraminifer rich sand,foraminifer rich sand,sand,,light gray,2.5Y 7/2 (light gray),erosive,,,thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1447,C,17,H,2,A,
353-U1447C-17H-2-A,63,119,143.74,144.3,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,C,17,H,2,A,
353-U1447C-17H-3-A,0,67,144.3,144.97,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,light gray,GLEY 1 5/10Y (greenish gray),bioturbated,,,,,,,,mottling,,,,,,,,353,U1447,C,17,H,3,A,
353-U1447C-17H-3-A,67,68.5,144.97,144.985,,foraminifer rich,sand,,foraminifer rich sand,foraminifer rich sand,sand,,light gray,2.5Y 7/2 (light gray),erosive,,,very thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1447,C,17,H,3,A,
353-U1447C-17H-3-A,68.5,90,144.985,145.2,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,light gray,GLEY 1 5/10Y (greenish gray),bioturbated,,,,,,,,mottling,,,,,,,,353,U1447,C,17,H,3,A,
353-U1447C-17H-3-A,90,92.5,145.2,145.225,,foraminifer rich,sand,,foraminifer rich sand,foraminifer rich sand,sand,,light gray,2.5Y 7/2 (light gray),erosive,,,very thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1447,C,17,H,3,A,
353-U1447C-17H-3-A,92.5,129,145.225,145.59,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,light gray,GLEY 1 5/10Y (greenish gray),bioturbated,,,,,,,,mottling,,,,,,,,353,U1447,C,17,H,3,A,
353-U1447C-17H-3-A,129,141,145.59,145.71,,foraminifer rich,sand,,foraminifer rich sand,foraminifer rich sand,sand,,light gray,2.5Y 7/2 (light gray),erosive,,,medium bed,normally graded,,,,,Turbidite,,,,,,,353,U1447,C,17,H,3,A,
353-U1447C-17H-3-A,141,144,145.71,145.74,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,C,17,H,3,A,
353-U1447C-17H-4-A,0,64,145.74,146.38,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,light gray,GLEY 1 5/10Y (greenish gray),bioturbated,,,,,,,,mottling,,,,,,,,353,U1447,C,17,H,4,A,
353-U1447C-17H-4-A,64,68,146.38,146.42,,foraminifer rich,sand,,foraminifer rich sand,foraminifer rich sand,sand,,light gray,2.5Y 7/2 (light gray),erosive,,,thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1447,C,17,H,4,A,
353-U1447C-17H-4-A,68,115.5,146.42,146.895,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,light gray,GLEY 1 5/10Y (greenish gray),bioturbated,,,,,,,,mottling,,,,,,,,353,U1447,C,17,H,4,A,
353-U1447C-17H-4-A,115.5,116.5,146.895,146.905,,foraminifer rich,sand,,foraminifer rich sand,foraminifer rich sand,sand,,light gray,2.5Y 7/2 (light gray),erosive,,,very thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1447,C,17,H,4,A,
353-U1447C-17H-4-A,116.5,149,146.905,147.23,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,C,17,H,4,A,
353-U1447C-17H-5-A,0,20,147.23,147.43,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,light gray,GLEY 1 5/10Y (greenish gray),bioturbated,,,,,,,,mottling,,,,,,,,353,U1447,C,17,H,5,A,
353-U1447C-17H-5-A,20,29,147.43,147.52,,foraminifer rich,sand,,foraminifer rich sand,foraminifer rich sand,sand,,light gray,2.5Y 7/2 (light gray),erosive,,,thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1447,C,17,H,5,A,
353-U1447C-17H-5-A,29,42,147.52,147.65,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,light gray,GLEY 1 5/10Y (greenish gray),bioturbated,,,,,,,,mottling,,,,,,,,353,U1447,C,17,H,5,A,
353-U1447C-17H-5-A,42,48,147.65,147.71,,foraminifer rich,sand,with biosilica,foraminifer rich sand,foraminifer rich sand with biosilica,sand with biosilica,,light gray,2.5Y 7/2 (light gray),erosive,,,thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1447,C,17,H,5,A,
353-U1447C-17H-5-A,48,50,147.71,147.73,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,light gray,GLEY 1 5/10Y (greenish gray),bioturbated,,,,,,,,mottling,,,,,,,,353,U1447,C,17,H,5,A,
353-U1447C-17H-5-A,50,51,147.73,147.74,,foraminifer rich,sand,,foraminifer rich sand,foraminifer rich sand,sand,,light gray,2.5Y 7/2 (light gray),erosive,,,very thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1447,C,17,H,5,A,
353-U1447C-17H-5-A,51,60,147.74,147.83,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,light gray,GLEY 1 5/10Y (greenish gray),bioturbated,,,,,,,,mottling,,,,,,,,353,U1447,C,17,H,5,A,
353-U1447C-17H-5-A,60,62,147.83,147.85,,foraminifer rich,sand,,foraminifer rich sand,foraminifer rich sand,sand,,light gray,2.5Y 7/2 (light gray),erosive,,,very thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1447,C,17,H,5,A,
353-U1447C-17H-5-A,62,100.5,147.85,148.235,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,light gray,GLEY 1 5/10Y (greenish gray),bioturbated,,,,,,,,mottling,,,,,,,,353,U1447,C,17,H,5,A,
353-U1447C-17H-5-A,100.5,102.5,148.235,148.255,,foraminifer rich,sand,,foraminifer rich sand,foraminifer rich sand,sand,,light gray,2.5Y 7/2 (light gray),erosive,,,very thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1447,C,17,H,5,A,
353-U1447C-17H-5-A,102.5,118,148.255,148.41,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,light gray,GLEY 1 5/10Y (greenish gray),bioturbated,,,,,,,,mottling,,,,,,,,353,U1447,C,17,H,5,A,
353-U1447C-17H-5-A,118,120,148.41,148.43,,foraminifer rich,sand,,foraminifer rich sand,foraminifer rich sand,sand,,light gray,2.5Y 7/2 (light gray),erosive,,,very thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1447,C,17,H,5,A,
353-U1447C-17H-5-A,120,149,148.43,148.72,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,C,17,H,5,A,
353-U1447C-17H-6-A,0,22.5,148.72,148.945,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,light gray,GLEY 1 5/10Y (greenish gray),bioturbated,,,,,,,,mottling,,,,,,,,353,U1447,C,17,H,6,A,
353-U1447C-17H-6-A,22.5,24,148.945,148.96,,foraminifer rich,sand,,foraminifer rich sand,foraminifer rich sand,sand,,light gray,2.5Y 7/2 (light gray),erosive,,,very thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1447,C,17,H,6,A,
353-U1447C-17H-6-A,24,47.5,148.96,149.195,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,light gray,GLEY 1 5/10Y (greenish gray),bioturbated,,,,,,,,mottling,,,,,,,,353,U1447,C,17,H,6,A,
353-U1447C-17H-6-A,47.5,49,149.195,149.21,,foraminifer rich,sand,,foraminifer rich sand,foraminifer rich sand,sand,,light gray,2.5Y 7/2 (light gray),erosive,,,very thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1447,C,17,H,6,A,
353-U1447C-17H-6-A,49,68,149.21,149.4,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,light gray,GLEY 1 5/10Y (greenish gray),bioturbated,,,,,,,,mottling,,,,,,,,353,U1447,C,17,H,6,A,
353-U1447C-17H-6-A,68,70.5,149.4,149.425,,foraminifer rich,sand,,foraminifer rich sand,foraminifer rich sand,sand,,light gray,2.5Y 7/2 (light gray),erosive,,,very thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1447,C,17,H,6,A,
353-U1447C-17H-6-A,70.5,88,149.425,149.6,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,light gray,GLEY 1 5/10Y (greenish gray),bioturbated,,,,,,,,mottling,,,,,,,,353,U1447,C,17,H,6,A,
353-U1447C-17H-6-A,88,89,149.6,149.61,,foraminifer rich,sand,,foraminifer rich sand,foraminifer rich sand,sand,,light gray,2.5Y 7/2 (light gray),erosive,,,very thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1447,C,17,H,6,A,
353-U1447C-17H-6-A,89,96,149.61,149.68,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,light gray,GLEY 1 5/10Y (greenish gray),bioturbated,,,,,,,,mottling,,,,,,,,353,U1447,C,17,H,6,A,
353-U1447C-17H-6-A,96,97,149.68,149.69,,foraminifer rich,sand,,foraminifer rich sand,foraminifer rich sand,sand,,light gray,2.5Y 7/2 (light gray),erosive,,,very thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1447,C,17,H,6,A,
353-U1447C-17H-6-A,97,115,149.69,149.87,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,light gray,GLEY 1 5/10Y (greenish gray),bioturbated,,,,,,,,mottling,,,,,,,,353,U1447,C,17,H,6,A,
353-U1447C-17H-6-A,115,118,149.87,149.9,,foraminifer rich,sand,,foraminifer rich sand,foraminifer rich sand,sand,,light gray,2.5Y 7/2 (light gray),erosive,,,thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1447,C,17,H,6,A,
353-U1447C-17H-6-A,118,146,149.9,150.18,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,C,17,H,6,A,
353-U1447C-17H-7-A,0,55.5,150.18,150.735,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,light gray,GLEY 1 5/10Y (greenish gray),bioturbated,,,,,,,,mottling,,,,,,,,353,U1447,C,17,H,7,A,
353-U1447C-17H-7-A,55.5,57,150.735,150.75,,foraminifer rich,sand,,foraminifer rich sand,foraminifer rich sand,sand,,light gray,2.5Y 7/2 (light gray),erosive,,,very thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1447,C,17,H,7,A,
353-U1447C-17H-7-A,57,88,150.75,151.06,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,C,17,H,7,A,
353-U1447C-17H-8-A,0,12,151.06,151.18,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,light gray,GLEY 1 5/10Y (greenish gray),bioturbated,,,,,,,,mottling,,,,,,,,353,U1447,C,17,H,8,A,
353-U1447C-17H-8-A,12,15,151.18,151.21,,foraminifer rich,sand,,foraminifer rich sand,foraminifer rich sand,sand,,light gray,2.5Y 7/2 (light gray),erosive,,,thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1447,C,17,H,8,A,
353-U1447C-17H-8-A,15,71,151.21,151.77,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,light gray,GLEY 1 5/10Y (greenish gray),bioturbated,,,,,,,,mottling,,,,,,,,353,U1447,C,17,H,8,A,
353-U1447C-17H-8-A,71,79,151.77,151.85,,foraminifer rich,sand,,foraminifer rich sand,foraminifer rich sand,sand,,light gray,2.5Y 7/2 (light gray),,,,thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1447,C,17,H,8,A,
353-U1447C-17H-CC-A,0,7,151.85,151.92,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,C,17,H,CC,A,
353-U1447C-18H-1-A,0,45,151.4,151.85,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,Light gray sandy blebs between 8 and 9 cm.,,,,353,U1447,C,18,H,1,A,
353-U1447C-18H-2-A,0,12,151.85,151.97,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),bioturbated,,,,,,,,mottling,,,,,,,,353,U1447,C,18,H,2,A,
353-U1447C-18H-2-A,12,13.5,151.97,151.985,,foraminifer rich,sand,,foraminifer rich sand,foraminifer rich sand,sand,,light gray,2.5Y 7/2 (light gray),erosive,,,very thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1447,C,18,H,2,A,
353-U1447C-18H-2-A,13.5,26,151.985,152.11,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),bioturbated,,,,,,,,mottling,,,,,,,,353,U1447,C,18,H,2,A,
353-U1447C-18H-2-A,26,27.5,152.11,152.125,,foraminifer rich,sand,,foraminifer rich sand,foraminifer rich sand,sand,,light gray,2.5Y 7/2 (light gray),erosive,,,very thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1447,C,18,H,2,A,
353-U1447C-18H-2-A,27.5,31.5,152.125,152.165,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),bioturbated,,,,,,,,mottling,,,,,,,,353,U1447,C,18,H,2,A,
353-U1447C-18H-2-A,31.5,32.5,152.165,152.175,,foraminifer rich,sand,,foraminifer rich sand,foraminifer rich sand,sand,,light gray,2.5Y 7/2 (light gray),erosive,,,very thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1447,C,18,H,2,A,
353-U1447C-18H-2-A,32.5,39,152.175,152.24,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),bioturbated,,,,,,,,mottling,,,,,,,,353,U1447,C,18,H,2,A,
353-U1447C-18H-2-A,39,41,152.24,152.26,,foraminifer rich,sand,,foraminifer rich sand,foraminifer rich sand,sand,,light gray,2.5Y 7/2 (light gray),erosive,,,very thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1447,C,18,H,2,A,
353-U1447C-18H-2-A,41,79,152.26,152.64,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),bioturbated,,,,,,,,mottling,,,,Light gray sandy blebs between 49 and 50 cm.,,,,353,U1447,C,18,H,2,A,
353-U1447C-18H-2-A,79,80,152.64,152.65,,foraminifer rich,sand,,foraminifer rich sand,foraminifer rich sand,sand,,light gray,2.5Y 7/2 (light gray),erosive,,,very thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1447,C,18,H,2,A,
353-U1447C-18H-2-A,80,91.5,152.65,152.765,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),bioturbated,,,,,,,,mottling,,,,,,,,353,U1447,C,18,H,2,A,
353-U1447C-18H-2-A,91.5,92,152.765,152.77,,foraminifer rich,sand,,foraminifer rich sand,foraminifer rich sand,sand,,light gray,2.5Y 7/2 (light gray),erosive,,,very thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1447,C,18,H,2,A,
353-U1447C-18H-2-A,92,124.5,152.77,153.095,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),bioturbated,,,,,,,,mottling,,,,,,,,353,U1447,C,18,H,2,A,
353-U1447C-18H-2-A,124.5,125.5,153.095,153.105,,foraminifer rich,sand,,foraminifer rich sand,foraminifer rich sand,sand,,light gray,2.5Y 7/2 (light gray),erosive,,,very thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1447,C,18,H,2,A,
353-U1447C-18H-2-A,125.5,128,153.105,153.13,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),bioturbated,,,,,,,,mottling,,,,,,,,353,U1447,C,18,H,2,A,
353-U1447C-18H-2-A,128,129.5,153.13,153.145,,foraminifer rich,sand,,foraminifer rich sand,foraminifer rich sand,sand,,light gray,2.5Y 7/2 (light gray),erosive,,,very thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1447,C,18,H,2,A,
353-U1447C-18H-2-A,129.5,141,153.145,153.26,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,C,18,H,2,A,
353-U1447C-18H-3-A,0,20,153.26,153.46,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),bioturbated,,,,,,,,mottling,,,,,,,,353,U1447,C,18,H,3,A,
353-U1447C-18H-3-A,20,22.5,153.46,153.485,,foraminifer rich,sand,,foraminifer rich sand,foraminifer rich sand,sand,,light gray,2.5Y 7/2 (light gray),erosive,,,very thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1447,C,18,H,3,A,
353-U1447C-18H-3-A,22.5,34,153.485,153.6,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),bioturbated,,,,,,,,mottling,,,,,,,,353,U1447,C,18,H,3,A,
353-U1447C-18H-3-A,34,35,153.6,153.61,,foraminifer rich,sand,,foraminifer rich sand,foraminifer rich sand,sand,,light gray,2.5Y 7/2 (light gray),erosive,,,very thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1447,C,18,H,3,A,
353-U1447C-18H-3-A,35,87,153.61,154.13,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),bioturbated,,,,,,,,mottling,,,,,,,,353,U1447,C,18,H,3,A,
