Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Texture Rank [read only],MAJ Lith. prefix+name [read only],Lithification,Lithification rank [read only],MAJ Lith. color,MAJ Lith. ave. grain size ,Grain size rank [read only],Skeletal components MAJOR,Skeletal components MAJOR comment,Skeletal components INTERMEDIATE,Skeletal components INTERMEDIATE comment,Skeletal components MINOR,Skeletal components MINOR comment,Non-skeletal components,Non-skeletal components comment,Sedimentary structure,Diagenetic structure,Diagenetic structure comment,Layer or bedding thickness,Bioturbation intensity,Bioturbation intensity rank [read only],Bioturbation type,Bottom contact or boundary definition,Bottom contact or boundary attitude,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Lithology Suffix,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
359-U1472A-22H-1-A,87,150,196.07,196.7,planktic foraminifer rich,grainstone,4,planktic foraminifer rich grainstone,unlithified,1,2.5Y 6/3 (light yellowish brown),coarse sand,6,foraminifera (planktic),,foraminifera (benthic),,,,aggregate,,,,,,complete,6.0,,,,Partially lithified planktic foraminifera-rich GRAINSTONE. Coarse-grained. Planktic foraminifera are abundant. Benthic foraminifera are present.,,,,359,U1472,A,22,H,1,A,,,,
359-U1472A-22H-2-A,0,46,196.7,197.16,planktic foraminifer rich,grainstone,4,planktic foraminifer rich grainstone,unlithified,1,2.5Y 6/3 (light yellowish brown),coarse sand,6,foraminifera (planktic),,foraminifera (benthic),,,,aggregate,,,,,,complete,6.0,,sharp,horizontal,Partially lithified planktic foraminifera-rich GRAINSTONE. Coarse-grained. Planktic foraminifera are abundant. Benthic foraminifera are present.,,,,359,U1472,A,22,H,2,A,,,,
359-U1472A-22H-2-A,46,64,197.16,197.34,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,partially lithified,3,2.5Y 7/2 (light gray),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,,,aggregate,,,,,,complete,6.0,,,,Partially lithified planktic foraminifera-rich PACKSTONE. Medium-grained. Planktic foraminifera are abundant. Benthic foraminifera are present.,,,,359,U1472,A,22,H,2,A,,,,
359-U1472A-22H-3-A,0,85,197.34,198.19,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,partially lithified,3,2.5Y 7/2 (light gray),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,,,aggregate,,,,,,complete,6.0,,,,Partially lithified planktic foraminifera-rich PACKSTONE. Medium-grained. Planktic foraminifera are abundant. Benthic foraminifera are present.,,,,359,U1472,A,22,H,3,A,,,,
359-U1472A-22H-CC-A,0,14,198.19,198.33,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,partially lithified,3,2.5Y 7/2 (light gray),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,,,aggregate,,,,,,complete,6.0,,,,Partially lithified planktic foraminifera-rich PACKSTONE. Medium-grained. Planktic foraminifera are abundant. Benthic foraminifera are present.,,,,359,U1472,A,22,H,CC,A,,,,
359-U1472A-23H-1-A,0,81,198.2,199.01,planktic foraminifer rich,grainstone,4,planktic foraminifer rich grainstone,unlithified,1,2.5Y 6/3 (light yellowish brown),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,,,aggregate,,,,,,,,,,,CAVE-IN. Unlithified planktic foraminifera-rich PACKSTONE to RUDSTONE. Medium- to coarse-grained. Planktic foraminifera are abundant. Benthic foraminifera are present.,,,,359,U1472,A,23,H,1,A,,,,
359-U1472A-23H-1-A,81,110,199.01,199.3,planktic foraminifer rich,grainstone,4,planktic foraminifer rich grainstone,unlithified,1,2.5Y 6/3 (light yellowish brown),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,,,aggregate,,,,,,slight,2.0,,,,Unlithified planktic foraminifera-rich GRAINSTONE. Fine-grained. Planktic foraminifera are abundant. Benthic foraminifera are present. Aggregate grains are abundant.,,,,359,U1472,A,23,H,1,A,,,,
359-U1472A-23H-2-A,0,32,199.3,199.62,planktic foraminifer rich,grainstone,4,planktic foraminifer rich grainstone,unlithified,1,2.5Y 6/3 (light yellowish brown),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,,,aggregate,,,,,,slight,2.0,,,,Unlithified planktic foraminifera-rich GRAINSTONE. Fine-grained. Planktic foraminifera are abundant. Benthic foraminifera are present. Aggregate grains are abundant.,,,,359,U1472,A,23,H,2,A,,,,
359-U1472A-23H-2-A,32,91,199.62,200.21,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 7/2 (light gray),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,,,aggregate,,,,,,slight,2.0,,,,Unlithified planktic foraminifera-rich GRAINSTONE. Fine-grained. Planktic foraminifera are abundant. Benthic foraminifera are present. Aggregate grains are abundant.,,,,359,U1472,A,23,H,2,A,,,,
359-U1472A-23H-CC-A,0,11,200.21,200.32,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 7/2 (light gray),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,,,aggregate,,,,,,slight,2.0,,,,Unlithified planktic foraminifera-rich GRAINSTONE. Fine-grained. Planktic foraminifera are abundant. Benthic foraminifera are present. Aggregate grains are abundant.,,,,359,U1472,A,23,H,CC,A,,,,
