Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (simple),Lithology color (Munsell),Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Sorting,Grading,Sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],Lithological asseccories,Diagenetic structure,Macrofossil,Macrofossil abundance name,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,Clasts (>2 mm) 3ND ORDER,Lithic clasts (>2 mm) DOMINANT,DOMINANT lithic roundness,Lithic clasts (>2 mm) 2ND ORDER,2ND lithic roundness,Lithic clasts (>2 mm) 3RD ORDER,3RD lithic roundness,Vitric clasts (>2 mm) DOMINANT,DOMINANT vitric roundness,Vitric clasts (>2 mm) 2ND ORDER,2ND vitric roundness,Vitric clasts (>2 mm) 3RD ORDER,3RD vitric roundness,Crystals (>2 mm) DOMINANT,DOMINANT crystal roundness,Crystals (>2 mm) 2ND ORDER,2ND crystal roundness,Crystals (>2 mm) 3RD ORDER,3RD crystal roundness,Clast comments,"Matrix, fines (<2 mm) DOMINANT","Matrix, fines (<2 mm) 2ND ORDER","Matrix, fines (<2 mm) 3ND ORDER",Matrix sorting,Matrix comments,File Data,Ship File Links,Shore File Links,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
351-U1438B-24X-1-A,351,U1438,B,24,24-1,X,1,A,,138,150,190.78,190.9,,,,,tuffaceous,mudstone [2014],with nannofossils [2014],tuffaceous mudstone,tuffaceous mudstone with nannofossils,mudstone with nannofossils,,,5Y 4/1 (dark gray),,silt [W22_1],2.0,fine sand [W22_2],4.0,,,,,,poor [2014],,,strong,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-24X-2-A,351,U1438,B,24,24-2,X,2,A,,0,21,190.9,191.11,,,,,tuffaceous,mudstone [2014],with nannofossils [2014],tuffaceous mudstone,tuffaceous mudstone with nannofossils,mudstone with nannofossils,,,5G 6/1 (greenish gray),,silt [W22_1],2.0,silt [W22_1],2.0,,curviplanar,sharp,,,poor [2014],,convolute bedded,slight,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-24X-2-A,351,U1438,B,24,24-2,X,2,A,,21,52,191.11,191.42,,,,,tuffaceous,sandstone [2014],with nannofossils [2014],tuffaceous sandstone,tuffaceous sandstone with nannofossils,sandstone with nannofossils,,,5G 6/1 (greenish gray),,fine sand [W22_2],4.0,medium sand [W22_2],5.0,,curviplanar,sharp,,,moderate [2014],,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-24X-2-A,351,U1438,B,24,24-2,X,2,A,,52,64,191.42,191.54,,,,,tuffaceous,mudstone [2014],with nannofossils [2014],tuffaceous mudstone,tuffaceous mudstone with nannofossils,mudstone with nannofossils,,,5G 6/1 (greenish gray),,silt [W22_1],2.0,silt [W22_1],2.0,,irregular,gradational,,,poor [2014],,,slight,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-24X-2-A,351,U1438,B,24,24-2,X,2,A,,64,67,191.54,191.57,,,,,tuffaceous,sandstone [2014],with nannofossils [2014],tuffaceous sandstone,tuffaceous sandstone with nannofossils,sandstone with nannofossils,,,5Y 4/1 (dark gray),,fine sand [W22_2],4.0,medium sand [W22_2],5.0,,planar,sharp,,,moderate [2014],,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-24X-2-A,351,U1438,B,24,24-2,X,2,A,,67,102,191.57,191.92,,,,,tuffaceous,mudstone [2014],with nannofossils [2014],tuffaceous mudstone,tuffaceous mudstone with nannofossils,mudstone with nannofossils,,,5Y 4/1 (dark gray),,silt [W22_1],2.0,silt [W22_1],2.0,,irregular,gradational,,,poor [2014],,,slight,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-24X-2-A,351,U1438,B,24,24-2,X,2,A,,102,128,191.92,192.18,,,,,tuffaceous,sandstone [2014],with nannofossils [2014],tuffaceous sandstone,tuffaceous sandstone with nannofossils,sandstone with nannofossils,,,5G 6/1 (greenish gray),,fine sand [W22_2],4.0,medium sand [W22_2],5.0,,curviplanar,sharp,,,moderate [2014],,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-24X-2-A,351,U1438,B,24,24-2,X,2,A,,128,150,192.18,192.4,,,,,tuffaceous,mudstone [2014],with nannofossils [2014],tuffaceous mudstone,tuffaceous mudstone with nannofossils,mudstone with nannofossils,,,5Y 4/1 (dark gray),,silt [W22_1],2.0,silt [W22_1],2.0,,,,,,poor [2014],,,moderate,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-24X-3-A,351,U1438,B,24,24-3,X,3,A,,0,72,192.4,193.12,,,,,tuffaceous,mudstone [2014],with nannofossils [2014],tuffaceous mudstone,tuffaceous mudstone with nannofossils,mudstone with nannofossils,,,5Y 4/1 (dark gray),,silt [W22_1],2.0,medium sand [W22_2],5.0,thin tuffaceous sandstone layers,,gradational,,,poor [2014],,,moderate,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-24X-3-A,351,U1438,B,24,24-3,X,3,A,,72,78,193.12,193.18,,,,,tuffaceous,sandstone [2014],with nannofossils [2014],tuffaceous sandstone,tuffaceous sandstone with nannofossils,sandstone with nannofossils,,,5Y 4/1 (dark gray),,fine sand [W22_2],4.0,medium sand [W22_2],5.0,,planar,sharp,,,moderate [2014],,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-24X-3-A,351,U1438,B,24,24-3,X,3,A,,78,81,193.18,193.21,,,,,tuffaceous,mudstone [2014],with nannofossils [2014],tuffaceous mudstone,tuffaceous mudstone with nannofossils,mudstone with nannofossils,,,5Y 4/1 (dark gray),,silt [W22_1],2.0,medium sand [W22_2],5.0,,,,,,poor [2014],,,moderate,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-24X-CC-A,351,U1438,B,24,24-CC,X,CC,A,,0,19,193.21,193.4,,,,,tuffaceous,mudstone [2014],with nannofossils [2014],tuffaceous mudstone,tuffaceous mudstone with nannofossils,mudstone with nannofossils,,,5Y 4/1 (dark gray),,silt [W22_1],2.0,medium sand [W22_2],5.0,,,,,,poor [2014],,,moderate,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-25X-1-A,351,U1438,B,25,25-1,X,1,A,,0,8,199.1,199.18,,,,,tuffaceous,breccia-conglomerate [2014b],,tuffaceous breccia-conglomerate,tuffaceous breccia-conglomerate,breccia-conglomerate,,,N 7 (light gray),,granule [W22_2],8.0,pebble [W22_2],9.0,,irregular,sharp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-25X-1-A,351,U1438,B,25,25-1,X,1,A,,8,14,199.18,199.24,,,,,tuffaceous,fine sandstone [2014],with nannofossils [2014],tuffaceous fine sandstone,tuffaceous fine sandstone with nannofossils,fine sandstone with nannofossils,,,5Y 4/1 (dark gray),,fine sand [W22_2],4.0,granule [W22_2],8.0,,,gradational,,,moderate [2014],,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-25X-1-A,351,U1438,B,25,25-1,X,1,A,,14,27,199.24,199.37,,,,,tuffaceous,fine sandstone [2014],with nannofossils [2014],tuffaceous fine sandstone,tuffaceous fine sandstone with nannofossils,fine sandstone with nannofossils,,,N 7 (light gray),,very fine sand [W22_2],3.0,fine sand [W22_2],4.0,,planar,sharp,,,moderate [2014],,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-25X-1-A,351,U1438,B,25,25-1,X,1,A,,27,39,199.37,199.49,,,,,tuffaceous,mudstone [2014],with nannofossils [2014],tuffaceous mudstone,tuffaceous mudstone with nannofossils,mudstone with nannofossils,,,N 6 (gray),,silt [W22_1],2.0,silt [W22_1],2.0,,,gradational,,,poor [2014],,,slight,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-25X-1-A,351,U1438,B,25,25-1,X,1,A,,39,41,199.49,199.51,,,,,tuffaceous,fine sandstone [2014],with nannofossils [2014],tuffaceous fine sandstone,tuffaceous fine sandstone with nannofossils,fine sandstone with nannofossils,,,5GY 2/1 (light chartreuse greenish gray),,very fine sand [W22_2],3.0,fine sand [W22_2],4.0,,planar,sharp,,,moderate [2014],,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-25X-1-A,351,U1438,B,25,25-1,X,1,A,,41,56,199.51,199.66,,,,,tuffaceous,mudstone [2014],with nannofossils [2014],tuffaceous mudstone,tuffaceous mudstone with nannofossils,mudstone with nannofossils,,,N 6 (gray),,silt [W22_1],2.0,silt [W22_1],2.0,,,gradational,,,poor [2014],,,moderate,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-25X-1-A,351,U1438,B,25,25-1,X,1,A,,56,58,199.66,199.68,,,,,tuffaceous,fine sandstone [2014],with nannofossils [2014],tuffaceous fine sandstone,tuffaceous fine sandstone with nannofossils,fine sandstone with nannofossils,,,5GY 2/1 (light chartreuse greenish gray),,very fine sand [W22_2],3.0,fine sand [W22_2],4.0,,planar,sharp,,,moderate [2014],,,slight,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-25X-1-A,351,U1438,B,25,25-1,X,1,A,,58,72,199.68,199.82,,,,,tuffaceous,mudstone [2014],with nannofossils [2014],tuffaceous mudstone,tuffaceous mudstone with nannofossils,mudstone with nannofossils,,,N 6 (gray),,silt [W22_1],2.0,silt [W22_1],2.0,,irregular,gradational,,,poor [2014],,,moderate,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-25X-1-A,351,U1438,B,25,25-1,X,1,A,,72,75,199.82,199.85,,,,,tuffaceous,fine sandstone [2014],with nannofossils [2014],tuffaceous fine sandstone,tuffaceous fine sandstone with nannofossils,fine sandstone with nannofossils,,,5GY 2/1 (light chartreuse greenish gray),,very fine sand [W22_2],3.0,fine sand [W22_2],4.0,,planar,sharp,,,moderate [2014],,,slight,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-25X-1-A,351,U1438,B,25,25-1,X,1,A,,75,92,199.85,200.02,,,,,tuffaceous,mudstone [2014],with nannofossils [2014],tuffaceous mudstone,tuffaceous mudstone with nannofossils,mudstone with nannofossils,,,N 6 (gray),,silt [W22_1],2.0,silt [W22_1],2.0,,irregular,bioturbated,,,poor [2014],,,strong,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-25X-1-A,351,U1438,B,25,25-1,X,1,A,,92,150,200.02,200.6,,,,,tuffaceous,sandstone [2014],with nannofossils [2014],tuffaceous sandstone,tuffaceous sandstone with nannofossils,sandstone with nannofossils,,,N 3 (very dark gray),,fine sand [W22_2],4.0,medium sand [W22_2],5.0,,,,,,moderate [2014],,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-25X-2-A,351,U1438,B,25,25-2,X,2,A,,0,11,200.6,200.71,,,,,tuffaceous,sandstone [2014],with nannofossils [2014],tuffaceous sandstone,tuffaceous sandstone with nannofossils,sandstone with nannofossils,,,N 3 (very dark gray),,medium sand [W22_2],5.0,medium sand [W22_2],5.0,,planar,sharp,,,moderate [2014],,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-25X-2-A,351,U1438,B,25,25-2,X,2,A,,11,15,200.71,200.75,,,,,,tuff [2014],with nannofossils [2014],tuff,tuff with nannofossils,tuff with nannofossils,,,5G 6/1 (greenish gray),,silt [W22_1],2.0,silt [W22_1],2.0,,,gradational,,,moderate [2014],,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-25X-2-A,351,U1438,B,25,25-2,X,2,A,,15,110,200.75,201.7,,,,,tuffaceous,fine sandstone [2014],with nannofossils [2014],tuffaceous fine sandstone,tuffaceous fine sandstone with nannofossils,fine sandstone with nannofossils,,,N 6 (gray),,fine sand [W22_2],4.0,medium sand [W22_2],5.0,thin medium-sandstone layers,planar,sharp,,,moderate [2014],,planar lamination,slight,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-25X-2-A,351,U1438,B,25,25-2,X,2,A,,110,126,201.7,201.86,,,,,tuffaceous,sandstone [2014],with nannofossils [2014],tuffaceous sandstone,tuffaceous sandstone with nannofossils,sandstone with nannofossils,,,N 4 (dark gray),,fine sand [W22_2],4.0,medium sand [W22_2],5.0,,,,,,moderate [2014],,planar lamination,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-25X-3-A,351,U1438,B,25,25-3,X,3,A,,0,31,202.01,202.32,,,,,tuffaceous,sandstone [2014],with nannofossils [2014],tuffaceous sandstone,tuffaceous sandstone with nannofossils,sandstone with nannofossils,,,5GY 2/1 (light chartreuse greenish gray),,fine sand [W22_2],4.0,coarse sand [W22_2],6.0,,curviplanar,wavy,,,moderate [2014],,planar lamination,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-25X-3-A,351,U1438,B,25,25-3,X,3,A,,31,76,202.32,202.77,,,,,,tuff [2014],with nannofossils [2014],tuff,tuff with nannofossils,tuff with nannofossils,,,5G 6/1 (greenish gray),,silt [W22_1],2.0,fine sand [W22_2],4.0,,curviplanar,sharp,,,moderate [2014],,convolute bedded,slight,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-25X-3-A,351,U1438,B,25,25-3,X,3,A,,76,78,202.77,202.79,,,,,tuffaceous,fine sandstone [2014],with nannofossils [2014],tuffaceous fine sandstone,tuffaceous fine sandstone with nannofossils,fine sandstone with nannofossils,,,N 6 (gray),,fine sand [W22_2],4.0,fine sand [W22_2],4.0,,irregular,sharp,,,moderate [2014],,planar lamination,slight,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-25X-3-A,351,U1438,B,25,25-3,X,3,A,,78,89,202.79,202.9,,,,,,tuff [2014],with nannofossils [2014],tuff,tuff with nannofossils,tuff with nannofossils,,,5G 6/1 (greenish gray),,silt [W22_1],2.0,silt [W22_1],2.0,,planar,sharp,,,moderate [2014],,convolute bedded,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-25X-3-A,351,U1438,B,25,25-3,X,3,A,,89,92,202.9,202.93,,,,,tuffaceous,fine sandstone [2014],with nannofossils [2014],tuffaceous fine sandstone,tuffaceous fine sandstone with nannofossils,fine sandstone with nannofossils,,,N 6 (gray),,fine sand [W22_2],4.0,fine sand [W22_2],4.0,,irregular,wavy,,,moderate [2014],,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-25X-3-A,351,U1438,B,25,25-3,X,3,A,,92,107,202.93,203.08,,,,,,tuff [2014],with nannofossils [2014],tuff,tuff with nannofossils,tuff with nannofossils,,,5G 6/1 (greenish gray),,silt [W22_1],2.0,silt [W22_1],2.0,,irregular,sharp,,,moderate [2014],,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-25X-3-A,351,U1438,B,25,25-3,X,3,A,,107,109,203.08,203.1,,,,,tuffaceous,fine sandstone [2014],with nannofossils [2014],tuffaceous fine sandstone,tuffaceous fine sandstone with nannofossils,fine sandstone with nannofossils,,,N 6 (gray),,fine sand [W22_2],4.0,fine sand [W22_2],4.0,,,,,,moderate [2014],,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-25X-CC-A,351,U1438,B,25,25-CC,X,CC,A,,0,21,203.1,203.31,,,,,tuffaceous,fine sandstone [2014],with nannofossils [2014],tuffaceous fine sandstone,tuffaceous fine sandstone with nannofossils,fine sandstone with nannofossils,,,5GY 6/1 (greenish gray),,silt [W22_1],2.0,fine sand [W22_2],4.0,,,,,,poor [2014],normally graded,,slight,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-26X-1-A,351,U1438,B,26,26-1,X,1,A,,0,42,208.8,209.22,,,,,tuffaceous,sandstone [2014],,tuffaceous sandstone,tuffaceous sandstone,sandstone,,,5YR 4/1 (dark gray),,silt [W22_1],2.0,coarse sand [W22_2],6.0,,irregular,sharp,inclined,,poor [2014],non-graded,,none,0.0,,,,,lithic [2014],,,"volcanic, felsic [2014b]",angular,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-26X-1-A,351,U1438,B,26,26-1,X,1,A,,42,150,209.22,210.3,,,,,tuffaceous,mudstone [2014],with sand [2014],tuffaceous mudstone,tuffaceous mudstone with sand,mudstone with sand,,,N 5 (gray),consolidated [2014],silt [W22_1],2.0,fine sand [W22_2],4.0,,,,,,poor [2014],non-graded,,slight,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-26X-1-A,351,U1438,B,26,26-1,X,1,A,,65,70,209.45,209.5,,,,,,,,,,,,,,,,,,,,,,,,,,cross-bedded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-26X-1-A,351,U1438,B,26,26-1,X,1,A,,143,148,210.23,210.28,,,,,,,,,,,,,,,,,,,,,,,,,,cross-bedded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-26X-2-A,351,U1438,B,26,26-2,X,2,A,,0,50,210.3,210.8,,,,,tuffaceous,mudstone [2014],with sand [2014],tuffaceous mudstone,tuffaceous mudstone with sand,mudstone with sand,,,N 5 (gray),consolidated [2014],silt [W22_1],2.0,fine sand [W22_2],4.0,,planar,sharp,inclined,,poor [2014],non-graded,,slight,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-26X-2-A,351,U1438,B,26,26-2,X,2,A,,36,42,210.66,210.72,,,,,,,,,,,,,,,,,,,,,,,,,,convolute bedded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-26X-2-A,351,U1438,B,26,26-2,X,2,A,,50,78,210.8,211.08,,,,,tuffaceous,mudstone [2014],with sand [2014],tuffaceous mudstone,tuffaceous mudstone with sand,mudstone with sand,,,5YR 4/1 (dark gray),consolidated [2014],silt [W22_1],2.0,fine sand [W22_2],4.0,Fe-oxide stained horizont at 68 cm,curviplanar,sharp,,,poor [2014],non-graded,,moderate,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-26X-2-A,351,U1438,B,26,26-2,X,2,A,,78,138,211.08,211.68,,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mud,,,5GY 4/1 (dark greenish gray),consolidated [2014],silt [W22_1],2.0,silt [W22_1],2.0,,planar,sharp,inclined,,moderate [2014],non-graded,,slight,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-26X-2-A,351,U1438,B,26,26-2,X,2,A,,105,113,211.35,211.43,,,,,,,,,,,,,,,,,,,,,,,,,,zoophycos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-26X-2-A,351,U1438,B,26,26-2,X,2,A,,138,150,211.68,211.8,,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mudstone,,,N 5 (gray),unconsolidated [2014],silt [W22_1],2.0,fine sand [W22_2],4.0,color gradient with intensity maximum at 122 cm,,,,,moderate [2014],non-graded,cross-bedded,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-26X-3-A,351,U1438,B,26,26-3,X,3,A,,0,7,211.8,211.87,,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mud,,,5Y 4/1 (dark gray),consolidated [2014],silt [W22_1],2.0,,,,planar,wavy,horizontal,,moderate [2014],non-graded,,slight,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-26X-3-A,351,U1438,B,26,26-3,X,3,A,,0,150,211.8,213.3,,,,,,,,,,,,,,,,,,,slumping; section reversed,,,,,moderate [2014],non-graded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-26X-3-A,351,U1438,B,26,26-3,X,3,A,,7,12,211.87,211.92,,,,,tuffaceous,fine sandstone [2014],,tuffaceous fine sandstone,tuffaceous fine sandstone,fine sandstone,,,5YR 4/1 (dark gray),consolidated [2014],fine sand [W22_2],4.0,fine sand [W22_2],4.0,,planar,bioturbated,,,moderate [2014],non-graded,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-26X-3-A,351,U1438,B,26,26-3,X,3,A,,12,72,211.92,212.52,,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mud,,,5Y 4/1 (dark gray),consolidated [2014],silt [W22_1],2.0,fine sand [W22_2],4.0,,irregular,bioturbated,inclined,,moderate [2014],non-graded,,strong,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-26X-3-A,351,U1438,B,26,26-3,X,3,A,,72,76,212.52,212.56,,,,,tuffaceous,fine sandstone [2014],,tuffaceous fine sandstone,tuffaceous fine sandstone,fine sandstone,,,5YR 4/1 (dark gray),consolidated [2014],fine sand [W22_2],4.0,fine sand [W22_2],4.0,,irregular,bioturbated,inclined,,moderate [2014],non-graded,,slight,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-26X-3-A,351,U1438,B,26,26-3,X,3,A,,76,115,212.56,212.95,,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mud,,,5Y 4/1 (dark gray),consolidated [2014],silt [W22_1],2.0,fine sand [W22_2],4.0,,irregular,wavy,horizontal,,moderate [2014],non-graded,,moderate,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-26X-3-A,351,U1438,B,26,26-3,X,3,A,,115,135,212.95,213.15,,,,,tuffaceous,mudstone [2014],with fine sand [2014],tuffaceous mudstone,tuffaceous mudstone with fine sand,mudstone with fine sand,,,5Y 4/1 (dark gray),consolidated [2014],silt [W22_1],2.0,fine sand [W22_2],4.0,,,,,,poor [2014],reversely graded,,slight,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-26X-4-A,351,U1438,B,26,26-4,X,4,A,,0,150,213.3,214.8,,,,,tuffaceous,siltstone [2014],with fine sand [2014],tuffaceous siltstone,tuffaceous siltstone with fine sand,siltstone with fine sand,,,5Y 4/1 (dark gray),consolidated [2014],silt [W22_1],2.0,fine sand [W22_2],4.0,slumping; section faulted+tilted,,,,,poor [2014],non-graded,,moderate,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-26X-5-A,351,U1438,B,26,26-5,X,5,A,,0,49,214.8,215.29,,,,,tuffaceous,siltstone [2014],,tuffaceous siltstone,tuffaceous siltstone,siltstone,,,5Y 4/1 (dark gray),consolidated [2014],silt [W22_1],2.0,fine sand [W22_2],4.0,section normal,irregular,wavy,inclined,,moderate [2014],non-graded,,moderate,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-26X-5-A,351,U1438,B,26,26-5,X,5,A,,26,33,215.06,215.13,,,,,,,,,,,,,,,,,,,,,,,,,,wavy bedding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-26X-5-A,351,U1438,B,26,26-5,X,5,A,,49,53,215.29,215.33,,,,,tuffaceous,fine sandstone [2014],,tuffaceous fine sandstone,tuffaceous fine sandstone,fine sandstone,,,5Y 4/1 (dark gray),consolidated [2014],silt [W22_1],2.0,fine sand [W22_2],4.0,,curviplanar,wavy,,,poor [2014],non-graded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-26X-5-A,351,U1438,B,26,26-5,X,5,A,,53,57,215.33,215.37,,,,,,,,,,,,,,,,,,,,,,,,,normally graded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-26X-5-A,351,U1438,B,26,26-5,X,5,A,,53,147,215.33,216.27,,,,,tuffaceous,siltstone [2014],,tuffaceous siltstone,tuffaceous siltstone,siltstone,,,5Y 4/1 (dark gray),consolidated [2014],silt [W22_1],2.0,fine sand [W22_2],4.0,,planar,gradational,horizontal,,moderate [2014],non-graded,,slight,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-26X-5-A,351,U1438,B,26,26-5,X,5,A,,79,85,215.59,215.65,,,,,,,,,,,,,,,,,,,,,,,,,normally graded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-26X-5-A,351,U1438,B,26,26-5,X,5,A,,89,93,215.69,215.73,,,,,,,,,,,,,,,,,,,,,,,,,normally graded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-26X-5-A,351,U1438,B,26,26-5,X,5,A,,133,142,216.13,216.22,,,,,,,,,,,,,,,,,,,,,,,,,normally graded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-26X-5-A,351,U1438,B,26,26-5,X,5,A,,147,150,216.27,216.3,,,,,tuffaceous,siltstone [2014],,tuffaceous siltstone,tuffaceous siltstone,siltstone,,,5YR 4/1 (dark gray),consolidated [2014],silt [W22_1],2.0,fine sand [W22_2],4.0,,,,,,moderate [2014],non-graded,,strong,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-26X-6-A,351,U1438,B,26,26-6,X,6,A,,0,5,216.3,216.35,,,,,tuffaceous,siltstone [2014],,tuffaceous siltstone,tuffaceous siltstone,siltstone,,,5YR 4/1 (dark gray),consolidated [2014],silt [W22_1],2.0,fine sand [W22_2],4.0,,irregular,wavy,,,poor [2014],non-graded,,strong,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-26X-6-A,351,U1438,B,26,26-6,X,6,A,,5,49,216.35,216.79,,,,,tuffaceous,siltstone [2014],,tuffaceous siltstone,tuffaceous siltstone,siltstone,,,5Y 4/1 (dark gray),consolidated [2014],silt [W22_1],2.0,fine sand [W22_2],4.0,inclined bedding,planar,wavy,,thick lamina [B01],moderate [2014],,,slight,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
