Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lithology prefix A,MAJ Principal lithology B,MAJ Lithology suffix C,MAJ Lithology ABC,MAJ Lithology abundance (%),MAJ Lithology color,Bottom contact definition,Clasts,Bioturbation intensity rank,Macrofossil abundance name,Diagenetic structure,Deformational structures,Bioturbation intensity,General interval comment,File Data,Extra Sample ID Data
336-U1383D-5H-4-A,336,U1383,D,5,5-4,H,4,A,0,41,37.4,37.81,foraminifer rich,ooze ,,foraminifer rich ooze ,,10YR 7/4 (very pale brown),sharp,,,,,,,"Big foraminifers, at the bottom well sorted black clasts (volcanic rocks?) of medium sand in grain size",,
336-U1383D-5H-4-A,336,U1383,D,5,5-4,H,4,A,41,47,37.81,37.87,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,10YR 6/4 (light yellowish brown),diffuse,,,,,,,,,
336-U1383D-5H-4-A,336,U1383,D,5,5-4,H,4,A,47,60.5,37.87,38.005,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,10YR 7/4 (very pale brown),,,,,,,,"More foraminifers than in the section 41 cm - 47 cm, contain very poorly sorted black angular clasts (volcanic rocks?) sand to pebble in grain size, the larger has a length of 3.5 cm",,
336-U1383D-5H-4-A,336,U1383,D,5,5-4,H,4,A,60.5,130,38.005,38.7,,Void,,Void,,,,,,,,,,,,
336-U1383D-5H-4-A,336,U1383,D,5,5-4,H,4,A,130,150,38.7,38.9,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,7.5YR 6/4 (light brown),,,,,,,,Contain a angular black clast (volcanic rock?) of a length of 2.5 cm,,
336-U1383D-5H-5-A,336,U1383,D,5,5-5,H,5,A,0,100.5,38.9,39.905,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,7.5YR 6/4 (light brown),,,,,,,,,,
336-U1383D-5H-5-A,336,U1383,D,5,5-5,H,5,A,100.5,128.5,39.905,40.185,,Void,,Void,,,,,,,,,,,,
336-U1383D-5H-5-A,336,U1383,D,5,5-5,H,5,A,128.5,150,40.185,40.4,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,7.5YR 6/4 (light brown),,,,,,,,,,
336-U1383D-5H-6-A,336,U1383,D,5,5-6,H,6,A,0,70,40.4,41.1,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,7.5YR 5/6 (strong brown),,,,,,,,"Gradation from the top to the bottom, less and less foraminifers",,
336-U1383D-5H-6-A,336,U1383,D,5,5-6,H,6,A,70,128.5,41.1,41.685,,Void,,Void,,,,,,,,,,,,
336-U1383D-5H-6-A,336,U1383,D,5,5-6,H,6,A,128.5,150,41.685,41.9,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,7.5YR 6/6 (reddish yellow),,,,,,,,Alternation of darker and whiter traps (drilling disturbance),,
336-U1383D-5H-7-A,336,U1383,D,5,5-7,H,7,A,0,80,41.9,42.7,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,,,,,,,,,"Rare foraminifers, From 0 cm to 8 cm (5YR 6/6), from 8 cm to 23.5 (7.5YR 5/6), from 23.5 cm to 59 cm (7.5YR 6/6), alternation of darker and whiter traps from 8 cm to 23.5 cm",,
336-U1383D-5H-7-A,336,U1383,D,5,5-7,H,7,A,80,129,42.7,43.19,,Void,,Void,,,,,,,,,,,,
336-U1383D-5H-7-A,336,U1383,D,5,5-7,H,7,A,129,150,43.19,43.4,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,7.5YR 6/6 (reddish yellow),,,,,,,,,,
336-U1383D-5H-CC-A,336,U1383,D,5,5-CC,H,CC,A,0,20,43.4,43.6,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,7.5YR 6/6 (reddish yellow),,,,,,,,,,
336-U1383D-6H-1-A,336,U1383,D,6,6-1,H,1,A,0,64,43.1,43.74,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,,,,,,,,,"Between 30 cm and 40 cm, black clast (volcanic clast?) 5 cm long",,
336-U1383D-6H-2-A,336,U1383,D,6,6-2,H,2,A,0,70.5,44.24,44.945,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,7.5YR 6/6 (reddish yellow),,,,,,,,,,
336-U1383D-6H-3-A,336,U1383,D,6,6-3,H,3,A,0,60,45.74,46.34,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,7.5YR 6/6 (reddish yellow),,,,,,,,,,
336-U1383D-6H-3-A,336,U1383,D,6,6-3,H,3,A,60,129.5,46.34,47.035,,Void,,Void,,,,,,,,,,,,
336-U1383D-6H-3-A,336,U1383,D,6,6-3,H,3,A,129.5,150,47.035,47.24,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,7.5YR 6/6 (reddish yellow),,,,,,,,,,
