Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix+name+suffix,MAJ Lith. color,"Layer, boundary, lamination, grading",Diagenetic constituent,Diagenetic constituent composition,Bioturbation intensity,Bioturbation intensity rank,Deformational structures,General interval comment,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Bottom contact definition,Layer or bedding thickness,Clasts abundance,Clast 1 igneous [%],Clast 1 igneous -  grain size,Clast 2 sediment [%],Clast 2 sediment grain size,Clast 3 -other lithology [%],Clast 3 -other lithology grain size,Diagenetic structure,Macrofossil,Macrofossil abundance name,MAJ Lith. prefix + name,MAJ Lith. name+suffix,MAJ Lith. Abundance (%),MAJ Lith. Ave. grain size,MAJ Lith. ave. grain size rank,MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,File Data,Extra Sample ID Data
342-U1403B-10H-CC-A,342,U1403,B,10,10-CC,H,CC,A,0,26,82.54,82.8,radiolarian [Leg339],clay [Leg339],,radiolarian  clay ,10YR 7/3 (very pale brown),,,,moderate [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,radiolarian   clay ,clay ,,,,,,,
342-U1403B-11H-1-A,342,U1403,B,11,11-1,H,1,A,0,136,82.4,83.76,radiolarian [Leg339],clay [Leg339],,radiolarian  clay ,10YR 7/3 (very pale brown),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,radiolarian   clay ,clay ,,,,,,,
342-U1403B-11H-1-A,342,U1403,B,11,11-1,H,1,A,136,146,83.76,83.86,radiolarian [Leg339],clay [Leg339],,radiolarian  clay ,10GY 7/1 (light greenish gray),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,radiolarian   clay ,clay ,,,,,,,
342-U1403B-11H-1-A,342,U1403,B,11,11-1,H,1,A,146,150,83.86,83.9,radiolarian [Leg339],clay [Leg339],,radiolarian  clay ,10YR 7/3 (very pale brown),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,radiolarian   clay ,clay ,,,,,,,
342-U1403B-11H-2-A,342,U1403,B,11,11-2,H,2,A,0,8,83.9,83.98,radiolarian [Leg339],clay [Leg339],,radiolarian  clay ,10GY 7/1 (light greenish gray),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,radiolarian   clay ,clay ,,,,,,,
342-U1403B-11H-2-A,342,U1403,B,11,11-2,H,2,A,8,20,83.98,84.1,radiolarian [Leg339],clay [Leg339],,radiolarian  clay ,10YR 7/3 (very pale brown),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,radiolarian   clay ,clay ,,,,,,,
342-U1403B-11H-2-A,342,U1403,B,11,11-2,H,2,A,20,32,84.1,84.22,radiolarian [Leg339],clay [Leg339],,radiolarian  clay ,10GY 7/1 (light greenish gray),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,radiolarian   clay ,clay ,,,,,,,
342-U1403B-11H-2-A,342,U1403,B,11,11-2,H,2,A,24,30,84.14,84.2,,,,,,,,,,,fracture,"Fracture with dark infill material and within the light green color, presumably related as a reducing halo. Dark infill material is radiolarian ooze.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1403B-11H-2-A,342,U1403,B,11,11-2,H,2,A,32,66,84.22,84.56,radiolarian [Leg339],clay [Leg339],,radiolarian  clay ,10YR 7/3 (very pale brown),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,radiolarian   clay ,clay ,,,,,,,
342-U1403B-11H-2-A,342,U1403,B,11,11-2,H,2,A,65,73,84.55,84.63,,,,,,,,,,,fracture,"Fracture with dark infill material and within the light green color, presumably related as a reducing halo. Dark infill material is radiolarian ooze.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
