Label ID,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Principal lithology,Lithology classification,Lithology prefix,Lithology suffix,Lithology name,Lithology [%],Lithification [name],Color,Lithology comments,File Data
320-U1333A-7H-3-A,320,U1333,A,7,7-3,H,3,A,0,150,60,61.5,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,100,soft,10YR 8/1,Black particles (<0.5 mm) are sparsely observed throughout the core,
320-U1333A-7H-4-A,320,U1333,A,7,7-4,H,4,A,0,150,61.5,63,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,100,soft,10YR 8/1,Black particles (<0.5 mm) are sparsely observed throughout the core,
320-U1333A-7H-5-A,320,U1333,A,7,7-5,H,5,A,0,150,63,64.5,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,100,soft,10YR 8/1,Black particles (<0.5 mm) are sparsely observed throughout the core,
320-U1333A-7H-6-A,320,U1333,A,7,7-6,H,6,A,0,150,64.5,66,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,100,soft,10YR 8/1,Black particles (<0.5 mm) are sparsely observed throughout the core,
320-U1333A-7H-7-A,320,U1333,A,7,7-7,H,7,A,0,45,66,66.45,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,100,soft,10YR 8/1,Black particles (<0.5 mm) are sparsely observed throughout the core,
320-U1333A-7H-CC-A,320,U1333,A,7,7-CC,H,CC,A,0,10,66.45,66.55,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,100,soft,10YR 8/1,Black particles (<0.5 mm) are sparsely observed throughout the core,
320-U1333A-8H-1-A,320,U1333,A,8,8-1,H,1,A,0,130,66.5,67.8,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,100,soft,10YR 8/1,Black particles (<0.5 mm) are sparsely observed throughout the core. A pumice (5 mm) in 73 cm in section 3,
320-U1333A-8H-2-A,320,U1333,A,8,8-2,H,2,A,0,150,67.8,69.3,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,100,soft,10YR 8/1,Black particles (<0.5 mm) are sparsely observed throughout the core. A pumice (5 mm) in 73 cm in section 3,
320-U1333A-8H-3-A,320,U1333,A,8,8-3,H,3,A,0,150,69.3,70.8,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,100,soft,10YR 8/1,Black particles (<0.5 mm) are sparsely observed throughout the core. A pumice (5 mm) in 73 cm in section 3,
320-U1333A-8H-4-A,320,U1333,A,8,8-4,H,4,A,0,150,70.8,72.3,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,100,soft,10YR 8/1,Black particles (<0.5 mm) are sparsely observed throughout the core. A pumice (5 mm) in 73 cm in section 3,
320-U1333A-8H-5-A,320,U1333,A,8,8-5,H,5,A,0,150,72.3,73.8,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,100,soft,10YR 8/1,Black particles (<0.5 mm) are sparsely observed throughout the core. A pumice (5 mm) in 73 cm in section 3,
320-U1333A-8H-6-A,320,U1333,A,8,8-6,H,6,A,0,150,73.8,75.3,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,100,soft,10YR 8/1,Black particles (<0.5 mm) are sparsely observed throughout the core. A pumice (5 mm) in 73 cm in section 3,
320-U1333A-8H-7-A,320,U1333,A,8,8-7,H,7,A,0,63,75.3,75.93,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,100,soft,10YR 8/1,Black particles (<0.5 mm) are sparsely observed throughout the core. A pumice (5 mm) in 73 cm in section 3,
320-U1333A-8H-CC-A,320,U1333,A,8,8-CC,H,CC,A,0,18,75.93,76.11,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,100,soft,10YR 8/1,Black particles (<0.5 mm) are sparsely observed throughout the core. A pumice (5 mm) in 73 cm in section 3,
320-U1333A-9H-1-A,320,U1333,A,9,9-1,H,1,A,0,150,76,77.5,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,100,soft,10YR 8/1,Black particles (<0.5 mm) are sparsely observed in 23-25 cm in section 5,
320-U1333A-9H-2-A,320,U1333,A,9,9-2,H,2,A,0,150,77.5,79,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,100,soft,10YR 8/1,Black particles (<0.5 mm) are sparsely observed in 23-25 cm in section 5,
