Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (Munsell),Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary geometry+definition [read only],Bottom contact or boundary attitude,Layer or bedding thickness,Lithology lithification,Lithology max. grain size class,Lithology max. grain size rank [read only],Grading,Sorting,Upper boundary ave. grain size class,Lowerr boundary ave. grain size class,General interval comment,Sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],Primary trace fossils,Secondary trace fossils,Minor trace fossils,Lithological asseccories,Diagenetic structure,Macrofossil,Macrofossil abundance name,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,DOMINANT clast roundness,Clast comments,Matrix comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
362-U1481A-20R-CC-A,3,7,1327,1327.04,IIC,,silt [S54],with clay [2014],silt,silt with clay,silt with clay,,GLEY 1 5/N (gray),irregular,sharp,irregular sharp,horizontal,thin bed [B01],partially lithified,silt [W22_1],2,non-graded,well [2014],,,,planar lamination,absent [DB91],1,,,,,,,,,,,,,,,,362,U1481,A,20,R,CC,A,
362-U1481A-20R-CC-A,7,16,1327.04,1327.13,IIC,,alternating silt and clay layers,,alternating silt and clay layers,alternating silt and clay layers,alternating silt and clay layers,,GLEY 1 3/N (very dark gray),,,,,medium bed [B01],lithified [B84],silt [W22_1],2,normal grading,well [2014],clay [W22_1],silt [W22_1],"individual beds are normally graded. silt lamina at 13, 15 cm.",planar lamination,slight [DB91],3,Nereites,,,,,,,,,,,,,,,362,U1481,A,20,R,CC,A,
362-U1481A-21R-1-A,0,7.5,1334.5,1334.575,IIC,,sand-silt-clay [S54],,sand-silt-clay,sand-silt-clay,sand-silt-clay,,,,,,,,,,,,,,,mixed up by coring,,,,,,,,,,,,,,,,,,,362,U1481,A,21,R,1,A,
362-U1481A-21R-1-A,7.5,31,1334.575,1334.81,IIC,,fine sand [USGS],,fine sand,fine sand,fine sand,,GLEY 1 4/N (dark gray),planar,sharp,planar sharp,horizontal,medium bed [B01],partially lithified,medium sand [W22_2],5,non-graded,moderate [2014],,,,structureless,absent [DB91],1,,,,rip-up clast [NMJ05],,plant fragment,R [A85],,,,,,,,,362,U1481,A,21,R,1,A,
362-U1481A-21R-1-A,31,41,1334.81,1334.91,IIC,,alternating silt and clay layers,,alternating silt and clay layers,alternating silt and clay layers,alternating silt and clay layers,,GLEY 1 3/N (very dark gray),planar,sharp,planar sharp,horizontal,thin bed [B01],lithified [B84],silt [W22_1],2,normal grading,well [2014],clay [W22_1],silt [W22_1],"individual beds are normally graded. Silt lamina at 32, 36, 37, 38 cm. Silt lamina at 38 cm contains abundant plant fragments.",planar lamination,sparse [DB91],2,Nereites,,,,,,,,,,,,,,,362,U1481,A,21,R,1,A,
362-U1481A-21R-1-A,41,46.5,1334.91,1334.965,IIC,,fine sand [USGS],,fine sand,fine sand,fine sand,,GLEY 1 4/N (dark gray),planar,sharp,planar sharp,horizontal,thin bed [B01],partially lithified,fine sand [W22_2],4,normal grading,moderate [2014],silt [W22_1],fine sand [W22_2],,structureless,absent [DB91],1,,,,,,plant fragment,R [A85],,,,,,,,,362,U1481,A,21,R,1,A,
362-U1481A-21R-1-A,46.5,47,1334.965,1334.97,IIC,,silty clay [S54],,silty clay,silty clay,silty clay,,GLEY 1 2.5/N (black),planar,sharp,planar sharp,horizontal,thin lamina [B01],lithified [B84],silt [W22_1],2,non-graded,well [2014],,,,structureless,absent [DB91],1,,,,,,,,,,,,,,,,362,U1481,A,21,R,1,A,
362-U1481A-21R-1-A,47,82,1334.97,1335.32,IIC,,fine sand [USGS],,fine sand,fine sand,fine sand,,GLEY 1 4/N (dark gray),planar,sharp,planar sharp,horizontal,thin bed [B01],partially lithified,medium sand [W22_2],5,non-graded,moderate [2014],,,,structureless,absent [DB91],1,,,,rip-up clast [NMJ05],,plant fragment,R [A85],,,,,,,,,362,U1481,A,21,R,1,A,
362-U1481A-21R-2-A,0,9,1335.57,1335.66,IIC,,alternating silt and clay layers,,alternating silt and clay layers,alternating silt and clay layers,alternating silt and clay layers,,GLEY 1 3/N (very dark gray),irregular,sharp,irregular sharp,horizontal,thin bed [B01],lithified [B84],silt [W22_1],2,normal grading,well [2014],clay [W22_1],silt [W22_1],individual beds are normally graded. Silt lamina at 5 cm.,planar lamination,absent [DB91],1,,,,,,,,,,,,,,,,362,U1481,A,21,R,2,A,
362-U1481A-21R-2-A,9,20,1335.66,1335.77,IIC,,very fine sand [F54],,very fine sand,very fine sand,very fine sand,,GLEY 1 4/N (dark gray),planar,gradational,planar gradational,horizontal,medium bed [B01],partially lithified,fine sand [W22_2],4,normal grading,moderate [2014],silt [W22_1],very fine sand [W22_2],,structureless,absent [DB91],1,,,,,,,,,,,,,,,,362,U1481,A,21,R,2,A,
362-U1481A-21R-2-A,20,28,1335.77,1335.85,IIC,,fine sand [USGS],,fine sand,fine sand,fine sand,,GLEY 1 4/N (dark gray),planar,sharp,planar sharp,horizontal,thin bed [B01],partially lithified,medium sand [W22_2],5,normal grading,moderate [2014],very fine sand [W22_2],medium sand [W22_2],,structureless,absent [DB91],1,,,,,,plant fragment,R [A85],,,,,,,,,362,U1481,A,21,R,2,A,
362-U1481A-21R-2-A,28,31,1335.85,1335.88,IIC,,silty clay [S54],,silty clay,silty clay,silty clay,,GLEY 1 3/N (very dark gray),planar,gradational,planar gradational,horizontal,thin bed [B01],lithified [B84],silt [W22_1],2,normal grading,well [2014],clay [W22_1],silt [W22_1],,,,,,,,,,,,,,,,,,,,362,U1481,A,21,R,2,A,
362-U1481A-21R-2-A,31,46,1335.88,1336.03,IIC,,very fine sand [F54],,very fine sand,very fine sand,very fine sand,,GLEY 1 4/N (dark gray),planar,sharp,planar sharp,horizontal,medium bed [B01],partially lithified,fine sand [W22_2],4,normal grading,moderate [2014],silt [W22_1],very fine sand [W22_2],,structureless,absent [DB91],1,,,,,,plant fragment,R [A85],,,,,,,,,362,U1481,A,21,R,2,A,
362-U1481A-21R-2-A,46,62,1336.03,1336.19,IIC,,alternating silt and clay layers,,alternating silt and clay layers,alternating silt and clay layers,alternating silt and clay layers,,GLEY 1 3/N (very dark gray),planar,sharp,planar sharp,horizontal,medium bed [B01],lithified [B84],silt [W22_1],2,normal grading,well [2014],clay [W22_1],silt [W22_1],"individual beds are normally graded. Silt lamina at 48, 51-53.5, 58, 62 cm.",planar lamination,slight [DB91],3,Chondrites,,,,,serpulid,R [A85],,,,,,,,,362,U1481,A,21,R,2,A,
362-U1481A-21R-2-A,62,71,1336.19,1336.28,IIC,,fine sand [USGS],,fine sand,fine sand,fine sand,,GLEY 1 4/N (dark gray),planar,sharp,planar sharp,horizontal,thin bed [B01],partially lithified,fine sand [W22_2],4,normal grading,moderate [2014],silt [W22_1],fine sand [W22_2],,structureless,absent [DB91],1,,,,,,plant fragment,R [A85],,,,,,,,,362,U1481,A,21,R,2,A,
362-U1481A-21R-2-A,71,89,1336.28,1336.46,IIC,,silty clay [S54],,silty clay,silty clay,silty clay,,GLEY 1 3/N (very dark gray),planar,sharp,planar sharp,horizontal,medium bed [B01],lithified [B84],silt [W22_1],2,normal grading,well [2014],clay [W22_1],silt [W22_1],,planar lamination,slight [DB91],3,Chondrites,,,,,,,,,,,,,,,362,U1481,A,21,R,2,A,
362-U1481A-21R-2-A,89,121.5,1336.46,1336.785,IIC,,very fine sand [F54],,very fine sand,very fine sand,very fine sand,,GLEY 1 4/N (dark gray),planar,sharp,planar sharp,horizontal,thick bed [B01],partially lithified,fine sand [W22_2],4,normal grading,moderate [2014],silt [W22_1],very fine sand [W22_2],,load structure,absent [DB91],1,,,,rip-up clast [NMJ05],,plant fragment,R [A85],,,,,,,,,362,U1481,A,21,R,2,A,
362-U1481A-21R-2-A,121.5,136,1336.785,1336.93,IIC,,alternating silt and clay layers,,alternating silt and clay layers,alternating silt and clay layers,alternating silt and clay layers,,GLEY 1 3/N (very dark gray),planar,sharp,planar sharp,horizontal,medium bed [B01],lithified [B84],silt [W22_1],2,normal grading,well [2014],clay [W22_1],silt [W22_1],"individual beds are normally graded. Silt lamina at 124, 134, 136 cm.",planar lamination,absent [DB91],1,,,,,,,,,,,,,,,,362,U1481,A,21,R,2,A,
362-U1481A-21R-2-A,136,150,1336.93,1337.07,IIC,,very fine sand [F54],,very fine sand,very fine sand,very fine sand,,GLEY 1 4/N (dark gray),planar,sharp,planar sharp,horizontal,thick bed [B01],partially lithified,fine sand [W22_2],4,normal grading,moderate [2014],silt [W22_1],very fine sand [W22_2],,structureless,absent [DB91],1,,,,,,plant fragment,R [A85],,,,,,,,,362,U1481,A,21,R,2,A,
362-U1481A-21R-3-A,0,5,1337.07,1337.12,IIC,,very fine sand [F54],,very fine sand,very fine sand,very fine sand,,GLEY 1 4/N (dark gray),planar,sharp,planar sharp,horizontal,thin bed [B01],partially lithified,medium sand [W22_2],5,non-graded,moderate [2014],,,disturbed by coring.,structureless,absent [DB91],1,,,,rip-up clast [NMJ05],,plant fragment,Tr [A85],,,,,,,,,362,U1481,A,21,R,3,A,
362-U1481A-21R-3-A,5,7,1337.12,1337.14,IIC,,alternating silt and clay layers,,alternating silt and clay layers,alternating silt and clay layers,alternating silt and clay layers,,GLEY 1 3/N (very dark gray),planar,sharp,planar sharp,horizontal,very thin bed [B01],lithified [B84],silt [W22_1],2,normal grading,well [2014],clay [W22_1],silt [W22_1],individual beds are normally graded. silt lamina at 7 cm.,planar lamination,absent [DB91],1,,,,,,,,,,,,,,,,362,U1481,A,21,R,3,A,
362-U1481A-21R-3-A,7,30,1337.14,1337.37,IIC,,very fine sand [F54],,very fine sand,very fine sand,very fine sand,,GLEY 1 4/N (dark gray),wavy,sharp,wavy sharp,horizontal,medium bed [B01],partially lithified,medium sand [W22_2],5,non-graded,moderate [2014],,,disturbed by coring,structureless,absent [DB91],1,,,,rip-up clast [NMJ05],,plant fragment,Tr [A85],,,,,,,,,362,U1481,A,21,R,3,A,
362-U1481A-21R-3-A,30,45,1337.37,1337.52,IIC,,alternating silt and clay layers,,alternating silt and clay layers,alternating silt and clay layers,alternating silt and clay layers,,GLEY 1 3/N (very dark gray),planar,gradational,planar gradational,horizontal,medium bed [B01],lithified [B84],silt [W22_1],2,normal grading,well [2014],clay [W22_1],silt [W22_1],"individual beds are normally graded. silt lamina at 31.5, 39, 41, 44-45 cm.",planar lamination,moderate [DB91],4,Nereites,,,,,,,,,,,,,,,362,U1481,A,21,R,3,A,
362-U1481A-21R-3-A,45,61,1337.52,1337.68,IIC,,very fine sand [F54],,very fine sand,very fine sand,very fine sand,,GLEY 1 4/N (dark gray),planar,sharp,planar sharp,sub-horizontal,medium bed [B01],partially lithified,medium sand [W22_2],5,normal grading,moderate [2014],silt [W22_1],fine sand [W22_2],,structureless,absent [DB91],1,,,,,,plant fragment,R [A85],,,,,,,,,362,U1481,A,21,R,3,A,
362-U1481A-21R-3-A,61,109.5,1337.68,1338.165,IIC,,alternating silt and clay layers,,alternating silt and clay layers,alternating silt and clay layers,alternating silt and clay layers,,GLEY 1 3/N (very dark gray),planar,sharp,planar sharp,horizontal,medium bed [B01],lithified [B84],silt [W22_1],2,normal grading,well [2014],clay [W22_1],silt [W22_1],"individual beds are normally graded. silt lamina at 65, 70.5, 78-79.5, 85, 88, 91, 98, 101, 109 cm.",planar lamination,sparse [DB91],2,Nereites,,,,,,,,,,,,,,,362,U1481,A,21,R,3,A,
362-U1481A-21R-3-A,109.5,130,1338.165,1338.37,IIC,very fine,sandstone [S54],,very fine sandstone,very fine sandstone,sandstone,,GLEY 2 4/5B (dark bluish gray),irregular,sharp,irregular sharp,horizontal,thick bed [B01],lithified [B84],fine sand [W22_2],4,non-graded,moderate [2014],,,carbonate cemented sandstone,structureless,absent [DB91],1,,,,,,,,,,,,,,,,362,U1481,A,21,R,3,A,
362-U1481A-21R-3-A,130,134,1338.37,1338.41,IIC,,silty clay [S54],,silty clay,silty clay,silty clay,,GLEY 1 3/N (very dark gray),,,,,,lithified [B84],silt [W22_1],2,normal grading,well [2014],clay [W22_1],silt [W22_1],,structureless,absent [DB91],1,,,,,,,,,,,,,,,,362,U1481,A,21,R,3,A,
362-U1481A-21R-CC-A,0,17,1338.41,1338.58,IIC,,very fine sand [F54],,very fine sand,very fine sand,very fine sand,,GLEY 1 4/N (dark gray),,,,,,partially lithified,fine sand [W22_2],4,non-graded,moderate [2014],,,,convolute bedded,absent [DB91],1,,,,rip-up clast [NMJ05],,plant fragment,Tr [A85],,,,,,,,,362,U1481,A,21,R,CC,A,
362-U1481A-22R-1-A,0,66.5,1344.3,1344.965,IIC,,very fine sand [F54],with carbonate allochems [F80],very fine sand,very fine sand with carbonate allochems,very fine sand with carbonate allochems,,GLEY 1 4/N (dark gray),planar,sharp,planar sharp,horizontal,thick bed [B01],partially lithified,fine sand [W22_2],4,non-graded,poor [2014],,,,convolute bedded,absent [DB91],1,,,,rip-up clast [NMJ05],,plant fragment,R [A85],,,,,,,,,362,U1481,A,22,R,1,A,
362-U1481A-22R-1-A,66.5,77,1344.965,1345.07,IIC,,alternating silt and clay layers,with carbonate allochems [F80],alternating silt and clay layers,alternating silt and clay layers with carbonate allochems,alternating silt and clay layers with carbonate allochems,,GLEY 1 3/N (very dark gray),planar,gradational,planar gradational,horizontal,medium bed [B01],lithified [B84],silt [W22_1],2,normal grading,well [2014],clay [W22_1],silt [W22_1],"individual beds are normally graded. silt lamina at 68, 71, 74 cm. silt lamina at 68 cm contains moderate plant fragments.",planar lamination,sparse [DB91],2,Chondrites,,,,,plant fragment,R [A85],,,,,,,,,362,U1481,A,22,R,1,A,
362-U1481A-22R-1-A,77,105,1345.07,1345.35,IIC,,very fine sand [F54],with carbonate allochems [F80],very fine sand,very fine sand with carbonate allochems,very fine sand with carbonate allochems,,GLEY 1 4/N (dark gray),planar,sharp,planar sharp,horizontal,medium bed [B01],partially lithified,fine sand [W22_2],4,normal grading,moderate [2014],silt [W22_1],very fine sand [W22_2],,structureless,absent [DB91],1,,,,rip-up clast [NMJ05],,plant fragment,R [A85],,,,,,,,,362,U1481,A,22,R,1,A,
362-U1481A-22R-2-A,0,1,1345.35,1345.36,IIC,,fine sand [USGS],with carbonate allochems [F80],fine sand,fine sand with carbonate allochems,fine sand with carbonate allochems,,GLEY 1 4/N (dark gray),wavy,sharp,wavy sharp,horizontal,,partially lithified,fine sand [W22_2],4,non-graded,moderate [2014],,,,load structure,,,,,,,,,,,,,,,,,,362,U1481,A,22,R,2,A,
362-U1481A-22R-2-A,1,13.5,1345.36,1345.485,IIC,,alternating silt and clay layers,with carbonate allochems [F80],alternating silt and clay layers,alternating silt and clay layers with carbonate allochems,alternating silt and clay layers with carbonate allochems,,GLEY 1 3/N (very dark gray),planar,gradational,planar gradational,horizontal,medium bed [B01],lithified [B84],silt [W22_1],2,normal grading,well [2014],clay [W22_1],silt [W22_1],"individual beds are normally graded. silt lamina at 68, 71, 74 cm.",planar lamination,sparse [DB91],2,Nereites,,,,,,,,,,,,,,,362,U1481,A,22,R,2,A,
362-U1481A-22R-2-A,13.5,14.5,1345.485,1345.495,IIC,,fine sand [USGS],with carbonate allochems [F80],fine sand,fine sand with carbonate allochems,fine sand with carbonate allochems,,GLEY 1 4/N (dark gray),planar,sharp,planar sharp,horizontal,very thin bed [B01],partially lithified,medium sand [W22_2],5,non-graded,poor [2014],,,,structureless,absent [DB91],1,,,,,,plant fragment,R [A85],,,,,,,,,362,U1481,A,22,R,2,A,
362-U1481A-22R-2-A,14.5,28,1345.495,1345.63,IIC,,alternating silt and clay layers,with carbonate allochems [F80],alternating silt and clay layers,alternating silt and clay layers with carbonate allochems,alternating silt and clay layers with carbonate allochems,,GLEY 1 3/N (very dark gray),planar,gradational,planar gradational,horizontal,medium bed [B01],lithified [B84],silt [W22_1],2,normal grading,well [2014],clay [W22_1],silt [W22_1],"individual beds are normally graded. silt lamina at 68, 71, 74 cm.",planar lamination,sparse [DB91],2,Nereites,,,,,,,,,,,,,,,362,U1481,A,22,R,2,A,
362-U1481A-22R-2-A,28,29,1345.63,1345.64,IIC,,fine sand [USGS],with carbonate allochems [F80],fine sand,fine sand with carbonate allochems,fine sand with carbonate allochems,,GLEY 1 4/N (dark gray),planar,sharp,planar sharp,horizontal,very thin bed [B01],partially lithified,medium sand [W22_2],5,non-graded,poor [2014],,,,structureless,absent [DB91],1,,,,,,plant fragment,R [A85],,,,,,,,,362,U1481,A,22,R,2,A,
362-U1481A-22R-2-A,29,54,1345.64,1345.89,IIC,,alternating silt and clay layers,with carbonate allochems [F80],alternating silt and clay layers,alternating silt and clay layers with carbonate allochems,alternating silt and clay layers with carbonate allochems,,GLEY 1 3/N (very dark gray),planar,gradational,planar gradational,horizontal,medium bed [B01],lithified [B84],silt [W22_1],2,normal grading,well [2014],clay [W22_1],silt [W22_1],"individual beds are normally graded. silt lamina at 68, 71, 74 cm.",planar lamination,sparse [DB91],2,Nereites,,,,,,,,,,,,,,,362,U1481,A,22,R,2,A,
362-U1481A-22R-2-A,54,60,1345.89,1345.95,IIC,,fine sand [USGS],with carbonate allochems [F80],fine sand,fine sand with carbonate allochems,fine sand with carbonate allochems,,GLEY 1 4/N (dark gray),planar,sharp,planar sharp,horizontal,thin bed [B01],partially lithified,medium sand [W22_2],5,non-graded,poor [2014],,,,structureless,absent [DB91],1,,,,,,plant fragment,R [A85],,,,,,,,,362,U1481,A,22,R,2,A,
362-U1481A-22R-2-A,60,65,1345.95,1346,IIC,,silty clay [S54],with carbonate allochems [F80],silty clay,silty clay with carbonate allochems,silty clay with carbonate allochems,,GLEY 1 3/N (very dark gray),planar,gradational,planar gradational,horizontal,medium bed [B01],lithified [B84],silt [W22_1],2,normal grading,well [2014],clay [W22_1],silt [W22_1],"individual beds are normally graded. silt lamina at 68, 71, 74 cm.",planar lamination,sparse [DB91],2,Nereites,,,,,,,,,,,,,,,362,U1481,A,22,R,2,A,
362-U1481A-22R-3-A,0,34.5,1346.2,1346.545,IIC,,very fine sand [F54],with carbonate allochems [F80],very fine sand,very fine sand with carbonate allochems,very fine sand with carbonate allochems,,GLEY 1 4/N (dark gray),planar,sharp,planar sharp,sub-horizontal,thick bed [B01],partially lithified,fine sand [W22_2],4,normal grading,moderate [2014],very fine sand [W22_2],fine sand [W22_2],,structureless,absent [DB91],1,,,,rip-up clast [NMJ05],,plant fragment,R [A85],,,,,,,,,362,U1481,A,22,R,3,A,
362-U1481A-22R-3-A,34.5,42,1346.545,1346.62,IIC,,alternating silt and clay layers,with carbonate allochems [F80],alternating silt and clay layers,alternating silt and clay layers with carbonate allochems,alternating silt and clay layers with carbonate allochems,,GLEY 1 3/N (very dark gray),planar,gradational,planar gradational,horizontal,thin bed [B01],lithified [B84],silt [W22_1],2,normal grading,well [2014],clay [W22_1],silt [W22_1],"individual beds are normally graded. silt lamina at 37, 42 cm.",planar lamination,sparse [DB91],2,Chondrites,,,,,plant fragment,Tr [A85],,,,,,,,,362,U1481,A,22,R,3,A,
362-U1481A-22R-3-A,42,47.5,1346.62,1346.675,IIC,,very fine sand [F54],with carbonate allochems [F80],very fine sand,very fine sand with carbonate allochems,very fine sand with carbonate allochems,,GLEY 1 4/N (dark gray),planar,sharp,planar sharp,horizontal,thick bed [B01],partially lithified,fine sand [W22_2],4,normal grading,moderate [2014],silt [W22_1],very fine sand [W22_2],,structureless,absent [DB91],1,,,,rip-up clast [NMJ05],,plant fragment,R [A85],,,,,,,,,362,U1481,A,22,R,3,A,
362-U1481A-22R-3-A,47.5,66,1346.675,1346.86,IIC,very fine,sandstone [S54],with carbonate allochems [F80],very fine sandstone,very fine sandstone with carbonate allochems,sandstone with carbonate allochems,,GLEY 2 4/5B (dark bluish gray),irregular,sharp,irregular sharp,horizontal,thick bed [B01],lithified [B84],fine sand [W22_2],4,non-graded,moderate [2014],,,carbonate cemented sandstone,structureless,absent [DB91],1,,,,,,,,,,,,,,,,362,U1481,A,22,R,3,A,
362-U1481A-22R-3-A,66,69,1346.86,1346.89,IIC,,very fine sand [F54],with carbonate allochems [F80],very fine sand,very fine sand with carbonate allochems,very fine sand with carbonate allochems,,GLEY 1 4/N (dark gray),planar,sharp,planar sharp,horizontal,thick bed [B01],partially lithified,fine sand [W22_2],4,normal grading,moderate [2014],silt [W22_1],very fine sand [W22_2],,structureless,absent [DB91],1,,,,rip-up clast [NMJ05],,plant fragment,R [A85],,,,,,,,,362,U1481,A,22,R,3,A,
362-U1481A-22R-3-A,69,96,1346.89,1347.16,IIC,,alternating silt and clay layers,with carbonate allochems [F80],alternating silt and clay layers,alternating silt and clay layers with carbonate allochems,alternating silt and clay layers with carbonate allochems,,GLEY 1 3/N (very dark gray),planar,sharp,planar sharp,horizontal,medium bed [B01],lithified [B84],silt [W22_1],2,normal grading,well [2014],clay [W22_1],silt [W22_1],"individual beds are normally graded. Silt lamina at 75, 77, 78-85.5, 90 cm. Silt at 90 cm shows convoluted lamina.",,,,,,,,,,,,,,,,,,,362,U1481,A,22,R,3,A,
362-U1481A-22R-3-A,96,115.5,1347.16,1347.355,IIC,,very fine sand [F54],with carbonate allochems [F80],very fine sand,very fine sand with carbonate allochems,very fine sand with carbonate allochems,,GLEY 1 4/N (dark gray),planar,sharp,planar sharp,horizontal,thick bed [B01],partially lithified,fine sand [W22_2],4,normal grading,moderate [2014],silt [W22_1],very fine sand [W22_2],,structureless,absent [DB91],1,,,,rip-up clast [NMJ05],,plant fragment,R [A85],,,,,,,,,362,U1481,A,22,R,3,A,
362-U1481A-22R-3-A,115.5,130,1347.355,1347.5,IIC,,alternating silt and clay layers,with carbonate allochems [F80],alternating silt and clay layers,alternating silt and clay layers with carbonate allochems,alternating silt and clay layers with carbonate allochems,,GLEY 1 3/N (very dark gray),planar,sharp,planar sharp,horizontal,medium bed [B01],lithified [B84],silt [W22_1],2,normal grading,well [2014],clay [W22_1],silt [W22_1],"individual beds are normally graded. silt lamina at 117.5, 120, 123, 125, 126.5 cm.",,,,,,,,,,,,,,,,,,,362,U1481,A,22,R,3,A,
362-U1481A-22R-4-A,0,9,1347.74,1347.83,IIC,,very fine sand [F54],with carbonate allochems [F80],very fine sand,very fine sand with carbonate allochems,very fine sand with carbonate allochems,,GLEY 1 4/N (dark gray),planar,sharp,planar sharp,horizontal,thin bed [B01],partially lithified,very fine sand [W22_2],3,non-graded,moderate [2014],,,,structureless,,,,,,,,plant fragment,Tr [A85],,,,,,,,,362,U1481,A,22,R,4,A,
362-U1481A-22R-4-A,9,10,1347.83,1347.84,IIC,,fine sand [USGS],with carbonate allochems [F80],fine sand,fine sand with carbonate allochems,fine sand with carbonate allochems,,GLEY 1 4/N (dark gray),planar,sharp,planar sharp,horizontal,very thin bed [B01],partially lithified,fine sand [W22_2],4,non-graded,moderate [2014],silt [W22_1],very fine sand [W22_2],,structureless,absent [DB91],1,,,,,,plant fragment,A [A85],,,,,,,,,362,U1481,A,22,R,4,A,
362-U1481A-22R-4-A,10,23,1347.84,1347.97,IIC,,alternating silt and clay layers,with carbonate allochems [F80],alternating silt and clay layers,alternating silt and clay layers with carbonate allochems,alternating silt and clay layers with carbonate allochems,,GLEY 1 3/N (very dark gray),irregular,gradational,irregular gradational,sub-horizontal,medium bed [B01],lithified [B84],silt [W22_1],2,normal grading,moderate [2014],clay [W22_1],silt [W22_1],"individual beds are normally graded. silt lamina at 14.5, 18 cm.",planar lamination,sparse [DB91],2,Nereites,,,,,,,,,,,,,,,362,U1481,A,22,R,4,A,
362-U1481A-22R-4-A,23,61,1347.97,1348.35,IIC,,very fine sand [F54],with carbonate allochems [F80],very fine sand,very fine sand with carbonate allochems,very fine sand with carbonate allochems,,GLEY 1 4/N (dark gray),planar,sharp,planar sharp,horizontal,thick bed [B01],partially lithified,fine sand [W22_2],4,normal grading,moderate [2014],silt [W22_1],fine sand [W22_2],,structureless,absent [DB91],1,,,,rip-up clast [NMJ05],,plant fragment,R [A85],,,,,,,,,362,U1481,A,22,R,4,A,
362-U1481A-22R-4-A,61,102,1348.35,1348.76,IIC,,alternating silt and clay layers,with carbonate allochems [F80],alternating silt and clay layers,alternating silt and clay layers with carbonate allochems,alternating silt and clay layers with carbonate allochems,,GLEY 1 3/N (very dark gray),irregular,sharp,irregular sharp,sub-horizontal,thick bed [B01],lithified [B84],silt [W22_1],2,normal grading,moderate [2014],clay [W22_1],silt [W22_1],"individual beds are normally graded. silt lamina at 64, 68.5, 72, 78, 82, 87, 89, 97.5 cm.",,,,,,,,,,,,,,,,,,,362,U1481,A,22,R,4,A,
362-U1481A-22R-4-A,102,106,1348.76,1348.8,IIC,,very fine sand [F54],with carbonate allochems [F80],very fine sand,very fine sand with carbonate allochems,very fine sand with carbonate allochems,,GLEY 1 4/N (dark gray),irregular,sharp,irregular sharp,horizontal,thin bed [B01],partially lithified,fine sand [W22_2],4,normal grading,moderate [2014],silt [W22_1],very fine sand [W22_2],,planar lamination,absent [DB91],1,,,,,,,,,,,,,,,,362,U1481,A,22,R,4,A,
362-U1481A-22R-4-A,106,113,1348.8,1348.87,IIC,,silty clay [S54],with carbonate allochems [F80],silty clay,silty clay with carbonate allochems,silty clay with carbonate allochems,,GLEY 1 3/N (very dark gray),planar,gradational,planar gradational,horizontal,thin bed [B01],lithified [B84],silt [W22_1],2,normal grading,moderate [2014],clay [W22_1],silt [W22_1],individual beds are normally graded.,planar lamination,absent [DB91],1,,,,,,,,,,,,,,,,362,U1481,A,22,R,4,A,
362-U1481A-22R-4-A,113,126,1348.87,1349,IIC,,fine sand [USGS],with carbonate allochems [F80],fine sand,fine sand with carbonate allochems,fine sand with carbonate allochems,,GLEY 1 4/N (dark gray),planar,sharp,planar sharp,horizontal,medium bed [B01],partially lithified,fine sand [W22_2],4,non-graded,moderate [2014],,,,structureless,absent [DB91],1,,,,,,,,,,,,,,,,362,U1481,A,22,R,4,A,
362-U1481A-22R-4-A,126,134,1349,1349.08,IIC,,silty clay [S54],with carbonate allochems [F80],silty clay,silty clay with carbonate allochems,silty clay with carbonate allochems,,GLEY 1 3/N (very dark gray),,,,,,lithified [B84],silt [W22_1],2,non-graded,,,,,structureless,absent [DB91],1,,,,,,,,,,,,,,,,362,U1481,A,22,R,4,A,
362-U1481A-23R-1-A,0,4.5,1354,1354.045,IIC,,sand-silt-clay [S54],,sand-silt-clay,sand-silt-clay,sand-silt-clay,,,,,,,,,,,,,,,mixed up by coring,,,,,,,,,,,,,,,,,,,362,U1481,A,23,R,1,A,
362-U1481A-23R-1-A,4.5,13,1354.045,1354.13,IIC,,alternating silt and clay layers,with carbonate allochems [F80],alternating silt and clay layers,alternating silt and clay layers with carbonate allochems,alternating silt and clay layers with carbonate allochems,,GLEY 1 3/N (very dark gray),irregular,gradational,irregular gradational,horizontal,thin bed [B01],lithified [B84],silt [W22_1],2,normal grading,well [2014],clay [W22_1],silt [W22_1],individual beds are normally graded. silt lamina at 13 cm.,planar lamination,absent [DB91],1,,,,,,,,,,,,,,,,362,U1481,A,23,R,1,A,
362-U1481A-23R-1-A,13,30,1354.13,1354.3,IIC,very fine,sandstone [S54],,very fine sandstone,very fine sandstone,sandstone,,GLEY 2 4/5B (dark bluish gray),irregular,sharp,irregular sharp,horizontal,medium bed [B01],lithified [B84],fine sand [W22_2],4,non-graded,moderate [2014],,,carbonate cemented sandstone,structureless,absent [DB91],1,,,,,,,,,,,,,,,,362,U1481,A,23,R,1,A,
