Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology name,Grain size max. [mm],Lithification,Lithification rank,Lithology [%],Lithology classification,COMMENT,File Data,Unnamed: 24,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
317-U1352D-8H-4-A,317,U1352,D,8,8-4,H,4,A,75,77,65.75,65.77,,Muddy Sand [S54-Leg183],,Muddy Sand,,,,,"Shepard, 1954 - Leg 183 revision",,,,,,
317-U1352D-8H-4-A,317,U1352,D,8,8-4,H,4,A,77,86,65.77,65.86,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,,
317-U1352D-8H-4-A,317,U1352,D,8,8-4,H,4,A,86,87,65.86,65.87,,Muddy Sand [S54-Leg183],,Muddy Sand,,,,,"Shepard, 1954 - Leg 183 revision",,,,,,
317-U1352D-8H-4-A,317,U1352,D,8,8-4,H,4,A,87,150,65.87,66.5,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,,
317-U1352D-8H-5-A,317,U1352,D,8,8-5,H,5,A,0,150,66.5,68.0,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,,
317-U1352D-8H-6-A,317,U1352,D,8,8-6,H,6,A,0,100,68.0,69.0,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,,
317-U1352D-8H-7-A,317,U1352,D,8,8-7,H,7,A,0,60,69.0,69.6,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,,
317-U1352D-8H-CC-A,317,U1352,D,8,8-CC,H,CC,A,0,43,69.6,70.03,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,,
317-U1352D-9H-1-A,317,U1352,D,9,9-1,H,1,A,0,150,70.0,71.5,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",homogeneous silty mud (N5) and clayey mud (N6) interbedded,,,,,
317-U1352D-9H-2-A,317,U1352,D,9,9-2,H,2,A,0,150,71.5,73.0,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",homogeneous silty mud (N5) and clayey mud (N6) interbedded,,,,,
317-U1352D-9H-3-A,317,U1352,D,9,9-3,H,3,A,0,150,73.0,74.5,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",homogeneous silty mud (N5) and clayey mud (N6) interbedded,,,,,
317-U1352D-9H-4-A,317,U1352,D,9,9-4,H,4,A,0,150,74.5,76.0,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",homogeneous silty mud (N5) and clayey mud (N6) interbedded,,,,,
317-U1352D-9H-5-A,317,U1352,D,9,9-5,H,5,A,0,150,76.0,77.5,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",homogeneous silty mud (N5) and clayey mud (N6) interbedded,,,,,
317-U1352D-9H-6-A,317,U1352,D,9,9-6,H,6,A,0,120,77.5,78.7,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",homogeneous silty mud (N5) and clayey mud (N6) interbedded,,,,,
317-U1352D-9H-7-A,317,U1352,D,9,9-7,H,7,A,0,59,78.7,79.29,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",homogeneous silty mud (N5) and clayey mud (N6) interbedded,,,,,
317-U1352D-9H-CC-A,317,U1352,D,9,9-CC,H,CC,A,0,50,79.29,79.79,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",homogeneous silty mud (N5) and clayey mud (N6) interbedded,,,,,
317-U1352D-10H-1-A,317,U1352,D,10,10-1,H,1,A,0,22,79.5,79.72,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,,
317-U1352D-10H-1-A,317,U1352,D,10,10-1,H,1,A,22,38,79.72,79.88,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision",,,,,,
317-U1352D-10H-1-A,317,U1352,D,10,10-1,H,1,A,38,95,79.88,80.45,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,,
317-U1352D-10H-1-A,317,U1352,D,10,10-1,H,1,A,95,112,80.45,80.62,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision",,,,,,
317-U1352D-10H-1-A,317,U1352,D,10,10-1,H,1,A,112,150,80.62,81.0,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,,
317-U1352D-10H-2-A,317,U1352,D,10,10-2,H,2,A,0,5,81.0,81.05,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,,
317-U1352D-10H-2-A,317,U1352,D,10,10-2,H,2,A,5,50,81.05,81.5,,Muddy Sand [S54-Leg183],,Muddy Sand,,,,,"Shepard, 1954 - Leg 183 revision",,,,,,
317-U1352D-10H-2-A,317,U1352,D,10,10-2,H,2,A,50,150,81.5,82.5,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,,
317-U1352D-10H-3-A,317,U1352,D,10,10-3,H,3,A,0,135,82.5,83.85,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,,
317-U1352D-10H-3-A,317,U1352,D,10,10-3,H,3,A,135,150,83.85,84.0,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision",,,,,,
317-U1352D-10H-4-A,317,U1352,D,10,10-4,H,4,A,0,20,84.0,84.2,,Muddy Sand [S54-Leg183],,Muddy Sand,,,,,"Shepard, 1954 - Leg 183 revision",,,,,,
317-U1352D-10H-4-A,317,U1352,D,10,10-4,H,4,A,20,150,84.2,85.5,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,,
317-U1352D-10H-5-A,317,U1352,D,10,10-5,H,5,A,0,150,85.5,87.0,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,,
317-U1352D-10H-6-A,317,U1352,D,10,10-6,H,6,A,0,130,87.0,88.3,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,,
317-U1352D-10H-CC-A,317,U1352,D,10,10-CC,H,CC,A,0,60,88.33,88.93,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,,
317-U1352D-11H-1-A,317,U1352,D,11,11-1,H,1,A,0,150,89.0,90.5,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,,
317-U1352D-11H-2-A,317,U1352,D,11,11-2,H,2,A,0,24,90.5,90.74,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,,
317-U1352D-11H-2-A,317,U1352,D,11,11-2,H,2,A,24,75,90.74,91.25,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision",,,,,,
317-U1352D-11H-2-A,317,U1352,D,11,11-2,H,2,A,75,103,91.25,91.53,,Muddy Sand [S54-Leg183],,Muddy Sand,,,,,"Shepard, 1954 - Leg 183 revision",,,,,,
317-U1352D-11H-2-A,317,U1352,D,11,11-2,H,2,A,103,150,91.53,92.0,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,,
317-U1352D-11H-3-A,317,U1352,D,11,11-3,H,3,A,0,60,92.0,92.6,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision",,,,,,
317-U1352D-11H-3-A,317,U1352,D,11,11-3,H,3,A,60,150,92.6,93.5,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,,
317-U1352D-11H-4-A,317,U1352,D,11,11-4,H,4,A,0,10,93.5,93.6,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision",,,,,,
317-U1352D-11H-4-A,317,U1352,D,11,11-4,H,4,A,10,150,93.6,95.0,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,,
317-U1352D-11H-5-A,317,U1352,D,11,11-5,H,5,A,0,150,95.0,96.5,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,,
317-U1352D-11H-6-A,317,U1352,D,11,11-6,H,6,A,0,135,96.5,97.85,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,,
317-U1352D-11H-CC-A,317,U1352,D,11,11-CC,H,CC,A,0,35,97.87,98.22,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,,
317-U1352D-12H-1-A,317,U1352,D,12,12-1,H,1,A,0,150,98.5,100.0,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision","greenish green (5GY 5/1) homogenous mud, with rare deffused and mottled clay-rich parts, with scattereed shells and shell fragments, burrows <1.5mm filled with black colored mud.  ",,,,,
317-U1352D-12H-2-A,317,U1352,D,12,12-2,H,2,A,0,150,100.0,101.5,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision","greenish green (5GY 5/1) homogenous mud, with rare deffused and mottled clay-rich parts, with scattereed shells and shell fragments, burrows <1.5mm filled with black colored mud.  ",,,,,
317-U1352D-12H-3-A,317,U1352,D,12,12-3,H,3,A,0,150,101.5,103.0,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision","greenish green (5GY 5/1) homogenous mud, with rare deffused and mottled clay-rich parts, with scattereed shells and shell fragments, burrows <1.5mm filled with black colored mud.  ",,,,,
317-U1352D-12H-4-A,317,U1352,D,12,12-4,H,4,A,0,150,103.0,104.5,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision","greenish green (5GY 5/1) homogenous mud, with rare deffused and mottled clay-rich parts, with scattereed shells and shell fragments, burrows <1.5mm filled with black colored mud.  ",,,,,
317-U1352D-12H-5-A,317,U1352,D,12,12-5,H,5,A,0,150,104.5,106.0,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision","greenish green (5GY 5/1) homogenous mud, with rare deffused and mottled clay-rich parts, with scattereed shells and shell fragments, burrows <1.5mm filled with black colored mud.  ",,,,,
317-U1352D-12H-6-A,317,U1352,D,12,12-6,H,6,A,0,140,106.0,107.4,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision","greenish green (5GY 5/1) homogenous mud, with rare deffused and mottled clay-rich parts, with scattereed shells and shell fragments, burrows <1.5mm filled with black colored mud.  ",,,,,
317-U1352D-12H-7-A,317,U1352,D,12,12-7,H,7,A,0,66,107.4,108.06,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision","greenish green (5GY 5/1) homogenous mud, with rare deffused and mottled clay-rich parts, with scattereed shells and shell fragments, burrows <1.5mm filled with black colored mud.  ",,,,,
317-U1352D-12H-CC-A,317,U1352,D,12,12-CC,H,CC,A,0,46,108.06,108.52,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision","greenish green (5GY 5/1) homogenous mud, with rare deffused and mottled clay-rich parts, with scattereed shells and shell fragments, burrows <1.5mm filled with black colored mud.  ",,,,,
317-U1352D-13H-1-A,317,U1352,D,13,13-1,H,1,A,0,150,108.0,109.5,,Mud [S54-Leg210],,Mud,,unlithified,,,"Shepard, 1954 - Leg 210 revision"," Homogeneous mud with trace to minor amounts of vf-f (mostly vf) slightly micaceous sand. Rare and scattered shell fragments are present, though locally forming intervals a few centimeters thick. The mud contains mm-sized burrows filled with moderately sorted v.f. -f (mostly vf) muddy sand.  ",,,,,
317-U1352D-13H-2-A,317,U1352,D,13,13-2,H,2,A,0,150,109.5,111.0,,Mud [S54-Leg210],,Mud,,unlithified,,,"Shepard, 1954 - Leg 210 revision"," Homogeneous mud with trace to minor amounts of vf-f (mostly vf) slightly micaceous sand. Rare and scattered shell fragments are present, though locally forming intervals a few centimeters thick. The mud contains mm-sized burrows filled with moderately sorted v.f. -f (mostly vf) muddy sand.  ",,,,,
317-U1352D-13H-3-A,317,U1352,D,13,13-3,H,3,A,0,42,111.0,111.42,,Mud [S54-Leg210],,Mud,,unlithified,,,"Shepard, 1954 - Leg 210 revision"," Homogeneous mud with trace to minor amounts of vf-f (mostly vf) slightly micaceous sand. Rare and scattered shell fragments are present, though locally forming intervals a few centimeters thick. The mud contains mm-sized burrows filled with moderately sorted v.f. -f (mostly vf) muddy sand.  ",,,,,
317-U1352D-13H-3-A,317,U1352,D,13,13-3,H,3,A,42,51,111.42,111.51,,Muddy Sand [S54-Leg183],,Muddy Sand,,unlithified,,,"Shepard, 1954 - Leg 183 revision",v.f.-f (mostly f) moderately sorted muddy calcareous sand ,,,,,
317-U1352D-13H-3-A,317,U1352,D,13,13-3,H,3,A,51,60,111.51,111.6,,Sandy Mud [S54-Leg183],,Sandy Mud,,unlithified,,,"Shepard, 1954 - Leg 183 revision",) vf-f (mostly vf) moderately to  well sorted sandy mud ,,,,,
317-U1352D-13H-3-A,317,U1352,D,13,13-3,H,3,A,60,70,111.6,111.7,,Muddy Sand [S54-Leg183],,Muddy Sand,,unlithified,,,"Shepard, 1954 - Leg 183 revision",v.f.-f (mostly f) moderately sorted muddy calcareous sand ,,,,,
317-U1352D-13H-3-A,317,U1352,D,13,13-3,H,3,A,70,112,111.7,112.12,,Mud [S54-Leg210],,Mud,,unlithified,,,"Shepard, 1954 - Leg 210 revision"," Homogeneous mud with trace to minor amounts of vf-f (mostly vf) slightly micaceous sand. Rare and scattered shell fragments are present, though locally forming intervals a few centimeters thick. The mud contains mm-sized burrows filled with moderately sorted v.f. -f (mostly vf) muddy sand.  ",,,,,
317-U1352D-13H-3-A,317,U1352,D,13,13-3,H,3,A,112,121,112.12,112.21,,Muddy Sand [S54-Leg183],,Muddy Sand,,unlithified,,,"Shepard, 1954 - Leg 183 revision",v.f.-f (mostly f) moderately sorted muddy calcareous sand ,,,,,
317-U1352D-13H-3-A,317,U1352,D,13,13-3,H,3,A,121,150,112.21,112.5,,Mud [S54-Leg210],,Mud,,unlithified,,,"Shepard, 1954 - Leg 210 revision"," Homogeneous mud with trace to minor amounts of vf-f (mostly vf) slightly micaceous sand. Rare and scattered shell fragments are present, though locally forming intervals a few centimeters thick. The mud contains mm-sized burrows filled with moderately sorted v.f. -f (mostly vf) muddy sand.  ",,,,,
317-U1352D-13H-4-A,317,U1352,D,13,13-4,H,4,A,0,62,112.5,113.12,,Mud [S54-Leg210],,Mud,,unlithified,,,"Shepard, 1954 - Leg 210 revision"," Homogeneous mud with trace to minor amounts of vf-f (mostly vf) slightly micaceous sand. Rare and scattered shell fragments are present, though locally forming intervals a few centimeters thick. The mud contains mm-sized burrows filled with moderately sorted v.f. -f (mostly vf) muddy sand.  ",,,,,
317-U1352D-13H-4-A,317,U1352,D,13,13-4,H,4,A,62,150,113.12,114.0,,Muddy Sand [S54-Leg183],,Muddy Sand,,unlithified,,,"Shepard, 1954 - Leg 183 revision",v.f.-f (mostly f) moderately sorted muddy calcareous sand.  Abundant scattered shells (usually broken),,,,,
317-U1352D-13H-5-A,317,U1352,D,13,13-5,H,5,A,0,4,114.0,114.04,,Muddy Sand [S54-Leg183],,Muddy Sand,,unlithified,,,"Shepard, 1954 - Leg 183 revision",v.f.-f (mostly f) moderately sorted muddy calcareous sand.  Abundant scattered shells (usually broken),,,,,
317-U1352D-13H-5-A,317,U1352,D,13,13-5,H,5,A,4,150,114.04,115.5,,Mud [S54-Leg210],,Mud,,unlithified,,,"Shepard, 1954 - Leg 210 revision"," Homogeneous mud with trace to minor amounts of vf-f (mostly vf) slightly micaceous sand. Rare and scattered shell fragments are present, though locally forming intervals a few centimeters thick. The mud contains mm-sized burrows filled with moderately sorted v.f. -f (mostly vf) muddy sand.  ",,,,,
317-U1352D-13H-6-A,317,U1352,D,13,13-6,H,6,A,0,140,115.5,116.9,,Mud [S54-Leg210],,Mud,,unlithified,,,"Shepard, 1954 - Leg 210 revision"," Homogeneous mud with trace to minor amounts of vf-f (mostly vf) slightly micaceous sand. Rare and scattered shell fragments are present, though locally forming intervals a few centimeters thick. The mud contains mm-sized burrows filled with moderately sorted v.f. -f (mostly vf) muddy sand.  ",,,,,
317-U1352D-13H-7-A,317,U1352,D,13,13-7,H,7,A,0,48,116.9,117.38,,Mud [S54-Leg210],,Mud,,unlithified,,,"Shepard, 1954 - Leg 210 revision"," Homogeneous mud with trace to minor amounts of vf-f (mostly vf) slightly micaceous sand. Rare and scattered shell fragments are present, though locally forming intervals a few centimeters thick. The mud contains mm-sized burrows filled with moderately sorted v.f. -f (mostly vf) muddy sand.  ",,,,,
317-U1352D-13H-7-A,317,U1352,D,13,13-7,H,7,A,48,55,117.38,117.45,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,unlithified,,,"Shepard, 1954; Wentworth, 1922","Moderately sorted vf to  med (mostly vf) shelly calcareous sand.  Scoured base, gradational top; fines upward.",,,,,
317-U1352D-13H-CC-A,317,U1352,D,13,13-CC,H,CC,A,0,4,117.45,117.49,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,unlithified,,,"Shepard, 1954; Wentworth, 1922","Moderately sorted vf to  med (mostly vf) shelly calcareous sand.  Scoured base, gradational top; fines upward.",,,,,
317-U1352D-13H-CC-A,317,U1352,D,13,13-CC,H,CC,A,4,26,117.49,117.71,,Mud [S54-Leg210],,Mud,,unlithified,,,"Shepard, 1954 - Leg 210 revision"," Homogeneous mud with trace to minor amounts of vf-f (mostly vf) slightly micaceous sand. Rare and scattered shell fragments are present, though locally forming intervals a few centimeters thick. The mud contains mm-sized burrows filled with moderately sorted v.f. -f (mostly vf) muddy sand.  ",,,,,
317-U1352D-14H-1-A,317,U1352,D,14,14-1,H,1,A,0,32,117.5,117.82,,Mud [S54-Leg210],,Mud,,soft,,,"Shepard, 1954 - Leg 210 revision",mud with a few percent sand,,,,,
317-U1352D-14H-1-A,317,U1352,D,14,14-1,H,1,A,32,46,117.82,117.96,,Muddy Sand [S54-Leg183],,Muddy Sand,,soft,,,"Shepard, 1954 - Leg 183 revision",micaceous v f muddy calcareous sand with abundant broken shell fragments,,,,,
317-U1352D-14H-1-A,317,U1352,D,14,14-1,H,1,A,46,150,117.96,119.0,,Mud [S54-Leg210],,Mud,,soft,,,"Shepard, 1954 - Leg 210 revision",,,,,,
317-U1352D-14H-2-A,317,U1352,D,14,14-2,H,2,A,0,150,119.0,120.5,,Mud [S54-Leg210],,Mud,,soft,,,"Shepard, 1954 - Leg 210 revision",,,,,,
317-U1352D-14H-3-A,317,U1352,D,14,14-3,H,3,A,0,150,120.5,122.0,,Mud [S54-Leg210],,Mud,,soft,,,"Shepard, 1954 - Leg 210 revision",,,,,,
317-U1352D-14H-4-A,317,U1352,D,14,14-4,H,4,A,0,150,122.0,123.5,,Mud [S54-Leg210],,Mud,,soft,,,"Shepard, 1954 - Leg 210 revision",,,,,,
317-U1352D-14H-5-A,317,U1352,D,14,14-5,H,5,A,0,150,123.5,125.0,,Mud [S54-Leg210],,Mud,,soft,,,"Shepard, 1954 - Leg 210 revision",,,,,,
317-U1352D-14H-6-A,317,U1352,D,14,14-6,H,6,A,0,150,125.0,126.5,,Mud [S54-Leg210],,Mud,,soft,,,"Shepard, 1954 - Leg 210 revision",,,,,,
317-U1352D-14H-7-A,317,U1352,D,14,14-7,H,7,A,0,80,126.5,127.3,,Mud [S54-Leg210],,Mud,,soft,,,"Shepard, 1954 - Leg 210 revision",,,,,,
317-U1352D-14H-CC-A,317,U1352,D,14,14-CC,H,CC,A,0,31,127.3,127.61,,Mud [S54-Leg210],,Mud,,soft,,,"Shepard, 1954 - Leg 210 revision",,,,,,
