Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix+name+suffix [read only],TEPHRA type,Amount of ash in lithology,Amount of ash in lithology rank [read only],Sediment structures,MAJ Lith. color,Bioturbation intensity,Bioturbation intensity rank [read only],Clast abundance,Number of clasts (>2mm),Clast 1 igneous -  grain size,Clast 1 igneous -  roundness,Clast 2 sediment - grain size,Clast 2 sediment - roundness,Clast 3 metamorphic - grain size,Clast 3 metamorphic - roundness,Lith. accessory shell fragment,Lith. accessory cement,Lith. accessory nodule/concretion,Lith. accessory sulfide,Lithological accessories comment,Macrofossil,MAJ Lith. prefix + name,MAJ Lith. name+suffix,MAJ Lith. abundance [%],MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank [read only],MAJ Lith. max. grain size,MAJ Lith. max. grain size rank [read only],Diagenetic constituent,Diagenetic constituent composition,Deformational structures,structure,General interval comment,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
346-U1430B-2H-7-A,0.0,17.0,17.3,17.47,,silty clay ,with foraminifers ,silty clay  with foraminifers ,,,,lamination,5Y 3/2 (dark olive gray),,,,,,,,,,,,,,,,,silty clay ,silty clay   with foraminifers ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1430,B,2,H,7,A
346-U1430B-2H-7-A,17.0,59.0,17.47,17.89,volcaniclastic bearing,silty clay ,with volcanic ash ,volcaniclastic bearing silty clay  with volcanic ash ,,,,,5GY 7/1 (light greenish gray),,,,,,,,,,,,,,,,,volcaniclastic bearing  silty clay ,silty clay   with volcanic ash ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1430,B,2,H,7,A
346-U1430B-2H-CC-A,0.0,14.0,17.89,18.03,,silty clay ,,silty clay ,,,,,,,,,,,,,,,,,,,,,,silty clay ,silty clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1430,B,2,H,CC,A
346-U1430B-3H-1-A,0.0,56.0,17.8,18.36,,silty clay ,,silty clay ,,,,color banding,5GY 5/1 (greenish gray),heavy ,3,,,,,,,,,,,,,,,silty clay ,silty clay ,70.0,,,,,,,,,,,clayey silt ,,clayey silt ,clayey silt ,clayey silt ,,30.0,,,,,100.0,,,,,,346,U1430,B,3,H,1,A
346-U1430B-3H-1-A,56.0,72.0,18.36,18.52,,tephra ,,tephra ,pumice,,,,,,,,,,,,,,,,,,,,,tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1430,B,3,H,1,A
346-U1430B-3H-1-A,72.0,150.0,18.52,19.3,,silty clay ,,silty clay ,,,,color banding,5GY 5/1 (greenish gray),heavy ,3,,,,,,,,,,,,,,,silty clay ,silty clay ,70.0,,,,,,,,,,,clayey silt ,,clayey silt ,clayey silt ,clayey silt ,,30.0,,,,,100.0,,,,,,346,U1430,B,3,H,1,A
346-U1430B-3H-2-A,0.0,13.0,19.3,19.43,,silty clay ,,silty clay ,,,,color banding,5GY 5/1 (greenish gray),heavy ,3,,,,,,,,,,,,,,,silty clay ,silty clay ,70.0,,,,,,,,,,,clayey silt ,,clayey silt ,clayey silt ,clayey silt ,,30.0,,,,,100.0,,,,,,346,U1430,B,3,H,2,A
346-U1430B-3H-2-A,13.0,18.0,19.43,19.48,,tephra ,,tephra ,pumice,,,,,,,,,,,,,,,,,,,,,tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1430,B,3,H,2,A
346-U1430B-3H-2-A,18.0,76.5,19.48,20.065,,silty clay [MMK88],,silty clay ,,,,color banding,5GY 5/1 (greenish gray),heavy [DB86],3,,,,,,,,,,,,,,,silty clay ,silty clay ,70.0,,,,,,,,,,,clayey silt [MMK88],,clayey silt ,clayey silt ,clayey silt ,,30.0,,,,,100.0,,,,,,346,U1430,B,3,H,2,A
346-U1430B-3H-2-A,25.0,100.0,19.55,20.3,,,,,,,,lamination,,none [DB86],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1430,B,3,H,2,A
