Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lith. Prefix,MAJ Lith. Principal name,Texture Rank [read only],MAJ Lith. prefix+name [read only],Lithification,Lithification rank [read only],MAJ Lith. color,MAJ Lith. ave. grain size ,Grain size rank [read only],Skeletal components MAJOR,Skeletal components MAJOR comment,Skeletal components INTERMEDIATE,Skeletal components INTERMEDIATE comment,Skeletal components MINOR,Skeletal components MINOR comment,Non-skeletal components,Non-skeletal components comment,Sedimentary structure,Diagenetic structure,Diagenetic structure comment,Layer or bedding thickness,Bioturbation intensity,Bioturbation intensity rank [read only],Bioturbation type,Bottom contact or boundary definition,Bottom contact or boundary attitude,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
359-U1466B-13R-CC-A,0,18,423.3,423.48,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,2.5Y 6/2 (light brownish gray),fine sand,4,foraminifera (planktic),,Calcareous bioclast,,,,intraclast,"Black grains (A), Glauconite (C).",,,,,complete,6,,bioturbated,,Recrystallized packstone. Fine- to medium-grained. Phycosiphon (F) concentrated in larger burrows.,,,,359,U1466,B,13,R,CC,A
359-U1466B-14R-1-A,0,54,430.5,431.04,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,2.5Y 6/2 (light brownish gray),fine sand,4,foraminifera (planktic),,Calcareous bioclast,,,,intraclast,"Black grains (A), Glauconite (C).",,mold,,,complete,6,Thalassinoides,bioturbated,horizontal,"Recrystallized packstone. Fine-grained. Thalassinodies (A), Glauconite and black minerals (P). Moldic porosity.",,,,359,U1466,B,14,R,1,A
359-U1466B-14R-1-A,54,103,431.04,431.53,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,2.5Y 6/2 (light brownish gray),fine sand,4,foraminifera (planktic),,Calcareous bioclast,,,,intraclast,"Black grains (A), Glauconite (C).",,,,,complete,6,Thalassinoides,bioturbated,horizontal,"Recrystallized packstone. Fine-grained. Thalassinodies (A) and Chondrites (P), Glauconite and black minerals (P). Moldic porosity.",,,,359,U1466,B,14,R,1,A
359-U1466B-14R-2-A,0,88,431.53,432.41,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,2.5Y 6/2 (light brownish gray),fine sand,4,foraminifera (planktic),,Calcareous bioclast,,,,intraclast,"Black grains (A), Glauconite (C).",,,,,common,4,Thalassinoides,bioturbated,horizontal,"Recrystallized packstone. Fine-grained. Thalassinodies (A), Chondrites (C) Planolites (F). Glauconite and black minerals (R).",,,,359,U1466,B,14,R,2,A
359-U1466B-15R-1-A,0,20,440.2,440.4,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,2.5Y 8/2 (pale yellow),fine sand,4,foraminifera (planktic),,Calcareous bioclast,,,,intraclast,"Black grains (A), Glauconite (C).",,,,,common,4,Thalassinoides,bioturbated,horizontal,Recrystallized packstone. Fine-grained. Benthic forams (F). Thalassinodies (A). Glauconite and black minerals (C).,,,,359,U1466,B,15,R,1,A
359-U1466B-15R-1-A,20,52,440.4,440.72,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,2.5Y 8/1 (white),fine sand,4,foraminifera (planktic),,Calcareous bioclast,,,,intraclast,"Black grains (A), Glauconite (C).",,,,,moderate,3,Thalassinoides,bioturbated,horizontal,"Recrystallized packstone. Fine-grained. Benthic forams (F). Thalassinodies (A), Chondrites (C), Phycosiphon (C). Glauconite and black minerals (C).",,,,359,U1466,B,15,R,1,A
359-U1466B-15R-1-A,52,69,440.72,440.89,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,2.5Y 8/2 (pale yellow),fine sand,4,foraminifera (planktic),,Calcareous bioclast,,,,,,,,,,common,4,Thalassinoides,bioturbated,horizontal,"Recrystallized packstone. Fine-grained. Benthic forams (F). Thalassinodies (A), Chondrites (C), Phycosiphon (C). Glauconite and black minerals (C).",,,,359,U1466,B,15,R,1,A
359-U1466B-15R-1-A,69,124,440.89,441.44,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,2.5Y 7/2 (light gray),fine sand,4,foraminifera (planktic),,Calcareous bioclast,,,,,,,,,,moderate,3,Thalassinoides,bioturbated,horizontal,"Recrystallized packstone. Fine-grained. Benthic forams (F). Thalassinodies (A), Chondrites (C), Phycosiphon (C). Glauconite and black minerals (C).",,,,359,U1466,B,15,R,1,A
359-U1466B-15R-CC-A,0,10,441.44,441.54,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,2.5Y 7/2 (light gray),fine sand,4,foraminifera (planktic),,Calcareous bioclast,,,,,,,,,,moderate,3,,,,"Recrystallized packstone. Fine-grained. Benthic forams (F). Thalassinodies (A), Chondrites (C), Phycosiphon (?). Glauconite and black minerals (C).",,,,359,U1466,B,15,R,CC,A
359-U1466B-16R-1-A,0,12,450.0,450.12,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,2.5Y 7/1 (light gray),very fine sand,3,foraminifera (planktic),,Calcareous bioclast,,foraminifera (benthic),,intraclast,Glaucanite (A) locally,,,,,moderate,3,,bioturbated,horizontal,"Recrystallized packstone. Very fine- to fine-grained. Planktonic forams (A), Benthic forams (F). Glauconite (C).",,,,359,U1466,B,16,R,1,A
359-U1466B-16R-1-A,12,16,450.12,450.16,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,2.5Y 6/1 (gray),very fine sand,3,foraminifera (planktic),,Calcareous bioclast,,foraminifera (benthic),,intraclast,Glaucanite (A) locally,,,,,moderate,3,,bioturbated,horizontal,"Recrystallized packstone. Very fine- to fine-grained. Planktonic forams (A), Benthic forams (F). Glauconite (C).",,,,359,U1466,B,16,R,1,A
359-U1466B-16R-1-A,16,70,450.16,450.7,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,2.5Y 7/1 (light gray),very fine sand,3,foraminifera (planktic),,Calcareous bioclast,,foraminifera (benthic),,,,,,,,moderate,3,,bioturbated,horizontal,"Recrystallized packstone. Very fine- to fine-grained. Planktonic forams (A), Benthic forams (F). Chondrites and Phycosiphon (C). Glauconite (C).",,,,359,U1466,B,16,R,1,A
359-U1466B-16R-CC-A,0,13,450.7,450.83,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,2.5Y 7/1 (light gray),very fine sand,3,foraminifera (planktic),,Calcareous bioclast,,foraminifera (benthic),,,,,,,,moderate,3,,bioturbated,horizontal,"Recrystallized packstone. Very fine- to fine-grained. Planktonic forams (A), Benthic forams (F). Chondrites and Phycosiphon (C). Glauconite (C).",,,,359,U1466,B,16,R,CC,A
359-U1466B-17R-1-A,0,47,459.7,460.17,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,2.5Y 6/2 (light brownish gray),very fine sand,3,foraminifera (planktic),,Calcareous bioclast,,foraminifera (benthic),,intraclast,Glaucanite (A) locally,,mold,,,complete,6,,bioturbated,horizontal,Recrystallized packstone. Very fine- to fine-grained. Glauconite and black minerals (F). Moldic,,,,359,U1466,B,17,R,1,A
359-U1466B-17R-1-A,47,56,460.17,460.26,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,2.5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,Calcareous bioclast,,foraminifera (benthic),,intraclast,Glaucanite (A) locally,,mold,,,complete,6,,bioturbated,horizontal,"Recrystallized packstone. Very fine- to fine-grained, Moderately-sorted. Glauconite and black minerals (F). Moldic",,,,359,U1466,B,17,R,1,A
359-U1466B-17R-CC-A,0,7,460.26,460.33,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,2.5Y 8/2 (pale yellow),very fine sand,3,foraminifera (planktic),,Calcareous bioclast,,foraminifera (benthic),,intraclast,Glaucanite (A) locally,,mold,,,complete,6,,sharp,horizontal,Recrystallized packstone. Very fine- to fine-grained. Glauconite and black minerals (F). Moldic,,,,359,U1466,B,17,R,CC,A
359-U1466B-17R-CC-A,7,17,460.33,460.43,,chert,,,lithified,5,2.5Y 3/1 (very dark gray),clay,1,,,,,,,,,,chert nodule,,,,,,,,Chert nodule showing concentric bands with silicified carbonate mud.,,,,359,U1466,B,17,R,CC,A
359-U1466B-18R-1-A,0,30,469.4,469.7,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,2.5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,Calcareous bioclast,,foraminifera (benthic),,intraclast,"Black grain (C), Glaucanite (P).",,mold,,,complete,6,,sharp,horizontal,"Recrystallized packstone. Very fine- to fine-grained, well-sorted. Black minerals (F).",,,,359,U1466,B,18,R,1,A
359-U1466B-18R-1-A,30,33,469.7,469.73,,chert,,,lithified,5,2.5Y 3/1 (very dark gray),clay,1,,,,,,,,,,chert nodule,,,,,,sharp,horizontal,Chert layer.,,,,359,U1466,B,18,R,1,A
359-U1466B-18R-CC-A,0,12,469.73,469.85,Dolomitic,wackestone,2,Dolomitic wackestone,lithified,5,2.5Y 5/2 (grayish brown),very fine sand,3,foraminifera (planktic),,Calcareous bioclast,,,,intraclast,Silica concretion,,,,,common,4,Planolites,bioturbated,horizontal,Recrystallized wackestone. Planolites (F). Packstone inside burrows. Chert nodules at the case of CC.,,,,359,U1466,B,18,R,CC,A
359-U1466B-19R-1-A,0,4,479.1,479.14,Dolomitic,wackestone,2,Dolomitic wackestone,lithified,5,2.5Y 5/2 (grayish brown),very fine sand,3,foraminifera (planktic),,Calcareous bioclast,,,,,,,,,,common,4,Planolites,sharp,horizontal,Recrystallized wackestone. Planolites (F).,,,,359,U1466,B,19,R,1,A
359-U1466B-19R-1-A,4,8,479.14,479.18,,chert,,,lithified,5,2.5Y 3/1 (very dark gray),clay,1,,,,,,,intraclast,Silica concretion,,chert nodule,,,,,,sharp,horizontal,Chert layer.,,,,359,U1466,B,19,R,1,A
359-U1466B-19R-1-A,8,53,479.18,479.63,Dolomitic,wackestone,2,Dolomitic wackestone,lithified,5,2.5Y 8/2 (pale yellow),very fine sand,3,foraminifera (planktic),,Calcareous bioclast,,,,,,,,,,common,4,Chondrites,bioturbated,horizontal,"Recrystallized wackestone. Phycosiphon, Planolites and chondrites (P), Thalassinodies (R). Glauconite and black minerals (R). Linear dark (silicified) burrow at 33-34 cm.",,,,359,U1466,B,19,R,1,A
359-U1466B-19R-CC-A,0,5,479.63,479.68,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,2.5Y 5/1 (gray),very fine sand,3,foraminifera (planktic),,Calcareous bioclast,,,,,,,,,,complete,6,Chondrites,bioturbated,horizontal,Recrystallized packstone. Thalassinodies (P). Glauconite rimmed burrows. Moldic porosity.,,,,359,U1466,B,19,R,CC,A
359-U1466B-19R-CC-A,10,19,479.73,479.82,dolomitic,packstone,3,dolomitic packstone,lithified,5,2.5Y 5/1 (gray),very fine sand,3,foraminifera (planktic),,calcareous bioclast,,,,,,,,,,complete,6,Chondrites,bioturbated,horizontal,Recrystallized packstone. Thalassinodies (P). Glauconite rimmed burrows. Moldic porosity.,,,,359,U1466,B,19,R,CC,A
359-U1466B-20R-1-A,0,20,483.8,484.0,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,2.5Y 8/2 (pale yellow),very fine sand,3,foraminifera (planktic),,Calcareous bioclast,,,,,,,,,,common,4,Chondrites,bioturbated,horizontal,Recrystallized packstone. Thalassinodies (P). Moldic porosity.,,,,359,U1466,B,20,R,1,A
359-U1466B-20R-1-A,20,40,484.0,484.2,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,2.5Y 8/2 (pale yellow),very fine sand,3,foraminifera (planktic),,Calcareous bioclast,,,,,,,,,,common,4,Chondrites,bioturbated,horizontal,Recrystallized packstone. Phycosiphon? possibly Chondrites (A) and Planolites (C). Moldic porosity.,,,,359,U1466,B,20,R,1,A
359-U1466B-20R-1-A,40,60,484.2,484.4,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,2.5Y 8/2 (pale yellow),very fine sand,3,foraminifera (planktic),,Calcareous bioclast,,,,,,,,,,moderate,3,Chondrites,,,Recrystallized Packstone. Moderately-sorted. Phycosiphon? possibly Chondrites (A) and Planolites (C). Moldic porosity.,,,,359,U1466,B,20,R,1,A
359-U1466B-20R-CC-A,0,8,484.4,484.48,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,2.5Y 8/2 (pale yellow),very fine sand,3,foraminifera (planktic),,Calcareous bioclast,,,,,,,,,,moderate,3,Chondrites,,,Recrystallized packstone. Moderately-sorted. Phycosiphon? possibly Chondrites (A) and Planolites (C). Moldic porosity.,,,,359,U1466,B,20,R,CC,A
359-U1466B-20R-CC-A,8,12,484.48,484.52,,chert,,,lithified,5,2.5Y 3/1 (very dark gray),clay,1,,,,,,,intraclast,Silica concretion,,chert nodule,,,,,,sharp,horizontal,Chert layer.,,,,359,U1466,B,20,R,CC,A
359-U1466B-21R-1-A,0,27,488.8,489.07,Dolomitic,wackestone,2,Dolomitic wackestone,lithified,5,2.5Y 7/2 (light gray),very fine sand,3,foraminifera (benthic),,Calcareous bioclast,,,,,,,,,,common,4,Phycosiphon,bioturbated,horizontal,Recrystallized wackestone. Well-sorted.,,,,359,U1466,B,21,R,1,A
359-U1466B-22R-1-A,0,23,493.5,493.73,Dolomitic,wackestone,2,Dolomitic wackestone,lithified,5,2.5Y 8/2 (pale yellow),very fine sand,3,foraminifera (planktic),,Calcareous bioclast,,,,intraclast,"Black grain (C), Glaucanite (P).",,,,,common,4,Thalassinoides,bioturbated,horizontal,"Recrystallized wackestone. Well-sorted. Thalassinodies, Planolites, Chondrites (Phycosiphon?) (C).",,,,359,U1466,B,22,R,1,A
359-U1466B-22R-1-A,23,26,493.73,493.76,Dolomitic,wackestone,2,Dolomitic wackestone,lithified,5,2.5Y 6/2 (light brownish gray),very fine sand,3,foraminifera (planktic),,Calcareous bioclast,,,,intraclast,"Black grain (C), Glaucanite (P).",,,,,common,4,Thalassinoides,bioturbated,horizontal,"Recrystallized wackestone. Well-sorted. Thalassinodies, Planolites, Chondrites (Phycosiphon?) (C).",,,,359,U1466,B,22,R,1,A
359-U1466B-22R-1-A,26,95,493.76,494.45,Dolomitic,wackestone,2,Dolomitic wackestone,lithified,5,2.5Y 8/2 (pale yellow),very fine sand,3,foraminifera (planktic),,Calcareous bioclast,,,,intraclast,"Black grain (C), Glaucanite (P).",,,,,common,4,Thalassinoides,bioturbated,horizontal,"Recrystallized wackestone. Well-sorted. Thalassinodies, Planolites, Chondrites (Phycosiphon?) (C).",,,,359,U1466,B,22,R,1,A
359-U1466B-22R-1-A,95,105,494.45,494.55,Dolomitic,wackestone,2,Dolomitic wackestone,lithified,5,2.5Y 6/2 (light brownish gray),very fine sand,3,foraminifera (planktic),,Calcareous bioclast,,,,intraclast,"Black grain (C), Glaucanite (P).",,,,,common,4,Thalassinoides,bioturbated,horizontal,"Recrystallized wackestone. Well-sorted. Thalassinodies, Planolites, Chondrites (Phycosiphon?) (C).",,,,359,U1466,B,22,R,1,A
359-U1466B-22R-1-A,105,113,494.55,494.63,Dolomitic,wackestone,2,Dolomitic wackestone,lithified,5,2.5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,Calcareous bioclast,,,,intraclast,"Black grain (C), Glaucanite (P).",,,,,common,4,Thalassinoides,bioturbated,horizontal,"Recrystallized wackestone. Well-sorted. Thalassinodies, Planolites, Chondrites (Phycosiphon?) (C).",,,,359,U1466,B,22,R,1,A
359-U1466B-22R-1-A,113,139,494.63,494.89,Dolomitic,wackestone,2,Dolomitic wackestone,lithified,5,2.5Y 8/2 (pale yellow),very fine sand,3,foraminifera (planktic),,Calcareous bioclast,,,,intraclast,"Black grain (C), Glaucanite (P).",,,,,common,4,Thalassinoides,bioturbated,horizontal,"Recrystallized wackestone. Well-sorted. Thalassinodies, Planolites, Chondrites (Phycosiphon?) (C).",,,,359,U1466,B,22,R,1,A
359-U1466B-22R-CC-A,0,5,494.89,494.94,Dolomitic,wackestone,2,Dolomitic wackestone,lithified,5,2.5y 8/2 (pale yellow),very fine sand,3,foraminifera (planktic),,,,,,,,,,,,,,,,,Dolomitic-limestone. Well-sorted.,,,,359,U1466,B,22,R,CC,A
359-U1466B-22R-CC-A,0,8,494.89,494.97,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,359,U1466,B,22,R,CC,A
359-U1466B-22R-CC-A,8,14,494.97,495.03,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,359,U1466,B,22,R,CC,A
359-U1466B-22R-CC-A,10,14,494.99,495.03,Dolomitic,wackestone,2,Dolomitic wackestone,lithified,5,2.5y 6/2 (light brownish gray),very fine sand,3,foraminifera (planktic),,,,,,,,,,,,common,4,,,,Dolomitic-limestone. Well-sorted.,,,,359,U1466,B,22,R,CC,A
359-U1466B-23R-1-A,0,31,498.5,498.81,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,2.5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,,,intraclast,Blackned grains.,,,,,common,4,Phycosiphon,,,Packstone to wackestone. Well-sorted.,,,,359,U1466,B,23,R,1,A
359-U1466B-23R-1-A,31,58,498.81,499.08,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,2.5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,,,intraclast,Blackned grains.,,,,,,,,,,Packstone to wackestone. Well-sorted. Highly disturbed.,,,,359,U1466,B,23,R,1,A
359-U1466B-23R-CC-A,0,6,499.08,499.14,Dolomitic,wackestone,2,Dolomitic wackestone,lithified,5,2.5y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,,,intraclast,Blackned grains.,,,,,common,4,,,,Wackestone. Well-sorted.,,,,359,U1466,B,23,R,CC,A
359-U1466B-23R-CC-A,0,13,499.08,499.21,,,,,,,,,3,,,,,,,,,,,,,,,,,,"Dolomitic packstone to wackstone. Very fine-grained, well-sorted.",,,,359,U1466,B,23,R,CC,A
359-U1466B-24R-1-A,0,3,503.2,503.23,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,2.5Y 8/1 (white),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,,,,,,mold,,,moderate,3,,sharp,horizontal,Moderately-sorted.,,,,359,U1466,B,24,R,1,A
359-U1466B-24R-1-A,3,4,503.23,503.24,,chert,,chert,lithified,5,2.5Y 2.5/1 (black),,,,,,,,,,,,chert nodule,,,,,,,,,,,,359,U1466,B,24,R,1,A
359-U1466B-24R-1-A,4,10,503.24,503.3,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,2.5Y 8/1 (white),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,,,,,,mold,,,moderate,3,Chondrites,bioturbated,horizontal,Moderately-sorted. Other ichnofossils: Planolites (C).,,,,359,U1466,B,24,R,1,A
359-U1466B-24R-1-A,10,29,503.3,503.49,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,2.5Y 8/1 (white),very fine sand,3,foraminifera (benthic),,,,,,,,,mold,,,common,4,Thalassinoides,bioturbated,horizontal,Moderately-sorted.,,,,359,U1466,B,24,R,1,A
359-U1466B-24R-1-A,29,54,503.49,503.74,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,2.5Y 8/1 (white),very fine sand,3,foraminifera (planktic),Also as moldic porosity,,,,,,,,pyrite nodule,Moldic porosity,,moderate,3,planolites,bioturbated,horizontal,Moderately-sorted. Other ichnofossils: Planolites.,,,,359,U1466,B,24,R,1,A
359-U1466B-24R-1-A,54,66,503.74,503.86,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,2.5Y 8/1 (white),very fine sand,3,,,,,,,,,,mold,,,,,,bioturbated,horizontal,Moderately-sorted.,,,,359,U1466,B,24,R,1,A
359-U1466B-24R-1-A,66,81,503.86,504.01,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,2.5Y 8/1 (white),very fine sand,3,foraminifera (planktic),Also as moldic porosity,,,,,,,,pyrite nodule,Moldic porosity,,moderate,3,planolites,bioturbated,horizontal,Moderately-sorted. Other ichnofossils: Planolites.,,,,359,U1466,B,24,R,1,A
359-U1466B-24R-CC-A,0,20,504.01,504.21,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,2.5Y 8/1 (white),very fine sand,3,foraminifera (planktic),,,,,,intraclast,Glauconitic (R),,mold,,,complete,6,,,,Moderately-sorted.,,,,359,U1466,B,24,R,CC,A
359-U1466B-25R-1-A,0,18,508.2,508.38,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,2.5y 8/1 (white),very fine sand,3,foraminifera (planktic),Also as moldic porosity,,,,,intraclast,Glauconitic (F),,mold,,,complete,6,,bioturbated,horizontal,"Fine- to medium-grained, moderately-sorted.",,,,359,U1466,B,25,R,1,A
359-U1466B-25R-1-A,18,28,508.38,508.48,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,2.5Y 7/1 (light gray),very fine sand,3,foraminifera (planktic),Also as moldic porosity,,,,,intraclast,Blackned grains.,,mold,,,moderate,3,Thalassinoides,bioturbated,horizontal,"Fine- to medium-grained, moderately-sorted. Other ichnofossils: Planolites.",,,,359,U1466,B,25,R,1,A
359-U1466B-25R-1-A,28,41,508.48,508.61,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,2.5Y 7/1 (light gray),very fine sand,3,foraminifera (planktic),Also as moldic porosity,,,,,intraclast,Blackned grains.,,mold,,,,,,bioturbated,horizontal,"Fine- to medium-grained, moderately-sorted. Ichnofossils cannot be identified.",,,,359,U1466,B,25,R,1,A
359-U1466B-25R-1-A,41,49,508.61,508.69,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,2.5Y 7/1 (light gray),very fine sand,3,foraminifera (planktic),Also as moldic porosity,,,,,intraclast,Blackned grains.,,mold,,,moderate,3,Phycosiphon,bioturbated,horizontal,"Fine- to medium-grained, moderately-sorted.",,,,359,U1466,B,25,R,1,A
359-U1466B-25R-1-A,49,84,508.69,509.04,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,2.5Y 8/1 (white),very fine sand,3,foraminifera (planktic),Also as moldic porosity,,,,,intraclast,Blackned grains.,,mold,,,,,,bioturbated,horizontal,"Fine- to medium-grained, moderately-sorted. Other ichnofossils (locally in fragments): Thalassinoides, Planolites, Physosiphon (?).",,,,359,U1466,B,25,R,1,A
359-U1466B-25R-1-A,84,117,509.04,509.37,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,2.5Y 7/1 (light gray),very fine sand,3,foraminifera (planktic),Also as moldic porosity,,,,,intraclast,Blackned grains.,,pyrite (disseminated),Moldic porosity,,common,4,Thalassinoides,bioturbated,horizontal,"Fine- to medium-grained, moderately-sorted.",,,,359,U1466,B,25,R,1,A
359-U1466B-25R-1-A,117,140,509.37,509.6,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,2.5Y 8/1 (white),very fine sand,3,foraminifera (planktic),Also as moldic porosity,,,,,intraclast,Blackned grains.,,mold,,,,,,,,"Fine- to medium-grained, moderately-sorted.",,,,359,U1466,B,25,R,1,A
359-U1466B-25R-2-A,0,30,509.7,510.0,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,2.5Y 6/2 (light brownish gray),very fine sand,3,foraminifera (planktic),Also as moldic porosity,,,,,,,,mold,,,moderate,3,,gradational,horizontal,Moderately-sorted. Unknown ichnofossils.,,,,359,U1466,B,25,R,2,A
359-U1466B-25R-2-A,30,56,510.0,510.26,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,2.5y 7/1 (light gray),very fine sand,3,foraminifera (planktic),Also as moldic porosity,,,,,intraclast,Glauconitic (F),,pyrite (disseminated),Moldic porosity,,moderate,3,Thalassinoides,gradational,horizontal,"Moderately-sorted. Other ichnofossils: Planolites (C), Phycosiphon (C), Chondrites (C).",,,,359,U1466,B,25,R,2,A
359-U1466B-25R-2-A,56,82,510.26,510.52,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,2.5y 8/1 (white),very fine sand,3,foraminifera (planktic),Also as moldic porosity,,,,,,,,mold,Dark infill,,complete,6,,,,Moderately-sorted.,,,,359,U1466,B,25,R,2,A
359-U1466B-25R-CC-A,0,10,510.52,510.62,Dolomitic,packstone,3,Dolomitic packstone,partially lithified,3,2.5y 8/1 (white),very fine sand,3,foraminifera (planktic),Also as moldic porosity,,,,,,,,mold,Dark infill,,complete,6,,,,Packstone-wackestone. Moderately-sorted.,,,,359,U1466,B,25,R,CC,A
359-U1466B-26R-1-A,0,72,517.9,518.62,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,2.5Y 8/2 (pale yellow),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,,,,,,,,,complete,6,Thalassinoides,bioturbated,horizontal,"Other ichnofossils: Palaeophycus, Planolites.",,,,359,U1466,B,26,R,1,A
359-U1466B-26R-1-A,72,101,518.62,518.91,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,2.5y 8/1 (white),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,,,intraclast,Glauconitic (F),,,,,complete,6,Thalassinoides,,,,,,,359,U1466,B,26,R,1,A
359-U1466B-26R-CC-A,0,19,518.91,519.1,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,2.5Y 8/1 (white),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,,,,,,,,,complete,6,,,,Unidentifiable ichnofossils.,,,,359,U1466,B,26,R,CC,A
359-U1466B-27R-CC-A,0,3,527.7,527.73,,chert,,chert,lithified,5,GLEY 2 6/5PB (bluish gray),clay,1,foraminifera (planktic),,foraminifera (benthic),,,,,,,,,,,,,,,,,,,359,U1466,B,27,R,CC,A
359-U1466B-27R-CC-A,3,10,527.73,527.8,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,2.5Y 8/1 (white),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,,,,,,,,,moderate,3,,,,Unidentifiable ichnofossils.,,,,359,U1466,B,27,R,CC,A
359-U1466B-28R-1-A,0,8,537.4,537.48,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,2.5y 8/2 (pale yellow),medium sand,5,foraminifera (benthic),,foraminifera (planktic),,,,,,,,,,complete,6,,gradational,horizontal,Medium-grained.,,,,359,U1466,B,28,R,1,A
359-U1466B-28R-1-A,8,32,537.48,537.72,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,2.5y 7/1 (light gray),medium sand,5,foraminifera (benthic),,foraminifera (planktic),,,,,,,,,,complete,6,Planolites,gradational,horizontal,Well-sorted. Other ichnofossils: Palaeophycus.,,,,359,U1466,B,28,R,1,A
359-U1466B-28R-1-A,32,78,537.72,538.18,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,2.5y 8/2 (pale yellow),medium sand,5,foraminifera (benthic),,foraminifera (planktic),,,,organic material,,,,,,complete,6,Chondrites,gradational,horizontal,"Well-sorted. Other ichnofossils: Thalassinoides, Planolites.",,,,359,U1466,B,28,R,1,A
359-U1466B-28R-1-A,78,91,538.18,538.31,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,2.5y 8/2 (pale yellow),medium sand,5,foraminifera (benthic),,foraminifera (planktic),,,,,,,,,,common,4,,,,Well-sorted. Unidentifiable ichnofossils.,,,,359,U1466,B,28,R,1,A
359-U1466B-28R-2-A,0,50,538.32,538.82,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,2.5y 8/1 (white),medium sand,5,foraminifera (benthic),,foraminifera (planktic),,,,,,,,,,complete,6,Planolites,gradational,horizontal,Well-sorted. Other ichnofossils: Chondrites.,,,,359,U1466,B,28,R,2,A
359-U1466B-28R-2-A,50,71,538.82,539.03,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,2.5y 7/1 (light gray),medium sand,5,foraminifera (benthic),,foraminifera (planktic),,,,,,,,,,complete,6,Thalassinoides,,,"Moderately-sorted. Other ichnofossils: Chondrites (C), Planolites (C)",,,,359,U1466,B,28,R,2,A
