Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,MAJ Lith. prefix+name [read only],Sediment structures,MAJ Lith. color,Bioturbation intensity,Clast abundance,Macrofossil,MAJ Lith. ave. grain size ,Diagenetic constituent,Diagenetic constituent composition,General interval comment,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Suffix,Lithology Suffix,Minor Lithology Name
363-U1484A-4H-2-A,130,142.0,26.35,26.47,nannofossil-bearing [X363],clay [Leg210],nannofossil-bearing clay,,N 4 (dark gray),moderate [DB86],,,,,,sand,,,,,,,,,,,,,363,U1484,A,4,H,2,A,,,,
363-U1484A-4H-3-A,0,99.0,26.47,27.46,nannofossil-bearing [X363],clay [Leg210],nannofossil-bearing clay,,10Y 4/1 (dark greenish gray),moderate [DB86],,,,,,"multiple cm-scale sand layers, shell fragments throughout; large skolithos 83-97 cm",,,,,,,,,,,,,363,U1484,A,4,H,3,A,,,,
363-U1484A-4H-4-A,0,107.0,27.51,28.58,nannofossil-bearing [X363],clay [Leg210],nannofossil-bearing clay,,10Y 4/1 (dark greenish gray),moderate [DB86],,,,,,"multiple cm-scale sand layers, shell fragments throughout",,,,,,,,,,,,,363,U1484,A,4,H,4,A,,,,
363-U1484A-4H-5-A,0,54.0,28.58,29.12,nannofossil-bearing [X363],clay [Leg210],nannofossil-bearing clay,,10Y 4/1 (dark greenish gray),moderate [DB86],,,,,,shell fragments throughout,,,,,,,,,,,,,363,U1484,A,4,H,5,A,,,,
363-U1484A-4H-5-A,54,68.0,29.12,29.26,nannofossil-bearing [X363],clay [Leg210],nannofossil-bearing clay,,N 4 (dark gray),moderate [DB86],,,,,,sand; 61 cm: wood fragment,,,,,,,,,,,,,363,U1484,A,4,H,5,A,,,,
363-U1484A-4H-5-A,68,129.0,29.26,29.87,nannofossil-bearing [X363],clay [Leg210],nannofossil-bearing clay,,10Y 4/1 (dark greenish gray),moderate [DB86],,,,,,shell fragments throughout; sand 125-129 cm,,,,,,,,,,,,,363,U1484,A,4,H,5,A,,,,
363-U1484A-4H-6-A,11,131.5,29.98,31.185,nannofossil-bearing [X363],clay [Leg210],nannofossil-bearing clay,,10Y 4/1 (dark greenish gray),moderate [DB86],,,,,,shell fragments throughout; sand 104-108 cm,,,,,,,,,,,,,363,U1484,A,4,H,6,A,,,,
363-U1484A-4H-7-A,0,5.0,31.33,31.38,nannofossil-bearing [X363],clay [Leg210],nannofossil-bearing clay,,N 4 (dark gray),moderate [DB86],,,,,,sand,,,,,,,,,,,,,363,U1484,A,4,H,7,A,,,,
363-U1484A-4H-7-A,5,81.0,31.38,32.14,nannofossil-bearing [X363],clay [Leg210],nannofossil-bearing clay,,10Y 4/1 (dark greenish gray),moderate [DB86],,,,,,gas expansion cracks,,,,,,,,,,,,,363,U1484,A,4,H,7,A,,,,
363-U1484A-4H-7-A,81,101.0,32.14,32.34,nannofossil-bearing [X363],clay [Leg210],nannofossil-bearing clay,,N 4 (dark gray),moderate [DB86],,,,,,sand,,,,,,,,,,,,,363,U1484,A,4,H,7,A,,,,
