Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Lithology prefix,Lithology principal name,Lithology suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (Munsell),Layer or bedding thickness,Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Sorting,Grading,Sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],Lithological asseccories,Diagenetic structure,Macrofossil,Macrofossil abundance name,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,DOMINANT clast roundness,Clast comments,"Matrix, fines (<2 mm) DOMINANT",Matrix sorting,Matrix comments,Ship File Links,Shore File Links,File Data
352-U1439A-3H-5-A,0,150,22.3,23.8,IB,,,,silty,nannofossil ooze,with foraminifers,silty nannofossil ooze,silty nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,2.5Y 7/1 (light gray),,unconsolidated,clay,1,silt,2,alternating white and bronish white nannofossil ooze moderately bioturbated and mottled,moderate,normally graded,mottled layer,moderate,2,,,foraminifer,Tr,,,,,calcareous matrix,,,,,
352-U1439A-3H-6-A,0,100,23.8,24.8,IB,,,,silty,nannofossil ooze,with foraminifers,silty nannofossil ooze,silty nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,2.5Y 7/1 (light gray),,unconsolidated,clay,1,silt,2,alternating white and bronish white nannofossil ooze moderately bioturbated and mottled,moderate,normally graded,mottled layer,moderate,2,,,foraminifer,Tr,,,,,calcareous matrix,,,,,
352-U1439A-3H-7-A,0,71,24.8,25.51,IB,,,,silty,nannofossil ooze,with foraminifers,silty nannofossil ooze,silty nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,2.5Y 7/1 (light gray),,unconsolidated,clay,1,silt,2,alternating white and bronish white nannofossil ooze moderately bioturbated and mottled,moderate,normally graded,mottled layer,moderate,2,,,foraminifer,Tr,,,,,calcareous matrix,,,,,
352-U1439A-3H-CC-A,0,20,25.51,25.71,IB,,,,silty,nannofossil ooze,with foraminifers,silty nannofossil ooze,silty nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,2.5Y 7/1 (light gray),,unconsolidated,clay,1,silt,2,alternating white and bronish white nannofossil ooze moderately bioturbated and mottled,moderate,normally graded,mottled layer,moderate,2,,,foraminifer,Tr,,,,,calcareous matrix,,,,,
352-U1439A-4H-1-A,0,75,25.8,26.55,IB,irregular,gradational,sub-horizontal,silty,nannofossil ooze,with foraminifers,silty nannofossil ooze,silty nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,10YR 8/1 (white),,unconsolidated,clay,1,fine sand,4,alternating white and bronish white nannofossil ooze moderately bioturbated and mottled,poor,non-graded,,slight,1,,,,,,,,,calcareous matrix,,,,,
352-U1439A-4H-1-A,75,78,26.55,26.58,IB,irregular,sharp,sub-horizontal,,ash,,ash,ash,ash,,2.5Y 8/2 (pale yellow),thin bed,unconsolidated,fine sand,4,fine sand,4,,well,normally graded,,none,0,,,,,,,,,,,,,,
352-U1439A-4H-1-A,78,150,26.58,27.3,IB,irregular,gradational,sub-horizontal,silty,nannofossil ooze,with foraminifers,silty nannofossil ooze,silty nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,10YR 8/1 (white),,unconsolidated,clay,1,fine sand,4,,poor,non-graded,,slight,1,,,,,,,,,calcareous matrix,,,,,
352-U1439A-4H-2-A,0,47,27.3,27.77,IB,irregular,gradational,sub-horizontal,silty,nannofossil ooze,with foraminifers,silty nannofossil ooze,silty nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,10YR 8/1 (white),,unconsolidated,clay,1,fine sand,4,,poor,non-graded,,slight,1,ash pods,cemented,,,"volcanic, felsic",,sub-rounded,"cm-sized, scattered",calcareous matrix,,,,,
352-U1439A-4H-2-A,47,58,27.77,27.88,IB,irregular,gradational,sub-horizontal,sandy,mud,,sandy mud,sandy mud,mud,,2.5Y 6/2 (light brownish gray),,unconsolidated,silt,2,fine sand,4,,moderate,non-graded,,moderate,2,,,,,,,,,calcareous matrix,,,,,
352-U1439A-4H-2-A,58,150,27.88,28.8,IB,irregular,gradational,sub-horizontal,silty,nannofossil ooze,with foraminifers,silty nannofossil ooze,silty nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,10YR 8/1 (white),,unconsolidated,clay,1,fine sand,4,,poor,non-graded,,slight,1,,,,,,,,,calcareous matrix,,,,,
352-U1439A-4H-3-A,0,6,28.8,28.86,IB,irregular,gradational,sub-horizontal,silty,nannofossil ooze,with foraminifers,silty nannofossil ooze,silty nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,10YR 8/1 (white),,unconsolidated,clay,1,fine sand,4,,poor,non-graded,,slight,1,,,,,,,,,calcareous matrix,,,,,
352-U1439A-4H-3-A,6,11,28.86,28.91,IB,irregular,scoured,sub-horizontal,,fine sand,,fine sand,fine sand,fine sand,,10YR 6/1 (gray),thin bed,unconsolidated,silt,2,fine sand,4,,well,normally graded,,none,0,,,,,,,,,,,,,,
352-U1439A-4H-3-A,11,63,28.91,29.43,IB,irregular,gradational,sub-horizontal,silty,nannofossil ooze,with foraminifers,silty nannofossil ooze,silty nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,10YR 8/1 (white),,unconsolidated,clay,1,fine sand,4,,poor,non-graded,,slight,1,,,,,,,,,calcareous matrix,,,,,
352-U1439A-4H-3-A,63,68,29.43,29.48,IB,planar,,,,ash,,ash,ash,ash,,2.5Y 8/1 (white),thin bed,unconsolidated,fine sand,4,fine sand,4,,well,normally graded,,none,0,,,,,,,,,,,,,,
352-U1439A-4H-3-A,68,145,29.48,30.25,IB,,,,silty,nannofossil ooze,with foraminifers,silty nannofossil ooze,silty nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,10YR 8/1 (white),,unconsolidated,clay,1,fine sand,4,,poor,non-graded,,moderate,2,ash pods,cemented,,,"volcanic, felsic",,sub-rounded,"cm-sized, scattered",calcareous matrix,,,,,
352-U1439A-4H-3-A,145,150,30.25,30.3,,,,,,,,,,,,,,,,,,,IW,,,,,,,,,,,,,,,,,,,
352-U1439A-4H-4-A,0,150,30.3,31.8,IB,,,,silty,nannofossil ooze,with foraminifers,silty nannofossil ooze,silty nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,10YR 8/1 (white),,unconsolidated,clay,1,fine sand,4,alternating white and bronish white nannofossil ooze moderately bioturbated and mottled,poor,non-graded,,moderate,2,ash pods,cemented,,,"volcanic, felsic",,sub-rounded,"cm-sized, scattered",calcareous matrix,,,,,
352-U1439A-4H-5-A,0,110,31.8,32.9,IB,,,,silty,nannofossil ooze,with foraminifers,silty nannofossil ooze,silty nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,10YR 8/1 (white),,unconsolidated,clay,1,fine sand,4,alternating white and bronish white nannofossil ooze moderately bioturbated and mottled,poor,non-graded,,moderate,2,ash pods,cemented,,,"volcanic, felsic",,sub-rounded,"cm-sized, scattered",calcareous matrix,,,,,
352-U1439A-4H-6-A,0,7,32.9,32.97,IB,irregular,sharp,sub-horizontal,silty,nannofossil ooze,with foraminifers,silty nannofossil ooze,silty nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,10YR 8/1 (white),,unconsolidated,clay,1,fine sand,4,,poor,non-graded,,moderate,2,ash pods,cemented,,,"volcanic, felsic",,sub-rounded,"cm-sized, scattered",calcareous matrix,,,,,
352-U1439A-4H-6-A,7,8,32.97,32.98,IB,irregular,sharp,sub-horizontal,,ash,,ash,ash,ash,,2.5Y 8/1 (white),thin bed,unconsolidated,silt,2,fine sand,4,,well,non-graded,,none,0,,,,,,,,,,,,,,
352-U1439A-4H-6-A,8,135,32.98,34.25,IB,irregular,sharp,sub-horizontal,silty,nannofossil ooze,with foraminifers,silty nannofossil ooze,silty nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,10YR 8/1 (white),,unconsolidated,clay,1,fine sand,4,alternating white and bronish white nannofossil ooze moderately bioturbated and mottled,poor,non-graded,,moderate,2,ash pods,cemented,,,"volcanic, felsic",,sub-rounded,"cm-sized, scattered",calcareous matrix,,,,,
352-U1439A-4H-7-A,0,4,34.25,34.29,IB,irregular,sharp,sub-horizontal,silty,nannofossil ooze,with foraminifers,silty nannofossil ooze,silty nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,10YR 8/1 (white),,unconsolidated,clay,1,fine sand,4,,poor,non-graded,,moderate,2,ash pods,cemented,,,"volcanic, felsic",,sub-rounded,"cm-sized, scattered",calcareous matrix,,,,,
352-U1439A-4H-7-A,4,19,34.29,34.44,IB,irregular,scoured,,,ash,,ash,ash,ash,,10YR 4/1 (dark gray),,,fine sand,4,medium sand,5,"bioturbated, disseminated ash layer",,,,strong,3,,,,,,,,,,,,,,
352-U1439A-4H-7-A,19,77,34.44,35.02,IB,irregular,sharp,sub-horizontal,silty,nannofossil ooze,with foraminifers,silty nannofossil ooze,silty nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,10YR 8/1 (white),,unconsolidated,clay,1,fine sand,4,,poor,non-graded,,moderate,2,ash pods,cemented,,,"volcanic, felsic",,sub-rounded,"cm-sized, scattered",calcareous matrix,,,,,
352-U1439A-4H-7-A,77,79,35.02,35.04,IB,,,,,ash,,ash,ash,ash,,10YR 7/2 (light gray),thin bed,unconsolidated,fine sand,4,medium sand,5,,well,normally graded,,none,0,,,,,,,,,,,,,,
352-U1439A-4H-CC-A,0,35,35.04,35.39,IB,,,,nannofossil-bearing,mud,with foraminifers,nannofossil-bearing mud,nannofossil-bearing mud with foraminifers,mud with foraminifers,,2.5Y 5/2 (grayish brown),,unconsolidated,silt,2,fine sand,4,,poor,non-graded,,moderate,2,,,,,,,,,calcareous matrix,,,,,
352-U1439A-5H-1-A,0,95,35.3,36.25,IB,,,,silty,nannofossil ooze,with foraminifers,silty nannofossil ooze,silty nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,10YR 8/1 (white),,unconsolidated,clay,1,fine sand,4,,poor,non-graded,,moderate,2,ash pods,cemented,,,"volcanic, felsic",,sub-rounded,"cm-sized, scattered",calcareous matrix,,,,,
352-U1439A-5H-1-A,95,100,36.25,36.3,,,,,,,,,,,,,,,,,,,IW,,,,,,,,,,,,,,,,,,,
352-U1439A-5H-2-A,0,60,36.3,36.9,IB,,,,silty,nannofossil ooze,with foraminifers,silty nannofossil ooze,silty nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,10YR 8/1 (white),,unconsolidated,clay,1,fine sand,4,,poor,non-graded,,moderate,2,ash pods,cemented,,,"volcanic, felsic",,sub-rounded,"cm-sized, scattered",calcareous matrix,,,,,
