Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Lithology prefix,Lithology principal name,Lithology suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (Munsell),Layer or bedding thickness,Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Sorting,Grading,Sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],Lithological asseccories,Diagenetic structure,Macrofossil,Macrofossil abundance name,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,DOMINANT clast roundness,Clast comments,"Matrix, fines (<2 mm) DOMINANT",Matrix sorting,Matrix comments,Ship File Links,Shore File Links,File Data
352-U1439A-9H-6-A,0,131,79.41,80.72,IIA,,,,silty,nannofossil ooze,with fine sand,silty nannofossil ooze,silty nannofossil ooze with fine sand,nannofossil ooze with fine sand,,10YR 6/3 (pale brown),,unconsolidated,clay,1,silt,2,,moderate,non-graded,mottled layer,strong,3,ash pods,,,,volcanic intermediate,,rounded,"mm-sized, loose",calcareous matrix,,,,,
352-U1439A-9H-7-A,0,118,80.72,81.9,IIA,,,,silty,nannofossil ooze,with fine sand,silty nannofossil ooze,silty nannofossil ooze with fine sand,nannofossil ooze with fine sand,,10YR 6/3 (pale brown),,unconsolidated,clay,1,silt,2,,moderate,non-graded,mottled layer,strong,3,ash pods,,,,volcanic intermediate,,rounded,"mm-sized, loose",calcareous matrix,,,,,
352-U1439A-9H-CC-A,0,46,81.9,82.36,IIA,,,,silty,nannofossil ooze,with fine sand,silty nannofossil ooze,silty nannofossil ooze with fine sand,nannofossil ooze with fine sand,,10YR 6/3 (pale brown),,unconsolidated,clay,1,silt,2,,moderate,non-graded,mottled layer,strong,3,ash pods,,,,volcanic intermediate,,rounded,"mm-sized, loose",calcareous matrix,,,,,
352-U1439A-10H-1-A,0,23,82.8,83.03,IIB,irregular,,,tuffaceous,mud,,tuffaceous mud,tuffaceous mud,mud,,7.5YR 5/3 (brown),,unconsolidated,silt,2,fine sand,4,"Drill disturbance, soupy flow in ..",,,,,3,,,,,,,,,calcareous matrix,,,,,
352-U1439A-10H-1-A,23,150,83.03,84.3,IIB,irregular,gradational,sub-horizontal,tuffaceous,mud,,tuffaceous mud,tuffaceous mud,mud,,7.5YR 5/3 (brown),,unconsolidated,silt,2,fine sand,4,,moderate,non-graded,mottled layer,strong,3,ash pods,,,,vitric,,sub-rounded,mm-sized,calcareous matrix,,,,,
352-U1439A-10H-2-A,0,152,84.3,85.82,IIB,,,,tuffaceous,fine sand,,tuffaceous fine sand,tuffaceous fine sand,fine sand,,7.5YR 5/3 (brown),,unconsolidated,fine sand,4,medium sand,5,,moderate,non-graded,mottled layer,strong,3,ash pods,,,,vitric,,sub-rounded,mm-sized,calcareous matrix,,,,,
352-U1439A-10H-3-A,0,88,85.82,86.7,IIB,,,,tuffaceous,medium to coarse sand,,tuffaceous medium to coarse sand,tuffaceous medium to coarse sand,medium to coarse sand,,7.5YR 5/3 (brown),,unconsolidated,fine sand,4,coarse sand,6,,moderate,non-graded,mottled layer,strong,3,ash pods,,,,vitric,,sub-rounded,mm-sized,calcareous matrix,,,,,
352-U1439A-10H-3-A,88,90,86.7,86.72,IIB,irregular,,,,ash,,ash,ash,ash,,5YR 7/2 (pinkish gray),thin bed,unconsolidated,fine sand,4,coarse sand,6,slightly disseminated ash layer,moderate,non-graded,,moderate,2,,,,,,,,,,,,,,
352-U1439A-10H-3-A,90,151,86.72,87.33,IIB,,,,,medium to coarse sand,,medium to coarse sand,medium to coarse sand,medium to coarse sand,,7.5YR 5/3 (brown),,unconsolidated,fine sand,4,medium sand,5,,moderate,non-graded,mottled layer,strong,3,ash pods,,,,vitric,,sub-rounded,mm-sized,calcareous matrix,,,,,
352-U1439A-10H-4-A,0,24,87.33,87.57,IIB,irregular,gradational,sub-horizontal,,medium to coarse sand,,medium to coarse sand,medium to coarse sand,medium to coarse sand,,7.5YR 5/3 (brown),,unconsolidated,fine sand,4,medium sand,5,,moderate,non-graded,mottled layer,strong,3,ash pods,,,,vitric,,sub-rounded,mm-sized,calcareous matrix,,,,,
352-U1439A-10H-4-A,24,91,87.57,88.24,IIB,irregular,sharp,inclined,,medium to coarse sand,,medium to coarse sand,medium to coarse sand,medium to coarse sand,,2.5Y 5/6 (light olive brown),,unconsolidated,medium sand,5,coarse sand,6,,moderate,reversely graded,,slight,1,ash pods,,,,"volcanic, felsic",,angular,mm-sized,calcareous matrix,,,,,
352-U1439A-10H-4-A,91,127,88.24,88.6,IIB,irregular,sharp,inclined,silty,medium to coarse sand,with nannofossils,silty medium to coarse sand,silty medium to coarse sand with nannofossils,medium to coarse sand with nannofossils,,10YR 8/3 (very pale brown),,unconsolidated,silt,2,coarse sand,6,,poor,non-graded,,slight,1,,,,,,,,,calcareous matrix,,,,,
352-U1439A-10H-4-A,127,144,88.6,88.77,IIB,irregular,sharp,inclined,silty,medium to coarse sand,with nannofossils,silty medium to coarse sand,silty medium to coarse sand with nannofossils,medium to coarse sand with nannofossils,,10YR 8/3 (very pale brown),,unconsolidated,silt,2,coarse sand,6,IW,poor,non-graded,,slight,1,,,,,,,,,calcareous matrix,,,,,
352-U1439A-10H-4-A,144,154,88.77,88.87,,,,,,,,,,,,,,,,,,,IW,,,,,,,,,,,,,,,,,,,
352-U1439A-10H-5-A,0,150,88.87,90.37,IIB,,,,silty,medium to coarse sand,with nannofossils,silty medium to coarse sand,silty medium to coarse sand with nannofossils,medium to coarse sand with nannofossils,,10YR 8/3 (very pale brown),,unconsolidated,silt,2,coarse sand,6,,poor,non-graded,,slight,1,,,,,,,,,calcareous matrix,,,,,
352-U1439A-10H-6-A,0,133,90.37,91.7,IIB,,,,silty,medium to coarse sand,with nannofossils,silty medium to coarse sand,silty medium to coarse sand with nannofossils,medium to coarse sand with nannofossils,,10YR 8/3 (very pale brown),,unconsolidated,silt,2,coarse sand,6,,poor,non-graded,,slight,1,,,,,,,,,calcareous matrix,,,,,
352-U1439A-10H-CC-A,0,25,91.7,91.95,IIB,,,,silty,medium to coarse sand,with nannofossils,silty medium to coarse sand,silty medium to coarse sand with nannofossils,medium to coarse sand with nannofossils,,10YR 8/3 (very pale brown),,unconsolidated,silt,2,coarse sand,6,,poor,non-graded,,slight,1,,,,,,,,,calcareous matrix,,,,,
352-U1439A-11X-1-A,0,150,92.3,93.8,IIB,,,,silty,medium to coarse sand,with nannofossils,silty medium to coarse sand,silty medium to coarse sand with nannofossils,medium to coarse sand with nannofossils,,5YR 7/2 (pinkish gray),,unconsolidated,silt,2,coarse sand,6,,poor,non-graded,mottled layer,slight,1,,,,,,,,,calcareous matrix,,,,,
352-U1439A-11X-2-A,0,150,93.8,95.3,IIB,,,,silty,medium to coarse sand,with nannofossils,silty medium to coarse sand,silty medium to coarse sand with nannofossils,medium to coarse sand with nannofossils,,5YR 7/2 (pinkish gray),,unconsolidated,silt,2,coarse sand,6,,poor,non-graded,mottled layer,moderate,2,,,,,,,,,calcareous matrix,,,,,
352-U1439A-11X-3-A,0,120,95.3,96.5,IIB,irregular,gradational,sub-horizontal,silty,nannofossil ooze,with fine sand,silty nannofossil ooze,silty nannofossil ooze with fine sand,nannofossil ooze with fine sand,,10YR 8/2 (very pale brown),,unconsolidated,silt,2,very fine sand,3,,poor,non-graded,mottled layer,slight,1,,,,,,,,,calcareous matrix,,,,,
352-U1439A-11X-3-A,120,150,96.5,96.8,IIB,,,,silty,medium to coarse sand,with nannofossils,silty medium to coarse sand,silty medium to coarse sand with nannofossils,medium to coarse sand with nannofossils,,5YR 7/2 (pinkish gray),,unconsolidated,silt,2,coarse sand,6,,poor,non-graded,mottled layer,slight,1,,,,,,,,,calcareous matrix,,,,,
352-U1439A-11X-4-A,0,98,96.8,97.78,IIB,,,,silty,medium to coarse sand,with nannofossils,silty medium to coarse sand,silty medium to coarse sand with nannofossils,medium to coarse sand with nannofossils,,7.5YR 6/3 (light brown),,unconsolidated,silt,2,coarse sand,6,,poor,non-graded,mottled layer,slight,1,,,,,,,,,calcareous matrix,,,,,
352-U1439A-11X-4-A,98,104,97.78,97.84,IIB,,,,,tuff,,tuff,tuff,tuff,,5YR 8/2 (pinkish white),,consolidated,fine sand,4,fine sand,4,disseminated tuff layer bt bioturbation. Orginal Tuff thickness only 2 cm,well,non-graded,,moderate,2,,,,,,,,,,,,,,
352-U1439A-11X-4-A,104,150,97.84,98.3,IIB,,,,silty,medium to coarse sand,with nannofossils,silty medium to coarse sand,silty medium to coarse sand with nannofossils,medium to coarse sand with nannofossils,,7.5YR 6/3 (light brown),,unconsolidated,silt,2,coarse sand,6,,poor,non-graded,mottled layer,slight,1,,,,,,,,,calcareous matrix,,,,,
352-U1439A-11X-5-A,0,150,98.3,99.8,IIB,,,,silty,medium to coarse sand,with nannofossils,silty medium to coarse sand,silty medium to coarse sand with nannofossils,medium to coarse sand with nannofossils,,5YR 7/3 (pink),,unconsolidated,silt,2,coarse sand,6,,poor,non-graded,mottled layer,slight,1,,,,,,,,,calcareous matrix,,,,,
352-U1439A-11X-6-A,0,23,99.8,100.03,IIB,irregular,gradational,inclined,silty,medium to coarse sand,with nannofossils,silty medium to coarse sand,silty medium to coarse sand with nannofossils,medium to coarse sand with nannofossils,,7.5YR 7/2 (pinkish gray),,unconsolidated,silt,2,coarse sand,6,,poor,non-graded,mottled layer,slight,1,,,,,,,,,calcareous matrix,,,,,
352-U1439A-11X-6-A,23,54,100.03,100.34,IIB,irregular,gradational,sub-horizontal,silty,medium to coarse sand,with nannofossils,silty medium to coarse sand,silty medium to coarse sand with nannofossils,medium to coarse sand with nannofossils,,5YR 5/1 (gray),,unconsolidated,medium sand,5,coarse sand,6,,poor,non-graded,mottled layer,slight,1,,,,,,,,,calcareous matrix,,,,,
352-U1439A-11X-6-A,54,122,100.34,101.02,IIB,,,,silty,medium to coarse sand,with nannofossils,silty medium to coarse sand,silty medium to coarse sand with nannofossils,medium to coarse sand with nannofossils,,5YR 7/2 (pinkish gray),,unconsolidated,silt,2,coarse sand,6,,poor,non-graded,mottled layer,slight,1,,,,,,,,,calcareous matrix,,,,,
352-U1439A-11X-CC-A,0,29,101.02,101.31,IIB,,,,silty,medium to coarse sand,with nannofossils,silty medium to coarse sand,silty medium to coarse sand with nannofossils,medium to coarse sand with nannofossils,,5YR 7/2 (pinkish gray),,unconsolidated,silt,2,coarse sand,6,,poor,non-graded,mottled layer,slight,1,,,,,,,,,,,,,,
352-U1439A-12X-1-A,0,73,99,99.73,IIB,irregular,gradational,sub-horizontal,sandy,nannofossil ooze,with fine sand,sandy nannofossil ooze,sandy nannofossil ooze with fine sand,nannofossil ooze with fine sand,,5YR 6/3 (light reddish brown),,consolidated,fine sand,4,coarse sand,6,,poor,non-graded,mottled layer,strong,3,,,,,,,,,calcareous matrix,,,,,
352-U1439A-12X-1-A,73,111,99.73,100.11,IIB,irregular,gradational,sub-horizontal,silty,fine sand,with nannofossils,silty fine sand,silty fine sand with nannofossils,fine sand with nannofossils,,10YR 6/4 (light yellowish brown),,consolidated,silt,2,medium sand,5,,poor,non-graded,mottled layer,strong,3,,,,,,,,,calcareous matrix,,,,,
352-U1439A-12X-1-A,111,141,100.11,100.41,IIB,irregular,gradational,sub-horizontal,silty,medium to coarse sand,with medium to coarse sand,silty medium to coarse sand,silty medium to coarse sand with medium to coarse sand,medium to coarse sand with medium to coarse sand,,10YR 6/3 (pale brown),,consolidated,fine sand,4,coarse sand,6,,poor,non-graded,mottled layer,strong,3,,,,,,,,,calcareous matrix,,,,,
352-U1439A-12X-1-A,141,150,100.41,100.5,IIB,,,,,fine sand,with medium to coarse sand,fine sand,fine sand with medium to coarse sand,fine sand with medium to coarse sand,,10YR 5/2 (grayish brown),,consolidated,fine sand,4,coarse sand,6,,poor,non-graded,mottled layer,strong,3,,,,,,,,,calcareous matrix,,,,,
352-U1439A-12X-2-A,0,51,100.5,101.01,III,irregular,gradational,sub-horizontal,,nannofossil ooze,with medium to coarse sand,nannofossil ooze,nannofossil ooze with medium to coarse sand,nannofossil ooze with medium to coarse sand,,5YR 7/2 (pinkish gray),,consolidated,silt,2,medium sand,5,,poor,non-graded,mottled layer,strong,3,,,,,,,,,calcareous matrix,,,,,
352-U1439A-12X-2-A,51,150,101.01,102,III,,,,,nannofossil ooze,with fine sand,nannofossil ooze,nannofossil ooze with fine sand,nannofossil ooze with fine sand,,5YR 8/3 (pink),,consolidated,clay,1,silt,2,,poor,non-graded,mottled layer,strong,3,,,,,,,,,calcareous matrix,,,,,
352-U1439A-12X-3-A,0,150,102,103.5,III,,,,,nannofossil ooze,with silt,nannofossil ooze,nannofossil ooze with silt,nannofossil ooze with silt,,7.5YR 8/2 (pinkish white),,consolidated,clay,1,silt,2,,poor,non-graded,,strong,3,,,,,,,,,calcareous matrix,,,,,
352-U1439A-12X-4-A,0,17,103.5,103.67,III,irregular,gradational,sub-horizontal,nannofossil-bearing,clay,with silt,nannofossil-bearing clay,nannofossil-bearing clay with silt,clay with silt,,7.5YR 8/2 (pinkish white),,consolidated,clay,1,silt,2,,poor,non-graded,,strong,3,,,,,,,,,calcareous matrix,,,,,
352-U1439A-12X-4-A,17,96,103.67,104.46,III,irregular,gradational,sub-horizontal,,nannofossil ooze,with silt,nannofossil ooze,nannofossil ooze with silt,nannofossil ooze with silt,,5YR 6/2 (pinkish gray),,consolidated,clay,1,silt,2,,poor,non-graded,,strong,3,,,,,,,,,calcareous matrix,,,,,
352-U1439A-12X-4-A,96,150,104.46,105,III,,,,,nannofossil ooze,with silt,nannofossil ooze,nannofossil ooze with silt,nannofossil ooze with silt,,7.5YR 8/2 (pinkish white),,consolidated,clay,1,silt,2,,moderate,non-graded,,strong,3,,,,,,,,,calcareous matrix,,,,,
352-U1439A-12X-5-A,0,16,105,105.16,III,irregular,gradational,sub-horizontal,,nannofossil ooze,with silt,nannofossil ooze,nannofossil ooze with silt,nannofossil ooze with silt,,5YR 8/3 (pink),,consolidated,clay,1,silt,2,,moderate,non-graded,,strong,3,,,,,,,,,calcareous matrix,,,,,
352-U1439A-12X-5-A,16,96,105.16,105.96,III,irregular,gradational,sub-horizontal,,nannofossil ooze,with silt,nannofossil ooze,nannofossil ooze with silt,nannofossil ooze with silt,,5YR 6/2 (pinkish gray),,consolidated,clay,1,silt,2,,moderate,non-graded,,strong,3,,,,,,,,,calcareous matrix,,,,,
352-U1439A-12X-5-A,96,150,105.96,106.5,III,,,,,nannofossil ooze,with silt,nannofossil ooze,nannofossil ooze with silt,nannofossil ooze with silt,,5YR 7/3 (pink),,consolidated,clay,1,silt,2,,moderate,non-graded,,moderate,2,,,,,,,,,calcareous matrix,,,,,
352-U1439A-12X-6-A,0,121,106.5,107.71,III,,,,,nannofossil ooze,with silt,nannofossil ooze,nannofossil ooze with silt,nannofossil ooze with silt,,5YR 7/2 (pinkish gray),,consolidated,clay,1,silt,2,,moderate,non-graded,,strong,3,,,,,,,,,calcareous matrix,,,,,
352-U1439A-12X-7-A,0,74,107.71,108.45,III,,,,,nannofossil ooze,with silt,nannofossil ooze,nannofossil ooze with silt,nannofossil ooze with silt,,5YR 7/2 (pinkish gray),,consolidated,clay,1,silt,2,,moderate,non-graded,mottled layer,moderate,2,,,,,,,,,calcareous matrix,,,,,
352-U1439A-12X-CC-A,0,29,108.45,108.74,III,,,,,nannofossil ooze,with silt,nannofossil ooze,nannofossil ooze with silt,nannofossil ooze with silt,,5YR 7/3 (pink),,consolidated,clay,1,silt,2,,moderate,non-graded,mottled layer,moderate,2,,,,,,,,,calcareous matrix,,,,,
352-U1439A-13X-1-A,0,150,108.7,110.2,III,,,,,nannofossil ooze,with silt,nannofossil ooze,nannofossil ooze with silt,nannofossil ooze with silt,,5YR 7/3 (pink),,consolidated,clay,1,silt,2,,moderate,non-graded,mottled layer,moderate,2,,,,,,,,,,,,,,
352-U1439A-13X-2-A,0,35,110.2,110.55,III,irregular,gradational,sub-horizontal,,nannofossil ooze,with silt,nannofossil ooze,nannofossil ooze with silt,nannofossil ooze with silt,,5YR 7/3 (pink),,consolidated,clay,1,silt,2,,moderate,non-graded,mottled layer,moderate,2,,,,,,,,,,,at 125 cm section 1 grayish-green clay mixed with pink and brownish-gray calcareous clay,,,
352-U1439A-13X-2-A,35,73,110.55,110.93,III,irregular,sharp,inclined,nannofossil-bearing,clay,,nannofossil-bearing clay,nannofossil-bearing clay,clay,,2.5YR 7/1 (light reddish gray),,consolidated,clay,1,,,,moderate,non-graded,mottled layer,moderate,2,,,,,,,,,other matrix,,,,,
352-U1439A-13X-2-A,73,150,110.93,111.7,IV,,,,,clay,with silt,clay,clay with silt,clay with silt,,5YR 5/2 (reddish gray),,consolidated,clay,1,silt,2,black oxide segregations from 123 to 150; Manganese oxide?,moderate,non-graded,,moderate,2,,,,,,,,,other matrix,,,,,
352-U1439A-13X-3-A,0,140,111.7,113.1,IV,,,,,clay,with silt,clay,clay with silt,clay with silt,,5YR 5/2 (reddish gray),,consolidated,clay,1,silt,2,black oxide segregations from 123 to 150; Manganese oxide?,moderate,non-graded,,moderate,2,,,,,,,,,other matrix,,,,,
352-U1439A-13X-3-A,140,150,113.1,113.2,,,,,,,,,,,,,,,,,,,IW,,,,,,,,,,,,,,,,,,,
352-U1439A-13X-4-A,0,93,113.2,114.13,IV,irregular,sharp,inclined,,clay,with silt,clay,clay with silt,clay with silt,,5YR 5/2 (reddish gray),,consolidated,clay,1,silt,2,black oxide segregations from 123 to 150; Manganese oxide?,moderate,non-graded,,moderate,2,,,,,,,,,other matrix,,,,,
352-U1439A-13X-4-A,93,119,114.13,114.39,IV,irregular,scoured,inclined,,clay,,clay,clay,clay,,2.5YR 7/2 (pale red),,consolidated,clay,1,,,,,non-graded,mottled layer,slight,1,,,,,,,,,,,,,,
352-U1439A-13X-4-A,119,151,114.39,114.71,IV,irregular,sharp,inclined,,clay,with silt,clay,clay with silt,clay with silt,,5YR 5/2 (reddish gray),,consolidated,clay,1,silt,2,black oxide segregations from 123 to 150; Manganese oxide?,moderate,non-graded,,moderate,2,,,,,,,,,other matrix,,,,,
352-U1439A-13X-5-A,0,103,114.71,115.74,IV,,,,,clay,with silt,clay,clay with silt,clay with silt,,5YR 5/2 (reddish gray),,consolidated,clay,1,silt,2,black oxide segregations from 123 to 150; Manganese oxide?,moderate,non-graded,,moderate,2,,,,,,,,,other matrix,,,,,
352-U1439A-13X-6-A,0,66,115.74,116.4,IV,,,,,clay,with silt,clay,clay with silt,clay with silt,,5YR 5/2 (reddish gray),,consolidated,clay,1,silt,2,black oxide segregations from 123 to 150; Manganese oxide?,moderate,non-graded,,moderate,2,,,,,,,,,other matrix,,,,,
352-U1439A-13X-CC-A,0,44,116.4,116.84,IV,,,,,clay,with silt,clay,clay with silt,clay with silt,,5YR 5/2 (reddish gray),,consolidated,clay,1,silt,2,black oxide segregations from 123 to 150; Manganese oxide?,moderate,non-graded,,moderate,2,,,,,,,,,other matrix,,,,,
352-U1439A-14X-1-A,0,150,118.4,119.9,IV,,,,,clay,with silt,clay,clay with silt,clay with silt,,5YR 5/2 (reddish gray),,consolidated,clay,1,silt,2,black oxide segregations from 123 to 150; Manganese oxide?,moderate,non-graded,,moderate,2,,,,,,,,,other matrix,,,,,
352-U1439A-14X-2-A,0,150,119.9,121.4,IV,,,,,clay,with silt,clay,clay with silt,clay with silt,,5YR 5/2 (reddish gray),,consolidated,clay,1,silt,2,black oxide segregations from 123 to 150; Manganese oxide?,moderate,non-graded,,moderate,2,,,,,,,,,other matrix,,,,,
352-U1439A-14X-3-A,0,9,121.4,121.49,IV,,,,,clay,with silt,clay,clay with silt,clay with silt,,5YR 5/2 (reddish gray),,consolidated,clay,1,silt,2,black oxide segregations from 123 to 150; Manganese oxide?,moderate,non-graded,,moderate,2,,,,,,,,,other matrix,,,,,
352-U1439A-14X-3-A,9,14,121.49,121.54,IV,irregular,sharp,sub-horizontal,,clay,,clay,clay,clay,,5YR 8/3 (pink),thin bed,consolidated,clay,1,,,,well,non-graded,,none,0,pumice,zeolite,,,,,angular,altered greenish pumice clast,,,,,,
352-U1439A-14X-3-A,14,52,121.54,121.92,IV,irregular,sharp,sub-horizontal,,clay,with silt,clay,clay with silt,clay with silt,,5YR 5/2 (reddish gray),thick lamina,consolidated,clay,1,silt,2,black oxide segregations from 123 to 150; Manganese oxide?,moderate,non-graded,,moderate,2,,,,,,,,,other matrix,,,,,
352-U1439A-14X-3-A,52,58,121.92,121.98,IV,irregular,sharp,sub-horizontal,,clay,,clay,clay,clay,,5YR 8/3 (pink),medium bed,consolidated,clay,1,,,,well,non-graded,,slight,1,,,,,,,,,,,,,,
352-U1439A-14X-3-A,58,63,121.98,122.03,IV,irregular,sharp,sub-horizontal,,clay,with silt,clay,clay with silt,clay with silt,,5YR 5/2 (reddish gray),medium bed,consolidated,clay,1,silt,2,black oxide segregations from 123 to 150; Manganese oxide?,moderate,non-graded,,moderate,2,,,,,,,,,other matrix,,,,,
352-U1439A-14X-3-A,63,66,122.03,122.06,IV,irregular,sharp,sub-horizontal,,clay,,clay,clay,clay,,5YR 8/3 (pink),thin bed,consolidated,clay,1,,,,well,non-graded,,none,0,,,,,,,,,,,,,,
352-U1439A-14X-3-A,66,86,122.06,122.26,IV,irregular,sharp,sub-horizontal,,clay,with silt,clay,clay with silt,clay with silt,,5YR 5/2 (reddish gray),thick bed,consolidated,clay,1,silt,2,black oxide segregations from 123 to 150; Manganese oxide?,moderate,non-graded,,moderate,2,,,,,,,,,other matrix,,,,,
352-U1439A-14X-3-A,86,89,122.26,122.29,IV,irregular,sharp,sub-horizontal,,clay,,clay,clay,clay,,5YR 8/3 (pink),thin bed,consolidated,clay,1,,,,well,non-graded,,none,0,,,,,,,,,,,,,,
352-U1439A-14X-3-A,89,102,122.29,122.42,IV,irregular,sharp,sub-horizontal,,clay,with silt,clay,clay with silt,clay with silt,,5YR 5/2 (reddish gray),thin bed,consolidated,clay,1,silt,2,black oxide segregations from 123 to 150; Manganese oxide?,moderate,non-graded,,moderate,2,,,,,,,,,other matrix,,,,,
352-U1439A-14X-3-A,102,105,122.42,122.45,IV,irregular,sharp,sub-horizontal,,clay,,clay,clay,clay,,5YR 8/3 (pink),thin bed,consolidated,clay,1,,,,well,non-graded,,none,0,,,,,,,,,,,,,,
352-U1439A-14X-3-A,105,150,122.45,122.9,IV,,,,,clay,with silt,clay,clay with silt,clay with silt,,5YR 5/2 (reddish gray),thick bed,consolidated,clay,1,silt,2,black oxide segregations from 123 to 150; Manganese oxide?,moderate,non-graded,,moderate,2,,,,,,,,,other matrix,,,,,
352-U1439A-14X-4-A,0,73,122.9,123.63,IV,irregular,sharp,sub-horizontal,,clay,with silt,clay,clay with silt,clay with silt,,5YR 5/2 (reddish gray),thick bed,consolidated,clay,1,silt,2,black oxide segregations from 123 to 150; Manganese oxide?,moderate,non-graded,,moderate,2,,,,,,,,,other matrix,,,,,
352-U1439A-14X-4-A,73,76,123.63,123.66,IV,irregular,sharp,sub-horizontal,,clay,,clay,clay,clay,,5YR 8/3 (pink),thin bed,consolidated,clay,1,,,,well,non-graded,,none,0,,,,,,,,,,,,,,
352-U1439A-14X-4-A,76,81,123.66,123.71,IV,irregular,sharp,sub-horizontal,,clay,with silt,clay,clay with silt,clay with silt,,5YR 5/2 (reddish gray),thick bed,consolidated,clay,1,silt,2,black oxide segregations from 123 to 150; Manganese oxide?,moderate,non-graded,,moderate,2,,,,,,,,,other matrix,,,,,
352-U1439A-14X-4-A,81,85,123.71,123.75,IV,irregular,sharp,sub-horizontal,,clay,,clay,clay,clay,,5YR 8/3 (pink),thin bed,consolidated,clay,1,,,,well,non-graded,,none,0,,,,,,,,,,,,,,
352-U1439A-14X-4-A,85,131,123.75,124.21,IV,irregular,sharp,sub-horizontal,,clay,with silt,clay,clay with silt,clay with silt,,5YR 5/2 (reddish gray),thick bed,consolidated,clay,1,silt,2,black oxide segregations from 123 to 150; Manganese oxide?,moderate,non-graded,,moderate,2,,,,,,,,,other matrix,,,,,
352-U1439A-14X-4-A,131,150,124.21,124.4,IV,,,,,clay,,clay,clay,clay,,5YR 8/3 (pink),thick bed,consolidated,clay,1,,,,well,non-graded,,none,0,,,,,,,,,,,,,,
352-U1439A-14X-5-A,0,58,124.4,124.98,IV,irregular,sharp,sub-horizontal,,clay,,clay,clay,clay,,5YR 8/3 (pink),thick bed,consolidated,clay,1,,,,well,non-graded,,none,0,,,,,,,,,,,,,,
352-U1439A-14X-5-A,58,110,124.98,125.5,IV,irregular,sharp,sub-horizontal,,clay,with silt,clay,clay with silt,clay with silt,,5YR 5/2 (reddish gray),thick bed,consolidated,clay,1,silt,2,black oxide segregations from 123 to 150; Manganese oxide?,moderate,non-graded,,moderate,2,,,,,,,,,other matrix,,,,,
352-U1439A-14X-5-A,110,138,125.5,125.78,IV,irregular,sharp,sub-horizontal,,clay,,clay,clay,clay,,5YR 8/2 (pinkish white),thick bed,consolidated,clay,1,,,,well,non-graded,,none,0,,,,,,,,,,,,,,
352-U1439A-14X-5-A,138,150,125.78,125.9,IV,,,,,clay,with silt,clay,clay with silt,clay with silt,,5YR 5/2 (reddish gray),thick bed,consolidated,clay,1,silt,2,black oxide segregations from 123 to 150; Manganese oxide?,moderate,non-graded,,moderate,2,,,,,,,,,other matrix,,,,,
352-U1439A-14X-6-A,0,45,125.9,126.35,IV,irregular,sharp,sub-horizontal,,clay,with silt,clay,clay with silt,clay with silt,,5YR 5/2 (reddish gray),thick bed,consolidated,clay,1,silt,2,black oxide segregations from 123 to 150; Manganese oxide?,moderate,non-graded,,moderate,2,,,,,,,,,other matrix,,,,,
352-U1439A-14X-6-A,45,69,126.35,126.59,IV,irregular,sharp,sub-horizontal,,clay,,clay,clay,clay,,2.5YR 7/4 (light reddish brown),thick bed,consolidated,clay,1,,,,well,non-graded,,none,0,,,,,,,,,,,,,,
352-U1439A-14X-6-A,69,130,126.59,127.2,IV,,,,,clay,with silt,clay,clay with silt,clay with silt,,5YR 5/2 (reddish gray),thick bed,consolidated,clay,1,silt,2,black oxide segregations from 123 to 150; Manganese oxide?,moderate,non-graded,,moderate,2,,,,,,,,,other matrix,,,,,
352-U1439A-14X-7-A,0,17,127.2,127.37,IV,irregular,sharp,sub-horizontal,,clay,with silt,clay,clay with silt,clay with silt,,5YR 5/2 (reddish gray),thick bed,consolidated,clay,1,silt,2,black oxide segregations from 123 to 150; Manganese oxide?,moderate,non-graded,,moderate,2,,,,,,,,,other matrix,,,,,
352-U1439A-14X-7-A,17,34,127.37,127.54,IV,irregular,sharp,sub-horizontal,,clay,,clay,clay,clay,,2.5YR 7/4 (light reddish brown),thick bed,consolidated,clay,1,,,,well,non-graded,,none,0,,,,,,,,,,,,,,
352-U1439A-14X-7-A,34,54,127.54,127.74,IV,,,,,clay,with silt,clay,clay with silt,clay with silt,,5YR 5/2 (reddish gray),thick bed,consolidated,clay,1,silt,2,black oxide segregations from 123 to 150; Manganese oxide?,moderate,non-graded,,moderate,2,,,,,,,,,other matrix,,,,,
352-U1439A-14X-CC-A,0,27,127.74,128.01,IV,,,,,clay,with silt,clay,clay with silt,clay with silt,,5YR 5/2 (reddish gray),thick bed,consolidated,clay,1,silt,2,black oxide segregations from 123 to 150; Manganese oxide?,moderate,non-graded,,moderate,2,,,,,,,,,other matrix,,,,,
