dupes and comments,Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Drilling disturbance type,Drilling disturbance intensity,Drilling disturbance intensity rank,Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. color,MAJ Lith. prefix + name,MAJ Lith. prefix+name+suffix,MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank,MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,Lith. comment,Clast lithology,Clast size,Clast morphology (shape),Clast sorting,Clast color,Clast roundness,Clast roundness rank,Clast lithology comment,Matrix sorting,Clast/matrix texture,Matrix comment,Bioturbation intensity,Bioturbation intensity rank,General comment,File Data,Ship File Links,Shore File Links,Minor Lithology Suffix,Minor Lithology Prefix,Minor Lithology Name,Extra Sample ID Data
,344-U1412C-9R-1-W,344,U1412,C,9,9-1,R,1,W,0,84,367.6,368.44,fragmented,high [drilling disturbance],6,clayey,siltstone [USGS],with biogenic components [Leg339],10Y 4/1 (dark greenish gray),clayey  siltstone ,clayey siltstone  with biogenic components [Leg339],silt [W22_1],2,sand [W22_1],3,"calcareous matrix, biogenic components increase with increasing depth
",,,,,,,,,,,,common [B06],4,,,,,,,,
,344-U1412C-9R-2-W,344,U1412,C,9,9-2,R,2,W,0,6,368.44,368.5,,slight [drilling disturbance],2,clayey,siltstone [USGS],with biogenic components [Leg339],10Y 4/1 (dark greenish gray),clayey  siltstone ,clayey siltstone  with biogenic components [Leg339],silt [W22_1],2,sand [W22_1],3,,,,,,,,,,,,,heavy [B06],5,,,,,,,,
,344-U1412C-9R-2-W,344,U1412,C,9,9-2,R,2,W,6,16,368.5,368.6,,slight [drilling disturbance],2,,tephra [FS84],,N 4 (dark gray),tephra ,tephra ,sand [W22_1],3,sand [W22_1],3,"normally graded, free of biogenic components, sharp bottom boundary and bioturbated top boundary
",,,,,,,,,,,,,,,,,,,,,
,344-U1412C-9R-2-W,344,U1412,C,9,9-2,R,2,W,16,57,368.6,369.01,,high [drilling disturbance],6,clayey,siltstone [USGS],with biogenic components [Leg339],10GY 4/1 (dark greenish gray),clayey  siltstone ,clayey siltstone  with biogenic components [Leg339],silt [W22_1],2,sand [W22_1],3,cm-sized elongate sandstone clast ,sandstone [Leg101],,,,,,,,,,,common [B06],4,,,,,,,,
,344-U1412C-9R-2-W,344,U1412,C,9,9-2,R,2,W,57,88,369.01,369.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,IW,,,,,,,
,344-U1412C-9R-3-W,344,U1412,C,9,9-3,R,3,W,0,90,369.32,370.22,,high [drilling disturbance],6,clayey,siltstone [USGS],with biogenic components [Leg339],10GY 4/1 (dark greenish gray),clayey  siltstone ,clayey siltstone  with biogenic components [Leg339],silt [W22_1],2,sand [W22_1],3,"with sand-sized biogenic components, glauconite at 30 cm, several mm-thick single burrows",,,,,,,,,,,,common [B06],4,,,,,,,,
,344-U1412C-9R-CC-A,344,U1412,C,9,9-CC,R,CC,A,0,9,370.22,370.31,,high [drilling disturbance],6,clayey,siltstone [USGS],with biogenic components [Leg339],10GY 4/1 (dark greenish gray),clayey  siltstone ,clayey siltstone  with biogenic components [Leg339],silt [W22_1],2,sand [W22_1],3,"with sand-sized biogenic components, glauconite at 30 cm, several mm-thick single burrows",,,,,,,,,,,,common [B06],4,,,,,,,,
,344-U1412C-9R-CC-W,344,U1412,C,9,9-CC,R,CC,W,0,9,370.22,370.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,All to PAL,,,,,,,
,344-U1412C-10R-1-A,344,U1412,C,10,10-1,R,1,A,0,91,377.3,378.21,washed gravel,high [drilling disturbance],6,clayey,siltstone [USGS],with biogenic components [Leg339],10GY 4/1 (dark greenish gray),clayey  siltstone ,clayey siltstone  with biogenic components [Leg339],silt [W22_1],2,coarse silt [W22_2],5,,,,,,,,,,,,,slight [B06],2,"Core is highly disturbed by drilling into gravity segregated segments where fine grained material appears on the top of the drilling segmetna and becomes coarser downcore.
",,,,,,,
,344-U1412C-10R-2-A,344,U1412,C,10,10-2,R,2,A,0,150,378.21,379.71,washed gravel,high [drilling disturbance],6,clayey,siltstone [USGS],with biogenic components [Leg339],10GY 4/1 (dark greenish gray),clayey  siltstone ,clayey siltstone  with biogenic components [Leg339],silt [W22_1],2,coarse silt [W22_2],5,,,,,,,,,,,,,,4,"Matrix contains a calcareous detrital background fraction, common nannos, diatom and radiolarians fragments.  Minerals are rare hornblende and feldspar.  Some glass and clay fragments.",,,,,,,
,344-U1412C-10R-3-A,344,U1412,C,10,10-3,R,3,A,0,123,379.71,380.94,washed gravel,high [drilling disturbance],6,clayey,siltstone [USGS],with biogenic components [Leg339],10GY 4/1 (dark greenish gray),clayey  siltstone ,clayey siltstone  with biogenic components [Leg339],silt [W22_1],2,coarse silt [W22_2],5,,,,,,,,,,,,,,4,"Matrix contains a calcareous detrital background fraction, common nannos, diatom and radiolarians fragments.  Minerals are rare hornblende and feldspar.  Some glass and clay fragments.",,,,,,,
,344-U1412C-10R-CC-A,344,U1412,C,10,10-CC,R,CC,A,0,19,380.94,381.13,washed gravel,high [drilling disturbance],6,clayey,siltstone [USGS],with biogenic components [Leg339],10GY 4/1 (dark greenish gray),clayey  siltstone ,clayey siltstone  with biogenic components [Leg339],silt [W22_1],2,coarse silt [W22_2],5,,,,,,,,,,,,,,4,"Matrix contains a calcareous detrital background fraction, common nannos, diatom and radiolarians fragments.  Minerals are rare hornblende and feldspar.  Some glass and clay fragments.",,,,,,,
