Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix+name+suffix [read only],TEPHRA type,Sediment structures,MAJ lith color (simple),MAJ Lith. color,MAJ Lith. abundance [%],MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank [read only],MAJ Lith. max. grain size,MAJ Lith. max. grain size rank [read only],MAJ lithology comment,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN lith color (simple),MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,MIN lithology comment,Lith. abundance sum [%],Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Grading,Amount of ash in lithology,Amount of ash in lithology rank [read only],Sedimentary structure comment,Bioturbation intensity,Bioturbation intensity rank [read only],Diagenetic structure,Macrofossil,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
355-U1456C-7H-2-A,37,56.0,48.67,48.86,,,nannofossil ooze,with clay,nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),60,clay,1,silt,2,,nannofossil rich,sand,with silt,nannofossil rich sand,nannofossil rich sand with silt,sand with silt,dark gray,GLEY 1 3/10Y (very dark greenish gray),40,fine sand,4,medium sand,5,,100,erosive,gradational,sub-horizontal,medium bedded,,,,,,,,,,,,,355,U1456,C,7,H,2,A,
355-U1456C-7H-2-A,56,71.0,48.86,49.01,,,nannofossil ooze,with clay,nannofossil ooze with clay,,burrows,light gray,GLEY 1 5/10Y (greenish gray),,clay,1,silt,2,,,,,,,,,,,,,,,,,erosive,gradational,sub-horizontal,medium bedded,,,,,slight,2,,,,,,,355,U1456,C,7,H,2,A,
355-U1456C-7H-2-A,71,108.0,49.01,49.38,,nannofossil rich,sand,with silt,nannofossil rich sand with silt,,parallel lamination,dark gray,GLEY 1 3/10Y (very dark greenish gray),,fine sand,4,medium sand,5,,,,,,,,,,,,,,,,,erosive,sharp,sub-horizontal,thickly bedded,normally graded,,,,,,,,,,,,355,U1456,C,7,H,2,A,
355-U1456C-7H-2-A,108,119.0,49.38,49.49,,,nannofossil ooze,with clay,nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,clay,1,silt,2,,,,,,,,,,,,,,,,,erosive,scoured,sub-horizontal,medium bedded,,,,,,,,,,,,,355,U1456,C,7,H,2,A,
355-U1456C-7H-2-A,119,150.0,49.49,49.8,,nannofossil rich,sand,with silt,nannofossil rich sand with silt,,parallel lamination,dark gray,GLEY 1 3/10Y (very dark greenish gray),,fine sand,4,medium sand,5,,,,,,,,,,,,,,,,,,,,thickly bedded,normally graded,,,,,,,,,,,,355,U1456,C,7,H,2,A,
355-U1456C-7H-3-A,0,40.0,49.8,50.2,,nannofossil rich,sand,with silt,nannofossil rich sand with silt,,parallel lamination,dark gray,GLEY 1 3/10Y (very dark greenish gray),,fine sand,4,medium sand,5,,,,,,,,,,,,,,,,,erosive,sharp,sub-horizontal,thickly bedded,normally graded,,,,,,,,,,,,355,U1456,C,7,H,3,A,
355-U1456C-7H-3-A,40,56.0,50.2,50.36,,,nannofossil ooze,with clay,nannofossil ooze with clay,,burrows,light gray,GLEY 1 5/10Y (greenish gray),,clay,1,silt,2,,,,,,,,,,,,,,,,,erosive,scoured,sub-horizontal,medium bedded,,,,,slight,2,,,,,,,355,U1456,C,7,H,3,A,
355-U1456C-7H-3-A,56,97.0,50.36,50.77,,nannofossil rich,sand,with silt,nannofossil rich sand with silt,,parallel lamination,dark gray,GLEY 1 3/10Y (very dark greenish gray),,fine sand,4,medium sand,5,,,,,,,,,,,,,,,,,erosive,sharp,sub-horizontal,thickly bedded,normally graded,,,,,,,,,,,,355,U1456,C,7,H,3,A,
355-U1456C-7H-3-A,97,112.0,50.77,50.92,,,nannofossil ooze,,nannofossil ooze,,,light gray,GLEY 1 6/10Y (greenish gray),,clay,1,silt,2,,,,,,,,,,,,,,,,,erosive,scoured,sub-horizontal,medium bedded,,,,,slight,2,,,,,,,355,U1456,C,7,H,3,A,
355-U1456C-7H-3-A,112,150.0,50.92,51.3,,nannofossil rich,sand,with silt,nannofossil rich sand with silt,,,dark gray,GLEY 1 3/10Y (very dark greenish gray),,fine sand,4,medium sand,5,,,,,,,,,,,,,,,,,,,,thickly bedded,normally graded,,,,,,,,,,,,355,U1456,C,7,H,3,A,
355-U1456C-7H-4-A,0,40.0,51.3,51.7,,nannofossil rich,sand,with silt,nannofossil rich sand with silt,,,dark gray,GLEY 1 3/10Y (very dark greenish gray),,fine sand,4,medium sand,5,,,,,,,,,,,,,,,,,erosive,sharp,sub-horizontal,thickly bedded,normally graded,,,,,,,,,,,,355,U1456,C,7,H,4,A,
355-U1456C-7H-4-A,40,69.0,51.7,51.99,,,nannofossil ooze,with clay,nannofossil ooze with clay,,burrows,dark gray,GLEY 1 4/10Y (dark greenish gray),,clay,1,silt,2,,,,,,,,,,,,,,,,,erosive,scoured,sub-horizontal,medium bedded,,,,,slight,2,,,,,,,355,U1456,C,7,H,4,A,
355-U1456C-7H-4-A,69,97.0,51.99,52.27,,nannofossil rich,sand,with silt,nannofossil rich sand with silt,,,dark gray,GLEY 1 3/10Y (very dark greenish gray),,fine sand,4,medium sand,5,,,,,,,,,,,,,,,,,erosive,sharp,sub-horizontal,medium bedded,normally graded,,,,,,,,,,,,355,U1456,C,7,H,4,A,
355-U1456C-7H-4-A,97,115.0,52.27,52.45,,nannofossil rich,clay,,nannofossil rich clay,,,dark gray,GLEY 1 4/10Y (dark greenish gray),60,clay,1,silt,2,,nannofossil rich,sand,with silt,nannofossil rich sand,nannofossil rich sand with silt,sand with silt,dark gray,GLEY 1 3/10Y (very dark greenish gray),40,fine sand,4,medium sand,5,,100,erosive,sharp,sub-horizontal,medium bedded,,,,,,2,,,,,,,355,U1456,C,7,H,4,A,
355-U1456C-7H-4-A,115,141.0,52.45,52.71,,nannofossil rich,clay,,nannofossil rich clay,,,dark gray,GLEY 1 4/10Y (dark greenish gray),,clay,1,silt,2,,,,,,,,,,,,,,,,,erosive,scoured,sub-horizontal,medium bedded,,,,,slight,2,,,,,,,355,U1456,C,7,H,4,A,
355-U1456C-7H-4-A,141,150.0,52.71,52.8,,nannofossil rich,sand,with silt,nannofossil rich sand with silt,,,dark gray,GLEY 1 3/10Y (very dark greenish gray),,fine sand,4,medium sand,5,,,,,,,,,,,,,,,,,,,,thinly bedded,normally graded,,,,,2,,,,,,,355,U1456,C,7,H,4,A,
355-U1456C-7H-5-A,0,43.0,52.8,53.23,,nannofossil rich,sand,with silt,nannofossil rich sand with silt,,,dark gray,GLEY 1 3/10Y (very dark greenish gray),90,fine sand,4,medium sand,5,,nannofossil rich,clay,,nannofossil rich clay,nannofossil rich clay,clay,light gray,GLEY 1 5/10Y (greenish gray),10,clay,1,silt,2,,100,erosive,sharp,sub-horizontal,thickly bedded,normally graded,,,,,,,,,,,,355,U1456,C,7,H,5,A,
355-U1456C-7H-5-A,43,64.0,53.23,53.44,,,nannofossil ooze,with clay,nannofossil ooze with clay,,burrows,light gray,GLEY 1 5/10Y (greenish gray),,clay,1,silt,2,,,,,,,,,,,,,,,,,erosive,sharp,sub-horizontal,medium bedded,,,,,slight,2,,,,,,,355,U1456,C,7,H,5,A,
355-U1456C-7H-5-A,64,96.0,53.44,53.76,,nannofossil rich,sand,with silt,nannofossil rich sand with silt,,parallel lamination,dark gray,GLEY 1 3/10Y (very dark greenish gray),,fine sand,4,medium sand,5,,,,,,,,,,,,,,,,,erosive,sharp,inclined,thinly bedded,normally graded,,,,,,,,,,,,355,U1456,C,7,H,5,A,
355-U1456C-7H-5-A,96,109.0,53.76,53.89,,,nannofossil ooze,with clay,nannofossil ooze with clay,,burrows,light gray,GLEY 1 5/10Y (greenish gray),,clay,1,silt,2,,,,,,,,,,,,,,,,,erosive,sharp,sub-horizontal,medium bedded,,,,,slight,2,,,,,,,355,U1456,C,7,H,5,A,
355-U1456C-7H-5-A,109,120.0,53.89,54.0,,nannofossil rich,sand,with silt,nannofossil rich sand with silt,,parallel lamination,dark gray,GLEY 1 3/10Y (very dark greenish gray),,fine sand,4,medium sand,5,,,,,,,,,,,,,,,,,erosive,sharp,horizontal,medium bedded,normally graded,,,,,,,,,,,,355,U1456,C,7,H,5,A,
355-U1456C-7H-5-A,120,147.0,54.0,54.27,,nannofossil rich,clay,,nannofossil rich clay,,burrows,dark gray,GLEY 1 4/10Y (dark greenish gray),,clay,1,silt,2,,nannofossil rich,sand,with silt,nannofossil rich sand,nannofossil rich sand with silt,sand with silt,dark gray,GLEY 1 3/10Y (very dark greenish gray),,fine sand,4,medium sand,5,,,erosive,scoured,sub-horizontal,medium bedded,,,,,moderate,3,,,,,,,355,U1456,C,7,H,5,A,
355-U1456C-7H-5-A,147,150.0,54.27,54.3,,nannofossil rich,sand,with silt,nannofossil rich sand with silt,,,dark gray,GLEY 1 3/10Y (very dark greenish gray),,fine sand,4,medium sand,5,,,,,,,,,,,,,,,,,,,,thinly bedded,normally graded,,,,,,,shell fragment,,,,,355,U1456,C,7,H,5,A,
355-U1456C-7H-6-A,0,4.0,54.3,54.34,,nannofossil rich,sand,with silt,nannofossil rich sand with silt,,,dark gray,GLEY 1 3/10Y (very dark greenish gray),,fine sand,4,medium sand,5,,,,,,,,,,,,,,,,,erosive,sharp,sub-horizontal,thinly bedded,normally graded,,,,,,,,,,,,355,U1456,C,7,H,6,A,
355-U1456C-7H-6-A,4,21.0,54.34,54.51,,,nannofossil ooze,with clay,nannofossil ooze with clay,,burrows,light gray,GLEY 1 5/10Y (greenish gray),,clay,1,silt,2,,,,,,,,,,,,,,,,,bioturbated,bioturbated,horizontal,medium bedded,,,,,moderate,3,,,,,,,355,U1456,C,7,H,6,A,
355-U1456C-7H-6-A,21,64.0,54.51,54.94,,nannofossil rich,clay,,nannofossil rich clay,,burrows,dark gray,GLEY 1 4/10Y (dark greenish gray),90,clay,1,silt,2,,nannofossil rich,sand,with silt,nannofossil rich sand,nannofossil rich sand with silt,sand with silt,dark gray,GLEY 1 3/10Y (very dark greenish gray),10,fine sand,4,medium sand,5,,100,erosive,sharp,sub-horizontal,thickly bedded,,,,,moderate,3,,,,,,,355,U1456,C,7,H,6,A,
355-U1456C-7H-6-A,64,73.0,54.94,55.03,,,nannofossil ooze,with clay,nannofossil ooze with clay,,burrows,light gray,GLEY 1 5/10Y (greenish gray),,clay,1,silt,2,,,,,,,,,,,,,,,,,bioturbated,bioturbated,sub-horizontal,thinly bedded,,,,,slight,2,,,,,,,355,U1456,C,7,H,6,A,
355-U1456C-7H-6-A,73,102.0,55.03,55.32,,nannofossil rich,clay,,nannofossil rich clay,,burrows,light gray,GLEY 1 5/10Y (greenish gray),,clay,1,silt,2,,,,,,,,,,,,,,,,,erosive,scoured,sub-horizontal,medium bedded,,,,,,,,,,,,,355,U1456,C,7,H,6,A,
355-U1456C-7H-6-A,102,112.0,55.32,55.42,,nannofossil rich,sand,with silt,nannofossil rich sand with silt,,,dark gray,GLEY 1 3/10Y (very dark greenish gray),,fine sand,4,medium sand,5,,,,,,,,,,,,,,,,,,,,thinly bedded,normally graded,,,,,,,,,,,,355,U1456,C,7,H,6,A,
355-U1456C-8H,0,948.0,56.3,65.78,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1456,C,8,H,,,
355-U1456C-8H-1-A,0,19.0,56.3,56.49,,,clay,with nannofossils,clay with nannofossils,,,dark gray,GLEY 1 2.5/10Y (greenish black),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1456,C,8,H,1,A,
355-U1456C-8H-1-A,19,43.0,56.49,56.73,,,nannofossil ooze,,nannofossil ooze,,,light gray,GLEY 1 6/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1456,C,8,H,1,A,
355-U1456C-8H-1-A,43,60.0,56.73,56.9,,,nannofossil ooze,,nannofossil ooze,,,light gray,GLEY 1 6/10Y (greenish gray),70,clay,1,clay,1,,nannofossil rich,sand,,nannofossil rich sand,nannofossil rich sand,sand,light gray,GLEY 1 6/10Y (greenish gray),30,fine sand,4,medium sand,5,,100,erosive,scoured,horizontal,thinly bedded,normally graded,,,,,,,,,,,,355,U1456,C,8,H,1,A,
355-U1456C-8H-1-A,60,84.0,56.9,57.14,,nannofossil rich,clay,,nannofossil rich clay,,burrows,light gray,GLEY 1 5/10Y (greenish gray),,clay,1,clay,1,,,,,,,,,,,,,,,,,erosive,sharp,horizontal,medium bedded,,,,,slight,2,,,,,,,355,U1456,C,8,H,1,A,
355-U1456C-8H-1-A,84,97.0,57.14,57.27,,,nannofossil ooze,,nannofossil ooze,,burrows,light gray,GLEY 1 6/10Y (greenish gray),,clay,1,clay,1,,,,,,,,,,,,,,,,,gradational,gradational,horizontal,medium bedded,,,,,,,,,,,,,355,U1456,C,8,H,1,A,
355-U1456C-8H-1-A,97,116.0,57.27,57.46,,nannofossil rich,clay,,nannofossil rich clay,,,light gray,GLEY 1 5/10Y (greenish gray),90,clay,1,clay,1,,nannofossil rich,silt,,nannofossil rich silt,nannofossil rich silt,silt,light gray,GLEY 1 5/10Y (greenish gray),10,silt,2,silt,2,,100,erosive,scoured,horizontal,medium bedded,normally graded,,,,,,,,,,,,355,U1456,C,8,H,1,A,
355-U1456C-8H-1-A,116,128.0,57.46,57.58,,,nannofossil ooze,,nannofossil ooze,,burrows,light gray,GLEY 1 6/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1456,C,8,H,1,A,
355-U1456C-8H-1-A,129,150.0,57.59,57.8,,nannofossil rich,clay,,nannofossil rich clay,,,light gray,GLEY 1 5/10Y (greenish gray),90,clay,1,clay,1,,nannofossil rich,silt,,nannofossil rich silt,nannofossil rich silt,silt,light gray,GLEY 1 5/10Y (greenish gray),10,silt,2,silt,2,,100,,,,,,,,,,,,,,,,,355,U1456,C,8,H,1,A,
355-U1456C-8H-2-A,0,14.0,57.8,57.94,,nannofossil rich,clay,,nannofossil rich clay,,burrows,light gray,GLEY 1 5/10Y (greenish gray),,clay,1,clay,1,,,,,,,,,,,,,,,,,planar,gradational,horizontal,medium bedded,,,,,slight,2,,,,,,,355,U1456,C,8,H,2,A,
355-U1456C-8H-2-A,14,21.0,57.94,58.01,,nannofossil rich,clay,,nannofossil rich clay,,,light gray,GLEY 1 5/10Y (greenish gray),,silt,2,silt,2,,,,,,,,,,,,,,,,,erosive,scoured,horizontal,thinly bedded,,,,,,,,,,,,,355,U1456,C,8,H,2,A,
355-U1456C-8H-2-A,21,33.0,58.01,58.13,,nannofossil rich,clay,,nannofossil rich clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,erosive,sharp,horizontal,medium bedded,,,,,,,,,,,,,355,U1456,C,8,H,2,A,
355-U1456C-8H-2-A,33,64.0,58.13,58.44,,,nannofossil ooze,,nannofossil ooze,,burrows,light gray,GLEY 1 6/10Y (greenish gray),60,clay,1,clay,1,,nannofossil rich,clay,,nannofossil rich clay,nannofossil rich clay,clay,light gray,GLEY 1 5/10Y (greenish gray),40,clay,1,clay,1,,100,bioturbated,gradational,horizontal,medium bedded,,,,,slight,2,,,,,,,355,U1456,C,8,H,2,A,
355-U1456C-8H-2-A,64,87.0,58.44,58.67,,nannofossil rich,clay,,nannofossil rich clay,,burrows,light gray,GLEY 1 5/10Y (greenish gray),90,clay,1,clay,1,,nannofossil rich,sand,,nannofossil rich sand,nannofossil rich sand,sand,light gray,GLEY 1 5/10Y (greenish gray),10,fine sand,4,fine sand,4,,100,erosive,scoured,horizontal,medium bedded,,,,,slight,2,,,,,,,355,U1456,C,8,H,2,A,
355-U1456C-8H-2-A,87,99.0,58.67,58.79,,nannofossil rich,clay,,nannofossil rich clay,,burrows,light gray,GLEY 1 5/10Y (greenish gray),80,clay,1,clay,1,,nannofossil rich,silt,,nannofossil rich silt,nannofossil rich silt,silt,light gray,GLEY 1 5/10Y (greenish gray),20,silt,2,silt,2,,100,erosive,scoured,horizontal,thinly bedded,,,,,slight,2,,,,,,,355,U1456,C,8,H,2,A,
355-U1456C-8H-2-A,99,119.0,58.79,58.99,,,nannofossil ooze,,nannofossil ooze,,burrows,light gray,GLEY 1 6/10Y (greenish gray),80,clay,1,clay,1,,nannofossil rich,silt,,nannofossil rich silt,nannofossil rich silt,silt,light gray,GLEY 1 5/10Y (greenish gray),20,silt,2,silt,2,,100,erosive,scoured,horizontal,thinly bedded,,,,,slight,2,,,,,,,355,U1456,C,8,H,2,A,
355-U1456C-8H-2-A,119,150.0,58.99,59.3,,nannofossil rich,clay,,nannofossil rich clay,,burrows,light gray,GLEY 1 5/10Y (greenish gray),80,clay,1,clay,1,,,nannofossil ooze,,nannofossil ooze,nannofossil ooze,nannofossil ooze,light gray,GLEY 1 6/10Y (greenish gray),20,clay,1,clay,1,,100,,,,,,,,,slight,2,,,,,,,355,U1456,C,8,H,2,A,
355-U1456C-8H-3-A,0,16.0,59.3,59.46,,nannofossil rich,clay,,nannofossil rich clay,,burrows,light gray,GLEY 1 5/10Y (greenish gray),90,clay,1,clay,1,,nannofossil rich,sand,,nannofossil rich sand,nannofossil rich sand,sand,light gray,GLEY 1 5/10Y (greenish gray),10,very fine sand,3,very fine sand,3,,100,erosive,scoured,horizontal,thinly bedded,,,,,slight,2,,,,,,,355,U1456,C,8,H,3,A,
355-U1456C-8H-3-A,16,33.0,59.46,59.63,,nannofossil rich,clay,,nannofossil rich clay,,burrows,light gray,GLEY 1 5/10Y (greenish gray),90,clay,1,clay,1,,nannofossil rich,silt,,nannofossil rich silt,nannofossil rich silt,silt,light gray,GLEY 1 5/10Y (greenish gray),10,silt,2,silt,2,,100,erosive,sharp,horizontal,thinly bedded,,,,,,,,,,,,,355,U1456,C,8,H,3,A,
355-U1456C-8H-3-A,33,78.0,59.63,60.08,,nannofossil rich,clay,,nannofossil rich clay,,burrows,light gray,GLEY 1 5/10Y (greenish gray),70,clay,1,clay,1,,nannofossil rich,silt,,nannofossil rich silt,nannofossil rich silt,silt,light gray,GLEY 1 5/10Y (greenish gray),30,silt,2,silt,2,,100,gradational,gradational,horizontal,medium bedded,,,,,slight,2,,,,,,,355,U1456,C,8,H,3,A,
355-U1456C-8H-3-A,78,86.0,60.08,60.16,,nannofossil rich,sand,,nannofossil rich sand,,,light gray,GLEY 1 5/10Y (greenish gray),,fine sand,4,medium sand,5,,,,,,,,,,,,,,,,,erosive,scoured,horizontal,medium bedded,normally graded,,,,,,,,,,,,355,U1456,C,8,H,3,A,
355-U1456C-8H-3-A,86,117.0,60.16,60.47,,nannofossil rich,clay,,nannofossil rich clay,,burrows,light gray,GLEY 1 5/10Y (greenish gray),70,clay,1,clay,1,,nannofossil rich,silt,,nannofossil rich silt,nannofossil rich silt,silt,light gray,GLEY 1 5/10Y (greenish gray),30,silt,2,silt,2,,100,erosive,sharp,horizontal,medium bedded,normally graded,,,,slight,2,,,,,,,355,U1456,C,8,H,3,A,
355-U1456C-8H-3-A,117,137.0,60.47,60.67,,nannofossil rich,clay,,nannofossil rich clay,,burrows,light gray,GLEY 1 5/10Y (greenish gray),,clay,1,clay,1,,,,,,,,,,,,,,,,,planar,gradational,horizontal,medium bedded,,,,,slight,2,,,,,,,355,U1456,C,8,H,3,A,
355-U1456C-8H-3-A,137,150.0,60.67,60.8,,nannofossil rich,sand,,nannofossil rich sand,,,light gray,GLEY 1 5/10Y (greenish gray),,very fine sand,3,very fine sand,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1456,C,8,H,3,A,
355-U1456C-8H-4-A,0,4.0,60.8,60.84,,nannofossil rich,sand,,nannofossil rich sand,,,dark gray,GLEY 1 4/10Y (dark greenish gray),,fine sand,4,fine sand,4,,,,,,,,,,,,,,,,,erosive,scoured,horizontal,thinly bedded,,,,,,,,,,,,,355,U1456,C,8,H,4,A,
355-U1456C-8H-4-A,4,18.0,60.84,60.98,,,nannofossil ooze,,nannofossil ooze,,,light gray,GLEY 1 6/10Y (greenish gray),90,clay,1,clay,1,,nannofossil rich,silt,,nannofossil rich silt,nannofossil rich silt,silt,light gray,GLEY 1 5/10Y (greenish gray),10,silt,2,silt,2,,100,erosive,sharp,horizontal,medium bedded,,,,,,,,,,,,,355,U1456,C,8,H,4,A,
355-U1456C-8H-4-A,18,59.0,60.98,61.39,,nannofossil rich,clay,,nannofossil rich clay,,,light gray,GLEY 1 5/10Y (greenish gray),60,clay,1,clay,1,,nannofossil rich,sand,,nannofossil rich sand,nannofossil rich sand,sand,light gray,GLEY 1 5/10Y (greenish gray),40,very fine sand,3,fine sand,4,,100,erosive,scoured,horizontal,medium bedded,,,,,,,,,,,,,355,U1456,C,8,H,4,A,
355-U1456C-8H-4-A,59,128.0,61.39,62.08,,nannofossil rich,clay,,nannofossil rich clay,,burrows,light gray,GLEY 1 5/10Y (greenish gray),70,clay,1,clay,1,,nannofossil rich,sand,,nannofossil rich sand,nannofossil rich sand,sand,light gray,GLEY 1 5/10Y (greenish gray),30,very fine sand,3,fine sand,4,,100,erosive,sharp,horizontal,medium bedded,,,,,slight,2,,,,,,,355,U1456,C,8,H,4,A,
355-U1456C-8H-4-A,128,150.0,62.08,62.3,,nannofossil rich,clay,,nannofossil rich clay,,,light gray,GLEY 1 5/10Y (greenish gray),,clay,1,clay,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1456,C,8,H,4,A,
355-U1456C-8H-5-A,0,50.0,62.3,62.8,,nannofossil rich,clay,,nannofossil rich clay,,,light gray,GLEY 1 5/10Y (greenish gray),80,clay,1,clay,1,,nannofossil rich,silt,,nannofossil rich silt,nannofossil rich silt,silt,light gray,GLEY 1 5/10Y (greenish gray),20,silt,2,silt,2,,100,erosive,scoured,horizontal,medium bedded,normally graded,,,,,,,,,,,,355,U1456,C,8,H,5,A,
355-U1456C-8H-5-A,50,60.0,62.8,62.9,,,nannofossil ooze,,nannofossil ooze,,burrows,light gray,GLEY 1 6/10Y (greenish gray),,clay,1,clay,1,,,,,,,,,,,,,,,,,gradational,bioturbated,horizontal,thinly bedded,,,,,slight,2,,,,,,,355,U1456,C,8,H,5,A,
355-U1456C-8H-5-A,60,100.0,62.9,63.3,,nannofossil rich,clay,,nannofossil rich clay,,burrows,light gray,GLEY 1 5/10Y (greenish gray),95,clay,1,clay,1,,nannofossil rich,silt,,nannofossil rich silt,nannofossil rich silt,silt,light gray,GLEY 1 5/10Y (greenish gray),5,silt,2,silt,2,,100,gradational,gradational,horizontal,medium bedded,normally graded,,,,slight,2,,,,,,,355,U1456,C,8,H,5,A,
355-U1456C-8H-5-A,100,123.0,63.3,63.53,,nannofossil rich,sand,,nannofossil rich sand,,parallel lamination,light gray,GLEY 1 5/10Y (greenish gray),,fine sand,4,medium sand,5,,,,,,,,,,,,,,,,,erosive,sharp,horizontal,thickly bedded,,,,,,,,,,,,,355,U1456,C,8,H,5,A,
355-U1456C-8H-5-A,123,150.0,63.53,63.8,,nannofossil rich,clay,,nannofossil rich clay,,burrows,light gray,GLEY 1 5/10Y (greenish gray),,clay,1,clay,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1456,C,8,H,5,A,
355-U1456C-8H-6-A,0,6.0,63.8,63.86,,nannofossil rich,clay,,nannofossil rich clay,,,light gray,GLEY 1 5/10Y (greenish gray),,clay,1,clay,1,,,,,,,,,,,,,,,,,erosive,scoured,horizontal,thinly bedded,,,,,,,,,,,,,355,U1456,C,8,H,6,A,
355-U1456C-8H-6-A,6,81.0,63.86,64.61,,,nannofossil ooze,,nannofossil ooze,,,light gray,GLEY 1 6/10Y (greenish gray),,clay,1,clay,1,,,,,,,,,,,,,,,,,planar,gradational,horizontal,thickly bedded,,,,,,,,,,,,,355,U1456,C,8,H,6,A,
355-U1456C-8H-6-A,81,101.0,64.61,64.81,,,nannofossil ooze,,nannofossil ooze,,burrows,light gray,GLEY 1 6/10Y (greenish gray),90,clay,1,clay,1,,nannofossil rich,silt,,nannofossil rich silt,nannofossil rich silt,silt,light gray,GLEY 1 5/10Y (greenish gray),10,,,,,,100,,,,,,,,,slight,2,,,,,,,355,U1456,C,8,H,6,A,
355-U1456C-8H-7-A,0,43.0,64.81,65.24,,,nannofossil ooze,,nannofossil ooze,,burrows,light gray,GLEY 1 6/10Y (greenish gray),,clay,1,clay,1,,,,,,,,,,,,,,,,,gradational,gradational,horizontal,thickly bedded,,,,,slight,2,,,,,,,355,U1456,C,8,H,7,A,
355-U1456C-8H-7-A,43,72.0,65.24,65.53,,nannofossil rich,clay,,nannofossil rich clay,,,light gray,GLEY 1 5/10Y (greenish gray),90,clay,1,clay,1,,nannofossil rich,silt,,nannofossil rich silt,nannofossil rich silt,silt,light gray,GLEY 1 5/10Y (greenish gray),10,silt,2,silt,2,,100,,,,,,,,,,,,,,,,,355,U1456,C,8,H,7,A,
355-U1456C-8H-CC-A,0,20.0,65.53,65.73,,nannofossil rich,clay,,nannofossil rich clay,,burrows,light gray,GLEY 1 5/10Y (greenish gray),90,clay,1,clay,1,,nannofossil rich,sand,,nannofossil rich sand,nannofossil rich sand,sand,light gray,GLEY 1 5/10Y (greenish gray),10,fine sand,4,fine sand,4,,100,,,,,,,,,,,,,,,,,355,U1456,C,8,H,CC,A,
355-U1456C-91,0,0.0,65.8,65.8,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1456,C,91,,,,
355-U1456C-10H,0,947.0,66.8,76.27,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1456,C,10,H,,,
355-U1456C-10H-1-A,0,33.0,66.8,67.13,,nannofossil rich,clay,,nannofossil rich clay,,,light gray,GLEY 1 5/10Y (greenish gray),90,clay,1,clay,1,,nannofossil rich,silt,,nannofossil rich silt,nannofossil rich silt,silt,light gray,GLEY 1 5/10Y (greenish gray),10,silt,2,silt,2,,100,erosive,scoured,horizontal,medium bedded,,,,,,,,,,,,,355,U1456,C,10,H,1,A,
355-U1456C-10H-1-A,33,64.0,67.13,67.44,,nannofossil rich,clay,,nannofossil rich clay,,,light gray,GLEY 1 5/10Y (greenish gray),90,clay,1,clay,1,,foraminifer rich,sand,,foraminifer rich sand,foraminifer rich sand,sand,light gray,GLEY 1 5/10Y (greenish gray),10,fine sand,4,medium sand,5,,100,gradational,gradational,horizontal,medium bedded,,,,,,,,,,,,,355,U1456,C,10,H,1,A,
355-U1456C-10H-1-A,64,90.0,67.44,67.7,,foraminifer rich,sand,,foraminifer rich sand,,,light gray,GLEY 1 5/10Y (greenish gray),,fine sand,4,medium sand,5,,,,,,,,,,,,,,,,,erosive,sharp,horizontal,thickly bedded,,,,,,,,,,,,,355,U1456,C,10,H,1,A,
355-U1456C-10H-1-A,90,112.0,67.7,67.92,,nannofossil rich,clay,,nannofossil rich clay,,,light gray,GLEY 1 5/10Y (greenish gray),,clay,1,clay,1,,,,,,,,,,,,,,,,,gradational,gradational,horizontal,medium bedded,,,,,,,,,,,,,355,U1456,C,10,H,1,A,
355-U1456C-10H-1-A,112,130.0,67.92,68.1,,foraminifer rich,sand,,foraminifer rich sand,,,light gray,GLEY 1 5/10Y (greenish gray),,fine sand,4,fine sand,4,,,,,,,,,,,,,,,,,erosive,sharp,horizontal,medium bedded,normally graded,,,,,,,,,,,,355,U1456,C,10,H,1,A,
