Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology prefix,Lithology principal name,Lithology suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (simple),Bottom contact or boundary geometry,Bottom contact or boundary attitude,Bedding thickness of MAJOR lithology,Interbed lithology,Thickness of interbeds,INTERPRETATION - Turbiditic or Hemipelagic,TEPHRA type,Sedimentary structure,Sedimentary structure comment,Diagenetic structure,Macrofossil,General interval comment,Ship File Links,Shore File Links,File Data
354-U1451A-11F-1-A,48,145,60.78,61.75,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,gray,,,,,,,,mottling [BJ80],,,,,,,
354-U1451A-11F-2-A,0,150,61.8,63.3,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,white,,,,,,,,mottling [BJ80],,,,,,,
354-U1451A-11F-3-A,0,40,63.3,63.7,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,greenish gray,bioturbated,,,,,,,mottling [BJ80],,,,,,,
354-U1451A-11F-3-A,40,62,63.7,63.92,,,sand [Leg210],,sand,sand,sand,,brown,sharp planar,horizontal,,,,,,,,,,,,,
354-U1451A-11F-3-A,62,150,63.92,64.8,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,dark gray,,,,,,,,mottling [BJ80],,,,,,,
354-U1451A-11F-CC-A,0,20,64.8,65,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,light green,,,,,,,,mottling [BJ80],,,,,,,
354-U1451A-12F-1-A,0,150,65,66.5,,,calcareous clay [Leg210],with foraminifers [2014],calcareous clay,calcareous clay with foraminifers,calcareous clay with foraminifers,,dark green,,,thick bed [B01],silt [Leg210],very thin bed [B01],,,burrows,,,,,,,
354-U1451A-12F-2-A,0,112,66.5,67.62,,,calcareous clay [Leg210],with foraminifers [2014],calcareous clay,calcareous clay with foraminifers,calcareous clay with foraminifers,,gray,gradational,,,,,,,burrows,,,,,,,
354-U1451A-12F-2-A,112,124,67.62,67.74,,,silt [Leg210],,silt,silt,silt,,brown,sharp planar,horizontal,,,,,,,,,,,,,
354-U1451A-12F-2-A,124,141,67.74,67.91,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,gray,,,,,,,,,,,,,,,
354-U1451A-12F-3-A,0,41,67.91,68.32,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,gray,gradational,,thin bed [B01],silt [Leg210],lamina [M&W53],,,,,,,,,,
354-U1451A-12F-3-A,41,121,68.32,69.12,,,sand [Leg210],,sand,sand,sand,,dark gray,,,,,,,,normally graded,,,,,,,
354-U1451A-12F-4-A,0,24,69.12,69.36,,,sand [Leg210],,sand,sand,sand,,dark gray,,,,,,,,,,,,,,,
354-U1451A-12F-4-A,24,62,69.36,69.74,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,gray,,,,,,,,,,,,,,,
354-U1451A-13F-1-A,0,139,69.7,71.09,,,sand [Leg210],,sand,sand,sand,,dark gray,,,,,,,,,,,,,,,
354-U1451A-13F-1-A,139,145,71.09,71.15,,,sand [Leg210],with mica,sand,sand with mica,sand with mica,,dark gray,,,,,,,,,,,,,,,
354-U1451A-13F-2-A,0,11,71.19,71.3,,,sand [Leg210],,sand,sand,sand,,dark gray,sharp irregular,inclined,,,,,,,,,,,,,
354-U1451A-13F-2-A,11,100,71.3,72.19,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,light gray,sharp planar,horizontal,thin bed [B01],silt [Leg210],thin bed [B01],,,,,,,,,,
354-U1451A-13F-2-A,100,117,72.19,72.36,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,yellow,bioturbated,,,,,,,mottling [BJ80],,,,,,,
354-U1451A-13F-2-A,117,126,72.36,72.45,,,volcanic ash [MMK88],,volcanic ash,volcanic ash,volcanic ash,,green,gradational,,,,,,,,,,,,,,
354-U1451A-13F-2-A,126,150,72.45,72.69,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,,,,,,,,mottling [BJ80],,,,,,,
354-U1451A-13F-3-A,0,52,72.69,73.21,,,sand [Leg210],,sand,sand,sand,,dark gray,,,,,,,,,,,,,,,
354-U1451A-13F-4-A,0,89,73.21,74.1,,,sand [Leg210],,sand,sand,sand,,dark gray,,,,,,,,,,,,,,,
354-U1451A-14F-1-A,0,30,74.4,74.7,,sandy [Leg339],silt [Leg210],,sandy silt,sandy silt,silt,,dark gray,sharp planar,horizontal,,,,,,parallel lamination,,,,,,,
354-U1451A-14F-1-A,30,91,74.7,75.31,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,gray,gradational,,medium bed [B01],silt [Leg210],thin bed [B01],,,,,,,,,,
354-U1451A-14F-1-A,91,101,75.31,75.41,,silty [Leg339],sand [Leg210],,silty sand,silty sand,sand,,dark gray,sharp planar,horizontal,,,,,,normally graded,,,,,,,
354-U1451A-14F-1-A,101,150,75.41,75.9,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,gray,,,medium bed [B01],silt [Leg210],thin bed [B01],,,,,,,,,,
354-U1451A-14F-2-A,0,27,75.9,76.17,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,gray,gradational,,medium bed [B01],silt [Leg210],thin bed [B01],,,,,,,,,,
354-U1451A-14F-2-A,27,40,76.17,76.3,,silty [Leg339],sand [Leg210],,silty sand,silty sand,sand,,dark gray,sharp irregular,,,,,,,normally graded,,,,,,,
354-U1451A-14F-2-A,40,68,76.3,76.58,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,gray,gradational,,medium bed [B01],silt [Leg210],thin bed [B01],,,,,,,,,,
354-U1451A-14F-2-A,68,83,76.58,76.73,,silty [Leg339],sand [Leg210],,silty sand,silty sand,sand,,dark gray,sharp irregular,,,,,,,normally graded,,,,,,,
354-U1451A-14F-2-A,83,104,76.73,76.94,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,gray,gradational,,medium bed [B01],silt [Leg210],thin bed [B01],,,,,,,,,,
354-U1451A-14F-2-A,104,140,76.94,77.3,,silty [Leg339],sand [Leg210],,silty sand,silty sand,sand,,dark gray,sharp irregular,,,,,,,normally graded,,,,,,,
354-U1451A-14F-2-A,140,145,77.3,77.35,,silty [Leg339],sand [Leg210],,silty sand,silty sand,sand,,dark gray,,,,,,,,,,,,,,,
354-U1451A-14F-3-A,0,51,77.41,77.92,,,sand [Leg210],,sand,sand,sand,,dark gray,sharp planar,horizontal,,,,,,normally graded,,,,,,,
354-U1451A-14F-3-A,51,111,77.92,78.52,,,calcareous clay [Leg210],,calcareous clay,calcareous clay,calcareous clay,,light brown,,,,,,,,,all flow in disturbance.,,,,,,
354-U1451A-14F-4-A,0,63,78.52,79.15,,,calcareous clay [Leg210],,calcareous clay,calcareous clay,calcareous clay,,light brown,,,,,,,,,all flow in disturbance.,,,,,,
354-U1451A-14F-CC-A,0,24,79.15,79.39,,,calcareous clay [Leg210],,calcareous clay,calcareous clay,calcareous clay,,light brown,,,,,,,,,all flow in disturbance.,,,,,,
354-U1451A-15F-1-A,0,145,79.1,80.55,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,light gray,,,,,,,,mottling [BJ80],,,,,,,
354-U1451A-15F-1-A,0,145,79.1,80.55,,,,,,,,,,,,,,,,,burrows,,,,,,,
354-U1451A-15F-1-A,145,150,80.55,80.6,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,light gray,,,,,,,,mottling [BJ80],,,,,,,
354-U1451A-15F-2-A,0,150,80.6,82.1,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,light gray,,,,,,,,mottling [BJ80],,,,,,,
354-U1451A-15F-2-A,0,150,80.6,82.1,,,,,,,,,,,,,,,,,burrows,,,,"very large pyritized burrow, 15 cm vertical",,,
354-U1451A-15F-3-A,0,111,82.1,83.21,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,light gray,,,,,,,,mottling [BJ80],,,,,,,
354-U1451A-15F-3-A,0,111,82.1,83.21,,,,,,,,,,,,,,,,,burrows,,,,,,,
354-U1451A-15F-4-A,0,61,83.21,83.82,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,light gray,,,,,,,,mottling [BJ80],,,,,,,
354-U1451A-15F-4-A,0,61,83.21,83.82,,,,,,,,,,,,,,,,,burrows,,,,,,,
354-U1451A-15F-CC-A,0,18,83.82,84,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,gray,sharp planar,horizontal,,,,,,mottling [BJ80],,,,,,,
354-U1451A-15F-CC-A,18,30,84,84.12,,,calcareous clay [Leg210],with foraminifers [2014],calcareous clay,calcareous clay with foraminifers,calcareous clay with foraminifers,,gray,,,,,,,,,,,,,,,
354-U1451A-16F-1-A,0,12,83.8,83.92,,,clay [Leg210],,clay,clay,clay,,light gray,sharp irregular,sub-horizontal,,,,,,mud clast,,,,,,,
354-U1451A-16F-1-A,12,124,83.92,85.04,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,gray,gradational,horizontal,thin bed [B01],silt [Leg210],lamina [M&W53],T,,,,,,,,,
354-U1451A-16F-1-A,124,139,85.04,85.19,,clayey [Leg339],silt [Leg210],with mica,clayey silt,clayey silt with mica,silt with mica,,gray,sharp irregular,horizontal,,,,T,,,,,,,,,
354-U1451A-16F-1-A,139,150,85.19,85.3,,,clay [Leg210],,clay,clay,clay,,gray,,,,,,,,,,,,,,,
354-U1451A-16F-2-A,0,8,85.3,85.38,,,calcareous clay [Leg210],with foraminifers [2014],calcareous clay,calcareous clay with foraminifers,calcareous clay with foraminifers,,dark gray,gradational,horizontal,,,,,,,,,,,,,
354-U1451A-16F-2-A,8,12,85.38,85.42,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,gradational,horizontal,,,,,,,,,,,,,
354-U1451A-16F-2-A,12,17,85.42,85.47,,clayey [Leg339],silt [Leg210],,clayey silt,clayey silt,silt,,dark gray,sharp planar,horizontal,,,,T,,,,,,mud turbidite,,,
354-U1451A-16F-2-A,17,34,85.47,85.64,,silty [Leg339],clay [Leg210],with mica,silty clay,silty clay with mica,clay with mica,,dark gray,gradational,horizontal,,,,,,,,,,,,,
354-U1451A-16F-2-A,34,38,85.64,85.68,,clayey [Leg339],silt [Leg210],,clayey silt,clayey silt,silt,,dark gray,sharp planar,horizontal,,,,T,,,,,,mud turbidite,,,
354-U1451A-16F-2-A,38,40,85.68,85.7,,silty [Leg339],clay [Leg210],,silty clay,silty clay with mica,clay with mica,,dark gray,gradational,horizontal,,,,,,,,,,,,,
354-U1451A-16F-2-A,40,46,85.7,85.76,,clayey [Leg339],silt [Leg210],,clayey silt,clayey silt,silt,,dark gray,sharp planar,horizontal,,,,T,,,,,,mud tubidite,,,
354-U1451A-16F-2-A,46,72,85.76,86.02,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,sharp planar,horizontal,,,,T,,,,,,mud turbidite,,,
354-U1451A-16F-2-A,72,91,86.02,86.21,,silty [Leg339],clay [Leg210],with mica,silty clay,silty clay with mica,clay with mica,,dark gray,sharp planar,horizontal,,,,T,,,,,,mud turbidite,,,
354-U1451A-16F-2-A,91,104,86.21,86.34,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,sharp planar,horizontal,,,,T,,,,,,mud turbidite,,,
354-U1451A-16F-2-A,104,117,86.34,86.47,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,sharp planar,horizontal,,,,T,,,,,,mud turbidite,,,
354-U1451A-16F-2-A,117,140,86.47,86.7,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,sharp planar,horizontal,,,,T,,,,,,mud turbidite,,,
354-U1451A-16F-2-A,140,145,86.7,86.75,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,,,,,,,,,,,,,,,
354-U1451A-16F-2-A,145,150,86.75,86.8,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,,,,,,,,,,,,,,,
354-U1451A-16F-3-A,0,92,86.8,87.72,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,,,medium bed [B01],silt [Leg210],very thin bed [B01],T,,,,,,,,,
354-U1451A-16F-4-A,0,63,87.72,88.35,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,,,medium bed [B01],silt [Leg210],very thin bed [B01],T,,,,,,,,,
354-U1451A-16F-CC-A,0,31,88.35,88.66,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,,,,,,T,,,,,,,,,
354-U1451A-17F-1-A,0,8,88.5,88.58,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,greenish gray,sharp irregular,inclined,,,,,,,,,,fall in,,,
354-U1451A-17F-1-A,8,18,88.58,88.68,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,sharp planar,sub-horizontal,,,,T?,,,,,,,,,
354-U1451A-17F-1-A,18,145,88.68,89.95,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,greenish gray,,,,,,H,,,,,,,,,
354-U1451A-17F-1-A,145,150,89.95,90,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,light gray,,,,,,,,,,,,,,,
354-U1451A-17F-2-A,0,71,90,90.71,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,greenish gray,gradational,,,,,H,,,,,,higher silt content between 66-69 cm,,,
354-U1451A-17F-2-A,71,82,90.71,90.82,,nannofossil rich,volcanic ash [MMK88],with foraminifers [2014],nannofossil rich volcanic ash,nannofossil rich volcanic ash with foraminifers,volcanic ash with foraminifers,,greenish gray,bioturbated,,,,,A,,normally graded,,,,higher foraminifer content,,,
354-U1451A-17F-2-A,82,140,90.82,91.4,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,greenish gray,,,,,,H,,,,,,,,,
354-U1451A-17F-2-A,140,150,91.4,91.5,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,greenish gray,,,,,,,,,,,,,,,
354-U1451A-17F-3-A,0,98,91.5,92.48,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,greenish gray,,,,,,H,,,,,,,,,
354-U1451A-17F-3-A,98,100,92.48,92.5,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,,,,,,T,,,,,,,,,
354-U1451A-17F-4-A,0,65,92.5,93.15,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,,,thin bed [B01],silt [Leg210],lamina [M&W53],T,,,,,,,,,
354-U1451A-17F-CC-A,0,17,93.15,93.32,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,,,,,,T,,,,,,,,,
354-U1451A-17F-CC-A,17,30,93.32,93.45,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,greenish gray,,,,,,H,,,,,,,,,
354-U1451A-18F-1-A,0,47,93.2,93.67,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,dark gray,sharp planar,horizontal,,,,,,,,,,,,,
354-U1451A-18F-1-A,47,78,93.67,93.98,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,light gray,sharp planar,horizontal,,,,,,,,,,,,,
354-U1451A-18F-1-A,78,150,93.98,94.7,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,dark gray,,,,,,,,,,,,pyritized burrow 130 to 131 cm,,,
354-U1451A-18F-2-A,0,69,94.7,95.39,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,dark gray,sharp planar,horizontal,,,,,,,,,,,,,
354-U1451A-18F-2-A,69,97,95.39,95.67,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,light gray,sharp planar,horizontal,,,,,,,,,,,,,
354-U1451A-18F-2-A,97,104,95.67,95.74,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,dark gray,,,,,,,,,,,,,,,
354-U1451A-18F-2-A,104,109,95.74,95.79,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,dark gray,,,,,,,,,,,,,,,
354-U1451A-18F-3-A,0,97,95.84,96.81,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,dark gray,sharp planar,horizontal,,,,,,,,,,,,,
354-U1451A-18F-3-A,97,102,96.81,96.86,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,light gray,,,,,,,,,,,,,,,
354-U1451A-18F-4-A,0,52,96.86,97.38,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,dark gray,,,,,,,,,,,,,,,
354-U1451A-18F-CC-A,0,26,97.38,97.64,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,,,,,,,,,,,,,,,,
354-U1451A-19F-1-A,0,150,97.9,99.4,,,clay [Leg210],,clay,clay,clay,,dark gray,sharp planar,horizontal,medium bed [B01],silt [Leg210],lamina [M&W53],T,,,,,,Upper 2 cm is greenish grey clay contains plant fragments (smear slide).,,,
354-U1451A-19F-2-A,0,20,99.4,99.6,,,clay [Leg210],,clay,clay,clay,,dark gray,sharp planar,horizontal,thin bed [B01],silt [Leg210],very thin bed [B01],T,,,,,,,,,
354-U1451A-19F-2-A,20,25,99.6,99.65,,,silt [Leg210],with mica,silt,silt with mica,silt with mica,,dark gray,sharp planar,horizontal,,,,T,,,,,,,,,
354-U1451A-19F-2-A,25,68,99.65,100.08,,,clay [Leg210],,clay,clay,clay,,dark gray,sharp planar,horizontal,thin bed [B01],silt [Leg210],lamina [M&W53],T,,,,,,,,,
354-U1451A-19F-2-A,68,76,100.08,100.16,,,silt [Leg210],with mica,silt,silt with mica,silt with mica,,gray,sharp planar,horizontal,thin bed [B01],,,T,,,,,,,,,
354-U1451A-19F-2-A,76,105,100.16,100.45,,,clay [Leg210],,clay,clay,clay,,dark gray,sharp planar,horizontal,thin bed [B01],silt [Leg210],lamina [M&W53],T,,,,,,,,,
354-U1451A-19F-2-A,105,110,100.45,100.5,,,silt [Leg210],with mica,silt,silt with mica,silt with mica,,gray,sharp planar,horizontal,thin bed [B01],,,T,,,,,,,,,
354-U1451A-19F-2-A,110,150,100.5,100.9,,,clay [Leg210],,clay,clay,clay,,dark gray,sharp planar,horizontal,thin bed [B01],silt [Leg210],lamina [M&W53],T,,,,,,,,,
354-U1451A-19F-3-A,0,22,100.9,101.12,,,clay [Leg210],,clay,clay,clay,,greenish gray,sharp planar,horizontal,thin bed [B01],silt [Leg210],lamina [M&W53],T,,,,,,,,,
354-U1451A-19F-3-A,22,25,101.12,101.15,,,silt [Leg210],with mica,silt,silt with mica,silt with mica,,gray,sharp planar,horizontal,thin bed [B01],,,T,,,,,,,,,
354-U1451A-19F-3-A,25,111,101.15,102.01,,,clay [Leg210],,clay,clay,clay,,dark gray,sharp planar,horizontal,thin bed [B01],silt [Leg210],lamina [M&W53],T,,,,,,,,,
354-U1451A-19F-4-A,0,8,102.01,102.09,,,clay [Leg210],,clay,clay,clay,,dark gray,sharp planar,horizontal,thin bed [B01],silt [Leg210],lamina [M&W53],T,,,,,,,,,
354-U1451A-19F-4-A,8,64,102.09,102.65,,silty [Leg339],sand [Leg210],with mica,silty sand,silty sand with mica,sand with mica,,dark gray,,,,,,T,,,,,,Fine sand,,,
354-U1451A-19F-CC-A,0,20,102.65,102.85,,,clay [Leg210],,clay,clay,clay,,dark gray,,,,,,T,,,,,,,,,
354-U1451A-20F-1-A,0,11,102.6,102.71,,,sand [Leg210],,sand,sand,sand,,dark gray,sharp planar,horizontal,,,,,,,,,,,,,
354-U1451A-20F-1-A,11,43,102.71,103.03,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,gradational,,thin bed [B01],silt [Leg210],thin bed [B01],,,,,,,,,,
354-U1451A-20F-1-A,43,81,103.03,103.41,,,sand [Leg210],,sand,sand,sand,,dark gray,sharp planar,horizontal,,,,,,normally graded,,,,,,,
354-U1451A-20F-1-A,81,100,103.41,103.6,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,gradational,,thin bed [B01],silt [Leg210],thin bed [B01],,,,,,,,,,
354-U1451A-20F-1-A,100,119,103.6,103.79,,,sand [Leg210],,sand,sand,sand,,dark gray,sharp planar,horizontal,,,,,,normally graded,,,,,,,
354-U1451A-20F-1-A,119,150,103.79,104.1,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,,,thin bed [B01],silt [Leg210],thin bed [B01],,,,,,,,,,
354-U1451A-20F-2-A,0,38,104.1,104.48,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,bioturbated,,thin bed [B01],silt [Leg210],thin bed [B01],,,,,,,,,,
354-U1451A-20F-2-A,38,50,104.48,104.6,,,sand [Leg210],,sand,sand,sand,,dark gray,sharp planar,horizontal,,,,,,,,,,,,,
354-U1451A-20F-2-A,50,150,104.6,105.6,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,light gray,,,medium bed [B01],clay [Leg210],thin bed [B01],,,mottling [BJ80],,,,,,,
354-U1451A-20F-3-A,0,111,105.6,106.71,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,light gray,,,medium bed [B01],clay [Leg210],thin bed [B01],,,mottling [BJ80],,,,,,,
354-U1451A-20F-4-A,0,61,106.71,107.32,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,light gray,,,medium bed [B01],clay [Leg210],thin bed [B01],,,mottling [BJ80],,,,,,,
354-U1451A-20F-CC-A,0,15,107.32,107.47,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,light gray,,,medium bed [B01],clay [Leg210],thin bed [B01],,,mottling [BJ80],,,,,,,
354-U1451A-21F-1-A,0,21,107.3,107.51,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,white,gradational,,,,,,,burrows,,,,,,,
354-U1451A-21F-1-A,21,33,107.51,107.63,,,volcanic ash [MMK88],,volcanic ash,volcanic ash,volcanic ash,,brown,sharp irregular,,,,,,,,,,,,,,
354-U1451A-21F-1-A,33,150,107.63,108.8,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,green,,,,,,,,mottling [BJ80],,,,,,,
354-U1451A-21F-2-A,0,150,108.8,110.3,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,green,,,,,,,,mottling [BJ80],,,,,,,
354-U1451A-21F-3-A,0,111,110.3,111.41,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,green,,,,,,,,mottling [BJ80],,,,,,,
354-U1451A-21F-4-A,0,61,111.41,112.02,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,gray,,,medium bed [B01],silt [Leg210],lamina [M&W53],,,,,,,,,,
354-U1451A-21F-CC-A,0,17,112.02,112.19,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,gray,,,medium bed [B01],silt [Leg210],lamina [M&W53],,,,,,,,,,
354-U1451A-22H-1-A,0,52,112,112.52,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,gray,gradational,,thin bed [B01],silt [Leg210],lamina [M&W53],,,,,,,,,,
354-U1451A-22H-1-A,52,72,112.52,112.72,,,sand [Leg210],,sand,sand,sand,,dark gray,sharp irregular,,,,,,,normally graded,,,,,,,
354-U1451A-22H-1-A,72,77,112.72,112.77,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,,,,,,,,,,,,,,,
354-U1451A-22H-2-A,0,80,112.77,113.57,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,gray,gradational,,,,,,,,,,,,,,
354-U1451A-22H-2-A,80,122,113.57,113.99,,,silt [Leg210],,silt,silt,silt,,gray,,,medium bed [B01],clay [Leg210],thin bed [B01],,,,,,,,,,
354-U1451A-22H-3-A,0,16,113.99,114.15,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,gray,gradational,,thin bed [B01],silt [Leg210],thin bed [B01],,,,,,,,,,
354-U1451A-22H-3-A,16,149,114.15,115.48,,,sand [Leg210],with clay [2014],sand,sand with clay,sand with clay,,gray,,,,,,,,,,,,,,,
354-U1451A-22H-4-A,0,149,115.48,116.97,,,sand [Leg210],,sand,sand,sand,,gray,,,,,,,,,,,,,,,
354-U1451A-22H-5-A,0,127,116.97,118.24,,,sand [Leg210],,sand,sand,sand,,gray,,,,,,,,,,,,,,,
354-U1451A-23H-1-A,0,120,121.5,122.7,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,white,,,,,,,,mottling [BJ80],,,,,,,
354-U1451A-23H-1-A,0,120,121.5,122.7,,,,,,,,,,,,,,,,,burrows,,,,,,,
