Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,LITH 1 prefix+name [read only],LITH 1 prefix+name+suffix [read only],LITH 1 abundance [%],LITH 1 color,LITH 1 lithification,LITH 1 ave. grain size class,LITH 1 ave. grain size rank [read only],LITH 1 max. grain size class,LITH 1 max. grain size rank [read only],LITH 1 grain sorting,LITH 1 Ash abundance name,LITH 1 Ash abundance rank (read only),LITH 1 comment,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix,LITH 2 prefix+name [read only],LITH 2 prefix+name+suffix [read only],LITH 2 abundance [%],Total LITH abundance [%],LITH 2 Ash abundance name,LITH 2 Ash abundance rank (read only),General interval comment,Bottom contact geometry,Bottom contact attitude,LITH 1 Layer or bedding thickness,LITH 1 Sedimentary structure,LITH 1 Bioturbation intensity,LITH 1 Bioturbation intensity rank [read only],LITH 1 Deformational structure,LITH 1 Deformational structure attitude,LITH 1 Diagenetic structure,LITH 1 Diagenetic constituent,LITH 1 Diagenetic constituent composition,LITH 1 Macrofossil,LITH 1 Macrofossil abundance name,LITH 2 Macrofossil,LITH 1 Clast abundance,LITH 1 Number of clasts (>2mm),LITH 1 Clast 1 igneous [%],LITH 1 Clast 1 igneous -  grain size,LITH 1 Clast 1 igneous -  roundness,LITH 1 Clast 1 igneous -  lithology,LITH 1 Clast 2 sediment [%],LITH 1 Clast 2 sediment - grain size,LITH 1 Clast 2 sediment - roundness,LITH 1 Clast 3 -other LITH [%],LITH 1 Clast 3 metamorphic - grain size,LITH 1 Clast 3 metamorphic - roundness,Total clasts calculated LITH 1 [%],LITH 1 Matrix 1 igneous - pumiceous [%],LITH 1 Matrix 2 igneous - scoriaceous [%],LITH 1 Matrix 3 igneous - massive [%],LITH 1 Matrix 4 igneous - vesicular [%],LITH 1 Matrix 5 volcaniclastic [%],LITH 1 Matrix 6 sediment [%],LITH 1 Matrix 7 -other LITH [%],LITH 1 Matrix biogenic carbonate [%],LITH 1 Matrix detritical carbonate [%],LITH 1 Matrix carbonate [%],Total matrix calculated LITH 1 [%],LITH 1 Matrix sorting,LITH 1 Matrix alteration intensity,LITH 1 Matrix alteration rank,LITH 1 Matrix comments,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
349-U1435A-7R-1-A,0,138,55.4,56.78,nannofossil rich,clay [Leg339],,nannofossil rich  clay ,nannofossil rich clay ,100.0,GLEY 1 5/10Y (greenish gray),moderately consolidated [B84],clay [W22_1],1.0,silt [W22_1],2.0,moderate [2014],,,,,,,,,,100.0,,,,planar,horizontal,thick bed [B01],color banding,heavy [DB86],3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1435,A,7,R,1,A
349-U1435A-7R-1-A,89,90,56.29,56.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mineral,pyrite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1435,A,7,R,1,A
349-U1435A-7R-1-A,138,143,56.78,56.83,,clay [Leg339],,clay ,clay ,100.0,GLEY 1 8/10Y (light greenish gray),moderately consolidated [B84],clay [W22_1],1.0,silt [W22_1],2.0,moderate [2014],,,,,,,,,,100.0,,,,planar,horizontal,thin bed [B01],lamination,slight [DB86],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1435,A,7,R,1,A
349-U1435A-7R-1-A,143,145,56.83,56.85,nannofossil rich,clay [Leg339],,nannofossil rich  clay ,nannofossil rich clay ,100.0,GLEY 1 5/10Y (greenish gray),moderately consolidated [B84],clay [W22_1],1.0,silt [W22_1],2.0,moderate [2014],,,,,,,,,,100.0,,,,,,,,heavy [DB86],3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1435,A,7,R,1,A
349-U1435A-7R-2-A,0,20,56.9,57.1,nannofossil rich,clay [Leg339],,nannofossil rich  clay ,nannofossil rich clay ,100.0,GLEY 1 5/10Y (greenish gray),moderately consolidated [B84],clay [W22_1],1.0,silt [W22_1],2.0,moderate [2014],,,,,,,,,,100.0,,,,gradational,horizontal,,,heavy [DB86],3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1435,A,7,R,2,A
349-U1435A-7R-2-A,20,106,57.1,57.96,nannofossil rich,clay [Leg339],,nannofossil rich  clay ,nannofossil rich clay ,100.0,GLEY 1 6/10GY (greenish gray),moderately consolidated [B84],clay [W22_1],1.0,silt [W22_1],2.0,moderate [2014],,,,,,,,,,100.0,,,,gradational,horizontal,thick bed [B01],color banding,heavy [DB86],3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1435,A,7,R,2,A
349-U1435A-7R-2-A,106,131,57.96,58.21,nannofossil rich,clay [Leg339],,nannofossil rich  clay ,nannofossil rich clay ,100.0,GLEY 1 5/10Y (greenish gray),moderately consolidated [B84],clay [W22_1],1.0,silt [W22_1],2.0,moderate [2014],,,,,,,,,,100.0,,,,gradational,horizontal,,,heavy [DB86],3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1435,A,7,R,2,A
349-U1435A-7R-2-A,131,146,58.21,58.36,nannofossil rich,clay [Leg339],,nannofossil rich  clay ,nannofossil rich clay ,100.0,GLEY 1 6/10GY (greenish gray),moderately consolidated [B84],clay [W22_1],1.0,silt [W22_1],2.0,moderate [2014],,,,,,,,,,100.0,,,,,,,color banding,heavy [DB86],3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1435,A,7,R,2,A
349-U1435A-7R-3-A,0,92,58.4,59.32,nannofossil rich,clay [Leg339],,nannofossil rich  clay ,nannofossil rich clay ,100.0,GLEY 1 5/10Y (greenish gray),moderately consolidated [B84],clay [W22_1],1.0,silt [W22_1],2.0,moderate [2014],,,,,,,,,,100.0,,,,,,thick bed [B01],color banding,heavy [DB86],3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1435,A,7,R,3,A
349-U1435A-7R-3-A,14,14,58.54,58.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mineral,pyrite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1435,A,7,R,3,A
349-U1435A-7R-3-A,79,79,59.19,59.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nodule,charcoal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1435,A,7,R,3,A
349-U1435A-7R-CC-A,0,21,59.32,59.53,nannofossil rich,clay [Leg339],,nannofossil rich  clay ,nannofossil rich clay ,100.0,GLEY 1 5/10Y (greenish gray),moderately consolidated [B84],clay [W22_1],1.0,silt [W22_1],2.0,moderate [2014],,,,,,,,,,100.0,,,,,,,color banding,heavy [DB86],3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1435,A,7,R,CC,A
349-U1435A-8R-1-A,0,20,65.1,65.3,sandy [Leg339],silt [Leg339],,sandy   silt ,sandy  silt ,100.0,GLEY 1 5/10Y (greenish gray),well consolidated [B84],silt [W22_1],2.0,fine sand [W22_2],4.0,well [2014],,,,,,,,,,100.0,,,,gradational,horizontal,medium bed [B01],graded bedding,heavy [DB86],3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1435,A,8,R,1,A
