Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lith. Prefix,MAJ Lith. Principal name,MAJ Lith. Suffix,MAJ Lith. prefix+name+suffix [read only],Sed. structures,MAJ Lith. color,Bioturbation intensity,Bioturbation intensity rank [read only],Clast abundance,Number of clasts (>2mm),Diagenetic constituent,Diagenetic constituent composition,Biogenic material,Lithologic accessories,Contact or boundary type,Contact geometry,General interval comment,Ship File Links,Shore File Links,File Data
374-U1524A-9H-3-A,0,151,73.5,75.01,diatom rich,mud,,diatom rich mud,lens or pod [BJ84],5Y 5/2 (olive gray),moderate [DB86],2,,,,,,,,,Sand laminae/bleb at 54-59 and 138 (dark) cm.,,,
374-U1524A-9H-3-A,138,138,74.88,74.88,,,,,lamination,,,,,,,,,,,,,,,
374-U1524A-9H-4-A,0,53,75.01,75.54,diatom rich,mud,,diatom rich mud,lamination,5Y 5/2 (olive gray),slight [DB86],1,,,,,,,sharp boundary or contact,,Sand laminae at 18-19 cm.,,,
374-U1524A-9H-4-A,53,150,75.54,76.51,diatom rich,sandy mud(stone) to muddy sand(stone) [S54m],with dispersed clasts,diatom rich sandy mud(stone) to muddy sand(stone) with dispersed clasts,,GLEY 1 6/5GY (greenish gray),heavy [DB86],3,,,,,,lonestone,,,Lonestones at 80-81 and 118 cm.,,,
374-U1524A-9H-5-A,0,43,76.51,76.94,diatom rich,mud,,diatom rich mud,,GLEY 1 6/5GY (greenish gray),heavy [DB86],3,,,,,,,gradational boundary or contact,,,,,
374-U1524A-9H-5-A,43,139,76.94,77.9,diatom rich,sandy mud(stone) to muddy sand(stone) [S54m],with dispersed clasts,diatom rich sandy mud(stone) to muddy sand(stone) with dispersed clasts,lens or pod [BJ84],GLEY 1 6/10Y (greenish gray),heavy [DB86],3,,,,,,lonestone,gradational boundary or contact,,Lonestones at 111 and 115-117 cm. Sand pod/lens at 89-94 cm.,,,
374-U1524A-9H-5-A,139,152,77.9,78.03,diatom rich,mud,,diatom rich mud,,GLEY 1 6/5GY (greenish gray),heavy [DB86],3,,,,,,,,,,,,
374-U1524A-9H-6-A,0,70,78.03,78.73,diatom rich,mud,,diatom rich mud,lens or pod [BJ84],GLEY 1 6/5GY (greenish gray),moderate [DB86],2,,,,,,,gradational boundary or contact,,"Sand lamination/blebs at 60, 66 cm.",,,
374-U1524A-9H-6-A,70,115,78.73,79.18,diatom rich,mud,,diatom rich mud,lamination,5Y 5/2 (olive gray),moderate [DB86],2,,,,,,,,,"Sand lamination/blebs at 77-78, 81, 84, 91, 95-115 cm. 70-90 cm interlamination of greenish and olive gray.",,,
374-U1524A-9H-7-A,0,20,79.23,79.43,diatom rich,mud,,diatom rich mud,,5Y 5/2 (olive gray),moderate [DB86],2,,,,,,,sharp boundary or contact,,Below contact at 20 cm gradational color contact.,,,
374-U1524A-9H-7-A,20,32,79.43,79.55,,,,,,,,,,,,,,,gradational boundary or contact,,Color gradational contact.,,,
374-U1524A-9H-7-A,20,88,79.43,80.11,diatom rich,mud,,diatom rich mud,,GLEY 1 6/5GY (greenish gray),moderate [DB86],2,,,,,,,gradational boundary or contact,,,,,
374-U1524A-9H-7-A,88,90,80.11,80.13,diatom rich,mud,,diatom rich mud,,5Y 5/2 (olive gray),moderate [DB86],2,,,,,,,,,,,,
374-U1524A-9H-CC-A,0,34,80.13,80.47,diatom rich,mud,,diatom rich mud,,5Y 5/2 (olive gray),moderate [DB86],2,,,,,,,,,,,,
374-U1524A-10H-1-A,0,58,80,80.58,diatom rich,mud,,diatom rich mud,lamination,5Y 5/2 (olive gray),,,,,,,,,sharp boundary or contact,,,,,
374-U1524A-10H-1-A,7,9,80.07,80.09,,,,,mottling [BJ80],,,,,,,,,,,,,,,
374-U1524A-10H-1-A,58,62,80.58,80.62,diatom rich,mud,,diatom rich mud,,GLEY 1 6/5GY (greenish gray),heavy [DB86],3,,,,,,,gradational boundary or contact,,,,,
374-U1524A-10H-1-A,62,70,80.62,80.7,diatom rich,sandy mud(stone) to muddy sand(stone) [S54m],with dispersed clasts,diatom rich sandy mud(stone) to muddy sand(stone) with dispersed clasts,,GLEY 1 6/5GY (greenish gray),,,,,,,,,,,,,,
374-U1524A-10H-1-A,70,76,80.7,80.76,diatom rich,sandy mud(stone) to muddy sand(stone) [S54m],with dispersed clasts,diatom rich sandy mud(stone) to muddy sand(stone) with dispersed clasts,,5Y 5/2 (olive gray),,,,,,,,,,,,,,
374-U1524A-10H-1-A,76,91,80.76,80.91,diatom rich,mud,,diatom rich mud,lamination,5Y 5/2 (olive gray),,,,,,,,,,,,,,
374-U1524A-10H-1-A,91,101,80.91,81.01,diatom rich,mud,,diatom rich mud,,GLEY 1 6/5GY (greenish gray),heavy [DB86],3,,,,,,lonestone,gradational boundary or contact,,Lonestone at 102 and 111 cm.,,,
374-U1524A-10H-1-A,101,112,81.01,81.12,diatom rich,sandy mud(stone) to muddy sand(stone) [S54m],with dispersed clasts,diatom rich sandy mud(stone) to muddy sand(stone) with dispersed clasts,,GLEY 1 6/5GY (greenish gray),,,,,,,,,,,,,,
374-U1524A-10H-1-A,104,104,81.04,81.04,,,,,burrows,,,,,,,,,,,,Just below clast abundant layer,,,
374-U1524A-10H-1-A,112,116,81.12,81.16,diatom rich,mud,,diatom rich mud,,GLEY 1 6/5GY (greenish gray),heavy [DB86],3,,,,,,lonestone,gradational boundary or contact,,Lonestone at 102 and 111 cm.,,,
374-U1524A-10H-1-A,116,151,81.16,81.51,diatom rich,mud,,diatom rich mud,lamination,5Y 5/2 (olive gray),moderate [DB86],2,,,,,,,,,,,,
374-U1524A-10H-2-A,0,100,81.51,82.51,diatom rich,mud,,diatom rich mud,lamination,5Y 5/2 (olive gray),slight [DB86],1,,,,,,lonestone,sharp boundary or contact,,"Lonestone at 98-100 cm. Sand/silt laminae at 60-75 cm. Silt/sand pod/lense at 81, 84, 130, and 137 cm.",,,
374-U1524A-10H-2-A,100,112,82.51,82.63,diatom rich,sandy mud(stone) to muddy sand(stone) [S54m],with dispersed clasts,diatom rich sandy mud(stone) to muddy sand(stone) with dispersed clasts,,GLEY 1 6/5GY (greenish gray),,,,,,,,,,,,,,
374-U1524A-10H-2-A,112,124,82.63,82.75,diatom rich,mud,,diatom rich mud,,GLEY 1 6/5GY (greenish gray),heavy [DB86],3,,,,,,,,,,,,
374-U1524A-10H-2-A,124,152,82.75,83.03,diatom rich,mud,,diatom rich mud,lamination,5Y 5/2 (olive gray),slight [DB86],1,,,,,,,,,,,,
374-U1524A-10H-3-A,0,105,83.03,84.08,diatom rich,mud,,diatom rich mud,lamination,5Y 5/2 (olive gray),moderate [DB86],2,,,,,,lonestone,,,Lonestone at 104 cm.,,,
374-U1524A-10H-3-A,105,124,84.08,84.27,diatom rich,sandy mud(stone) to muddy sand(stone) [S54m],with dispersed clasts,diatom rich sandy mud(stone) to muddy sand(stone) with dispersed clasts,,5Y 5/2 (olive gray),,,,,,,,,,,,,,
374-U1524A-10H-3-A,124,151,84.27,84.54,diatom rich,mud,,diatom rich mud,lamination,5Y 5/2 (olive gray),moderate [DB86],2,,,,,,lonestone,,,Lonestone at 104 cm.,,,
374-U1524A-10H-4-A,0,6,84.54,84.6,muddy,diatom ooze,,muddy diatom ooze,,5Y 5/2 (olive gray),,,,,,,,mud clast,,,D. olive gray lense/pod (?) at 1-4 cm,,,
374-U1524A-10H-4-A,6,11,84.6,84.65,muddy,diatom ooze,,muddy diatom ooze,,GLEY 1 6/10GY (greenish gray),,,,,,,,,gradational boundary or contact,,,,,
374-U1524A-10H-4-A,11,49,84.65,85.03,diatom rich,mud,,diatom rich mud,burrows,GLEY 1 6/5GY (greenish gray),complete [DB86],4,,,,,,lonestone,gradational boundary or contact,,Lonestone at 35 cm.,,,
374-U1524A-10H-4-A,49,152,85.03,86.06,diatom rich,mud,,diatom rich mud,lamination,5Y 5/2 (olive gray),,,,,,,,,,,Dark olive laminae at 78-79 cm. 109-150 cm sand/silt laminae are common.,,,
374-U1524A-10H-5-A,0,72,86.06,86.78,diatom rich,mud,,diatom rich mud,lamination,5Y 5/2 (olive gray),slight [DB86],1,,,,,,,sharp boundary or contact,,Sand/silt laminae at 11-55 cm.,,,
374-U1524A-10H-5-A,72,88,86.78,86.94,diatom rich,mud,,diatom rich mud,,GLEY 1 6/5GY (greenish gray),moderate [DB86],2,,,,,,,gradational boundary or contact,,,,,
374-U1524A-10H-5-A,88,105,86.94,87.11,diatom rich,sandy mud(stone) to muddy sand(stone) [S54m],with dispersed clasts,diatom rich sandy mud(stone) to muddy sand(stone) with dispersed clasts,,GLEY 1 6/5GY (greenish gray),,,,,,,,,,,,,,
374-U1524A-10H-5-A,105,151,87.11,87.57,diatom rich,sandy mud(stone) to muddy sand(stone) [S54m],with dispersed clasts,diatom rich sandy mud(stone) to muddy sand(stone) with dispersed clasts,,5Y 5/2 (olive gray),,,,,,,,,,,,,,
374-U1524A-10H-6-A,0,43,87.57,88,diatom rich,mud,,diatom rich mud,lamination,5Y 5/2 (olive gray),slight [DB86],1,,,,,,,,,0-45 cm: lense/pod of D. olive gray. 60-145 cm : laminae with mm-scale sand/silt laminae.,,,
374-U1524A-10H-6-A,43,71,88,88.28,diatom rich,sandy mud(stone) to muddy sand(stone) [S54m],with dispersed clasts,diatom rich sandy mud(stone) to muddy sand(stone) with dispersed clasts,,5Y 5/2 (olive gray),,,,,,,,,,,,,,
374-U1524A-10H-6-A,71,145,88.28,89.02,diatom rich,mud,,diatom rich mud,lamination,5Y 5/2 (olive gray),slight [DB86],1,,,,,,,,,0-45 cm: lense/pod of D. olive gray. 60-145 cm : laminae with mm-scale sand/silt laminae.,,,
374-U1524A-10H-7-A,0,54,89.07,89.61,diatom rich,mud,,diatom rich mud,lamination,5Y 5/2 (olive gray),slight [DB86],1,,,,,,,sharp boundary or contact,,,,,
374-U1524A-10H-7-A,54,64,89.61,89.71,diatom rich,mud,,diatom rich mud,mottling [BJ80],GLEY 1 6/5GY (greenish gray),,,,,,,,,,,Mottling at 55 cm.,,,
374-U1524A-10H-CC-A,0,23,89.71,89.94,diatom rich,mud,,diatom rich mud,,GLEY 1 6/5GY (greenish gray),,,,,,,,,,,,,,
374-U1524A-11H-1-A,0,36,89.5,89.86,diatom rich,mud,,diatom rich mud,lamination,5Y 5/2 (olive gray),slight [DB86],1,,,,,,,sharp boundary or contact,,silt/sand laminae at 53-104 cm.,,,
374-U1524A-11H-1-A,36,74,89.86,90.24,diatom rich,sandy mud(stone) to muddy sand(stone) [S54m],with dispersed clasts,diatom rich sandy mud(stone) to muddy sand(stone) with dispersed clasts,,GLEY 1 6/5GY (greenish gray),,,,,,,,,,,,,,
374-U1524A-11H-1-A,74,112,90.24,90.62,diatom rich,mud,,diatom rich mud,lamination,5Y 5/2 (olive gray),slight [DB86],1,,,,,,,sharp boundary or contact,,silt/sand laminae at 53-104 cm.,,,
374-U1524A-11H-1-A,112,146,90.62,90.96,diatom rich,sandy mud(stone) to muddy sand(stone) [S54m],with dispersed clasts,diatom rich sandy mud(stone) to muddy sand(stone) with dispersed clasts,,5Y 5/2 (olive gray),,,,,,,,,,,,,,
374-U1524A-11H-1-A,146,150,90.96,91,diatom rich,mud,,diatom rich mud,,5Y 5/2 (olive gray),slight [DB86],1,,,,,,,,,,,,
374-U1524A-11H-2-A,0,63,91,91.63,diatom rich,mud,,diatom rich mud,lamination,5Y 5/2 (olive gray),slight [DB86],1,,,,,,lonestone,,,"Sand/silt Laminae at 0-17, 27-33, and 140 cm. Lonestone at 11-12, 32, 33, 45, 54, 59, and 60 cm.",,,
374-U1524A-11H-2-A,63,152,91.63,92.52,diatom rich,mud,,diatom rich mud,lens or pod [BJ84],GLEY 1 6/5GY (greenish gray),heavy [DB86],3,,,,,,lonestone,,,Lonestone at 83-88 cm. Sand lenses at 61-62 and 90-95 cm.,,,
374-U1524A-11H-3-A,0,13,92.52,92.65,diatom rich,mud,,diatom rich mud,,GLEY 1 6/5GY (greenish gray),heavy [DB86],3,,,,,,,gradational boundary or contact,,,,,
374-U1524A-11H-3-A,13,77,92.65,93.29,diatom rich,mud,,diatom rich mud,,5Y 5/2 (olive gray),slight [DB86],1,,,,,,,,,,,,
374-U1524A-11H-3-A,77,110,93.29,93.62,diatom rich,mud,,diatom rich mud,lens or pod [BJ84],GLEY 1 6/5GY (greenish gray),heavy [DB86],3,,,,,,lonestone,gradational boundary or contact,,Lonestone at 82 cm. Sand laminae at 97-98 cm. Lense at 131-132 cm.,,,
374-U1524A-11H-3-A,110,152,93.62,94.04,diatom rich,mud,,diatom rich mud,,5Y 5/2 (olive gray),heavy [DB86],3,,,,,,,,,,,,
374-U1524A-11H-4-A,0,151,94.04,95.55,diatom rich,mud,,diatom rich mud,lamination,5Y 5/2 (olive gray),slight [DB86],1,,,,,,lonestone,,,"Sand/silt laminae at 4, 11,28-70, 121-150 cm. Lonestone at 113 cm.",,,
374-U1524A-11H-4-A,74,74,94.78,94.78,,,,,lens or pod [BJ84],,,,,,,,,,,,<1cm offset nomal fault.,,,
374-U1524A-11H-5-A,0,153,95.55,97.08,diatom rich,mud,,diatom rich mud,lamination,5Y 5/2 (olive gray),slight [DB86],1,,,,,,lonestone,,,Sand/silt laminae throughout. Lonestone at 128-129.,,,
374-U1524A-11H-5-A,50,53,96.05,96.08,,,,,post-sedimentary microfault (normal),,,,,,,,,,,,<1cm offset nomal fault.,,,
374-U1524A-11H-5-A,103,103,96.58,96.58,,,,,post-sedimentary microfault (normal),,,,,,,,,,,,<1cm offset nomal fault.,,,
374-U1524A-11H-5-A,108,108,96.63,96.63,,,,,post-sedimentary microfault (normal),,,,,,,,,,,,<1cm offset nomal fault.,,,
374-U1524A-11H-5-A,116,121,96.71,96.76,,,,,post-sedimentary microfault (normal),,,,,,,,,,,,<1cm offset nomal fault.,,,
374-U1524A-11H-5-A,133,139,96.88,96.94,,,,,post-sedimentary microfault (normal),,,,,,,,,,,,<1cm offset nomal fault.,,,
374-U1524A-11H-6-A,0,20,97.08,97.28,diatom rich,mud,,diatom rich mud,lamination,5Y 5/2 (olive gray),slight [DB86],1,,,,,,lonestone,,,Lonestone at 61-62 and 90 cm.,,,
374-U1524A-11H-6-A,20,57,97.28,97.65,diatom rich,mud,,diatom rich mud,wavy laminae,5Y 5/2 (olive gray),,,,,,,,,,,,,,
374-U1524A-11H-6-A,57,146,97.65,98.54,diatom rich,mud,,diatom rich mud,lamination,5Y 5/2 (olive gray),slight [DB86],1,,,,,,lonestone,,,Lonestone at 61-62 and 90 cm.,,,
374-U1524A-11H-7-A,0,13,98.59,98.72,diatom rich,mud,,diatom rich mud,,5Y 5/2 (olive gray),slight [DB86],1,,,,,,,,,,,,
374-U1524A-11H-7-A,13,31,98.72,98.9,diatom rich,mud,,diatom rich mud,burrows,GLEY 1 6/5GY (greenish gray),heavy [DB86],3,,,,,,,gradational boundary or contact,,"Sand burrows: 24, 27, 29, 33, 39 cm.",,,
374-U1524A-11H-7-A,31,71,98.9,99.3,diatom rich,mud,,diatom rich mud,,5Y 5/2 (olive gray),heavy [DB86],3,,,,,,,,,,,,
374-U1524A-11H-CC-A,0,26,99.3,99.56,diatom rich,mud,,diatom rich mud,,5Y 5/2 (olive gray),,,,,,,,lonestone,,,Lonestone at 14-15 cm.,,,
374-U1524A-12H-1-A,0,72,99,99.72,diatom rich,sandy mud(stone) to muddy sand(stone) [S54m],with dispersed clasts,diatom rich sandy mud(stone) to muddy sand(stone) with dispersed clasts,,5Y 5/2 (olive gray),,,,,,,,,,,,,,
374-U1524A-12H-1-A,0,145,99,100.45,,,,,mottling [BJ80],,,,,,,,,,,,,,,
374-U1524A-12H-1-A,72,142,99.72,100.42,diatom rich,mud,,diatom rich mud,lamination,5Y 5/2 (olive gray),moderate [DB86],2,,,,,,,,,Sand lens t 71-72 and 136-138 cm.,,,
374-U1524A-12H-1-A,142,145,100.42,100.45,diatom rich,sandy mud(stone) to muddy sand(stone) [S54m],with dispersed clasts,diatom rich sandy mud(stone) to muddy sand(stone) with dispersed clasts,,5Y 5/2 (olive gray),,,,,,,,,sharp boundary or contact,,,,,
374-U1524A-12H-1-A,145,146,100.45,100.46,diatom rich,mud,,diatom rich mud,,GLEY 1 6/5GY (greenish gray),,,,,,,,,,,,,,
374-U1524A-12H-2-A,0,34,100.46,100.8,diatom rich,mud,,diatom rich mud,burrows,GLEY 1 6/5GY (greenish gray),heavy [DB86],3,,,,,,lonestone,,,Burrow/mottling at 0-14 and 112-147 cm. Lonestone at 70 cm.,,,
374-U1524A-12H-2-A,34,73,100.8,101.19,diatom rich,sandy mud(stone) to muddy sand(stone) [S54m],with dispersed clasts,diatom rich sandy mud(stone) to muddy sand(stone) with dispersed clasts,,GLEY 1 6/5GY (greenish gray),,,,,,,,,,,,,,
374-U1524A-12H-2-A,73,85,101.19,101.31,diatom rich,mud,,diatom rich mud,,GLEY 1 6/5GY (greenish gray),heavy [DB86],3,,,,,,lonestone,,,Burrow/mottling at 0-14 and 112-147 cm. Lonestone at 70 cm.,,,
374-U1524A-12H-2-A,85,107,101.31,101.53,diatom rich,sandy mud(stone) to muddy sand(stone) [S54m],with dispersed clasts,diatom rich sandy mud(stone) to muddy sand(stone) with dispersed clasts,,GLEY 1 6/5GY (greenish gray),,,,,,,,,,,,,,
374-U1524A-12H-2-A,107,146,101.53,101.92,diatom rich,mud,,diatom rich mud,burrows,GLEY 1 6/5GY (greenish gray),heavy [DB86],3,,,,,,lonestone,,,Burrow/mottling at 0-14 and 112-147 cm. Lonestone at 70 cm.,,,
374-U1524A-12H-3-A,0,26,101.92,102.18,muddy,diatom ooze,,muddy diatom ooze,,GLEY 1 6/5GY (greenish gray),slight [DB86],1,,,,,,,gradational boundary or contact,,,,,
374-U1524A-12H-3-A,26,33,102.18,102.25,muddy,diatom ooze,,muddy diatom ooze,,5Y 5/2 (olive gray),slight [DB86],1,,,,,,,sharp boundary or contact,,,,,
374-U1524A-12H-3-A,33,77,102.25,102.69,muddy,diatom ooze,,muddy diatom ooze,lens or pod [BJ84],GLEY 1 6/5GY (greenish gray),heavy [DB86],3,,,,,,lonestone,,,Diatom-ooze lenses at 35-51 and 77-88 cm. Lonestone at 130-132 and 135 cm.,,,
374-U1524A-12H-3-A,77,107,102.69,102.99,muddy,diatom ooze,with common clasts,muddy diatom ooze with common clasts,,GLEY 1 6/5GY (greenish gray),heavy [DB86],3,,,,,,,,,,,,
374-U1524A-12H-3-A,89,92,102.81,102.84,,,,,lens or pod [BJ84],,,,,,,,,,,,Redish coarse sand pod/lense.,,,
374-U1524A-12H-3-A,107,148,102.99,103.4,diatom rich,mud,,diatom rich mud,lens or pod [BJ84],GLEY 1 6/5GY (greenish gray),heavy [DB86],3,,,,,,lonestone,,,Diatom-ooze lenses at 35-51 and 77-88 cm. Lonestone at 130-132 and 135 cm.,,,
374-U1524A-12H-4-A,0,46,103.4,103.86,diatom rich,mud,,diatom rich mud,mottling [BJ80],GLEY 1 6/5GY (greenish gray),heavy [DB86],3,,,,,,,gradational boundary or contact,,,,,
374-U1524A-12H-4-A,46,88,103.86,104.28,diatom rich,mud,,diatom rich mud,lamination,5Y 5/2 (olive gray),slight [DB86],1,,,,,,,sharp boundary or contact,,,,,
374-U1524A-12H-4-A,88,115,104.28,104.55,diatom rich,mud,,diatom rich mud,,GLEY 1 6/5GY (greenish gray),heavy [DB86],3,,,,,,,gradational boundary or contact,,,,,
374-U1524A-12H-4-A,115,130,104.55,104.7,diatom rich,mud,,diatom rich mud,,5Y 5/2 (olive gray),,3,,,,,,,sharp boundary or contact,,,,,
374-U1524A-12H-4-A,130,144,104.7,104.84,diatom rich,mud,,diatom rich mud,,GLEY 1 6/5GY (greenish gray),heavy [DB86],3,,,,,,,gradational boundary or contact,,,,,
374-U1524A-12H-4-A,144,148,104.84,104.88,diatom rich,mud,,diatom rich mud,,5Y 5/2 (olive gray),,,,,,,,,,,,,,
374-U1524A-12H-5-A,0,37,104.88,105.25,diatom rich,mud,,diatom rich mud,lamination,5Y 5/2 (olive gray),,,,,,,,,sharp boundary or contact,,,,,
374-U1524A-12H-5-A,0,146,104.88,106.34,,,,,,,,,,,,,,lonestone,,,"Lonestones at 38-40, 5,, 90, 119-126, and 133 cm.",,,
374-U1524A-12H-5-A,37,42,105.25,105.3,diatom rich,sandy mud(stone) to muddy sand(stone) [S54m],with dispersed clasts,diatom rich sandy mud(stone) to muddy sand(stone) with dispersed clasts,,5Y 5/2 (olive gray),slight [DB86],1,,,,,,,,,,,,
374-U1524A-12H-5-A,42,97,105.3,105.85,muddy,diatom ooze,,muddy diatom ooze,lamination,5Y 5/2 (olive gray),,,,,,,,,sharp boundary or contact,,,,,
374-U1524A-12H-5-A,97,119,105.85,106.07,muddy,diatom ooze,,muddy diatom ooze,,GLEY 1 7/5GY (light greenish grey),,,,,,,,,sharp boundary or contact,,,,,
374-U1524A-12H-5-A,119,133,106.07,106.21,diatom rich,sandy mud(stone) to muddy sand(stone) [S54m],with dispersed clasts,diatom rich sandy mud(stone) to muddy sand(stone) with dispersed clasts,,GLEY 1 6/5GY (greenish gray),moderate [DB86],2,,,,,,,,,,,,
374-U1524A-12H-5-A,133,146,106.21,106.34,muddy,diatom ooze,,muddy diatom ooze,mottling [BJ80],GLEY 1 6/5GY (greenish gray),,,,,,,,,,,,,,
374-U1524A-12H-6-A,0,42,106.34,106.76,muddy,diatom ooze,,muddy diatom ooze,,GLEY 1 6/5GY (greenish gray),moderate [DB86],2,,,,,,,gradational boundary or contact,,,,,
374-U1524A-12H-6-A,42,44,106.76,106.78,muddy,diatom ooze,,muddy diatom ooze,,5Y 5/2 (olive gray),,,,,,,,,sharp boundary or contact,,,,,
374-U1524A-12H-6-A,44,62,106.78,106.96,muddy,diatom ooze,with dispersed clasts,muddy diatom ooze with dispersed clasts,,GLEY 1 6/5GY (greenish gray),,,,,,,,,gradational boundary or contact,,,,,
374-U1524A-12H-6-A,62,64,106.96,106.98,muddy,diatom ooze,with dispersed clasts,muddy diatom ooze with dispersed clasts,,5Y 5/2 (olive gray),,,,,,,,,sharp boundary or contact,,,,,
374-U1524A-12H-6-A,64,74,106.98,107.08,muddy,diatom ooze,with dispersed clasts,muddy diatom ooze with dispersed clasts,,GLEY 1 6/5GY (greenish gray),,,,,,,,,gradational boundary or contact,,,,,
374-U1524A-12H-6-A,74,83,107.08,107.17,muddy,diatom ooze,,muddy diatom ooze,,5Y 5/2 (olive gray),,,,,,,,,,,,,,
374-U1524A-12H-6-A,83,101,107.17,107.35,muddy,diatom ooze,with common clasts,muddy diatom ooze with common clasts,,GLEY 1 6/5GY (greenish gray),,,,,,,,lonestone,,,"Lonestone at 94-101 cm,",,,
374-U1524A-12H-6-A,101,140,107.35,107.74,muddy,diatom ooze,,muddy diatom ooze,lamination,5Y 5/2 (olive gray),,,,,,,,,,,,,,
374-U1524A-12H-7-A,0,66,107.79,108.45,muddy,diatom ooze,,muddy diatom ooze,lamination,5Y 5/2 (olive gray),,,,,,,,lonestone,,,Lonestone at 66 cm.,,,
374-U1524A-12H-7-A,66,73,108.45,108.52,muddy,diatom ooze,with common clasts,muddy diatom ooze with common clasts,,GLEY 1 6/5GY (greenish gray),,,,,,,,,,,,,,
374-U1524A-12H-7-A,73,90,108.52,108.69,diatom rich,mud,,diatom rich mud,,GLEY 1 6/5GY (greenish gray),,,,,,,,,,,,,,
374-U1524A-12H-CC-A,0,27,108.69,108.96,muddy,diatom ooze,,muddy diatom ooze,burrows,GLEY 1 6/5GY (greenish gray),heavy [DB86],3,,,,,,,gradational boundary or contact,,,,,
374-U1524A-12H-CC-A,27,37,108.96,109.06,muddy,diatom ooze,,muddy diatom ooze,,5Y 5/2 (olive gray),,,,,,,,,,,,,,
374-U1524A-13H-1-A,0,147,108.5,109.97,muddy,diatom ooze,,muddy diatom ooze,lamination,5Y 5/2 (olive gray),slight [DB86],1,,,,,,,,,Faint lamination with occasional sand laminae/bleb/lenses.,,,
374-U1524A-13H-1-A,53,139,109.03,109.89,,,,,mottling [BJ80],,,,,,,,,,,,"Mottling/burrow at 53, 90-92, 125, 138-139, 142-146 cm.",,,
374-U1524A-13H-2-A,0,42,109.97,110.39,diatom rich,mud,,diatom rich mud,lamination,5Y 5/2 (olive gray),slight [DB86],1,,,,,,,sharp boundary or contact,,Faint lamination with occasional sand laminae/bleb/lenses.,,,
374-U1524A-13H-2-A,42,55,110.39,110.52,muddy,diatom ooze,,muddy diatom ooze,,GLEY 1 7/5GY (light greenish grey),heavy [DB86],3,,,,,,lonestone,gradational boundary or contact,,Lonestone at 84 cm.,,,
374-U1524A-13H-2-A,55,93,110.52,110.9,diatom rich,sandy mud(stone) to muddy sand(stone) [S54m],with dispersed clasts,diatom rich sandy mud(stone) to muddy sand(stone) with dispersed clasts,,GLEY 1 6/5GY (greenish gray),heavy [DB86],3,,,,,,lonestone,gradational boundary or contact,,Lonestone at 97 cm.,,,
374-U1524A-13H-2-A,93,147,110.9,111.44,diatom rich,mud,,diatom rich mud,mottling [BJ80],5Y 5/2 (olive gray),,,,,,,,,,,"Mottling/burrow at 119, 124-125, and 129-130 cm.",,,
374-U1524A-13H-2-A,94,100,110.91,110.97,,,,,lens or pod [BJ84],,,,,,,,,,,,Sand lense/pods at 94-100 cm.,,,
374-U1524A-13H-3-A,0,135,111.44,112.79,diatom rich,mud,,diatom rich mud,lamination,5Y 5/2 (olive gray),,,,,,,,,gradational boundary or contact,,Faint lamination with occasional sand laminae.,,,
374-U1524A-13H-3-A,135,142,112.79,112.86,diatom rich,sandy mud(stone) to muddy sand(stone) [S54m],,diatom rich sandy mud(stone) to muddy sand(stone),,5Y 6/2 (light olive gray),,,,,,carbonate,,,gradational boundary or contact,,"*Micrite(?), authigenic carbonate-rich.",,,
374-U1524A-13H-3-A,142,149,112.86,112.93,muddy,diatom ooze,,muddy diatom ooze,,5Y 5/2 (olive gray),,,,,,,,,,,,,,
374-U1524A-13H-4-A,0,46,112.93,113.39,diatom rich,mud,,diatom rich mud,lamination,5Y 5/2 (olive gray),slight [DB86],1,,,,,,,,,,,,
374-U1524A-13H-4-A,46,65,113.39,113.58,diatom rich,mud,with dispersed clasts,diatom rich mud with dispersed clasts,,GLEY 1 6/5GY (greenish gray),heavy [DB86],3,,,,,,,gradational boundary or contact,,,,,
374-U1524A-13H-4-A,61,107,113.54,114,,,,,,,,,,,,,,lonestone,,,"Lonestone at 61, 100, and 107 cm.",,,
374-U1524A-13H-4-A,65,76,113.58,113.69,diatom rich,sandy mud(stone) to muddy sand(stone) [S54m],with dispersed clasts,diatom rich sandy mud(stone) to muddy sand(stone) with dispersed clasts,lamination,5Y 5/2 (olive gray),moderate [DB86],2,,,,,,,sharp boundary or contact,,,,,
374-U1524A-13H-4-A,76,96,113.69,113.89,diatom rich,mud,,diatom rich mud,lamination,5Y 5/2 (olive gray),moderate [DB86],2,,,,,,,,,,,,
374-U1524A-13H-4-A,96,101,113.89,113.94,diatom rich,sandy mud(stone) to muddy sand(stone) [S54m],with dispersed clasts,diatom rich sandy mud(stone) to muddy sand(stone) with dispersed clasts,,GLEY 1 6/5GY (greenish gray),heavy [DB86],3,,,,,,,gradational boundary or contact,,,,,
374-U1524A-13H-4-A,101,109,113.94,114.02,diatom rich,sandy mud(stone) to muddy sand(stone) [S54m],with dispersed clasts,diatom rich sandy mud(stone) to muddy sand(stone) with dispersed clasts,,5Y 5/2 (olive gray),heavy [DB86],3,,,,,,,,,,,,
374-U1524A-13H-4-A,109,135,114.02,114.28,diatom rich,mud,,diatom rich mud,,GLEY 1 6/5GY (greenish gray),heavy [DB86],3,,,,,,,gradational boundary or contact,,,,,
